fullName,country,politicalGroup,id,nationalPoliticalGroup
Christine ANDERSON,Germany,Identity and Democracy Group,197475,Alternative für Deutschland
Rasmus ANDRESEN,Germany,Group of the Greens/European Free Alliance,197448,Bündnis 90/Die Grünen
Katarina BARLEY,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,Sozialdemokratische Partei Deutschlands
Gunnar BECK,Germany,Identity and Democracy Group,132191,Alternative für Deutschland
Nicola BEER,Germany,Renew Europe Group,197437,Freie Demokratische Partei
Hildegard BENTELE,Germany,Group of the European People's Party (Christian Democrats),197408,Christlich Demokratische Union Deutschlands
Lars Patrick BERG,Germany,European Conservatives and Reformists Group,197478,Bündnis Deutschland
Stefan BERGER,Germany,Group of the European People's Party (Christian Democrats),197410,Christlich Demokratische Union Deutschlands
Gabriele BISCHOFF,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197435,Sozialdemokratische Partei Deutschlands
Michael BLOSS,Germany,Group of the Greens/European Free Alliance,197449,Bündnis 90/Die Grünen
Damian BOESELAGER,Germany,Group of the Greens/European Free Alliance,197439,Volt
Karolin BRAUNSBERGER-REINHOLD,Germany,Group of the European People's Party (Christian Democrats),226260,Christlich Demokratische Union Deutschlands
Patrick BREYER,Germany,Group of the Greens/European Free Alliance,197431,Piratenpartei Deutschland
Markus BUCHHEIT,Germany,Identity and Democracy Group,128483,Alternative für Deutschland
Udo BULLMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4267,Sozialdemokratische Partei Deutschlands
Delara BURKHARDT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197440,Sozialdemokratische Partei Deutschlands
Martin BUSCHMANN,Germany,Non-attached Members,197434,Independent
Reinhard BÜTIKOFER,Germany,Group of the Greens/European Free Alliance,96739,Bündnis 90/Die Grünen
Daniel CASPARY,Germany,Group of the European People's Party (Christian Democrats),28219,Christlich Demokratische Union Deutschlands
Anna CAVAZZINI,Germany,Group of the Greens/European Free Alliance,86793,Bündnis 90/Die Grünen
Özlem DEMIREL,Germany,The Left group in the European Parliament - GUE/NGL,197468,DIE LINKE.
Anna DEPARNAY-GRUNENBERG,Germany,Group of the Greens/European Free Alliance,197453,Bündnis 90/Die Grünen
Christian DOLESCHAL,Germany,Group of the European People's Party (Christian Democrats),197473,Christlich-Soziale Union in Bayern e.V.
Lena DÜPONT,Germany,Group of the European People's Party (Christian Democrats),99945,Christlich Demokratische Union Deutschlands
Matthias ECKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237465,Sozialdemokratische Partei Deutschlands
Christian EHLER,Germany,Group of the European People's Party (Christian Democrats),28226,Christlich Demokratische Union Deutschlands
Cornelia ERNST,Germany,The Left group in the European Parliament - GUE/NGL,96852,DIE LINKE.
Engin EROGLU,Germany,Renew Europe Group,197430,Freie Wähler
Markus FERBER,Germany,Group of the European People's Party (Christian Democrats),1917,Christlich-Soziale Union in Bayern e.V.
Nicolaus FEST,Germany,Identity and Democracy Group,197480,Alternative für Deutschland
Romeo FRANZ,Germany,Group of the Greens/European Free Alliance,193273,Bündnis 90/Die Grünen
Daniel FREUND,Germany,Group of the Greens/European Free Alliance,106936,Bündnis 90/Die Grünen
Michael GAHLER,Germany,Group of the European People's Party (Christian Democrats),2341,Christlich Demokratische Union Deutschlands
Malte GALLÉE,Germany,Group of the Greens/European Free Alliance,229352,Bündnis 90/Die Grünen
Alexandra GEESE,Germany,Group of the Greens/European Free Alliance,183916,Bündnis 90/Die Grünen
Jens GEIER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96833,Sozialdemokratische Partei Deutschlands
Helmut GEUKING,Germany,Group of the European People's Party (Christian Democrats),197436,Familien-Partei Deutschlands
Jens GIESEKE,Germany,Group of the European People's Party (Christian Democrats),124807,Christlich Demokratische Union Deutschlands
Andreas GLÜCK,Germany,Renew Europe Group,197443,Freie Demokratische Partei
Svenja HAHN,Germany,Renew Europe Group,197444,Freie Demokratische Partei
Henrike HAHN,Germany,Group of the Greens/European Free Alliance,197457,Bündnis 90/Die Grünen
Martin HÄUSLING,Germany,Group of the Greens/European Free Alliance,96752,Bündnis 90/Die Grünen
Niclas HERBST,Germany,Group of the European People's Party (Christian Democrats),197412,Christlich Demokratische Union Deutschlands
