fullName,country,politicalGroup,id,nationalPoliticalGroup
Mazaly AGUILAR,Spain,European Conservatives and Reformists Group,198096,VOX
Clara AGUILERA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Español
Pablo ARIAS ECHEVERRÍA,Spain,Group of the European People's Party (Christian Democrats),96808,Partido Popular
Laura BALLARÍN CEREZA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,247735,Partido Socialista Obrero Español
José Ramón BAUZÁ DÍAZ,Spain,Renew Europe Group,197779,Ciudadanos – Partido de la Ciudadanía
Isabel BENJUMEA BENJUMEA,Spain,Group of the European People's Party (Christian Democrats),197679,Partido Popular
Izaskun BILBAO BARANDICA,Spain,Renew Europe Group,96922,Partido Nacionalista Vasco
Jorge BUXADÉ VILLALBA,Spain,European Conservatives and Reformists Group,197829,VOX
Jordi CAÑAS,Spain,Renew Europe Group,126644,Ciudadanos – Partido de la Ciudadanía
Patricia CARO MAYA,Spain,,250572,
Pilar del CASTILLO VERA,Spain,Group of the European People's Party (Christian Democrats),28390,Partido Popular
Ana COLLADO JIMÉNEZ,Spain,Group of the European People's Party (Christian Democrats),247737,Partido Popular
Antoni COMÍN I OLIVERES,Spain,Non-attached Members,202352,Junts per Catalunya - Lliures per Europa
Estrella DURÁ FERRANDIS,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198329,Partido Socialista Obrero Español
Rosa ESTARÀS FERRAGUT,Spain,Group of the European People's Party (Christian Democrats),96811,Partido Popular
Jonás FERNÁNDEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125046,Partido Socialista Obrero Español
Lina GÁLVEZ MUÑOZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197702,Partido Socialista Obrero Español
Ibán GARCÍA DEL BLANCO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197717,Partido Socialista Obrero Español
José Manuel GARCÍA-MARGALLO Y MARFIL,Spain,Group of the European People's Party (Christian Democrats),1992,Partido Popular
Isabel GARCÍA MUÑOZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197742,Partido Socialista Obrero Español
Iratxe GARCÍA PÉREZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28298,Partido Socialista Obrero Español
Eider GARDIAZABAL RUBIAL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96991,Partido Socialista Obrero Español
Mónica Silvana GONZÁLEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197728,Partido Socialista Obrero Español
Nicolás GONZÁLEZ CASARES,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197718,Partido Socialista Obrero Español
Alicia HOMS GINEL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,122978,Partido Socialista Obrero Español
Javi LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125042,Partit dels Socialistes de Catalunya
Juan Fernando LÓPEZ AGUILAR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96812,Partido Socialista Obrero Español
Leopoldo LÓPEZ GIL,Spain,Group of the European People's Party (Christian Democrats),197777,Partido Popular
Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Group of the European People's Party (Christian Democrats),28399,Partido Popular
César LUENA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197721,Partido Socialista Obrero Español
Cristina MAESTRE MARTÍN DE ALMAGRO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197719,Partido Socialista Obrero Español
Gabriel MATO,Spain,Group of the European People's Party (Christian Democrats),96936,Partido Popular
Francisco José MILLÁN MON,Spain,Group of the European People's Party (Christian Democrats),28400,Partido Popular
Ana MIRANDA,Spain,Group of the Greens/European Free Alliance,24942,Bloque Nacionalista Galego
Dolors MONTSERRAT,Spain,Group of the European People's Party (Christian Democrats),197711,Partido Popular
Javier MORENO SÁNCHEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28347,Partido Socialista Obrero Español
Javier NART,Spain,Renew Europe Group,125005,Independiente
Maite PAGAZAURTUNDÚA,Spain,Renew Europe Group,125038,Delegación Ciudadanos Europeos
Manu PINEDA,Spain,The Left group in the European Parliament - GUE/NGL,197828,Izquierda Unida
Margarita DE LA PISA CARRIÓN,Spain,European Conservatives and Reformists Group,204414,VOX
Clara PONSATÍ OBIOLS,Spain,Non-attached Members,204443,Junts per Catalunya - Lliures per Europa
Eva Maria POPTCHEVA,Spain,Renew Europe Group,237320,Ciudadanos – Partido de la Ciudadanía
Carles PUIGDEMONT I CASAMAJÓ,Spain,Non-attached Members,202351,Junts per Catalunya - Lliures per Europa
Diana RIBA I GINER,Spain,Group of the Greens/European Free Alliance,197832,Esquerra Republicana de Catalunya
Inma RODRÍGUEZ-PIÑERO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125043,Partido Socialista Obrero Español
Eugenia RODRÍGUEZ PALOP,Spain,The Left group in the European Parliament - GUE/NGL,197785,PODEMOS
María Soraya RODRÍGUEZ RAMOS,Spain,Renew Europe Group,4344,Ciudadanos – Partido de la Ciudadanía
Marcos ROS SEMPERE,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204413,Partido Socialista Obrero Español
Domènec RUIZ DEVESA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,127096,Partido Socialista Obrero Español
Nacho SÁNCHEZ AMOR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197722,Partido Socialista Obrero Español
Jordi SOLÉ,Spain,Group of the Greens/European Free Alliance,185974,Esquerra Republicana de Catalunya
Susana SOLÍS PÉREZ,Spain,Renew Europe Group,197784,Ciudadanos – Partido de la Ciudadanía
Hermann TERTSCH,Spain,European Conservatives and Reformists Group,197831,VOX
Miguel URBÁN CRESPO,Spain,The Left group in the European Parliament - GUE/NGL,131507,ANTICAPITALISTAS
Idoia VILLANUEVA RUIZ,Spain,The Left group in the European Parliament - GUE/NGL,197827,PODEMOS
Adrián VÁZQUEZ LÁZARA,Spain,Renew Europe Group,204400,Ciudadanos – Partido de la Ciudadanía
Javier ZARZALEJOS,Spain,Group of the European People's Party (Christian Democrats),197606,Partido Popular
Juan Ignacio ZOIDO ÁLVAREZ,Spain,Group of the European People's Party (Christian Democrats),197621,Partido Popular
