fullName,country,politicalGroup,id,nationalPoliticalGroup
Gerolf ANNEMANS,Belgium,Identity and Democracy Group,124973,Vlaams Belang
Maria ARENA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,Parti Socialiste
Pascal ARIMONT,Belgium,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei
Marc BOTENGA,Belgium,The Left group in the European Parliament - GUE/NGL,187917,Parti du Travail de Belgique
Geert BOURGEOIS,Belgium,European Conservatives and Reformists Group,197467,Nieuw-Vlaamse Alliantie
Saskia BRICMONT,Belgium,Group of the Greens/European Free Alliance,197470,Ecologistes Confédérés pour l'Organisation de Luttes Originales
Olivier CHASTEL,Belgium,Renew Europe Group,197463,Mouvement Réformateur
Filip DE MAN,Belgium,Identity and Democracy Group,197472,Vlaams Belang
Cindy FRANSSEN,Belgium,Group of the European People's Party (Christian Democrats),197455,Christen-Democratisch & Vlaams
Assita KANKO,Belgium,European Conservatives and Reformists Group,197469,Nieuw-Vlaamse Alliantie
Philippe LAMBERTS,Belgium,Group of the Greens/European Free Alliance,96648,Ecologistes Confédérés pour l'Organisation de Luttes Originales
Benoît LUTGEN,Belgium,Group of the European People's Party (Christian Democrats),197458,Les Engagés
Sara MATTHIEU,Belgium,Group of the Greens/European Free Alliance,208722,Groen
Frédérique RIES,Belgium,Renew Europe Group,4253,Mouvement Réformateur
Marc TARABELLA,Belgium,Non-attached Members,29579,Independent
Kathleen VAN BREMPT,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5729,Vooruit
Tom VANDENDRIESSCHE,Belgium,Identity and Democracy Group,185771,Vlaams Belang
Tom VANDENKENDELAERE,Belgium,Group of the European People's Party (Christian Democrats),129164,Christen-Democratisch & Vlaams
Johan VAN OVERTVELDT,Belgium,European Conservatives and Reformists Group,125106,Nieuw-Vlaamse Alliantie
Hilde VAUTMANS,Belgium,Renew Europe Group,130100,Open Vlaamse Liberalen en Democraten
Guy VERHOFSTADT,Belgium,Renew Europe Group,97058,Open Vlaamse Liberalen en Democraten
