fullName,country,politicalGroup,id,nationalPoliticalGroup
François ALFONSI,France,Group of the Greens/European Free Alliance,96750,Régions et Peuples Solidaires
Catherine AMALRIC,France,Renew Europe Group,247122,Parti Radical
Mathilde ANDROUËT,France,Identity and Democracy Group,197691,Rassemblement national
Manon AUBRY,France,The Left group in the European Parliament - GUE/NGL,197533,La France Insoumise
Jordan BARDELLA,France,Identity and Democracy Group,131580,Rassemblement national
Nicolas BAY,France,Non-attached Members,124760,Reconquête!
Aurélia BEIGNEUX,France,Identity and Democracy Group,197680,Rassemblement national
François-Xavier BELLAMY,France,Group of the European People's Party (Christian Democrats),197534,Les Républicains
Stéphane BIJOUX,France,Renew Europe Group,197551,La République en marche
Dominique BILDE,France,Identity and Democracy Group,124771,Rassemblement national
Benoît BITEAU,France,Group of the Greens/European Free Alliance,197512,Europe Écologie
Gilles BOYER,France,Renew Europe Group,197577,Horizons
Annika BRUNA,France,Identity and Democracy Group,182995,Rassemblement national
Sylvie BRUNET,France,Renew Europe Group,197576,Mouvement Démocrate
Pascal CANFIN,France,Renew Europe Group,96711,Liste Renaissance
Damien CARÊME,France,Group of the Greens/European Free Alliance,197574,Europe Écologie
Catherine CHABAUD,France,Renew Europe Group,197505,Mouvement Démocrate
Patricia CHAGNON,France,Identity and Democracy Group,236052,Rassemblement national
Leila CHAIBI,France,The Left group in the European Parliament - GUE/NGL,197529,La France Insoumise
Ilana CICUREL,France,Renew Europe Group,204416,Liste Renaissance
Christophe CLERGEAU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,245018,Parti socialiste
Nathalie COLIN-OESTERLÉ,France,Group of the European People's Party (Christian Democrats),197536,Les centristes
Gilbert COLLARD,France,Non-attached Members,197683,Reconquête!
David CORMAND,France,Group of the Greens/European Free Alliance,197503,Europe Écologie
Arnaud DANJEAN,France,Group of the European People's Party (Christian Democrats),96747,Les Républicains
Marie DAUCHY,France,Identity and Democracy Group,236050,Rassemblement national
Jérémy DECERLE,France,Renew Europe Group,197504,Liste L'Europe Ensemble
Gwendoline DELBOS-CORFIELD,France,Group of the Greens/European Free Alliance,197531,Europe Écologie
Karima DELLI,France,Group of the Greens/European Free Alliance,96868,Europe Écologie
Geoffroy DIDIER,France,Group of the European People's Party (Christian Democrats),190774,Les Républicains
Pascal DURAND,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124693,Liste Renaissance
Laurence FARRENG,France,Renew Europe Group,197589,Mouvement Démocrate
Jean-Paul GARRAUD,France,Identity and Democracy Group,197628,Rassemblement national
Raphaël GLUCKSMANN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197694,Place publique
Sandro GOZI,France,Renew Europe Group,204419,Liste Renaissance
Catherine GRISET,France,Identity and Democracy Group,94649,Rassemblement national
Christophe GRUDLER,France,Renew Europe Group,197557,Mouvement Démocrate
Claude GRUFFAT,France,Group of the Greens/European Free Alliance,204420,Europe Écologie
Bernard GUETTA,France,Renew Europe Group,197543,Liste Renaissance
Sylvie GUILLAUME,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96952,Parti socialiste
Valérie HAYER,France,Renew Europe Group,135511,Renaissance
Brice HORTEFEUX,France,Group of the European People's Party (Christian Democrats),5565,Les Républicains
Jean-François JALKH,France,Identity and Democracy Group,124770,Rassemblement national
France JAMET,France,Identity and Democracy Group,189065,Rassemblement national
Virginie JORON,France,Identity and Democracy Group,197627,Rassemblement national
Hervé JUVIN,France,Non-attached Members,197626,Rassemblement national
Pierre KARLESKIND,France,Renew Europe Group,197585,La République en marche
Fabienne KELLER,France,Renew Europe Group,22858,Agir - La Droite constructive
Jean-Lin LACAPELLE,France,Identity and Democracy Group,204421,Rassemblement national
Aurore LALUCQ,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197697,Place publique
Pierre LARROUTUROU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197698,Nouvelle Donne
Gilles LEBRETON,France,Identity and Democracy Group,124738,Rassemblement national
Nathalie LOISEAU,France,Renew Europe Group,197494,Liste Renaissance
Thierry MARIANI,France,Identity and Democracy Group,197623,Rassemblement national
Lydie MASSARD,France,Group of the Greens/European Free Alliance,249285,Régions et Peuples Solidaires
Emmanuel MAUREL,France,The Left group in the European Parliament - GUE/NGL,24505,Gauche républicaine et socialiste
Nora MEBAREK,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204418,Parti socialiste
Marina MESURE,France,The Left group in the European Parliament - GUE/NGL,236053,La France Insoumise
Eric MINARDI,France,Identity and Democracy Group,236051,Rassemblement national
Nadine MORANO,France,Group of the European People's Party (Christian Democrats),72779,Les Républicains
Philippe OLIVIER,France,Identity and Democracy Group,197687,Rassemblement national
Younous OMARJEE,France,The Left group in the European Parliament - GUE/NGL,30482,La France Insoumise
Max ORVILLE,France,Renew Europe Group,234344,Mouvement Démocrate
Anne-Sophie PELLETIER,France,The Left group in the European Parliament - GUE/NGL,197527,La France Insoumise
Maxette PIRBAKAS,France,Non-attached Members,197629,Indépendant
Dominique RIQUET,France,Renew Europe Group,96885,Mouvement Radical Social-Libéral
Jérôme RIVIÈRE,France,Non-attached Members,197615,Indépendant
Caroline ROOSE,France,Group of the Greens/European Free Alliance,197506,Europe Écologie
André ROUGÉ,France,Identity and Democracy Group,197690,Rassemblement national
Laurence SAILLIET,France,Group of the European People's Party (Christian Democrats),249284,Les Républicains
Anne SANDER,France,Group of the European People's Party (Christian Democrats),24594,Les Républicains
Mounir SATOURI,France,Group of the Greens/European Free Alliance,197500,Europe Écologie
Stéphane SÉJOURNÉ,France,Renew Europe Group,197508,La République en marche
Irène TOLLERET,France,Renew Europe Group,197547,Liste Renaissance
Marie TOUSSAINT,France,Group of the Greens/European Free Alliance,97236,Europe Écologie
Marie-Pierre VEDRENNE,France,Renew Europe Group,197502,Mouvement Démocrate
Salima YENBOU,France,Renew Europe Group,197511,Renaissance
Stéphanie YON-COURTIN,France,Renew Europe Group,197581,Liste Renaissance
