fullName,country,politicalGroup,id,nationalPoliticalGroup
Isabella ADINOLFI,Italy,Group of the European People's Party (Christian Democrats),124831,Forza Italia
Matteo ADINOLFI,Italy,Identity and Democracy Group,197826,Lega
Pietro BARTOLO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197808,Partito Democratico
Alessandra BASSO,Italy,Identity and Democracy Group,197610,Lega
Tiziana BEGHIN,Italy,Non-attached Members,124777,Movimento 5 Stelle
Brando BENIFEI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,Partito Democratico
Sergio BERLATO,Italy,European Conservatives and Reformists Group,4746,Fratelli d'Italia
Anna BONFRISCO,Italy,Identity and Democracy Group,197788,Lega
Paolo BORCHIA,Italy,Identity and Democracy Group,101039,Lega
Mercedes BRESSO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28346,Partito Democratico
Marco CAMPOMENOSI,Italy,Identity and Democracy Group,35016,Lega
Massimo CASANOVA,Italy,Identity and Democracy Group,197796,Lega
Fabio Massimo CASTALDO,Italy,Non-attached Members,124812,Movimento 5 Stelle
Susanna CECCARDI,Italy,Identity and Democracy Group,197786,Lega
Caterina CHINNICI,Italy,Group of the European People's Party (Christian Democrats),124861,Forza Italia
Angelo CIOCCA,Italy,Identity and Democracy Group,183793,Lega
Lara COMI,Italy,Group of the European People's Party (Christian Democrats),96775,Forza Italia
Rosanna CONTE,Italy,Identity and Democracy Group,197616,Lega
Ignazio CORRAO,Italy,Group of the Greens/European Free Alliance,124856,Independent
Beatrice COVASSI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,240478,Partito Democratico
Andrea COZZOLINO,Italy,Non-attached Members,96880,Partito Democratico
Rosa D'AMATO,Italy,Group of the Greens/European Free Alliance,124835,Independent
Nicola DANTI,Italy,Renew Europe Group,124821,Azione - Italia Viva
Maria Angela DANZÌ,Italy,Non-attached Members,239258,Movimento 5 Stelle
Gianantonio DA RE,Italy,Identity and Democracy Group,197608,Lega
Elisabetta DE BLASIS,Italy,European Conservatives and Reformists Group,239262,Independent
Paolo DE CASTRO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96891,Partito Democratico
Salvatore DE MEO,Italy,Group of the European People's Party (Christian Democrats),204333,Forza Italia
Francesca DONATO,Italy,Non-attached Members,197822,Democrazia Cristiana
Herbert DORFMANN,Italy,Group of the European People's Party (Christian Democrats),96787,Südtiroler Volkspartei
Giuseppe FERRANDINO,Italy,Renew Europe Group,192634,Azione - Italia Viva
Laura FERRARA,Italy,Non-attached Members,124833,Movimento 5 Stelle
Carlo FIDANZA,Italy,European Conservatives and Reformists Group,96810,Fratelli d'Italia
Pietro FIOCCHI,Italy,European Conservatives and Reformists Group,197607,Fratelli d'Italia
Mario FURORE,Italy,Non-attached Members,197795,Movimento 5 Stelle
Gianna GANCIA,Italy,Identity and Democracy Group,197582,Lega
Matteo GAZZINI,Italy,Identity and Democracy Group,239255,Lega
Chiara GEMMA,Italy,European Conservatives and Reformists Group,197794,FRATELLI D' ITALIA
Paola GHIDONI,Italy,Identity and Democracy Group,239256,Lega
Dino GIARRUSSO,Italy,Non-attached Members,197804,Independent
Valentino GRANT,Italy,Identity and Democracy Group,197799,Lega
Elisabetta GUALMINI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197618,Partito Democratico
Danilo Oscar LANCINI,Italy,Identity and Democracy Group,192635,Lega
Camilla LAURETI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,230085,Partito Democratico
Elena LIZZI,Italy,Identity and Democracy Group,197611,Lega
Fulvio MARTUSCIELLO,Italy,Group of the European People's Party (Christian Democrats),124828,Forza Italia
Giuseppe MILAZZO,Italy,European Conservatives and Reformists Group,197824,Fratelli d'Italia
Alessandra MORETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124799,Partito Democratico
Alessandra MUSSOLINI,Italy,Group of the European People's Party (Christian Democrats),28429,Forza Italia
Denis NESCI,Italy,European Conservatives and Reformists Group,239260,FRATELLI D' ITALIA
Alessandro PANZA,Italy,Identity and Democracy Group,99283,Lega
Aldo PATRICIELLO,Italy,Group of the European People's Party (Christian Democrats),36392,Forza Italia
