MP,Date,Language,Title,Url,Content
Achille VARIATI,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-234-0000_IT.html,"  Achille Variati (S&D).   – Signor Presidente, onorevoli colleghi, condivido l'impostazione di fondo della Commissione che mette la prevenzione, primo gradino della gerarchia dei rifiuti, come obiettivo principale dell'intera proposta. 
Tuttavia, ritengo che la proposta della Commissione presenti delle criticità sulla modalità in cui questi obiettivi debbano essere raggiunti, in particolare per quei settori, come quello alimentare, che ha caratteristiche del tutto peculiari. Ricordo come le attuali direttive in vigore abbiano indicato la necessità per gli Stati membri di alzare notevolmente i propri target di riciclaggio e alcuni Paesi, come il mio, lo hanno fatto con forte intensità e forti investimenti. 
L'attuale proposta, invece, indica un'impostazione completamente diversa, andando a spingere su norme obbligatorie di riuso che non è ancora certo peraltro che siano sempre l'opzione ambientalmente migliore, in particolare per il grande uso di acqua, che è un bene sempre più prezioso. 
Ritengo dunque necessario correggere questo punto per prendere in considerazione gli sforzi già fatti dai diversi Stati membri nel riciclaggio e garantire la piena sicurezza degli alimenti per i cittadini europei. 
"
Achille VARIATI,2023-09-13,IT,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-249-0000_IT.html,"  Achille Variati (S&D).   – Signor Presidente, onorevoli colleghi, le materie prime critiche rivestono un ruolo fondamentale per accelerare la decarbonizzazione del nostro continente. 
L'Europa è un continente povero di materie prime. Per questa ragione il riciclaggio dovrebbe diventare sempre più importante. Attualmente, però, i tassi di riciclaggio delle materie prime critiche sono troppo bassi e le infrastrutture non sono adatte per la specificità di queste materie. 
Un esempio significativo è proprio il litio, che ad oggi è recuperato con percentuali bassissime ma il cui utilizzo sarà la base dell'elettrificazione dei trasporti attraverso la sempre maggiore diffusione dei veicoli elettrici. 
Un passo in avanti è stato fatto con l'adozione del regolamento batterie e ora, con questo regolamento, vogliamo estendere l'approccio a tutte le materie prime strategiche, in modo da poter sfruttare al massimo i benefici economici e ambientali offerti dalla circolarità. 
È solamente con un pieno approccio sostenibile e circolare che potremo raggiungere un'autonomia strategica, mantenendo al tempo stesso un'alta protezione ambientale e sociale.
"
Achille VARIATI,2023-09-12,IT,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-219-0000_IT.html,"  Achille Variati (S&D).   – Signor Presidente, onorevoli colleghi, le centinaia di migliaia di morti premature all'anno nella sola UE obbligano la nostra responsabilità per azioni di grande coraggio, di grande coraggio, nella nuova legislazione. L'aria che respiriamo necessita di standard più rigorosi di quelli attuali, considerando il diritto primario dei cittadini europei alla salute. 
Per raggiungere i nuovi target contenuti in questa direttiva, gli Stati membri dovranno adottare misure anche strutturali, che non possono più attendere. E queste misure non sono contro lo sviluppo: sono consapevole che non tutte le regioni europee possono raggiungere gli stessi target alle stesse scadenze. 
In particolare mi riferisco a quei territori che presentano caratteristiche orografiche specifiche, per i quali è necessario prevedere brevi deroghe temporali, accompagnate però da una tabella di marcia rigorosa, con la finalità di raggiungere gli obiettivi per una piena protezione della salute.
"
Achille VARIATI,2023-07-11,IT,Greening transport package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-300-0000_IT.html,"  Achille Variati (S&D).   – Signora Presidente, signora Commissaria, onorevoli colleghi, ho ascoltato con piacere la presentazione da parte della Commissione di questo nuovo pacchetto che, con diversi interventi legislativi, punta a rendere il settore dei trasporti più sostenibile.
Accolgo con favore l'intenzione di proporre misure per gestire, coordinare e aumentare le capacità delle ferrovie. Il trasporto ferroviario, infatti, è una modalità di trasporto efficiente dal punto di vista energetico e rispettosa dell'ambiente.
Tuttavia i servizi transfrontalieri di trasporto merci e passeggeri continuano a incontrare ostacoli che ne limitano la competitività e l'attrattività.
Allo stesso modo, sono favorevole a una introduzione di metodologie specifiche per l'assegnazione del biglietto di viaggio da parte degli operatori del quantitativo di CO2 emesso dal mezzo di trasporto per le tratte acquistate. Ritengo che questa possa essere una valida misura per sensibilizzare i viaggiatori.
Infine, per quanto riguarda l'armonizzazione delle dimensioni dei camion elettrici, sono d'accordo sul fatto di tener conto dell'evoluzione delle batterie per l'elettrico, ma ritengo che la sicurezza stradale debba sempre essere messa al primo posto e pertanto saranno necessarie, secondo me, maggiori valutazioni su questo aspetto per un'armonizzazione per la circolazione sulle strade europee di mega camion di peso maggiorato fino a quattro tonnellate.
"
Achille VARIATI,2023-06-13,IT,Batteries and waste batteries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-365-0000_IT.html,"  Achille Variati,  Relatore. – Signora Presidente, onorevoli colleghi, per prima cosa voglio ringraziare le varie Presidenze del Consiglio con cui abbiamo avuto modo di lavorare in questi quasi due anni e mezzo di negoziato, in particolare la Presidenza ceca con cui abbiamo raggiunto un accordo negoziale su questo regolamento. Un ringraziamento poi al Commissario Sinkevičius e al Commissario Breton e alle vostre Direzioni generali per il prezioso supporto durante la negoziazione. Un sentito ringraziamento, infine, a tutto il team negoziale per il clima sempre costruttivo su un dossier così cruciale per l'economia dell'UE. 
Basta guardarci intorno, infatti, per capire come l'utilizzo delle batterie sia già parte integrante della vita quotidiana di ognuno di noi e lo sarà sempre di più nei prossimi anni per raggiungere l'obiettivo della neutralità climatica da qui al 2050. La mobilità sarà infatti sempre più sostenibile, le nostre città sempre più smart, e per puntare maggiormente sulle fonti di energia rinnovabile avremo sempre più bisogno di accumulatori. 
In una parola, le batterie sono il pilastro su cui costruire il nuovo paradigma di sviluppo sostenibile. Lo scopo che ci siamo voluti dare con questo regolamento è quello di produrre in Europa le batterie più sostenibili a livello globale. Per farlo abbiamo definito misure che per la prima volta coprono l'intero ciclo di vita di un prodotto, dalla produzione allo smaltimento. Non è un caso che questo approccio olistico sia stato adottato per la prima volta per un prodotto come le batterie che nei prossimi anni vedranno aumentare sensibilmente il proprio utilizzo e l'applicazione in nuovi settori. 
Per dare qualche numero si stima infatti che l'utilizzo delle batterie per i soli veicoli elettrici aumenterà di 15 volte fra il 20 e il 35. Senza contare che già oggi si stanno diffondendo sempre di più mezzi di trasporto leggeri. Questi dati tuttavia ci fanno capire come aumenterà di pari passo l'uso delle cosiddette materie prime critiche, come il litio, il nichel o il cobalto. 
Sappiamo bene come l'Europa sia povera di queste materie prime e oggi dipendente dalle importazioni. Per riuscire a garantirci un'autonomia strategica, questo nuovo regolamento sulle batterie vuole sfruttare le potenzialità delle nuove tecnologie, creando un quadro normativo per incentivare politiche di industrializzazione che utilizzino i principi di sostenibilità e di circolarità. 
Vogliamo evitare di ripetere gli errori del passato, quando ad esempio i pannelli solari sono stati incentivati nel loro acquisto, ma non regolati nella produzione dello smaltimento, finendo per beneficiare solo l'economia cinese. Più in dettaglio, il regolamento in approvazione stabilisce i requisiti per la progettazione, etichettatura o omologazione, il fine del ciclo di vita. L'impronta carbonica massima, contenuto minimo di materiale riciclato, standard di performance e durabilità sono i principali requisiti di sostenibilità introdotti per la prima volta per le batterie, che devono puntare a diventare un benchmark per l'intero mercato globale e dovranno essere applicati ad ogni tipologia di batteria commercializzata nel mercato europeo, incluse quelle importate dai paesi extra UE. 
Le implicazioni non saranno solo industriali e commerciali. Anche per gli utenti individuali cambia molto, a partire dalla possibilità di rimuovere da solo le batterie, che diventerà obbligatoria, passando per una più chiara etichettatura, trasparente e comprensibile per l'utente, e attraverso la creazione di un passaporto digitale per le batterie. 
I miglioramenti li vedremo anche sul fronte del riciclo, a partire dai robusti obiettivi di raccolta di rifiuti delle batterie portatili, fino alle percentuali giustamente sfidanti che l'Unione fissa per il recupero di ciascuno dei componenti delle batterie, in particolare per il litio. 
Il Parlamento ha insistito per rafforzare, oltre all'aspetto ambientale, anche la dimensione dei diritti sociali legati alla produzione delle batterie. Abbiamo reso per la prima volta la due diligence obbligatoria per un prodotto specifico, con tutte le batterie immesse sul mercato coperte da queste nuove regole. Un vero passo in avanti per avere batterie più etiche. Questo quindi è un regolamento importante e invito il Parlamento a votarlo compatto come così compatto è stata il voto in commissione. 
"
Achille VARIATI,2023-06-13,IT,Batteries and waste batteries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-394-0000_IT.html,"  Achille Variati,  Relatore. – Signora Presidente, onorevoli colleghi, molti sono stati gli interventi costruttivi. Alcuni colleghi hanno detto che questo è un passo veramente importante nell'ottica dell'economia circolare. Il riutilizzo dei rifiuti di batteria come il litio, materie prime critiche preziose, insomma, una spinta innovativa per un'industria delle batterie in Europa. Devo dire che il regolamento delle materie prime critiche presentato dalla Commissione si basa proprio sull'esigenza di questo regolamento e ne rappresenterà un complemento. 
Quindi un regolamento ambizioso ma equilibrato, che affronta i diritti dei consumatori e non dimentica il rispetto dei diritti sociali. Io penso veramente che per quello che sarà il ruolo delle batterie, nei prossimi anni questo regolamento, di cui dobbiamo essere contenti per come l'abbiamo costruito, rappresenterà un passo veramente importante al punto tale da poter essere addirittura indicato come un passo storico. Ecco perché penso e spero che il voto domani sarà un voto ampio di questo nostro Parlamento. 
"
Achille VARIATI,2023-04-17,IT,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-157-0000_IT.html,"  Achille Variati (S&D).   – Signor Presidente, signor Commissario, la revisione della direttiva ETS e l'introduzione del CBAM rappresentano due fra i pilastri fondamentali per raggiungere l'obiettivo di riduzione del 55 % delle emissioni di CO2. 
Vogliono rappresentare una leva per accelerare la decarbonizzazione e l'innovazione del nostro sistema industriale e, nel contempo, impedire alle produzioni extra UE, non soggette a meccanismi di controllo e riduzione delle emissioni, di spiazzare la concorrenza interna con costi di produzione più bassi. La creazione di un Fondo sociale per il clima rappresenta poi un importante strumento per permettere una transizione più giusta. 
In questo contesto positivo rimangono però alcune perplessità sull'estensione dell'ETS ai trasporti e agli edifici. Capisco la necessità di ottenere risorse finanziarie per il nuovo Fondo per il clima, ma sarà necessario che la Commissione vigili affinché queste misure non vadano a penalizzare i cittadini, ultimo anello della catena, in particolare quelli delle fasce più vulnerabili, che invece il nuovo fondo dovrebbe supportare.
"
Achille VARIATI,2023-03-13,IT,"Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation) - Land use, land use change and forestry (LULUCF) - Revision of the Market Stability Reserve for the EU Emissions Trading System (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-178-0000_IT.html,"  Achille Variati (S&D).   – Signor Presidente, signor Commissario, Vicepresidente, onorevoli colleghi, i dati di Eurobarometro hanno mostrato, ancora una volta, come la lotta al cambiamento climatico sia una delle priorità per i cittadini europei. Il Parlamento europeo, con l'approvazione di questo ulteriore pacchetto ""Pronti per il 55"", che include la riduzione delle emissioni di CO2 nei trasporti, negli edifici, in agricoltura, nella gestione dei rifiuti, vuole lanciare un messaggio chiaro in questa direzione: e cioè il futuro nostro e delle prossime generazioni passa per una società e un'economia più sostenibili. 
Domani adotteremo una serie di testi ambiziosi, in linea con gli impegni presi dall'UE nell'Accordo di Parigi, che prevedono al tempo stesso sistemi di flessibilità per gli Stati membri per metterli in condizione di realizzare gli obiettivi che sono previsti. Se programmata e gestita con lungimiranza, infatti, la transizione verso un sistema a zero emissioni nette non è solo benefica per l'ambiente, ma anche per una crescita economica delle nostre società.
Crescita sostenibile, lavoro e ambiente possono, debbono stare insieme. Per questa ragione mi auguro che il Consiglio rispetti gli impegni già presi, in particolare per il dossier sulle automobili, che rappresenta un pilastro per raggiungere gli obiettivi che oggi ci proponiamo. 
Quanto stiamo vedendo in alcuni Stati, come ad esempio da parte del Governo italiano, malgrado che nel mio Paese vi sia la Pianura Padana che soffre di un inquinamento dell'aria tra i peggiori inquinamenti del mondo, rappresenta un grave passo indietro e non rappresenta certo la volontà della maggioranza dei cittadini europei. Quindi, spero che il Consiglio sia lungimirante e che rispetti gli impegni. 
"
Achille VARIATI,2023-02-14,IT,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-069-0000_IT.html,"  Achille Variati (S&D).   – Signor Presidente, onorevoli colleghi, signor Commissario, il regolamento che ci apprestiamo a votare oggi rappresenta un passaggio storico per una mobilità sostenibile dell'UE.
Aver fissato l'ambizione per cui le nuove auto e i veicoli leggeri venduti nell'UE non producano più emissioni di CO2 entro il 2035 rappresenta una sfida senza precedenti. Una sfida che troverà una spinta importante nel nuovo regolamento sulle batterie, che mi auguro potrà essere adottato entro giugno, dove definiamo criteri di sostenibilità per le batterie dei veicoli elettrici che, secondo le stime, rappresenteranno la tecnologia predominante sul mercato.
Per concludere, domani la Commissione presenterà la proposta di revisione dei target di CO2 sui camion, che mi auguro possa essere adottata entro questa legislatura, in modo da poter ribadire l'obiettivo di neutralità climatica dell'Unione entro il 2050.
(L'oratore accetta di rispondere a un intervento ""cartellino blu"")
"
Achille VARIATI,2023-02-14,IT,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-071-0000_IT.html,"  Achille Variati (S&D),  risposta ""cartellino blu"". – Guardi, io vengo da una delle zone più inquinate del mondo, che è la pianura Padana, e quindi tutto ciò che potrà servire a diminuire l'inquinamento, in particolare dell'aria, mi vede d'accordo. Ovvio che nulla qui è scontato, nulla è semplice. Ciò che lei dice certamente produrrà dei problemi, però attenzione, stiamo andando verso un'economia circolare, un'economia del riciclo, un'economia del riuso, un'economia forte che darà lavoro diverso rispetto a quello attuale, e nei momenti come questi occorre avere il coraggio di guardare avanti.
"
