MP,Date,Language,Title,Url,Content
Alessandra BASSO,2023-10-18,IT,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-373-0000_IT.html,"  Alessandra Basso (ID).   – Signor Presidente, signor Commissario, onorevoli colleghi, capiamo che in tempi di crisi, come quello attuale, ci debba essere un'attenzione maggiore nella rimozione dei contenuti illegali.
Per il resto, sono sempre stata critica verso l'impianto complessivo del testo, e non perché sia contraria alla lotta alla disinformazione o a favore delle fake news, ma perché la linea di confine tra libertà di pensiero e quello che viene considerato disinformazione spesso è ideologicamente orientata e ci chiediamo se i cosiddetti segnalatori affidabili saranno in grado di operare in modo oggettivo. 
Soprattutto in ambito politico, è facile etichettare una libera manifestazione del pensiero come discorso di odio, specie se il pensiero espresso è diverso dal pensiero unico. Le norme di certo non possono essere utilizzate, come spesso abbiamo visto accadere, in modo strumentale, per colpire politicamente chi ha un pensiero diverso, magari con il pretesto della lotta alle fake news. Nonostante le rassicurazioni, ancora non sappiamo cosa succederà in vista dei prossimi appuntamenti elettorali.
Per concludere, ci auguriamo che la censura non diventi strumento politico: è lecito dissentire, ma lo si deve fare con lo strumento intellettuale che è la critica, non con la censura.
"
Alessandra BASSO,2023-10-05,IT,Financial services contracts concluded at a distance (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-014-0000_IT.html,"  Alessandra Basso,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, lo sviluppo delle nuove tecnologie ha sicuramente facilitato l'accesso ai prodotti finanziari e la pandemia ha ulteriormente accelerato questo processo, portando alla crescita degli acquisti online. L'era dello scambio di fax appartiene ormai alla preistoria.
Per contro, i consumatori che acquistano online sono diventati più vulnerabili a pratiche di manipolazione, come l'uso di interfacce progettate per ingannarli e deviare la loro attenzione verso prodotti o servizi che in realtà non volevano sottoscrivere. Ecco perché è stato fondamentale vietare ai fornitori di servizi finanziari di spingere i consumatori a fare scelte che potrebbero essere contrarie ai loro interessi attraverso il design del sito web.
Molto spesso per spingere a concludere un contratto si fa leva sul senso di urgenza e sull'invito ad agire immediatamente per non perdere prestiti stranamente vantaggiosi, promesse di guadagni facili e offerte a prezzi stracciati, e poi ci si trova incastrati. E lo sappiamo bene: i contratti poco chiari, una volta firmati, sono difficili da revocare, o meglio, erano difficili. L'obiettivo che ci siamo posti è anche quello di rendere i consumatori più consapevoli del loro diritto di recesso e di garantire che recedere da un contratto non sia più oneroso che stipularlo.
"
Alessandra BASSO,2023-09-11,IT,Geographical indication protection for craft and industrial products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-187-0000_IT.html,"  Alessandra Basso (ID).   – Signor Presidente, onorevoli colleghi, signor Commissario, in Italia, dove sono presenti quasi un milione e mezzo di aziende artigiane, si aspettava da tempo questa normativa. Ringrazio quindi la relatrice e i colleghi. Stiamo parlando di prodotti con caratteristiche uniche, presenti in ogni regione italiana, di manufatti con un forte radicamento territoriale che ora avranno finalmente una tutela.
Ci siamo fortemente battuti per introdurre l'obbligo che le principali fasi di produzione avvenissero nel luogo dell'area geografica di riferimento. Per noi era fondamentale dare una maggiore attenzione al rafforzamento del requisito del legame del prodotto con il territorio. La diversa sensibilità sull'importanza del mondo dell'artigianato dei diversi paesi europei non ha permesso di raggiungere questo risultato. 
Nonostante questo, è un passo avanti che andrà a beneficio di tutto l'artigianato italiano, perché nell'omologazione portata dalla globalizzazione, la maestria espressa dagli antichi mestieri è da salvaguardare al pari delle opere d'arte.
"
Alessandra BASSO,2023-05-31,IT,"Social and economic costs of climate change in light of the floods in Emilia Romagna, Marche and Toscana and the urgent need for European solidarity (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-202-0000_IT.html,"  Alessandra Basso,  a nome del gruppo ID. – Signora Presidente, ringrazio innanzitutto la Presidente Metsola per le sue parole e la sua vicinanza alle regioni colpite. Ho apprezzato anche che l'intervento sia stato fatto in lingua italiana. Grazie anche a tutti i colleghi per la solidarietà dimostrata. 
L'Italia, purtroppo, per la sua conformazione è sicuramente un territorio a rischio idrogeologico, però quello che è successo non è un fatto nuovo. Sono anni che questi disastri accadono e spesso negli stessi punti.
Martedì 16 maggio ero a Bologna e ho visto con i miei occhi la potenza dell'acqua che allagava le strade, che entrava nelle case, ma non era solo acqua, erano fango, detriti, rami. Questo per dire che sì, va bene il cambiamento climatico, ma siamo sicuri che la causa sia questa o solo questa? Ad ogni evento estremo per pioggia si rompe un argine, e questa volta, purtroppo, più di uno, e non è un problema di cambiamento climatico. E non sono io a dirlo, ma esperti geologi. Non vorrei che si utilizzassero queste tragiche occasioni per imporre nuove eurofollie green.
Cosa serve allora? Non servono solo interventi strutturali, serve anche potenziare gli uffici preposti alla gestione dei fiumi e degli argini, serve manutenzione, ed è evidente che non è stato fatto quello che si doveva fare, si doveva fare perché non è stata la prima volta.
Ringrazio anche la Presidente von der Leyen e tutti gli esponenti del governo che si sono recati a fare visita per verificare la situazione. E la situazione è purtroppo tragica: case distrutte, ponti crollati, coltivazioni devastate e, purtroppo, morti. Per fortuna il governo e la macchina dell'emergenza sono intervenuti tempestivamente e attendiamo gli aiuti dell'Europa.
Da ultimo, il mio più grande ringraziamento va a tutti i comuni cittadini che hanno donato materiali e cibo e aiutato come potevano spalando fango. In queste occasioni si vede il grande cuore degli emiliano-romagnoli.
"
Alessandra BASSO,2023-05-09,IT,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-265-0000_IT.html,"  Alessandra Basso (ID).   – Signora Presidente, onorevoli colleghi, il drammatico problema dell'aumento della violenza contro le donne deve essere una priorità.
Mentre tanti gruppi parlano di parità di genere e di combattere le disuguaglianze portando avanti proposte poco concrete, dovremmo tutti quanti concentrarci su soluzioni concrete che devono essere date dagli Stati membri.
Non è certo risolutiva la convenzione di Istanbul, dove tra le righe si legge la volontà di introdurre l'ideologia gender. Quello che serve è altro, non ideologie LGBT.
Onestamente non credo che a una donna violentata, a una bambina infibulata o a una ragazza bullizzata su internet interessi particolarmente che nelle scuole vengano distribuiti materiali didattici sui ruoli di genere non stereotipati.
Quello che serve davvero è trovare, ad esempio, un pronto riscontro da parte autorità: lo sappiamo che tante volte non si denuncia per la lentezza delle risposte e per la preoccupazione delle ripercussioni tra il momento del fatto e l'adozione dei provvedimenti. Ho sentito troppo spesso la frase ""ok, mi dite di denunciare, ma prima che vengano prese delle decisioni cosa faccio? Mi devo barricare in casa?"".
Per questo sono orgogliosa del governo del mio partito, perché in Italia è stato promotore del codice rosso e, pochi giorni fa, di quello cosiddetto ""rafforzato"". Questo è quello che serve, perché dobbiamo dirlo chiaramente: il numero accettabile di donne vittime di violenza, di ogni tipo di violenza, deve essere zero.
(L'oratrice accetta di rispondere a una domanda ""cartellino blu"")
"
Alessandra BASSO,2023-05-09,IT,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-267-0000_IT.html,"  Alessandra Basso (ID),  risposta a una domanda ""cartellino blu"". – Spero di aver capito bene il suo francese perché non c'era traduzione qui.
Comunque nelle scuole non deve essere introdotta l'ideologia di genere, la LGBT e quant'altro, si deve insegnare il rispetto.
Un collega qui ha parlato bene prima, ha detto che ""il rispetto per la donna manca soprattutto in determinate culture"" e non è certo introducendo ideologie LGBT o di gender o discutendo di queste cose che noi aiuteremo queste donne.
"
Alessandra BASSO,2023-03-29,IT,The Rights of children in Rainbow Families and same sex parents in particular in Italy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-182-0000_IT.html,"  Alessandra Basso,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, signora Commissaria, con tutti i problemi che abbiamo in Europa oggi si parla di questo. Ho pensato che sarà un grande problema per scomodare l'Aula del Parlamento europeo a parlare di una questione italiana. 
Ho cercato dei dati precisi, ma non li ho trovati. In alcuni articoli si parla di 150 000 bambini, ma in realtà sono molti meno. Si tratta probabilmente di famiglie allargate, non di famiglie omogenitoriali di prima costituzione. Quindi non abbiamo dati certi, ma un solo dato certo: in Italia non c'è una legge, nonostante un decennio di governi di sinistra. 
E quello che è ancora più certo è che un funzionario pubblico deve far rispettare la legge e le sentenze che confermano la contrarietà all'ordine pubblico della pratica della maternità surrogata. Come la bocciatura del governo conferma sulla proposta sulla filiazione europea, riconoscimenti di tale genere avrebbero il solo effetto di far entrare dalla finestra quello che non è entrato dalla porta: l'abominevole pratica dell'utero in affitto e la mercificazione del corpo delle donne più vulnerabili sul piano economico.
"
Alessandra BASSO,2023-02-14,IT,The EU priorities for the 67th session of the UN Commission on the Status of Women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-213-0000_IT.html,"  Alessandra Basso,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, per raggiungere la parità, e non mi piace chiamarla di genere, non servono quote rosa o leggi che ci riservino qualche posto, quasi come fosse un'elemosina.
Per l'Unione europea la priorità deve essere quella dell'istruzione, e istruzione anche digitale. Invece, nei paesi evoluti spesso assistiamo a battaglie per arrivare a un linguaggio inclusivo: ""partner"" invece che ""marito"" e ""moglie"", ""staff"" invece di ""lavoratori"". Invece di preoccuparci di far evolvere il linguaggio verso il genere neutro, preoccupiamoci delle oltre 700 milioni di persone che al mondo non sanno leggere e scrivere, perché di questi 700 milioni due terzi sono donne.
Quindi che cosa è importante? Solo dall'istruzione di base si potranno dare alle donne, alle giovani donne, le stesse opportunità degli uomini, in tutti i campi, anche in quello digitale, perché tante volte l'istruzione vuol dire libertà.
"
Alessandra BASSO,2023-01-17,IT,Consumer protection in online video games: a European Single Market approach (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-119-0000_IT.html,"  Alessandra Basso (ID).   – Signor Presidente, Commissario, onorevoli colleghi, questo testo è un ottimo punto di partenza per la tutela dei consumatori, soprattutto i più giovani. 
L'industria dei videogiochi è in rapida e costante crescita in Europa e grazie a questo settore sono stati creati quasi centomila posti di lavoro nel nostro continente. Questa crescita non va disincentivata, ma allo stesso tempo non si possono ignorare i rischi per i nostri cittadini, specie i più vulnerabili, e mi riferisco a quelle che sono diventate delle vere e proprie nuove dipendenze. 
Non dobbiamo aver paura di citare il nome di due videogiochi: Fortnite e FIFA. Questi sono titoli con un target d'età basso, spesso minori che vengono attirati a spendere soldi per poter giocare. E in entrambi i casi non parliamo di piccole e medie imprese, ma di colossi americani. Non possiamo continuare a leggere articoli su famiglie che si ritrovano con debiti enormi causati da spese fatte dai propri figli, ingannati da questo tipo di titoli che instillano nei consumatori l'idea del pay-to-win, ovvero per vincere devi spendere sempre più soldi. 
Tuteliamo le nostre piccole e medie imprese, tuteliamo i nostri cittadini e non permettiamo a colossi dell'industria di rovinare la vita delle famiglie. Questi devono essere i nostri obiettivi. 
"
Alessandra BASSO,2022-11-22,IT,Gender balance among non-executive directors of companies listed on stock exchanges (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-052-0000_IT.html,"  Alessandra Basso (ID).   – Signora Presidente, onorevoli colleghi, in Italia non abbiamo dovuto aspettare dieci anni per sentirci dire quante donne debbano occupare posti decisionali. 
In Italia abbiamo già dal 2011 una legislazione efficace che ci ha permesso di raggiungere uno degli obiettivi alternativi imposti dalla direttiva anzitempo. Imporre a livello europeo un sistema a quote e quindi di quantità nei posti di comando è un approccio che politicamente non può avere il nostro sostegno.
Parafrasando una frase di Oriana Fallaci, i mediocri del politicamente corretto negano sempre il merito e sostituiscono sempre la qualità con la quantità. E quello che le donne vogliono è il riconoscimento dei loro meriti, non un posto riservato e non può e non deve fare alcuna differenza indossare una cravatta o dei tacchi a spillo, perché in futuro non ci dovranno essere leader femminili o maschili, ci dovranno essere solo leader.
Rivolgo un mio pensiero a Roberto Maroni.
"
