MP,Date,Language,Title,Url,Content
Alessandra MORETTI,2023-11-23,IT,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-066-0000_IT.html,"  Alessandra Moretti (S&D).   – Signor Presidente, onorevoli colleghi, in questi giorni il mio Paese è stato scosso dalla morte di Giulia Cecchettin, che è stata uccisa dal suo ex fidanzato. Per trovare l'autore di un femminicidio non serve cercare lontano. Purtroppo, come Giulia, c'è una donna che muore ogni tre giorni per mano di un marito, un compagno, un ex. Giulia Cecchettin poteva essere una di noi, poteva essere nostra figlia, nostra sorella, nostra amica. 
Non bastano le leggi, non bastano le pene severe. Quello che serve è una vera rivoluzione educativa che scardini quella cultura patriarcale e misogina che continua a uccidere le donne. E dobbiamo in primis educare i nostri figli maschi, perché quello dei femminicidi è un problema degli uomini, non delle ragazze, non delle nostre figlie. Uomini che non sono capaci di accettare un no. Per questo dobbiamo introdurre come materia scolastica obbligatoria l'educazione all'affettività, al rispetto reciproco. 
L'accesso a un'educazione sessuale affettiva deve essere un diritto dei nostri ragazzi per preservare la loro salute, il loro benessere e, in alcuni casi, la loro vita. Ragazze ribellatevi, perché la libertà si conquista alzando la voce, distruggendo gli stereotipi, la cultura retrograda che continua ad uccidere. Ragazzi unitevi alle vostre amiche, compagne, mogli o sorelle, perché la violenza contro le donne uccide anche voi.
"
Alessandra MORETTI,2023-11-22,IT,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-320-0000_IT.html,"  Alessandra Moretti (S&D).   – Signor Presidente, onorevoli colleghi, sono passati 30 anni dai criteri di Copenaghen per i quali uno Stato può diventare membro dell'Unione europea. In questi 30 anni in Europa e nel mondo sono cambiate molte cose ma una cosa però è rimasta la stessa: ossia la politica dell'allargamento rappresenta uno degli strumenti più importanti per garantire la pace, la sicurezza e la prosperità dei popoli. 
L'aggressione russa all'Ucraina ha di fatto l'obiettivo anche di indebolire il processo di allargamento e di adesione e ciò porterebbe alcuni Paesi, a pochi passi dai nostri confini, a cadere nelle braccia di regimi autoritari. Mi rivolgo quindi ai Balcani occidentali, alla Serbia, in particolare, chiedendo loro di proseguire nel processo di adesione al fine di garantire il rafforzamento dello Stato di diritto, la solidarietà e la crescita comune attraverso un percorso chiaro senza ambiguità. 
Da parte dell'Unione serve un bilancio più ampio e risorse proprie sufficienti per affrontare le sfide future. Ma serve soprattutto la riforma dei Trattati per semplificare le procedure decisionali e rendere questa Europa più vicina alle esigenze e soprattutto alle speranze dei cittadini europei.
"
Alessandra MORETTI,2023-11-08,IT,EU enlargement policy 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-147-0000_IT.html,"  Alessandra Moretti (S&D).   – Signora Presidente, onorevoli colleghi, la politica di allargamento è uno strumento cruciale per la stabilità, la prosperità e la pace del nostro continente. Pace che purtroppo è spesso compromessa, con tutte le tragiche conseguenze cui assistiamo ormai ogni giorno.
Nello scorso anno e mezzo l'Unione europea ha teso la mano all'Ucraina, che merita tutto il nostro sostegno e impegno, ma non possiamo dimenticare i Balcani occidentali, a cui vent'anni fa è stato promesso un posto nella famiglia europea.
Serve accelerare il passo per dimostrare ai cittadini di questi paesi i vantaggi di far parte dell'Unione, che mette al centro le libertà e i diritti, in modo da rianimare il desiderio di adesione, desiderio che in Serbia, ad esempio, sembra essersi congelato.
Allo stesso tempo, però, dobbiamo essere fermi nel chiedere che siano fatti passi in avanti sulle riforme essenziali, che la normalizzazione dei rapporti di vicinato sia messa al primo posto attraverso una de-escalation immediata delle tensioni tra Serbia e Kosovo.
Dobbiamo chiedere che la stampa non sia annacquata dalla propaganda russa o cinese e che si abbracci l'unica linea di politica estera possibile, quella sostenuta dall'Unione europea che lavora per la pace.
"
Alessandra MORETTI,2023-10-04,IT,Resumption of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-123-0000_IT.html,"  Alessandra Moretti (S&D).   – Signor Presidente, onorevoli colleghi, come è stato ricordato poco fa dal collega De Meo, ieri sera, intorno alle otto, a Mestre (Venezia) si è consumata una tragedia: un pullman con a bordo diverse persone provenienti da più paesi europei, per circostanze ancora tutte da definire, è precipitato da un cavalcavia e, dopo un volo di oltre 15 metri, si è schiantato, prendendo fuoco.
Sono ventuno i morti, di cui due bambini, uno è un neonato, e un adolescente. Quindici i feriti, di cui cinque sono gravi, due sono fratelli, tedeschi, di 7 e 13 anni. Più di quaranta ambulanze sono arrivate sul posto insieme a vigili del fuoco, soccorritori e autorità locali, tutti impegnati nei soccorsi per portare in salvo più persone possibile. Una scena apocalittica, come l'ha definita lo stesso sindaco di Venezia.
Da quest'Aula del Parlamento europeo, che rappresenta storie e culture diverse, che tra loro dialogano, e che sa dimostrare solidarietà e aiuto anche nei momenti più difficili, vogliamo esprimere la nostra vicinanza alle famiglie delle vittime, alla cittadinanza veneziana, al sindaco e alle autorità locali, dedicando un grande grazie ai soccorritori che si sono adoperati per aiutare i sopravvissuti. Chiedo alla Presidenza di osservare un minuto di silenzio per commemorare le vittime di questa tragedia.
"
Alessandra MORETTI,2023-10-03,IT,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-375-0000_IT.html,"  Alessandra Moretti (S&D).   – Signora Presidente, onorevoli colleghi, immaginate di essere costretti a lasciare le vostre case, gli amici, i luoghi dove siete cresciuti. È quello che in poche ore è successo a circa 100 000 abitanti del Nagorno-Karabakh, una popolazione di cultura e tradizione armena che si trova però nei confini azeri. Non si tratta di migranti o profughi in fuga, ma di pulizia etnica, che costituisce un crimine contro l'umanità.
La comunità internazionale si è dimostrata impotente anche durante i nove mesi in cui gli azeri hanno bloccato il corridoio che collega il Nagorno-Karabakh con l'Armenia, unico possibile ingresso per cibo, medicinali e assistenza in questa sfortunata regione.
Per anni la Russia ha esercitato la sua influenza su questi paesi, fallendo nella missione di mantenere la stabilità. Non possiamo lasciare che attori come la Russia o la Turchia prendano il sopravvento. L'Unione europea deve dimostrarsi un attore credibile e determinante per la pace e la sicurezza.
Condanno l'aggressione militare ingiustificata da parte dell'Azerbaigian e i soprusi che da anni tormentano la minoranza. Serve ora passare ai fatti, offrendo assistenza umanitaria finanziaria, considerando sanzioni mirate e ripensando gli accordi per la fornitura di energia che vede molti paesi europei beneficiarne.
"
Alessandra MORETTI,2023-10-03,IT,"Recent developments in the Serbia-Kosovo dialogue, including the situation in the northern municipalities in Kosovo (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-443-0000_IT.html,"  Alessandra Moretti (S&D).   – Signor Presidente, onorevoli colleghi, ciò che è accaduto lo scorso 24 settembre nel nord del Kosovo è terribile. Una spaventosa esplosione di violenza che ha causato la morte di diverse persone serbe e kosovare. Una violenza che purtroppo non è una novità, dal momento che negli ultimi anni abbiamo assistito a una escalation spaventosa, animata da una narrazione aggressiva, spesso annacquata da propagande e false ricostruzioni.
Tutto questo, però, non può farci perdere la bussola che da tempo punta verso la normalizzazione dei rapporti tra Belgrado e Pristina. Non possiamo nasconderci dietro la sofferenza provocata da queste azioni per scappare da un percorso che da anni chiede di essere compiuto.
Serve certamente un'indagine accurata e imparziale per appurare le responsabilità e accertare che i responsabili affrontino le conseguenze. Ma serve anche lavorare per sconfiggere l'odio che alimenta queste azioni e curare ciò che lascia nella carne viva delle persone.
Non c'è alternativa al dialogo, non solo per poter finalmente spianare il percorso di adesione all'Unione europea, ma anche perché non vogliamo altri morti e non vogliamo tornare alla paura vissuta negli anni ‘90 e ripetere gli stessi errori di allora.
"
Alessandra MORETTI,2023-07-12,IT,Ecodesign Regulation (A9-0218/2023 - Alessandra Moretti)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-141-0000_IT.html,"  Alessandra Moretti,  relatrice. – Signora Presidente, onorevoli colleghi, voglio ringraziare innanzitutto i colleghi, i relatori ombra che hanno lavorato in modo costruttivo su questo file, gli assistenti, i policy advisors e il Segretariato.
Abbiamo fatto un lavoro di squadra che ci ha permesso, in meno di un anno, di approvare un testo ambizioso che tutela l'ambiente e la salute dei cittadini, garantendo nel contempo la competitività delle nostre aziende.
Grazie a questo regolamento, colleghi, tutti i prodotti che verranno immessi sul mercato dovranno essere ecosostenibili, permettendo ai consumatori di risparmiare energia, di poter riparare i propri prodotti e, attraverso il passaporto digitale, di avere la consapevolezza di quello che acquistano.
Con questo regolamento, Presidente, il Parlamento dimostra di essere all'altezza delle aspettative e della responsabilità che i cittadini ci hanno affidato.
"
Alessandra MORETTI,2023-07-11,IT,COVID-19 pandemic: lessons learned and recommendations for the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-201-0000_IT.html,"  Alessandra Moretti,  a nome del gruppo S&D. – Signor Presidente, onorevoli colleghi, dopo l'esperienza drammatica della pandemia i cittadini ci chiedono di non ripetere gli errori e di imparare da quanto accaduto, migliorando le competenze europee in tema di salute.
In questa relazione ci sono proposte concrete per preparare l'Unione e gli Stati membri a proteggere con più efficacia la salute di fronte a possibili future emergenze sanitarie.
Innanzitutto il diritto ad una sanità pubblica di qualità per tutti. Poi la collaborazione e il lavoro coordinato per il monitoraggio e la sorveglianza epidemiologica, ma anche le grandi potenzialità di un'Europa unita per la ricerca scientifica, per gli acquisti congiunti di vaccini, dispositivi medici e farmaci, così da renderli accessibili a tutti e a prezzi equi.
Abbiamo chiesto maggiore trasparenza in tutti gli ambiti, sia nel campo della ricerca e sviluppo, dove i costi reali, anche delle aziende farmaceutiche private, dovranno essere resi pubblici e servire da base per la determinazione del prezzo, ma anche nella negoziazione dei contratti, in particolare dove i fondi pubblici sono interessati; abbiamo chiesto che venga creata un'infrastruttura pubblica di ricerca per sopperire alle mancanze del mercato e operare nell'interesse dei cittadini.
I fondi pubblici, poi, dovranno avere un adeguato ritorno per i cittadini, in particolare per la disponibilità dei farmaci a prezzi equi e la loro commercializzazione in tutti gli Stati membri.
Sugli aspetti sociali ci siamo concentrati sulle porzioni più fragili della popolazione, abbiamo inserito proposte concrete e interventi mirati per mitigare le conseguenze sulle persone già marginalizzate, sulle donne, sui giovani che hanno pagato un prezzo alto, penso in particolare alla salute mentale.
Questo lavoro potrebbe essere una svolta per le capacità europee e nazionali di reagire in tempi di crisi, non solo sanitari.
Il voto di domani sarà complicato. Come sempre si poteva fare meglio, ma come socialisti voteremo a favore di un testo comunque ambizioso, consapevoli che gli interessi dei cittadini vengono prima delle convenienze politiche.
Questa relazione, cari colleghi, è un'occasione unica per continuare anche nella costruzione dell'Unione europea della salute. Ci auguriamo che il senso di responsabilità prevalga, dimostrando di essere all'altezza del compito che i cittadini europei ci hanno affidato.
"
Alessandra MORETTI,2023-07-11,IT,Ecodesign Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-516-0000_IT.html,"  Alessandra Moretti,  relatrice. – Signor Presidente, signor Commissario, onorevoli colleghi, quella che voteremo domani è una proposta destinata ad avere un grosso impatto sulla nostra società, sulle nostre imprese e sui nostri consumatori.
Questo regolamento infatti cambierà in modo radicale le modalità di operare dell'industria in tantissimi settori, indicando al mondo produttivo la strada per gestire l'intero ciclo di vita di un prodotto, compreso il fine vita.
Un regolamento che trova la sua ratio nel rispetto dei limiti del nostro pianeta, istituendo un quadro legislativo che contribuirà a rendere i prodotti conformi a un'economia neutra dal punto di vista climatico, efficiente sotto il profilo delle risorse e circolare.
I prodotti che saranno progressivamente immessi sul mercato, quindi, dovranno essere progettati in modo tale da rispettare l'ambiente, l'ecosistema e proteggere la salute dei cittadini.
Inoltre si permetterà ai consumatori di risparmiare energia, di poter riparare i prodotti che acquistano anziché doverli gettare e di dare loro la possibilità, attraverso il passaporto digitale, di essere pienamente consapevoli circa quello che acquistano.
Il passaporto digitale rappresenta un'importante innovazione nel panorama attuale e uno strumento decisivo per promuovere la circolarità: i nuovi prodotti che saranno disponibili potranno essere infatti venduti solo se accompagnati da questo strumento, che dovrà contenere informazioni accurate e aggiornate sull'impatto ambientale dei prodotti in circolazione, al fine di consentire a tutti di fare scelte consapevoli.
Un recente studio della Corte dei conti europea ha tristemente evidenziato che le strategie e i finanziamenti europei hanno avuto finora un impatto modesto sulla transizione verso l'economia circolare e che il ritardo più marcato riguarda proprio la progettazione.
La proposta che ci apprestiamo a votare non investe solo nella gestione dei rifiuti, ma anche nella progettazione circolare: tuttavia non è solo importante come progettiamo il prodotto, è questione rilevante anche come lo realizziamo, in quali aziende e a quali condizioni di lavoro.
A livello mondiale, ad esempio, il settore tessile dà lavoro a 60 milioni di persone, principalmente donne, e spesso le paghe dei lavoratori tessili sono di gran lunga inferiori ai salari di sussistenza. Ricordiamo a tutti la tragedia del Rana Plaza, la fabbrica tessile in Bangladesh dove dieci anni fa sono morte più di 1 000 persone. In quella fabbrica si realizzavano quei vestiti che, per pochi euro e senza porci troppe domande, compriamo anche qui in Europa. 
Ho voluto così chiedere alla Commissione che nei prossimi anni valuti l'opportunità di estendere il campo di applicazione della proposta anche ai requisiti di sostenibilità sociale e di dovuta diligenza.
Nella sola Europa, poi, ciascuno di noi scarta circa dodici chili di vestiti ogni anno e la maggior parte di questi scarti va ad aumentare l'inquinamento degli ecosistemi di tutto il mondo ma, senza ipocrisie, dobbiamo dire che va ad inquinare soprattutto i paesi più poveri, che da sempre diventano il ricettacolo di quanto noi occidentali scartiamo.
C'è, inoltre, il tema dei prodotti invenduti. Questo regolamento introduce un divieto diretto alla distruzione dei prodotti di consumo invenduti, che dovrebbe applicarsi ai tessili e agli apparecchi elettronici. Alla fine del loro ciclo di vita i prodotti non saranno più un rifiuto, fonte di inquinamento, ma una nuova risorsa da utilizzare nel processo produttivo.
La proposta si propone infine di migliorare il potenziale del mercato unico, rafforzando le attività di sorveglianza del mercato, garantendo alle imprese, in particolare le piccole e medie, di svolgere le loro attività in condizioni di parità con i loro competitor extraeuropei.
Cari colleghi, nessun cambiamento è impossibile. Sta a noi, a ciascuno di noi, fare la propria parte e per farlo serve avere a disposizione tutte le informazioni di un prodotto e assumere così le scelte più giuste. Con queste scelte possiamo migliorare il contesto in cui viviamo, senza limitarci a pensare a ciò che vediamo sotto i nostri occhi, ma tendendo lo sguardo verso il futuro, oltre i nostri confini, dove persone sono costrette a lavorare in condizioni inaccettabili, sacrificando diritti e libertà, per permetterci di continuare questo insostenibile e ingiusto stile di vita.
"
Alessandra MORETTI,2023-07-11,IT,Ecodesign Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-533-0000_IT.html,"  Alessandra Moretti,  relatrice. – Signor Presidente, onorevoli colleghi, voglio davvero ringraziare tutti i colleghi per il supporto, per il contributo e per le proposte che hanno migliorato il testo iniziale.
Questo è stato un lavoro di squadra, è un lavoro che ci ha visti, seppur nelle differenze legittime, uniti nel proposito di offrire al mercato e ai consumatori un regolamento ambizioso che mette al centro l'ambiente, la tutela degli ecosistemi, la salute dei consumatori.
È un passo importante che dimostra che, se c'è la volontà, la politica può essere all'altezza delle sfide e della responsabilità che i cittadini ci hanno affidato.
Io sono molto fiduciosa che domani lo dimostreremo appieno.
"
