MP,Date,Language,Title,Url,Content
Alessandro PANZA,2023-10-18,IT,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-200-0000_IT.html,"  Alessandro Panza (ID).   – Signora Presidente, onorevoli colleghi, la vera geopolitica europea adesso – speriamo mai – visto che quello che è stato fatto fino ad oggi si può riassumere con una sola parola: fallimento.
Negli ultimi anni ne abbiamo viste di tutti i colori, dal Sofa Gate, dove la vostra geopolitica non è riuscita a capire chi si doveva sedere dove, al Qatar Gate, dove siete stati abilissimi a nascondere la polvere sotto il tappeto. Per non parlare della schizofrenia nelle dichiarazioni fatte all'inizio del conflitto israelo-palestinese, dove ognuno ha detto la sua facendo a gara a chi la sparava più grossa.
Ma quale Europa geopolitica? Avevate il dovere di occuparvi attivamente nel fermare la guerra russo-ucraina, attivando negoziati per far cessare le bombe, salvare dei civili... Niente. Persino la Turchia ha provato a fare di più. Niente sul conflitto armeno-azero, niente sul Medio Oriente. Anzi no, qui una cosa l'avete fatta: avete spedito a fare il vostro rappresentante speciale nel Golfo Persico uno come Di Maio che, quando era ministro degli Esteri nel mio paese, ha causato la più grande crisi diplomatica con gli Emirati. Geniale.
Basterebbe questo per certificare il fallimento della vostra visione geopolitica, una visione miope, debole e, nella migliore delle ipotesi, improvvisata. Ma, visto che le cose stanno così, fate una bella cosa: lasciate perdere. La vostra geopolitica ha causato solo instabilità e debolezza in Europa, portando a una immigrazione incontrollata con annesse infiltrazioni jihadiste di cui sono i cittadini a pagare le conseguenze. 
Per fortuna, l'anno prossimo si voterà e saranno i cittadini europei a spiegarvi che cosa ne pensano dei vostri mirabolanti risultati.
"
Alessandro PANZA,2023-10-04,IT,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-370-0000_IT.html,"  Alessandro Panza (ID).   – Signora Presidente, onorevoli colleghi, questo dibattito ha un titolo molto bello, adatto alla demagogia che regna sovrana in quest'Aula e nelle stanze delle istituzioni europee, che dovrebbero tutelare i cittadini, ma che puntualmente non lo fanno.
Penso sia il momento di dire basta. Basta all'ipocrisia e alla retorica fatta di proclami fini a se stessi. Basta stringere accordi che ci rendono dipendenti da paesi terzi inaffidabili, come avete fatto per anni con la Russia e il suo gas. Ottimo risultato, peraltro: la più grande crisi energetica di sempre, le cui conseguenze le stanno ancora pagando i cittadini. 
E ora il circo si ripete con il Green Deal europeo. Volete la transizione a tutti i costi, ma non avete le materie prime per farla e questa volta saremo costretti a piegarci alla Cina. Certo, c'è il Critical Raw Materials Act, un provvedimento che arriva con dieci anni di ritardo.
La vostra concezione del libero scambio in tema commerciale ha spesso aperto il nostro mercato ad importazioni capaci di non rendere più conveniente produrre materie prime qui, incentivando un approvvigionamento extra europeo, come nell'agricoltura, che troppo spesso ha dovuto pagare il prezzo di essere la merce di scambio per gli altri settori: si vedano le importazioni di riso cambogiano e vietnamita, solo per fare un esempio.
"
Alessandro PANZA,2023-10-03,IT,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-036-0000_IT.html,"  Alessandro Panza (ID).   – Signora Presidente, onorevoli colleghi, signor Commissario, signor Presidente del Consiglio, il quadro finanziario pluriennale è fondamentale per la politica europea, poiché senza risorse finanziarie adeguate i grandi progetti rimangono proclami vuoti. 
È cruciale ricordare che stiamo impiegando i soldi dei cittadini, che vivono una crisi economica senza precedenti e ai quali non possiamo e non dobbiamo chiedere ancora più risorse. Dobbiamo lavorare, invece, affinché ogni euro speso sia utilizzato in modo efficiente per il bene comune. 
Sebbene il finanziamento di nuovi progetti sia cruciale per lo sviluppo dell'Unione europea, è innegabile che non possiamo trascurare il mantenimento delle infrastrutture esistenti, dalla viabilità alla manutenzione del territorio in degrado e abbandono anche dal punto di vista idrogeologico, a causa della mancanza di risorse. L'approccio del nuovo a tutti i costi, dimenticandoci di quanto già esistente, ha dimostrato di essere insostenibile a lungo termine. 
Con fondi a disposizione limitati è necessario massimizzare l'efficacia del loro impiego. Possiamo farlo investendoli in un piano straordinario di manutenzione per preservare ed efficientare ciò che già abbiamo costruito. Investire nella ristrutturazione delle infrastrutture sarà un volano per l'economia, creerà posti di lavoro e aumenterà la competitività dell'Europa a livello globale. 
È inoltre imperativo affrontare il problema della burocrazia eccessiva, che troppo spesso ostacola l'accesso ai finanziamenti: solo semplificando le procedure permetteremo a un maggior numero di progetti di vedere la luce sfruttando appieno il potenziale dei fondi disponibili. 
"
Alessandro PANZA,2023-10-03,IT,EU-Switzerland relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-476-0000_IT.html,"  Alessandro Panza,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, signor Commissario, grazie per aver portato a termine un lavoro decisamente più equilibrato rispetto ad altre posizioni più ideologizzate, nonostante alcune imperdonabili lacune geografiche.
Non vengono citate, infatti, regioni importanti che hanno rapporti storici, culturali, economici e linguistici con la Svizzera, come la Lombardia, la Valle d'Aosta e soprattutto il Piemonte. Ricordo, collega, che da queste regioni proviene quasi un terzo dei lavoratori frontalieri che ogni giorno varcano il confine elvetico.
Vorrei, pur condividendo nel suo insieme il testo, rimarcare tuttavia che la Svizzera rimane uno Stato sovrano, indipendente, seriamente democratico, con il quale l'Unione europea deve impegnarsi a collaborare senza paternalismi e senza pretese che vadano oltre il proprio mandato.
Il 22 ottobre prossimo i cittadini elvetici saranno chiamati al voto per le elezioni federali. Auspico che Parlamento e Commissione abbiano l'intelligenza di rispettare l'esito delle urne, impegnandosi a proseguire un dialogo costruttivo e concreto con il governo svizzero al fine di tutelare lavoratori, imprese e cittadini da ambo le parti.
La Svizzera è un partner strategico per l'Europa e soprattutto per i paesi confinanti, non dimentichiamolo mai.
"
Alessandro PANZA,2023-09-13,IT,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-159-0000_IT.html,"  Alessandro Panza,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, signora Commissaria, mi faccia capire: con i milioni di euro che ha speso la Commissione europea per il programma LIFE WolfAlps, non avete i dati? Interessante da sapere, soprattutto per i contribuenti europei. 
Ringrazio i colleghi che hanno proposto il dibattito, con la speranza che finalmente si passi dalle parole ai fatti e sperando che questo dibattito non avvenga per il sacrificio di un pony. 
Oltre 20 000 lupi in Europa: oltre 3 000 in Italia, di questi la metà in Piemonte. E parliamo solo dei dati ufficiali, che sappiamo tutti essere molto al ribasso rispetto alla situazione reale. Stessa cosa può essere analoga anche per gli orsi. Oltre 43 000 predazioni dal 2015 al 2019; oggi arriviamo tranquillamente a 50 000; oltre 9 milioni di euro spesi per risarcire gli allevatori, parlo solo dell'Italia, senza contare i soldi spesi – qualcuno dice buttati, e forse a ragion veduta – dalla commissione per i programmi LIFE. 
Ma questi sono solo una parte del problema, perché non si tiene conto di tutti coloro che ormai non denunciano nemmeno più gli attacchi o delle conseguenze psicologiche di quegli animali che assistono agli assalti, dimostrando che la situazione è ben peggiore di quello che sembra. 
Alla luce di questi numeri, la domanda non è se declassare il lupo o no ma è perché non sia ancora stato fatto. Si parla sempre di convivenza: ma due entità che convivono in un territorio in cui una è intoccabile e l'altra obbligata a subire, non è convivenza, è sudditanza. E se qualcuno dei colleghi ha ancora dei dubbi, o lei Commissaria, sarà un mio piacere o un mio onore invitarla a visitare gli allevatori e gli alpeggi delle valli dell'Ossola, della Val Susa, della Val Varaita, della Val d'Aosta, della Valtellina, della Valchiavenna, dove non passa giorno in cui non ci sia una predazione. 
Oggi abbiamo il dovere di dare un segnale a tutti coloro che da troppo tempo sono vittime di questa situazione: questi cittadini si sentono abbandonati da questa istituzione che sembra non curarsi minimamente di chi vive nelle valli e nelle montagne europee, pretendendo una visione ideologica e utopistica. 
Il lupo non è più in pericolo di estinzione. Lo sono gli abitanti delle zone rurali che, per quanto mi riguarda, hanno invece la priorità su qualsiasi ideologia ambientalista e animalista. Almeno questo abbiate il buon senso di capirlo. 
"
Alessandro PANZA,2023-09-12,IT,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-238-0000_IT.html,"  Alessandro Panza (ID).   – Signor Presidente, signor Commissario, onorevoli colleghi, nessuno mette in dubbio l'obiettivo di preservare la salute pubblica: ci mancherebbe! Ma non possiamo farlo pregiudicando la produttività e il benessere di intere regioni.
Le regioni del bacino padano, per esempio, Piemonte e Lombardia in particolare, vivono una realtà dove per motivi geografici non è possibile garantire quel ricircolo dell'aria che garantirebbe il raggiungimento degli obiettivi, nonostante siano le prime regioni in Europa in termini di riduzione degli inquinanti.
In Piemonte abbiamo appena scongiurato il blocco di 500 000 auto, che avrebbe causato un danno enorme per famiglie e imprese. Il raggiungimento di un obiettivo non può passare per la privazione del diritto di circolare o di fare impresa. Con i nuovi livelli, che ancora una volta non tengono conto della morfologia dei territori, si rischia di far chiudere, tra Piemonte e Lombardia, più del 70% delle imprese e di bloccare il 75% dei veicoli inquinanti.
La risposta della Commissione non può essere: ""Arrangiatevi"". Servono meno ideologia, più consapevolezza e più risorse. Se una persona non cambia l'auto o non efficienta la propria casa, lo fa perché non può, perché non ha i soldi. Se non tenete conto di questo, proporrete l'ennesimo provvedimento classista che finge di aiutare i più deboli ma in realtà li punisce e li colpisce.
"
Alessandro PANZA,2023-07-12,IT,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-360-0000_IT.html,"  Alessandro Panza (ID).   – Signora Presidente, onorevoli colleghi, signor Commissario, il livello di scontro che Lei ha alimentato in queste ore sulla legge per il ripristino della natura dimostra quanto una parte dei cittadini europei si sia già chiamata fuori dalle sue prescrizioni, inventate a tavolino e basate sulla retorica ambientalista e sul sacrificio di molti a vantaggio di pochi.
Avete partorito un progetto distorto, cercando di costruire una casa dal tetto, partendo da una base scientifica parziale mentre la scienza serve a stimolare un dibattito, non come scudo per scelte che invece hanno solo una matrice politica.
Il green deal fallirà perché avete deciso di voler sacrificare sull'altare dell'ideologia la classe media e intere filiere, dall'auto all'agricoltura, a vantaggio dei nostri competitor, con la Cina in testa. Bisognerà capire se è stato fatto per inettitudine o per interesse di qualcuno.
Caro Commissario, il vento cambia! Non lo dico solo per i trattori olandesi che marciano contro di lei e il suo ex primo ministro Rutte, costretto alle dimissioni, ma perché la gente chiede di essere messa al centro della transizione ecologica e non di rimanerci sotto. Perseguire questo obiettivo come comunità intera ha lo stesso valore di raggiungere l'obiettivo finale, ma Lei forse questo non lo comprende.
L'anno prossimo i cittadini europei vi spiegheranno, democraticamente, come stanno le cose e finalmente potremo lasciarci alle spalle questo incubo nel quale ci avete fatto vivere per troppo tempo.
"
Alessandro PANZA,2023-06-13,IT,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-163-0000_IT.html,"  Alessandro Panza (ID).   – Signora Presidente, onorevoli colleghi, signora Commissaria, non ho mai risparmiato critiche, anche feroci, alla Commissione. Riconosco però che in questo caso, insieme al Parlamento, abbiano intrapreso la giusta strada, forse dettata anche dalla consapevolezza di non essere in grado di mettere in campo le risorse necessarie, soprattutto economiche, per tenere il passo di Cina e Stati Uniti. 
Quindi ritengo giusta e doverosa la volontà di realizzare un quadro normativo che garantisca un uso sicuro di questo strumento, che sappiano offrire grandi opportunità ma che porta con sé un enorme potenziale distruttivo. Abbiamo sentito molte illustri personalità del mondo della tecnologia avanzare dubbi sulla sicurezza di questo strumento. Gli stessi Elon Musk o Sam Altman, il CEO di OpenAI, solo per citare i più famosi che hanno predicato cautela nella gestione di questa potentissima risorsa, senza dimenticare che l'implementazione di queste tecnologie potrebbe portare alla scomparsa di milioni di posti di lavoro. Ecco, nessuna di queste persone dovrà essere abbandonata. 
Concludo facendo solo due considerazioni. La prima: attenzione a non lasciarsi prendere la mano dalla bulimia normativa che spesso pervade questi palazzi, creando il rischio di una disincentivazione all'utilizzo nelle nostre aziende, gravando con ulteriori pesanti adempimenti soprattutto per le piccole e medie imprese. La seconda: non abbiate il timore di utilizzare l'intelligenza artificiale ad esempio per prevenire gli odiosi reati come il terrorismo internazionale, perché le democrazie occidentali hanno la capacità e gli strumenti di garanzia per poter utilizzare queste tecnologie non solo per migliorare le nostre vite ma anche per garantirci la giusta sicurezza. 
"
Alessandro PANZA,2023-06-13,IT,Establishment of the EU Ethics Body (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-211-0000_IT.html,"  Alessandro Panza (ID).   – Signora Presidente, onorevoli colleghi, signora Commissaria, per definizione l'etica è la dottrina o l'indagine speculativa intorno al comportamento pratico dell'uomo di fronte ai due concetti del bene e del male. Una dottrina filosofica che viene scomodata dalla Commissione e dalla maggioranza di questo Parlamento per provare a nascondere le proprie colpe. 
Cosa c'è di etico, per esempio, nella mancanza di trasparenza sugli SMS della Presidente von der Leyen con il CEO di Pfizer? Cosa c'è di etico nei finanziamenti della Commissione alle aziende del marito della Presidente von der Leyen? Cosa c'è di etico nel Qatargate e di tutti coloro, non solo parlamentari, che sono stati coinvolti? Cosa c'è di etico negli emendamenti di compromesso scritti dalle ONG e copiati pari pari dai relatori? Cosa c'è di etico nel cordone sanitario? 
Ora ci volete venire a raccontare che proprio voi volete farvi paladini della trasparenza e del controllo del bene comune solo per assolvere voi stessi. Io credo che non serva creare l'ennesimo inutile carrozzone che graverà sulle tasche dei cittadini europei. Credo che sia sufficiente, ogni tanto, chiedere semplicemente scusa e ammettere le proprie colpe e magari, ogni tanto, dimettersi. 
"
Alessandro PANZA,2023-05-10,IT,Fighting cyberbullying of young people across the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-394-0000_IT.html,"  Alessandro Panza,  a nome del gruppo ID. – Signor Presidente, signor Commissario, onorevoli colleghi, in Italia un adolescente su due è vittima di bullismo e cyberbullismo, dato preoccupante e in costante aumento. Nel 2022 il 31 % dei minori è stato almeno una volta vittima di atti di cyberbullismo, contro il 23 % del 2020.
È una forma di violenza che può avere gravi conseguenze sulla salute mentale e fisica dei nostri figli: ansia, depressione, isolamento sociale, disturbi alimentari, autolesionismo, fino al suicidio.
La prevenzione del cyberbullismo è possibile, deve diventare una priorità per tutti noi e dobbiamo proclamare anche in quest'Aula la nostra determinazione a combatterlo. Dobbiamo educare i nostri giovani all'uso responsabile e sicuro delle nuove tecnologie, ma dobbiamo anche considerare che oggi il 22 % dei minori passa cinque ore al giorno sul telefonino e il 63 % lo fa senza controllo.
Noi genitori, prima che politici, abbiamo il dovere morale e sociale di essere in prima linea in questa battaglia, perché il ruolo di educatori parte da noi, e dobbiamo farlo spiegando anche ai più piccoli che il semplice invio o inoltro di una foto, che in qualche modo prende in giro un compagno di classe o un amico, è già un atto di bullismo.
Dobbiamo fare passi concreti affinché dalle famiglie parta un percorso di consapevolezza e condivisione, che possa essere raccolto dalle istituzioni per realizzare e coordinare azioni concrete volte non solo a prevenire ma anche a punire severamente i bulli.
Non sempre si celano perfidi aguzzini dietro agli atti di cyberbullismo ma certamente, sempre, ci sono delle vittime. Per i primi serve consapevolezza ed educazione per abbandonare definitivamente comportamenti lesivi, per i secondi serve attenzione e aiuto da parte delle famiglie e delle istituzioni, che solo insieme possono combattere e sconfiggere questo fenomeno.
Ragazzi, denunciate sempre, non abbiate paura!
"
