MP,Date,Language,Title,Url,Content
Alexandra GEESE,2023-10-18,DE,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-355-0000_DE.html,"  Alexandra Geese,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Herr Kommissar, sehr verehrte Kolleginnen und Kollegen! Die Europawahl 2024 steht bevor – ein Fest der Demokratie. Bürgerinnen und Bürger schauen sich anhand gut recherchierter Berichte der freien Presse die Sachlage an und wählen dann die Partei, die ihre Meinung und ihre Interessen am besten vertritt – so weit das Idealbild. 
Aber die Realität sieht doch heute ganz anders aus. Im Internet verbreitet sich Desinformation – also bewusst ausgespielte falsche Nachrichten – viel schneller als Information. Kein seriöser Journalismus kann mithalten mit der Geschwindigkeit, mit der eine falsche Nachricht Millionen von Menschen erreicht. Dieser Mechanismus wird von politischen Extremisten genauso genutzt wie von russischen Akteuren, und alle haben eines gemeinsam: Sie wollen unsere Demokratie zerstören.
Die Plattformen, die verdienen viel Geld damit. Sie verdienen nämlich ihr Geld mit Werbung. Und je mehr sie Extremisten Sichtbarkeit geben, desto mehr Geld verdienen sie. Je mehr Empörung ein Inhalt auslöst, desto mehr Zeit verbringen Menschen auf YouTube, Facebook oder TikTok. Demokratiezerstörer setzen eben genau auf Angst und Wut, um Menschen zu verunsichern und aufzuhetzen. 
Für soziale Netzwerke ist das viel Profit, aber für Demokratie bedeutet es reines Gift. Denn in einer Demokratie, da braucht es Fakten, Optimismus und Kompromissbereitschaft. Aber genau das wird im Netz mit geringer Sichtbarkeit bestraft. Diesen absurden Mechanismus müssen wir ändern, wenn wir Fakten wieder eine Chance geben wollen.
Genau diese Chance haben wir jetzt. Das Gesetz über digitale Dienste gibt nämlich der Kommission die Möglichkeit, einzuschreiten, wenn Plattformen Menschen systematisch viel mehr Desinformation in die Timeline spülen als Fakten. Genau das muss die Kommission jetzt auch tun, um die Wahl 2024 zu schützen. Ich begrüße es sehr, dass Kommissar Breton X, TikTok, Meta und Google nach dem Terroranschlag von Hamas auf Israel bereits energisch zur Einhaltung des Gesetzes über digitale Dienste aufgefordert hat.
Aber das Gesetz über digitale Dienste ist deshalb so revolutionär, weil es eben dabei nicht nur um das Löschen von illegalen Inhalten geht, sondern endlich um Chancen auf gleiche Sichtbarkeit auch für legale Inhalte. Nur wenn die Europäische Union jetzt eine Änderung der Algorithmen sozialer Netzwerke durchsetzt, damit Fakten wieder die gleiche Chance haben, dann können die Bürgerinnen und Bürger Europas 2024 ein großes Fest der Demokratie feiern.
"
Alexandra GEESE,2023-10-16,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-042-0000_EN.html,"  Alexandra Geese,  on behalf of the Verts/ALE Group. – Madam President, colleagues, this week the Council will vote on the highly controversial child sexual abuse regulation proposal.
According to press reports and the X advertising repository, the Commission has attempted at the same time to directly influence public opinion in key Member States through micro-targeted messages on X, explicitly asking Twitter to hide these messages from certain groups of people, for example Christians – so according to their religious beliefs, or also according to their political orientation. This is illegal under the DSA.
From a European rule of law point of view, it is highly problematic that the European Commission attempts to directly influence public opinion ahead of a crucial Council vote, going behind the back of the respective governments, violating the principle of sincere cooperation with the co-legislators.
It is also undermining Commissioner Breton’s very commendable efforts in the last weeks to combat the spread of disinformation and illegal content about the terrorist attacks of Hamas on Israel on digital platforms using exactly that DSA – the Digital Services Act.
Therefore we request your support for a plenary debate with the title ‘Council and Commission statements: the European Commission’s attempt to influence the voters of Member States reluctant to support the CSAM proposal through micro-targeting, without resolution’ to be added on Wednesday night. As a consequence, we request for the session to be extended to 23.00.
"
Alexandra GEESE,2023-10-04,DE,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-416-0000_DE.html,"  Alexandra Geese (Verts/ALE).   – Herr Präsident! Der Transmann Malte wurde in Deutschland auf offener Straße totgeschlagen, weil er ein Transmann war. In immer mehr europäischen Staaten sind queere Menschen in Gefahr, weil im Internet so offen gegen sie gehetzt wird.
Dieser Hass tötet. Er wird bewusst geschürt mit großen Desinformationskampagnen, orchestriert von russischen Akteuren, von rechtsextremen Gruppen aus den USA, die damit unsere Gesellschaft spalten und unsere Demokratie schwächen wollen. Wenn dann rechtsextreme Populisten in Regierungen kommen, dann schüren sie den Hass weiter − mit Gesetzen, die queeren Menschen Pädophilie unterstellen wie in Ungarn, mit Gesetzen, die ganze Familien zerstören wie in Italien.
Die EU muss eines klar sagen: Wir bekämpfen die Desinformation im Internet, die den Nährboden für diese diskriminierenden Gesetze bereitet, und wir werden die Grundrechte von queeren Menschen in jedem Land Europas verteidigen. Denn der Angriff auf ihre Rechte ist ein Angriff auf unsere Demokratie.
"
Alexandra GEESE,2023-10-03,DE,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-099-0000_DE.html,"  Alexandra Geese (Verts/ALE).   – Frau Präsidentin! Wussten Sie, dass unsere Kollegin Hannah Neumann verleumdet wird? Auf einer italienischen Medienseite erschien ein Artikel, der Hannah Neumann als korrupt und am Katar-Geld beteiligt darstellte − eine dreiste Lüge, die die Integrität dieses Hauses beschädigen sollte. Und das kann jedem von uns passieren. Es ist dieser Kollegin in mühsamer Kleinarbeit gelungen, sich zu wehren und diesen Artikel löschen zu lassen. Aber bis dahin wurde er so weit verbreitet, dass er zeitweise bei den Suchergebnissen an erster Stelle stand.
Wir müssen endlich begreifen: Desinformation verbreitet sich im Internet immer schneller als Information. Kein gut recherchierter journalistischer Inhalt kann mit den Lügen mithalten, die von Algorithmen gepusht werden. Und wenn wir dem Europäischen Medienfreiheitsgesetz in seiner derzeitigen Form mit dem Artikel 17, der ein Freibrief für Desinformation ist, übrigens auch für die Inhalte des ungarischen Staatsfernsehens − doch, denn Sie brauchen jetzt die Zustimmung der nationalen Aufsichtsbehörde, um zu moderieren –, da würde ich gerne mal sehen, wo sie die in Ungarn oder in Italien bekommen.
Deswegen bitte ich Sie: Stimmen sie für die Änderungsanträge, die Artikel 17 streichen oder entschärfen! Medienfreiheit ist ein hohes Gut, aber sie bedeutet eben auch, dass Bürgerinnen und Bürger ein Recht darauf haben, nicht von Lügen überschwemmt zu werden.
"
Alexandra GEESE,2023-06-13,DE,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-167-0000_DE.html,"  Alexandra Geese (Verts/ALE).   – Frau Präsidentin, Frau Kommissarin, verehrte Kolleginnen und Kollegen! Die Hälfte aller KI-Forscherinnen und -Forscher sagte auf eine entsprechende Umfrage 2022, es gebe eine 10%ige Wahrscheinlichkeit, KI könne zum Aussterben der Menschheit führen. Wer von Ihnen würde bei einer solchen Wahrscheinlichkeit eines Absturzes noch in ein Flugzeug steigen? Wenige wahrscheinlich. Genau deswegen gibt es Regeln zur Flugsicherheit, damit wir diese Technologie sicher nutzen können. Genau das machen wir auch für die künstliche Intelligenz.
Dabei sind nicht nur einzelne Hochrisikoanwendungen wichtig, sondern auch gerade die Verfahren, die sicherstellen, dass wir große generative Modelle wie zum Beispiel ChatGPT sicher nutzen können – und sicher auch für unsere Demokratie. Denn was zum Beispiel droht, sind in großem Stile generierte Desinformationen, die gemeinsam mit Deepfakes unsere Informationslandschaft fluten könnten. In kurzer Zeit kann man große Mengen von irreführenden Inhalten erstellen, die in sozialen Netzwerken wiederum durch die Algorithmen schneller verbreitet werden als journalistische Qualitätsinformation.
Dieses Risiko müssen wir auch angehen können, denn ohne Fakten keine Demokratie. Diese Demokratie wollen wir schützen, und dafür tun wir einen wichtigen ersten Schritt mit der neuen europäischen KI-Gesetzgebung.
"
Alexandra GEESE,2023-05-10,DE,Fighting cyberbullying of young people across the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-392-0000_DE.html,"  Alexandra Geese,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Herr Kommissar, sehr verehrte Frau Fox, liebe Kolleginnen und Kollegen! Jeder zehnte junge Mensch zwischen 10 und 19 ist Opfer von Cybermobbing gewesen, jeder Dritte kennt ein Opfer. Das ist eine Massenepidemie, die schwerste Folgen für die mentale Gesundheit von Kindern und Jugendlichen hat, bis hin zum Suizid.
In der Verantwortung für die Bekämpfung stehen viele, zuallererst die großen Digitalplattformen. Sie müssen ihre Algorithmen ändern, einfache Meldewege einrichten und gemeldete Cybermobbinginhalte unverzüglich löschen. Daran arbeiten wir hier in Europa. 
Vor Ort brauchen wir Digitalbildung, wir brauchen Schulsozialarbeit. Aber vor allem müssen Hass und Hetze im Internet jetzt endlich gesellschaftlich geächtet werden, und dafür braucht es das Vorbild der Erwachsenen und ganz besonders von uns hier, in der Politik.
Und da kann es doch nicht sein, dass in diesen Tagen in Deutschland der ehemalige Vorsitzende der Jungen Union, also einer Jugendorganisation, auf Twitter gegen die Erzieherin einer katholischen Kindertagesstätte hetzt und sie für die rechten Hetzer mit den Kontaktdaten zum Abschuss freigibt. Das ist Cybermobbing auf höchstem Niveau, und das ist genau das Vorbild, das wir nicht brauchen. 
"
Alexandra GEESE,2023-03-29,DE,The Rights of children in Rainbow Families and same sex parents in particular in Italy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-194-0000_DE.html,"  Alexandra Geese (Verts/ALE).   – Herr Präsident, Frau Kommissarin, verehrte Kolleginnen und Kollegen! Die rechtsextreme Regierung in Italien greift gerade mit scharfer Rhetorik wieder einmal ihren Lieblingsfeind an: Regenbogenfamilien und ihre Kinder. Diese Kinder dürfen jetzt nicht mehr in den italienischen Städten registriert werden. Und angeblich geht es darum, das Verbot der Leihmutterschaft durchzusetzen. Aber die Kollegen hier auf der rechten Seite des Hauses und in Italien ignorieren, dass beim allergrößten Teil der Kinder, die aus Leihmutterschaften geboren werden, die neuen Eltern heterosexuelle Paare sind.
Warum wird dann die LGBTQ+-Community mit Hass überschüttet? Und das zeigt doch wieder mal: Die rechtsextreme Regierung in Italien baut die Rechte ihrer Bürgerinnen und Bürger ab und diskriminiert alle Gruppen, die nicht in ihr autoritäres Weltbild passen. Aber das ist eben nicht Italien. Viele Bürgermeister und Oberbürgermeister Italiens – allen voran „Beppe“ Sala in Mailand – setzen ein Zeichen gegen diese ausgrenzende Politik. Sie verteidigen die Rechte der Kinder, und wir in Europa stehen dabei an ihrer Seite!
"
Alexandra GEESE,2023-03-14,DE,Data Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-025-0000_DE.html,"  Alexandra Geese (Verts/ALE).   – Frau Präsidentin, sehr verehrter Herr Kommissar! Daten sind glücklicherweise nicht das neue Öl; Daten sind der neue Boden, aus dem Innovation wachsen kann, und diese Innovation gilt es zu fördern. Indem wir jetzt mit klaren Regeln darstellen, wer welche nicht personenbezogenen Daten nutzen darf und wie diese Daten auch zusammenwirken können.
Aber dabei muss ein Prinzip klar sein: Wer die Daten erzeugt, entscheidet über ihre Nutzung. Es kann nicht sein, dass die Daten aus der Nutzung eines smarten Kühlschranks automatisch nur dem Hersteller gehören. Denn für innovative Anwendungen und Geschäftsmodelle brauchen wir ja gerade auch die Zugänge für Startups und für die Forschung.
Im Cloudbereich bedaure ich sehr, dass der Binnenmarktausschuss den ambitionierten Vorstoß der Kommission zunichtegemacht hat, den heute von zwei dominanten Digitalkonzernen beherrschten Markt aufzubrechen, um gerade auch europäischen Anbietern eine echte Chance zu geben und unseren kleinen und mittelständischen Unternehmen mehr Auswahl zu bieten. Hier zementieren wir eine Abhängigkeit, aus der wir uns in Europa doch eigentlich befreien wollen.
Schwach ist der Vorschlag – leider – wie die gesamte Digitalpolitik auch in Sachen Klimaschutz. Die steigenden Datenvolumen werden große Mengen Strom und Ressourcen brauchen. Deswegen ist es so wichtig, dass wir Grünen Deal und Digitalgesetzgebung zusammen denken, dass sie Hand in Hand gehen. Denn wir brauchen eine kluge Digitalisierung, um den Planeten zu retten. Ich hoffe, dass wir die Chancen noch ausnutzen können, die sich jetzt im Bereich Ökodesign und künstliche Intelligenz dafür ergeben.
"
Alexandra GEESE,2023-02-01,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-01-INT-1-027-0000_EN.html,"  Alexandra Geese,  on behalf of the Verts/ALE Group. – Madam President, on behalf of my group, I would propose a debate with a different title that actually focuses on the facts that we want to debate here. So, the title would be ‘Commission statement on recent violent attacks against diplomatic personnel in the European Union and counter—measures, including improving detention conditions’. I think this is a lot more accurate description of the facts we want to debate.
"
Alexandra GEESE,2023-02-01,DE,Transparency and targeting of political advertising (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-01-INT-1-111-0000_DE.html,"  Alexandra Geese,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin, Frau Ministerin! Der Begriff Cambridge Analytica ist heute schon mehrmals gefallen und ist auch vielen bekannt. Aber was hat diese Firma denn eigentlich getan?
Sie hat psychologische Profile – ganz genaue Datenprofile – von Menschen erstellt, um dann ihr Wahlverhalten zu beeinflussen, und zwar durch ganz genau auf sie persönlich zugeschnittene Inhalte. Das kann im harmlosesten Fall bedeuten, dass eine politische Kandidatin sich mit einer Katze ablichten lässt, um eine Anzeige an Katzenliebhaber zu schicken, und mit einem Hund, um Anzeigen und Werbung an Hundeliebhaber zu schicken. Aber im schwerwiegenderen Fall – und das ist das, was heute passiert – heißt es, dass man zum Beispiel schwarze Wählerinnen und Wähler in den Swing Districts, den wahlentscheidenden Wahlkreisen in den USA, 2016 davon abgehalten hat, zur Wahl zu gehen, indem man ihnen mit Facebook-Anzeigen suggeriert hat, das lohne sich gar nicht. Das ist heute eher der Normalfall der politischen Werbung als die Ausnahme.
Mithilfe solcher Datenprofile kann eine Partei aber auch ganz unterschiedliche Botschaften an unterschiedliche Wählergruppen aussenden, also zum Beispiel: „Freie Fahrt für alle – keine neuen Gesetze!” an ältere Menschen und „Klimaschutz first!” an jüngere Menschen. Das passt doch nicht mit unserer öffentlichen Demokratie zusammen, dass man als Partei nicht mehr dafür geradestehen muss, was man sagt.
Es ist unsere Verantwortung, klar zu kommunizieren und dafür Verantwortung zu übernehmen. Demokratie braucht eine gemeinsame Öffentlichkeit, und das bringen wir mit diesem Gesetz nach vorne. Das zielgerichtete Ausspielen von politischer Werbung auf der Grundlage von sehr persönlichen Eigenschaften wird eingeschränkt und 60 Tage vor der Wahl ganz verboten. Das ist ein wichtiger Schritt in Richtung starker Demokratie und fairer Wahlen.
"
