MP,Date,Language,Title,Url,Content
Andrea COZZOLINO,2022-11-22,IT,Situation in Libya (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-474-0000_IT.html,"  Andrea Cozzolino (S&D).   – Signora Presidente, onorevoli colleghi, in Libia noi europei paghiamo serissimi errori e nostre profonde divisioni. 
Altri nel frattempo hanno occupato uno spazio lasciato vuoto: Turchia, Russia, Egitto, paesi del Golfo. Il rischio che corriamo come istituzioni europee, Commissione, Stati membri, Parlamento, è la nostra fondamentale irrilevanza. Per recuperare un nostro ruolo occorrono credibilità, unità e determinazione dell'Unione europea, come ci indica la relazione di Pisapia, sottoposta alla nostra discussione e al confronto. 
Occorre lavorare politicamente per una nuova Berlino, per assicurare un futuro libero e unitario alla Libia, unitario, che tenga unita la Libia, garantire un processo democratico per eleggere un nuovo Parlamento e un nuovo esecutivo, liberare il territorio dalla presenza di troppe armi ed eserciti privati stranieri, chiedere di chiudere gli indegni centri di detenzione e liberare gli immigrati, privati di qualsiasi diritto di cittadinanza, assicurare, insieme a tutto questo, un programma economico, sociale e infrastrutturale di ricostruzione della Libia. È questo il compito che dobbiamo svolgere adesso.
"
Andrea COZZOLINO,2022-10-19,IT,Whitewashing of the anti-European extreme right in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-167-0000_IT.html,"  Andrea Cozzolino (S&D).   – Signor Presidente, onorevoli colleghi, questo nostro confronto non è un capriccio per alimentare una sciocca polemica in sede europea, qui stiamo discutendo, credo, di un punto cruciale che viene prima di ogni altra cosa: la solidità del patto politico e democratico che ci unisce da oltre settant'anni, a fondamento della costruzione di questa casa comune, che è l'Europa e le sue diverse istituzioni, a cominciare dal Parlamento.
Se non lo vediamo siamo ciechi e pagheremo un duro prezzo nei prossimi mesi e nei prossimi anni. Lo dico soprattutto agli amici del Partito popolare, che non vedo presenti in massa a questa nostra discussione, anzi, ma anche al centro moderato, alla sinistra diffusa, sempre attenta a questi temi.
Noi siamo di fronte a un nuovo pensiero che viene avanti: non si evoca più il fascismo, non si chiede più di abbattere l'Europa, ma di minarla al proprio interno, nei principi costitutivi e fondamentali che ne hanno ispirato l'azione per oltre settant'anni.
È necessario reagire, è forse venuto il tempo di un nuovo patto costituente tra le forze democratiche europee.
"
Andrea COZZOLINO,2022-10-19,IT,Political situation in Tunisia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-317-0000_IT.html,"  Andrea Cozzolino,  a nome del gruppo S&D. – Signora Presidente, signor Commissario, onorevoli colleghi, proprio ieri, Commissario, una bambina è giunta sull'isola di Lampedusa. Ha solo quattro anni, è senza genitori ed è tunisina. È solo l'ultimo episodio che dimostra quanto grande sia il malessere che attraversa la società tunisina e, ancora di più, quanto grande e aperta sia la duplice sfida che sta davanti alla Tunisia in questo momento della sua storia. 
Innanzitutto, quella drammatica sul piano sociale ed economico e quella cruciale sul piano politico e democratico. Gli esiti sono ancora molto incerti, i segnali sono contraddittori.
Grazie all'UGTT si è siglato un importante accordo sui dipendenti pubblici, aprendo la strada per la concessione di un prestito di 1 miliardo e 900 milioni, che eviterà il default dello Stato da parte del Fondo monetario internazionale, fatti che salutiamo, credo, tutti positivamente e incoraggiamo.
Assai più incerta e carica di rischi è la sfida sul terreno politico e democratico. Saïed ha scelto la strada di concentrare su di sé i principali poteri ed è andato avanti sulla riforma costituzionale e la nuova legge elettorale, con la quale, il 17 dicembre, si eleggerà il prossimo nuovo Parlamento. Seguiamo con crescente preoccupazione questa fase, più di una delegazione del Parlamento europeo si è recata a Tunisi e ha incontrato i diversi protagonisti, abbiamo fatto appello sulla necessità di un dialogo inclusivo e costruttivo tra tutte le forze politiche.
Non siamo indulgenti con un sistema politico corrotto, che ha provocato danni alla Tunisia o una politica spesso divisa, come ancora adesso, però sentiamo la necessità di ritornare a essere vigili e attenti, come Commissione e come Parlamento, nell'interesse del popolo tunisino e della nostra solida amicizia con esso.
"
Andrea COZZOLINO,2022-10-05,IT,The situation of human rights in Haiti in particular related to gang violence,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-05-INT-3-345-0000_IT.html,"  Andrea Cozzolino (S&D).   – Signor Presidente, onorevoli colleghi, Haiti è in preda a una spirale di violenza che non ha cessato di peggiorare sin dall'uccisione del Presidente Moïse. L'instabilità politica e le condizioni economiche e sociali, gravemente peggiorate dalla pandemia e dal violento terremoto dell'agosto 2021, fanno di Haiti in questo momento uno degli scenari di crisi più gravi per i diritti umani e sociali nel mondo. 
Il paese è in preda a una spirale di violenza, come hanno ricordato tanti colleghi, in cui si intravedono preoccupanti legami tra criminalità, gruppi violenti e politica corrotta, impegnata in una lotta incessante senza quartiere per il potere. Lo scorso anno sono avvenuti più di 1 000 omicidi. La maggior parte della popolazione vive in condizioni di assoluta povertà. 
La comunità internazionale ha adottato nei confronti di Haiti comportamenti altalenanti, con esiti a volte disastrosi, a cominciare dai comportamenti ambigui degli stessi Stati Uniti. Per questo motivo chiediamo all'Alto rappresentante e alla Commissione di intraprendere tutte le iniziative in sede internazionale per rafforzare le istituzioni di Haiti, al fine di arrestare la spirale di violenza e offrire una prospettiva meno sofferente al popolo di Haiti. 
"
Andrea COZZOLINO,2022-09-14,IT,"Nicaragua, in particular the arrest of the bishop Rolando Álvarez",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-361-0000_IT.html,"  Andrea Cozzolino,  a nome del gruppo S&D. – Signora Presidente, onorevoli colleghi, il governo del Nicaragua ha compiuto un vero e proprio salto di qualità nella repressione del dissenso politico interno. Ormai tutto questo è documentato dalle Nazioni Unite, dalle organizzazioni non governative, dalla stessa UE.
Tutto è iniziato dal 2018 ma negli ultimi mesi ha conosciuto una vera e propria recrudescenza e il nuovo bersaglio è diventata la Chiesa cattolica nicaraguense. Soprattutto da quando la Chiesa si è mossa per svolgere un ruolo di mediazione tra le forze politiche di opposizione e il governo stesso: una funzione di dialogo.
Prima sono state chiuse tante stazioni radio, poi l'espulsione del nunzio apostolico e infine l'arresto di numerosi preti, fino al culmine con l'arresto e la detenzione arbitraria del vescovo Álvarez.
Da qui si leva una voce chiara e forte, una voce unitaria, senza se e senza ma, perché questo oggi noi rappresentiamo, al Parlamento europeo, e per questo abbiamo voluto questa discussione. La voce è alta e la condanna è ferma per chiedere l'immediato rilascio del vescovo ma anche di tutte le altre forze che sono state detenute in queste settimane e in questi mesi, come abbiamo ricordato nella mozione, senza alcuna condizione.
"
Andrea COZZOLINO,2022-07-06,IT,"The situation of indigenous and environmental defenders in Brazil, including the killing of Dom Phillips and Bruno Pereira",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-06-INT-3-409-0000_IT.html,"  Andrea Cozzolino,  a nome del gruppo S&D. – Signora Presidente, onorevoli colleghi, non sprechiamo questa occasione per fare una discussione da campagna elettorale, non è questo il tempo di una campagna elettorale. 
Negli ultimi anni in Brasile la condizione della popolazione indigena è drammaticamente peggiorata. Abbiamo assistito a gravi violazioni dei diritti fondamentali e tutto questo in un clima di impunità totale, anzi. Lo possiamo riconoscere con chiarezza, pronti a fare un confronto in ogni sede, che le scelte politiche adottate dal governo Bolsonaro hanno favorito l'emergere di questo clima di violenza e hanno aggravato le condizioni di sfruttamento della foresta amazzonica.
Diritti umani e tutela dell'ambiente in questo caso si intrecciano in un binomio indissolubile, la cui difesa assume la portata di un interesse universale, globale, mondiale. E questo interesse ci impone di assumere posizioni nette, non la prossima campagna elettorale.
È innanzitutto per fare chiarezza, piena luce sull'assassinio e sull'uccisione di un giornalista intelligente e curioso come Dom Phillips e dell'esperto indigeno Bruno Pereira. 
Inoltre, chiediamo alla Commissione e al Consiglio di adottare tutte le iniziative necessarie per ottenere il rispetto dei diritti delle popolazioni indigene amazzoniche e dei difensori dell'ambiente, per assicurare la tutela di un bene comune fondamentale per l'intera umanità, la foresta amazzonica.
"
Andrea COZZOLINO,2022-06-08,IT,Violations of media freedom and safety of journalists in Georgia,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-08-INT-3-364-0000_IT.html,"  Andrea Cozzolino (S&D).   – Signora Presidente, onorevoli colleghi, signor Commissario, forse non era il momento di discutere e addirittura avere una risoluzione sulla Georgia nel contesto attuale geopolitico. Tuttavia, abbiamo avuto fiducia nella forza del dialogo tra di noi, concentrando la nostra attenzione sulla violazione delle libertà dei media e della sicurezza dei giornalisti e individuando anche le responsabilità delle autorità di governo. 
Insieme, nella risoluzione, abbiamo incoraggiato ad andare avanti le autorità georgiane, quelle europee, i tanti e diversi protagonisti, le tante istituzioni, e soprattutto rivolgendoci al popolo georgiano, con le procedure secondo l'articolo 49 per il riconoscimento dello status di candidato per l'ingresso nell'Unione europea. È giusto, è necessario incoraggiare questo processo. Le aspirazioni del popolo georgiano devono trovare una soddisfazione nel Parlamento europeo.
Non sprechiamo però questo tentativo, questo lavoro faticoso che stiamo svolgendo da anni. Con questa risoluzione rischiamo di mettere un ostacolo. Dobbiamo essere esigenti, ma non possiamo giocare qui una partita politica con la pretesa di decidere noi quale classe dirigente il popolo georgiano deve darsi. Per questo dobbiamo incoraggiare ad andare avanti in questo processo.
"
Andrea COZZOLINO,2022-05-04,IT,Use of the Pegasus Software by EU Member States against individuals including MEPs and the violation of fundamental rights (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-04-INT-3-291-0000_IT.html,"  Andrea Cozzolino (S&D).   – Signor Presidente, onorevoli colleghi, noi sappiamo che NSO è un'azienda privata israeliana ed è proprietaria delle più sofisticate tecnologie di sorveglianza. Questa azienda privata vende a Stati questa tecnologia grazie anche all'approvazione del ministero della Difesa di Israele e lo fa verso gli Stati democratici, dove è possibile controllare l'uso di questa tecnologia, e lo fa anche verso paesi illiberali, privi di carte costituzionali, privi di fondamentali diritti, di libertà. 
Ovviamente tutto questo lo fa per tutelare e garantire la sicurezza dei cittadini e la lotta al terrorismo. È evidente che si è creato qualcosa di mostruoso ed è necessario il lavoro che avviamo da qui ai prossimi dodici mesi. Noi abbiamo il dovere di dare delle risposte ai cittadini europei, ma parlare anche al mondo intero e dobbiamo farlo anche grazie alla collaborazione che deve venire dalla Commissione e dal Consiglio, perché noi dobbiamo fare chiarezza, senza se e senza ma, su quello che è accaduto e su quello che potrà accadere nelle prossime settimane e nei prossimi mesi e dobbiamo farlo nell'interesse dei cittadini europei. 
"
Andrea COZZOLINO,2022-05-04,IT,The case of Osman Kavala in Turkey,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-04-INT-3-309-0000_IT.html,"  Andrea Cozzolino,  a nome del gruppo S&D. – Signor Presidente, onorevoli colleghi, è dolorosa la condanna all'ergastolo di Osman Kavala per lui e la sua famiglia, per la democrazia in Turchia, per i rapporti tra la Turchia e l'Unione europea, perché sono accuse false. 
Pesano come un macigno le interferenze politiche del governo, dichiarazioni pubbliche, promozioni in ambito governativo di personalità coinvolte nel caso, avvio di indagini disciplinari contro gli stessi giudici turchi che avevano in precedenza assolto Kavala. Tutto questo si inserisce in un quadro preoccupante. Assistiamo infatti ormai a un diffuso utilizzo politico della giustizia penale ai danni degli oppositori del governo. 
È ancora più preoccupante registrare la totale indifferenza del governo turco nei confronti delle sentenze della Convenzione europea sui diritti dell'uomo, che non solo evidenzia l'infondatezza delle accuse nei confronti di Kavala, ma che impone al governo di porre immediatamente fine alla violazione dei suoi diritti umani, civili e politici. Diritti, appunto, sanciti nella Convenzione europea dei diritti dell'uomo, di cui la stessa Turchia è parte, ma soprattutto diritti impressi nella coscienza politica giuridica della comunità internazionale. 
Proprio per questo noi dobbiamo tenere alta la mobilitazione e l'attenzione. Abbiamo fatto bene a discutere nel Parlamento e a votare con una larga maggioranza questa mozione e sollecitare la Commissione a fare tutti gli interventi necessari, anche rivolgendo un ennesimo appello al governo turco affinché interrompa immediatamente questa ingiustizia. 
"
Andrea COZZOLINO,2022-03-10,IT,"Myanmar, one year after the coup",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-10-INT-4-097-0000_IT.html,"  Andrea Cozzolino,  a nome del gruppo S&D. – Signora Presidente, onorevoli colleghi, è trascorso un anno dal colpo di Stato in Myanmar. Da allora, le già precarie condizioni umanitarie sono enormemente peggiorate: più di 1 500 cittadini sono stati uccisi, più di 8 600 persone sono in carcere, 80 quelle condannate alla morte, più di 400 000 sono i nuovi sfollati. Tutto questo da quando c'è stato il colpo di Stato militare di un anno fa e dopo le contestate elezioni democratiche. Oggi il potere è nelle mani della giunta militare. 
Noi siamo in campo, come Europa, come Parlamento, in difesa della popolazione civile e dei difensori dei diritti umani e, in particolare, a difesa delle minoranze etniche e religiose, che già prima del colpo di Stato soffrivano di pesanti persecuzioni. Chiediamo alla giunta militare il rilascio di tutti i detenuti politici e di ripristinare il governo democraticamente eletto. Solo la politica, un processo democratico può ripristinare una condizione di pace e stabilità nel paese. Al tempo stesso, al nostro Borrell, alla Commissaria Jourová, alla Commissione nella sua interezza l'invito a sostenere tutte le iniziative diplomatiche, come quelle in corso all'Associazione delle nazioni del sud-est asiatico, ma soprattutto mettere pressione, pressione, sulla giunta militare per rendere possibile l'ingresso degli aiuti umanitari per tutta la popolazione civile nel paese, in particolare per gli sfollati.
Dobbiamo essere risoluti, determinati e vigili, soprattutto in questo momento. Se non ci sono sviluppi positivi, essere pronti a rafforzare e introdurre nuove sanzioni. Colpire fino in fondo gli interessi economici che si raccolgono intorno alla giunta militare: questo è il compito dell'Europa e questo è il compito che si dà il Parlamento europeo.
"
