MP,Date,Language,Title,Url,Content
Andreas GLÜCK,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-161-0000_DE.html,"  Andreas Glück (Renew).   – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen und Kollegen! Noch immer arbeite ich vier Stunden in der Woche in einem kleinen Krankenhaus in der Albklinik auf der Schwäbischen Alb als Arzt. Ich habe immer wieder die Herausforderung, dass Patienten zu mir kommen, die zum Beispiel in Italien beim Skilaufen gestürzt sind, jetzt mit irgendeiner Verletzung bei mir auftauchen und ich gar nicht so ganz genau weiß, was sie haben. Deswegen muss man teilweise doppelte Untersuchungen durchführen. Das ist schlecht für den Patienten, es ist teuer und es ist einfach auch unnötig.
Aus diesem Grund ist ein europäischer Raum für Gesundheitsdaten sehr wichtig, damit wir hier Primärdaten austauschen können. Auch Sekundärdaten als anonymisierte Daten, die der Wissenschaft zur Verfügung gestellt werden, sind unglaublich wichtig. Wissenschaft kann eben nur so gut sein wie die Daten, die ihr zur Verfügung gestellt werden. Dass es natürlich hier sensible Daten sind, ist klar. Dass wir da Datenschutzanforderungen brauchen, die sehr hoch sind, ist klar. Aber es handelt sich hier ja nicht um Daten, die jetzt etwa neu erhoben werden, sondern es sind Daten, die eben ohnehin schon erhoben werden und für die jetzt eben eine gemeinsame Plattform zur Austauschbarkeit geschaffen werden soll. Für uns, für Europa eine gute Chance – nicht überall ein bisschen Europa, sondern ein starkes Europa an den richtigen Stellen.
"
Andreas GLÜCK,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-052-0000_DE.html,"  Andreas Glück (Renew).   – Sehr geehrte Frau Präsidentin, werte Kolleginnen und Kollegen! Eine echte Reduktionsstrategie – ja, pauschale Verbote – nein. In Anbetracht der multiplen Krisen auf der Welt ist eine gesicherte Nahrungsmittelproduktion in der EU wichtiger denn je.
Und nein, es ist keine Alternative, dass wir unseren Landwirten immer mehr Auflagen machen und unser Ertrag sinkt; damit müssten wir mehr auf dem Weltmarkt einkaufen. Bei aller aufrichtiger Liebe zur Biodiversität sage ich ganz offen: Es kann nicht sein, dass wir uns immer mehr aufs Einschränken konzentrieren und es dadurch zu mehr weltweitem Hunger kommt. Ich erwarte deshalb von der Kommission wie auch vom Parlament, dass wir Wege aufzeigen, wie es geht, und eben nicht nur Verbote, wie es nicht gehen soll.
Ein Pauschalverbot in sensiblen Gebieten lehne ich deshalb ab. Bei Landschaftsschutzgebieten übrigens wäre das besonders tragisch. Diese sollen eine Kulturlandschaft schützen; die SUR droht nun das kaputt zu machen, was das Landschaftsschutzgebiet schützen soll. Einschränkungen in Schutzgebieten sollen möglich sein, ja, aber eben nur, wenn der Schutzzweck gefährdet ist. Der SUR werde ich deshalb nur dann zustimmen können, wenn sich bei den Schutzgebieten noch etwas tut.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Andreas GLÜCK,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-054-0000_DE.html,"  Andreas Glück (Renew),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Liebe Sarah Wiener, ich glaube, dass wir an dieser Stelle tatsächlich europäisch einheitlich vorgehen müssen. Es bringt nichts, wenn wir dann wieder unterschiedliche Situationen in den Mitgliedstaaten haben. Ich glaube sogar, dass wir vom prinzipiellen Ansatz her andersherum kommen müssen. Wir brauchen eine Beweislastumkehr. Dort, wo Pflanzenschutzmittel etwas gefährden, wo der Schutzzweck kompromittiert wird, da bin ich sofort dabei, dass wir sagen, hier muss der Einsatz eingeschränkt werden, aber erst einmal zu verbieten, um dann an anderer Seite wieder zu Erleichterungen zu kommen, das halte ich für die falsche Herangehensweise. Man sollte erst einmal erlauben und nur dort verbieten, wo eben nötig.
"
Andreas GLÜCK,2023-11-08,DE,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-223-0000_DE.html,"  Andreas Glueck (Renew).   – Sehr geehrter Herr Präsident, werte Kolleginnen und Kollegen! Braucht es Euro 7 denn überhaupt? Autos besser und sauberer zu machen, ist natürlich wichtig. Das Problem ist nur, dass die Automobilbranche bereits jetzt schon hin auf dem Weg zur Dekarbonisierung ist – und die Kosten hierfür sind unglaublich intensiv.
Nun, wenn Euro 7 zu streng und zu teuer wird, dann fehlen erstens mal die Ressourcen der Industrie bei diesem Transformationsprozess. Zweitens werden die Euro-7-Fahrzeuge teurer. Dann können sich die Menschen keine neuen Autos leisten, und die Flottenerneuerung erlahmt. Außerdem: Euro-6-Fahrzeuge sind doch nicht unser Problem. Wenn dann allenfalls ältere Fahrzeuge, die dann aber eben länger nicht ausgetauscht werden.
Für mich macht deshalb Euro 7 nur dann Sinn, wenn eben erneuerbare Kraftstoffe im Gesetz verankert sind. Ein Verbrenner ist weder gut noch schlecht. Es kommt einfach darauf an, was man drin verbrennt. Lassen Sie uns dafür sorgen, dass es etwas Klimaneutrales ist, was verbrannt wird. Leider sind die erneuerbaren Kraftstoffe nicht Teil des vorliegenden Gesetzentwurfs. Das halte ich für falsch. Deswegen habe ich Änderungsanträge eingebracht, die das korrigieren sollen.
Nur Technologieoffenheit bringt die besten und günstigsten Lösungen. Bitte unterstützen Sie unsere Änderungsanträge, um ein besseres Gesetz zu machen.
"
Andreas GLÜCK,2023-01-17,DE,Surge of respiratory infections and the shortage of medication in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-173-0000_DE.html,"  Andreas Glück (Renew).   – Herr Präsident, Frau Kommissarin, werte Kolleginnen und Kollegen! Es wird Sie wundern, wenn ich das sage: Wir brauchen nicht überall ein bisschen Europa, aber wir brauchen ein starkes Europa an den richtigen Stellen. Und die richtigen Stellen sind genau dort, wo es um die Versorgung mit lebensnotwendigen Dingen geht, zum Beispiel mit Medikamenten, oder wo es um die strategische Ausrichtung von Dingen geht. Und wir brauchen uns nicht zu wundern, denn in der Vergangenheit haben wir die Frage der Versorgungssicherheit überhaupt gar nicht gestellt. Jeder hat immer nur beim billigsten Anbieter eingekauft. 
Aber, meine sehr geehrten Damen und Herren, wir sind der größte Binnenmarkt der Welt. Alle haben es kapiert, aber nicht wir selber. Wenn jeder Mitgliedstaat einfach nur immer beim Billigsten einkauft, brauchen wir uns nicht wundern, wenn es weltweit gerade mal noch zwei oder drei Produktionsfirmen für bestimmte Medikamente gibt.
Wir müssen uns weiterentwickeln, wir brauchen ein Konzept zur gemeinsamen Beschaffung, wir brauchen eine Diversifizierung von Lieferketten, wir brauchen auch mehr Produktion in Europa, wir brauchen einen gemeinsamen Einkauf. 
And as I said in the beginning, we don’t need a little bit of Europe everywhere, but we need a very strong Europe when it comes to the important stuff, and this is like one of the very important points here: we need a little less Member State and a little more Europe.
"
Andreas GLÜCK,2022-09-13,DE,EU response to the increase in energy prices in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-13-INT-2-311-0000_DE.html,"  Andreas Glück (Renew).   – Frau Präsidentin, Frau Kommissarin! Steigende Energiepreise bringen viele Bürgerinnen und Bürger in existenzielle Not. Arbeitsplätze sind bedroht. Hier kann und darf die Europäische Union nicht schweigen, sondern muss handeln. 
Bei der Energieministerkonferenz vergangenen Freitag kamen einige Vorschläge, manche besser, manche schlechter. So sind zum Beispiel die Erlösobergrenzen auf inframarginale Stromerzeugung okay, aber es ist wichtig, dass es eben nicht in jedem Mitgliedstaat geregelt wird, sondern es muss eine europäisch einheitliche Lösung geben.
Trotzdem ist die europäische Energiepolitik sehr häufig nicht auf dem richtigen Weg. Allzu oft wird mit Ordnungsrecht vorgeschrieben, was wir alles nicht wollen, oder es werden Technologien mit bürokratischen Bürden belegt. In unserer Politik gibt es leider hier alltäglich Lieblingskinder und technologische Stiefkinder. Dabei hätten wir einen CO2—Zertifikatehandel, der das alles technologieoffen und gut lösen könnte. 
Oft hört man, was wir alles nicht wollen, aber viel zu wenig hören wir, was wir wollen und wo wir einsteigen wollen. Es droht jetzt zum Beispiel „kein Holz“, oder Wasserstoff wird erschwert. Zum Beispiel macht Additionalität den Hochlauf einer Wasserstoffwirtschaft schwierig bis unmöglich. Auch neue Technologien müssen zukünftig viel stärker in unserem Fokus stehen. Das sieht man im Bereich der USA zum Beispiel. Das Engagement bei den Themen Kernfusion und Wasserstoffwirtschaft sollte uns hier als Vorbild dienen.
"
Andreas GLÜCK,2022-06-07,DE,"Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation) - Land use, land use change and forestry (LULUCF) - CO2 emission standards for cars and vans (joint debate – Fit for 55 (part 2))",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-07-INT-2-241-0000_DE.html,"  Andreas Glück (Renew).   – Herr Präsident, werte Kolleginnen und Kollegen! Ein klares Ja zur Klimaneutralität bis 2050. Aber bestimmte Technologien vorschreiben oder andere verbieten zu wollen, das ist der falsche Weg.
Wir brauchen Technologieoffenheit. Lassen Sie uns das Innovationspotenzial nutzen, das es in Europa gibt. Und nur CO2 in einem Auspuff zu messen, ist zu wenig, das ist zu kurz gesprungen. Wir brauchen ein life cycle assessment, wir brauchen einen well-to-wheel-Ansatz. Nichts gegen batterieelektrische Fahrzeuge. Aber nur, weil ein batterieelektrisches Fahrzeug keinen Auspuff hat, heißt es noch nicht, dass es keinen CO2-Ausstoß hat. Die Emissionen finden halt woanders statt. Und ein Verbrennungsmotor kann klimaneutral sein, wenn er eben mit synthetischen Kraftstoffen betrieben wird. 
Wenn wir ab dem Jahr 2035 nur noch batterieelektrische Fahrzeuge zulassen, dann machen wir uns abhängig. Die benötigten Ressourcen kommen zu über 80 % von chinesisch kontrollierten Firmen. Von einer Abhängigkeit in die andere Abhängigkeit rennen: Haben wir denn in dieser Krise jetzt nichts gelernt?
Und wenn es übrigens stimmt, wie so manche behaupten, dass synthetische Kraftstoffe in Zukunft zu teuer werden, dann brauchen sie den Verbrenner nicht zu verbieten. Dann wird er einfach nicht stattfinden oder nur dort stattfinden, wo man es braucht.
Ohne Not nur auf eine Karte zu setzen, halte ich schlicht und einfach für falsch.
"
Andreas GLÜCK,2021-12-15,DE,Preparation of the European Council meeting of 16-17 December 2021 - The EU's response to the global resurgence of Covid-19 and the new emerging Covid variants (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-12-15-INT-3-086-0000_DE.html,"  Andreas Glück (Renew).   – Herr Präsident! Verehrte Kolleginnen und Kollegen! Nicht alles war perfekt, was die EU in Bezug auf die COVID-19-Krise gemacht hat. Das weiß ich auch durch meinen Beruf als Arzt, wo ich auch vorgestern oder Montag noch zuletzt als Impfarzt unterwegs war. 
Ich kritisiere die EU hier nicht, weil ich keine gemeinsame Beschaffung möchte, sondern ganz im Gegenteil: Hier müssen wir besser werden. Wir brauchen zukünftig mehr gemeinsame Beschaffungen. Trotz der Kritik war der Ansatz der gemeinsamen Impfstoffbeschaffung richtig. Wir haben übrigens kein Problem mit den Patenten. Wir haben das Problem, dass mRNA-Impfstoffe nicht in der Garage hergestellt werden können, und deshalb hilft eben auch die Freigabe von Patenten nicht. 
Wir haben mehrere Impfstoffhersteller, unterschiedliche Wirkmechanismen, und das kommt uns jetzt zugute. Denn die Dreifachimpfung mit mRNA-Impfstoffen scheint ja auch zumindest einen vollständigen immune escape bei Omikron zu verhindern. Dafür müssen wir dankbar sein. 
Insgesamt hat Europa an Vertrauen gewonnen. Besonders die ECDC und EMA haben gezeigt, dass sie es können. Übrigens ganz im Gegensatz zu manchen Playern der Nationalstaaten, die verunsichert haben. Und an manchen Stellen ist es sicher, dass die EU im Gesundheitsbereich mehr Kompetenzen bekommt. Nicht überall ein bisschen Europa, sondern ein starkes Europa an den richtigen Stellen! 
"
Andreas GLÜCK,2021-10-06,DE,European solutions to the rise of energy prices for businesses and consumers: the role of energy efficiency and renewable energy and the need to tackle energy poverty (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-06-INT-3-091-0000_DE.html,"  Andreas Glück (Renew).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Die gestiegenen Energiepreise in Europa bedeuten den Verlust von Arbeitsplätzen. Und gewiss, die Bepreisung von CO2 ist wichtig für den Klimaschutz, der Emissionshandel (EHS) ist wichtig. Und trotzdem gibt es Dinge, die wir tun können. Hier fünf Vorschläge: 
Erstens mehr Netzausbau, mehr Smart-Grids, mehr intelligente Steuerung, Power on Demand, sodass man den Verbrauch an das Angebot anpassen kann.
Zweitens: In Zeiten niedriger Strompreise muss diese Ersparnis an die Verbraucher weitergegeben werden.
Drittens: Immer höhere Standards sind teuer. Es sind Technologieoffenheit und der Zertifikatehandel EHS, die die besten und günstigsten Lösungen bringen. Und diese neuen Technologien können dann auch weltweit verkauft werden und Arbeitsplätze hier sichern.
Viertens: Die Einnahmen durch das EHS müssen im Rahmen einer Bürgerdividende an die Menschen zurückgegeben werden.
Fünftens: Höhere Preise bedeuten zwangsläufig auch ein höheres Steueraufkommen auf Energie. Deswegen sind die Gewinner die Mitgliedstaaten, Verlierer sind die Menschen. Deshalb müssen die Energiesteuern gesenkt werden.
Meine sehr geehrten Kolleginnen und Kollegen! Steigende Energiekosten bedeuten den Verlust von Arbeitsplätzen und Wohlstand. Stabile Preise stehen für ein erfolgreiches Europa.
"
Andreas GLÜCK,2021-09-14,DE,Natural disasters during the summer 2021 - Impacts of natural disasters in Europe due to climate change (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-09-14-INT-2-087-0000_DE.html,"  Andreas Glück (Renew).   – Sehr geehrter Herr Präsident, werte Kolleginnen und Kollegen! Auch Deutschland hat in den vergangenen Jahren immer wieder von dem European Solidarity Fund profitiert – das möchte ich deutlich sagen in Richtung der Europakritiker hier in diesem Raum. 
In diesem Sommer hatte Europa nicht nur mehrere Feuerkatastrophen zu verzeichnen, auch eine schlimme Flutkatastrophe hat hart zugeschlagen. In einer der am schwersten betroffenen Gegenden der Flutkatastrophe, im Ahrtal, habe ich selbst über drei Wochen hinweg als Facharzt für Chirurgie gearbeitet und hatte viel zu tun. Übrigens undercover, ohne groß an den Nagel zu hängen, was ich sonst beruflich mache. Mein Dank gilt an dieser Stelle allen Freunden und Freundinnen, die dort geholfen haben, der Blaulichtfraktion, der Bundeswehr, aber auch den vielen, vielen freiwilligen Helferinnen und Helfern des Helfer-Shuttles.
Wenn du den Glauben an die Menschheit verloren hast, geh ins Ahrtal, dort wirst du ihn wiederfinden. Und das ist gut, denn der Aufbau dort wird noch lange dauern, und er wird sehr teuer werden. Das Problem bei den diesjährigen Katastrophen ist: Der Topf des Solidaritätsfonds ist leer. Hier muss Europa besser werden. Und hier verlange ich von Kommissionspräsidentin von der Leyen und der Kommission, Gelder zu beschaffen.
Wir brauchen nicht überall ein bisschen Europa. Wir brauchen ein starkes Europa an den richtigen Stellen.
When we have to fight the damage of natural catastrophes, Europe has to show up and we have to be visible. 
"
