MP,Date,Language,Title,Url,Content
Andreas SCHWAB,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-188-0000_DE.html,"  Andreas Schwab (PPE).   – Frau Präsidentin, liebe Frau Kommissarin Kyriakides, liebe Kolleginnen und Kollegen! Der europäische Raum für Gesundheitsdaten ist ein Projekt, das die richtige Abwägung finden muss zwischen auf der einen Seite dem Datenschutz und auf der anderen Seite aber auch den berechtigten Interessen der Patienten, die schnell und unkompliziert und auch effizient eine gute Behandlung grenzüberschreitend erfahren wollen. Das Beispiel des Kollegen Arimont zeigt ja ganz eindrücklich – ich könnte ähnliche Beispiele auch aus meiner Familie finden –, dass hier einfach eine Verbesserung notwendig ist.
Ich bin Ihnen, Frau Kommissarin Kyriakides, sehr dankbar, dass wir diese schwierige Abwägung zwischen Vertrauens- und Datenschutz auf der einen Seite, aber eben auch dem endlichen Voranschreiten hin zu einem europäischen Datenraum jetzt auf den Weg bringen. Wir dürfen da nicht nur mit Angst argumentieren, wir müssen auch die Zuversicht aufbringen, dass wir die Daten in einem geschützten Raum lassen, in dem Ärzte und Patienten gemeinsam entscheiden, was mit diesen Daten passiert. Angst wird uns nicht weiterhelfen. Wir müssen auch das nutzen, was die Digitalisierung uns in diesem Raum bringt. Da glaube ich, dass der Text, so wie er morgen zur Abstimmung steht, der richtige Weg ist.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte” zu beantworten.)
"
Andreas SCHWAB,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-190-0000_DE.html,"  Andreas Schwab (PPE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Vielen Dank, Herr Kollege! Sie haben ja die Frage dem Kollegen Mandl schon einmal gestellt, da habe ich auch schon zugehört. Ich glaube, dass wir an der Stelle die grenzüberschreitende Bedeutung derartiger Opt-Out-Rechte eben realistisch sehen müssen. Das Ganze wäre wünschenswert, wenn es überall in Europa gelänge. Manche nationalen Gesundheitssysteme haben aber schon heute ein anderes System.
Und ich glaube – und insofern sind wir vielleicht nicht ganz einer Meinung –, das überragende Interesse am europäischen Raum für Gesundheitsdaten liegt darin, dass wir endlich grenzüberschreitend zu einer Kostenreduzierung im Interesse der Patientinnen und Patienten kommen. Ich glaube, dass wir mit einer gewissen Erfahrung dieses Opt-Out-Recht, das Ihnen so wichtig ist, durchaus hinbekommen können. Aber ich halte es nicht am Anfang dieses Projektes jetzt für das zentrale Element, sondern ich glaube, der wichtige Weg muss sein, dass wir jetzt den ersten Schritt machen, endlich Gesundheitsdaten – natürlich unter großem Schutz der Daten, die da betroffen sind – voranzuführen, sodass wir grenzüberschreitend Bürgerinnen und Bürgern schnell und unkompliziert helfen können.
"
Andreas SCHWAB,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-192-0000_DE.html,"  Andreas Schwab (PPE),  Reaktion nach dem Verfahren der «blauen Karte». – Ich werde mir nach Ihrem Insistieren auf diesem Punkt gerne den Text noch einmal anschauen. Ich glaube, dass natürlich die nationalen Gesundheitssysteme auch hier eine Abwägung vornehmen müssen. Auf der einen Seite gibt es das von Ihnen sehr stark in Anwendung gebrachte Recht auf die Geheimhaltung von ärztlichen Konsultationen oder Besuchen. Aber auf der anderen Seite gibt es natürlich auch das Interesse des Gesamtsystems, keine Verschwendung zuzulassen, indem Termine, die wahrgenommen wurden, nicht im System erscheinen.
Da ist eine schwierige Abwägung notwendig, weil auf der einen Seite natürlich das Interesse des Patienten oder der Patientin steht, auch mit seinen oder ihren Daten geschützt zu sein, aber auf der anderen Seite eben auch das Interesse der Effizienz des Gesamtsystems. Das muss gegeneinander abgewogen werden. Das wollen wir gemeinsam mit den Kollegen in eine faire Balance bringen, um am Ende entweder sofort oder zu einem späteren Zeitpunkt so eine Möglichkeit, wie Sie sie vorsehen, auch zuzulassen.
"
Andreas SCHWAB,2023-10-19,DE,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-094-0000_DE.html,"  Andreas Schwab (PPE),  Frage nach dem Verfahren der „blauen Karte“. – Frau Kollegin! Ich habe Ihnen jetzt aufmerksam zugehört, und die Probleme junger Landwirte sind auch in meinem Wahlkreis im Schwarzwald von erheblicher Bedeutung, weil wir eben einen Generationswechsel sehen, der sich nicht mehr so darstellt, wie das in der Vergangenheit der Fall war, und wir deswegen vor der Gefahr stehen, dass wir keine jungen Menschen oder viel zu wenige junge Menschen finden, die die Arbeit als Landwirt mit all den bürokratischen Lasten und all den Schwierigkeiten, die vor ihnen liegen, übernehmen wollen.
Das ist für ländliche Regionen – und da kommen ja auch Sie her – eine große Herausforderung. Deswegen meine Frage an Sie: Was, glauben Sie, kann das Europäische Parlament tun, um jungen Landwirten – auch in geografisch schwierigen Regionen wie dem Schwarzwald, wo die Infrastruktur nicht unbedingt dem entspricht, was wir in Großstädten sehen – Chancen zu geben, landwirtschaftliche Betriebe zu übernehmen?
"
Andreas SCHWAB,2023-10-18,DE,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-352-0000_DE.html,"  Andreas Schwab,  im Namen der PPE-Fraktion. – Herr Präsident, meine Damen und Herren von der Kommission, liebe Kolleginnen und Kollegen! Die sozialen Medien, die sozialen Netzwerke haben die öffentliche Debatte verändert, und das nicht zum Guten. Die meisten Recommender-Systeme der großen Onlineplattformen, also die Algorithmen, die Nutzern Inhalte vorschlagen, um Werbeeinnahmen zu generieren, priorisieren kontroverse und polarisierende Inhalte, die nicht das sind, was man denkt. Inhalte werden ungeprüft verteilt, selbst wenn es sich bei diesen Inhalten um manipuliertes Bild- oder Videomaterial handelt. Ausschnitte aus Computerspielen, die mit kriegsähnlichen Situationen Erfolge von Terrororganisationen zeigen sollen, dürfen nicht zu kommerziellen Zwecken genutzt werden – genau das ist aber seit Samstag passiert.
Deswegen, Herr Kommissar, liebe Kolleginnen und Kollegen, ist es gut, dass wir heute über die Anwendung des Gesetzes über digitale Dienste sprechen. Denn die Regulierung des digitalen Informationsraums ist zu einer sicherheitspolitischen Notwendigkeit geworden. Und dabei – das ist wichtig darzustellen – geht es ausdrücklich nicht um Zensur. Der Verhaltenskodex für den Bereich der Desinformation mit einer ersten Definition von Desinformation war ein vielversprechender Start. Doch der Absprung von X zeigt klar die Grenzen der Selbstregulierung per Soft Law auf. Diese ist vollständig vom Willen der Plattformen abhängig.
Gerade deshalb ist es umso wichtiger, das Gesetz über digitale Dienste jetzt auch anzuwenden. Die Europäische Union nimmt hier eine Vorreiterrolle ein. Doch das Gesetz darf nicht zum Papiertiger werden. Es ist deutlich, dass X und TikTok die Vorgaben, die dort beschlossen wurden, nicht vollständig umsetzen wollen. Deswegen geht es heute darum, dass wir deutlich machen – auch als Europäisches Parlament –, dass wir eine wirksame und kompromisslose Durchsetzung dieses Gesetzes verlangen.
Die von der Kommission am Donnerstag initiierte Untersuchung ist richtig – ein willkommenes Zeichen, dass wir uns nicht einschüchtern lassen. Denn die Risikobewertung der Plattformen hätte genau diese Vorgaben erfüllen müssen, um sicherzustellen, dass das, was wir jetzt sehen, nicht eintritt. Deswegen muss die Kommission handeln.
"
Andreas SCHWAB,2023-10-17,DE,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-142-0000_DE.html,"  Andreas Schwab,  Verfasser der Stellungnahme des mitberatenden Ausschusses für Binnenmarkt und Verbraucherschutz. – Herr Präsident, liebe Kolleginnen und Kollegen! Durch die Pandemie, den Angriffskrieg Russlands gegen die Ukraine und die Inflation und nun die Eskalation im Nahost-Konflikt erfahren wir große Belastungen für den EU-Haushalt für das kommende Jahr. Und deswegen, Herr Kommissar Hahn, ist es richtig, dass die Kommission vorschlägt, diesen Haushalt zu erhöhen.
Ich bin sehr froh, dass die spanische Ratspräsidentschaft hier auch zuhört, weil wir natürlich in den vergangenen Jahren eine ganze Reihe von neuen Aufgaben für die Europäische Union geschaffen haben, die früher die Mitgliedstaaten übernommen haben, und die Mitgliedstaaten dafür aber keine neuen Beträge auf die europäische Ebene übertragen wollen. Das wird auf Dauer nicht gut gehen, denn die Aufgaben müssen natürlich das eine sein, aber die Finanzierung dieser Aufgaben das andere. Wenn die Europäische Union in der Digitalpolitik beispielsweise neue Aufgaben übernimmt, müssen die Mitgliedstaaten dann dafür entweder eigene Personalstellen nach Brüssel oder nach Straßburg schicken oder eben entsprechend höhere Beiträge leisten. Das ist ein Stück weit die Grundüberzeugung im europäischen Binnenmarkt. Und deswegen danke ich natürlich den Kollegen, dass ich mich mit diesem Thema beschäftigen darf.
Aber ich möchte gerne aus aktuellem Anlass auch noch einen Satz zum Thema Investitionen in innovative Forschung und Entwicklung loswerden. Wir betonen ja, dass wir gerade kleine und mittlere Unternehmen stark von der hohen Inflation und den hohen Energiepreisen betroffen sehen. Auch hier müssen wir etwas machen, und deswegen ist der Anstieg um 1,375 Milliarden Euro sehr zu begrüßen.
"
Andreas SCHWAB,2023-10-03,DE,EU-Switzerland relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-472-0000_DE.html,"  Andreas Schwab,  im Namen der PPE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Zunächst einmal gilt natürlich auch mein Dank Lukas Mandl, der exzellente Arbeit geleistet hat und der uns wieder in Erinnerung ruft – es ist ja schon viel gesagt worden –, dass 2021 sich der Schweizer Bundesrat unerfreulicherweise dazu entschlossen hatte, einseitig die Verhandlungen über ein umfassendes Abkommen, ein horizontales Abkommen mit der Europäischen Union, zu beenden. Bedauernswert deshalb, weil damit die Fragen einer vertieften Kooperation zwischen der Europäischen Union einerseits und der Schweizerischen Eidgenossenschaft andererseits nicht gelöst, sondern nur in die Zukunft verschoben wurden.
Wir wollen enger mit den Schweizern zusammenarbeiten, auf Augenhöhe, im Respekt der gegenseitigen Souveränität, aber eben auch auf einer fairen und gesetzlich, vertraglich geregelten Basis. Das gilt zunächst einmal für den Strom, Herr Kommissar, liebe Kolleginnen und Kollegen! Ich glaube, wir müssen sicherstellen, dass im Bereich der Elektrizität kein neuer Röstigraben zwischen der Europäischen Union und der Schweizerischen Eidgenossenschaft entstehen kann, denn ein einheitlicher Binnenmarkt für Elektrizität und Netze schafft Resilienz und Sicherheit für beide Partner.
Dabei wäre das Zeitfenster für ein EU-Schweiz-Abkommen derzeit so günstig wie nie zuvor. In Europa tobt – es ist schon erwähnt worden – der russische Angriffskrieg gegen die Ukraine. Die Europäische Union hat daher ein großes Interesse an noch engeren Beziehungen mit ihren demokratischen Nachbarstaaten. Auch der Schweizer Nationalrat, das Parlament, und der Ständerat, die Regionenkammer, haben das gleiche Vorhaben.
Zweitens gilt es natürlich auch für den Schweizer Beitrag zur Kohäsion, der noch nicht angesprochen wurde. Im Vergleich zu den EWR-Staaten ist der Schweizer Beitrag nach wie vor einfach zu gering, zumal die Schweiz wirtschaftlich und politisch stark von der Stabilität im Umfeld der Europäischen Union profitiert. Man ist versucht, als Europäer zu rufen: Hopp, Schwyz!
Deswegen, liebe Kolleginnen und Kollegen, glaube ich, dass wir den Bericht annehmen sollten und weiterverhandeln, bis wir am Ziel sind: einer engeren Zusammenarbeit.
"
Andreas SCHWAB,2023-09-13,DE,Single market emergency instrument (A9-0246/2023 - Andreas Schwab)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-132-0000_DE.html,"  Andreas Schwab,  Berichterstatter. – Frau Präsidentin! Ganz kurz ein Dank an die Kollegen für die Zustimmung. Und ich würde einfach die Rücküberweisung an den Ausschuss beantragen.
"
Andreas SCHWAB,2023-09-12,DE,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-155-0000_DE.html,"  Andreas Schwab,  Berichterstatter. – Frau Präsidentin, liebe Kolleginnen und Kollegen, Herr Kommissar! In der Coronakrise haben wir gesehen, wie schnell die Mitgliedstaaten Grenzkontrollen in Europa wieder zurückgebracht haben, weil wir auf die Krise nicht ausreichend vorbereitet waren, und damit wurde das wirtschaftliche Herzstück Europas fast zum Erliegen gebracht.
Wir wollen den europäischen Binnenmarkt verteidigen. Wir wollen dafür sorgen, dass die Mitgliedstaaten diesen Binnenmarkt offen halten, weil wir nur so unsere wirtschaftliche Leistungsfähigkeit sichern können. Mit der Anwendung des Notfallinstruments für den Binnenmarkt geben wir eine klare Antwort auf die Herausforderungen der COVID-Pandemie, aber auch auf die Herausforderungen des russischen Angriffskriegs in der Ukraine. Wir wollen, dass die Europäische Union auch in einer möglichen zukünftigen Krise handlungsfähig und voll funktionsfähig bleibt.
Dafür haben wir das Gesetz erweitert. Mit IMERA soll auch die Abwehrfähigkeit des Binnenmarkts Bedeutung erlangen, denn der Notfall kann viel einfacher bewältigt werden, wenn funktionierende Verfahren schon vor der Krise laufen. Schon vom Namen her wird nun klar, dass es bei diesem Gesetz darum geht, den Binnenmarkt im Notfall zu schützen und im Vorfeld Resilienz aufzubauen.
Das ist wichtig, denn es handelt sich dabei um konkrete Maßnahmen, die die Durchgängigkeit der EU-Grenzregionen – und das ist mir besonders wichtig – für krisenrelevante Dienstleister und Arbeitnehmer und unsere Versorgung mit krisenrelevanten Produkten und Dienstleistungen in der nächsten Krise sicherstellen.
Mit einem funktionierenden Farbsystem wird die Krisenlage in der Europäischen Union dann in Grün, Orange und Rot eingeteilt:
In der grünen Phase, Herr Kommissar, kann die Europäische Kommission Krisenprotokolle entwickeln und Simulationen durchführen. Unternehmen können ihre Resilienz im Rahmen von freiwilligen Stresstests prüfen.
In der gelben – in der gefährlicheren Phase, im sogenannten Überwachungsmodus – wird die Kommission dazu ermächtigt, in Zusammenarbeit mit den Mitgliedstaaten eine Inventur an Waren- und Dienstleistungen von strategischer Bedeutung durchzuführen.
Die Grenzschließungen haben unseren Alltag massiv eingeschränkt, und das wollen wir verhindern. Deswegen muss im Notfallmodus zukünftig ein Regelungsfall gelten, dass die Mitgliedstaaten keine Einfuhrverbote mehr erlassen dürfen und Grenzschließungen verboten bleiben. Krisenrelevantes Personal wie Ärzte und Krankenschwestern sollen zukünftig die Grenze durch Vorzeigen eines einfachen QR-Codes passieren können. Angaben zum Gesundheits- und Arbeitsstatus sollen online durch einheitliche Formulare erfolgen. Dies muss die Kommission aber schon jetzt vorbereiten, damit im Krisenfall alle digitalen Schnellspuren schon einsatzbereit sind. 
Frau Präsidentin, liebe Kolleginnen und Kollegen! Mit dem Vorschlag stärken wir auch die Unabhängigkeit der Unternehmen. Denn der Vorschlag setzt auf freiwillige Beiträge der Wirtschaft zur Lösung einer Krise: Bestände und Lieferketten krisenrelevanter Produkte können der Kommission gemeldet werden, Geschäftsgeheimnisse, sensible Daten und geschütztes Know-how hingegen bleiben geschützt.
Allerdings ist mir wichtig, dass der Punkt vorrangiger Produktionsanfragen, den ja auch Kommissar Thierry Breton in der Krise stark nach vorne gebracht hat, dass dieser Punkt erhalten bleibt. Denn wir wollen in jedem Falle vermeiden, dass in der EU ansässige Unternehmen in der Krise private Geschäftspartner vorrangig beliefern. Wir wollen, dass der europäische Gedanke gestärkt wird, dass die Mitgliedstaaten und die Bürgerinnen und Bürger Europas zuallererst in einer Krise beliefert werden können. Dafür brauchen wir dieses Rechtsinstrument und deswegen handelt es sich dabei nicht um Bürokratie.
Corona hat gezeigt: Nationale Alleingänge bei Grenzschließungen, beim Beschaffungswesen oder bei Exportkontrollen funktionieren nicht. Nur wenn jedes Land, jedes einzelne Land in der Europäischen Union sicher ist, sind alle in der Europäischen Union sicher.
Deswegen wird das heutige Gesetz die Personenfreizügigkeit stärken und die Versorgung aller EU-Bürger mit krisenrelevanten Gütern sicherstellen. Deswegen wollen wir gemeinsam nach der Abstimmung morgen im Trilog das Vorhaben bis Jahresende zum Erfolg führen. Darum bitte ich um eure Unterstützung.
"
Andreas SCHWAB,2023-09-12,DE,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-191-0000_DE.html,"  Andreas Schwab,  Berichterstatter. – Frau Präsidentin, Herr Kommissar! Besten Dank für diese exzellente Aussprache.
Ich glaube, man muss an dieser Stelle einfach noch einmal deutlich sagen: Sie, lieber Herr Kommissar Breton, haben mit Frau Kommissionspräsident von der Leyen eine exzellente Arbeit in der Krise gemacht. Manches ist vielleicht auch nicht so gelungen, wie man es sich gewünscht hätte, aber der Weg, die Interessen der Bürgerinnen und Bürger Europas in den Mittelpunkt zu stellen, war richtig. Und den wollen wir mit diesem Vorschlag weitergehen. Deswegen möchte ich meinen Schattenberichterstattern und den Berichterstattern der anderen Ausschüsse sehr herzlich für die exzellente Zusammenarbeit danken. Es ist richtig, dass wir kein Schönwetterrecht wollen, wie René Repasi gesagt hat, sondern wir den Binnenmarkt tatsächlich mit Zähnen ausstatten wollen, weil es eben nicht um die Unternehmen und weil es nicht um die Politiker geht, sondern weil es am Ende darum geht, dass die Bürgerinnen und Bürger das bekommen, was sie in einer Krise am dringendsten brauchen, nämlich medizinische Gegenstände und Impfstoffe. Und um nichts Anderes soll es gehen. 
Viele Kollegen, die heute das Wort ergriffen haben, haben sich auch auf den Vorschlag der Kommission bezogen. Da möchte ich jetzt keine weiteren Ausführungen dazu machen, weil ich glaube, dass wir gesehen haben, dass wir uns sehr intensiv mit den einzelnen Punkten auseinandergesetzt haben. Wir sind nicht an allen Stellen zu identischen Lösungen gekommen, aber wir haben, glaube ich, doch einen ganz guten Mittelweg gefunden, den wir dem Rat gegenüber jetzt auch gemeinsam vertreten wollen. Und natürlich braucht es das Europäische Parlament in einer solchen Krisensituation, und deswegen werden wir versuchen, auch diesen Punkt ganz deutlich zu verteidigen. Es kann keine exekutivische Entscheidung allein sein, einen Krisenfall auszurufen.
Trotzdem möchte ich auch noch einen Punkt an diejenigen sagen, die so ein Stück weit den Eindruck erweckt haben, als ob die Mitgliedstaaten – es war in diesem Falle, glaube ich, Polen – auch alleine durch die Krise kommen können: Es ist ganz deutlich ausgeführt worden, auch von den Kollegen, dass am Ende die Bürgerinnen und Bürger, aus welchem Land auch immer sie kommen mögen, natürlich alle davon profitieren, wenn wir die Zusammenarbeit zwischen den Mitgliedstaaten bestmöglich organisieren und alle alle Produkte bekommen können.
Der Punkt von Frau Kollegin Lexmann, dass eine europäische Homeoffice-Regelung wünschenswert wäre, ist zutreffend. Und deswegen würde ich vorschlagen, Herr Kommissar, dass Sie mit Ihrem Kollegen aus Luxemburg, mit Kommissar Schmit, noch mal ins Gespräch kommen, um zu prüfen, ob nicht eine entsprechende Möglichkeit von der Europäischen Kommission noch in dieser Legislaturperiode angegangen werden kann.
Ich freue mich auf die Zusammenarbeit mit den Kollegen für den Trilog und danke sehr herzlich für die Aussprache.
"
