MP,Date,Language,Title,Url,Content
André ROUGÉ,2023-12-13,FR,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-028-0000_FR.html,"  André Rougé (ID).   – Madame la Présidente, chers collègues, ainsi vous avez osé. M. Verhofstadt et ses amis ont osé affirmer la nécessité d’une réforme des traités, avec une Commission européenne transformée en exécutif européen d’un État central, la fin du vote à l’unanimité au Conseil et le principe d’une primauté du droit de l’Union européenne sur les droits nationaux.
Ce n’est plus un coup d’État, mais un coup de 27 États. Ces tentatives n’ont pas de légitimité populaire et entravent la souveraineté des États. C’est là une marque d’impérialisme. Jamais la France, pays millénaire, ne s’y soumettra. Ces avancées fédéralistes de l’Union européenne sont rejetées par les peuples, comme l’ont fait les Français en 2005, avant la forfaiture du président Sarkozy en 2007.
Les Français n’adhéreront pas non plus au modèle supranational de votre pacte des migrations. Cette politique immigrationniste qui vient d’être sanctionnée par le rejet de la loi du ministre français Darmanin.
Les peuples ne supportent plus cette technocratie européiste. Alors rendons le pouvoir aux peuples européens pour en venir à une Europe de la coopération des nations.
"
André ROUGÉ,2023-11-20,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-237-0000_FR.html,"  André Rougé (ID).   – Monsieur le Président, chers collègues, trois départements français: Mayotte, la Martinique et la Guadeloupe, sont en proie à une grave pénurie d’eau potable. Mais les priorités de l’Union européenne sont visiblement ailleurs que dans l’aide aux ultramarins. Je le déplore régulièrement, et encore en commission interparlementaire le 7 novembre dernier.
La Commission européenne, comme d’ailleurs les parlementaires européens d’outre-mer, rechignent à aider Mayotte. En revanche, elle finance son voisin, l’Union des Comores, à hauteur de 30 millions d’euros. Comment admettre que la France, État contributeur et fondateur de l’Union européenne, soit si peu considérée par la Commission? Elle lui préfère un État totalement extérieur à l’Europe, qui ne cesse de provoquer la France. Ces 30 millions d’euros de contributions européennes supplémentaires ont été payés par l’impôt des Français et donc des Mahorais.
La France n’oubliera pas les étranges priorités de la Commission européenne. Nous n’oublierons rien, et les Français jugeront en leur âme et conscience lors des échéances à venir.
"
André ROUGÉ,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-337-0000_FR.html,"  André Rougé (ID).   –Monsieur le Président, Monsieur le Commissaire, chers collègues, ce débat aurait-il lieu si je n’avais tiré la sonnette d’alarme, lors de notre dernière plénière, sur la situation désastreuse des départements français de Mayotte et des Antilles, sur la situation de plusieurs centaines de milliers de citoyens de l’Union européenne qui ont soif et manquent d’eau potable? 
Le gouvernement français aurait-il pris la décision de payer les factures d’eau à Mayotte pendant plusieurs mois si je ne l’avais publiquement culpabilisé, si je n’avais dénoncé son inaction en soulevant le problème du manque de cette ressource vitale: l’eau? Une eau que les contribuables français de Mayotte doivent cependant continuer à payer. 
Deux semaines après ma dernière intervention, dans cet hémicycle, sur cette question, rien n’a changé, et la désillusion des Mahorais, des Guadeloupéens et des Martiniquais ne fait qu’augmenter. À mes collègues députés français de The Left et de Renew, qui représentent ici LFI et leurs collègues de la majorité gouvernementale en France – ceux-là même qui ont décidé de voter contre ma résolution concernant l’urgence vitale en eau de nos compatriotes ultramarins –, je veux dire que l’eau n’a pas de couleur politique. La seule couleur qu’elle ait, à Mayotte et aux Antilles, est une couleur marron, lorsqu’elle coule au robinet. 
Alors terminons-en avec la tambouille politique pour enfin privilégier l’intérêt général, en votant l’amendement budgétaire que nous proposons. Les Français d’outre-mer ont l’impression que l’Union européenne ne s’intéresse à eux que lorsqu’une crise les met en lumière. L’Union européenne préfère malheureusement verser des subventions à la bande de Gaza pour des canalisations dont se sert ensuite le Hamas pour fabriquer des lance—roquettes artisanaux. Elle serait mieux inspirée de financer les canalisations des RUP de Mayotte et des Antilles, plutôt que d’armer – même indirectement – des terroristes. 
Ce n’est pas parce que les Français de Mayotte et des Antilles ne sont pas nos voisins qu’ils n’en sont pas moins nos concitoyens. Alors aidez-moi à faire en sorte que les ultramarins d’Europe ne soient pas des citoyens…
(le Président retire la parole à l’orateur)
"
André ROUGÉ,2023-10-02,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-039-0000_FR.html,"  André Rougé,  au nom du groupe ID. – Madame la Présidente, chers collègues, en ce début de XXIᵉ siècle où l'intelligence artificielle, les nouvelles technologies et le progrès sont à l'honneur, des citoyens français, et donc de l'Union européenne, n'ont pas accès à l'eau potable, ni même courante. Un tiers des ressortissants de Guadeloupe et Martinique est confronté à ce fléau. Et que dire de la situation à Mayotte, où l'armée en est à distribuer des bouteilles d'eau à la population? Que dire des retards accumulés dans la construction d'usines de dessalement? Que dire des déperditions de 30 % de l'eau dans des canalisations non entretenues, véritable catastrophe écologique en plus d'être une gabegie? 
C'est pourquoi j'en appelle à votre humanisme, à votre sens des responsabilités et de l'intérêt général pour que nos compatriotes ultramarins, ces Français du grand large qui nous regardent et nous jugent, sachent qu'ici nous les considérons dignement, avec respect, comme des Français et donc des Européens à part entière et non entièrement à part. Je vous demande donc d'inscrire à l'ordre du jour de notre session le fait que le bon accès à une eau potable et sa préservation est un besoin vital pour nos régions ultrapériphériques.
"
André ROUGÉ,2023-10-02,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-043-0000_FR.html,"  André Rougé,  au nom du groupe ID. – Madame la Présidente, comme je l’ai indiqué, il y a une situation d’urgence, alors je pense que non. 
"
André ROUGÉ,2023-10-02,FR,Economic coercion by third countries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-147-0000_FR.html,"  André Rougé (ID).   – Madame la Présidente, chers collègues, lorsque le Parlement européen évoque les économies de nos États membres, il ne parle que de protection, de souveraineté. Mais, en réalité, nous subissons les coups de boutoir de pays extra—européens. La Commission européenne a en 2021 affirmé sa volonté de renforcer sa protection contre la coercition économique de pays tiers. Mais il y a loin de la parole aux actes, et nos économies nationales sont toujours plus exposées à la concurrence des puissances émergentes, Chine, Inde et Brésil en tête. 
L’action de ces nouveaux acteurs sur la scène économique internationale n’est pas sans incidence pour la France comme pour l’Europe. En mai dernier, je l’ai observé moi-même en Nouvelle-Calédonie, où trois usines extraient du nickel. Pour rappel, le sous-sol français de Nouvelle-Calédonie recèle un quart des réserves mondiales de ce métal. Il représente donc une ressource stratégique majeure pour la France et pour l’Europe. Mais, bien qu’il soit prévu que la demande mondiale quadruple d’ici à 2030, un contexte concurrentiel nouveau met la France face à la Chine, à l’Indonésie et aux Philippines, productrices d’un nickel au prix plus abordable, mais plus polluant. 
La coercition économique de pays tiers s’applique donc, selon vos termes, au nickel français, et l’Union européenne ne fait rien contre. En conséquence, quand la Commission et notre Parlement prendront-ils la mesure du problème face à l’impérialisme des compétiteurs asiatiques? 
"
André ROUGÉ,2023-10-02,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-226-0000_FR.html,"  André Rougé (ID).   – Madame la Présidente, chers collègues, le budget Feampa pour la pêche, voté pour six ans, permet, pour un montant de plus de 6 milliards d’euros, le renouvellement des bateaux de 12 à 24 mètres. Le versement de cette aide sous condition de la taille du navire est un non-sens social, économique et écologique. En plus de contribuer à la surpêche et à la destruction des fonds marins par le financement de bateaux toujours plus gros, cette aide est par nature injuste. Elle exclut tous les pêcheurs traditionnels ou disposant de petites embarcations qui sont en général les plus pauvres. Ainsi, en outre-mer, et plus particulièrement en Guyane française et à Mayotte, 90 % des bateaux de pêche sont de petite taille.
Je pose plusieurs questions à la Commission. Pourquoi privilégie-t-elle les grands industriels plutôt que la pêche traditionnelle et côtière? Cette préférence pénalise grandement la pêche dans la France d’outre-mer. Comment envisage-t-elle d’appuyer financièrement le renouvellement des petites flottes et comment agira-t-elle pour soutenir le secteur tout en limitant la surpêche? Pour leur survie, les pêcheurs traditionnels de nos régions ultrapériphériques attendent des réponses. Aidons nos pêcheurs, ne les privons surtout pas de leur outil de travail.
"
André ROUGÉ,2023-07-12,FR,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-352-0000_FR.html,"  André Rougé (ID).   – Monsieur le Président, chers collègues, la politique écologique de l’UE se résume en un mot: inconscience.
Inconscience des choix. L’Union n’apporte aucune réponse aux problématiques climatiques actuelles et à celles qui nous guettent. Privilégiant l’écologie punitive et militante au pragmatisme et à la science, elle se veut antinucléaire. Elle a préféré l’agit-prop d’une jeune activiste dont la place est à l’école aux avis des plus éminents scientifiques.
Inconscience des contradictions. Elle a mis en place les politiques les plus punitives et restrictives, accablant les ruraux et nos agriculteurs de tous les maux. L’UE ratifie les traités de libre-échange, favorise l’importation de productions venues du bout du monde par avions, cargos, porte-conteneurs et autres supertankers. 
Inconscience de son image d’avenir, celle d’une écologie punitive subissant les effets du réchauffement climatique, une posture ôtant tout espoir et toute perspective d’innovation à notre jeunesse.
Il faut cesser cette tragicomédie. Il faut remettre en cause la religion du libre-échange et l’importation de produits que les États membres savent produire, souvent de bien meilleure qualité. Comme le clame le Rassemblement national, l’heure est à une écologie aussi bien sociale que locale.
"
André ROUGÉ,2023-07-12,FR,"Recommendations for reform of the European Parliament’s rules on transparency, integrity, accountability and anti-corruption (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-420-0000_FR.html,"  André Rougé (ID).   – Madame la Présidente, chers collègues, la volonté affichée de réformer les règles du Parlement pour lutter contre la corruption n’est-elle pas qu’un effet de communication? Mme Kaili et M. Tarabella, interpellés en flagrant délit de détention de liquidités à hauteur de 1 300 000 euros, siègent à nouveau parmi nous, comme si le Qatargate n’avait jamais existé.
Monsieur Glucksmann, toujours prompt à accabler l’adversaire, mais qui n’a rien vu venir concernant les collègues de son propre groupe, est toujours président de la commission ING2. À son sujet, j’observe que pèse toujours le soupçon concernant son ex-épouse, interpellée en décembre 2015 à l’aéroport de Kiev avec 4 millions de dollars en liquide.
Monsieur Glucksmann nous assure qu’il s’agit là d’une contre-vérité. Si tel est le cas, vous vous honoriez en levant toute équivoque devant la représentation européenne et nous espérons que ces récents scandales ne seront pas que la partie émergée de l’iceberg d’une corruption dans laquelle seraient impliqués davantage de prétendus défenseurs de bien.
"
André ROUGÉ,2023-06-15,FR,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-025-0000_FR.html,"  André Rougé,  au nom du groupe ID. – Madame la Présidente, chers collègues, un tiers des Français des Antilles et de Mayotte n’ont pas accès à l’eau. Faute de réponse pertinente du gouvernement français, c’est aujourd’hui l’ONU qui, de façon humiliante et sortant de son rôle, parle d’urgence sanitaire et rappelle à la France ses obligations en la matière à la Guadeloupe.
À chaque rencontre entre les Français d’outre-mer et Marine Le Pen, les mêmes craintes surgissent: qu’un jour l’eau cesse tout simplement de couler au robinet. Depuis trop longtemps maintenant, le Rassemblement national lance l’alerte sur cette crise et ses conséquences pour la France du large. L’agriculture, l’éducation, la vie quotidienne et, bien sûr, la santé sont concernées. La crise est la conséquence essentiellement de réseaux d’eau défaillants, voire absents, et de la contamination des sols, notamment par le chlordécone.
Les solutions existent et doivent venir d’une politique de l’eau réellement ambitieuse, favorisant principalement une rénovation des réseaux d’adduction. Pour l’heure, le manque de moyens des collectivités et le manque d’engagement du gouvernement mis en place par Emmanuel Macron condamnent toujours nos compatriotes ultramarins aux coupures récurrentes et aux restrictions.
À ce titre, je demande à la Conférence des présidents de porter à la connaissance de la commission REGI ma proposition de résolution demandant à l’Union européenne un soutien à la France, afin de favoriser l’accès à l’eau dans les régions ultrapériphériques.
"
André ROUGÉ,2023-06-13,FR,Situation in Nicaragua (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-320-0000_FR.html,"  André Rougé,  au nom du groupe ID. – Monsieur le Président, Monsieur le Commissaire, chers collègues, je vous apporte le témoignage du jeune reporter de guerre que j’étais en 1985, qui, au Nicaragua, accompagnait les guérilleros du Comandante Cero, Edén Pastora, chef charismatique de l’Alliance révolutionnaire démocratique.
Le pays était alors sous la coupe d’une dictature mise en place et soutenue par le pouvoir soviétique de Moscou et par sa filiale castriste de La Havane. J’ai vu de mes propres yeux les exactions commises par les troupes gouvernementales, les incendies de fermes et de leurs réserves, et les attaques de colonnes de réfugiés civils. J’ai vu des enfants de moins de dix ans blessés par les balles des soldats. J’en ai vu d’autres d’à peine quatorze ans déserteurs d’une armée dans laquelle ils avaient été enrôlés de force. J’ai recueilli des récits de viols et de tortures.
La tête de cette dictature avait un nom: Daniel Ortega. Le même Daniel Ortega, qui sévit aujourd’hui encore et combat l’Église comme il combattait Mgr Obando y Bravo. C’est de ce même Ortega, actuel président corrompu du pays, que je demande à quel moment il répondra enfin de ses crimes.
"
André ROUGÉ,2023-05-31,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-298-0000_FR.html,"  André Rougé (ID).   – Monsieur le Président, chers collègues, la multiplication des normes par l’Union européenne contraint les pêcheurs des RUP à la mise en conformité de leur flotte. Pour ce faire, ce sont 64 millions d’euros qui ont été octroyés par la Commission à cinq départements d’outre-mer. Nombreux sont les pêcheurs qui n’en ont pourtant pas vu la couleur. Impossible de savoir combien d’entre eux sont réellement concernés par la dotation de cette aide, faute de transparence du gouvernement français. Nouvelle preuve de l’incapacité du gouvernement Borne à répondre aux problématiques. Ce manque de transparence a amené la Commission à suspendre ses aides.
Une fois de plus, ce sont nos compatriotes d’outre-mer qui se voient abandonnés et marginalisés par la gestion hasardeuse du président Macron. Le Rassemblement National alertait déjà sur l’importance de cette subvention, et nous le faisons de nouveau dans cet hémicycle concernant l’absence de transparence de son usage. La Commission doit octroyer de nouveau cette aide et laisser à la France du temps pour construire son rapport. Quant au président Macron et à son gouvernement, ils se doivent de remplir leurs obligations pour favoriser la pérennisation de cette aide indispensable.
(Le président retire la parole à l’orateur)
"
André ROUGÉ,2023-05-11,FR,Protecting and restoring marine ecosystems for sustainable and resilient fisheries - Agreement of the IGC on Marine Biodiversity of Areas Beyond National Jurisdiction (High Seas Treaty) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-11-INT-4-072-0000_FR.html,"  André Rougé (ID).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, grâce à la France et ses 11 millions de kilomètres carrés de domaine maritime, l’Union européenne dispose du premier espace maritime mondial. C’est grâce à la France d’outre-mer que cet espace dispose de nombreux atouts qui nous obligent. En effet, nombre de nos concitoyens vivent grâce à l’océan, et sa conservation, son avenir et sa protection imposent un effort constant.
La coopération des États maritimes permettrait d’apporter les réponses et les innovations nécessaires aux enjeux marins. J’ai proposé en commission REGI la création d’une agence européenne de la mer sur le modèle de l’Agence spatiale basée à Kourou, en Guyane. Proposition malheureusement rejetée pour des considérations strictement partisanes. Grâce à cette coopération, l’Europe deviendrait un acteur reconnu, capable de répondre à de nombreux enjeux et à la recherche dans les océans Atlantique, Pacifique et Indien. Alors, parce que nos échanges démontrent la pluralité des enjeux océaniques, il est temps, chers collègues, de mettre de côté toute vision politicienne et partisane pour se concentrer sur l’essentiel, l’intérêt général, et en ce sens, de donner à l’océan sa juste place dans nos politiques.
(L’orateur accepte de répondre à une question «carton bleu»)
"
