MP,Date,Language,Title,Url,Content
Angelika NIEBLER,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-159-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen und Kollegen! Ich finde es ganz wunderbar, dass ich, wie ihr alle auch, künftig auf meinem Smartphone alle meine Gesundheitsdaten zur Verfügung habe. Arztberichte, Röntgenaufnahmen, Medikamente, Medikationspläne – alles soll künftig auf dem Smartphone oder einem anderen digitalen Gerät verfügbar sein. Das ist doch etwas ganz Großartiges. Wer das nicht haben will, muss natürlich auch die Möglichkeit haben, zu widersprechen, und nicht digital auf seine Daten zugreifen müssen. Aber die Möglichkeit, die Chance zu haben, das zu können, das finde ich ganz großartig.
Auch dass wir in dieser neuen Verordnung vorsehen, dass man seine Daten künftig teilen kann, dass Forschungseinrichtungen die Möglichkeit haben, auf die Daten zuzugreifen, und wir damit auch die Chance haben, in Europa einen europäischen Raum für Gesundheitsdaten aufzubauen – auch das finde ich großartig.
Wir wollen ja auch in dieser digitalen Welt reüssieren, wir wollen in Europa unsere Datenräume schaffen, und dazu brauchen wir einfach Daten, die leicht verfügbar sind, die man nutzen kann, die anonymisiert, die pseudonymisiert werden. In dem Vorschlag steht viel Gutes drinnen, damit der Datenschutz auch wirklich eingehalten wird. Aber entscheidend ist, dass wir in dieser Datenwelt auch in Europa eine Rolle spielen.
Und ich glaube, mit diesem Stück Gesetzgebung, was wir hoffentlich morgen verabschieden, haben wir einen ganz großen Fortschritt gemacht. Und ich bitte Sie alle, liebe Kolleginnen und Kollegen, tragen Sie das nach außen. Es ist für jeden Verbraucher, jeden Patienten und jede Patientin eine große Chance, eben hier künftig digital verfügbar alles bei sich zu haben, und das in ganz Europa. Ich hoffe, dass wir morgen hier das richtige Signal aussenden und mit einem ganz breiten Votum auch den Vorschlag unterstützen.
"
Angelika NIEBLER,2023-11-21,DE,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-237-0000_DE.html,"  Angelika Niebler (PPE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen, liebe Kollegen! In Europa werden die Müllberge immer größer. Schuld daran ist auch der Verpackungsmüll. 40 % der in der Europäischen Union verwendeten Kunststoffe und 50 % des Papiers entfallen allein auf Verpackungen. Wir müssen dagegen etwas unternehmen, und genau das ist ja Sinn und Zweck des neuen Vorschlags zur Verpackungsverordnung.
Ich finde an diesem Vorschlag gut, erstens, dass ab 2030 alle Verpackungen recyclingfähig sein müssen. Ich finde an diesem Vorschlag gut, zweitens, dass Rücknahme- und Pfandsysteme in allen europäischen Mitgliedstaaten aufgebaut werden. Und ich finde drittens gut, dass der Rezyklatanteil in Plastikverpackungen auch sukzessive erhöht werden muss.
Was nicht passt, sind die vielen Verbote für einzelne Verpackungsformate. Es ist vom Zuckertütchen gesprochen worden, von den Kaffeesahnekapseln und dergleichen. Es macht auch keinen Sinn, Leerraumquoten für Bierkästen oder Etikettierungsvorschriften für Bierflaschen vorzugeben; das ist korrigiert worden.
Aber ich denke, wichtig ist vor allen Dingen, dass die Systeme, die in einigen Mitgliedstaaten etabliert sind und die der Kreislaufwirtschaft dienen, gerade im Bereich Recycling, bestehen bleiben können. Über viele Jahre und Jahrzehnte sind da kreislauffähige Systeme aufgebaut worden, und diese Arbeit darf man nicht konterkarieren.
"
Angelika NIEBLER,2023-10-17,DE,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-232-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, Herr Vizepräsident, liebe Kolleginnen, liebe Kollegen! Der Abbau der Bürokratie, der überbordenden Regulatorik, unter der unsere Betriebe, unsere Unternehmen leiden, muss ein zentrales Anliegen der Kommission bis zum Ende ihres Mandats sein. Ich begrüße, dass nun konkrete Vorschläge auf dem Tisch liegen. Bei der Umsetzung der Richtlinie zur Nachhaltigkeitsberichterstattung werden die Regeln für die einzelnen Sektoren jetzt erst zwei Jahre später kommen. Das ist gut. Endlich wird auch die Digitalisierung genutzt, um bei der Entsendung von Arbeitnehmern in andere Mitgliedstaaten eine Erleichterung zu schaffen. Vielleicht werden wir dann endlich auch mal diese leidige A1-Bescheinigung los. Auch das, glaube ich, ist ein guter Vorschlag.
Aber, meine lieben Kolleginnen und Kollegen, es muss noch viel, viel mehr passieren. Die Kommission hat ja nur jetzt mit Blick auf Entbürokratisierung die Gesetzgebung aus dem Jahre 2023 und die kommenden Vorschläge für das Jahr 2024 unter die Lupe genommen. Aber was ist eigentlich mit der ganzen Gesetzgebung und Regulatorik, die die Jahre vorher aufgebaut wurde? Allein in den Jahren 2020 bis 2022 wurden von der Kommission 129 Vorhaben angestoßen. Auch daraus ergeben sich viele Auflagen, viele Dokumentations- und Registrierpflichten für die Unternehmen. Auch da muss man rangehen.
Der Mittelstand leidet unter hohen Energiepreisen und der Inflation und dem Fachkräftemangel und muss dringend entlastet werden. Allein wenn die ESG—Standards einmal harmonisiert werden würden, dann würde das einen Riesenfortschritt, eine Riesenerleichterung bedeuten. Taxonomie, Nachhaltigkeitsberichterstattung, Entwaldungsverordnung. Lieferkettensorgfaltspflichtengesetz, Regeln zur Kreislaufwirtschaft, Ökodesignverordnung, und, und, und. Selbst der Unternehmer, der alles erfüllen will, hat kaum eine Chance, bei diesem Dickicht an Regulatorik noch durchzusteigen. Ich bitte Sie wirklich dringend um Entlastung unserer Betriebe.
"
Angelika NIEBLER,2023-09-13,DE,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-079-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, Frau Kommissionspräsidentin! Sie sagten heute, wir müssen heute liefern und uns auf morgen vorbereiten. Insbesondere müssen wir auch unsere Wettbewerbsfähigkeit stärken. Ich kann Ihnen nur zustimmen, und ich möchte mich auch bedanken, dass Sie heute Wertschätzung und Anerkennung gegenüber unseren Landwirtinnen und Landwirten zum Ausdruck gebracht haben.
Wir haben natürlich in der Europäischen Union Reformbedarf. Die Zahlen in der Wirtschaft sind eindeutig, die Konjunktur schwächelt. Investitionen werden zurückgehalten und auch die Haushalte haben immer weniger Spielraum.
Wir müssen alles tun, um unseren Standort zu stärken, und vor allen Dingen sicherstellen, dass die Wertschöpfung bei uns hier in Europa, in den Mitgliedstaaten stattfindet. Wir brauchen – viele Kolleginnen und Kollegen haben es angesprochen – Deregulierung. Entlastung ist das Gebot der Stunde. Wir müssen runter vom Regulierungswahn. Und ich warte wirklich auf die konkreten Vorschläge, die jetzt auch im Oktober kommen.
Und ein Letztes: Wir müssen uns auch um unsere eigene Sicherheit kümmern. Wir brauchen eine gemeinsame europäische Vision für Bereiche wie Weltraum, Maritimes, kritische Infrastrukturen und Cyber. Das ist die Lehre, die wir auch aus dem schrecklichen Ukrainekrieg ziehen müssen.
"
Angelika NIEBLER,2023-04-17,DE,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-162-0000_DE.html,"  Angelika Niebler (PPE).   – Herr Präsident, Frau Kommissarin, liebe Kolleginnen, liebe Kollegen! Ich spreche zum Emissionshandelssystem. Das europäische Emissionshandelssystem ist zu Recht das Herzstück des Pakets Fit for 55. Jede emittierte CO2-Tonne wird bepreist. Das schafft die Anreize, die wir brauchen, um mehr in Klimaschutz zu investieren. Ich finde, das ist das wichtigste Instrument, das wir zur Erreichung der Klimaziele haben. Nicht Verbote, nicht Regulierung, sondern Anreize, in neue Technologien zu investieren – das ist genau der richtige Weg, ist sinnvoll. Mit dem gefundenen Kompromiss zeigen wir auf, dass wir den Kampf gegen den Klimawandel mit den Menschen und mit den Unternehmen gestalten wollen und nicht gegen sie.
Und wie machen wir das? Der überarbeitete Emissionshandel ist ambitioniert, aber ich glaube, er lässt, gerade für die Industrie, auch genügend Spielraum zum Atmen. Wir haben ja viele energieintensive Industrien auch noch bei uns in Europa: Stahl, Aluminium, Chemie, Papier, Glas. All diese energieintensiven Industrien haben einen enormen Strombedarf und tragen jetzt die doppelte Belastung – einmal höhere Strompreise und zum anderen Mehrkosten durch die CO2-Bepreisung. Ich finde es richtig, dass in diesem Kompromiss jetzt vorgesehen ist, dass die indirekte Strompreiskompensation nach wie vor möglich ist. Genauso wichtig ist es mir, dass auch die freien Zuteilungen für Unternehmen erst dann auslaufen, wenn der Grenzausgleichsmechanismus bewiesen hat, dass er auch tatsächlich funktioniert. Ich denke, das sind wir auch unserer industriellen Basis in Europa schuldig.
"
Angelika NIEBLER,2023-03-15,DE,Conclusions of the Special European Council meeting of 9 February and preparation of the European Council meeting of 23-24 March 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-030-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, verehrter Herr Vizepräsident der Kommission, verehrter Herr Ratspräsident, liebe Kolleginnen, liebe Kollegen! Endlich, endlich ist die Wettbewerbsfähigkeit unserer Unternehmen in der Europäischen Union eine Priorität für die Kommission und auch für die Mitgliedstaaten.
Wir, Europäische Volkspartei, fordern dies seit Jahren. Unsere ambitionierten Klimaschutzziele, liebe Kolleginnen und Kollegen, können wir nur dann erreichen, wenn wir technologische Fortschritte machen. Wir müssen Anreize schaffen, dass in neue, saubere Technologien investiert wird.
Verbote bringen uns nicht weiter, führen nur zu Verlagerungen von Betrieben, zu Verlagerungen von Produktion ins Ausland. Das stellen wir ja heute schon fest, und deshalb sind die Vorschläge, die jetzt von der Kommission auch zur Unterstützung von mehr Wettbewerbsfähigkeit unserer Betriebe vorgelegt wurden, eine gute Sache.
Wir müssen Bürokratie abbauen, wir müssen Regulatorik zurückfahren, wir müssen Prozesse beschleunigen und vereinfachen. Und noch einmal: Ich finde die Vorschläge gut, aber wir müssen auch die bestehenden Regeln auf den Prüfstand stellen. Taxonomie beispielsweise, liebe Kolleginnen, liebe Kollegen, ufert aus. Medizinprodukteverordnung – da ist etwas modifiziert worden; diesbezüglich haben wir aber auch noch Hausaufgaben zu machen. Auch wir hier im Hause, glaube ich, sind gefordert bei den Gesetzgebungsvorhaben – ich nenne nur das Lieferkettensorgfaltspflichtengesetz , dass wir hier mit Augenmaß vorgehen.
Zuletzt: Wir müssen in Wertschöpfungsketten denken. Das Gesetz zu kritischen Rohstoffen ist gut, aber wir brauchen beispielsweise hier bei uns in Europa auch chemische Industrie. Wir brauchen auch Pharmaindustrie, wir brauchen starke Handwerksbetriebe. Gerade wenn wir die chemische Industrie, liebe Kolleginnen, liebe Kollegen, aus dem Land vertreiben, dann können wir alles, was wir in Sachen Klimaschutz machen, einfach nicht umsetzen. Für Oberschichten von Windrädern, für Rotorblätter, für Chips, für all das, was wir wollen, brauchen wir chemische Industrie. Deshalb plädiere ich dafür, auch endlich mal die chemische Industrie in den Blick zu nehmen und nicht nur clean technology.
"
Angelika NIEBLER,2023-03-14,DE,Data Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-029-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen, liebe Kollegen! Wir leben in einer Zeit, in der Daten die neue Währung sind. Aber ein großer Teil unseres Datenschatzes bleibt bisher unangetastet. 80 % der Industriedaten werden, Stand heute, nie genutzt. Ich glaube, es ist wirklich an der Zeit, dass wir die Datensilos, die wir in der Europäischen Union noch haben, aufbrechen.
Das Datengesetz ist dafür ein wichtiger Meilenstein. Es regelt endlich den Zugriff auf Daten von vernetzten Geräten, Maschinen, ich sage mal, vom Kühlschrank bis zu den Flugzeugturbinen. Durch dieses Datengesetz werden künftig Daten einfacher zugänglich, nutzbar und wertvoll für die Bürgerinnen und Bürger in der Europäischen Union, für Verwaltungen, für Unternehmen, für die Gesellschaft als solches.
Die große Herausforderung beim Datengesetz war, die richtige Balance zwischen den verschiedenen Interessen zu finden. Ich finde, liebe Kolleginnen und Kollegen, das ist uns eigentlich ganz gut gelungen, zumal wir ja auch für einzelne Datenräume wie z. B. den Gesundheitsdatenraum ja noch einen eigenen Rechtsrahmen bekommen werden.
Bürgerinnen und Bürger nutzen smarte Geräte. Für mich war es wichtig, dass der Datenschutz eben da auch in dem Bereich genauso gilt, dass der Bürger, die Bürgerin entscheidet, wer was mit seinen Daten unternimmt. Zweitens war es natürlich wichtig, gerade kleinen, mittelständischen Unternehmen und Start-ups künftig einfacheren Zugriff auf Industrie- und Maschinendaten zu geben. Auch das ist uns gelungen. Andererseits haben wir aber auch sichergestellt, dass weiterhin Geschäftsgeheimnisse gewahrt bleiben. Wichtig in der Datenwelt ist, dass wir vertrauensvolle Umgebungen schaffen. Ich glaube, dass uns das mit diesem legislativen Akt, mit dem Datengesetz, gelungen ist.
Ich möchte auch ein herzliches Dankeschön an unsere Berichterstatterin Pilar del Castillo und alle Kolleginnen und Kollegen aus den Fraktionen, die an diesem Dossier sehr engagiert mitgearbeitet haben, sagen. Ich glaube, wir haben damit wirklich einen guten Schritt in Richtung Aufbau einer Datenwirtschaft und einer Datengesellschaft geschaffen.
"
Angelika NIEBLER,2023-03-13,DE,Energy performance of buildings (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-065-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen, liebe Kollegen! Natürlich muss der Gebäudesektor dazu beitragen, dass wir unsere Klimaschutzziele erreichen. Laut Schätzungen der Kommission macht der Gebäudesektor 40 % aller CO2-Emissionen aus. Die Frage ist also nicht, ob wir den Gebäudebestand dekarbonisieren, sondern die Frage ist, wie wir das machen. 
Und da, liebe Kolleginnen, liebe Kollegen, glaube ich, dass wir mit der Gebäudeenergieeffizienzrichtlinie, über die wir morgen hier nun abstimmen, wirklich auf dem falschen Weg sind. Zwangsrenovierungen, Verbote, das ist der Vorschlag, den uns die Kommission auf den Tisch gelegt hat, und das, was im Parlament, auch im Industrieausschuss, beschlossen wurde, geht noch darüber hinaus.
Ich glaube, dass wir den Klimaschutz nicht gegen die Interessen der Bürgerinnen und Bürger machen dürfen, sondern wir müssen die Menschen mitnehmen. Wir dürfen hier nicht mit Zwang und Verboten versuchen, die Gesellschaft für den Kampf gegen den Klimawandel anzusprechen, sondern ich glaube, wir brauchen intelligentere Lösungen. 
Und wenn man mal sieht, was in den USA gerade mit dem Inflation Reduction Act angestoßen wird, dann ist das, glaube ich, der weitaus bessere Weg, die Leute, die Menschen, die Bürgerinnen, die Bürger zu überzeugen, hier in Sachen Energieeffizienz zu investieren, als so, wie wir das machen.
Lassen Sie mich noch eins sagen: Ich höre in der Diskussion oft, ich sei dann gegen Klimaschutz, wenn ich mich nicht für diese Richtlinie ausspreche. Nein, im Gegenteil. Wir haben den Emissionshandel beschlossen und haben vorgesehen, dass der Gebäudesektor hier ja auch in den Emissionshandel mit einbezogen wird, sodass Energie im Gebäudesektor verteuert wird. Wir haben schon eine Energieeffizienzrichtlinie.
Und, liebe Kolleginnen, liebe Kollegen, jeder weiß, wie sehr die Energiepreise in den letzten Monaten in die Höhe geschossen sind. Ich glaube, man muss unsere Bürger und Bürgerinnen wirklich nicht davon überzeugen, dass es Sinn macht, hier in die Isolierung, in die Dämmung ihrer Häuser, ihrer Wohnimmobilien zu investieren. Das regelt sich von alleine. Ich glaube nicht, dass wir hier noch mit Zwangsrenovierungen zusätzlich Druck aufbauen sollten. Deshalb sehe ich diese Richtlinie, über die wir morgen beschließen, sehr, sehr kritisch.
"
Angelika NIEBLER,2023-02-15,DE,Access to strategic critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-325-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen, liebe Kollegen! Die Krisen der vergangenen Jahre sollten uns eines gelehrt haben: Europa muss resilienter werden. Dies bedeutet, dass wir unsere Abhängigkeiten verringern und unsere heimischen Ressourcen heben müssen.
Der Bericht des Parlaments zur Rohstoffstrategie 2021 macht deutlich: Wir setzen uns ambitionierte Klimaziele, wir sind aber massiv vom Import von kritischen Rohstoffen abhängig. Nur 1 % der Rohstoffe für Windenergieanlagen, weniger als 1 % der Lithiumbatterien, weniger als 1 % der Brennstoffzellen, nur 2 % der für die Robotik relevanten Rohstoffe und nur 1 % der Silizium-Photovoltaik-Baugruppen werden in Europa gewonnen bzw. hergestellt.
Es ist Zeit für eine intelligente Rohstoffpolitik. Dazu gehört aus meiner Sicht zweierlei:
Zum einen müssen wir die heimische Beschaffung von kritischen Rohstoffen ausweiten. Nachhaltiger Bergbau in Europa würde für das Einhalten der höchsten Umwelt- und Sozialstandards stehen. Außerdem könnten wir so das weltweite Angebot erweitern. Dies wird notwendig sein, denn die Nachfrage nach kritischen Rohstoffen wird in den kommenden Jahrzehnten steigen.
Und zweitens: Der Import von kritischen Rohstoffen wird weiter wichtig sein. Kritische Rohstoffe müssen daher auch Kernelement der europäischen Handelspolitik sein. Wir müssen dadurch auch unsere Lieferketten diversifizieren und können dadurch Abhängigkeiten verringern.
"
Angelika NIEBLER,2023-02-14,DE,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-048-0000_DE.html,"  Angelika Niebler (PPE).   – Frau Präsidentin, Herr Vizepräsident, liebe Kolleginnen, liebe Kollegen! Ich halte es für falsch, Verbrennungsmotoren zu verbieten. Für unseren Industriestandort ist das ein Schlag ins Gesicht.
Ohne Zweifel: Elektroautos haben eine gute Zukunft. Das gilt vor allen Dingen, wenn die Infrastruktur ausgebaut wird. Wenn wir flächendeckende Ladeinfrastruktur haben, dann ist ein Elektroauto ein Selbstläufer. Aber, es war noch nie richtig, nur auf eine Technologie zu setzen. Technologieneutralität ist das Gebot der Stunde: alternative Kraftstoffe, synthetische Kraftstoffe, Wasserstofftechnologie haben auch ein riesiges Potenzial.
Und zum Thema Klimaschutz erlauben Sie mir zu sagen: Wir müssen doch auch das Ziel haben, die Autos, die heute auf der Straße fahren, sauberer zu machen, und das geht eben nur mit alternativen Kraftstoffen. In Deutschland fahren derzeit mehr als 67 Millionen Autos auf den Straßen; hier müssen wir doch ansetzen. Es kann auch nicht sein, dass sich jeder in den nächsten Jahren einfach mal schnell ein neues Elektrofahrzeug anschaffen muss.
Ein Aus für den Verbrenner ist unsozial und hilft dem Klimaschutz auch nicht weiter, denn es braucht doch niemand zu glauben, dass nicht außerhalb Europas weiterhin Autos mit Verbrennungsmotoren produziert werden. Das, was wir machen, ist, dass wir unsere eigene Industrie schwächen, dass wir unsere Unternehmen aus Europa vertreiben. Das ist wirklich eine katastrophale Industriepolitik.
(Die Rednerin ist damit einverstanden, auf eine Wortmeldung nach dem Verfahren der „blauen Karte“ zu antworten)
"
