MP,Date,Language,Title,Url,Content
Angelo CIOCCA,2023-10-17,IT,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-330-0000_IT.html,"  Angelo Ciocca (ID).   – Signor Presidente, onorevoli colleghi, follie europee. 
Questa Europa si occupa più degli insetti che dell'emergenza idrica, più del genitore uno e del genitore due che delle famiglie, più dei rom che rubano rispetto ai lavoratori veri, più dei clandestini rispetto ai cittadini, più dell'estremismo islamico rispetto alla difesa dei simboli cristiani.
Questa Europa raccoglie purtroppo quello che semina e a farne le spese sono i cittadini, i cittadini innocenti, innocenti come i due ragazzi svedesi uccisi ingiustamente ieri, nella capitale di questa Europa, nel nome di una non-religione.
Questi terribili e inaccettabili fatti hanno delle responsabilità dirette nell'estremismo islamico, indirette in questa Europa che finanzia l'estremismo islamico, che tifa per l'accoglienza indiscriminata e che consente a un tunisino pregiudicato di uccidere innocenti. La Tunisia li libera, l'Europa li ospita: pazzesco!
E poi vi chiedete cosa dicono fuori di qui di questa Europa? ""Ma questa Europa a che caz ... serve?""
"
Angelo CIOCCA,2023-09-13,IT,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-243-0000_IT.html,"  Angelo Ciocca (ID).   – Signor Presidente, onorevoli colleghi, garantire l'approvvigionamento sicuro e sostenibile di materie prime: bisognerebbe chiederlo ai bambini del Congo che lavorano nelle infernali miniere del Congo per estrarre materie prime utilizzate tanto per le amate batterie elettriche europee.
I dati crudi dell'UNICEF sono scioccanti, direi criminali: 60 000 minatori bambini sfruttati 12-13 ore al giorno senza sicurezze, a due dollari al giorno, esposti a malattie pesanti come i tumori. L'Europa non può continuare a essere complice di questi orrori.
Basta quindi alle politiche che aumentano la nostra dipendenza da forniture extra UE energetiche e agroalimentari, la vera causa dell'inflazione di questi mesi sulle spalle dei cittadini e delle imprese. Basta alle politiche del Mulino Bianco: le politiche europee, in contraddizione con l'aggressione reale di Cina e India, che si arricchiscono a discapito reale del danno al pianeta.
"
Angelo CIOCCA,2023-07-12,IT,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-252-0000_IT.html,"  Angelo Ciocca (ID).   – Signor Presidente, onorevoli colleghi, quest'Europa sta minando le nostre certezze, più che un amico sembra un nemico. Attacchi sistematici alle nostre certezze; immigrazione senza controlli o difesa dei rom che minano la nostra sicurezza nelle case e sui metrò; attacchi ai nostri prodotti e ai nostri settori: vino, agricoltura, pesca, automobili.
Ora l'attacco, con un'ingiustificata politica di aumento dei tassi di interessi, è al mattone. Il mattone è sotto attacco per l'aumento continuo dei mutui, che nega ovviamente il futuro ai nostri ragazzi che vorrebbero giustamente costruirsi una famiglia.
Caro vecchio mattone, continueremo a difenderti da chi, sulla pelle dei cittadini italiani, sulla pelle delle famiglie, specula con la carta a discapito del mattone, investimento concreto di milioni di cittadini italiani.
Caro mattone (l'oratore scarta e mostra un mattone) ... ormai diventi e resti un simbolo, un simbolo di libertà, un simbolo contro la speculazione finanziaria.
"
Angelo CIOCCA,2023-06-13,IT,Ensuring food security and the long-term resilience of EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-437-0000_IT.html,"  Angelo Ciocca,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, anche sul tema in discussione di sicurezza alimentare è doveroso, a poche ore dalla morte dell'ex collega, del presidente Silvio Berlusconi, ricordare che fu proprio il presidente Berlusconi ad ottenere nel 2005 l'Agenzia europea per la sicurezza alimentare. L'Agenzia europea per la sicurezza alimentare atterrò in Italia e non in Finlandia grazie all'impegno e alla capacità di Silvio Berlusconi e al governo di centrodestra. E quale fu il sinonimo per il quale l'Europa scelse l'Italia? Per l'eccellenza alimentare del nostro paese. Un pensiero che purtroppo è andato perso.
Allora invito le istituzioni europee, la Commissione europea, la stessa Agenzia per la sicurezza alimentare a tornare sul pensiero del presidente Berlusconi e fare in modo che non si continui a criminalizzare gli agricoltori, a punire la filiera agricola italiana, a non incentivare l'arrivo di prodotti nocivi, tipo i pistacchi turchi o riso cambogiano, o autorizzare insetti nella nostra agricoltura. 
"
Angelo CIOCCA,2023-05-09,IT,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-279-0000_IT.html,"  Angelo Ciocca (ID).   – Signora Presidente, onorevoli colleghi, ben venga qualsiasi dibattito, qualsiasi sottoscrizione, al fine di tenere alta l'attenzione e di alzare l'attenzione per proteggere le donne dal dramma delle violenze fisiche, sessuali, economiche e psicologiche.
È chiaro che però serve essere rapidi, dodici anni sono passati dalla sottoscrizione della convenzione di Istanbul. Serve essere credibili e serve essere rispettosi.
E allora come non è credibile, come non è rispettoso sostenere che si salva il pianeta togliendo la busta all'insalata, non è credibile tenere una convenzione che si chiami ""convenzione di Istanbul"": la Turchia è uno di quei territori che è più aggressivo, che è meno tutelatore, che è meno protettore delle donne. Chiedete alle donne turche se si sentono protette o no.
E allora io non voglio discutere se è buona cosa firmare o no, firmiamo, ma dopo dodici anni serve anche a pensare a una seconda convenzione, che magari sia ospitata in Italia, ben venga, perché no a Milano, perché no a Genova, perché no a Torino, perché no a Venezia. Abbiamo in Europa delle bellissime città, sicuramente più rispettose di questo.
E si tenga conto anche di un altro dramma che è quello, concludo, che è quello di donne che non riescono a concludere la natalità del proprio figlio.
"
Angelo CIOCCA,2022-11-23,IT,A truly interconnected Energy Single Market to keep bills down and companies competitive (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-147-0000_IT.html,"  Angelo Ciocca (ID).   – Signora Presidente, signora Commissaria, onorevoli colleghi, il titolo dell'ordine del giorno è ""Un mercato unico dell'energia realmente interconnesso per contenere i costi delle bollette"", chi legge questo titolo legge un titolone, quasi da premio Oscar.
Però nel titolone da premio Oscar ci sono la realtà e i fatti concreti che mancano purtroppo all'istituzione europea, un'istituzione europea che non perde occasione per non essere rispettosa, per non essere seria, per non essere concreta davanti alla preoccupazione, al dramma del caro bollette delle nostre famiglie e delle nostre imprese. 
Se pensiamo che in Italia ben cinque milioni di persone hanno almeno una bolletta arretrata, possiamo renderci conto di un dramma reale. Se pensiamo che la bolletta del gas media di una famiglia a ottobre, novembre e dicembre 2022 sarà il doppio rispetto all'anno precedente, possiamo capire quanto è importante che l'Europa dia risposte concrete. E purtroppo le risposte non arrivano, mentre arriva la speculazione, le risposte non arrivano neanche sul tetto del gas che, come ben sapete, è una presa in giro, sui tempi e sulle dimensioni di applicazione.
Penso davvero che, ancora una volta, l'Europa abbia perso una grande occasione di tendere la mano ai cittadini.
"
Angelo CIOCCA,2022-10-04,IT,Radio Equipment Directive: common charger for electronic devices (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-04-INT-2-023-0000_IT.html,"  Angelo Ciocca (ID).   – Signora Presidente, onorevoli colleghi, ben venga uniformare i caricatori di batterie. Ben venga semplificare, uniformando, la vita dei nostri cittadini. Resta però un fatto: tredici anni è inaccettabile per il semplice connettore. Dobbiamo occuparci della spina, ma dobbiamo occuparci soprattutto dell'emergenza che il nostro paese, che la nostra Europa ha, che è il caro bollette.
Questo è il vero tema, altrimenti la gente oggi si interroga: ma la priorità dell'Europa è occuparsi del connettore? La priorità dell'Europa deve essere occuparsi del connettore, ma non dimenticando che non si può partire dal camino dimenticando le fondazioni. Quindi diventa fondamentale che l'Europa dia risposte concrete e immediate al dramma che vede il 57 % degli italiani che sono in difficoltà a pagare una bolletta elettrica. 
Voi pensate che un fiorista stamattina mi ha girato una bolletta elettrica: da 383 EUR è diventata 1 200 EUR! Capite che qualsiasi famiglia, qualsiasi attività imprenditoriale è a rischio chiusura in questa situazione. Noi abbiamo 3 000 imprese in Italia a rischio chiusura e 3 milioni di posti di lavoro che rischiamo di perdere. Abbiamo un Nord Italia, che è la locomotiva del nostro paese, che rischia veramente di far cessare attività importanti imprenditoriali e presìdi importanti imprenditoriali, come questa di un fiorista, che dobbiamo in tutti i modi evitare. 
Quindi ben venga l'attività che si è fatta inaccettabile in tredici anni. Non possiamo pensare di dare risposte al caro bollette e al caro energia in tredici anni alla nostra Europa e al nostro paese. 
"
Angelo CIOCCA,2022-07-07,IT,Recent heat wave and drought in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-07-INT-4-013-0000_IT.html,"  Angelo Ciocca,  a nome del gruppo ID. – Signor Presidente, signor Commissario, io penso che abbiamo un dovere, quello di non condurre un'emergenza idrica in un'ora di chiacchiere, in un'ora dalle mie parti si direbbe di ""bla bla bla"". 
Servono azioni concrete, l'istituzione europea ha il dovere di dare risposte concrete, a meno che non si voglia realmente sostituire la nostra agricoltura, la nostra alimentazione con le euro follie di farci mangiare scarafaggi, cimici, cavallette o addirittura cagnotti.
Serve agire, a mio avviso, con tre mosse. La prima, indennizzare immediatamente quelle aziende che rischiano di perdere il raccolto; mettiamoci nei loro panni, ci sono aziende agricole che investono 200, 300, 400, 500 mila euro per poter avere il frutto di un raccolto e dopo aver affrontato numerosi costi oggi si trovano nel pericolo di non dover raccogliere i loro sacrifici. Notti insonni per lavoro, notti insonni per paura. Voi pensate che in Lombardia il 50 per cento delle aziende agricole è a rischio chiusura. Quindi serve un indennizzo immediato.
Servono risorse anche per calmierare l'aumento dei prezzi del cibo che ci sarà, servono gli stanziamenti essenziali per realizzare quelle opere di impermeabilizzazione dei bacini di riserve idriche, pensate che i nostri ingegneri progettano nel mondo queste opere, le nostre aziende italiane realizzano nel mondo queste opere.
Allora serve non continuare a sbagliare, altrimenti il settore agroalimentare farà la stessa fine del settore meccanico, del settore calzaturiero, del settore manifatturiero italiano. Allora prendiamo oggi stesso i tre miliardi stanziati per le politiche sugli insetti e mettiamo quei tre miliardi per le opere necessarie a dare risposte agli agricoltori, ai cittadini e alle opere infrastrutturali del paese.
"
Angelo CIOCCA,2022-07-06,IT,Facilitating export of Ukrainian agricultural products: key for Ukrainian economy and global food security (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-06-INT-3-171-0000_IT.html,"  Angelo Ciocca,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, penso che non sia accettabile da parte di istituzioni europee che quando vi è un problema è sempre colpa di qualcun altro.
Il blocco delle esportazioni alimentari ucraine crea ovviamente degli effetti, ma anche delle colpe. Non possiamo non partire dal fatto che sono settant'anni che l'Europa gestisce le politiche agricole europee, forse con troppi idealismi e con pochi realismi, questo è il tema. Come la Farm to Fork, i semafori e altre situazioni che oggi purtroppo presentano il conto, e lo presentano ai nostri cittadini.
Il blocco delle esportazioni alimentari ucraine dovrà ovviamente tenere conto di alcuni effetti diretti e indiretti, purtroppo. La crescita del costo del cibo, e questo è un tema che prevede addirittura un aumento di poveri di 49 milioni. Io penso che la politica europea dovrebbe ridurre i poveri e non aumentare i poveri, e su questo, secondo me, serve anche capire chi ha sbagliato e cosa si può fare per correre ai ripari.
È chiaro che non possiamo sempre scaricare queste responsabilità dell'istituzione europea sui cittadini, sulle aziende agricole ucraine, sulle aziende agricole italiane o sulle aziende agricole europee. La carenza di prodotto alimentare, ovviamente, inciderà sui rincari dei bilanci delle nostre famiglie.
Però, dobbiamo capire che in questi anni abbiamo determinato che un paese capace di produrre come l'Italia è arrivato a produrre solo il 50 per cento del fabbisogno di grano, poi su tutti i pacchetti, su tutte le confezioni troviamo ""grano italiano"", qualsiasi grande multinazionale scrive ""grano italiano"", anche se il grano italiano poi non c'è. Ecco, io penso che il blocco delle esportazioni di grano sia un problema anche sul tema dell'immigrazione.
Questo sarà un altro dramma, il fatto che purtroppo la carenza alimentare porterà ancora a inasprire il tema dei flussi migratori tra l'Africa e l'Europa. E allora qui l'istituzione europea non può appaltare alla Turchia o a Erdogan, Erdogan è in grado di far transitare le navi dall'Ucraina alla Turchia e l'istituzione europea non riesce a ottenere questo. Questa incapacità europea della nostra diplomazia si scarica pesantemente sui cittadini e sulle nostre imprese.
"
Angelo CIOCCA,2022-04-07,IT,The situation of marginalised Roma communities in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-04-07-INT-4-058-0000_IT.html,"  Angelo Ciocca (ID).   – Signor Presidente, onorevoli colleghi, i cittadini fuori dall'Europa che ci stanno ascoltando, che ci stanno guardando, ci chiedono: ma perché l'Europa è così stupida? Ma perché l'Europa perde tempo? Ma, soprattutto, perché l'Europa butta soldi, tanti, tanti soldi spesi in tante iniziative che hanno portato zero risultati? Tanti soldi spesi e zero risultati. Perché?
Perché i rom hanno avuto anni per decidere di includersi nella società ma hanno deciso, hanno voluto, hanno scelto di non includersi nella Comunità europea, nei nostri Paesi, nelle nostre strutture. E allora ci vuole un po' di buonsenso, ci vuole un po' di giustizia.
E la giustizia vorrebbe pensare che oggi, con un'azione di coraggio, l'Europa decida di prendere i soldi stanziati per i rom e li metta a disposizione per sostenere i bambini e le donne ucraine che scappano da una guerra. Questa è giustizia europea! Questo è quello che si aspettano i cittadini! Usiamo i soldi dei rom per assistere e per tendere una mano a quei bambini e a quelle donne che oggi, da rifugiati, scappano dalla guerra con la scelta di salvare il proprio figlio e la propria famiglia.
Le risorse europee possono così passare da uno spreco a un aiuto, da uno spreco a un'opportunità. Ecco, io capisco che per qualcuno le risorse europee usate per i rom sono un'opportunità di clientelismo elettorale, ma la gente non lo sopporta più. Io penso che, davanti alla disperazione di una mamma che chiede di aiutare il proprio figlio per arrivare in Italia o in Europa sana e salva, serva questo tipo di aiuto e non altri.
(L'oratore conclude l'intervento mostrando all'Aula un'immagine in formato A3)
"
