MP,Date,Language,Title,Url,Content
Anna CAVAZZINI,2023-11-21,EN,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-184-0000_EN.html,"  Anna Cavazzini (Verts/ALE).   – Madam President, I liked that we finally had a plenary debate that is really a debate.
Frau Präsidentin, lieber Herr Vizepräsident der Kommission Dombrovskis, liebe Kolleginnen und Kollegen! Das Handelsabkommen zwischen der Europäischen Union und Neuseeland markiert einen Wendepunkt in der europäischen Handelspolitik, für den wir Grüne uns sehr lange eingesetzt haben, für den sich auch dieses Parlament sehr lange eingesetzt hat. Besonders freue ich mich über den neuen Standard bei Nachhaltigkeitskapiteln, und endlich, endlich können Verstöße gegen das Pariser Klimaschutzübereinkommen oder die IAO-Kernarbeitsnormen geahndet werden. Und damit sind diese Kapitel endlich keine Papiertiger mehr, sondern stellen sicher, dass unser Handeln im Einklang mit dem europäischen Grünen Deal steht.
Es ist so wichtig, dass es erstmals auch ein Kapitel über die Rechte indigener Völker sowie die Verpflichtung zu nachhaltiger Landwirtschaft gibt. Handelspolitik muss als Hebel für Menschenrechte und für die Transformation genutzt werden.
Als Grüne hätten wir uns gewünscht, noch weiter zu gehen. Beispielsweise wollten wir einen klaren Fahrplan für den Abbau von fossilen Subventionen und die Umsetzung aus dem Nachhaltigkeitskapitel einfordern. Das Abkommen ist also noch nicht perfekt, aber es ist ein entscheidender Schritt in die richtige Richtung.
Was mir ganz wichtig ist: Hinter Neuseeland dürfen wir jetzt nicht mehr zurückfallen. Alle zukünftigen EU-Handelsabkommen müssen diesen neuen Mindeststandards folgen.
"
Anna CAVAZZINI,2023-11-20,DE,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-168-0000_DE.html,"  Anna Cavazzini,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Über 70 % der Menschen in Europa wollen ihr Smartphone gerne reparieren, aber nur 20 % tun es – das ist eine vertane Chance. Reparieren muss endlich einfacher, günstiger und schneller werden. Das schont Ressourcen und das Klima, und genau das macht das europäische Recht auf Reparatur.
Was bedeutet das konkret für die Verbraucherinnen und Verbraucher? Geht der Staubsauger kaputt, muss er nicht mehr direkt in den Müll, denn der Hersteller muss den Staubsauger reparieren. Damit die Reparatur bezahlbar wird, sollen auch unabhängige kleine repair shops um die Ecke oder Tüftlerinnen und Tüftler zu Hause in ihren Garagen Zugang zu Anleitungen und Ersatzteilen bekommen, und zwar zu einem angemessenen Preis. Das ist ganz wichtig, denn aktuell ist Reparieren viel zu teuer. Wir Grüne haben erfolgreich verhandelt, dass Praktiken unterbunden werden, die die Hersteller dazu nutzen, um doch den Daumen auf die Reparatur zu halten, z. B. dass bestimmte eigene Ersatzteile nur mit Seriennummer verwendet werden können.
All das ist das Ende der unangefochtenen Marktmacht von Apple und Co. und wird neue Jobs und neue Aufträge für die Kleinen bringen – und das ist richtig gut. Reparieren ist kein Luxus mehr, sondern wird zur Norm, denn das Recht auf Reparatur ermöglicht Verbraucherinnen und Verbrauchern endlich die nachhaltige Wahl.
Ich sage ganz deutlich: Wir Grüne hätten uns mehr gewünscht; wir Grüne hätten z. B. gerne die Gewährleistung an die Lebensdauer angepasst. Das hätte eine echte Reparaturrevolution ausgelöst, aber leider wurde das von Mitte-rechts in diesem Haus verhindert. Dennoch: Auch der jetzige Kompromiss ist ein Meilenstein im Übergang zur Kreislaufwirtschaft und schont Ressourcen und Klima, auch den Geldbeutel der Verbraucherinnen und Verbraucher. Jetzt müssen sich auch die Mitgliedstaaten bewegen, damit das Recht auf Reparatur bald Wirklichkeit wird.
"
Anna CAVAZZINI,2023-10-04,EN,Energy Charter Treaty: next steps (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-303-0000_EN.html,"  Anna Cavazzini (Verts/ALE).   – Madam President, I have a point of order indeed. Parliament decided that we wanted to exit the Energy Charter Treaty, and the Commission proposed it as well. But the blocking majority, or whatever, is in the Council. The Council is not moving. But how can we debate with the Council if the Council is not here? That really renders the whole debate a little bit useless.
So could we probably either call for the Council to come back, or postpone the debate? Because like this it doesn’t really make sense, because the addressee, of course, of the debate is the Council.
"
Anna CAVAZZINI,2023-10-04,EN,Energy Charter Treaty: next steps (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-308-0000_EN.html,"  Anna Cavazzini,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, are you aware that Nord Stream 2 and its Russian backers are, to this day, still suing the EU for damaging their investment in the doomed pipeline? That billions of taxpayers’ money might be used for this? The Energy Charter Treaty is to blame. And that is why we in this Parliament several months ago decided that the EU and its Member States have to exit. That is why also the Commission proposed a coordinated exit. Eleven Member States are leaving, so the EU exit is unavoidable.
I have really no understanding whatsoever on why the file is now blocked for months in the Council, why the Council isn’t acting and why the Council is not even here today. To me it is clear: the Council needs to listen to the citizens, to this Parliament and also really put an end to the damaging Energy Charter Treaty.
This Parliament made it very clear in our resolution that was carried by almost all the groups. Unfair overprotections for foreign investors – and especially fossil fuel investors – are unacceptable. There should be no treat of arbitration lawsuits, no shadow courts, no billions to pay as damages to the biggest polluters, no half solutions.
Unfortunately, the ECT saga isn’t over yet, but we are much further than we have been four years ago. So together with the Council, we can still set our success in marble before the end of this mandate and finalise the EU exit from this outdated, toxic Energy Charter Treaty.
"
Anna CAVAZZINI,2023-10-04,DE,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-352-0000_DE.html,"  Anna Cavazzini (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Die Erfahrungen mit autokratischen Regimen wie Russland und China zeigen, dass wir unsere Handelsbeziehungen breiter aufstellen müssen.
Aber diese Beispiele zeigen gerade auch, dass eine Handelspolitik, die unser Wertesystem wie den Schutz der Menschenrechte oder des Klimas konterkariert, genauso zum Scheitern verurteilt ist. Daraus folgt für mich: Wir können die EU-Handelsagenda nur dann vorantreiben, wenn wir gleichzeitig unsere Handelsabkommen weiter reformieren, an echtem Klimaschutz ausrichten, wenn wir die europäische Wirtschaft und unsere Lieferketten klimaneutral machen, wie wir das zum Beispiel mit dem Gesetz gegen die weltweite Entwaldung getan haben.
Viele sagen jetzt, wir müssen mehr auf die Entwicklungsländer zugehen, um sie als Partner zu gewinnen. Ja, das finde ich auch, und das sage ich schon lange. Aber das machen wir natürlich nicht, indem wir unsere Nachhaltigkeitsstandards herunterschrauben.
Was die meisten Länder des Globalen Südens wirklich wollen, ist, dass die Abkommen nicht ihren Handlungsspielraum einschränken – bei der Industriepolitik oder wenn sie Medikamente für ihre Bevölkerung produzieren. Sie wollen mehr Technologietransfer und eine Reform der globalen Strukturen der wirtschaftspolitischen Steuerung.
Dafür braucht es europäische Initiativen, wenn wir wirklich einen Schulterschluss auf Augenhöhe mit dem Globalen Süden wollen.
"
Anna CAVAZZINI,2023-09-13,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-241-0000_DE.html,"  Anna Cavazzini (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Durch Krieg und Pandemie hat sich schonungslos gezeigt, wie angreifbar und instabil unsere Lieferketten sind. 
Und ja, wir müssen unsere Rohstoffbeschaffung diversifizieren und wir müssen uns weniger abhängig machen von autoritären Regimen wie China oder Russland. Das darf allerdings nicht auf Kosten der Menschenrechte und des Umweltschutzes in anderen Ländern gehen, egal ob es um den Nickelabbau in Indonesien oder die Lithiumförderung in Chile geht. Wir brauchen klare Vorgaben zu Menschenrechten und Nachhaltigkeit in den EU-Rohstoffpartnerschaften und wir brauchen ein starkes EU-Lieferkettengesetz.
In diesem Kontext finde ich es sehr enttäuschend, dass der ITRE-Ausschuss nicht unserer Initiative gefolgt ist, die Rechte von Indigenen und die informierte Konsultation bei den Rohstoffvorhaben zu verankern. Und ich werbe ganz stark dafür, dass wir dann morgen den bestimmten Änderungsanträgen, die relevant sind, zustimmen. Indigene dürfen nicht die Leidtragenden von unserer Rohstoffpolitik sein.
Wir gewinnen nur dann mehr internationale Partner, wenn wir attraktive Angebote machen. Viele Entwicklungsländer wollen weg von ihrer Rolle als reine Rohstofflieferanten. Deswegen müssen wir unsere Handelspolitik und unsere Handelsabkommen so gestalten, dass sie mehr Wertschöpfung vor Ort ermöglichen. Und wir brauchen mehr europäische Investitionen in die Weiterverarbeitung vor Ort in den Rohstoffländern.
"
Anna CAVAZZINI,2023-09-12,DE,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-162-0000_DE.html,"  Anna Cavazzini,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Kilometerlange LKW-Staus an den Grenzen, Krankenpflegerinnen, die nicht zur Arbeit kommen können, oder auch Paare, die sich nicht besuchen können. All das wurde in der Corona-Pandemie wieder zur traurigen Realität in der Europäischen Union. Grenzkontrollen der Mitgliedstaaten haben den freien Verkehr von Waren, Dienstleistungen, aber auch von Menschen verhindert, den Binnenmarkt gestört. Das darf nie wieder passieren!
Und genau das wird das Notfallinstrument für den Binnenmarkt anpacken. Bessere Vorausschau, bessere Koordinierung und schnellere Verfahren sollen die Grenzen im Krisenfall offenhalten. Denn der Binnenmarkt lebt doch davon, dass wir zusammenarbeiten und durch Zusammenarbeit Krisen überwinden. Und das sage ich vor allem auch in Richtung einiger deutscher CDU/CSU-Landesregierungen, die wegen der Migration jetzt wieder europarechtswidrige Grenzkontrollen einführen wollen oder das bereits seit Jahren praktizieren: Stellt nicht die größte europäische Errungenschaft aufs Spiel!
In Krisenzeiten werden auch unsere Lieferketten auf eine harte Probe gestellt. Schocks bei Angebot und Nachfrage, Lieferengpässe, steigende Preise. Das haben wir in der Corona-Krise erlebt, das erleben wir auch gerade im Ukrainekrieg. Und auch hier gilt, wenn wir zusammen Stärken und Schwächen ausgleichen, ist Europa am widerstandsfähigsten. Der Binnenmarkt wird zur Rettungsweste für Unternehmen, aber auch für die Menschen, für die Verbraucher, wenn wir ihn richtig nutzen. Wir Grüne – und das muss ich ganz ehrlich sagen – hätten uns gewünscht, dass das Gesetz mehr Zähne hat, dass wir ähnlich wie in den USA eine wirkliche Krisenwirtschaft etablieren können und uns darauf einstellen können, falls es wirklich nötig ist. Und jetzt enthält das Gesetz leider auch einige zahnlose Regeln. Trotzdem ist der Anfang gemacht. Trotzdem wird das Gesetz helfen, das zu schützen, was für viele Europa ausmacht: offene Grenzen, gegenseitige Unterstützung, Zusammenstehen in der Krise. Ich möchte ganz herzlich noch einmal dem Berichterstatter Andreas Schwab und auch den Schattenberichterstatterinnen danken für die gute Zusammenarbeit.
"
Anna CAVAZZINI,2023-07-11,DE,Ecodesign Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-531-0000_DE.html,"  Anna Cavazzini (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wie umweltschädlich ein Produkt ist, das entscheidet sich zu 80 % am Design, und das ist ein riesiger Hebel, den wir einfach noch viel mehr nutzen müssen. T-Shirt, Handy oder Wasserkocher – bisher: kaufen, kurz nutzen und wegschmeißen, das ist leider die Regel. Und mit krassen Folgen: Die Erderhitzung schreitet voran, der Hunger nach Ressourcen steigt immer weiter, die Müllberge wachsen. Damit muss endlich Schluss sein! Mit der Abstimmung über die Ökodesign-Verordnung machen wir klar: Es ist höchste Zeit, dass die Nachhaltigkeit von Produkten auf dem Binnenmarkt zur Norm wird.
Ökodesign ist ein Meilenstein im Übergang zur Kreislaufwirtschaft. Müll wird zum Designfehler, und Schrottprodukte verschwinden vom Markt. Ich freue mich, dass wir mit dem Produktpass Transparenz über die Lieferkette schaffen und das Recycling erleichtern. Und ein Reparierbarkeitswert wird Verbraucherinnen und Verbrauchern deutlich zeigen, wie leicht oder wie schwer ein Produkt zu reparieren ist. Auch muss das Zerstören von unverkaufter Ware endlich aufhören. Es ist gut und richtig, dass das Parlament den Kommissionsvorschlag nachgeschärft hat.
"
Anna CAVAZZINI,2023-06-13,DE,Batteries and waste batteries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-388-0000_DE.html,"  Anna Cavazzini (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Rohstoffe sind endlich, und die planetaren Grenzen sind Realität.
Die Batterieverordnung beschleunigt den Übergang zu einer echten Kreislaufwirtschaft, weil wir wichtige Rohstoffe nicht weiter verschwenden, sondern endlich wiederverwerten. Verbraucherinnen und Verbraucher werden langlebigere und effizientere Batterien erhalten. Alle Batterien können ersetzt, Geräte länger genutzt und Elektroschrott reduziert werden. Was für ein Gewinn für die Umwelt und die Verbraucherinnen und Verbraucher!
Zweitens schafft die Verordnung gleiche Wettbewerbsbedingungen für die in Europa hergestellten Batterien und importierte Batterien. Sie legt Regeln fest, nach denen Europa bei dieser Schlüsseltechnologie mit hohen Verbraucher- und Umweltschutzstandards international konkurrieren kann. Das wird die weltweite Produktion beeinflussen – der Brüssel-Effekt jetzt endlich auch für Batterien!
Drittens legt das Gesetz klare menschenrechtliche Sorgfaltspflichten fest in einem Sektor, der für Menschenrechtsverletzungen sehr anfällig ist. Das ist unglaublich nötig.
So, die Batterieverordnung ist eine Blaupause. Sie ist eine der Säulen des Grünen Deals. Wir müssen sie jetzt für eine faire Kreislaufwirtschaft schnell und effizient umsetzen.
"
Anna CAVAZZINI,2023-06-12,EN,Marking the World Day against Child Labour (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-065-0000_EN.html,"  Anna Cavazzini,  on behalf of the Verts/ALE Group. – Mr President, dear colleagues, annually, 50 billion worth of imported goods are made with child labour. And an estimated 160 million children are engaged in child labour. 
Children such as Nina, a 13-year-old working in the mica mine in Madagascar for our cosmetics, paints and electronics. Or Sandy who picks potatoes, extracts onions and digs up lettuce on a hillside in the Dominican Republic. To improve the circumstances and to lift the families from Nina and Sandy out of poverty, we need support and development cooperation. 
But child labour and especially forced child labour is also straightforward economic dumping. That is why we need to increase the economic costs of companies that exploit the most vulnerable. The answer is a strong and effective import ban on products made with forced labour. It is a shame that the EPP is teaming up with the right wing to block and postpone this very important proposal. 
"
