MP,Date,Language,Title,Url,Content
Anna DEPARNAY-GRUNENBERG,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-055-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Frau Präsidentin, meine Damen und Herren! Zu Beweislastumkehr: Mehr als die Hälfte der Vögel unserer Äcker, Wiesen und Felder sind verstummt. Pestizide sind die Treiber Nummer eins dieses Vogelsterbens.
Pestizide bleiben nicht auf dem Acker. Der Regen wäscht sie von Weinreben und Fettwiesen, sie landen in den Bächen und werden über die Flusssysteme bis in unser Trinkwasser gespült. Pestizide wandern auch über die Nahrungskette, über kontaminierte Insekten, die durch Vögel gefressen werden. Amsel, Drossel, Fink und Star – sind sie bald vielleicht nicht mehr da? Wir dürfen nicht zulassen, dass die Vögel verstummen und dieses Lied für die künftigen Generationen ohne Bedeutung ist. Wir müssen präventiv denken und chemische Pestizide als letztes Mittel sehen.
Das heutige System, was doch unsere gemeinsame Agrikultur auch dermaßen zerstört, muss doch gemeinsam wandelbar sein. Und wir haben keine Wahl. Wir müssen den Einsatz von Pestiziden radikal reduzieren. Ich bitte Sie, hier für eine starke SUR zu stimmen, für einen Planeten, in dem es auch weiterhin summt, zwitschert und brummt. Übernehmen wir gemeinsam Verantwortung!
"
Anna DEPARNAY-GRUNENBERG,2023-10-17,DE,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-243-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Frau Präsidentin, Herr Kommissar, meine sehr verehrten Damen und Herren! Gestern machte das Parlament mal wieder Schlagzeilen mit einem Detail: Ein Zug voller EU-Beschäftigter fuhr fälschlicherweise statt nach Straßburg erst einmal nach Disneyland. Eigentlich ist es recht lustig.
Leider passt der Vorfall auch in einigen Zügen zum Arbeitsprogramm der Kommission, dem letzten Arbeitsprogramm vor der Europawahl 2024. Von wegen Weichen falsch gestellt. Seit Langem verspricht die Kommission einen Gesetzesvorschlag, um Bahnfahren in Europa zu erleichtern. Mit dem multimodalen Ticket durften Millionen Reisende auf ein Ende des Tarifwirrwarrs hoffen. Sie durften von durchgehenden Tickets auch für komplizierte Verbindungen träumen und davon, mit dem besten Tarif über mehrere Grenzen hinweg sicher am Ziel anzukommen. Nun fällt die europäische Buchungsplattform völlig aus dem Programm. Dabei ist das Interesse am klimafreundlichen Reisen riesig. Ein verpasster Elfmeter für die Kommission.
Herr Šefčovič, etwas ernster: Wie sollen wir unsere Klimaziele im Verkehr erreichen, wenn Sie es nicht einmal schaffen, dieses Gesetz über die Torlinie zu bringen? Willkommen in Disneyland!
"
Anna DEPARNAY-GRUNENBERG,2023-10-03,DE,EU-Switzerland relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-475-0000_DE.html,"  Anna Deparnay-Grunenberg,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, verehrte Kolleginnen und Kollegen! EU-Schweiz-Beziehungsstatus: It's complicated. Das haben wir gehört. Schon länger war die Schweiz hier im EU-Plenum kein Thema mehr. Endlich sprechen wir heute wieder darüber, dass wir als EU mit der Schweiz endlich wieder enger zusammenarbeiten wollen und müssen.
Einige grundlegende Anliegen von uns als Europäisches Parlament haben wir mit diesem EU-Schweiz-Bericht erarbeitet und damit klargestellt: Die Schweiz ist und bleibt ein wichtiger Partner der EU. Sie gehört in Horizont Europa, Erasmus+, in die verschiedenen Klimaschutz- und andere Programme, damit grenzüberschreitendes Leben und Arbeiten, auch bei uns in Baden-Württemberg, zwischen EU und Schweiz einfach und unbürokratisch wird und bleibt.
Darauf basierend müssen wir die Beziehungen zwischen der EU und der Schweiz wieder in Schwung bringen. Wir können es uns nicht leisten, politisch noch weiter auseinanderzudriften, wie es in den letzten Jahren passiert ist. Einige bilaterale Abkommen stehen jetzt vor dem Aus. Dabei sind es die Menschen, die im Alltag doch unglaublich vernetzt sind: Über 320 000 Menschen pendeln jeden Tag über die Grenze. Wir brauchen ein Europa, das eine unsichtbare und offene Grenze an dieser Stelle hat. Unsere Wirtschaften sind unendlich vernetzt, Unternehmen gedeihen in der Grenzregion und operieren in beiden Ländern. Sie brauchen Sicherheit, wie es weitergeht.
Und unsere Ökosysteme sind vernetzt: Klimawandel betrifft uns ja alle. Waldbrände machen nicht vor Grenzen halt. Wir werden immer zusammenarbeiten. Es geht nicht darum, Souveränität abzugeben, sondern gemeinsam für unsere Werte, für Frieden, Freiheit, Wohlstand und Klimaschutz, einzustehen.
"
Anna DEPARNAY-GRUNENBERG,2023-09-13,DE,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-165-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Herr Präsident, meine Damen und Herren! Abermals versuchen die Konservativen, mit Fake News den Naturschutz auszuhebeln.
Heute: Kapitel Wolf. Und auch Sie, Frau von der Leyen – auch wenn Sie heute Morgen den unendlichen Wert der Biodiversität hier gelobt haben – machen leider mit, die Angst vor dem bösen Wolf zu schüren.
Fakt ist: Es ist ein Erfolg, dass das beinahe ausgerottete Tier Wolf sich wieder ausbreitet – unser Naturschutz wirkt.
Fakt ist auch: Über 95 % der Nahrung des Wolfes besteht aus Wildtieren. Damit reguliert der Wolf das Ökosystem Wald. Gerade dort, wo Wildtiere die Triebe junger Bäume verbeißen, kann er auch ein Verbündeter werden für einen klimafitten Wald der Zukunft.
Fakt ist auch noch: Der Wolf ist keine Gefahr für den Menschen. Seit 2 000 gab es keinen einzigen fatalen Wolfsangriff in Europa. Da brauchen wir keine Märchenstunde.
Letzter Fakt: Abschüsse von einzelnen Wölfen haben sich weder bewährt, um Wolfspopulation zu regulieren, noch, um Herden vernünftig zu schützen.
Wir dürfen mitten in dieser Biodiversitätskrise, die wir erleben, keine Abschwächung der Habitat-Richtlinie zulassen. Lasst uns doch lieber gemeinsam unsere Kräfte und Energie nutzen, um innovativ zu werden, damit wir Landwirte und Weidetiere effektiv schützen.
"
Anna DEPARNAY-GRUNENBERG,2023-07-12,DE,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-350-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Herr Präsident, meine Damen und Herren! Wir feiern heute einen Sieg für den Naturschutz. Wir haben eine europäische Mehrheit für das Gesetz zur Wiederherstellung der Natur. Lieber Herr Timmermans, lassen Sie uns diese Dynamik nutzen, um noch geplante Legislativvorhaben vor 2024 anzugehen.
Ein Beispiel: Ich fordere Sie auf, machen Sie einen Vorschlag zum versprochenen Forest Monitoring Law. Wir brauchen dieses Gesetz. Die Wälder sind nämlich unsere größten Verbündeten gegen den Klimawandel. Ein einheitliches Monitoring dient dazu, den Zustand der Wälder europaweit zu vergleichen. Wir wüssten dann zuverlässig, wie alt, wie hoch, wie breit, wie gesund oder krank die Bäume und die Bestände in bestimmten Wäldern sind, wie viel Totholz-CO2 gespeichert wird und wie viel Feuchtigkeit darin steckt, und damit, wie wir sie gemeinsam mit den Forstleuten und Waldbesitzenden schützen könnten. 
Illegale Abholzung und Kahlschläge habe ich in den letzten Monaten zu Hauf in Europa gesehen. Der Schutz unserer Wälder und der Waldböden, die immerhin 40 % unseres Kontinents bedecken, sind elementar, um unser Klima zu retten.
"
Anna DEPARNAY-GRUNENBERG,2023-07-11,DE,Greening transport package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-298-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Frau Präsidentin! Mehr Güter auf die Schiene, liebe Freundinnen und Freunde, meine Damen und Herren, das wollen wir ewig schon! Dieses Paket enthält mehrere Gesetze mit genau diesem Potenzial. Ein Gesetz z. B. regelt, wie man Fahrpläne international abstimmt. Es macht außerdem für Logistikunternehmer flexibler, Trassen zu buchen. Auch die Richtlinie zum kombinierten Verkehr, also Schiene und Lkw gemischt, hat enormes Potenzial fürs Klima. Richtig aufregend finde ich den Vorschlag zu CountEmissions EU. Da heißt es eben: Logistikunternehmen müssen offenlegen, wie viel Emissionen sie jeweils beim Transport von Gütern verursachen. Die Bahn wird da natürlich die große Gewinnerin sein.
Auch die nächsten Schritte sind für uns damit klar. Wir brauchen ein Siegel für umweltfreundlichen Gütertransport, und wir wollen auch mehr Transparenz für den Personenverkehr. Als Reisende weiß ich dann schon beim Buchen, mit welchem Verkehrsmittel ich persönlich welchen Einfluss auf das Klima nehme, und da fahre ich persönlich öfter Bahn oder schicke als Unternehmen eben meine Ware über die Schiene.
Packen wir es an! Ich freue mich auf diese Arbeit.
"
Anna DEPARNAY-GRUNENBERG,2023-07-10,DE,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-062-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Wenn vom Verbrenner-Aus die Rede ist, denken ja fast alle immer direkt ans Auto. Tatsächlich ist in den letzten Monaten noch ein anderer wichtiger Schritt Richtung Dekarbonisierung des Verkehrs gelungen. Mit der AFIR, der Verordnung über die Infrastruktur für alternative Kraftstoffe, bringen wir auch die Elektrifizierung des Güterverkehrs endlich voran. Künftig wird es alle 60 Kilometer eine Ladestelle für Lkws geben. Damit schaffen wir die Voraussetzung, dass die Logistikbranche rasch auf batteriebetriebene oder alternative Kraftstoffe bei Lkws umsteigen kann. Laut Prognosen könnte schon 2030 mehr als die Hälfte der in Deutschland zugelassenen Lkws klimaneutral sein.
Damit nicht genug. Die Bahn wird ja oft beim Thema Güterverkehr und Dekarbonisierung des Transports einfach vergessen. Wir Grünen haben dafür gesorgt, dass auch der gesamte Bereich Schiene klimafit wird. Denn bisher sind auf der Schiene nur 54 % der Strecken in der EU elektrifiziert, und vor allem im Schienengüterverkehr dieseln noch viel zu viele Züge durch die Gegend.
Es ist ein echter Durchbruch, meine Damen und Herren, dass die Mitgliedstaaten bis 2026 Maßnahmen zum Ausbau alternativer Antriebe der Schiene erbringen müssen. Denn wir brauchen ja in einer klimaneutralen Welt irgendwann mal auch das Verbrenner-Aus für die Dieselloks.
"
Anna DEPARNAY-GRUNENBERG,2023-06-15,DE,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-053-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Frau Präsidentin, meine Damen und Herren! Sie kennen es bestimmt, wenn ein Küchenschwamm so trocken ist, dass, wenn wir versuchen, ihn zu benutzen, das Wasser einfach wegrutscht und überhaupt nichts mehr in diesen Schwamm hineingeht. Das kennen wir alle. Ein alltägliches Phänomen.
Was hat das mit der Diskussion hier zu tun? Unsere Landschaften trocknen ebenso aus, und das Problem ist, dass eben, auch wenn es viel regnet – wie jetzt in diesem Frühling –, wir durch die erhöhte Temperatur des Klimawandels auch eine sofortige Ausdünstung haben und wir es nicht mehr schaffen, unsere Landschaften voll Wasser zu halten.
Was müssen wir tun? Wir müssen erstens natürlich heraus aus dem fossilen Zeitalter. Wir bemühen uns alle, und unsere Diskussionen in unseren Heimatländern zeigen, wie schwierig das ist. Was müssen wir zweitens tun? Wir müssen auch mit der Durchwurzelung unserer Landschaften wieder besser arbeiten. Wir müssen naturnahe Waldwirtschaft, tiefgründige Böden, die Mischwälder nach vorne bringen. Wir müssen auch neue Agroforstsysteme kreieren. Wir müssen auch kleinstrukturierte Landschaften wiederherstellen, und wir müssen unsere Gewässer renaturieren. Das wissen wir.
Wir sollten jetzt, wo wir die Konsequenzen sehen, mal schnell agieren.
"
Anna DEPARNAY-GRUNENBERG,2023-05-10,EN,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-060-0000_EN.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Mr President, dear colleagues, the truth is sometimes really simple and evident: no nature, no food; no nature, no farmers. 
With our common project to bring back nature in our life in the European Union, with the nature restoration law on which we have to work, with the reduction of use of pesticides, we want to work together with our farmers and foresters. They know, of course, that without nature, without bees and pollinators, without water in the soil, there will be no yield. 
So it’s our common project to help those who work with soil and with life to produce our daily food. That’s an evidence. It’s our common project to sustain the needed transformation of practices and not to block. Instead of spreading stories of fear and food insecurity, as our colleagues from the conservatives are doing now on a daily basis. 
Because the truth is sometimes really simple and evident. No nature, no food; no nature, no farmers. 
"
Anna DEPARNAY-GRUNENBERG,2023-03-16,DE,"European Citizens’ Initiative ""Save bees and farmers! Towards a bee-friendly agriculture for a healthy environment"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-033-0000_DE.html,"  Anna Deparnay-Grunenberg (Verts/ALE).   – Frau Präsidentin! Als Erstes möchte ich Sie fragen, als Herrin dieses Hauses vielleicht Herrn Lebreton mal zurechtzuweisen. Er hat gerade den Ausdruck „grüner Ajatollah“ benutzt. Ich meine, wenn wir gerade betrachten, was im Iran passiert, finde ich solche Ausdrücke einfach in diesem Haus nicht angebracht, und ich glaube, Sie sollten da wirklich als Herrin des Hauses heute etwas dazu sagen.
Zu unserem Thema jetzt. Bienen sind nämlich mehr als Honig, sie sind unsere Lebensgrundlage und als soziale Wesen sorgen sie für Bestäubung, blühende Äcker und Felder, für Früchte und nicht zuletzt für unsere Ernährung. Keine Bienen bedeuten keine Landwirtschaft und keine Ernährung für uns Menschen. So einfach ist das. Mit dem Bienensterben verlieren wir heute leider schon zwei Drittel unserer Apfelernte.
Wie viel deutlicher muss es eigentlich noch werden? Pestizide sind Bienenkiller. Sie schaden unserer Umwelt. Unsere Versorgung kann nicht mit Pestiziden gesichert werden, das ist ein kurzfristiger Trugschluss. Im Gegenteil: Ohne bestäubende Insekten gibt es keine Lebensmittel und keine Landwirte.
Wir arbeiten gerade an einer Reduktion von Pestiziden. Die Halbierung bis 2035 muss das Mindeste sein, was wir hier erreichen. Damit haben uns die Europäerinnen und Europäer beauftragt.
"
