MP,Date,Language,Title,Url,Content
Anne SANDER,2023-11-20,FR,Union certification framework for carbon removals,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-206-0000_FR.html,"  Anne Sander (PPE).   – Monsieur le Président, Monsieur le Commissaire, je voudrais saluer ce texte qui va permettre de valoriser tous les efforts dans lesquels les producteurs se sont investis et investiront plus encore pour opérer la transition environnementale.
Le mécanisme de certification carbone présente une double opportunité. D’abord, il sera un levier dans le chemin vers la décarbonation du monde agricole. Les producteurs sont des chefs d’entreprises comme les autres et ils doivent assurer la viabilité de leurs exploitations et c’est pour cela qu’il faut les inciter et non pas les pénaliser. Ils sont aussi des acteurs clés dans le changement climatique et voilà pourquoi il faut les accompagner.
Ce texte est également un levier financier pour le monde agricole. Mais évidemment, il faudra veiller aux écueils en termes de charges administratives, mais aussi en termes économiques, puisqu’il faudra que la rémunération des certificats, le coût du carbone, permette réellement aux agriculteurs d’en tirer le meilleur parti.
Et si nous voulons un mécanisme efficace et qui portera l’agriculture européenne à être chef de file dans la décarbonation de sa production, ce mécanisme doit être le plus inclusif possible. Je voudrais d’ores et déjà me réjouir, car le texte que nous allons adopter tiendra compte à la fois des réductions et des actions de stockage des émissions. C’est une plus-value portée par le Parlement et il faudra la défendre.
"
Anne SANDER,2023-10-19,FR,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-068-0000_FR.html,"  Anne Sander (PPE).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, aujourd’hui le constat est clair: l’Europe est totalement dépendante des importations pour ses besoins en protéines. L’Union européenne, par exemple, ne produit que 3 % de la production mondiale de soja, mais le monde entier en consomme chaque année de plus en plus.
Se doter de cette stratégie, d’une stratégie solide pour les protéines végétales et animales, est donc fondamental. Car produire des protéines, c’est aussi produire l’énergie dont les hommes ont besoin et c’est assurer notre indépendance vis—à—vis du reste du monde.
La Commission européenne doit donc nous faire des propositions concrètes – très vite – pour aller dans ce sens, en assurant par exemple un cadre favorable au développement de variétés nouvelles. Elle devra aussi veiller à ce que les conditions de production soient loyales, notamment avec les produits importés depuis le reste du monde.
Enfin, soyons clairs – ici – et rappelons une fois pour toutes que nous disons «oui» aux protéines animales venant de nos élevages, et «non» à la viande de synthèse.
"
Anne SANDER,2023-10-19,FR,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-084-0000_FR.html,"  Anne Sander,  au nom du groupe PPE. – Monsieur le Président, Monsieur le Commissaire, chers collègues, aujourd’hui, à travers ce rapport, nous voulons dire «non» au déclin démographique de l’agriculture européenne. Et il y a urgence, car, rien qu’en France, près de 45 % des agriculteurs ont plus de 55 ans et partiront à la retraite d’ici 2030. Cela représente, en France, près d’un quart de la surface agricole utile.
Oui, ces chiffres doivent nous faire réagir, car l’agriculture n’est pas qu’un simple secteur économique, elle est garante de notre sécurité alimentaire. C’est un domaine clé dans la transition environnementale et, bien entendu, du développement des territoires. Et ces missions, nous ne pouvons pas les laisser à d’autres. 
Alors que faire? Je pense que nous devons d’abord changer le regard sur le métier d’agriculteur. Être agriculteur aujourd’hui, cela signifie toujours être passionné. C’est aussi avoir des compétences en agronomie et dans le domaine environnemental. C’est avant tout être chef d’entreprise, économiste et avoir des compétences dans le numérique. Et c’est ce qu’il faut montrer. C’est aussi pour cela, vu l’ensemble de ces compétences, qu’il faut de bonnes formations, tout au long de la vie, pour le monde agricole.
Assurer le renouvellement des générations, c’est aussi – et surtout – permettre aux jeunes de s’installer. Il faut un accès à la terre et un accès aux financements. Il faut également permettre le droit à l’essai.
Assurer le renouvellement des générations, c’est garantir à ceux qui vont s’installer aujourd’hui qu’ils pourront vivre de leur travail demain. Concrètement, cela veut dire réduire les coûts, les charges qui pèsent sur les exploitations. Cela implique de mettre en place des conditions de concurrence équitables pour les producteurs européens, au sein de l’Europe, mais surtout vis-à-vis du reste du monde.
Enfin, il est essentiel d’assurer un cadre juridique beaucoup plus stable dans les politiques publiques – et en particulier les politiques européennes – en analysant l’incidence de nouvelles législations sur l’installation des jeunes agriculteurs.
Pour finir, permettez-moi de dire que, pour maintenir ce cœur battant de nos territoires que sont les agriculteurs, il est vraiment urgent d’agir.
"
Anne SANDER,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-285-0000_FR.html,"  Anne Sander (PPE).   – Madame la Présidente, Madame la Commissaire, chers collègues, oui, nous voulons moins d’intrants dans nos écosystèmes, et oui, nous devons adapter les usages et limiter certaines utilisations. Mais oui aussi, nous voulons plus de sécurité alimentaire. Et à l’heure qu’il est, nous ne pouvons pas nous permettre de prendre des décisions qui mettraient en péril notre production européenne ou qui feraient grimper les prix plus encore, ces prix de l’alimentation qui sont déjà soumis à une inflation importante.
Il serait donc totalement déraisonnable d’interdire chez nous des molécules en laissant par ailleurs rentrer des produits venant du reste du monde et qui eux, pour le coup, ne respecteraient aucun de nos standards.
Alors oui, nous avons besoin de clauses miroirs. Nous avons besoin de règles identiques vis-à-vis du reste du monde. Mais il nous faut aussi des règles identiques pour l’ensemble de nos agriculteurs, de nos producteurs en Europe.
À chaque décision d’interdiction que nous prenons, nous devons mettre en face une solution alternative. Or, sur le débat qui nous occupe aujourd’hui, cette solution alternative accessible n’existe pas. Alors là aussi, soyons raisonnables, investissons dans la recherche et prenons des décisions pragmatiques. 
"
Anne SANDER,2023-09-14,FR,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-102-0000_FR.html,"  Anne Sander (PPE).   – Madame la Présidente, Madame la Commissaire, chers collègues, je suis heureuse que les pompiers reviennent au cœur de nos discussions, parce que c’est avec un dévouement sans relâche que les soldats du feu assurent la sécurité des Européens. Ils ont été au rendez-vous tout l’été, volontaires et professionnels, partout en Europe pour lutter contre les feux de forêt, pour intervenir aussi lorsqu’il y avait des inondations ou d’autres catastrophes.
Plus d’interventions, plus de risques, plus de dangers. Donc oui, il faut davantage sécuriser les interventions de nos sapeurs-pompiers, de meilleurs équipements, de meilleurs standards. Le Mécanisme européen de protection civile fonctionne, et c’est une réussite que nous devons saluer.
Alors forcément, des difficultés naissent aussi de ces rencontres de sapeurs-pompiers qui ont des cultures d’intervention différentes et qui parfois peuvent les mettre en danger. Peut-être serait-il urgent aussi de travailler à une meilleure harmonisation des qualifications et des formations des sapeurs-pompiers au niveau européen, via par exemple la création d’un passeport européen de compétences.
Je voudrais rappeler aussi qu’il est de plus en plus difficile de recruter et de garder les sapeurs-pompiers volontaires, qui sont la colonne vertébrale de notre système de protection. Donc, là encore, des interrogations sur le statut et sur le lien avec la directive sur le temps de travail. Voilà pourquoi je voudrais me tourner vers la Commission européenne en demandant: à quand un statut du volontaire ou du sauveteur européen qui permettrait peut-être aussi de sécuriser notre protection civile?
"
Anne SANDER,2023-09-13,FR,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-170-0000_FR.html,"  Anne Sander (PPE).   – Madame la Présidente, Madame la Commissaire, aujourd’hui, je crois, est un grand jour, parce que non seulement la présidente de la Commission européenne parle d’agriculture pour la première fois dans son discours sur l’état de l’Union, mais en plus, nous avons aujourd’hui l’occasion de remettre sur la table le statut du loup.
Cela, Madame la Commissaire, je voudrais vous en remercier, parce que nous ne pouvons pas continuer à ignorer la colère et le désarroi des éleveurs. Cela fait des années que nous appelons un moratoire sur le loup en Europe en vue de son déclassement. Les populations de loups ont prospéré en Europe et leur territoire s’est accru de 25 % en dix ans, augmentant ainsi les interactions avec l’homme, de même que la prédation des élevages européens. En dix ans, le nombre d’attaques a doublé, décimant un certain nombre d’élevages.
Le statu quo actuel de la protection du loup est une punition qui s’étend bien au-delà de l’aspect financier pour les éleveurs. Comment donner aux jeunes agriculteurs l’envie de s’installer, en particulier dans les zones de montagne, mais, bien au-delà, dans les zones dont l’économie et les paysages souffriront aussi de la perte progressive du pastoralisme? La biodiversité elle-même pourrait être remise en cause, victime directe du loup.
C’est pourquoi je vous remercie vraiment d’avoir ouvert la discussion. Nous devons maintenant passer des paroles aux actes. C’est urgent et nous attendons avec impatience une proposition de la Commission européenne.
"
Anne SANDER,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-010-0000_FR.html,"  Anne Sander,  rapporteure pour avis de la commission de l’agriculture et du développement rural. – Monsieur le Président, Monsieur le Commissaire, chers collègues, protéger les écosystèmes et les restaurer est une nécessité que nous partageons pleinement. Mais restaurer la nature ne doit pas signer l’arrêt de mort de toute production artisanale, industrielle, forestière ou agricole. Non, produire n’est pas un gros mot. 
Pourtant, avec la proposition qui est sur la table aujourd’hui, malgré les crises sanitaires, malgré la situation géopolitique, la Commission et une partie de cet hémicycle ne se soucient guère de la réalité dans le monde. Elles estiment que geler purement et simplement 10 % de nos terres agricoles ne présente pas un danger pour notre sécurité alimentaire.
Pourtant, réduire la production agricole ne fera pas de nous de meilleurs élèves de la protection de l’environnement. Bien au contraire, parce que nous diminuerons peut-être les émissions chez nous, mais les Européens et le reste du monde continueront à avoir faim et auront besoin de consommer. Alors il nous faudra importer de la nourriture des quatre coins du monde, là où les standards de production sont bien éloignés des nôtres. Les bénéfices environnementaux seront alors négligeables.
Alors oui, Monsieur le Vice-Président, Monsieur Timmermans, retirez cette proposition totalement hors-sol et revenez avec une proposition pragmatique qui, réellement, défendra et restaurera la nature.
"
Anne SANDER,2023-05-31,FR,"Geographical Indications for wine, spirit drinks and agricultural products (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-238-0000_FR.html,"  Anne Sander (PPE).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, les appellations d’origine sont l’âme de nos territoires, et elles en sont le reflet. Nous voulons donc les protéger. Cette idée même qu’une région, qu’un climat ou des savoir-faire donnent leurs caractéristiques à des produits est tout-à-fait unique. Nos appellations ne sont pas reproductibles à l’envi. Elles ne sont pas déplaçables d’un endroit à un autre, elles sont bien liées à un terroir.
Je voudrais vraiment saluer le travail de l’équipe de négociation du Parlement qui a su redresser la barre, et changer le cap initial de la Commission qui voulait finalement les assimiler à des marques en confiant leur examen à l’Office européen des marques. 
Je voudrais aussi rappeler qu’elles sont des outils puissants au profit de la vitalité économique des zones rurales, puisqu’elles pèsent 75 milliards d’euros chaque année.
Enfin, je voudrais rappeler leur fragilité et dire qu’à travers ce texte, nous pourrons améliorer leur protection, en particulier sur internet, et lutter ainsi plus efficacement contre la contrefaçon. C’est un bon texte, bravo Monsieur le rapporteur.
"
Anne SANDER,2023-05-10,FR,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-071-0000_FR.html,"  Anne Sander (PPE).   – Monsieur le Président, Madame la Commissaire, enfin, ce matin, le rôle de premier plan que jouent les agriculteurs a fait l’objet d’un débat prioritaire. Et pourtant, chers collègues, depuis le début de notre mandat, et ce malgré des crises inédites auxquelles nous avons dû faire face, de très nombreuses propositions ont été mises sur la table, entrainant avec elles un nombre important de nouvelles contraintes, de nouvelles obligations sans aucune contrepartie pour le monde agricole, et surtout sans se préoccuper ni de la sécurité alimentaire, ni de la sécurité énergétique.
Règlements sur les pesticides, sur la restauration de la nature, inclusion des bovins dans la directive sur les émissions industrielles: autant de textes qui font la part belle à l’agri-bashing, et qui sont synonymes de punitions et de contraintes supplémentaires pour les filières agricoles. Comment donner envie à des jeunes de s’installer dans ces conditions?
Tous ces textes prônent la décroissance et essaient de nous faire croire que pour sauver la planète, il suffit d’arrêter de produire. Moi, je crois au contraire avec les élus de mon groupe politique, le PPE, que nous devons miser sur le «produire mieux». Nous devons miser sur des solutions qui valorisent le travail des agriculteurs pour la planète. Voilà pourquoi nous attendons des propositions concrètes et positives sur les NBT, dans le domaine du plan des protéines, sur la certification carbone. Il est temps d’aller dans un sens positif et d’arrêter ces initiatives totalement hors-sol.
"
Anne SANDER,2023-03-16,FR,"European Citizens’ Initiative ""Save bees and farmers! Towards a bee-friendly agriculture for a healthy environment"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-043-0000_FR.html,"  Anne Sander (PPE).   – Madame la Présidente, Madame la Commissaire, oui, les abeilles sont indispensables à la vie sur terre et au maintien de la biodiversité, et nous devons nous mobiliser très fortement pour stopper leur déclin et arriver à renverser la tendance. Nous l'avons d'ailleurs intégré en réformant la politique agricole commune et en allouant des moyens supplémentaires au secteur apicole. 
Je voudrais aussi saluer toutes les initiatives qui se font localement. Je pense à ce qui se passe chez moi en Alsace. Ces initiatives qui se multiplient et qui associent le monde agricole de manière très étroite pour travailler avec les apiculteurs et tester de nouvelles manières de faire. En tant que législateur, nous devons être réalistes et admettre que nous ne changerons pas l'ensemble des pratiques industrielles, agricoles et les activités humaines aussi rapidement. Nous ne reviendrons pas sur l'ère industrielle en un claquement de doigts. 
Néanmoins, nous devons réfléchir ensemble, et j'insiste sur le ensemble, à des mesures pragmatiques. J'insiste aussi sur le pragmatisme pour améliorer la biodiversité et la vie des abeilles. Cela passe par de la recherche, cela passe par de l'innovation, cela passe par de nouvelles technologies. Mais quoi qu'il en soit, mesdames et Messieurs, chers collègues, cela passe forcément par l'ensemble des acteurs et en associant les agriculteurs. Cela ne se fera pas contre eux et je crois que nous devons tous en avoir conscience. 
"
