MP,Date,Language,Title,Url,Content
Anne-Sophie PELLETIER,2023-11-20,FR,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-171-0000_FR.html,"  Anne-Sophie Pelletier,  au nom du groupe The Left. – Madame la Présidente, Monsieur le Rapporteur, Monsieur le Commissaire, l’ogre libéral, engloutissant profits après profits, nourrit la surconsommation, nocive à la fois pour la planète et les citoyens. Quand il est moins cher d’acheter neuf que de réparer, le choix des citoyens de consommer est compréhensible. Mais eurêka ! En 2023, nous retrouvons notre bon sens: la réparabilité.
Il est tout de même assez incroyable d’être autorisé à réparer ses produits aujourd’hui, alors que nos grands-parents le faisaient naturellement. Et nous avons voté hier un texte qui s’appelle «Eco Design», un autre texte aujourd’hui que nous voterons demain sur la réparabilité. Après demain, ce sera les allégations vertes. Et tout ceci participe à une dynamique qui permettra, au travers du droit européen, d’aller dans le sens de la protection du consommateur et de la planète.
Et les entreprises ont aussi leurs responsabilités. Oui, elles devront avoir des pièces de rechange dans un délai raisonnable. Oui, elles devront avoir des pièces à un prix abordable. Oui, l’obsolescence programmée doit être pénalisée. Alors demain, chers collègues, votons à la hauteur des enjeux. Parce que je pense que le portefeuille des consommateurs et la planète ne s’en porteront que mieux.
"
Anne-Sophie PELLETIER,2023-07-13,FR,Public access to documents – annual report for the years 2019-2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-025-0000_FR.html,"  Anne-Sophie Pelletier (The Left).   – Monsieur le Président, Madame la Commissaire, Qatargate, SMS Gate, affaire Dentsu-Hoffman, Frontex… La liste est longue et plutôt que de regarder ces scandales en face, chacun détourne le regard. Non, ça ne se passe pas chez nous. Si, ça se passe chez nous.
Nos institutions ne doivent pas se contenter de slogans, mais d’un vrai plan d’action. L’accès public aux documents est une liberté fondamentale et notre rôle est de la garantir, en commençant par une chose très simple: rendre accessibles à tous et toutes les sites internet de nos institutions. C’est vraiment anodin, mais c’est la première liaison avec les citoyens européens.
Alors, quand il s’agit de défendre nos valeurs, nous sommes très forts. Mais d’autres sont très impliqués dans l’intérêt des multinationales ou les leurs. Et je vous le dis, la politique qui vise à garder la confiance des marchés perd la confiance du peuple. Et dans ces temps sombres, l’inconnu et l’ombre sèment le doute. Ce sont la clarté et la transparence qui rallumeront peut-être les étoiles européennes.
Nous devons être à la hauteur des enjeux. C’est ce que souhaitent les citoyens européens. Nous n’en sommes plus au simple temps de la nécessité, mais bien au temps des priorités. Pas au temps de la publicité. Parce qu’il suffit d’un rien pour que nos démocraties soient vraiment en danger. 
"
Anne-Sophie PELLETIER,2023-06-14,FR,Investigation of the use of Pegasus and equivalent surveillance spyware - Investigation of the use of Pegasus and equivalent surveillance spyware (draft recommendation) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-188-0000_FR.html,"  Anne-Sophie Pelletier (The Left).   – Monsieur le Président, Monsieur le Commissaire, merci à Sophia in ’t Veld pour son rapport. Un an après, l’histoire voudrait que nous ayons des réponses à apporter aux victimes, mais ce sont mythes et légendes. Légende de croire que les États nous offriraient des réponses, légende de croire que nos démocraties n’auraient plus à subir cet affront.
Si Pégase était créateur de sources, Pegasus, lui, les détourne à des fins de surveillance, donnant des idées au Sénat français, avec l’adoption de l’article 3 du projet de loi sur l’activation à distance des téléphones portables. Le piétinement de nos droits fondamentaux est devenu leur dogme. Les défendre est devenu notre devoir. Est-ce vraiment cela que nous voulons pour nos enfants?
Nous sommes – vous êtes – leur muse. Nos vies et vos vies sont leurs intérêts pour mieux nous criminaliser et vous criminaliser. Les contre-pouvoirs deviennent des menaces. Ils sont pourtant les piliers de notre démocratie. Ainsi, je nous mets en garde: ces pratiques sont une mort annoncée de nos sociétés. Parce que, si la mythologie est douce à lire, sa transposition réelle relève de la folie autoritaire de quelques-uns.
"
Anne-Sophie PELLETIER,2023-05-09,FR,Empowering consumers for the green transition (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-429-0000_FR.html,"  Anne-Sophie Pelletier,  au nom du groupe The Left. – Madame la Présidente, Monsieur le Commissaire, chère Biljana, merci pour ce texte. «Bon pour l’environnement», «produit vert», «écoresponsable», «100 % matières recyclées», voici autant d’arguments apposés par les entreprises sur leurs produits, laissant à penser qu’elles encouragent une consommation durable. Le problème c’est que, souvent, ces informations sont tout simplement fausses. C’est une tromperie éhontée et indécente des consommateurs. Il n’y a qu’à voir Total ou Shell avec leurs rapports et leur communication dégoulinants de bienveillance fallacieuse envers l’environnement.
Je l’affirme ici comme mes collègues, le greenwashing est un véritable fléau. Et au-delà des paroles, regardons les actes. Dans les actes, ce n’est pas beau à voir. Entre informations erronées et pratiques commerciales trompeuses, obsolescence programmée des produits, manque total de transparence, obstacles à la réparation, voilà le constat. Et il n’est plus possible, en 2023, au vu de l’urgence climatique que nous traversons, de tolérer des entreprises qui tentent de s’acheter une conscience et de se déculpabiliser avec ces faux arguments écologiques. C’est un mépris sans nom pour les consommateurs. Et ne nous trompons pas de cible, les consommateurs individuels ne doivent pas être culpabilisés. Ils souhaitent déjà consommer durablement, et c’est donc bien tout le système qui doit être revu.
Et c’est aux entreprises de prendre leurs responsabilités. Certaines le font déjà et nous devons les soutenir. Par contre, je déplore que certains collègues aient voulu à ce point affaiblir le texte, et encore ce soir, et je me suis demandée face à cette mauvaise foi de droite, si nous vivions tous sur la même planète, celle-là même qui brûle et où ces mêmes collègues de droite, la main sur le cœur, votaient avec enthousiasme le pacte vert. Ce texte est le bienvenu pour donner les moyens aux consommateurs d’être acteur dans la transition écologique. Et c’est une triste chose de songer que la nature parle et que certains politiciens ne l’écoutent même pas.
"
Anne-Sophie PELLETIER,2023-03-29,FR,General Product Safety Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-165-0000_FR.html,"  Anne-Sophie Pelletier,  au nom du groupe The Left. – Monsieur le Président, Madame la Rapporteure, chers collègues, nous vivons dans une société du risque telle que théorisée par le sociologue Ulrich Beck. Les promesses de la modernité n’ont pas été tenues dans nos sociétés industrielles. La misère et les inégalités augmentent toujours plus et le progrès, en même temps que la richesse créée est confisquée par les mains de quelques-uns, a engendré toutes sortes de risques, parmi lesquels catastrophes industrielles, accidents de la vie, menaces sur l’environnement, j’en passe et des meilleures.
La confiance n’est plus. Il est de notre devoir de législateur européen de la restaurer auprès de nos concitoyens, de notre devoir aussi de s’assurer que le cadre juridique existant soit adapté et le plus protecteur possible des femmes et des hommes. La gestion du risque – de chaque risque – réel ou potentiel, présent ou à venir, doit être assurée.
En matière de sécurité des produits, je dirais même qu’il faut aller plus loin. La vigilance doit être de chaque instant, notamment quand le profit prime sur le consommateur, quand le manque de moyens des douanes permet à de grandes plateformes de vendre des produits potentiellement dangereux. La gestion du risque – de chaque risque – réel ou potentiel, présent ou à venir, doit être assurée, et c’est cela le principe de précaution.
Si un certain produit peut causer une catastrophe sanitaire ou environnementale, a-t-on besoin d’être certain que ce soit le cas pour prendre des mesures? Non. Les enjeux sont réels. On ne plaisante pas avec la vie et la sûreté des citoyens et des citoyennes européennes. Nous devons être à la hauteur. Si effectivement la peur n’évite pas le danger, il vaut mieux prévenir que subir.
"
Anne-Sophie PELLETIER,2023-03-13,FR,Activities of the European Ombudsman - annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-108-0000_FR.html,"  Anne-Sophie Pelletier,  rapporteure. – Madame la Présidente, je tiens tout d’abord à vous adresser, Madame O’Reilly, mes sincères remerciements, ainsi qu’à votre bureau, pour tout le travail que vous avez accompli en 2021. L’Union européenne peut être fière de disposer d’une institution qui travaille sans cesse à la recherche d’un équilibre entre le droit de travailler des institutions de l’Union et l’intérêt public à disposer d’une administration transparente et responsable. 
En commission PETI, nous avons la chance de travailler main dans la main avec le bureau de Mme la Médiatrice. Notre coopération indispensable a un double objectif: accroître la responsabilité des institutions de l’Union et porter directement la voix des citoyens au Parlement. Vos efforts sont éminemment importants pour nous en tant que représentants directs des citoyens, car ils permettent de renforcer à la fois la démocratie représentative mais aussi la démocratie participative, ainsi que d’accroître la légitimité du processus décisionnel de l’Union.
Inscrit dans les traités et dans la Charte, le droit de saisir le Médiateur européen est une pierre angulaire du droit primaire de l’Union. Symbole de transparence, impartialité, responsabilité et garantie des droits fondamentaux de tout citoyen. Et c’est bien pour répondre aux demandes d’aide des citoyens qu’en 2021, vous avez ouvert 338 enquêtes, dont 332 sur la base de plaintes et six enquêtes d’initiative et clôturé 305 enquêtes. 
Transparence, responsabilité, culture du service, bon exercice des pouvoirs discrétionnaires. Voilà les principaux thèmes abordés dans les enquêtes clôturées en 2021. Parmi les autres thèmes abordés figurent le respect des droits fondamentaux, le recrutement, le pantouflage, la bonne gestion financière, la participation des citoyens au processus décisionnel de l’Union et les questions éthiques. 
Conformément à la stratégie Cap sur 2024, le travail de votre bureau a augmenté en 2021 avec l’ouverture d’un plus grand nombre d’enquêtes et d’initiatives sur un large éventail de questions. Et pour ces raisons, nous avons convenu qu’il est essentiel d’allouer un budget adéquat au Médiateur afin d’avoir des ressources nécessaires pour gérer l’ensemble de la charge de travail. 
Je vous félicite pour votre engagement répété en faveur de la lutte contre les affaires de pantouflage. Votre bureau a notamment ouvert une vaste enquête stratégique sur la manière dont la Commission a géré ce pantouflage. Vous avez été attentive à ce que l’accès à des documents présentant un intérêt pour le plus grand public soit octroyé, notamment avec la révision de la procédure accélérée. Et à ce propos, j’ai veillé à souligner deux éléments primordiaux dans le texte: que la transparence et l’accès du public aux documents des institutions de l’Union doivent être assurés, que la révision de la loi Transparence constitue une priorité afin de placer l’Union à la pointe du progrès en la matière. 
Et c’est grâce à votre enquête que nous avons pris connaissance de l’existence des SMS échangés entre Ursula von der Leyen et le président de Pfizer. Tous les groupes politiques ont travaillé à souligner l’attention portée par votre bureau aux questions éthiques ainsi qu’aux questions relatives à la transparence et à la prise de décision. 
Tout au long de l’année 2021, vous avez accompli un travail aussi remarquable d’enquête sur le respect et la protection des droits fondamentaux, principales valeurs de l’Union. Deux enquêtes d’initiative sont ici primordiales. L’une sur la manière dont Frontex se conforme à ses obligations, l’autre sur comment la Commission veille à l’utilisation des fonds européens pour promouvoir le droit des personnes en situation de handicap et des personnes âgées à une vie autonome. 
J’en parle dans mon rapport LIBE vers l’égalité des droits pour les personnes en situation de handicap et je souhaite le répéter ici, votre engagement en tant que membre du cadre de l'Union européenne pour la Convention des Nations Unies relative aux droits des personnes handicapées est essentiel afin de protéger, promouvoir et surveiller sa bonne mise en œuvre par les institutions de l’Union. 
Chers collègues, quand l’inconnu et l’ombre sèment le doute, ce sont la clarté et la lumière qui nous rassurent. De la transparence, de la confiance. Alors demain, soyons à la hauteur de la confiance de ceux qui nous ont confié les clés de la démocratie européenne. Montrons à nos citoyens que le Parlement peut parler d’une seule voix. 
"
Anne-Sophie PELLETIER,2023-03-13,FR,Activities of the European Ombudsman - annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-133-0000_FR.html,"  Anne-Sophie Pelletier,  rapporteure. – Madame la Présidente, chers collègues, merci à vous pour ce travail que nous avons fait ensemble puisque nous avions un objectif commun, c'était d'aller chercher justement le travail de Mme O'Reilly et cette demande de transparence. 
Ce soir, dans cet hémicycle, j'ai entendu tous les groupes, tous les groupes, demander de la transparence. Monsieur le Commissaire, il est de votre devoir aujourd'hui de rappeler à Mme Von der Leyen ce que vous avez entendu ce soir. Ce n'est pas juste quelques groupes qui vous demandent de la transparence, ce sont tous les groupes du Parlement européen. 
Et si ce rapport a été voté à l'unanimité en commission des pétitions, ça dit quelque chose de ce besoin de transparence. Rapportez tous les propos que vous avez entendus à Mme Von der Leyen et demandez-lui ces fameux SMS, parce que nous en avons besoin, comme a dit madame O'Reilly, pas uniquement pour que les citoyens, mais aussi pour que vous, la Commission, vous soyez gagnants de cette transparence et que vous montriez que vous avez une bonne institution et un bon fonctionnement de votre institution. 
Parce que de la défiance, de la perte de confiance des citoyens, ce sont nos démocraties qui sont en danger. Vous voyez, Monsieur le Commissaire, j'avais tout un texte d'écrit, j'ai écouté mes collègues et aujourd'hui je n'ai plus de texte. Je suis partie à l'aveugle. Mais vraiment, je pense que cette demande des citoyens européens, est-ce nos démocraties qui vont mal à l'ombre du Qatar, à l'ombre de tout le pantouflage qui existe au niveau de la Commission? 
Ça ne peut plus durer. Parce que, si vous ne faites pas quelque chose et si nous n'aidons pas Mme la Médiatrice afin que tout ceci soit mis en avant alors, dans ce cas, vous serez responsable des chutes des démocraties européennes.
"
Anne-Sophie PELLETIER,2023-01-17,FR,Consumer protection in online video games: a European Single Market approach (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-115-0000_FR.html,"  Anne-Sophie Pelletier,  au nom du groupe The Left. – Monsieur le Président, Monsieur le Commissaire, chers collègues, l’industrie du jeu vidéo pèse plus de 23 milliards d’euros et un Européen sur deux joue aux jeux vidéo. Ce secteur s’est développé et s’est imposé au fil des années dans le monde culturel et nous devons protéger les consommateurs, notamment les plus jeunes, avec la régulation des lootboxes qui sont un fléau pour les joueurs. Non seulement le principe de pack aléatoire payé par une monnaie, virtuelle ou non, est dangereux, mais il renforce également le côté addictif des jeux vidéo. Il en va de même pour le principe du pay-to-win qui doit lui aussi être régulé, voire interdit.
La moitié des joueurs européens sont des femmes. Et pourtant, entre hypersexualisation des personnages, culture du viol et cyberharcèlement, il n’y a pas un jour où les femmes ne sont pas agressées en ligne et hors ligne. Pour preuve, il existait un jeu vidéo qui s’intitulait Rape Day où des femmes, nues pour la plupart, étaient présentées battues, violées, poursuivies ou menacées avec des armes par un personnage masculin. Je dirais que voilà où mène l’entre-soi patriarcal avec une exclusion des femmes dans l’industrie du jeu vidéo, ce qui sert à perpétuer la culture du viol et à violenter la moitié de la population.
La lutte contre les violences sexistes et sexuelles passe aussi par la représentation culturelle. Les jeux vidéo peuvent être et doivent être un outil pour sensibiliser contre ces violences les jeunes mais aussi les plus âgés. Réguler ce secteur dans cette direction permettrait à mon sens de faire cesser ces pratiques en ligne et hors ligne. 
"
Anne-Sophie PELLETIER,2022-12-12,FR,Towards equal rights for persons with disabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-058-0000_FR.html,"  Anne-Sophie Pelletier,  rapporteure. – (l’oratrice s’exprime en langue des signes)
"
Anne-Sophie PELLETIER,2022-12-12,FR,Towards equal rights for persons with disabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-060-0000_FR.html,"  Anne-Sophie Pelletier,  rapporteure. – Madame la Présidente, chers collègues, voilà ce que vivent les personnes en situation de handicap. Vous avez vécu ce qu’elles vivent tous les jours. Vous n’avez pas compris ce que j’ai dit: j’ai simplement dit qu’en Europe – et je n’ai pas pu terminer mon discours en langue des signes française, puisque ce n’est pas une langue reconnue dans l’Union européenne – de nombreuses personnes en situation de handicap étaient discriminées et que, dans cette Europe, l’accessibilité du travail et des droits fondamentaux était encore loin d’être aboutie. 
Ce rapport a été fait avec beaucoup d’enthousiasme, parce que j’ai voulu remettre l’individu au centre. Comment met-on l’individu au centre? Simplement en l’écoutant et en écoutant ses besoins. Ce rapport a été fait sur la base de la convention des Nations unies pour les personnes en situation de handicap, et je me suis appuyée, Madame Dalli, sur votre stratégie. S’il est vrai qu’il est encore trop tôt pour avoir une véritable analyse d’impact, ces objectifs sont ambitieux et nous pouvons aller encore plus loin. 
Je tiens en tout cas à féliciter certains États membres dans leur engagement pour la désinstitutionnalisation des personnes en situation de handicap. Je n’aurai pas mes quatre minutes, parce que j’ai pris plus de deux minutes à parler en langue des signes. Je vais donc être brève: il faut aller plus loin et demander une véritable législation antidiscrimination dans l’Union. Une directive existe, mais elle est bloquée au Conseil depuis 2008. Quatorze ans déjà que le Parlement avait pris position, et depuis, rien. Il a toujours mieux à faire que de s’occuper des plus vulnérables.
Vous ne nous entendiez pas? Nous allons crier plus fort. Nous allons changer d’approche, et au lieu de demander le déblocage, nous demandons à la Commission une mise à jour de la directive européenne sur l’égalité de traitement. Je demande ici, comme mon collègue Younous Omarjee l’a déjà fait, que la langue des signes internationale ainsi que la langue «facile à lire et à comprendre» soient mises en place. En effet, si nous voulons parler véritablement d’inclusion des personnes en situation de handicap dans la vie publique et politique, alors ici au Parlement européen, nous devons y mettre les moyens. 
Que dire de plus? Demander l’arrêt de la stérilisation forcée, l’arrêt de l’institutionnalisation et l’arrêt du financement de ces institutions par l’Union européenne. Une personne en situation de handicap doit pouvoir décider par elle-même de l’endroit où elle veut vivre et du soutien qu’elle veut recevoir.
En parlant de soutien, il faut là aussi que l’Union mette en place des aides communautaires afin que chaque personne en situation de handicap ne soit plus laissée au bord de la route et que chaque enfant en situation de handicap puisse avoir un transport pour aller à l’école. Je remercie M. Cañas d’être dans l’hémicycle aujourd’hui. Il faut que chaque personne en situation de handicap puisse bénéficier d’un travail. Ici au Parlement, ou à la Commission, ou dans nos institutions, combien de personnes en situation de handicap, visible ou invisible, sont embauchées? 
Parlons des aidants familiaux, ces gens qui consacrent leur temps, leur vie et leur amour à accompagner leurs proches dans le handicap. Pensons à eux et apportons-leur aussi tout notre soutien. Il faut réfléchir à une politique triangulaire qui puisse prendre en compte à la fois les personnes en situation de handicap, le personnel socio-éducatif et les parents aidants. Permettez-moi, à ce titre, de penser à une femme en situation de handicap qui s’appelle Odile Maurin et qui n’a pas eu accès à la justice. Là aussi, les droits fondamentaux sont bafoués, piétinés, foulés au pied tous les jours. 
Je n’ai pas pu dire tout ce que je voulais dire, mais je l’ai dit autrement, comme un certain nombre de personnes en situation de handicap s’expriment, et je suis fière de l’avoir dit autrement, moins fière que l’on m’ait arrêtée en cours de route. Je serai ravie d’entendre ce que mes collègues et la Commission auront à dire de ce rapport. Je voudrais remercier une femme qui s’appelle Céline Boussié et qui a dénoncé pendant dix ans la maltraitance des enfants en situation de handicap dans les instituts médico-éducatifs. 
"
