MP,Date,Language,Title,Url,Content
Annika BRUNA,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-309-0000_FR.html,"  Annika Bruna (ID).   – Monsieur le Président, en tant que membre de la commission des droits des femmes, je tenais à intervenir sur ce que les femmes ont subi lors de cette attaque. Hier matin, May Golan, ministre de la Promotion de la condition féminine d’Israël, s’est exprimée pour la première fois dans un média français pour témoigner des exactions et des violences sexuelles perpétrées sur ses concitoyennes par les terroristes du Hamas. La description des faits commis est cauchemardesque: certaines femmes ont eu des côtes cassées, d’autres les seins coupés, ou encore les organes sexuels mutilés. Selon ses affirmations, les vidéos qui documentent ces actes sont insoutenables.
Lors de cette prise de parole, May Golan s’est insurgée de l’indifférence totale des associations et des organisations féministes et de défense des droits de l’homme, partout dans le monde. Aucune de ces institutions n’aurait même daigné répondre à ses nombreuses sollicitations. Ce silence est particulièrement honteux. Au Parlement européen, la lutte contre les violences faites aux femmes est une des priorités. Nous devons donc, ici plus que partout ailleurs, condamner avec fermeté tous les sévices qu’ont subis ces femmes et ces jeunes filles. Il est de notre devoir de dénoncer ces actes traumatisants et barbares.
Enfin, nous avons tous entendu les témoignages poignants de familles d’otages. Je tenais à leur apporter tout mon soutien. La coopération internationale doit tout mettre en œuvre pour accélérer la libération de ces otages. 
"
Annika BRUNA,2023-10-19,FR,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-019-0000_FR.html,"  Annika Bruna,  au nom du groupe ID. – Madame la Présidente, après une vie de misère dans des cages exiguës, les animaux à fourrure sont gazés, électrocutés, empoisonnés ou pendus avant d’être dépecés, parfois encore conscients. Au-delà de cette abomination, ces élevages présentent aussi un danger de développement de maladies zoonotiques.
En effet, les mammifères élevés pour leur fourrure contractent facilement des pneumopathies. Ces maladies virales peuvent muter et contaminer l’homme. En août dernier, les autorités finlandaises ont dû ordonner l’abattage de 120 000 renards et visons pour endiguer une épidémie de grippe aviaire transmise par des oiseaux sauvages.
Rappelons que le H5N1, létal à plus de 50 %, pourrait muter ou se recombiner avec un autre virus. Face à cette bombe à retardement, je demande à la Commission européenne d’interdire l’élevage, l’importation et la commercialisation de produits à base de fourrure animale sur le marché européen. Elle pourra ainsi supprimer la souffrance animale, respecter son engagement d’interdire progressivement l’élevage d’animaux en cages et, enfin, éviter une possible pandémie.
"
Annika BRUNA,2023-10-17,FR,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-260-0000_FR.html,"  Annika Bruna (ID).   – Monsieur le Président, Monsieur le Commissaire, comme il a été dit – et souligné – à l’instant, le programme de travail de M. le Commissaire pour 2024 écarte une nouvelle fois toute réforme sur le bien-être animal, hormis en ce qui concerne le transport des animaux vivants. 
La plupart des révisions des législations sur le bien-être animal sont donc abandonnées. Pourtant, la Commission s’était engagée à proposer ces mêmes révisions. Elle s’était également engagée à prendre en compte les études d’impact qu’elle avait elle-même commandées. Elle s’était, enfin, engagée à œuvrer à l’abandon progressif des cages à la suite de l’initiative citoyenne européenne «End the Cage Age». Ces initiatives, si elles ne remplacent pas le référendum, n’en sont pas moins le seul instrument de démocratie directe en droit européen. 
Je souhaite donc que la Commission européenne se reprenne et qu’elle n’affaiblisse pas cet outil d’expression démocratique que sont les initiatives citoyennes européennes. À défaut, les citoyens se sentiront floués, et la parole de la Commission sera irrémédiablement discréditée. 
"
Annika BRUNA,2023-10-02,FR,Ensuring European transportation works for women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-188-0000_FR.html,"  Annika Bruna,  au nom du groupe ID. – Madame la Présidente, ce texte demande de rendre les transports plus sûrs pour les femmes par des moyens pertinents tels qu’un éclairage public suffisant, des arrêts de bus installés dans des endroits bien visibles, la présence de signaux d’alarme et de personnel à bord des bus ou bien encore la possibilité de dépose à la demande pendant la nuit, ce qui est une excellente chose.
Toutefois, j’aimerais rappeler quelques chiffres alarmants pour décrire le quotidien de millions de femmes. En France, 87 % des femmes qui utilisent les transports en commun ont déjà été victimes de harcèlement, d’agression sexuelle ou de viol; 54 % déclarent s’abstenir de prendre les transports à certaines heures et nous sommes nombreuses à mettre en place des stratégies d’évitement. En 2022, dans les transports en commun d’Île-de-France, 69 % des personnes mises en cause pour vols ou violences et 62 % pour agression sexuelle étaient d’origine étrangère. Alors, j’ai une question: comment peut-on prétendre lutter contre l’insécurité dans les transports en commun sans jamais mentionner la principale source du problème, l’immigration massive et incontrôlée sur nos territoires?
Ce texte a cependant l’objectif louable de vouloir améliorer l’accès et la sûreté pour les femmes, notamment aidantes, mères ou à mobilité réduite. Je tiens également à souligner la volonté de développer les infrastructures pour les personnes à mobilité réduite, notamment dans les zones rurales et ultrapériphériques, qui restent aujourd’hui encore mal adaptées à leur handicap. En effet, j’ai pour exemple dans la région où je demeure en France des Transiliens qui ne sont pas du tout conçus pour que l’accès à bord des personnes handicapées soit possible. Il est donc important d’y remédier. C’est pour ces raisons, entre autres, que nous voterons en faveur de ce texte qui apporte des solutions sur ce sujet trop souvent délaissé. 
"
Annika BRUNA,2023-09-13,FR,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-085-0000_FR.html,"  Annika Bruna (ID).   – Madame la Présidente, Madame la Présidente de la Commission, je vous interrogerai brièvement sur vos futurs arbitrages également en matière de bien-être animal. Vos services rendent en principe leur copie vers novembre, mais la presse indique que le paquet de propositions sur le bien-être animal pourrait être renvoyé à la prochaine Commission, c’est-à-dire après les élections européennes. J’aimerais donc savoir si la refonte des législations sur le bien-être animal sera effective.
Je souhaite, comme de nombreux citoyens, qu’elle ait lieu et qu’elle inclue l’élevage, le transport, l’abattage ou encore l’étiquetage. Diverses initiatives citoyennes européennes telles que «Pas de fourrure en Europe» ou «Pour une Europe sans expérimentation animale» ont connu un grand succès. Le bien-être animal est donc aussi un sujet qui compte pour les Européens. Compte-t-il aussi pour vous, Madame la Présidente?
"
Annika BRUNA,2023-09-13,FR,Regulation of prostitution in the EU: its cross-border implications and impact on gender equality and women’s rights (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-410-0000_FR.html,"  Annika Bruna,  au nom du groupe ID. – Monsieur le Président, ce rapport sur la réglementation de la prostitution dans l’Union européenne souhaite harmoniser les différentes législations des États membres sur le modèle dit «nordique» ou «abolitionniste», qui consiste à dépénaliser les prostituées et à criminaliser les clients.
Pourtant, ce modèle, adopté en France en 2016, ne semble toujours pas faire ses preuves, car la prostitution persiste, évolue sur Internet et touche désormais de plus en plus de mineurs. Pire encore, les associations féministes alertent sur le fait que la criminalisation des clients pousse les femmes prostituées à adopter des comportements à risque qui accentuent leur isolement et leur stigmatisation.
Au-delà du débat sur la légalisation de la prostitution et de la reconnaissance du statut de travailleur du sexe, nous ne devons pas faire preuve de dogmatisme en la matière et laisser les États membres choisir quel modèle de société leur convient. Cependant, nous ne devons pas faire la confusion entre la prostitution volontaire et la traite d’êtres humains à des fins d’exploitation sexuelle, qui elle doit être combattue au niveau européen.
Des travaux sont d’ailleurs en cours pour assurer aux victimes une meilleure protection, avec les révisions des directives contre la traite des êtres humains et sur leur protection, ainsi que l’adoption d’une directive sur la lutte contre les violences faites aux femmes. C’est un sujet que nous ne devons pas lâcher et sur lequel nous devons continuer à être vigilants.
"
Annika BRUNA,2023-07-13,FR,Public access to documents – annual report for the years 2019-2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-030-0000_FR.html,"  Annika Bruna (ID).   – Monsieur le Président, le manque de transparence de la part des institutions européennes a atteint son sommet en 2021, quand la Commission a refusé de rechercher correctement les textos échangés entre la présidente de la Commission et le PDG de la société Pfizer.
Nous apprenons en outre, dans cette affaire, en plus des plaintes administratives qui sont pendantes auprès du Médiateur européen et de la CJUE, que M. Baldan, un lobbyiste belge accrédité, a déposé une plainte auprès de la justice belge visant directement la présidente de la Commission européenne. La conséquence serait inédite, car cette dernière pourrait voir son immunité levée et les SMS échangés avec le président de Pfizer pourraient être consultés par le juge d’instruction en charge du dossier.
La justice devra déterminer si Mme von der Leyen a agi en dehors des traités européens et de son mandat, et si ces échanges de SMS relèvent d’une relation privilégiée entre les deux protagonistes, ce qui constituerait un conflit d’intérêts manifeste. Cette affaire est emblématique du chemin qui reste à parcourir par l’exécutif européen dans le niveau de transparence des contrats et du processus de décision, car l’opacité en la matière entame nécessairement la confiance des citoyens.
"
Annika BRUNA,2023-07-10,FR,European Citizens’ Initiative ‘Save Cruelty Free Cosmetics – Commit to a Europe without animal testing’ (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-148-0000_FR.html,"  Annika Bruna,  au nom du groupe ID. – Madame la Présidente, les expériences sur les animaux pour tester des cosmétiques sont interdites depuis 2013. Mais en 2020, la Commission, dans les affaires Symrise, a contraint les industriels à tester les composants cosmétiques sur les animaux en invoquant le règlement REACH. Il nous faut donc sortir de l’ornière.
J’ai déjà eu l’occasion de présenter des solutions à la Commission, parmi lesquelles la possibilité pour l’Agence européenne des produits chimiques d’homologuer elle-même des méthodes alternatives aux tests sur les animaux, avec effet immédiat. La possibilité également pour le Laboratoire européen pour les alternatives à l’expérimentation animale d’homologuer ses méthodes, là encore avec un effet immédiat. 
Je me suis rendue mardi dernier dans ce laboratoire qui est situé en Italie, à Ispra. Ces méthodes sont nombreuses – toxico-génomiques, organes sur puce et modèles de peau reconstituée, bioimpression, modélisation informatique ou encore simulation de mécanismes neurologiques.
Aujourd’hui, la science avance plus vite que le droit. Les méthodes alternatives se développent et sont reconnues comme fiables. Ce qui empêche de remplacer les tests sur les animaux, c’est l’inertie du droit et, il faut bien le reconnaître, l’inertie de la Commission européenne. Plus d’un million de citoyens ont les yeux rivés sur vous et attendent des réponses. Vous ne pouvez les ignorer. 
"
Annika BRUNA,2023-05-11,FR,"European Citizens' Initiative ""Stop Finning – Stop the trade"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-11-INT-4-017-0000_FR.html,"  Annika Bruna,  au nom du groupe ID. – Monsieur le Président, le finning, comme il a été évoqué avant moi, consiste à découper l’aileron du requin vivant avant de rejeter son corps à la mer. C’est une pratique barbare qui ne relève pas de nos mœurs et coutumes. C’est pourquoi, en Europe, elle est interdite depuis 2013. Pourtant, l’Union européenne figure encore parmi les plus grands exportateurs d’ailerons de requins. La Commission européenne se montre une nouvelle fois très permissive vis-à-vis des vraies dérives de la pêche industrielle. Elle est parfois bien trop occupée à infliger des normes intenables à nos petits pêcheurs. Ce sont pourtant eux qui assurent notre souveraineté alimentaire et non les navires industriels qui exportent des ailerons vers l’Asie.
Il est donc temps que la Commission agisse contre cette pêche cruelle, illégale et nuisible pour l’écosystème. Accepter cette pratique, c’est se rendre complice de cette cruauté. Merci, Monsieur le Commissaire, des décisions que vous voudrez bien prendre pour interdire cette pêche cruelle et intenable.
"
Annika BRUNA,2023-03-30,FR,Strengthening the application of the principle of equal pay for equal work or work of equal value between men and women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-30-INT-2-036-0000_FR.html,"  Annika Bruna (ID).   – Monsieur le Président, ce rapport est à l’image de la plupart des textes que nous votons au Parlement européen: il a des objectifs louables, mais souvent déconnectés de la réalité. Nous ne pouvons pas juger un texte sur son titre: nous devons l’évaluer dans son intégralité. Comment allons-nous expliquer à nos chefs d’entreprise qui peinent à se relever de la pandémie de COVID-19 et qui sont balayés de plein fouet par l’inflation des prix des matières premières que nous allons désormais les faire crouler sous une paperasse administrative? 
Vous prétendez protéger nos petites et moyennes entreprises européennes alors que vous essayez de leur imposer toujours plus de normes. Publication d’informations, production de rapports de tous types ou déplacement de la charge de la preuve vers l’employeur. 
Nous nous abstiendrons sur ce texte, car, si en effet nous soutenons et espérons atteindre cet objectif d’égalité de rémunération entre hommes et femmes, nous ne pouvons en revanche pas accepter que nos entrepreneurs soient les victimes de telles décisions. 
"
