MP,Date,Language,Title,Url,Content
Antonio Maria RINALDI,2023-11-21,IT,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-305-0000_IT.html,"  Antonio Maria Rinaldi (ID).   – Signor Presidente, onorevoli colleghi, la proposta di riforma dei Trattati è il risultato del lavoro di un piccolo gruppo di deputati della maggioranza, riunitosi a porte chiuse per oltre un anno, col mio gruppo ""Identità e democrazia"", deliberatamente escluso sin dall'inizio: ottimo esempio di democrazia!
Ne è scaturito un modello di Europa con più poteri e competenze all'Unione e soprattutto la proposta di superamento dell'unanimità in Consiglio in materie fondamentali come la politica estera e fiscale. Il superamento dell'unanimità in Consiglio, ossia il meccanismo di voto che permette a tutti gli Stati membri di poter bloccare l'adozione di decisioni che siano contrarie ai propri interessi, è una proposta subdola e pericolosa. 
Segnerebbe l'inizio di un processo irreversibile a discapito delle sovranità nazionali sancite dalle scelte democratiche dei cittadini e conquistate con il suffragio universale. Sarebbe il completamento definitivo del vincolo esterno come metodo di governo sovranazionale. I padri fondatori avevano previsto il meccanismo del voto all'unanimità, ben consci dei rischi insiti del voto a maggioranza, per evitare che si creassero dei veri e propri accordi di blocco occulti tra Stati a danno di qualche Paese membro non allineato. 
Questa idea di Europa non appartiene ai cittadini, non smetteremo mai di opporci, nonostante il maldestro tentativo di attribuire una legittimazione popolare chiamando in causa le raccomandazioni della fallimentare Conferenza sul futuro dell'Europa. 
Siamo per un'Europa a salvaguardia della vera democrazia e dei legittimi interessi nazionali, nonché del recupero di una effettiva cooperazione contro l'accentramento di poteri elitari che hanno solo accentuato asimmetrie, ingiustizie, divergenze e discordia fra i Paesi e i popoli europei. Ricordate che la sovranità appartiene al popolo.
"
Antonio Maria RINALDI,2023-10-17,IT,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-244-0000_IT.html,"  Antonio Maria Rinaldi (ID).   – Signora Presidente, signor Commissario, onorevoli colleghi, il Green Deal comporterà enormi problemi, soprattutto nell'ambito dell'execution. 
Passare infatti da un sistema energetico basato sulle fonti fossili a uno basato sull'elettrificazione determinerà non solo la ristrutturazione dell'intera infrastruttura energetica, ma la revisione totale delle catene dell'approvvigionamento.
La transizione energetica, così come voluta dalla Commissione europea, produrrà poi un aumento della domanda di metalli critici, fra i quali rame, litio, nichel, manganese, cobalto, grafite, molibdeno, zinco, terre rare e silicio, la cui offerta è saldamente nelle mani della Cina. Di contro, l'Europa non ha un'adeguata capacità di estrazione e raffinazione di minerali, pertanto siamo condannati a essere dipendenti dalle importazioni da pochi paesi leader del settore, i quali potrebbero applicare restrizioni all'esportazione.
Il governo di Pechino continua a stoccare materie prime, detenendo ad oggi il 93 % delle scorte mondiali di rame, il 74 % di quelle di alluminio e tante altre, esponendoci a ricatti in termini economici e geopolitici. Inoltre, la Cina stessa è anche leader indiscussa nella raffinazione di una vasta gamma di minerali, che la fanno essere il principale produttore mondiale di veicoli elettrici a costi competitivi.
Ma il più grosso errore compiuto dalla Commissione è stato quello di aver affidato la transazione energetica esclusivamente all'elettrico e di non aver accettato il principio della neutralità tecnologica, facendo pagare ai cittadini e alle imprese i costi di questa scelta sbagliata. Qualche membro della Commissione, non pervaso da fanatismo ideologico, è a conoscenza di quanto costa una vettura elettrica? Per un'utilitaria ci vogliono non meno di 35 000 euro: praticamente, una transizione energetica per soli ricchi.
"
Antonio Maria RINALDI,2023-09-13,IT,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-317-0000_IT.html,"  Antonio Maria Rinaldi,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, le microimprese e le piccole e medie imprese rappresentano nelle economie comunitarie le colonne portanti e insostituibili del tessuto industriale europeo. Ad esempio, in Italia – che, ricordo, occupa il secondo posto nella classifica delle imprese manifatturiere fra i 27 Paesi membri – le microimprese e le piccole e medie imprese rappresentano addirittura più del 99% del totale.
La Commissione, pertanto, dovrebbe spiegare in modo esaustivo come intende finanziare le impegnative e costose iniziative del Green Deal a carico delle imprese, conciliandole e rendendole sostenibili con il ritorno alle inevitabili politiche di austerità e l'aggravarsi delle condizioni finanziarie dovute al repentino aumento dei tassi a causa delle politiche monetarie della Banca centrale europea.
Inoltre, la Commissione, dopo aver impartito fino ad ora ben undici pacchetti di sanzioni nei confronti della Russia per l'aggressione all'Ucraina, ha valutato gli effetti economici sulle imprese costrette a veder ridurre il proprio fatturato dopo aver, con fatica e sacrificio, conquistato quel mercato? Sia chiaro: siamo tutti d'accordo sulle sanzioni alla Russia ma il prezzo ora lo stanno pagando proprio quelle aziende che non hanno nessuna colpa di mala gestio e che si sono viste dalla sera alla mattina precluso quel mercato.
Vorrei poi attirare l'attenzione della Commissione e di questa Assemblea sul fatto che, a causa del costo di materie prime, in particolare di quelle energetiche, i Paesi dell'Unione hanno intrapreso azioni asimmetriche di sostegno finanziario a favore delle proprie imprese e cittadini. Questo ha creato delle distorsioni nel mercato unico in quanto alcuni Paesi hanno destinato ingenti risorse rispetto ad altri, in palese contrasto con la disciplina degli aiuti di Stato, così come sancito dagli articoli 107 e 108 del trattato sul funzionamento dell'Unione europea, dando alla propria economia un evidente vantaggio competitivo rispetto a quelle degli altri.
Mi riferisco in particolare al piano straordinario varato dalla Germania per più di 200 miliardi di euro, bocciato proprio dalla loro Corte dei conti, in quanto tali aiuti sarebbero stati veicolati con artifizi contabili fuori dal perimetro del bilancio pubblico. Per la Commissione è tutto regolare, o anche gli altri Paesi membri ora possono avvalersi degli stessi trucchi adottati dalla Germania? Oppure, anche questa volta, la Commissione dimostra di essere forte con i deboli e debole con i forti?
"
Antonio Maria RINALDI,2023-05-09,IT,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-033-0000_IT.html,"  Antonio Maria Rinaldi (ID).   – Signor Presidente, signor Commissario, onorevoli colleghi, in un minuto posso solamente fare una riflessione sulla riforma del patto di stabilità e crescita.
Nella riforma la Commissione avrà poteri enormi nella determinazione delle politiche economiche dei governi nazionali, molto superiori al precedente patto, non coinvolgendo neanche questo Parlamento che, ricordo, è eletto democraticamente a suffragio universale, come lo sono i rispettivi parlamenti di ognuno dei 27 Paesi dell'Unione.
Ne discende che nei governi graditi alla Commissione le nuove norme si interpreteranno, mentre agli altri si applicheranno in modo rigido. Non saranno più i cittadini a decidere con il voto, ma i burocrati non eletti che hanno sempre dimostrato di essere completamente disconnessi dalla realtà, gli stessi dell'incomprensibile decisione di non scorporare dal calcolo del debito pubblico i prestiti del NextGenerationEU.
Ribadisco con fermezza che la sovranità appartiene al popolo e chi pensa solo minimamente a sostituirsi a esso è destinato miseramente a fallire.
Poi ho sentito prima l'affermazione che l'euro è diventato come la lira; vorrei ricordare che nel 1991 con la lira l'Italia era la quarta potenza industriale al mondo. Il problema è che bisogna saperle fare le cose, non con una banca centrale non in grado.
"
Antonio Maria RINALDI,2023-04-19,IT,Markets in Crypto-assets (MiCa) - Information accompanying transfers of funds and certain crypto-assets (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-181-0000_IT.html,"  Antonio Maria Rinaldi,  a nome del gruppo ID. – Signora Presidente, Signora Commissaria, colleghi, dopo una lunga e intensa contrattazione sia in commissione ECON che nel trilogo, siamo giunti al testo del regolamento sui markets in crypto-assets (MICA), dove è stato fatto senza nessun dubbio un grandissimo e ottimo lavoro.
Tuttavia vorrei sottolineare alcune criticità. L'Unione europea è la prima ad introdurre delle norme in questo settore, con il rischio però di rincorrere la rapida evoluzione del mondo cripto e cripto-assets, con il pericolo concreto di emanare un regolamento già obsoleto.
Proprio per questo motivo ho sempre sostenuto fortemente la necessità di promuovere una conferenza mondiale sulle cripto-attività, una sorta di Bretton Woods, per poter pianificare e armonizzare regole comuni tra tutti gli attori, soprattutto quelli extraeuropei. 
Abbiamo comunque raggiunto l'obiettivo di fissare pochi e semplici paletti normativi in un terreno che fino ad ora potremmo definire da Far West, e questo principalmente a tutela degli investitori/consumatori.
Tuttavia non dimentichiamo che viviamo in un mondo fortemente globalizzato dei mercati finanziari per il quale, in mancanza di un approccio comune alla materia, potrebbero crearsi enormi problematiche di concorrenza dovute alle forti asimmetrie normative.
Anche se è opinione diffusa che le normative europee aggiungano spesso burocrazie inutili, in questo caso possiamo affermare che, con l'introduzione del regolamento MiCa, abbiamo contribuito a dare un'enorme opportunità a questo settore, riconoscendolo legalmente, e quindi di aver tracciato un percorso per il futuro.
"
Antonio Maria RINALDI,2023-03-15,IT,Failure of the Silicon Valley Bank and the implications for financial stability in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-179-0000_IT.html,"  Antonio Maria Rinaldi (ID).   – Signor Presidente, Commissario, onorevoli colleghi, premesso che l'attuale crisi bancaria statunitense per ora ha dei contorni molto diversi rispetto a quelle precedenti, non possiamo fare a meno di evidenziare queste considerazioni. 
Primo: il fallimento della Silicon Valley Bank è stato innescato dal default di una piattaforma finanziaria e bancaria legata ad attività in criptovalute. Siamo sicuri che il sistema bancario europeo sia esente dallo stesso rischio? 
Secondo: la politica monetaria intrapresa nell'ultimo anno dalla BCE sull'aumento dei tassi per contrastare l'aumento dell'inflazione espone oltremodo il sistema bancario finanziario a rischi sistemici come quello del 2008: all'aumento repentino dei tassi ha corrisposto una caduta dei corsi degli asset obbligazionari in circolazione, generando potenziali problemi di liquidità nel sistema bancario. 
Potrebbe manifestarsi quello che gli economisti chiamano la ""teoria del cigno nero"". Queste considerazioni dovrebbero indurre la BCE, come già sta accadendo per la Fed, a rivedere immediatamente le sue prospettive sulla dinamica dei tassi di interesse, unitamente a una comunicazione più rassicurante nei confronti di cittadini e imprese, già enormemente colpiti dal recente aumento del costo di prestiti e mutui. 
"
Antonio Maria RINALDI,2023-03-14,IT,European Semester for economic policy coordination 2023 - European Semester for economic policy coordination: Employment and social priorities for 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-136-0000_IT.html,"  Antonio Maria Rinaldi (ID).   – Signora Presidente, Commissario, onorevoli colleghi, nella proposta della Commissione del 9 novembre scorso e il successivo dibattito che si è instaurato sulla revisione del Patto di stabilità, si continua a soffermarsi sul debito pubblico mentre si ignora totalmente quello privato, che ha dimostrato in passato più responsabilità nelle cause delle crisi.
Quanti sono gli Stati dell'eurozona e del mondo che rispettano il limite del 60% del debito pubblico/PIL? Pochissimi! La media dall'eurozona è del 95%.
È necessario inoltre che i Paesi membri crescano al numeratore PIL, archiviando le politiche di austerità e le rigide regole di rientro del debito che hanno sempre sistematicamente fallito, invece di rincorrere sterili percentuali senza fondamento scientifico.
I trattati sono stati scritti a Maastricht e a Lisbona non sul Monte Sinai! Smettiamola quindi di fingere di ignorare questi problemi e mettiamo finalmente mano ai trattati, adeguandoli alle reali esigenze del mondo in cui viviamo.
"
Antonio Maria RINALDI,2023-02-15,IT,European Central Bank - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-264-0000_IT.html,"  Antonio Maria Rinaldi (ID).   – Signora Presidente, onorevoli colleghi, signora Presidente Lagarde, signora Commissaria McGuinness, nel commentare la relazione 2022 della BCE, è necessario evidenziare che l'attuale incremento dell'inflazione è dovuto all'innalzamento repentino dei prezzi dei prodotti energetici e delle commodities, non solo a causa della guerra, ma ancor prima a causa delle precedenti scelte sulle politiche green, non sostenibili per il mantenimento della precedente capacità industriale europea.
Lo schema statutario della BCE è rigidamente monetarista e pertanto, in una situazione di inflazione da fattori esogeni, opera in termini prociclici, amplificando, con effetti depressivi, le criticità dei costi di interi settori produttivi, con conseguenti effetti negativi sui livelli occupazionali e retributivi reali.
L'azione della BCE non può correggere né le cause né gli effetti, ormai strutturali, di questa agflazione, ma può solo ottenere l'irreversibilità di una diffusa deindustrializzazione, accorpando a un irrisolto problema sul lato dell'offerta anche una crisi da domanda, correlata alla maggiore disoccupazione e precarizzazione del lavoro, che già stanno intaccando, con la riduzione dei salari reali, i livelli di vita essenziali, con il caro energia e l'aumento del costo dei finanziamenti per le imprese e le famiglie.
Neanche una svalutazione dell'euro è perseguibile, sia per il permanere dei tassi alti che per la cosiddetta condizione di Marshall-Lerner. Con l'imposizione forzata delle politiche green, i prezzi di produzione per le imprese esportatrici che subiscono l’agflazione non sono riconducibili oltre certi livelli minimi. La FED, di contro, alza i tassi per attrarre capitali e preservare il ruolo internazionale del dollaro, potendo compensare le conseguenze recessive con politiche fiscali espansive, mentre le rigide regole dei trattati non lo consentono.
Questo rende inevitabile un massiccio allentamento della disciplina degli aiuti di Stato sancite dagli articoli 107 e 108 del trattato sul funzionamento dell'Unione europea, che però, stante la vostra linea di ""Quantitative Tightening"", sarà consentito solo a quei paesi con maggiori spazi fiscali e sarà invece precluso a tutti gli altri, a causa del costo insostenibile del finanziamento degli Stati sui mercati, che voi stessi avete determinato con l'aumento dei tassi e la vendita dei titoli di Stato.
Lo scenario ricorda il famoso detto: l'operazione è perfettamente riuscita, ma il paziente è morto.
"
Antonio Maria RINALDI,2023-02-15,IT,Access to strategic critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-299-0000_IT.html,"  Antonio Maria Rinaldi,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, signora Commissaria McGuinness, nell'ambito del pacchetto di proposte ""Fit for 55"" abbiamo già constatato che l'approccio ideologico finora assunto ai fini della transizione energetica crea distorsioni potenzialmente devastanti, in particolare in termini di aumento dei costi per aziende e famiglie già colpiti dalla pandemia e dalla guerra.
Oggi però si discute di un'altra delle severe conseguenze delle rigide regole imposte nel quadro della strategia: il problema della disponibilità delle materie prime critiche e, in particolare, l'aumento della dipendenza europea e l'accesso ad alcune produzioni extraeuropee. Ciò che ci stupisce è il ritardo con cui Bruxelles, dopo aver diramato le diverse proposte di regolamento del Green Deal, che presto entreranno in vigore, si accinge a colmare un vuoto normativo che tenta di stimolare e tutelare la sicurezza dell'approvvigionamento.
Perché il legislatore europeo si pone solo adesso il problema? Lo stesso Chips Act, su cui le istituzioni avvieranno i negoziati a breve, ambisce a rilocalizzare in Europa la produzione di semiconduttori, che necessita di particolari materie prime. Diversi saranno gli elementi da tenere in considerazione durante l'iter del nuovo provvedimento, primo fra tutti il ruolo della Cina, che nel tempo ha accumulato molte materie prime specifiche anche depredando altri continenti come l'Africa. La Cina controlla più del 90 % della disponibilità delle terre rare e di scorte di rame e il 77 % del comparto mondiale dei pannelli solari, e ciò a fronte di una crescita esponenziale della domanda europea entro il 2023.
Emerge poi il ruolo americano del nuovo Inflation Reduction Act rivolto all'economia verde. Gli USA hanno deciso, ad esempio, di incentivare le famiglie americane ad acquistare prodotti con almeno il 40 % di materie prime estratte negli Stati Uniti. Sebbene ciò susciti preoccupazione e possa sembrare protezionismo, bisogna tenere in considerazione che è, geopoliticamente, il tentativo di difendere i propri interessi strategici nazionali.
A tal fine, ritengo pertanto opportuno e urgente predisporre uno studio sul reale livello di dipendenza della nostra economia dalle catene di fornitura cinese, in particolare nel settore delle rinnovabili, dei metalli, dell'elettronica e del farmaceutico.
"
Antonio Maria RINALDI,2022-12-12,IT,Towards equal rights for persons with disabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-068-0000_IT.html,"  Antonio Maria Rinaldi,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, parlerò come semplice genitore di un ragazzo disabile al 100 % e non come membro di questo Parlamento e per un minuto sarò idealmente padre di tutti i disabili che non possono essere qui presenti.
Ho letto con attenzione la relazione ""Verso pari diritti per le persone con disabilità"" e mi chiedo perché tutte le istituzioni europee non abbiano mai rivolto piena attenzione alle effettive problematiche che quotidianamente affrontano le persone con disabilità, le loro famiglie e chi si prende amorevolmente cura di loro.
Sono ancora troppo ignorate le emarginazioni, le discriminazioni, specialmente sul lavoro, le insormontabili difficoltà burocratiche, le differenze nei trattamenti sanitari e nei sostegni economici all'interno dei Paesi membri, quando proprio dal pieno rispetto e attenzione verso i disabili si misura il reale livello di civiltà di una comunità organizzata e democratica.
Ora, cari colleghi, invece parlerò come membro di questo Parlamento e non posso che constatare che la relazione che stiamo discutendo associa, oltre alle persone con disabilità, anche altre categorie di cittadini che necessitano di altre tutele, che nessuno nega, ma certamente non assimilabili, paragonabili e sovrapponibili a quelle proprie dei disabili.
Perché i disabili non possono essere oggetto di una specifica e autonoma relazione ed è necessario inserire anche altre categorie, che non hanno nulla a che vedere con il mondo e le esigenze di chi è disabile? Eppure stiamo parlando di ben 87 milioni di cittadini europei, di cui ben 24 milioni con disabilità grave, per non contare i minori. Non sono forse sufficienti per non inserire altre categorie da tutelare?
In ultimo, desidero ringraziare la nostra Presidente Roberta Metsola per averci regalato questa spilla del Parlamento, io sono fra quelli che la possono indossare a testa alta.
"
