MP,Date,Language,Title,Url,Content
Assita KANKO,2023-12-12,EN,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-298-0000_EN.html,"  Assita Kanko,  on behalf of the ECR Group. – Mr President, I met families of hostages in Brussels that told me about life in a kibbutz. Before 7 October, they had a life. Since then, it has become hell, because their loved ones were kidnapped or killed in the most barbaric way, intentionally massacred and never to return because they are Jews – hunted like animals, especially the women, and slaughtered as if they were nothing. Even animals have rights today.
Some know that their loved ones are in Gaza. A woman told me about her kidnapped sister. How do you go on with your life? Imagine yourself in their place: that your house was entered, the place you call home. And this kidnapped girl, what do you think Hamas is doing to her now? But it seems this violence leaves the world so indifferent.
No one wants war. But whatever we demand of the Israeli, let us first put ourselves in their place. Let us always remember the intention – the clear intention to massacre someone because they are Jewish. Where is the world? Where is Europe going if such hatred and indifference is permitted? Where is the United Nations going? Whose role was to be the beacon of the world? The cowardice of keeping silent because the women who were killed are Jewish? Where are we going when so many of our top politicians tolerate the actions of an Islamic terrorist group and build their careers on the failure of integration in our countries, an attitude that brings this danger and anti-Semitism to our doorstep.
Yes, we need a two-state solution. Yes, a life without war is better. But the real question today is what would you do when you are raped and burned? Think of your loved ones with whom you will soon be celebrating Christmas. Would you leave them in Gaza in the hands of Hamas? I hope and wish that we never have to answer that question.
"
Assita KANKO,2023-11-22,EN,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-025-0000_EN.html,"  Assita Kanko (ECR).   – Mr President, today I have a question – a pressing question – for some western feminists: how can you remain silent when women and girls are raped, tortured, their bodies carried around naked and spat on by bearded men shouting Allahu Akbar? Then you can never call yourself a feminist again.
Every day, including today, some western hypocritical feminists should be ashamed of their silence on the horror that Hamas men inflicted to women and girls on 7 October. And that includes big names we were once proud of. Why are their lips sealed and their hearts of stone when it comes to the excruciating pain of Jewish women? The MeToo movement and so-called intersectional feminists do not care about all women. If they remain silent, it means they have lied to us about their commitment to women’s rights. Their actions support the oppressor, not the victims. Also the EU money does indirectly.
Those who say nothing about these women and the hostages should not be standing here and speaking about human rights. When you are under attack by terrorists, a ceasefire is like raising your hands when you are being shot at. Perhaps it’s worth considering that a real, lasting ceasefire will start with bringing back all the hostages to their homes and the rapists to justice.
"
Assita KANKO,2023-11-09,NL,Outcome of the EU-US summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-013-0000_NL.html,"  Assita Kanko,  namens de ECR-Fractie. – Voorzitter, voor het eerst sinds ik mijn geboorteland Burkina Faso verliet, zie ik hier in Europa evenveel onveiligheid en een toegenomen censuur over bepaalde onderwerpen. Ik ben niet de enige. Vele medeburgers maken zich zorgen. 
Europa en de VS moeten samen harder werken aan onze veiligheid en onze toekomst, aan een veiliger thuis voor onze burgers. In deze tijden van geopolitieke conflicten en toegenomen globale fragmentatie is deze alliantie cruciaal. We moeten inderdaad samen optrekken om terroristen en hun supporters bij ons thuis te bestrijden, Israëls recht op zelfverdediging in het Midden-Oosten te erkennen, humanitaire hulp aan Gaza toe te laten, de gijzelaars vrij te krijgen, betere partnerschappen met Afrika tot stand te brengen en het perspectief van een tweestatenoplossing in het Midden-Oosten weer terug te brengen. 
Ook op economisch vlak is er nog veel te doen. Waarom zijn er nog geen akkoorden met Amerika over duurzaam staal en aluminium en over kritieke grondstoffen? Ik roep beide partners op om nog dit jaar tot akkoorden te komen en Europa ook om iets te doen, een adequaat antwoord te bieden op de Inflation Reduction Act.
"
Assita KANKO,2023-11-08,EN,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-115-0000_EN.html,"  Assita Kanko (ECR).   – Madam President, first of all, it’s unacceptable that European politicians demonstrate alongside organisations who clearly support Hamas and carry flags of ISIS. Left-wing politicians like Mélenchon in France, Pineda in Spain or Ahidar in Belgium turn this into a political strategy that can only further divide Western societies. And colleague Pineda dares ask for the resignation of President von der Leyen. Seriously? From my part, people like Pineda should move to Gaza and officially work for the Hamas propaganda instead of staying in a Europe they despise and do not protect.
Second, let me be clear on the conflict between Israel and Hamas: the European Council should maintain its balanced position, a position between condemnation of Hamas terrorist attacks across Israel, Israel’s right to defend itself and providing humanitarian access to Gaza for aid supplies, while ensuring that this assistance is not misused by terrorist organisations. The EU must not leave this balancing act under the next EU presidency that takes office on January 2024. There are two reasons why I worry. One member of the Belgian Government that will ensure the EU presidency stated recently that Hamas cannot be considered terrorist, while two other Belgian ministers demand sanctions against Israel.
"
Assita KANKO,2023-10-18,EN,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-043-0000_EN.html,"  Assita Kanko (ECR).   – Mr President, dear colleagues, so many innocent people, including children, will never see the sun rise again because they were Jewish, in 2023.
They were slaughtered by Hamas that a colleague MP of Ms Aubry called ‘a movement of resistance’ on French radio yesterday. 
Hamas is an Islamic terrorist organisation that still holds Israeli and foreign hostages today, in addition to the population of Gaza itself that it uses as a human shield against an Israeli military response. 
It is worse than Isis. And not so far from us. Again, another teacher was killed in France, again innocent citizens where shot in Brussels – in the name of Allah. And yet, we, as Europe, keep making the same mistakes. Dear colleagues, radical Islam is progressing because we are not recognising it as it is. 
I worry about the Jews. I worry about innocent Palestinians. I worry about Europe. I worry about our civilization and the loss of the feeling we all identify as safety. When in our European city’s demonstrators shout ‘death to Israel and death to Jews’ then it is no longer a demonstration but death threats – threats against Jews here and everywhere else, and against our Western civilization.
The EU must fix its migration policy, control where its money goes, call radical Islam by its name, reject any infiltration. It must also realise that the people of Brussels do not need candles and commemorations. They need protection.
"
Assita KANKO,2023-10-16,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-033-0000_EN.html,"  Assita Kanko (ECR).   – Madam President, I’m very shocked by the intervention of my colleague. We all here stand for human rights, we stand for the fact that all humans are equal.
I really don’t know where you have been staying in the past days, but maybe you were on the moon or anywhere else, but have you seen what happened in Israel? Have you seen that people went into houses to find human beings, to bring them outside, to kill or kidnap them or kill the babies just because they are Jews?
Do you remember history? Do you remember what happened on European soil? Do you want anything like that to happen again? Did you see that a teacher was killed in France last Friday, that today marks three years from the assassination and beheading of Samuel Paty?
Why don’t you speak up against the violation of our rights and our values in Europe? Have you seen the people also chanting in Rome, in London, in Paris, in Amsterdam, in Rotterdam, saying that we are the bad ones, saying that they are defending Palestinians, but in fact they are supporting the Islamic terror group Hamas?
Did you see that? Why don’t you speak against that? You know, the Palestinians are the first victims of Hamas. Shame on you.
"
Assita KANKO,2023-10-04,NL,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-056-0000_NL.html,"  Assita Kanko (ECR).   – Voorzitter, ik had een vriend die zei dat we ons altijd de juiste vragen moesten stellen. Zelf stelde hij altijd vragen. Hij wist ontzettend veel, maar hij wist nooit genoeg. Het leven was een school, elk gesprek een opportuniteit om vooruit te gaan.
Mijn vraag aan de collega’s hier is: waarom zijn we al twintig jaar niet dichter bij een oplossing gekomen? Een oplossing voor het sterven op zee. Een oplossing die de man op straat weer vertrouwen geeft in de politiek. Ik hoor hier nu vooral kritiek. Kritiek op elkaar, kritiek op lidstaten die de Europese buitengrenzen te hard zouden controleren, kritiek op lidstaten die geen asielzoekers willen herverdelen. Maar, collega’s, jullie slaan de belangrijkste stap over. Dat is opnieuw controle krijgen op de illegale migratiestromen naar Europa. En daarbij moeten we soms over onze eigen schaduw durven stappen.
Doordachte deals met buurlanden, landen van herkomst en landen die kunnen helpen met de verwerking van asielaanvragen, zijn nodig. Strenge controle aan de buitengrenzen is nodig. Eerst moeten we grip krijgen op de instroom en dan pas kunnen we praten over verwerking en integratie.
"
Assita KANKO,2023-10-03,NL,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-350-0000_NL.html,"  Assita Kanko (ECR).   – Voorzitter, wordt de EU de knecht van elke dictator op deze aardbol?
We hebben ons vastgereden in de regio. We zijn de dupe van president Aliyev geworden, die met zijn gas staat te zwaaien in ruil voor onze principes.
De EU heeft de signalen genegeerd dat Azerbeidzjan gebruik wilde maken van de verzwakte positie van Rusland in de regio om Nagorno-Karabach volledig onder zijn controle te brengen. We hebben geen rekening gehouden met mogelijke vergelding na de toenadering tussen Armenië en het Westen.
Het gevolg is dat de humanitaire noodsituatie die ontstond door de maandenlange blokkade van de Laçın-corridor, verergerd werd door de 200 doden en honderden slachtoffers van de militaire aanval door Azerbeidzjan op Nagorno-Karabach op 19 september en de uittocht, en dus ontheemding, van de overgrote meerderheid van Armeniërs uit Nagorno-Karabach.
Nu komt het einde van het zelfbestuur van Nagorno-Karabach in zicht. Per 1 januari 2024 heeft deze etnische minderheid geen thuis meer.
Nagorno-Karabach heeft veel meer dan humanitaire hulp nodig. De etnische zuivering moet stoppen. De rechten van de overgebleven Armeniërs in Nagorno-Karabach mogen niet verder geschonden worden. Het Armeens-christelijke erfgoed in Nagorno-Karabach moet beschermd worden.
De EU mag vooral geen tweede keer tekortschieten en territoriale aanspraken van Azerbeidzjan op delen van de Armeense republiek zelf niet negeren.
Wij moeten de soevereiniteit van Armenië steunen.
"
Assita KANKO,2023-09-14,EN,Violence and discrimination in the world of sports after the FIFA Women’s World Cup (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-065-0000_EN.html,"  Assita Kanko (ECR).   – Madam President, ‘No means no’, President von der Leyen said in her speech yesterday. Sadly, this basic principle is still something we need to fight for. I stand here today as a mother, as a woman, as a lawmaker working on the Directive on Combating Violence Against Women. I hope that together we bring closer the day that in our workplaces, streets and homes, nobody needs to be convinced that ‘no’ means just ‘no’.
And the absence of ‘yes’ also means ‘no’. We all know that the first kissing is just the tip of the iceberg of what women endure every day in many places inside and outside the sports world, whether they are on top or at the bottom of the ladder. But laws alone are not going to solve this problem. We must all think about our daily habits. Men and women.
Yes, men, women can be your boss and continue being who they are. Face it! No, women, it is not okay to play groupies and pick me games. Be allies. Who do you pick as allies? When do you look away? Only if we realise as lawmakers that this is bigger than the law will we be able to truly start changing something and making our kids proud.
"
Assita KANKO,2023-09-12,NL,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-074-0000_NL.html,"  Assita Kanko,  namens de ECR-Fractie. – Voorzitter, beste collega's, mijnheer de commissaris, paniekvoetbal, amateurisme, naïviteit: alleen zo kan je de EU—Tunesiëdeal noemen. What else? Niemand is onder de indruk van wat de EU hier uitgespookt heeft. Niemand, en zeker niet de mensensmokkelaars of de Tunesische leider.
Vandaag hebben wij de hoogste cijfers sinds 2016. Impact? Effect? Het enige effect is de explosieve toestroom via Tunesië en de rode wangen van de EU. De migratiecrisis en de ingrediënten die het mogelijk maken waren niet zo moeilijk te anticiperen en tijdig aan te pakken. Maar wat hebben wij hier gedaan? Politieke show en improvisatie boven daadkracht gezet. Ons lot en dat van de migranten in de handen van een dictator gelegd met een enorme blanco cheque. Ik ben enorm teleurgesteld. Zoals velen onder onze burgers. 
Niet alles is te koop. De EU moet dat leren. Je kan geen blanco cheque tekenen voor elk probleem dat je niet durft op te lossen. Je kan niet telkens dat je lui bent een pact met de duivel sluiten en terug gaan slapen. Want nu moet Europa wel met die duivel dansen. Willen we dat? Ik doe niet mee.
"
