MP,Date,Language,Title,Url,Content
Aurore LALUCQ,2023-09-13,FR,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-320-0000_FR.html,"  Aurore Lalucq (S&D).   – Monsieur le Président, Madame la Vice-présidente, chers collègues, voici donc BEFIT, le dernier texte législatif, peut-être, en matière fiscale de la Commission européenne, et on ne pourra pas dire que l’Europe a chômé ces dernières années pour pouvoir remettre plus de justice fiscale pour les Européens.
La taxation des super-profits: l’Europe; la taxation minimale des multinationales: l’Europe; la lutte contre les paradis fiscaux: l’Europe; la lutte contre les sociétés-écrans: l’Europe; la taxation des plus puissants – là où certains États membres sont plutôt lâches vis-à-vis d’eux – l’Europe encore. Malgré tout, malgré l’unanimité, on a toujours réussi à se battre et à avancer. Et j’insiste sur ce dernier point, parce que c’était une promesse, un engagement de la présidente de la Commission européenne, Madame von der Leyen, qui nous avait promis la fin de l’unanimité. Et c’était l’absent aujourd’hui de son discours. Elle a ainsi renié ses engagements, elle a fui ses responsabilités. 
On demande à la Commission européenne, et notamment à Paolo Gentiloni, qui a fait montre de courage ces dernières années, de ne pas fuir ses responsabilités et de faire un dernier acte de bravoure. Les Européens et l’Europe le méritent.
"
Aurore LALUCQ,2023-07-12,FR,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-206-0000_FR.html,"  Aurore Lalucq (S&D).   – Madame la Présidente, Monsieur le Commissaire, Monsieur le Secrétaire d’État, chers collègues, 67 % des Européens pensent qu’il faut taxer la fortune. Tout comme ce gauchiste, manifestement, de Philip Lane, gouverneur de la Banque centrale européenne, mais aussi les économistes Joseph Stiglitz, Gabriel Zucman, Esther Duflo, Kate Barker, ancienne de la Bank of England, qu’on a pu lire récemment, là aussi dans un tract gauchiste qui s’appelle le Financial Times. Je pourrais continuer la liste à l’infini.
Ils ont raison, car le taux d’imposition des plus riches est aujourd’hui plus bas que celui de la classe moyenne, ce qui pose des problèmes sociaux, économiques, mais aussi démocratiques. Et c’est pour cela que nous avons lancé une initiative citoyenne européenne pour la taxation des grandes fortunes, afin de financer la transition écologique.
Comment ça fonctionne? Nous faisons une proposition à la Commission européenne. La Commission européenne nous dit si elle est juridiquement recevable, nous récoltons un million de signatures. Et si ces signatures sont récoltées, alors nous devons avoir une réponse de la Commission européenne. Et c’est avec honneur et émotion que je peux vous annoncer aujourd’hui que la Commission européenne, hier, a donné son accord juridique pour pouvoir récolter ce million de signatures.
Alors, tout comme nous avons créé à l’échelle européenne la taxation minimale sur les multinationales, la taxation sur les superprofits, créons la taxation sur les grandes fortunes, chers Européens. L’Europe est à votre service et au service de la justice fiscale. 
"
Aurore LALUCQ,2023-07-12,FR,Need to adopt the “Unshell” Directive on rules to prevent the misuse of shell entities for tax purposes (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-324-0000_FR.html,"  Aurore Lalucq (S&D).   – Monsieur le Président, Monsieur le Commissaire, Monsieur le Secrétaire d’État, en janvier dernier, le Parlement a adopté, à une majorité écrasante de plus de 99 %, la directive «Unshell» visant à lutter contre les sociétés-écrans. Cela a été rappelé, ce fut une avancée majeure contre l’évasion fiscale, car ces structures permettent de dissimuler des transactions financières à des fins de fraude et de blanchiment d’argent.
Rappelons qu’au-delà des 60 milliards d’euros qu’elles coûtent annuellement aux contribuables, ces sociétés-écrans sont l’un des principaux rouages de pratiques illégales, comme le trafic d’êtres humains, d’armes ou de drogue. Il est donc tout à fait dommageable que cette directive majeure ait été bloquée purement et simplement par le Conseil, au point de ne même plus figurer à l’agenda des négociations.
Je me tourne vers vous, Monsieur le Secrétaire d’État. On a besoin que le Conseil débloque cette directive. On compte sur votre engagement et on vous fait parfaitement confiance. Et je me tourne aussi vers le commissaire Gentiloni. Cette situation pointe aussi le problème de l’unanimité pour ce genre de directive. On attend là aussi une action massive de la Commission européenne. 
"
Aurore LALUCQ,2023-06-14,FR,Lessons learnt from the Pandora Papers and other revelations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-290-0000_FR.html,"  Aurore Lalucq (S&D).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, aujourd’hui tout se passe comme s’il y avait deux systèmes fiscaux, et donc deux systèmes démocratiques parallèles. D’un côté le citoyen lambda, la PME du coin, qui payent leurs impôts là où ils vivent et là où ils travaillent, et, de l’autre, certaines personnalités ultra-riches qui, disons-le clairement, à travers leur comportement, refusent le consentement à l’impôt et font sécession. En ayant recours à des sociétés offshore et à des paradis fiscaux, ils préfèrent mettre leur argent à côté de la grande criminalité, de la mafia et des trafiquants, plutôt qu’au côté des citoyens lambda, aussi imparfaits soient-ils. 
Pourtant, ces personnes ont de quoi payer dix fois, cent fois leurs impôts. Pourtant, ces personnes n’auraient pas à payer grand-chose, d’ailleurs, si elles étaient restées et avaient déclaré leur argent sur leur territoire. En effet, les ultrariches ne paient quasiment plus rien aujourd’hui. Pourquoi? Parce que le revenu et le capital ne sont plus assez taxés, tant et si bien qu’aujourd’hui, mieux vaut hériter que travailler.
Aussi, nous soutenons ce rapport, la taxation du capital et un impôt sur la grande fortune au niveau européen.
"
Aurore LALUCQ,2023-05-10,FR,Impact of the interest rate increase decided by the ECB on households and workers (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-535-0000_FR.html,"  Aurore Lalucq (S&D).   – Madame la Présidente, Monsieur le Commissaire, Madame la Ministre, parfois, on ne peut pas lutter contre l’inflation avec un taux d’intérêt, et il faut l’accepter. La hausse du taux d’intérêt aujourd’hui doit être questionnée pour trois raisons au moins. Premièrement, parce qu’on ne lutte pas avec un taux d’intérêt contre l’inflation importée et l’inflation énergétique. Deuxièmement, parce qu’aujourd’hui l’inflation est tirée par les superprofits, par la cupidité, l’avidité: c’est l’inflation des vendeurs, la «cupideflation» décrite parfaitement par Isabella Weber, et d’ailleurs la Banque centrale européenne est d’accord avec ce constat, il faudrait donc qu’elle se mette en cohérence. Enfin, parce que cette hausse a des conséquences sur la stabilité bancaire et financière.
S’il est évident que les banques qui se sont effondrées avaient des problèmes de gestion interne – ça on ne va pas le nier – il est évident aussi qu’à partir du moment où vous augmentez les taux d’intérêt, mécaniquement, vous dégradez les bilans bancaires parce que vous avez des moins-values latentes obligataires. La dernière chose dont on a besoin, c’est d’une crise bancaire et financière. Donc stop sur les taux d’intérêt. Et parfois, pour avoir de la stabilité des prix, il faut passer par quelque chose qui s’appelle le contrôle des prix.
"
Aurore LALUCQ,2023-05-09,FR,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-048-0000_FR.html,"  Aurore Lalucq (S&D).   – Monsieur le Président, Monsieur le Vice-président, Madame la Ministre, je crois que nous sommes tous en train de saluer l’assouplissement des règles budgétaires. C’est effectivement bienvenu. C’est un premier pas dans la bonne direction. Maintenant, à nous de l’améliorer. L’angle mort de cette réforme, et d’ailleurs du débat qu’on est en train d’avoir aujourd’hui, c’est la question des recettes. Enfin, on est toujours en train de parler de la question des dépenses, la question des règles. Si on prend la question des finances publiques au sérieux, on s’intéresse aussi aux recettes, notamment si on a besoin d’investissements publics, ce qui va être le cas.
Deux propositions. Une proposition évidemment, dont on a parlé hier, qui est d’avoir une capacité budgétaire au niveau européen, mais aussi d’avoir, pourquoi pas, une règle fiscale, c’est-à-dire de dire aux pays: «Vous avez la possibilité de dépenser plus, mais dans ce cas-là, financez.» Et financer, ça passe par quoi, quand on est un État? Ça passe par l’impôt, tout simplement. Ce qui nous permettrait par ailleurs de remettre un peu d’ordre dans la fiscalité qui a été détruite par 40 années de mondialisation. Et puis un autre point: éviter des dépenses, c’est aussi ne pas sauver les banques et c’est donc bien réglementer les banques.
"
Aurore LALUCQ,2023-05-08,FR,"Impact on the 2024 EU budget of increasing European Union Recovery Instrument borrowing costs - Own resources: a new start for EU finances, a new start for Europe (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-130-0000_FR.html,"  Aurore Lalucq (S&D).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, je me suis demandé quel énième argument de rationalité j’allais pouvoir mobiliser pour justifier la nécessité d’un budget au niveau européen. Est-ce que j’allais citer encore une fois le Financial Times, le FMI, ou dire qu’il fallait aider la Banque centrale européenne? Et dans cette semaine si particulière pour l’Europe, j’avoue que j’ai pensé à mon grand-père résistant, communiste, pro-européen qui, s’il était encore de ce monde, me dirait: alors vous en êtes où, ma grande, de la construction européenne? Ça y est, vous avez de l’argent pour pouvoir faire l’Europe? Et je répondrais: tu sais, Papy, c’est compliqué. Et il me rétorquerait du tac au tac: tu sais ce qui était compliqué, ma grande? C’était de combattre le nazisme. Et il aurait eu parfaitement raison.
Le budget est une question éminemment politique. C’est une question de volonté politique. Et même si je salue les avancées de ce rapport, je suis quand même déçue car ce n’est pas avec une taxe sur les cryptos, une taxe sur les plastiques ou une TTF bloquée au Conseil qu’on va financer la défense européenne, la transition écologique, l’industrie dont nous avons aujourd’hui terriblement besoin.
On a besoin d’un plan pérenne, on a besoin de réponses concrètes de la Commission européenne sur ce point. On a besoin de justice fiscale, de taxation sur le capital et d’un prélèvement pour le marché unique, parce que si on aime l’Europe, on la finance. 
"
Aurore LALUCQ,2023-04-19,FR,Markets in Crypto-assets (MiCa) - Information accompanying transfers of funds and certain crypto-assets (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-184-0000_FR.html,"  Aurore Lalucq (S&D).   – Madame la Présidente, Madame la Commissaire, chers collègues, grâce à MiCA et à TFR, les acteurs des cryptos vont pouvoir commencer à appliquer des règles de base de la finance traditionnelle, des trucs dingues comme demander les identités, avoir une assurance, ne pas recourir à la manipulation de marché ou au délit d’initié. C’est bien. C’est mieux que rien. Est-ce que c’est suffisant? Non. 
La Banque centrale européenne, à travers les voix de Christine Lagarde, Fabio Panetta et Elizabeth McCaul, estime que MiCA ne suffit pas à réglementer correctement les cryptos, et ils ont raison, entre autres pour des questions de seuils et de délais d’application. Ainsi, la plus grosse plateforme au monde, Binance, qui est enregistrée dans la cryptonation française, pourra se mettre en conformité avec MiCA dans seulement dix-huit mois. Dix-huit mois pendant lesquels les épargnants n’auront donc aucune protection. Quand j’ai abordé ce sujet en commission ECON, la Commission européenne m’a répondu: «Ah bah c’est comme ça!» Pardon, mais ce n’est pas une réponse. De deux choses l’une: soit il n’y a pas de problème, et on ne légifère même pas, soit il y a un problème, et dans ce cas-là on doit agir. 
Donc, Madame la Commissaire, j’ai des questions pour vous. Estimez-vous que Mme Lagarde, M. Panetta et Mme McCaul ont tort sur leur jugement quant à MiCA? Si oui, pourquoi? Sinon, que comptez-vous faire? C’est vous qui avez décidé d’avoir une approche spécifique sur les cryptos, alors qu’il faudrait plutôt suivre une logique simple, qui dit: «Même service, mêmes risques, même réglementation». Aussi, on vous demande d’agir rapidement. 
J’attire aussi l’attention de mes collègues sur le fait que l’AEMF a la possibilité d’interdire les produits financiers lorsqu’ils sont dangereux. 
Je terminerai en louant l’action des Américains, et notamment d’un homme, Gary Gensler, qui a choisi de protéger les épargnants américains. Je pense que nous devrions nous inspirer de ce que font les États-Unis. 
"
Aurore LALUCQ,2023-04-19,FR,Digital euro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-230-0000_FR.html,"  Aurore Lalucq (S&D).   – Monsieur le Président, Madame la Commissaire, je suis toujours preneuse de la réponse à la question que je vous ai posée dans le précédent débat à propos de Mme Lagarde et de M. Panetta. 
Concernant l’euro numérique, je crois que la question que nous devons nous poser, c’est: pourquoi nous le faisons? Dans quel but? Et je pense que c’est un petit peu là, en fait, que le bât blesse, parce que, certes, on parle de souveraineté, mais je pense qu’on a voulu prendre un peu vite le tournant du numérique parce que c’était à la mode et qu’on essaye maintenant de remplir un peu au forceps ce projet. 
Si on le prend au sérieux, ce projet, il est sincèrement vertigineux, parce que la monnaie, c’est de la confiance et de la violence, pour reprendre le titre du livre de Michel Aglietta. C’est un sujet éminemment politique, et on ne peut pas en faire n’importe quoi, notamment parce que ça peut remettre en cause le fonctionnement de notre système bancaire. 
Je ne dis pas que c’est bien, je ne dis pas que c’est mal, je dis que ça se pense, que ça se prépare et que vous avez entre les mains quelque chose de très précieux, qui est une institution politique et qui s’appelle la monnaie. Dans le contexte actuel de tensions politiques et de montée des populistes, je pense qu’il faut faire très, très attention à la façon dont va tenir ce débat, qui n’est pas technique, qui est éminemment politique, et que, dans l’urgence, il faut toujours prendre son temps. 
"
Aurore LALUCQ,2023-02-15,FR,European Central Bank - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-278-0000_FR.html,"  Aurore Lalucq (S&D).   – Madame la Présidente, Madame la Commissaire, Madame la Présidente Lagarde, cher rapporteur, bravo pour le travail que vous avez réalisé!
Mme Schnabel, du directoire de la BCE, a déclaré en janvier 2023: «Nous avons besoin d’une meilleure compréhension de la façon dont le dérèglement climatique va agir sur le secteur financier, et vice versa; pour cela, le développement de données de grande qualité sera clé». Ma question est simple: vraiment?
Est-ce que nous avons le temps d’attendre? Est-ce que, pour commencer, nous serons capables d’avoir des données de bonne qualité sur des événements que nous ne sommes aujourd’hui pas en mesure d’imaginer? Et est-ce que nous devons attendre pour agir? Comme le disait Keynes, «à long terme, nous serons tous morts». Est-ce que nous ne serons pas tous morts quand nous aurons les bonnes données pour pouvoir agir? Pourquoi ne pas agir tout de suite, notamment sur le prudentiel?
On sait que certains établissements bancaires sont extrêmement exposés au risque fossile, risque fossile qui peut engendrer un risque systémique, risque systémique qui peut être évité en augmentant les exigences de fonds propres. Voilà donc ma question, Madame la Présidente Lagarde.
Cela dit, je crois que nous pouvons quand même être fiers, en Europe, d’avoir une banque centrale, la banque centrale qui évolue le plus vite dans le domaine environnemental. Certains pays, notamment les États-Unis, n’ont pas cette chance.
"
Aurore LALUCQ,2023-01-16,FR,Rules to prevent the misuse of shell entities for tax purposes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-16-INT-1-117-0000_FR.html,"  Aurore Lalucq (S&D).   – Monsieur le Président, Madame la Commissaire, chers collègues, l’évasion fiscale est une industrie. Sa patrie, ce sont les paradis fiscaux. Son peuple, ce sont les ploutocrates, les oligarques, ceux qui ont déjà tout, probablement trop, même, mais qui veulent toujours plus, ou plutôt qui ne veulent pas partager et qui ne se sentent redevables de rien. Son arme, ce sont les sociétés-écrans, ces sociétés fictives qui permettent de cacher les transactions – c’est là leur ADN et leur seul but –, des sociétés qui ont permis des choses assez aberrantes, comme le fait qu’une île anglo-normande soit devenue le premier producteur de bananes au monde, ou encore que l’île Maurice soit devenue le premier investisseur en Inde. 
On sait que les sociétés fictives servent à protéger les criminels et à permettre l’évasion fiscale. Ce qu’il faut retenir, c’est qu’elles servent surtout à ce qu’une partie des élites fasse en toute discrétion sécession, avec les conséquences démocratiques que l’on sait. Cette directive est extrêmement bienvenue, et ce pour des raisons démocratiques, pas uniquement économiques. On nous avait dit que c’était impossible – parce que, évidemment, à chaque fois qu’il y a de l’argent en jeu, c’est toujours impossible –, on l’a fait. 
Maintenant, la prochaine étape, c’est d’enterrer réellement les sociétés-écrans et surtout de réguler leurs intermédiaires. On compte sur la Commission européenne, sur le Parlement, et aussi sur le Conseil, pour qu’il ne bloque pas. 
"
Aurore LALUCQ,2022-12-14,FR,EU response to the US Inflation Reduction Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-076-0000_FR.html,"  Aurore Lalucq (S&D).   – Madame la Présidente, Madame la Vice-Présidente exécutive, il aura fallu seulement trois lettes pour faire trembler l’Europe:  IRA [Inflation Reduction Act]. Trois lettres pour que notre continent perde ses repères; trois lettres pour que le continent du pacte vert pour l’Europe, dans un premier temps, condamne l’ambitieux plan de transition écologique de l’une des économies les plus polluantes du monde; trois lettres pour que l’Europe panique, s’affole et pleurniche, allant même demander aux États-Unis de modifier leur plan. 
Pardon, mais respectons-nous un peu. Déjà, au lieu de pleurnicher, réjouissons-nous que les États-Unis souhaitent réduire leurs émissions de gaz à effet de serre de 50 % d’ici 2030. En fait, si nous paniquons, c’est parce que nous nous rendons compte, finalement, que l’Union européenne s’est fondée sur un logiciel pseudo-économique qui est en train de mourir de sa belle mort, et que, certes, il faut avoir une politique de défense vis-à-vis de la concurrence, mais que, pour faire de la politique industrielle et de la transition écologique, il nous faut des subventions, il nous faut de la planification, il nous faut des pouvoirs publics forts et il faut parfois protéger ces industries. 
Alors, certes, l’Europe a un deuil à faire, mais qu’elle le fasse vite, car la politique industrielle et la transition écologique n’attendent pas. 
"
Aurore LALUCQ,2022-12-14,FR,"Tackle the cost of living crisis: increase pay, tax profits, stop speculation (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-162-0000_FR.html,"  Aurore Lalucq (S&D).   – Madame la Présidente, Monsieur le Commissaire, 2,4 %: c’est d’après l’Organisation internationale du travail la baisse des salaires réelle en Europe au premier semestre de 2022. Derrière ce chiffre, il y a des vies, des milliers de familles, et évidemment ce sont les plus pauvres et les plus précaires qui, du point de vue social et environnemental, sont les plus touchées. Cela, c’est la réalité. 
En toute logique, il faudrait recommander d’augmenter les salaires, mais c’est sans compter sur une peur, toute théorique cette fois-ci, qui s’appelle la «boucle prix-salaires», et qui engendrerait un emballement de l’inflation. Pourtant, même le Fonds monétaire international nous dit qu’une telle boucle n’existe pas. Il nous dit même, d’ailleurs, qu’elle n’a jamais existé dans pareil contexte.
Il faut donc recommander aujourd’hui d’augmenter les salaires, mais aussi, comme l’a parfaitement dit Paul Tang, de trouver de l’argent pour mieux assurer un soutien, avec des politiques budgétaires généreuses. Je sais que la Commission européenne, et vous en particulier, Monsieur Gentiloni, êtes très ouverts sur ce sujet. On peut peut-être laisser de côté la TTF si cela ne fonctionne pas et passer à une taxation sur les produits financiers, et taxer surtout le patrimoine et les plus riches. Pourquoi ne pas faire comme les Américains, en taxant les rachats d’actions?
"
