MP,Date,Language,Title,Url,Content
Aurélia BEIGNEUX,2023-12-14,FR,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-026-0000_FR.html,"  Aurélia Beigneux (ID).   – Monsieur le Président, nos concitoyens respectifs voient la COP 28 à Dubaï comme une gigantesque farce et je les comprends. Passons sur le fait qu’ils sont organisés dans une pétromonarchies au bilan carbone ridiculement élevée, ces dîners mondains de l'environnement ne peuvent pas être une réponse crédible face aux enjeux climatiques. Cette conférence, prétendument sur le climat, a surtout servi de lieu de négociations internationales pour régler la crise militaire au Moyen-Orient.
Alors que l'écologie est une affaire de mesure, de limites, de frontières, l'Union européenne et les mondialistes en font un moyen de centralisation en faveur du global, du sans-frontières et des monopoles. Alors que l'écologie est une affaire de bon sens et de coopération, les technocrates déconnectés en font une croisade contre les travailleurs du quotidien.
Encore une fois, les citoyens européens seront seuls pour porter le fardeau du combat climatique, alors que le bilan carbone de notre continent est insignifiant. Et encore une fois, ce seront les plus faibles qui devront assumer les efforts pour lutter contre les effets néfastes de votre politique. Alors pour le bien de la planète, arrêtons ces COP grotesques et coûteuses et changeons enfin de paradigme.
"
Aurélia BEIGNEUX,2023-11-22,FR,Revised pollinators initiative -  a new deal for pollinators (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-377-0000_FR.html,"  Aurélia Beigneux,  au nom du groupe ID. – Madame la Présidente, les Européens sont profondément conscients du danger qui plane sur les pollinisateurs, élément clé de notre biodiversité, nécessaire à la reproduction des cultures et au maintien de la diversité botanique. Mais ce danger n’est pas nouveau. L’utilisation excessive de pesticides, la perte d’habitats naturels et le dérèglement climatique font courir de grands risques sur l’équilibre naturel de nombreuses régions. Les victimes de ce déséquilibre, ce sont aussi nos agriculteurs, car la pollinisation détermine en grande partie les rendements agricoles.
Ce texte le montre bien: votre approche est encore marquée par une idéologie déconnectée, inapplicable, qui répond à la seule logique du chiffre. Avant d’empiler des règles bureaucratiques et des objectifs utopistes, rattrapons déjà notre retard sur la recherche de nouvelles technologies.
En France, la recherche agronomique a permis de développer des variétés plus résistantes aux ravages et aux sécheresses. L’agriculture n’est donc pas condamnée à détruire les pollinisateurs, bien au contraire. Mettons en place des incitations fiscales pour ceux qui adoptent déjà des pratiques respectueuses de l’environnement et réduisons au maximum les accumulations excessives et inapplicables de mesures.
Sauver les pollinisateurs, c’est sauver l’agriculture et donc garantir notre sécurité alimentaire à tous. Ce texte, l’ensemble de notre délégation, le soutient car la situation est critique. Mais nous appelons à la mise en place d’une approche beaucoup plus réaliste qui fait enfin confiance au travail de nos paysans.
"
Aurélia BEIGNEUX,2023-11-21,FR,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-096-0000_FR.html,"  Aurélia Beigneux (ID).   – Monsieur le Président, Monsieur le Commissaire, vous ne cachez même plus votre objectif délirant de passer au 100 % électrique pour les poids lourds comme pour les voitures, et peu importe si l’actualité nous met en garde chaque jour sur les dangers de ce choix utopique. Vous enfermez la filière du transport dans une voie à sens unique, au mépris de la liberté de marché que vous défendez pourtant constamment.
Le choix du «tout électrique» pour les voitures était déjà déconnecté des réalités industrielles, environnementales et économiques. Mais faire ce choix pour les poids lourds montre votre profonde ignorance du fonctionnement de cette industrie. Un camion électrique coûte aujourd’hui 300 000 euros, soit trois fois plus que le même camion au diesel. Son entretien est lui aussi trois fois plus onéreux. Alors allez dire aux sociétés de transport qu’ils devront passer au «tout électrique» dans quinze ans....
Ce choix est également un contresens écologique. Vous nous rendez dépendants de l’approvisionnement mondial en lithium et cobalt, extraits dans des conditions ultra polluantes à l’autre bout du monde et je le rappelle, exploitant le travail des enfants. C’est totalement écœurant! En résumé, vouloir déplacer la pollution de nos villes vers le tiers monde ne fait de vous ni des écologistes ni des humanistes.
"
Aurélia BEIGNEUX,2023-11-08,FR,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-234-0000_FR.html,"  Aurélia Beigneux (ID).   – Monsieur le Président, soyons lucides: le projet de loi Euro 7 est tout simplement insoutenable. La Commission exige des constructeurs qu’ils investissent massivement pour que les moteurs thermiques soient conformes à des normes toujours plus strictes. Pourtant, ces mêmes constructeurs ont déjà investi des milliards pour passer au tout électrique en 2025 sous votre injonction. Ce que vous demandez donc aux constructeurs est contradictoire et l’exemple frappant de la déconnexion totale avec le monde de l’industrie. 
Pire encore, et vous le savez très bien, ces efforts vont faire exploser le prix des véhicules, ce qui va tout simplement supprimer les véhicules abordables du marché. Résultat: les petites citadines, autrefois accessibles à 10 000 EUR, coûtent désormais le triple. Sous prétexte d’écologie, vous renforcez donc les inégalités et creusez la fracture sociale. 
Les États membres ont déjà adressé un carton jaune à ce texte. Cela devrait vous alerter. Écoutez les constructeurs, les nations et les automobilistes. Arrêtez de pénaliser injustement les plus vulnérables de notre société et arrêtez enfin de mettre en danger notre industrie automobile. 
"
Aurélia BEIGNEUX,2023-10-19,FR,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-038-0000_FR.html,"  Aurélia Beigneux (ID).   – Madame le Président, Madame la Commissaire, tous les sondages le montrent: la cruauté de la production de fourrure d’origine animale provoque le rejet quasi unanime des Européens. Ce débat est d’une importance capitale pour le respect des droits des animaux, mais aussi pour les millions d’Européens qui ont signé l’initiative «Pour une Europe sans fourrure».
Les images, insupportables, exposent l’atrocité quotidienne que représente cette filière: la vie en captivité, la blessure dans les cages, les cas de cannibalisme, tant de phénomènes qui doivent être relégués enfin au passé. L’industrie barbare de la fourrure a assez fait son profit sur la souffrance des animaux. Vous qui êtes si attachés à la protection de l’environnement, n’oubliez pas non plus que la fourrure naturelle a un impact environnemental dix fois plus nocif que la fourrure synthétique.
Madame le Commissaire, allez jusqu’au bout de cette initiative, accordez de l’importance à ce sujet crucial et proposez enfin l’interdiction pure et simple de la fourrure animale.
"
Aurélia BEIGNEUX,2023-10-05,FR,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-041-0000_FR.html,"  Aurélia Beigneux (ID).   – Monsieur le Président, la capacité de gérer les eaux usées est un des marqueurs d'une société développée. À l'inverse, dès lors que cette capacité se dégrade, c'est tout notre environnement urbain, sanitaire et écologique qui est menacé. Les eaux usées contiennent des polluants, des produits chimiques toxiques et accentuent l'antibiorésistance. 
Notre pouvoir de traitement doit donc se renforcer chaque année sans lésiner sur les budgets, proportionnellement à l'augmentation de ces substances polluantes. C'est pourquoi nous devons mettre en avant l'ensemble de notre système technologique et le pouvoir politique doit renforcer la recherche sans aucun compromis. 
Grâce à la recherche, les pratiques de gestion modernes ont considérablement amélioré nos capacités de traitement des eaux usées. Des processus tels que la filtration, la décantation et l'oxydation avancée permettent d'éliminer efficacement les contaminants tout en récupérant de précieuses ressources telles que l'énergie et les nutriments. 
Pendant la pandémie de COVID, nous avions demandé de mettre en place une surveillance des eaux usées afin d'obtenir des données clés sur la présence de certains virus. Sans une connaissance parfaite de nos eaux usées, le pouvoir politique ne pourra pas mettre en place de mesures cohérentes. 
Pour conclure, je tiens à réaffirmer notre soutien aux habitants des territoires d'outre-mer français qui souffrent d'une gestion de l'eau catastrophique de la part du gouvernement français d'Emmanuel Macron. Je rappelle aussi que la majorité parlementaire ici présente a refusé, par pur sectarisme, d'ajouter un débat sur la situation critique que traversent actuellement les départements d'outre-mer. C'est une véritable honte. Alors comptez sur nous pour que partout, dans chaque territoire métropolitain ou d'outre-mer, les Français aient accès à une eau potable.
"
Aurélia BEIGNEUX,2023-10-05,FR,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-087-0000_FR.html,"  Aurélia Beigneux (ID).   – Madame la Présidente, en dix ans, le nombre de contenus pédopornographiques a augmenté de 6 000 %. Quinze ans d’accès démocratisé à Internet n’ont pas fait disparaître la pédocriminalité en ligne. Bien au contraire, elle menace toujours nos enfants. Et même au moment où je vous parle, les prédateurs sexuels se camouflent sur des plateformes populaires comme TikTok, pour ne citer qu’elle. Se faisant passer pour des adolescents, ils manipulent nos enfants, gagnent leur confiance et les incitent finalement à partager des images intimes.
Avec la multiplication des réseaux sociaux, ce fléau s’est propagé de manière insidieuse. Il est donc temps de prendre des mesures concrètes. Nous devons renforcer la collaboration transfrontalière entre les forces de l’ordre et les associations de protection de l’enfance. La surveillance et la régulation d’Internet nécessitent une coopération accrue avec les fournisseurs de contenus qui ont une responsabilité évidente dans la signalisation des contenus déviants.
Avec 750 000 prédateurs sévissant actuellement sur Internet, il est impératif d’agir rapidement, avec détermination et fermeté pour protéger nos enfants de ces délinquants sexuels. 
"
Aurélia BEIGNEUX,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-261-0000_FR.html,"  Aurélia Beigneux (ID).   – Monsieur le Président, Madame la Commissaire, vous nous demandez aujourd'hui de donner un blanc-seing d'une décennie sur un produit dont les conséquences sanitaires sur les consommateurs comme sur les agriculteurs font encore débat, car les études se révèlent toutes contradictoires. Si la dépendance à ce produit nous empêche d'appliquer un principe de précaution ferme, nous ne pouvons pas laisser une telle latitude à une substance et à ses adjuvants parfois plus toxiques que le glyphosate lui-même. 
Une majorité d'agriculteurs souhaite sortir du tout chimique. Seulement, la violence que préconisent les extrémistes de l'environnement est suicidaire. Arrêter dès aujourd'hui le glyphosate, c'est signer l'arrêt de mort de plusieurs filières stratégiques de notre agriculture et menacer directement notre souveraineté alimentaire. 
Au même moment, on multiplie les traités de libre-échange avec le monde entier, ce même monde qui associe OGM et glyphosate déversés à outrance. L'extrémisme est une impasse de l'esprit. Refusons-le, qu'il soit vert ou ultralibéral. Que la Commission renouvelle donc son autorisation, mais sur cinq ans et non sur dix ans, et qu'elle offre surtout les moyens d'une alternative réaliste pour les agriculteurs et bien sûr pour notre santé. Qu'elle se tienne à un suivi strict et un soutien effectif à la recherche d'alternatives, comme avec le projet Horizon de traitement des sols au laser. 
Il faut que la BEI également mette en œuvre des garanties de prêts bancaires pour les investissements innovants issus de la recherche agronomique. Et enfin, revoyons le règlement d'autorisation. Développons un système de contre-expertise indépendant. Libérons-nous des sociétés agrochimiques et des semenciers qui ont le monopole de l'alimentation mondiale. Alors à ce jour, évidemment, nous ne pouvons pas faire autrement que d'utiliser le glyphosate. Mais nous ne pouvons pas nous satisfaire de cette situation. Nous appartenons depuis deux millénaires à une grande civilisation agricole, alors restons-le en étant une Europe des nouvelles technologies.
"
Aurélia BEIGNEUX,2023-09-11,FR,Surface water and groundwater pollutants (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-088-0000_FR.html,"  Aurélia Beigneux (ID).   – Madame la Présidente, Monsieur le Commissaire, la préservation des eaux est un sujet majeur, essentiel à toute forme de vie sur notre planète. L’eau doit être préservée et la question de la pollution des nappes phréatiques, des océans et des cours d’eau doit être traitée de façon sérieuse. 
Mais comme toujours, ce Parlement accumule les normes punitives pour nos entreprises sans jamais prendre en compte la réalité du terrain. Alors que nos agriculteurs souffrent des conditions climatiques et de l’inflation, les normes environnementales doivent être raisonnables et adaptées aux spécificités locales. L’Europe est le continent de l’excellence et de l’innovation. Donnons-nous les moyens de réussir sur ce sujet au lieu d’asphyxier les acteurs économiques sous des normes toujours plus contraignantes.
En opposition à votre Europe punitive, nous appelons à une Europe des nations favorisant la collaboration entre États afin de lutter contre la pollution transfrontalière. C’est dans une coopération de bon sens que nous pourrons lutter efficacement contre la pollution. La protection des eaux et la préservation de notre environnement ne doit pas se faire aux dépens de notre économie et de nos agriculteurs. Si nous souhaitons un avenir durable pour les générations futures, il est impératif de travailler ensemble.
"
Aurélia BEIGNEUX,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-018-0000_FR.html,"  Aurélia Beigneux,  au nom du groupe ID. – Monsieur le Président, Monsieur le rapporteur, la Commission européenne et les groupes de gauche nous ont habitués à des inepties économiques et politiques quand il s’agissait du pacte vert.
Mais cette proposition a atteint un niveau inégalé d’absurdité, de déconnexion et de mépris envers nos agriculteurs et nos États membres. Pire encore, cette fois, la Commission a menacé directement de représailles les députés qui demandaient légitimement une étude d’impact sur notre production alimentaire. D’ailleurs, où est M. Timmermans, vice-président de la Commission européenne, chargé du pacte vert, pour défendre ce texte si important? Visiblement, il n’assume pas son attitude scandaleuse et antidémocratique.
Alors que nous faisons face à une crise alimentaire imminente, vous persistez dans vos chimères utopiques, sacrifiant nos producteurs sur l’autel de vos fantasmes idéologiques et écologiques. Pourquoi voulez-vous vous immiscer dans les politiques urbaines des États membres? La végétalisation de nos villes est certes une bonne chose et apporte de nombreux avantages, mais il revient aux États et aux élus locaux de prendre ces décisions et certainement pas à une Commission qui pense avoir l’exclusivité de toutes les politiques.
Je rappelle également que les forêts sont du ressort des nations. Les objectifs contraignants imposés par la Commission européenne n’ont donc aucune légitimité. Alors que ce texte a été rejeté dans les trois commissions, les groupes de gauche, au mépris de la démocratie, essaient de le ressusciter avec des amendements de plénière. Le rejet de ce texte doit être définitif pour envoyer un message clair à la Commission européenne et donc aux groupes de gauche.
Alors, oui à la préservation de la nature de notre patrimoine et de nos terres agricoles. Et non à cette proposition absurde et oppressive de la Commission européenne. Il est grand temps que vous cessiez de nuire à nos agriculteurs et à nos États membres, au nom de vos lubies idéologiques.
"
