MP,Date,Language,Title,Url,Content
Axel VOSS,2023-07-13,DE,Global Convergence on Generative AI (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-043-0000_DE.html,"  Axel Voss,  im Namen der PPE-Fraktion. – Herr Präsident, Frau Vizepräsidentin, liebe Kolleginnen und Kollegen! Generative KI ist eine neue Qualität, mit der wir uns auseinandersetzen müssen, auch innerhalb der künstlichen Intelligenz selber. Deshalb ist es auch wichtig, hier einen guten Rahmen dafür zu setzen, den zu erreichen – und das auch eher global als regional. Das wäre natürlich gut. Wir haben bei den Verkehrszeichen überall globale Anerkennung. Eigentlich müssten wir das bei Daten haben, wir müssten das jetzt bei KI setzen, aber da gehen noch die globalen Interessen zu weit auseinander.
Insofern ist es aber eine gute Idee, über das, was aus der Kommission kommt, über einen Verhaltenskodex oder AI Pact oder ein labelling scheme auch nachzudenken, bloß nicht so darüber nachzudenken, dass wir am Ende alle verwirrt haben, sondern dass wir hier auch klare Zeichen setzen. Das hat sicherlich aus meiner Sicht durchaus einen Mehrwert für die ganze Entwicklung und auch insbesondere für den noch abzuschließenden AI Act. Aber wir werden eben nur dann wahrgenommen werden, wenn wir auch digital stark sind. Wenn wir nur irgendwo mitlaufen, dann werden wir eben nicht führend sein.
Deshalb sollte das Ganze, wie Sie auch schon sagten, Hand in Hand gehen mit den derzeitigen Verhandlungen. Es sollte eben die Verhandlungen auch nicht zu stark beeinflussen, sondern einmal das Ergebnis widerspiegeln. Nach meiner Überzeugung brauchen wir als Europäisches Parlament dann auch die Möglichkeit, hier zu partizipieren. Es muss auch sichergestellt werden, dass wir nicht wie bei der Datenschutz-Grundverordnung eine unterschiedliche Behandlung und Anwendung dieses Gesetzes haben, denn das bringt uns dann auch mit diesen Ideen nicht weiter. Es muss daneben auch an einer Strategie gearbeitet werden, die unser digitales Überleben in Europa sichert, auch in diesen KI-Fragen. Das schaffen wir aber nicht hauptsächlich durch angstgetriebene Regulierung, sondern wir brauchen hier mehr Ausbildung. Wir haben die Leute, die das schaffen können. Aber die arbeiten in der Regel eben nicht für europäische Unternehmen.
Wir sollten dann auch führend sein und führend werden in der Entwicklung von Standards – das halte ich für sehr wichtig – und deren Verankerung auch in den internationalen Standardisierungsorganisationen. Nur so werden wir das, was hier als Idee vorliegt, auch als Wertestandard entwickeln können. Wir sollten den TTC viel mehr nutzen, intensivieren auf einer Art entweder westlichen Ebene oder einem globalen Level. China ist und bleibt eine Herausforderung, und wir werden eben nicht deshalb gut sein, weil wir lauter Regulierungsideen entwickeln, sondern wir werden eben nur dann gut sein, wenn wir auch sehr praktisch und auch in den Anwendungen einfach führend sind oder eben mitspielen können.
"
Axel VOSS,2023-06-13,DE,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-134-0000_DE.html,"  Axel Voss,  Verfasser der Stellungnahme des mitberatenden Rechtsausschusses. – Herr Präsident, Frau Vizepräsidentin, Herr Kommissar! Liebe Kolleginnen und Kollegen, recht herzlichen Dank auch für die ganze Zusammenarbeit, die uns zu einem Kompromiss gebracht hat. Die Wichtigkeit von KI muss man noch einmal, glaube ich, herausstellen. Das ist die Grundlage jeglicher Entwicklungen, die wir in der Zukunft im Digitalen haben werden.
Deshalb ist die Balance hier richtig: Es muss ausgewogen und es muss praxisnah sein. Während im KI-Weißbuch 2020 noch von einem Ökosystem der Exzellenz und einem Ökosystem des Vertrauens gesprochen wurde, haben wir hier in dem Vorschlag eigentlich nur noch das Ökosystem des Vertrauens, dazu die oftmals angstgetriebenen Vorschläge. Das macht das ganze Projekt aus meiner Sicht noch zu unausgewogen. Wie wollen wir so letztlich auch zur KI-Weltspitze aufschließen?
Das, was wir heute auf dem Tisch liegen haben und worüber wir morgen abstimmen werden, bedarf meines Erachtens zusätzlicher Maßnahmen, damit das auch für unsere Industrie am Ende zu einer Erfolgsgeschichte werden kann. Die Kommission und die Standardisierungsorganisationen müssen nun rechtzeitig die essenziellen Orientierungshilfen ergreifen und technische Standards bereitstellen. In den Trilogverhandlungen sollten wir meines Erachtens noch die Überschneidungen und Widersprüche mit vielen anderen Digitalgesetzen und sektoriellen Regelungen konsequent identifizieren und auch beheben. Es muss meines Erachtens auch sichergestellt werden, dass innerhalb der Europäischen Union tatsächlich dieselben Regeln gelten. Wir sollten also die Fehler der DSGVO hier nicht wiederholen.
Wir sollten über Innovationsförderung sprechen − durch besseres Training von Datensätzen muss es nämlich eben auch signifikant verbessert werden. Und meines Erachtens noch ein letzter Punkt: Für die KMU und Startups muss diese teure Einhaltung der Digitalgesetze irgendwie etwas erleichtert werden. Wir müssen dort mehr Ausnahmeregelungen schaffen und vielleicht auch in die KI-Wertschöpfungsketten unterstützend eingreifen, damit wir auch die Chance haben, als Kontinent insgesamt nach vorne zu kommen.
"
Axel VOSS,2023-05-31,DE,Corporate Sustainability Due Diligence (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-085-0000_DE.html,"  Axel Voss,  im Namen der PPE-Fraktion. – Sehr verehrter Herr Präsident, sehr verehrter Herr Kommissar, liebe Kolleginnen und Kollegen – insbesondere aus der Arbeitsgruppe des JURI-Ausschusses! Ich danke recht herzlich für die sehr vertrauensvolle und respektvolle Zusammenarbeit. Auch wenn wir immer inhaltlich extrem auseinanderlagen, so haben wir es am Ende doch geschafft, hier zumindest Kompromisse zu erreichen.
Es ist ein sehr politisches Thema – auch innerhalb der EVP –, und deshalb ist es auch nicht einfach für uns. Wir sind hier auch an einen Punkt gelangt, wo wir sagen müssen: Wir müssen den bürokratischen Aufwand gerade für die Unternehmen stoppen, und insbesondere natürlich auch für die kleinen und mittelständischen Unternehmen. Und wir müssen dabei auch die Realitäten beachten, in denen wir uns im Moment bewegen – ob das jetzt COVID ist, ob das der russische Angriffskrieg ist oder ob das die Expansion von China ist. Deshalb ist es ein schwieriges Umfeld, und deshalb würde ich auch sagen, dass ich eigentlich ursprünglich von der Kommission einen noch besseren Vorschlag erwartet hatte, in dem das mehr ausbalanciert ist.
Worauf wir besonders viel Wert legen, ist im Grunde eine Vollharmonisierung. Die Unternehmen brauchen einen Binnenmarkt, in dem sie auch arbeiten können, und nicht, dass wir das eigentlich den Mitgliedstaaten überlassen. Da hätte ich mir mehr Mut gewünscht, mehr forscheres Vorangehen – obwohl natürlich die rechtliche Situation schwierig ist, aber ich glaube, das wäre schon adäquat gewesen.
Die Brancheninitiativen, die wir jetzt vereinbart haben, sind etwas, wo ich Hoffnung schöpfe, dass wir zumindest hier etwas mehr Harmonisierung reinbekommen. Für uns ist auch der risikobasierte Ansatz besonders wichtig, mit dem wir uns konzentriert auf die Stellen oder die Lieferketten orientieren, an denen auch wirklich Risiken bestehen, und wir nicht einfach so etwas ins Blaue hinein machen.
Was für uns natürlich immer wieder extrem wichtig ist, ist, den bürokratischen Aufwand hier so gering wie möglich zu halten. Ich glaube nach wie vor, wenn wir die Unternehmen noch mehr umarmen würden und sie fragen und ihnen sagen würden: „Macht doch dieses!“ – und sie fühlen sich den Zielen verpflichtet, dann würden wir bessere Ergebnisse erreichen, als wenn wir sie jetzt einfach nur so verpflichten werden.
Aber ich denke, die Kompromisse sind da. Wir haben eine gute Grundlage, mit der wir arbeiten können. Nicht alles, was dort drinsteckt, gefällt mir oder uns. Aber ich hoffe, dass wir auch noch die eine oder andere Verbesserung im Trilog hinbekommen werden – auch im Sinne der Unternehmen und auch im Sinne von weniger Bürokratie. 
"
Axel VOSS,2022-05-03,DE,Artificial intelligence in a digital age (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-03-INT-2-021-0000_DE.html,"  Axel Voss,  Berichterstatter. – Herr Präsident! Ich danke auch dafür, dass Sie hier das alles noch mal so gut erklären können, und ich finde es gut, dass Sie da sind. Aber auch Ihnen, Frau Vizepräsidentin, recht herzlichen Dank für Ihr Kommen, und liebe Kolleginnen und Kollegen, recht herzlichen Dank für das, was wir hier jetzt erreicht haben, und natürlich auch dem Sekretariat und unseren Assistenten. Wir haben viel erreicht, aber wir hätten auch noch mutiger oder revolutionärer eigentlich sein können, denn die künstliche Intelligenz ist eine Schlüsseltechnologie. Es ist die Schlüsseltechnologie, im Grunde eine Art Booster der Digitalisierung, und hat für uns hohe strategische Relevanz. 
Jeder Bereich unseres Lebens wird von diesem technologischen Wandel erfasst werden, und die Konsequenzen für unsere Wettbewerbsfähigkeit, für unseren Wohlstand, für unsere Sicherheit sind dabei eben nicht zu unterschätzen. Und ich finde, wir müssen uns eigentlich hier bei dieser schnelllebigen Entwicklung die Frage stellen: Wie wollen wir eigentlich als EU, als Europa überleben in einer digitalen und datengetriebenen Welt? Wie wollen wir mithalten mit anderen Regionen in der Welt, die weitaus konsequenter und gezielter Forschung und Entwicklung voranbringen, investieren, Talente ausbilden, die viel Geld in die Hand nehmen und viel flexibler auf neue Entwicklungen reagieren können?
Wir haben doch als Europa der Welt auch was zu bieten, indem wir eben unsere Werte verbinden mit einer Technologie. Und das gibt es in diesen anderen Regionen so nicht. Nur muss das in unserer doch auch sehr komplexen Struktur in einer Geschwindigkeit passieren, dass wir die ersten sind, die mit neuen Ideen rauskommen, dass wir künftig auch Entwicklungen schon antizipieren können. Das Beharren auf das, was einmal geschaffen wurde, ist der falsche Weg. Wir müssen uns eigentlich jeden Abend neu hinsetzen und uns überlegen, wie wir morgen besser sein können. 
Das soll uns alles keine Angst einjagen, sondern sollte uns Mut machen, denn dieser Wandel hat riesige Chancen für uns zum Wohl der gesamten Gesellschaft, ob das der Gesundheitsbereich ist, ob das die Nachhaltigkeit ist – das sollen ja nur einige Beispiele sein. All diese Chancen gilt es zu nutzen. Die haben wir aufgeführt in diesem Bericht, und mit unserem menschenzentrierten, vertrauenswürdigen Ansatz für die KI, der auch auf den Grundrechten, auf den europäischen Werten beruht, können wir eben all denjenigen Risiken auch entsprechend begegnen, die unsere Freiheit und Sicherheit infrage stellen. Social Scoring, Desinformation, automatisierte Waffen oder weniger drastische Beispiele: Das ist natürlich das, was wir nicht wollen. 
Mit diesem europäischen Ansatz haben wir aber die Chance, globale Standards zu setzen. Da müssen wir aktiver werden. Und diese Chance würden wir vertun, wenn wir im globalen Wettbewerb nicht weltweit führend sind. Sonst fallen unsere Standards zurück, und stattdessen enden wir als eine Art digitale Kolonie genau bei den Kräften, die unsere Werte dann nicht teilen.
Aktuell fällt die Europäische Union im Wettbewerb zurück, und uns fehlt es an Marktmacht, an Forschung, an Kompetenz. Und genau hier setzt der Bericht an: Was muss noch geschehen, damit wir möglicherweise besser vorankommen? Welche Schritte müssen in den nächsten Jahren gegangen werden, um KI mitzugestalten und nicht passiv zuzuschauen? Künstliche Intelligenz bringt den Wendepunkt in dieser digitalen Revolution in Europa, und dieser Bericht soll auch der Wendepunkt sein. 
Leider ist meine Zeit schon abgelaufen. Ich hätte gerne noch was zum Inhalt gesagt, aber das kann man vielleicht nachher noch nachholen. Ich möchte aber noch einmal allen recht herzlich danken, um dieses Ergebnis hier dann auch gebührend zu begehen.
"
Axel VOSS,2022-05-03,DE,Artificial intelligence in a digital age (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-03-INT-2-058-0000_DE.html,"  Axel Voss,  Berichterstatter. – Frau Präsidentin, liebe Frau Vizepräsidentin Vestager! Im Grunde, glaube ich, merken wir alle eins: Wir wollen nicht in Schönheit hier sterben. Werte sind wichtig, aber sie müssen ausbalanciert werden zu den Neuerungen auch einer Technologie, und das ist das, worauf es ankommt. Wir wollen eigentlich für den digitalen Bereich nur noch Verordnungen sehen, hier vorgeschlagen von der Kommission. Wir brauchen den besseren Zugang zu Daten, und damit meine ich auch personenbezogene Daten, weil nicht jede künstliche Intelligenz ohne personenbezogene Daten auskommen wird. 
Wir brauchen den einheitlichen Binnenmarkt – also viele Hausaufgaben, die wir Ihnen mitgeben. Wir brauchen die stärkere, robuste digitale Infrastruktur, was Sie erwähnt hatten, das Ökosystem der Exzellenz, das Ökosystem des Vertrauens, eine KI—Industriestrategie mit den nachhaltigen Investitionen, aber auch klare Regelungen für KI im Bereich von Sicherheit und stärkerer Kooperation, auch Cybersicherheit etc.
Wir brauchen natürlich aber auch den unbedingten Willen, digital als Europa, als Europäische Union überleben zu wollen und damit auch führend werden zu wollen. Wir brauchen eine Strategie, einen Plan, Konzeption und deren Umsetzung. Wir brauchen viel Geld, Talente, die Cybersicherheit, die Bündelung unserer Kräfte in Europa, damit wir auch zu einer Größe gelangen, europäische Projekte und am Ende natürlich Rechtssicherheit. 
Eine Aneinanderreihung von Rechtsakten, die jeder für sich genommen richtig sind, aber das macht aus meiner Sicht noch keinen Plan, noch keine Strategie für die Zukunft, für die Wettbewerbssituation, der wir ausgesetzt sind. Wir brauchen die Aufbruchsstimmung unserer Gesellschaft, und dazu brauchen wir politische Führung, die auch auf Ihren Schultern ruht. Und wir brauchen aber auch Mitgliedstaaten, die ihre Gesamtverantwortung auch endlich einmal wahrnehmen. 
Jedenfalls: Ich bedanke mich noch einmal recht herzlich bei allen Beteiligten, die dies ermöglicht haben, und hoffe, dass nachher die Abstimmung auch entsprechend das signalisiert, was wir alles wollen und was wir Ihnen mitgeben, sozusagen zur Umsetzung.
"
Axel VOSS,2021-03-25,DE,European strategy for data – Commission evaluation report on the implementation of the General Data Protection Regulation two years after its application (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-03-25-INT-2-046-0000_DE.html,"  Axel Voss,  Verfasser der Stellungnahme des mitberatenden Rechtsausschusses. – Frau Präsidentin, Herr Kommissar Reynders! Ich frage mich: Haben wir eigentlich noch den Willen und die Kraft, digital überleben zu wollen? Wenn wir global im digitalen Wettbewerb bestehen wollen, brauchen wir Datenräume, den Zugang zu Datenanalyse- und Trainingsmöglichkeiten sowie das Teilen von Daten. Das muss innovationsfreundlich und prinzipienbasiert sein und wir müssen die Rahmenbedingungen dafür schaffen, und die Kommission hat dafür gute Vorarbeit geleistet.
Doch der Mut und die Entschlossenheit und Zielgerichtetheit fehlen meines Erachtens, wenn es um Verbesserungen oder Modernisierung der Datenschutz-Grundverordnung geht. Einige Kollegen und auch einige Teile der Kommission scheinen immer noch zu glauben, dass man das Rennen um die digitalen Erfolge auch ohne personenbezogene Daten erreichen kann. Und es gibt Möglichkeiten heute, Datenschutz, Innovation und Wettbewerb durchaus miteinander zu verbinden. Man muss es nur wollen und auch zulassen. Und wenn hier der Ruck nicht kommt, bleiben wir Datenkolonie der USA oder Chinas, und das zeugt nicht unbedingt von einem Überlebenswillen.
"
Axel VOSS,2021-03-08,DE,Corporate due diligence and corporate accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-03-08-INT-1-116-0000_DE.html,"  Axel Voss,  im Namen der PPE-Fraktion. – Frau Präsidentin! Es ist mir eine besondere Freude, heute unter Ihrem Vorsitz hier auch sprechen zu können, und lieber Herr Kommissar, recht herzlichen Dank auch für Ihre Rede.
Das Ganze war in der Tat eine große Zusammenarbeit, Teamwork. Was wir hier erreicht haben, das war nicht einfach, das müssen wir auch sagen. Aber es lohnt sich für das Ziel, das wir hier erreichen wollen – nämlich verbindliche Sorgfaltspflichten sind eben der wichtige Schritt hier, für mehr Verantwortung in einer Europäischen Union auch entsprechend Lieferketten für Menschenrechte und Umwelt herzustellen.
An die Kommission – auch da möchte ich noch einmal darauf hinweisen: Der Ball liegt jetzt in Ihrem Feld. Das Ganze ist – auch das sei noch einmal gesagt – kein Selbstläufer. Es ist insbesondere für Sie jetzt auch entsprechend an der Zeit, zu sagen oder uns vorzuschlagen, was wir, wo wir keine Lösungen gefunden haben – nämlich auch hinsichtlich einer bestimmten Größenbeziehung von Unternehmen, wie wir das am Ende machen. Und deshalb ist immer zu überlegen, starre Größen, wie sie in manchen Mitgliedstaaten diskutiert werden, sind höchstwahrscheinlich für das Ziel hier nicht besonders hilfreich.
Aber was eben insgesamt notwendig ist für einen europäischen Rahmen, ist eine Vollharmonisierung, obwohl ich weiß, dass die rechtlichen Möglichkeiten hier eingeschränkt sind. Aber wir sollten es halbwegs doch versuchen anzustreben. Deshalb ist für uns eben wichtig, dass wir Rechtssicherheit für Unternehmen haben, dass wir Entlastungen auch für die KMU haben, ob das Programme sind, Digitalisierung oder die Verpflichtung von Mitgliedstaaten, hier auch zu helfen. Wir brauchen meines Erachtens auch den sogenannten risikobasierten Ansatz, weil in einer ersten Lieferkette manche große Unternehmen 200 000 bis 300 000 Erstlieferanten haben. Und das ist nicht etwas, was leicht zu schaffen ist. Deshalb: risikoorientiert, nach Sektor, nach Standort. Und die Unternehmen sollen hier auch selber priorisieren können, und die zivile Haftung hier in dem Fall auch nur für den Fall, dass auch dort nur die Haftung existiert, wo wir hier einen direkten Schaden sozusagen auch verantwortlich machen können.
Deshalb noch mal: Es ist wichtig, hier für Unternehmen diese Balance hinzubekommen. Darauf achten wir sehr. Deshalb auch noch mal der Dank an die Berichterstatterin, an alle Schattenberichterstatter, dass es uns gelungen ist, diese Balance herzustellen. Herzlichen Dank für die Kooperation.
"
Axel VOSS,2020-10-19,DE,"Digital Services Act: Improving the functioning of the Single Market - Digital Services Act: adapting commercial and civil law rules for commercial entities operating online - Digital Services Act and fundamental rights issues posed - Framework of ethical aspects of artificial intelligence, robotics and related technologies - Civil liability regime for artificial intelligence - Intellectual property rights for the development of artificial intelligence technologies (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2020-10-19-INT-1-029-0000_DE.html,"  Axel Voss,  Berichterstatter. – Frau Präsidentin, liebe Frau Vizepräsidentin Vestager! Zunächst einmal handelt mein Bericht jetzt von Haftung und künstlicher Intelligenz, und ich möchte zunächst einmal den Schattenberichterstattern recht herzlich danken, weil wir hier einen sehr kooperativen spirit hatten, der uns weiter nach vorne gebracht hat, der aber letztlich auch ein starkes Signal sendet, sowohl an die Kommission als auch an die Mitgliedsstaaten. Die Digitalisierung insgesamt ist natürlich für die Gesellschaft, für die Wirtschaft von extrem großer Bedeutung und Herausforderung, aber es geht meines Erachtens eben auch um unser wirtschaftliches Überleben.
Die künstliche Intelligenz nimmt in diesem Zusammenhang einen besonderen Stellenwert ein und stellt eine besondere Herausforderung dar und ist von strategischer Relevanz für unsere wirtschaftliche Entwicklung insgesamt. Wir werden den Wettbewerb nur wirklich aufnehmen können, wenn wir tatsächlich auch einen digitalen Binnenmarkt hinbekommen, weil wir sonst anderen Regionen dieser Welt einfach zu fragmentiert gegenüberstehen.
Und deshalb, meine ich, müssen die Mitgliedsstaaten hier auch in sich gehen und auch mal über ihre Kompetenzen hinausgehen und sagen, das ist zum Wohl aller, wenn wir uns über zivilrechtliche Haftung auch entsprechend unterhalten. Da kann man nicht einfach blockieren und dann sagen, das ist unsere Kompetenz. Nein, hier geht es um einen digitalen Binnenmarkt, um unser aller Vorankommen. Folgerichtig fordern wir diesbezüglich im Grunde auch eine Verordnung, und wir meinen das auch wirklich ernst, gerade im Hinblick auf diesen digitalen Binnenmarkt.
Was hat uns eigentlich dazu geleitet, das zu machen? Wir wollen, dass der Einzelne auch eine Entschädigung erhält wie nach dem normalen nationalen Deliktsrecht. Wir wollen aber auch, dass er nicht darlegen muss, ob es jetzt die Software, die Hardware, die falsche Betreibung oder falsche Algorithmen waren. Wir wollen einfach, dass er entschädigt wird. Wir wollen auch existierenden Haftungsregelungen aus den Mitgliedsstaaten entsprechen. Wir wollen keine Verhinderung von künstlicher Intelligenz und deren System, und wir wollen zukunftsorientiert nach vorne gehen. 
Warum meinen wir, dass das wichtig ist? Wir sitzen jetzt in dieser Zeit da dran, das zu entwickeln. Wir brauchen deshalb eine klare Sicht auf die Dinge, eine Rechtssicherheit, eine Rechtsklarheit, einen voll harmonisierten Rahmen, keine Fragmentierung, um hier die unterschiedlichen Anwendungen im Binnenmarkt auch auszuschließen. Wir wollen auch Klarheit haben – nicht erst durch höchstinstanzliche Gerichte nach fünf bis acht Jahren –, und wir wollen Rechtslücken füllen. 
Deshalb aber gibt es am Ende keine Überregulierung, deshalb ist das Ganze keine Revolution, sondern lediglich das Verbinden von entsprechenden risikoreichen künstlichen Intelligenzsystemen zu dem, was schon existiert, und diese Verbindung zu dem existierenden Recht halten wir auch für vernünftig. Deshalb müssen wir immer nochmal beachten, dass wir als Rechtsausschuss im Moment auch kein kohärentes System bieten können, weil wir internen Regelungen folgend bestimmte Dinge einfach nicht berücksichtigen können.
Das Ziel ist es hier eigentlich, sich auch nur auf Hochrisikoanwendungen zu beschränken, weil wir denken, nur das macht eigentlich dann auch Sinn, das mit einer entsprechenden Haftung zu versehen. Andere Risiko-KI-Systeme werden ohnehin den normalen Rechtsfolgen von Haftung entsprechend unterzogen. 
Wir wollen wegen der Rechtsklarheit eine klare Liste haben, welches KI—System darunter fällt, und wir wollen als Gesetzgeber flexibel agieren, dass wir auch schnell auf rasante Veränderungen hinweisen können, indem wir der Kommission delegierte Rechtsakte anheimstellen. Darüber hinaus ist auch der immaterielle Schadensersatz angesprochen, und da bitten wir die Kommission zu prüfen, ob es auch hier Harmonisierungsbedarf gibt.
"
Axel VOSS,2020-10-19,DE,"Digital Services Act: Improving the functioning of the Single Market - Digital Services Act: adapting commercial and civil law rules for commercial entities operating online - Digital Services Act and fundamental rights issues posed - Framework of ethical aspects of artificial intelligence, robotics and related technologies - Civil liability regime for artificial intelligence - Intellectual property rights for the development of artificial intelligence technologies (continuation of debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2020-10-19-INT-1-104-0000_DE.html,"  Axel Voss,  Berichterstatter. – Herr Präsident, liebe Frau Vizepräsidentin Vestager, lieber Herr Roth. Ich finde es schön, Herr Roth, dass Sie heute Abend noch zu dieser eigentlich wichtigen Debatte gekommen sind, und ich möchte gerne auch nochmal darauf Bezug nehmen, was ich vorhin gesagt hatte. Wie schaffen wir es eigentlich, all die guten Ideen, die jetzt seitens der Kommission oder auch seitens des Parlaments kommen, in die Mitgliedsstaaten entsprechend hineinzutragen? 
Wenn es Europa nicht gelingt, als eins zu handeln am Ende des Tages, werden wir den Wettbewerb gegenüber China und den USA letztlich nicht gewinnen können. Deshalb brauchen wir hier, glaube ich, ein anderes mind setting in den Mitgliedsstaaten, nämlich, dass wir ein europäisches Ziel verfolgen und nicht ein nationales Ziel auf europäischer Ebene.
Ich weiß nicht, wie wir das hinkriegen, und es soll kein Vorwurf an Sie sein, weil ich weiß, dass Sie da ganz anders aufgestellt sind. Aber ich glaube, das ist eines der wesentlichsten Dinge, warum es uns nicht gelingen wird, sollten wir mit Europa nicht vorankommen, oder warum es uns nicht gelingen wird, das dann entsprechend umzusetzen. Deshalb meine ich, müssen wir darauf hinarbeiten, dass wir wirklich als eins handeln.
Natürlich sind die einzelnen Punkte, die wir heute vorgestellt haben, nur ein kleiner Baustein dazu. Wir brauchen darüber hinaus viele, viele andere kleine Punkte, ob nun Geld, Investment und Infrastruktur etc., um digital souverän zu werden, um mithalten zu können.
Es liegt, meine ich, auch an den Mitgliedsstaaten, dass wir uns hier zu sehr blockieren, und darum würde ich bitten, dass wir da nochmal vorankommen. Wir brauchen, glaube ich, eine vernünftige Strategie, eine Konzeption diesbezüglich, und ich glaube, das, was wir heute gehört haben, kann auch noch verbessert werden durch die Kommission selber. 
Letztlich müssen wir, glaube ich, auch die Regeln, die wir haben, nachher durchsetzen. Aber bei all dem führt kein Weg daran vorbei, dass wir als Einheit handeln müssen und uns nach vorne orientieren müssen und eben nicht nur darauf bedacht sein dürfen, dass es in Frankreich, Deutschland, Spanien etc. irgendwie gut läuft. Wir müssen als Europa in Gänze den Schritt nach vorne wagen.
"
Axel VOSS,2020-05-14,DE,Use of contact tracing apps in the fight against the coronavirus (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2020-05-14-INT-2-111-0000_DE.html,"  Axel Voss (PPE).   – Herr Präsident! Die extreme Krise erfordert es, letztlich so schnell wie möglich in den Alltag zurückzukehren, und hierbei helfen Tests, Schutzmasken und eben auch Tracing-Apps, also eine digitale Lösung.
Es ist dabei auch offensichtlich, dass man hier europäisch zusammenarbeiten muss, und das heißt eben auch, dass man in Zukunft schnell die benötigten Standards vorlegen muss. Die Empfehlungen der Kommission waren hier sehr lobenswert in puncto Datenschutz, Interoperabilität, bloß fehlten am Anfang eben bei dieser Entwicklung die interoperablen Apps mit den technischen Vorgaben, und das führt letztlich zu Fragmentierungen.
Dabei muss ich mir auch die Frage stellen, warum eigentlich nicht der Rat selber mal auf die Idee kommt zu sagen: Wir müssen in dieser Krise auch zusammenarbeiten und hier vielleicht auch mal ein leuchtendes Beispiel in dieser Zusammenarbeit geben, und deshalb muss hier auch mehr an der Einstellung des Rates gearbeitet werden. Die EU muss hier Führung übernehmen, gerade bei einer solchen extremen Krise. Wir müssen gemeinsam handeln, auch im Digitalen, und die Effizienz dieser ganzen Tracing-Apps auch unter den Gesichtspunkten betrachten, was wirklich effizient ist und nach vorne führt.
"
