MP,Date,Language,Title,Url,Content
Beatrice COVASSI,2023-11-22,IT,"This is Europe - Debate with the Prime Minister of Bulgaria, Nikolay Denkov (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-094-0000_IT.html,"  Beatrice Covassi (S&D).   – Signora Presidente, signor Primo ministro, onorevoli colleghi, cos'è l'Europa oggi? Un progetto comune che deve diventare ogni giorno di più orizzonte di speranza per i suoi cittadini. Questo significa andare avanti sull'allargamento dell'area Schengen, come lei ha giustamente rivendicato, garantendo libertà di movimento e opportunità per tutti. Così come serve progredire sull'adesione alla valuta comune per rafforzare economia e mercato interno. 
Ma una cosa deve essere chiara: l'Unione europea non è soltanto un grande blocco commerciale ed economico. L'Europa è una comunità di destino che si regge sui valori comuni sanciti dai trattati e fa della coesione, della solidarietà e della pace le sue armi più potenti. 
Questa consapevolezza deve riflettersi nel nostro lavoro da qui alle elezioni europee. È necessario che l'Europa parli con una voce sola in politica estera – penso all'Ucraina e all'impegno per la pace in Medio Oriente, dove in queste ore arriva una prima tregua – che rafforzi democrazia, crescita sostenibile e inclusione con la riforma dei Trattati, del Patto di stabilità e crescita, del diritto di asilo e consolidi l'Unione della salute. 
Siamo all'appuntamento della storia, cari colleghi. E allora è tempo di ritrovare oggi il coraggio della politica. 
"
Beatrice COVASSI,2023-11-08,IT,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-027-0000_IT.html,"  Beatrice Covassi (S&D).   – Signora Presidente, onorevoli colleghi, nella notte tra giovedì 2 e venerdì 3 novembre, come è stato ricordato, la Toscana è stata colpita da queste precipitazioni eccezionali che hanno provocato catastrofiche alluvioni, otto persone hanno perso la vita e migliaia sono state costrette a lasciare le proprie case.
I danni sono molto ingenti, come la collega ha ricordato, con stime altissime; io stessa venerdì mi sono recata a Prato, una delle province più colpite, per portare solidarietà e vicinanza alle comunità. Lo scenario era drammatico ma ho anche testimoniato l'orgoglio e la forza di una popolazione già impegnata a rialzarsi, con un encomiabile sforzo da parte delle amministrazioni locali, della Protezione civile e di migliaia di volontari già all'opera per liberare le strade dal fango. Voglio oggi condividere con voi l'appello che ho ricevuto da questi cittadini, a non essere lasciati soli dall'Europa nell'impegnativo compito che li aspetta.
L'Unione prevede degli strumenti e li attiveremo ma, colleghi, questa ennesima catastrofe naturale ci invita ancora una volta a ribadire la necessità di mettere in sicurezza i territori a rischio di dissesto idrogeologico e potenziare le azioni di contrasto e adattamento ai rischi legati al cambiamento climatico.
Concludo esprimendo la nostra vicinanza alle famiglie colpite e chiedo alla Presidenza di osservare un minuto di silenzio per ricordare le vittime.
"
Beatrice COVASSI,2023-10-19,IT,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-035-0000_IT.html,"  Beatrice Covassi (S&D).   – Signora Presidente, onorevoli colleghi, oltre un milione e mezzo di cittadini europei si sono mobilitati per sostenere la petizione che chiede di mettere fine agli allevamenti da pelliccia in Europa. 
Confinare gli animali in piccole gabbie e ucciderli solamente per il valore della loro pelliccia non è più accettabile. Cari colleghi, è dal 2007 che il principio del benessere degli animali è incluso nei trattati, ma non è solo una questione etica che, personalmente, credo imponga di mettere fine a una pratica crudele. Bisogna anche mettere in luce i rischi di questi allevamenti per la salute, sia umana che animale. Ricordiamo quanto è successo durante la pandemia, con centinaia di allevamenti di visoni colpiti da infezioni e nuove varianti del virus trasmesse dagli animali agli umani, con 17 milioni di animali soppressi nella sola Danimarca per scongiurare i contagi. Immagini scioccanti che abbiamo ancora negli occhi.
La pandemia ci ricorda l'importanza dell'approccio ""One Health"", una salute: salute umana, animale e dell'ambiente sono connesse. Gli allevamenti di animali da pelliccia sono già vietati o resi impossibili in 18 Stati europei. I tempi sono quindi maturi per un'iniziativa della Commissione. Colleghi, prendiamoci cura della nostra salute e lasciamo agli animali le loro pellicce.
"
Beatrice COVASSI,2023-10-18,IT,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-218-0000_IT.html,"  Beatrice Covassi (S&D).   – Signora Presidente, Alto rappresentante, siamo su un crinale della Storia. 
La pandemia, il conflitto in Ucraina, i fenomeni migratori, la rivoluzione digitale e la crisi ambientale trasformano costantemente il nostro vivere. Citando Papa Francesco: ""Oggi non viviamo un'epoca di cambiamenti, ma un cambiamento d'epoca"".
Essere all'altezza di questo tempo significa dare corpo e anima a un'Europa geopolitica che si affermi come attore globale, una potenza al servizio dei nostri valori fondamentali: democrazia, rispetto dei diritti umani, sicurezza, sostenibilità e giustizia sociale, geopolitica e politica commerciale e di sviluppo, diplomazia, ma anche politica industriale e autonomia strategica, ma non basta, resta da costruire l'Europa della difesa e della sicurezza.
La guerra in Ucraina ci ha messi di fronte ai nostri limiti e i fatti drammatici di questi giorni, con l'attacco di Hamas a Israele e la crisi umanitaria a Gaza, ci obbligano a scegliere. Se continuiamo a parlare con tante voci nazionali contraddittorie ci condanniamo alla debolezza e all'irrilevanza. Solo se sapremo essere uniti potremo contribuire a una Storia nuova.
"
Beatrice COVASSI,2023-10-16,IT,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-139-0000_IT.html,"  Beatrice Covassi (S&D).   – Signora Presidente, signor Commissario, onorevoli colleghi, l'istituzione della piattaforma STEP è una buona notizia. Facciamo, come suggerisce la parola, un primo passo per dare una spinta agli investimenti nelle tecnologie strategiche per l'Europa.
In questi ultimi anni, prima con la pandemia e poi con l'aggressione russa all'Ucraina, abbiamo constatato la necessità vitale di rafforzare l'autonomia strategica europea, a partire da energia e farmaci.
Ma per ridurre la nostra dipendenza dalle importazioni nei settori tecnologici essenziali alla grande transizione serve una politica industriale europea, con adeguati investimenti per rafforzare le catene del valore, tenerci al passo con ricerca e innovazione e affrontare la sfida delle competenze e della manodopera necessarie.
La piattaforma STEP garantirà maggiore flessibilità agli strumenti finanziari europei, creando sinergie e rafforzandone l'efficacia. Si tratta di mobilitare e indirizzare i finanziamenti e dare visibilità ai progetti con un marchio europeo che ne riconosca il valore per l'autonomia strategica: ""Europa fecit"", direbbero gli antichi romani.
Ma questo non basta. Resto convinta che le sfide di oggi possano essere vinte solo insieme. E per questo, cari colleghi, serve un vero e proprio fondo sovrano europeo.
"
Beatrice COVASSI,2023-10-05,IT,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-052-0000_IT.html,"  Beatrice Covassi (S&D).   – Signor Presidente, onorevoli colleghi, a oltre trent'anni dalla prima direttiva europea, è ora di aggiornare le norme contro l'inquinamento delle acque reflue urbane.
Oggi le acque reflue di oltre 22 000 città europee sono trattate in sistemi centralizzati a beneficio di laghi, fiumi e mari. Tuttavia, la legge vigente si applica solo alle città sopra i 2 000 abitanti e stabilisce valori limiti ormai datati. Restano ancora fuori microplastiche e microinquinanti, nocivi per l'ambiente e per la salute anche a livelli molto bassi. Le nuove norme estendono il campo di applicazione e rafforzano i livelli di trattamento delle acque per includere anche i prodotti farmaceutici, gli ingredienti cosmetici e le microplastiche.
In tempi di emergenza idrica, anche nel mio paese, dobbiamo spingere per il riutilizzo delle acque reflue, che hanno un grande potenziale per il settore agricolo e le applicazioni industriali. 
Colleghi, l'acqua è vita, ma sta diventando sempre più scarsa. E tempo quindi di lavorare a un Blue Deal europeo per combattere l'inquinamento e usare al meglio la nostra risorsa più preziosa.
"
Beatrice COVASSI,2023-10-03,IT,Medicine shortages and strategic healthcare autonomy in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-261-0000_IT.html,"  Beatrice Covassi (S&D).   – Signor Presidente, onorevoli colleghi, signora Commissaria, questo dibattito lo dice chiaramente: l'allarme carenza farmaci è sempre più acuto in Europa; solo in Italia mancano all'appello più di 3 000 medicinali. Un fenomeno ormai strutturale, con carenze aumentate del 60 % negli ultimi anni, e che richiede risposte urgenti, a partire dalla riduzione della dipendenza da pochi produttori extra europei per i principi attivi necessari a fabbricare i medicinali.
Ma attenuare le carenze non basta. Dobbiamo puntare alla prevenzione con un coordinamento europeo tra i diversi anelli della catena distributiva e azioni per garantire ai nostri cittadini e alle nostre cittadine sempre le migliori cure.
Per questo chiedo a gran voce alla Commissione europea di attuare iniziative e strumenti, anche finanziari, che favoriscano la produzione europea di medicinali essenziali, principi attivi e trattamenti innovativi.
Colleghi, la risposta comune alla pandemia ci ha insegnato l'importanza dei sistemi sanitari, ma in troppi, a partire dal governo del mio paese, sembrano aver dimenticato, ancora una volta sacrificando la spesa sanitaria. Allora, che il diritto alla salute resti la nostra priorità e lavoriamo insieme da oggi per avere un'Unione europea della salute.
"
Beatrice COVASSI,2023-09-11,IT,Geographical indication protection for craft and industrial products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-186-0000_IT.html,"  Beatrice Covassi (S&D).   – Signor Presidente, onorevoli colleghi, signor Commissario Breton, i prodotti artigianali e industriali tipici dei nostri territori sono il fiore all'occhiello della creatività e della cultura manifatturiera europea.
Sono un tesoro di conoscenze e competenze spesso fatto di piccole e medie imprese, che sono essenziali per la vitalità economica dei territori, valorizzandone l'immagine e il potenziale turistico per qualità e unicità dei loro prodotti. Nella mia Toscana penso al Casentino, con il celebre panno, all'alabastro di Volterra, o ancora alle ceramiche di Montelupo Fiorentino, e la lista sarebbe lunga.
La nuova legge europea, che questo Parlamento chiede da anni, salvaguarda finalmente le indicazioni geografiche anche per i prodotti artigianali e industriali. Una tutela finora prevista per i soli prodotti agroalimentari. L'obiettivo è la protezione nel mercato europeo tramite una procedura semplice, digitalizzata e con oneri minimi. Tutela che sarà possibile estendere anche ai mercati terzi, includendo le nuove indicazioni geografiche negli accordi commerciali.
Con informazioni chiare e affidabili su origine geografica e tecniche di produzione, si dà anche un segnale importante ai consumatori, che sempre più apprezzano il valore di prodotti legati al territorio.
Cari colleghi, questa è l'Europa di cui essere orgogliosi, capace di valorizzare le sue eccellenze e di riconoscere l'infinita ricchezza dei suoi talenti.
"
Beatrice COVASSI,2023-07-12,IT,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-051-0000_IT.html,"  Beatrice Covassi (S&D).   – Signor Presidente, onorevoli colleghi, le conclusioni del Consiglio europeo ci parlano di una nuova Unione europea: ferma nel contrastare l'aggressione russa all'Ucraina, impegnata a rispondere alle sfide globali – sicurezza e difesa, ma anche innovazione e sostenibilità – portando avanti la duplice transizione verde e digitale.
L'Europa si sta finalmente ritagliando un ruolo di attore globale, un ruolo che potremo svolgere però solo se saremo più grandi della somma degli interessi nazionali.
L'Europa oggi è bene comune. Penso alla dimensione sociale, citata ancora troppo brevemente nelle conclusioni del Consiglio; penso alla salute e alla solidarietà intergenerazionale in una crisi demografica che ci interpella tutti e richiede risposte nuove in termini di servizi, welfare e infrastrutture sociali.
Siamo di fronte a sfide epocali che richiedono visione politica e risorse finanziarie. È urgente usare le risorse già previste per la duplice transizione a partire da NextGenerationEU e, su questo, voglio esprimere la mia preoccupazione per i ritardi che si stanno verificando nel mio paese sul PNRR.
Ma non basta! Colleghi, possiamo e dobbiamo fare di più per costruire un'Europa che diventi davvero bene comune per tutti.
"
Beatrice COVASSI,2023-07-12,IT,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-238-0000_IT.html,"  Beatrice Covassi (S&D).   – Signora Presidente, signor Commissario Gentiloni, onorevoli colleghi, le piccole e medie imprese rappresentano la spina dorsale dell'economia italiana ed europea, oltre 24 milioni di attività economiche che impiegano oltre 100 milioni di persone.
Dopo i ripetuti choc di questi anni, lo abbiamo sentito, dalla pandemia agli effetti della guerra, le piccole e medie imprese europee purtroppo si trovano oggi a fronteggiare un'impennata dei tassi di inflazione che, troppo spesso, si riflette anche in drammatiche difficoltà di accesso al credito.
Per questo è oggi urgente realizzare le misure annunciate dalla Commissione europea, che ha annunciato il commissario Gentiloni, per dare sollievo e sostegno alle piccole e medie imprese, inclusa l'importante direttiva sui ritardi dei pagamenti, spesso alla radice delle crisi aziendali.
Dobbiamo anche sostenere le PMI nei processi di innovazione affinché restino competitive, abbraccino la transizione verde digitale e continuino a contribuire alla ricchezza economica, sociale e culturale dei nostri territori.
Due parole d'ordine: digitalizzazione e competenze, con attenzione all'inclusione sociale e alla parità di genere: su questo si gioca gran parte della partita.
Cari colleghi, la specificità delle PMI deve essere caratterizzante di ogni provvedimento che adottiamo in quest'Aula.
"
