MP,Date,Language,Title,Url,Content
Benoît BITEAU,2023-12-14,FR,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-039-0000_FR.html,"  Benoît Biteau (Verts/ALE).   – Monsieur le Président, mes chers collègues, comme d'autres l'ont dit avant moi, on ne peut pas nier les avancées de cette COP. Après un départ difficile, et même si on peut regretter des formulations peu claires, un acte politique est posé: les énergies fossiles sont la source de la crise climatique et le monde doit en sortir.
Je voudrais également attirer votre attention sur un autre point crucial: pour la première fois de l'histoire des COP, 158 pays se sont entendus sur une déclaration sur l'agriculture et sur les systèmes alimentaires durables. L'agriculture et l'alimentation sont des domaines éminemment stratégiques dans la lutte contre le changement climatique. Ce pas important doit maintenant être traduit en actes et la mise en œuvre sera cruciale. Attention donc à ne pas poursuivre des mirages techno-solutionnistes basés sur les OGM, les pesticides et les engrais de synthèse, dont nous devons, comme pour les fossiles, absolument sortir. 
Les solutions, nous les avons déjà. Elles sont pratiquées quotidiennement par des millions de paysans à travers le monde. Ces solutions ont un nom, l'agroécologie. Elles reposent sur la coopération avec la nature. Encore une fois, l'UE doit montrer la voie. Alors maintenant, retroussons-nous les manches.
"
Benoît BITEAU,2023-10-19,FR,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-059-0000_FR.html,"  Benoît Biteau (Verts/ALE).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, l’élevage européen est en crise. La décroissance, tant décriée par les adversaires de l’écologie politique, est déjà en marche.
Sur les cinq dernières années, le cheptel bovin européen a diminué de 4 %, soit de plus de 3 millions d’animaux. Et ce ne sont pas la stratégie «De la ferme à la table» ou le règlement sur la restauration de la nature qui en sont responsables. Cette décroissance se fait à grands renforts d’accords de libre-échange et de libéralisation des marchés agricoles, imposés par ceux qui s’autoproclament défenseurs des agriculteurs, mais qui, en réalité, en sont les fossoyeurs.
Leur politique a des conséquences sociales, écologiques et économiques dramatiques. N’oublions pas que les éleveurs font partie des agriculteurs les plus endettés et les moins bien rémunérés. Le pire n’est pas une fatalité. L’élevage en système herbager a un rôle à jouer dans la transition agroécologique et la réduction du cheptel, et la consommation de viande et de lait sont indispensables.
Je nous invite à remettre ensemble en place la production et la consommation de produits animaux, en adéquation avec les capacités de la terre – avec un petit «t» – et avec les capacités de la Terre – avec un grand «T» – tout en rémunérant dignement les paysans.
"
Benoît BITEAU,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-320-0000_FR.html,"  Benoît Biteau,  au nom du groupe Verts/ALE. – Monsieur le Président, Monsieur le Commissaire, chers collègues, sur fond de changement climatique, l’accès à l’eau, sur le plan quantitatif comme sur le plan qualitatif, va être absolument central. C’est d’ailleurs dans ce sens-là que, il y a déjà un an maintenant, j’avais sollicité l’émergence d’une conférence européenne. 
L’eau est un bien commun vital que nous devons réapprendre à partager afin de sortir des logiques d’accaparement au profit de certaines activités économiques. L’agriculture, premier consommateur de ce bien commun vital, est au cœur de cet enjeu de partage. Or, si nous devons engager des politiques publiques d’investissement en faveur de la gestion de l’eau, elles ne peuvent absolument pas s’inscrire dans des fuites en avant – comme les mégabassines, par exemple – et doivent, au contraire, soutenir un changement de pratiques au lieu d’exiger des réponses qui prolongent l’enfermement de l’agriculture dans des modèles éculés. 
Notre salut passe par une restauration efficace du grand cycle de l’eau, afin de ralentir les écoulements. Il faut retenir l’eau dans les zones humides et permettre son infiltration dans les nappes souterraines, seuls stockages permettant de préserver l’espoir de la satisfaction de tous les usages. 
Soyons au rendez-vous de l’histoire et ne gaspillons ni l’eau ni les deniers publics dans de fausses bonnes solutions. 
"
Benoît BITEAU,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-259-0000_FR.html,"  Benoît Biteau (Verts/ALE).   – Monsieur le Président, Madame la Commissaire, une fois n'est pas coutume, je suis d'accord avec les autorités françaises qui considèrent, je les cite, qu'il serait nécessaire que l'EFSA et la Commission européenne finalisent dès que possible la méthodologie d'évaluation des effets sur la biodiversité et les écosystèmes, qui sont pourtant les piliers de notre espoir de souveraineté alimentaire. 
En attendant, comme l'a clairement exprimé le ministre de l'agriculture allemand, M. Özdemir, en accord avec le principe de précaution, il faut interdire le glyphosate. Car en effet, le gouvernement français considère, je cite à nouveau, que l'évaluation des risques pour la biodiversité et les écosystèmes n'a pas pu être conduite en l'absence de méthodes validées, bien que la problématique ait déjà été signalée en 2017. 
Le glyphosate se trouve partout dans l'eau, dans les sols, dans les cheveux ici des députés, de nos enfants. Il est un danger pour les êtres humains, pour les animaux, pour la biodiversité. Nous sommes toutes et tous contaminés. Les effets montrant la nocivité du glyphosate s'accumulent. L'utilisation de ce tueur de mauvaises herbes est indispensable aux OGM et à leurs promoteurs. Il va à l'encontre de la loi sur la restauration de la nature adoptée le mois dernier. Au nom du principe de précaution, je demande donc aux ministres de l'agriculture d'interdire le glyphosate sans plus attendre.
"
Benoît BITEAU,2023-09-12,FR,Ukrainian grain exports after Russia’s exit from the Black Sea Grain Initiative (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-402-0000_FR.html,"  Benoît Biteau (Verts/ALE).   – Madame la Présidente, mes chers collègues, Monsieur le Commissaire, certes, en juillet, Vladimir Poutine s’est retiré de l’accord céréalier de la mer du Nord. Non content de mettre en péril cette initiative qui a permis d’exporter des dizaines de millions de tonnes de céréales, son armée attaque les infrastructures d’exportation ukrainiennes. Quel cynisme! La faim ne doit pas être une arme. Il sera comptable des souffrances de centaines de millions de personnes en situation d’insécurité alimentaire.
Toutefois, pour préparer l’avenir, cette situation doit nous amener à notre propre introspection. Comment en sommes-nous arrivés là? Comment un autocrate isolé, si puissant soit-il, peut-il provoquer une crise alimentaire mondiale? Comment, dans ce contexte, avons-nous laissé des multinationales faire des profits indécents? Cette situation a des racines systémiques, un système aveuglé par les théories libérales de Ricardo et les avantages comparatifs.
Mais notre alimentation n’est pas une marchandise comme les autres. L’OMC, en spécialisant les zones de la planète, en concentrant la production de quelques pôles, a rendu le système alimentaire terriblement fragile, vulnérable. Il est temps de sortir de cette errance et de donner les moyens à chaque pays d’assurer au mieux sa souveraineté alimentaire.
"
Benoît BITEAU,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-032-0000_FR.html,"  Benoît Biteau (Verts/ALE),  question «carton bleu». – Monsieur Lebreton, je parle en français, donc vous pouvez rester au pupitre.
Monsieur Lebreton, vous le savez, je suis moi-même paysan. Et ce qui menace la souveraineté alimentaire, ce qui menace l’avenir de l’agriculture, ce qui menace le revenu des agriculteurs, ce n’est pas davantage de nature, ce n’est pas l’équilibre climatique, c’est l’utilisation toujours plus massive de pesticides, l’utilisation toujours plus massive d’engrais de synthèse. C’est cela qui menace vraiment la souveraineté alimentaire et l’avenir des paysans.
Donc, Monsieur Lebreton, il n’y a pas de cloisonnement. On peut faire de l’agriculture sur des zones de biodiversité et on peut protéger la biodiversité sur les zones où on pratique l’agriculture. Et c’est cela qui sauvera l’humanité.
"
Benoît BITEAU,2023-06-15,FR,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-023-0000_FR.html,"  Benoît Biteau,  au nom du groupe Verts/ALE. – Madame la Présidente, Madame la Commissaire, mes chers collègues, quand toutes les lois abordant le sujet de l’eau affirment dans leur article 1er que «l’eau est un commun», ce postulat convoque au moins une dimension centrale: celle du partage.
Pour que ce partage soit possible, nous devons absolument assumer la hiérarchie de ses priorités et réaffirmer des fondamentaux: accès à une eau potable de qualité en quantité suffisante – c’est un droit essentiel et fondamental –, restauration de la nature pour garantir le bon état des milieux aquatiques – éminemment stratégique – et le bon fonctionnement du grand cycle de l’eau, afin de recharger les nappes souterraines – lesquelles constituent le seul stockage pertinent de l’eau – et de permettre la satisfaction de la première priorité, l’accès à l’eau potable, mais aussi de la troisième, l’accès à l’«eau économique», celle qui sert à la fourniture d’électricité ou encore à l’irrigation agricole.
Pour que ce partage soit possible, nous devons mobiliser l’ensemble des politiques publiques vers ces objectifs, loin des solutions technicistes telles que les mégabassines, qui engloutissent des volumes financiers publics pharaoniques dans des fuites en avant et ne font qu’accentuer la confiscation de l’eau par une minorité.
Pour que ce partage soit possible, nous devons intégrer une gestion transfrontalière des fleuves qui traversent l’Europe et harmoniser les politiques publiques à l’échelon des bassins versants, et ainsi dépasser le corset des limites administratives.
Pour que ce partage soit possible, nous devons avancer sur l’émergence d’une conférence européenne de l’eau, comme je l’ai sollicité en septembre dernier dans une résolution, pourtant très largement soutenue.
Nous avons donc rendez-vous avec l’histoire sur les sujets du climat, de la biodiversité, de la santé et du partage de l’eau, ce commun, cette ressource vitale qui serait la première victime de notre inaction.
Alors, mes chers collègues, il y a urgence. Nous devons être responsables pour les générations futures et tout mettre en œuvre pour sortir du désert des partages. 
"
Benoît BITEAU,2023-05-10,FR,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-074-0000_FR.html,"  Benoît Biteau (Verts/ALE).   – Monsieur le Président, Madame la Commissaire, il y a urgence maintenant pour les paysans, pour les générations futures, de prendre conscience que, sans nature, je dis bien sans nature, mes chers collègues, il n’y a pas d’agriculture, il n’y a pas de nourriture. L’agriculture est un secteur stratégique pour atteindre la souveraineté alimentaire, mais également pour être au rendez-vous de l’histoire. Face aux dérèglements climatiques, à l’effondrement de la biodiversité, à la préservation de la santé – et c’est précisément en intégrant cette approche globale que nous pouvons allumer le cercle vertueux qui sort l’agriculture de la mauvaise ornière dans laquelle elle est enlisée, afin de pouvoir enfin proposer des revenus dignes aux paysans.
Plutôt que de continuer d’opposer écologie et économie, nous devons revenir aux fondamentaux, comme je l’ai fait moi-même en tant que paysan, basés sur l’efficacité de l’agronomie, du bon sens paysan, comme par exemple nourrir des herbivores avec de l’herbe plutôt qu’avec du maïs et du soja, comme restaurer la fertilité des sols, alternative efficace et redoutable à cette dépendance mortifère aux pesticides, aux engrais de synthèse, aux semences certifiées, et à l’irrigation. C’est d’ailleurs ce que réclament les citoyens quand la question agricole, alimentaire, écologique et climatique s’installe dans un véritable débat de société. 
"
Benoît BITEAU,2023-03-16,FR,"European Citizens’ Initiative ""Save bees and farmers! Towards a bee-friendly agriculture for a healthy environment"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-049-0000_FR.html,"  Benoît Biteau (Verts/ALE).   – Monsieur le président, mes chers collègues, ce que demande, ce que démontre cette initiative citoyenne européenne et d'autres avant elle d'ailleurs, c'est que les citoyens sont attentifs aux questions du climat, de la biodiversité, de la santé, de la souveraineté alimentaire et d'une rémunération digne des paysans. 
Elle nous oblige donc à replacer le sujet de l'agriculture dans un véritable débat de société, un débat de société portant sur l'espoir de savoir conjuguer le destin de la planète avec l'avenir des paysans. Débat de société permettant de réconcilier les agriculteurs et les mangeurs, l'écologie et l'économie, l'homme et la nature. Ce n'est pas incompatible, bien au contraire. Débat de société le laissant pas instrumentaliser de façon indécente la guerre en Ukraine et la sécheresse pour remettre en cause les objectifs salutaires de la stratégie de la ferme à la fourchette. 
Les données scientifiques associées à cette ICE tracent le chemin à suivre, basé sur l'agronomie, véritable alternative à l'usage des pesticides. Nous devons donc nous approprier ces données scientifiques pour bâtir les politiques publiques permettant de ne pas manquer notre rendez-vous avec l'histoire. Et il y a urgence maintenant à agir.
"
Benoît BITEAU,2023-02-16,FR,Availability of fertilisers in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-16-INT-4-051-0000_FR.html,"  Benoît Biteau (Verts/ALE).   – Monsieur le Président, Monsieur le Commissaire, il est indiscutable que les agriculteurs européens font face à une situation critique. Les prix des engrais de synthèse s’envolent et la possibilité d’une pénurie existe. C’est le résultat des errements des politiques agricoles depuis des années.
Comment avons-nous pu laisser notre alimentation reposer sur les ressources fossiles et sur les capacités de production d’une poignée de multinationales? Cette dépendance coûte cher aux agriculteurs: ils dépensent de plus en plus en engrais de synthèse pour en retirer de moins en moins de bénéfices économiques. Elle a aussi un coût terrible pour la société: les engrais affectent notre santé, nos ressources naturelles, l’air, l’eau, notre climat, la biodiversité et la fertilité intrinsèque des sols.
Sur ce dossier, avec cette résolution, on assiste une fois de plus à l’instrumentalisation de la guerre en Ukraine pour remettre en selle un modèle agricole dont on doit se débarrasser et pour renoncer aux objectifs et aux ambitions, pourtant salutaires, de la stratégie «De la ferme à la table». Ouvrir les vannes de l’argent public à chaque crise ne réglera jamais les problèmes structuraux.
C’est d’autant plus exaspérant que nous avons des solutions de remplacement efficaces, qui s’affranchissent des engrais et permettent de ne plus alimenter les superprofits des entreprises d’engrais: il s’agit de l’agronomie, de l’agroécologie, qui, au-delà de leurs vertus sur la souveraineté alimentaire, sont aussi le socle d’un espoir d’avenir et d’un espoir de paix.
"
