MP,Date,Language,Title,Url,Content
Benoît LUTGEN,2023-12-12,FR,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-512-0000_FR.html,"  Benoît Lutgen (PPE).   – Monsieur le Président, chers collègues, la reconnaissance n’empêche pas la vigilance. L’amitié n’empêche pas la critique, pas plus qu’un projet transatlantique. Dans ma région, en Ardenne, plus de 80 000 jeunes Américains ont été tués, portés disparus ou blessés, et l’on commémorera le 79e anniversaire de cette bataille dans quelques jours. Cela a créé un socle de valeurs communes – de liberté et de démocratie – entre nous.
Pour faire face au monde et aux défis d’aujourd’hui, et à l’obscurantisme qui gagne du terrain chaque jour, y a-t-il de meilleurs partenaires que les Américains? Est-ce que cela nous empêche d’être critiques à leur égard? Certainement pas. Est-ce que nous avons parfois des intérêts divergents? Sûrement. Mais face, aussi, au danger russe et au «péril jaune», y a-t-il de meilleurs partenaires que les Américains à nos côtés? Je ne le pense pas.
Cela n’empêche pas un monde multilatéral. Cela n’empêche pas, là encore, certaines critiques, liées parfois, et qu’on dit parfois avec plus de force à nos amis. Y a-t-il enfin de meilleurs partenaires que les États-Unis pour relever le défi climatique?
"
Benoît LUTGEN,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-190-0000_FR.html,"  Benoît Lutgen (PPE).   – Madame la Présidente, Monsieur le Commissaire, il y a des avancées, effectivement, qu’on peut saluer dans ce traité de libre-échange, notamment liées à la durabilité, à une meilleure prise en compte des impacts environnementaux. Mais il n’en reste pas moins qu’on doit aussi juger et jauger en fonction de l’ensemble des actions de la Commission européenne.
Quand je vois comment la Commission ne cesse d’accroître les charges administratives et financières, avec des objectifs environnementaux sans cesse plus élevés pour notre agriculture, et qu’en même temps, elle ouvre ses portes et considère l’agriculture comme une variable d’ajustement dans les traités de libre-échange, je ne peux pas l’accepter.
Cela n’a aucun sens de faire venir de la viande bovine que nous produisons en qualité et à foison sur nos territoires. Cela n’a aucun sens de faire venir depuis plus de 20 000 kilomètres du lait de Nouvelle-Zélande sur notre territoire. Tout cela n’a aucun sens sur le plan économique, ni sur le plan environnemental, ni sur le plan social.
"
Benoît LUTGEN,2023-11-08,FR,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-107-0000_FR.html,"  Benoît Lutgen (PPE).   – Madame la Présidente, chers collègues, on va dire que ce n’est pas évident d’apporter des mesures ou une réponse modérée et mesurée dans un débat où les extrêmes, finalement, s’agitent et se renvoient dos à dos. Je pense qu’on doit tous pouvoir dire que le massacre terroriste du 7 octobre réclame une réponse forte: celle d’éradiquer le Hamas, qui est un groupe terroriste. Certains ont du mal à prononcer «Hamas, groupe terroriste» dans cette assemblée et je le regrette profondément.
La libération des otages est une priorité absolue mais, Mesdames et Messieurs, et je le dis à d’autres dans cette assemblée, ne confondons pas le Hamas et le peuple palestinien. Oui, le gouvernement israélien a le droit de se défendre, mais il doit aussi respecter le droit international. Il doit respecter le droit humanitaire. Il doit faire en sorte que demain on puisse apporter l’aide nécessaire aux civils. Et ce n’est pas en tuant des enfants, des civils et des femmes qu’on arrivera à la paix à Gaza ou en Israël. C’est, et je pense le plus important aujourd’hui, de faire en sorte que ce droit soit respecté par tous et par chacun, au risque, sinon, de créer des conflits encore plus importants demain.
"
Benoît LUTGEN,2023-10-19,FR,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-123-5000_FR.html,"  Benoît Lutgen (PPE),  par écrit. – J'ai voté en faveur de ce rapport sur le renouvellement des générations dans les fermes car il vient identifier plusieurs freins à l’installation des nouveaux exploitants? Et, surtout, parce qu'il met l’accent sur l’accès au foncier. Le texte demande en outre aux États membres de réglementer les marchés et l’utilisation des terres agricoles afin de favoriser l’accès des jeunes agriculteurs à la terre par tous les moyens disponibles, par exemple via un droit de préemption en leur faveur, via le contrôle des prix de vente et de location ou via des obligations de maintien de l’activité agricole. Ces mesures sont absolument nécessaires car, en Belgique, seuls 5 % des agriculteurs wallons ont moins de 35 ans. La majorité d’entre eux a plus de 55 ans et les repreneurs sont rares, la proportion de jeunes agriculteurs ayant encore diminué durant la dernière décennie. En 20 ans, la proportion des plus de 55 ans est passée de 40 à 55 %. Merci pour votre attention sur ce dossier et enjeu devenu capital pour l'avenir de notre agriculture et de notre sécurité alimentaire.
"
Benoît LUTGEN,2023-10-17,FR,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-240-0000_FR.html,"  Benoît Lutgen (PPE).   – Madame la Présidente, Monsieur le Vice-Président, chers collègues, M. le Vice-Président a parlé de la crise du COVID-19, de la réponse que l’Union européenne a pu apporter à l’époque, de la crise ukrainienne aussi, certainement. Mais, malheureusement, je n’ai pas entendu la force de l’Europe s’exprimer pour dire comment, dans des domaines aussi importants que la santé, la défense, l’énergie ou l’alimentation – pour ne prendre que ces quatre exemples –, renforcer encore davantage, dans les six mois qu’il reste, l’autonomie stratégique de l’Union européenne, ce qui permet de protéger les Européens, de nous donner une force beaucoup plus grande, d’être moins dépendants de pays tiers comme la Chine – ou la Russie, hier –, qui n’ont pas tout à fait les mêmes valeurs démocratiques que les nôtres. 
Cette autonomie stratégique est essentielle, tout comme il est essentiel de protéger nos frontières par des clauses miroirs, pour faire en sorte que ce qui rentre comme produits sur le sol de l’Union européenne connaisse les mêmes valeurs en matière environnementale, sociale ou encore sanitaire. J’espère – ou j’ose espérer – que, dans le cadre de l’accord conclu avec le Mercosur notamment, il y aura enfin cette volonté de faire appliquer à nos frontières la réalité de ces clauses miroirs, et dans d’autres domaines également. 
Protéger les Européens, c’est aussi soutenir 150 millions d’Européens qui vivent en milieu rural, leur donner, à proximité de chez eux, de l’emploi, des services publics, des hôpitaux et faire en sorte que leur mobilité soit assurée. C’est un enjeu économique, mais c’est aussi, assurément, un enjeu démocratique, pour ne pas que la colère de certains Européens – qui se sentent oubliés – ne s’exprime lors des élections du mois de juin. 
Je compte sur vous et sur la Commission pour avoir cette réaction à l’égard des chantiers européens, et pour que l’Europe soit une chance pour chacune et pour chacun. 
"
Benoît LUTGEN,2023-10-04,FR,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-374-0000_FR.html,"  Benoît Lutgen (PPE).   – Madame la Présidente, chers collègues, les objectifs climatiques, environnementaux, sociaux, sanitaires que nous imposons à nos entreprises, à nos agriculteurs, nous nous devons de les imposer également à nos frontières. C’est une question démocratique, une question aussi d’acceptation par nos concitoyens de ce que nous leur demandons comme défis à relever. Défi climatique, bien sûr, mais aussi tous les autres que j’ai cités.
Dans les accords commerciaux, ces clauses miroirs sont essentielles, essentielles à la compréhension et à l’acceptation par nos populations. Différents groupes ont défendu ces clauses miroirs, notamment par rapport à un amendement que j’ai défendu dans le cadre de la restauration de la nature. On ne peut pas demander d’avoir des objectifs chez nous sans que nous ne puissions aussi les imposer à nos frontières.
Oui, il faut aussi des accords commerciaux dans des secteurs qui nous permettent de renforcer notre stratégie et notre autonomie, des secteurs aussi importants que le numérique et la santé, on l’a vu durant la crise COVID, ou encore des secteurs aussi essentiels que la défense, la défense de façon très large.
En ce qui concerne ces secteurs et ces stratégies d’autonomie, notamment le secteur de l’énergie – et on l’a vu au travers de la dépendance que l’Europe a créée au fil du temps à l’égard du gaz russe, notamment –, nous devons là aussi – et c’est peut-être le secteur le plus important, le secteur de l’énergie – avoir, grâce notamment aux matières premières, des accords commerciaux qui nous permettent de réindustrialiser et de faire en sorte qu’en Europe, nous puissions à la fois développer l’emploi, atteindre nos objectifs climatiques, mais aussi, et c’est très important dans ces accords commerciaux, faire respecter la voix de l’Europe qui doit être leader en matière notamment d’objectifs climatiques, et cela avec la compréhension de l’ensemble des concitoyens européens et de nos entreprises, de nos indépendants et de nos agriculteurs. 
"
Benoît LUTGEN,2023-10-03,FR,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-062-5000_FR.html,"  Benoît Lutgen (PPE),  par écrit. – Madame, Monsieur, La révision de notre cadre financier ne doit pas être un simple ajustement. Le monde a changé depuis l’adoption du cadre budgétaire 2021-2027 au plus fort de la pandémie. Nous avions à l’époque soutenu la vision exceptionnelle qu’est Next Generation EU. Nous croyions qu’il permettrait de relancer économiquement notre Union après le choc qu’elle a subi suite au coronavirus. Et, en effet, beaucoup a été accompli par les plans de relance nationaux soutenus par l’UE. Mais l’inflation et la guerre en Ukraine ont lancé de nouveaux défis. Nous devons faire face à des taux d’emprunts plus élevés sur les marchés. Nous devons soutenir notre allié ukrainien face à l’agression russe. Et nous devons également augmenter les fonds européens pour soutenir notre propre défense. C’est pourquoi je ne peux qu’appuyer ce rapport intermédiaire. L’augmentation du financement de l’UE qu’il envisage est pour moi le minimum pour faire face à ces défis. Surtout, ces défis soulignent la nécessité de créer rapidement de nouvelles ressources propres pour notre Union. S’il veut répondre aux demandes des citoyens, le cadre financier qui sera négocié lors de la prochaine législature devra démontrer un financement solide et pérenne pour nos ambitions !
"
Benoît LUTGEN,2023-07-12,FR,Nature restoration (A9-0220/2023 - César Luena)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-155-0000_FR.html,"  Benoît Lutgen (PPE).   – Madame la Présidente, chers collègues, protégeons nos agriculteurs, nos frontières, mais également la biodiversité. C’est pourquoi je vous propose le considérant 12 bis.
L’examen de la politique commerciale de la Commission, une politique commerciale ouverte, durable et affirmée, indique que le pacte vert pour l’Europe est la nouvelle stratégie de croissance de l’Union européenne, qui sera le moteur de notre compétitivité et conduira à une transformation progressive, mais profonde, de nos économies, laquelle, à son tour, aura une forte incidence sur la structure des échanges, tandis que le vaste réseau d’accords commerciaux bilatéraux de l’Union européenne constitue une plateforme essentielle pour dialoguer avec nos partenaires sur le changement climatique et la biodiversité, et exige donc l’introduction de mesures miroirs conformément aux règles de l’OMC. 
"
Benoît LUTGEN,2023-07-10,FR,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-044-0000_FR.html,"  Benoît Lutgen,  rapporteur pour avis de la commission de l’agriculture et du développement rural. – Madame la Présidente, Madame la Commissaire, chers collègues, that’s enough, ça suffit. Non, l’agriculture n’est pas industrielle en Europe. Elle est familiale, elle est locale. Elle se développe avec des critères sans cesse relevés sur les plans environnemental, sanitaire ou encore du bien-être animal. L’agriculture n’a rien à faire dans cette directive sur les émissions industrielles. L’agriculture n’a rien à faire dans un texte qui concerne les incinérateurs ou encore la cimenterie.
L’agriculture mérite tout notre soutien et ce texte va à l’encontre même du bien-être animal. Il va à l’encontre même de la protection de l’environnement, par la concentration que cela entraînera demain d’exploitations agricoles encore plus grandes. Pourquoi? Parce que les coûts qui sont demandés aux agriculteurs pour une purification qui est limitée seront à nouveau insupportables pour le monde agricole. Et d’aucuns revendront leur exploitation agricole. Voilà les conséquences de ce texte pour l’agriculture.
Je vous demande de soutenir pleinement l’ensemble des amendements qui ont été défendus par la commission de l’agriculture, pour éviter notamment que le secteur bovin ne soit demain couvert par cette directive. 
"
Benoît LUTGEN,2023-06-14,FR,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-062-0000_FR.html,"  Benoît Lutgen (PPE),  par écrit. – Mesdames, Messieurs, le Conseil européen de juin abordera l’importante question de l’immigration. Je me réjouis que le Conseil ait enfin pu se mettre d’accord sur une position de négociation. Elle permettra de lancer le trilogue.
En outre, le 20 juin prochain, la Commission présentera sa stratégie de sécurité économique. Elle sera discutée lors du Conseil européen, en même temps que nos rapports avec la Chine. Je ne peux que souligner l’importance d’avoir une discussion approfondie des aspects stratégiques de nos relations économiques extérieures. La Chine a une stratégie délibérée d’appropriation de nos industries, de notre propriété intellectuelle et de nos infrastructures stratégiques, comme les ports.
La stratégie de sécurité économique doit comprendre à la fois un contrôle plus approfondi des investissements entrants, permettant à la Commission de bloquer certaines opérations, mais également un contrôle des investissements européens à l’étranger quand ils risquent de transférer certaines technologies essentielles à notre souveraineté ou à notre compétitivité internationale. Certains secteurs chinois comme les trains à grande vitesse sont maintenant nos plus grands concurrents, presque uniquement grâce à l’appropriation de nos technologies par les partenaires locaux de nos investisseurs. Le temps de la défense sans concession de nos intérêts est venu!
"
