MP,Date,Language,Title,Url,Content
Bernard GUETTA,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-306-0000_FR.html,"  Bernard Guetta (Renew).   – Monsieur le Président, pour nous, la paix n’est pas qu’un devoir moral, elle est également une nécessité. Nous devons la paix aux Israéliens et aux Palestiniens, mais nous la devons aussi à nos 27 peuples, puisque cette guerre s’exporte dans l’Union, qu’elle contrarie le nécessaire codéveloppement des deux rives de la Méditerranée et qu’elle nourrit l’instabilité de nos voisinages.
Alors, il ne suffit plus de marteler: «Deux États.» Cette solution, nous pouvons contribuer à l’imposer, car le développement, les échanges et l’économie d’Israël et de la Palestine dépendent largement de nos accords et de notre soutien. Notre honneur est de nous battre pour des valeurs, mais nous sommes aussi la deuxième économie du monde, une puissance qui doit défendre la sécurité, les frontières et les intérêts de ses citoyens.
Parce que nous ne voulons plus de guerres, de sang, de mères et d’enfants brisés, parce que nous voulons la paix, osons les moyens d’y parvenir.
"
Bernard GUETTA,2023-11-22,FR,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-032-0000_FR.html,"  Bernard Guetta (Renew).   – Monsieur le Président, dans nos 27 capitales, à Washington et dans tous les pays de la Ligue arabe, on ne parle plus que des deux États israélien et palestinien. Beaucoup ne veulent pas y croire, mais la Palestine verra bel et bien le jour aux côtés de l’État d’Israël pour la simple et bonne raison qu’il n’y a pas d’autre solution à cette guerre de 100 Ans. Mais qui expulsera, dit-on, les 500 000 colons? Eh bien, une minorité tentera une vaine résistance, la plupart rentrera en Israël et d’autres deviendront résidents étrangers dans ce nouvel État.
Le problème n’est pas là. Le vrai problème est que la raison n’a plus assez de défenseurs, ni d’un côté ni de l’autre. Et c’est pour cela que la paix, une paix juste et pérenne, devra être imposée de l’extérieur, comme le partage de 47 l’avait été par les Nations Unies. Notre Union aura là un rôle fondamental à jouer, et plutôt que de se disputer sur les mots «trêve» ou «cessez-le-feu», notre Parlement doit d’ores et déjà, d’urgence, pleinement s’y préparer.
"
Bernard GUETTA,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-041-0000_FR.html,"  Bernard Guetta (Renew).   – Monsieur le Président, je veux croire que nous serons unanimes à voter demain cette résolution commune sur les drames que vivent Israéliens et Palestiniens. Je l’espère, bien que ce texte soit trop long, beaucoup trop long, car nous n’avons en fait que trois choses à dire.
La première est que nous sommes révulsés par cette tuerie du Hamas. La deuxième est que le châtiment d’un crime ne peut pas être une punition collective. La troisième est que tant d’horreurs, celles d’hier soir encore, obligent Israéliens et Palestiniens à rouvrir sans délai les négociations menant à la seule paix possible: la coexistence de deux États.
Chers collègues, notre devoir est aujourd’hui d’imposer – je répète: d’imposer – ces négociations, d’offrir à tous des garanties de sécurité et de dire haut et clairement que nous sommes prêts à revenir sur nos aides et nos accords commerciaux si chacun continue de refuser les compromis indispensables à la fin de cette «guerre de Cent Ans».
Dans ce Parlement, il ne doit y avoir ni pro-Israéliens ni pro-Palestiniens. Au Parlement de l’Union, il ne doit y avoir que des partisans de la paix, d’une paix juste et durable.
"
Bernard GUETTA,2023-10-17,FR,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-013-0000_FR.html,"  Bernard Guetta,  au nom du groupe Renew. – Monsieur le Président, chers collègues, disons l’évidence: aucune sanction économique contre aucun régime n’a jamais mis, à elle seule, une économie à genoux. C’est aujourd’hui vrai de la Russie comme ce le fut de l’Afrique du Sud, mais les sanctions internationales n’en sont pas moins une arme des plus redoutables, car elles essoufflent les industries, multiplient les difficultés financières et obligent leurs cibles à une permanente quête d’aléatoires et très coûteux chemins de traverse. 
C’est le cas de la Russie de M. Poutine, et c’est pour cela qu’il est absurde – totalement absurde – de parler d’une inefficacité des coûts économiques que nous lui portons.
Le poutinisme en est blessé. Le poutinisme en souffre, mais il y a bien évidemment des failles dans notre dispositif, de nouvelles mesures à prendre, mieux ciblées et qui fassent plus mal encore à l’agresseur. Nous avons à établir le bilan de ce qui a très bien marché, moins bien marché ou pas marché du tout.
C’est ce que notre Parlement fera le mois prochain en appelant le Conseil et la Commission à faire encore mieux, encore plus et encore plus vite. Car la fin de cette agression en dépend.
"
Bernard GUETTA,2023-10-04,FR,The case of Zarema Musaeva in Chechnya,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-471-0000_FR.html,"  Bernard Guetta,  auteur. – Monsieur le Président, le plus extraordinaire est qu'il y ait encore en Tchétchénie, dans ces terres d'arbitraire absolu, de torture et d'assassinat politique, des personnes aussi courageuses que Mme Moussaïeva pour se dresser contre Ramzan Kadyrov, le mangeur d'hommes dont Poutine a fait son chien de garde. 
Car non, elle n'est pas seule. Il y a aussi ses trois fils, son époux, ancien juge à la Cour suprême, et tant d'autres encore, prêts à donner leur vie pour défendre les principes de l'État de droit. Avec cette résolution, c'est devant vous, Madame, que ce Parlement s'incline, mais aussi devant les quelque 1 500 citoyens de la Fédération de Russie, ces héros que le despote du Kremlin a fait jeter en prison depuis le début de sa guerre. 
Oui, Madame, à travers vous, c'est à tous ces braves, hommes, femmes et adolescents, que nous rendons aujourd'hui hommage. En sachant que d'un graffiti nocturne, d'une carte postale envoyée aux prisonniers, d'un tee-shirt aux couleurs ukrainiennes ou de la douleur de l'exil, bien plus d'un million de Russes, l'avant-garde de ce pays, vous ont déjà dit non, Monsieur Poutine, à vous et à votre agression.
"
Bernard GUETTA,2023-09-12,FR,Question Time (VPC/HR) - Situation in West and Central Africa in the light of the recent coups d’état,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-286-0000_FR.html,"  Bernard Guetta (Renew).   – Monsieur le Haut Représentant, contrairement à une idée reçue, la mer Méditerranée n’est pas une mer. La Mare Nostrum est un lac intérieur, un lac eurafricain qui unit indissolublement, parfois tragiquement, nos deux continents. Dans cette mesure, nous sommes obligés de faire des miracles. Vous nous disiez tout à l’heure: «vous me demandez de faire...», eh bien oui! On vous demande, nous nous demandons; nous nous demandons de faire des miracles et, évidemment, d’envisager de jeter les bases de cet indispensable codéveloppement dont on parle depuis si longtemps, mais qui n’en reste pas moins la seule et unique solution à envisager.
Alors, je sais bien, nous savons bien, hélas, qu’il y a peu d’interlocuteurs crédibles pour envisager ce codéveloppement. Mais ma question est très simple: est-ce que nous pouvons être à la fois, l’Europe et l’Afrique, dans la force de proposition? Est-ce que nous pouvons, nous, poser des propositions sur la table et appeler non seulement les gouvernements africains, mais les élites et les populations africaines, à répondre, à rebondir là-dessus? Et est-ce que nous pouvons espérer développer ce dialogue indispensable?
"
Bernard GUETTA,2023-09-12,FR,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-322-0000_FR.html,"  Bernard Guetta (Renew).   – Monsieur le Président, pourquoi tant de gibets? Pourquoi l’Iran en était-il déjà à 250 pendaisons au début de l’été? Pourquoi cette théocratie militaire continue-t-elle à tuer à un tel rythme? Ce régime a peur. Il a toutes les raisons d’avoir peur, car depuis 26 ans, depuis qu’un réformateur, Mohammad Khatami, avait été élu à la présidence de la République, la contestation n’a jamais cessé dans ce pays. La répression n’a jamais empêché les Iraniens de redescendre dans la rue, inlassablement.
Mais voilà que pour la première fois, la mobilisation dure depuis plus d’un an. Des femmes continuent à sortir tête nue et en sont soutenues et applaudies. La base sociale de ce régime fond à vue d’œil. Le seul espoir de cette dictature est désormais de conclure une trêve avec les monarchies du Golfe. Elle ne prétend plus même porter une révolution dans l’islam. Elle est simplement devenue le plus vermoulu des piliers de la grande alliance conservatrice, celle qui l’unit dans le sang à Moscou et à Pékin.
"
Bernard GUETTA,2023-07-12,FR,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-029-0000_FR.html,"  Bernard Guetta (Renew).   – Monsieur le Président, oui, mais un jour. Oui, mais plus tard. Oui, mais pas maintenant. États-Unis en tête, l’OTAN s’est montrée hier autrement plus réticente à ouvrir ses portes à l’Ukraine que l’Union européenne ne va le faire.
L’Union ne s’est certes engagée à rien, mais outre qu’elle a accordé le statut de pays candidat à l’Ukraine il y a déjà plus d’un an et que le dernier Conseil a été particulièrement clair sur la volonté des 27 de se tenir aux côtés de ce peuple agressé, il ne fait aucun doute que l’Union ouvrira avec Kiev des négociations d’adhésion avant la fin de cette année.
L’Union a raison et les États-Unis ont tort. L’Ukraine avait besoin d’un engagement plus net sur sa vocation à faire partie de l’Alliance atlantique. Il y a eu là un excès de prudence des États-Unis qui doit nous conduire à accélérer notre marche vers une défense commune, vers un pilier européen de l’Alliance atlantique qui nous donne, si nécessaire, les moyens de nous défendre et de peser par nous-mêmes. 
"
Bernard GUETTA,2023-07-12,FR,Resumption of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-133-0000_FR.html,"  Bernard Guetta (Renew).   – Madame la Présidente, chers collègues, s’il vous plaît, une minute d’attention. Je voulais simplement vous dire, pour ceux qui ne le savent pas encore, que Milan Kundera est mort il y a quelques instants. Milan Kundera est certainement l’un des plus grands écrivains de la seconde moitié du XXe siècle. Il incarnait aussi l’unité de l’Europe. Il fut l’une des grandes figures du Printemps de Prague. Il fut l’une des grandes figures de la dénonciation du totalitarisme communiste. Si la Présidente en était d’accord, un instant de silence, un instant d’hommage serait bienvenu. 
"
Bernard GUETTA,2023-04-19,FR,"Repression in Russia, in particular the cases of Vladimir Kara-Murza and Alexei Navalny",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-400-0000_FR.html,"  Bernard Guetta,  auteur. – Madame la Présidente, nous admirons le courage, nous admirons l’héroïsme avec lequel ces deux hommes, Alexeï Navalny et Vladimir Kara-Mourza, bravent Vladimir Poutine pour faire entendre la voix de l’autre Russie. Mais ce n’est pourtant pas la seule raison pour laquelle nous les défendons et exigeons leur libération. 
Ces hommes ne sont pas seulement valeureux, ils sont également indispensables: à leur pays, à l’Europe et au monde. Car, si cette guerre dure, la Russie sera bientôt menacée de fractionnement et de chaos. Ce jour-là verra une nouvelle ère de troubles menacer le plus étendu des pays, et tout le continent – le nôtre pourrait en être déstabilisé. Ce jour-là, nous aurons tous besoin, en Russie comme ailleurs, de l’expérience et de la sagesse de ces hommes, que le despote du Kremlin veut faire mourir dans ses cachots. 
Alors nous vous le disons, Monsieur Poutine: vous êtes comptable d’eux. Vous devez vous assurer qu’ils vivent et leur rendre la liberté. 
"
