MP,Date,Language,Title,Url,Content
Bernd LANGE,2023-11-21,EN,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-191-0000_EN.html,"  Bernd Lange (S&D).   – Madam President, Commissioner, dear colleagues, you see today a really proud Chair of the International Trade Committee because, in this global world of fragmentation, of a lot of troubled waters, we managed to agree on the most progressive and sustainable trade agreement of the European Union ever. This is a big success.
Thanks a lot to the Commission, to the negotiator Peter Berz, and to all colleagues who worked together to reach this wonderful agreement. The vote in the committee was also quite clear; there is a big majority for the agreement.
But we should not only rest on our laurels. We should also look at what is perhaps not so perfect. One year between closing the negotiation and the ratification is quite too long. We have to be much quicker on that. Secondly, what about Australia? We have to look forward to reach an agreement in a similar way with Australia as well. I will mention Mexico and Mercosur as well. So let’s put our power together to reach similar agreements with these countries in a reasonable time frame.
"
Bernd LANGE,2023-11-09,DE,Outcome of the EU-US summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-018-0000_DE.html,"  Bernd Lange (S&D).   – Herr Präsident, Frau Kommissarin! Der Gipfel war im Bereich der Handelspolitik kein Erfolg: Wir haben kein Abkommen über Stahl und Aluminium, wir haben kein Abkommen über Rohstoffe. Das liegt daran, dass die USA ihre Interessen absolut setzen – das muss man so nüchtern sehen –, wie auch beim Inflation Reduction Act. Aber ich glaube, angesichts der geopolitischen Situation haben wir auch kein Interesse daran, zu eskalieren, also neue Zölle zu setzen oder sonstige Maßnahmen zu ergreifen.
Deswegen geht es meiner Ansicht nach um drei Dinge, die wir erreichen müssen. Zum einen müssen wir sicherstellen, dass zukünftige Abkommen nicht die WTO-Regeln unterlaufen. Wir stehen nach wie vor zum multilateralen System. Zweitens: Wir werden in unseren Verhandlungen mit den Vereinigten Staaten auch keine fundamentalen Positionen der EU aufgeben können. Auch das ist, glaube ich, klar. Und zum Dritten: Also geht es darum, den Status quo abzusichern und zu sehen, wie wir gemeinsam über die Zeit kommen – also keine absolut neuen Ambitionen zu entwickeln, sondern Stabilität zu organisieren.
"
Bernd LANGE,2023-10-04,EN,Energy Charter Treaty: next steps (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-313-0000_EN.html,"  Bernd Lange (S&D).   – Madam President, everybody knows the story; the Commissioner explained it quite rightly. The only question, of course, is how to convince the Council to stop the blockade. That’s the only question. And this was my question to the Commission: what is the strategy to unblock the situation in the Council?
The position of the Parliament adopted in November last year is totally clear. The majority of Member States are not in favour of the agreement, and because of the fact that a lot of EU competences are in the Treaty, and you mentioned it quite rightly, it’s also clear that we will never authorise Member States to stay in the Energy Charter Treaty. Therefore, we have to really convince the Member States to stop the blockade because there’s a clear European wish to leave this Treaty as soon as possible.
"
Bernd LANGE,2023-10-04,DE,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-358-0000_DE.html,"  Bernd Lange (S&D).   – Frau Präsidentin! Zunächst möchte ich Sie ersuchen, an den Rat zu schreiben. Das ist die zweite Debatte heute, wo der Rat nicht anwesend ist, in einer Sache, wo der Rat eigentlich eine ganz entscheidende Verantwortung hat. Ich würde dem Rat auch gerne sagen, dass es ein Skandal ist, dass zwischen dem Abschluss eines Abkommens und der Unterschrift – und damit dem Beginn unserer Ratifizierung – in der Regel ein Jahr liegt. Das ist absolut irre! Da müssen wir viel, viel schneller sein, damit wir wirklich die notwendigen Handelsabkommen schnell abschließen können.
Wir brauchen in der Tat Handelsabkommen mit verlässlichen Partnern auf globaler Ebene, weil wir in einer fragmentierten Globalisierung leben. Herr Krah, das alte Narrativ „Wir produzieren, egal wo, egal zu welchen Bedingungen“, das gehört auf den Müllhaufen der Geschichte. Heutzutage geht es um Sicherheit und um Nachhaltigkeit, damit die Menschen vor Ort auch was vom Handel haben – hier in Europa, aber auch in unseren Partnerländern. Die brauchen auch Wertschöpfung, damit sie eigenständige Entwicklungsmöglichkeiten haben.
Sicherheit und Nachhaltigkeit – das ist das Narrativ für Handelspolitik heutzutage.
"
Bernd LANGE,2023-10-02,DE,Economic coercion by third countries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-129-0000_DE.html,"  Bernd Lange,  Berichterstatter. – Frau Präsidentin, Herr Kommissar, meine lieben Kolleginnen und Kollegen! Wenn man sich die globale Welt heute anguckt, muss man feststellen, dass das, was wir früher mal miteinander gedacht haben – es gibt einen globalen Handelszusammenhang, wir reduzieren Zölle und nichttarifäre Handelshemmnisse, und alle Länder spielen mit den gleichen Regeln –, dass dieses Narrativ vorbei ist.
Es ist völlig klar: Der Washington Consensus von 1994 is gone. Heutzutage haben wir eine fragmentierte Globalisierung mit ganz unterschiedlichen Interessen und unterschiedlichen Ländern, die eben nicht nach fairen Regeln spielen. Deswegen haben wir schon 2020 die Kommission und den Rat aufgefordert: Wir müssen unseren Werkzeugkasten erweitern. Wir brauchen defensive Maßnahmen, um sicherzustellen, dass wir unsere wirtschaftlichen Interessen verteidigen können.
Eine wichtige Maßnahme ist in der Tat, sich wehren zu können, wenn es wirtschaftliche oder Investitionsmaßnahmen gegen die Europäische Union gibt, um politische Veränderungen durchzusetzen, sei es die Entschließung im Europäischen Parlament, sei es aber auch Gesetzgebung in den Mitgliedstaaten.
Die Kommission hat dann in der Tat das „Anti-Coercion Instrument“, das Instrument gegen Zwangsmaßnahmen, auf den Tisch gelegt. Ich danke allen Kolleginnen und Kollegen für ihre Arbeit in den letzten Monaten, diese Gesetzgebung auch noch weiter zu verbessern. Denn in dem Vorschlag der Kommission waren sehr viele schwammige und unklare Begrifflichkeiten enthalten. Und es gab auch keinen klaren zeitlichen Ablauf. Ich glaube, wenn klar ist: Dieses Instrument ist ein Instrument, um schnell zu reagieren – gegen Zwangsmaßnahmen, Druck von anderen Staaten –, dann muss man auch schnell reagieren.
Wir haben einen klaren Zeitplan eingeführt. Wir haben auch klare Definitionen eingeführt, was eine ökonomische Zwangsmaßnahme ist und wie darauf zu reagieren ist. Ich finde auch richtig und gut, dass wir den Korb mit möglichen Gegenmaßnahmen ganz groß gestaltet haben. Da sind natürlich Zölle enthalten; da sind aber auch Möglichkeiten, den Patentschutz auszusetzen, enthalten; da sind Möglichkeiten, Produkte vom Markt fernzuhalten, enthalten und noch vieles andere mehr. Das ist richtig, denn es soll natürlich kein Staat kalkulieren können, welche Maßnahmen er als Gegenmaßnahmen zu erwarten hat, um dann mit einer Excel-Tabelle zu überlegen: Lohnt sich das oder lohnt sich das nicht? Das soll es nicht sein!
Deswegen ist es richtig, diesen großen Korb mit Gegenmaßnahmen zu haben, weil wir sehen: Manchmal sagen unsere amerikanischen Freunde: „Wenn ihr das und das macht, wenn ihr eine Digitalsteuer einführt, dann gibt es Zölle.“ Also dort gibt es Druck. Oder: China hat, weil Litauen die Botschaft von Taipeh upgegradet hat, das Handeln mit Gütern aus Litauen eingestellt, also auch hier einen wirtschaftlichen Druck ausgeübt.
Allen diesen Maßnahmen müssen wir begegnen können, und deswegen bin ich froh, dass wir heute dieses Gesetzgebungsverfahren beenden können.
"
Bernd LANGE,2023-10-02,DE,Economic coercion by third countries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-156-0000_DE.html,"  Bernd Lange,  Berichterstatter. – Frau Präsidentin, Herr Kommissar! Das war kurz und knackig, schönen Dank! Liebe Kolleginnen und Kollegen, wir haben jetzt den Werkzeugkasten gefüllt mit defensiven Instrumenten, die wir nicht unbedingt auch anwenden wollen. Aber falls es nötig ist, können wir es tun.
Das ist ein großer Unterschied auch zu Instrumenten von anderen Ländern, die von sich aus solche Instrumente offensiv auslösen. Wir machen das nur defensiv, wenn es darauf ankommt. Deswegen ist in dem Gesetzestext ja auch eine Menge an Verhandlungsmöglichkeiten, sodass wir mit dem möglichen Partner, der da Zwangsmaßnahmen im Schilde führt, auch eine Verhandlungslösung aushandeln können.
Ich danke allen Kolleginnen und Kollegen für die netten Worte heute, aber auch für die konstruktive Zusammenarbeit. Das war keine einfache Operation, denn es ist ja ein neues Gesetz. Es ist nicht eine Revision von etwas Bestehendem, sondern ein ganz neues Gesetz, das wir gemeinschaftlich gemacht haben. Neben der guten Zusammenarbeit mit den Kolleginnen und Kollegen sind wir da auch sehr stark unterstützt worden von Mitarbeiterinnen und Mitarbeitern aus meinem Büro: Tim Peter von meiner Fraktion, Jenny Dunsmore, die da oben sitzt, aber auch vom INTA-Sekretariat, von Stefania Nardelli – ohne sie wäre das sicherlich auch nicht so gut gediehen. Aber auch die Zusammenarbeit mit der Kommission war in diesem Fall sehr gut – Colin Brown, der da sitzt, herzlichen Dank für die konstruktive Zusammenarbeit –, sodass wir insgesamt, glaube ich, wirklich eine sehr gute Gesetzgebung auf dem Tisch haben, und ich hoffe, dass wir dem morgen alle zustimmen können. Schönen Dank!
"
Bernd LANGE,2023-09-13,DE,Opening of negotiations of an agreement with the United States of America on strengthening international supply chains of critical minerals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-267-0000_DE.html,"  Bernd Lange,  Verfasser. – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Herzlichen Dank, dass ich die Frage vorstellen kann. Und die schließt natürlich an die Diskussion an, die wir gerade hatten.
Wir wollen in der Europäischen Union die Versorgung mit kritischen Rohstoffen stärken. Und nun verhandeln wir mit den Vereinigten Staaten ein mögliches Abkommen über kritische Rohstoffe. Da tauchen natürlich einige Fragen auf.
Aber vielleicht noch einmal zum Hintergrund: Sie wissen alle, wir leben in einer sehr fragmentierten Globalisierung. Wir sehen überall mehr und mehr Maßnahmen des Protektionismus. Und eine davon ist sicherlich der Inflation Reduction Act in den Vereinigten Staaten, wo mit sehr viel Subventionen lokale Produktion gestärkt wird und damit europäische Anbieter ausgeschlossen werden. Wir verhandeln lange in verschiedenen Sektoren mit den Vereinigten Staaten darüber, um hier einen Ausgleich zu schaffen, weil es kann im Grunde nicht sein, dass durch so eine Politik auch Investitionen aus Europa in die Vereinigten Staaten verlagert werden. Und deswegen haben wir verschiedene Dinge angepackt, um jetzt noch mal einen Ausgleich hinzukriegen. 
Dabei kommen natürlich auch die kritischen Rohstoffe in den Blick, weil ein Element des Inflation Reduction Act die Förderung über kritische Rohstoffe ist, weil die Vereinigten Staaten auch unabhängig von kritischen Rohstoffen werden wollen. Die Vereinigten Staaten haben 50 Rohstoffe, die sie als besonders kritisch sehen. In dem Angebot, das die Vereinigten Staaten uns nun gemacht haben, bieten sie uns aber nur fünf an hinsichtlich des Zugangs. Und da taucht natürlich die Frage auf, warum ist das so und wie reagiert die Kommission darauf? Zumal wir natürlich gerade auch mit zwei Rohstoffen in einer besonderen Bedrängnis sind, mit Gallium und Germanium, wo ja nun China offenbar Lieferrestriktionen aufbaut.
Zum zweiten wollen die Vereinigten Staaten offenbar nicht, dass wir auch recycelte Rohstoffe möglicherweise in die Vereinigten Staaten liefern. In so einer Situation, wo wir ja eigentlich einen shortage hinsichtlich Rohstoffen haben, ist das auch eine Frage. Kriegen wir das hin, dass auch recycelte Rohstoffe dort integriert werden?
Und dann frage ich mich natürlich auch so ein bisschen, und auch der INTA-Ausschuss, wer hat eigentlich einen Benefit davon, wenn wir hier gerade eben diskutiert haben, wir brauchen mehr Rohstoffe in Europa? Wer verkauft eigentlich Rohstoffe in die Vereinigten Staaten und wer profitiert davon? Vielleicht gibt es da ein paar Antworten darauf.
Ich glaube auch, dass wir natürlich sicherstellen müssen, dass diese Tür, die wir da offen haben, dann auch dazu führt, dass die anderen Türen im Bereich des Inflation Reduction Act auch aufgemacht werden. Das kann ja nur ein erster Schritt sein, um hier ein vernünftiges Umgehen miteinander zu finden. Und das heißt natürlich auch, dass wir noch mal klar wissen müssen, wenn wir so ein Abkommen schließen, welche Konsequenzen hat das eigentlich für den Zugang im Rahmen des Inflation Reduction Act. Ist das nur beschränkt auf die Rohstoffe oder öffnen sich dadurch auch weitere Türen?
Wir unterstützen natürlich die Verhandlungen. Wir unterstützen auch ein Abkommen, aber das muss natürlich WTO-kompatibel sein. Wir wollen jetzt nicht in das Fahrwasser von Protektionismus hineingehen – das, glaube ich, ist eine wichtige Anforderung.
Um noch etwas sehr Positives zum Schluss zu sagen, dass die USA auch in diesem Abkommen vorschlagen, dass wir stärker auf die Arbeitsbedingungen bei der Produktion von Rohstoffen achten, finde ich ausgesprochen gut. Und das sollten wir in allen unseren Diskussionen über kritische Rohstoffe tun.
"
Bernd LANGE,2023-04-18,DE,The need for a coherent strategy for EU-China Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-054-0000_DE.html,"  Bernd Lange (S&D).   – Herr Präsident, Herr Kommissar, Herr Hoher Repräsentant! Wenn wir uns die kohärente Strategie angucken, dann, glaube ich, sollten wir Theaterdonner lassen, sondern unsere Interessen definieren. Lassen Sie mich vier Punkte nennen: Erstens müssen wir gucken, wo eigentlich der Handel mit China in einer Situation ist, die kritisch ist. 95 Prozent sind unkritisch, 5 Prozent sind kritisch. Da müssen wir unsere Möglichkeiten, zum Beispiel Rohstoffe selbst zu verarbeiten, stärken. Zweitens: Wir haben im letzten Jahr Verteidigungsmittel geschaffen, um unsere Interessen durchzusetzen: das anti-coercion instrument, IPI, foreign subsidies.
Drittens: Ich glaube, es ist klar, wir brauchen auch Kooperation in den Bereichen, die für uns besonders interessengeleitet sind, wie die Reduzierung von CO2. Wir brauchen einen globalen CO2-Preis und dazu brauchen wir China. Und viertens: Wir müssen das Netz mit verlässlichen Partnern weiter knüpfen, weil wir dort im Wettbewerb mit China stehen, also mehr bilaterale Handelsabkommen. Und dann können wir unsere Interessen auch besser verteidigen.
"
Bernd LANGE,2023-03-14,EN,Implementation report on the Agreement on the withdrawal of the UK from the EU - The Windsor Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-457-0000_EN.html,"  Bernd Lange (S&D).   – Madam President, the famous movie Belfast and the music of Van Morrison is really giving a wonderful impression of feeling about the situation in Northern Ireland. You know from this movie, but also from the discussion we had so far, how important it is to de-escalate. Thanks a lot, Maroš, for de-escalating, for your patience, for engagement, because a trade war is really not in the interest of anybody.
Van Morrison is singing, ‘Don’t look back to the days of yesterday. You cannot live in the past.’ I hope that this agreement is really a door open more for the future. We will have the revision of the TCA in 2025. We will discuss the Erasmus accession of the United Kingdom. We have to discuss the financial services, the fish agreement and so on.
Perhaps it’s really now a better way for the future, for better cooperation between the EU and the United Kingdom. Van Morrison is singing at the beginning of the movie, ‘Coming down to joy.’ Perhaps we can sing along with him one day.
"
Bernd LANGE,2023-02-15,EN,Access to strategic critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-315-0000_EN.html,"  Bernd Lange (S&D).   – Madam President, Commissioner, Minister, indeed, we need a new quality in our raw material policy, sustainability instead of pure exploitation. We did in the past. Therefore, I guess you are quite right. 
First, we have to mobilise our own resources inside the European Union. Sweden did move in the right direction on lithium, but I guess there’s a lot of more potential. 
Secondly, we have to do more on recycling. It is really a scandal that we have a recycling quota for lithium under 10% inside the European Union. 
Thirdly, we have to create partnerships with third countries in real partnership so that we guarantee labour rights, environmental standards, and that our partners have also the possibility to add value in their production process so that they can profit in their development as well. So sustainability instead of pure exploitation. 
"
