MP,Date,Language,Title,Url,Content
Bernhard ZIMNIOK,2023-11-22,DE,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-035-0000_DE.html,"  Bernhard Zimniok (ID).   – Herr Präsident! Weder auf den Kriegsverlauf noch auf die Freilassung von Geiseln haben wir in diesem Konflikt irgendeinen Einfluss. Die EU ist völlig außen vor, spielt politisch nicht einmal eine Nebenrolle und wird auch keine spielen – alles Tagträume. Viel wichtiger wäre eine Debatte hier in diesem Haus darüber, welche Konsequenzen in Europa aus diesem Konflikt jetzt schon zu ziehen sind. Die antisemitischen Demonstrationen des überwiegend muslimischen Mobs auf unseren Straßen sollten für uns alle ein Wecksignal sein.
Es besteht dringender Handlungsbedarf, um der Islamisierung hier in Europa endlich Einhalt zu gebieten. Aber was wurde nach diesen Machtdemonstrationen unternommen? Wurden Islamisten ausgewiesen, Organisationen verboten, illegale Migranten abgeschoben, ein Aufnahmestopp verhängt? Nichts dergleichen, nichts! In Deutschland reisen ohne Kenntnis der Regierung Taliban-Funktionäre ein, halten Hasspredigten in DITIB-Moscheen. Wieso dürfen Islamisten weiter ihre Hetze verbreiten? Will die EU der Islamisierung so lange zuschauen, bis sie vollendet ist?
Werte Kollegen, wachen Sie auf und bekämpfen Sie die Islamisierung Europas, bevor es zu spät ist! Konzentrieren wir uns auf das, was wir machen können, und nicht auf unsere Tagträume!
"
Bernhard ZIMNIOK,2023-11-21,DE,Question Time with Commissioners - The state of implementation of the EU’s commitment to provide 1 million rounds of artillery ammunition to Ukraine until March 2024,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-407-0000_DE.html,"  Bernhard Zimniok (ID).   – Sowohl in den USA als auch bei uns wird heftig über die Fortsetzung der Ukraine-Hilfe gestritten. Angesichts der katastrophalen Entwicklungen der Wirtschaftslage – vor allem in Deutschland –, aber auch wegen des Kriegsverlaufs ist diese Frage nur folgerichtig.
Stichwort: gescheiterte Sommeroffensive; und es zeichnet sich immer deutlicher ab, dass dieser Krieg nicht gewonnen werden kann. Selbst die Befürworter dieser irrsinnigen Finanzhilfen, Waffen- und Munitionslieferungen müssen doch mittlerweile einsehen, dass ein anderes Problem viel vordringlicher und wichtiger ist: der massive Personalmangel der Ukraine, nachdem Zehntausende Soldaten für nichts in den Tod geschickt wurden.
Herr Kommissar, wie wollen wir denn mittelfristig sicherstellen, dass der Mangel an wehrfähigen Männern in der Ukraine ausgeglichen wird? Soll die NATO eingreifen, und soll ein Dritter Weltkrieg riskiert werden, oder wie soll die Zukunft des Landes ohne all diese Männer aussehen?
"
Bernhard ZIMNIOK,2023-11-21,DE,Question Time with Commissioners - The state of implementation of the EU’s commitment to provide 1 million rounds of artillery ammunition to Ukraine until March 2024,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-410-0000_DE.html,"  Bernhard Zimniok (ID).   – Frau Präsidentin! Ich möchte gerne am Thema bleiben. Herr Kommissar, Sie haben gerade auf eine Frage von Renew geantwortet, dass wir auch Hyperschallraketen produzieren könnten. Also, mir ist davon nichts bekannt, und da sind wir in so einem frühen Stadium der Forschung eigentlich, und frühestens in drei Jahren könnten wir den ersten Schuss setzen, einen Probeschuss, wohlgemerkt. Haben Sie neuere Informationen dazu?
"
Bernhard ZIMNIOK,2023-11-08,DE,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-104-0000_DE.html,"  Bernhard Zimniok (ID).   – Frau Präsidentin! Die Situation in Gaza ist nach dem barbarischen Terrorakt der Hamas dramatisch, die Reaktion Israels aber nicht nur verständlich, sondern notwendig. Die Hamas zu vernichten, ist eine der Grundvoraussetzungen für den Frieden.
Genau wie in der Migrationspolitik zementieren EU oder auch meine Bundesregierung diesen Konflikt aber seit Jahrzehnten, indem sie das UNRWA, ein U-Boot des Terrors, mit Abermilliarden finanzieren. Seit Jahren ist bekannt, dass das UNRWA in den Schulen Hass gegen Israel und Juden verbreitet und islamischen Terror glorifiziert – also die ideologische Basis für die Hamas gelegt wird.
Wir von der AfD fordern seit Jahren vergeblich, alle Zahlungen an die Palästinenser endlich einzustellen. Die antisemitischen Demos der muslimischen Mobs in Europa sollten meinen Kollegen eigentlich beweisen, dass man auch in der Migrationspolitik besser auf uns gehört hätte. Kommen Sie endlich zur Vernunft! Stoppen wir gemeinsam diese Terrorfinanzierung und verhängen den längst überfälligen Aufnahmestopp für Asylbewerber – auch für Palästinenser.
"
Bernhard ZIMNIOK,2023-10-17,DE,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-046-0000_DE.html,"  Bernhard Zimniok (ID).   – Herr Präsident! Durch die Sanktionen wollte man Russland wirtschaftlich in die Knie zwingen, damit es den Krieg nicht mehr finanzieren kann. Der Erfolg ist echt beeindruckend: Die Flüssiggasimporte aus Russland sind auf Rekordniveau, und russisches Öl wird jetzt über Drittstaaten wie Indien bezogen. Geändert hat sich dadurch nur, dass wir deutlich mehr bezahlen und Russland daher dieses Jahr wieder erneut seine Gewinne steigern wird.
Hat es den Kriegsverlauf für die Ukraine zum Positiven verändert? Definitiv nicht! Ganz im Gegenteil. Statt – wie von uns gefordert – frühzeitig Verhandlungen anzustreben, hat die Fokussierung auf Waffenlieferungen zehntausende Ukrainer und Russen das Leben gekostet und die Verhandlungsposition der Ukraine massiv geschwächt. 
Die Sanktionen sind krachend gescheitert. Eine Kurskorrektur ist überfällig, und gerade Deutschland sollte Vernunft annehmen und Nord Stream 2 reparieren und unsere dahinsiechende Wirtschaft dadurch wieder ankurbeln. Das unnötige Massensterben von Ukrainern und Russen wird nur durch Verhandlungen beendet.
"
Bernhard ZIMNIOK,2023-10-16,DE,Establishing the Ukraine Facility (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-083-0000_DE.html,"  Bernhard Zimniok (ID).   – Herr Präsident! Die aktuelle Lage in der Ukraine bietet hervorragende Bedingungen für Kriegsprofiteure wie BlackRock, deren CEO sagte, die Ukraine wäre „ein Leuchtfeuer der Hoffnung für die Kraft des Kapitalismus“. Naturgemäß unterscheiden sich die Ziele einer Investmentgesellschaft von denen der Bevölkerung. Gemeinsam mit der für Entwicklungshilfe zuständigen Behörde USAID will sich BlackRock die erheblichen ukrainischen Ressourcen unter den Nagel reißen. Beide fordern Deregulierung, Privatisierung und auch weniger Rechte für Gewerkschaften in der Ukraine. Die wertvollen Ackerflächen sollen entgegen der bisherigen Gesetzeslage für ausländische Investoren geöffnet werden, die sie freilich jetzt schon umgehen. Man muss also konstatieren: Der Ukraine droht der Ausverkauf. Dafür hat Selenskyj in der hoch korrupten Ukraine durch die De-facto-Ausschaltung der Opposition und kritischer Medien die perfekten Bedingungen bereits geschaffen.
Die EU reagiert also nach dem Motto, das bereits in der Finanzkrise angewendet wurde: Gewinne privatisieren, Verluste sozialisieren. Der europäische Steuerzahler soll die Verluste unter anderem durch diese 50 Milliarden Euro schwere Ukraine-Fazilität übernehmen, der ukrainische Bürger wird ausgebeutet. Im Gegenzug übernehmen die US-Wirtschaft und die ukrainische Elite die Gewinne. Vielleicht dämmert es dem einen oder anderen langsam, was wirklich hinter diesem Krieg steckt. Wer diesem Plan zustimmt, macht sich wie die EU zum Büttel der globalen Finanzelite und verrät damit die Interessen der europäischen und ukrainischen Bürger.
"
Bernhard ZIMNIOK,2023-10-04,DE,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-066-0000_DE.html,"  Bernhard Zimniok (ID).   – Herr Präsident! Die Massenmigration ist längst außer Kontrolle geraten. Die unkontrollierte Einreise Hunderttausender hat dramatische Auswirkungen. Morde, Vergewaltigungen oder steigende Mieten – alles bekannte Folgen. Aber die EU unternimmt nichts dagegen. Statt die illegale Massenmigration endlich zu unterbinden, soll mit dem EU-Migrationspakt die Zwangsverteilung der Migranten in Europa durchgesetzt werden. Angesichts einer massiven Überbevölkerung und fehlender Jobs in Afrika wird damit der Massenansturm weiter befeuert.
Halten wir fest: Die EU will mit diesem Pakt die Massenmigration gar nicht beenden, ganz im Gegenteil: Sie fördert sie weiterhin, sie zementiert sie. Ich fordere stattdessen eine No—Way—Kampagne nach australischem Vorbild. Dort ertrinkt seit Jahren kein einziger Migrant mehr. Kein Australier wird mehr durch Vergewaltigung oder Mord kulturell bereichert. So vertritt man die Interessen der eigenen Bürger.
Werte Kollegen, wer diesem Migrationspakt aus diesem steuerfinanzierten Elfenbeinturm heraus zustimmt, verrät hingegen bewusst und aktiv die Interessen derjenigen, die Sie gewählt haben.
"
Bernhard ZIMNIOK,2023-10-04,DE,"Human rights situation in Afghanistan, in particular the persecution of former government officials",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-457-0000_DE.html,"  Bernhard Zimniok (ID).   – Herr Präsident! Der Fall Afghanistan steht exemplarisch für den Umgang der EU mit Krisen in Drittstaaten, vor allem Krisen, die die USA verursacht haben. Während laut den Vereinten Nationen die USA gerade einmal knapp 22 000 Afghanen aufgenommen haben, hat allein Deutschland das Zehnfache der Flüchtlinge aufgenommen. Erinnern wir uns: Es waren die USA, die Afghanistan angegriffen und besetzt haben. Das gleiche Spiel kennen wir auch aus dem Irak und Syrien. Die USA marschieren ein, sichern sich die Rohstoffe, und die Europäer dürfen bezahlen und die Folgen übernehmen.
Wir müssen endlich damit aufhören, Moral zum obersten Prinzip unseres politischen Handelns zu erheben. Wir können nicht jeden aufnehmen, dem es irgendwo in der Welt schlechter geht als uns. Und wenn wir jeden Afghanen aus dem Land holen, der die Taliban auch nur ansatzweise kritisiert, dann helfen wir doch letztendlich nur den Taliban, ihre Macht weiter zu festigen. Herr Borrell sollte daher doch bitte bei den Verantwortlichen − also den USA − um eine Lösung des Problems nachsuchen.
Und noch ein Wort dazu, werte Kollegen: Sie werden mit Ihren moralischen Vorstellungen dieses Land nicht verändern. Das kann ich Ihnen sagen, ich habe dort Jahre gelebt.
"
Bernhard ZIMNIOK,2023-09-12,DE,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-090-0000_DE.html,"  Bernhard Zimniok (ID).   – Herr Präsident! Lisa S. wurde nur 30 Jahre alt. Letzten Freitag wurde sie in der deutschen Stadt Wiesloch von einem mehrfach vorbestraften Asylbewerber ermordet.
Der Tunesien-Deal und seine vagen Absichtserklärungen werden solche Fälle nicht verhindern. Die Massenmigration über die Mittelmeerroute wird damit nicht beendet. Eine drastische Reform der Migrationspolitik ist zwingend erforderlich und auch möglich. Man muss nur wollen und pragmatisch handeln: Grenzen schließen, sogenannte private Seenotrettungen verbieten, Schlepperboote zurückschicken und die unzähligen illegalen Migranten hierzulande abschieben. Alles wäre problemlos möglich.
Wird die Rücknahme der Migranten verweigert, muss Druck ausgeübt werden: Streichung von Entwicklungshilfe, Verhängung von Sanktionen gegen die Elite, Unterbindung von Rücküberweisungen. So werden nachhaltig Grenzen geschützt, nicht durch sinnlose Stuhlkreise.
Werte Kollegen, bisher verweigern Sie sich solchen Maßnahmen. Wegen Ihrer Politik müssen Menschen wie Lisa S. jeden Tag in Europa sterben. Nehmen Sie endlich Vernunft an und schützen Sie unsere Bürger vor Gewalt und Überlastung.
"
Bernhard ZIMNIOK,2023-09-12,DE,Ukrainian grain exports after Russia’s exit from the Black Sea Grain Initiative (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-408-0000_DE.html,"  Bernhard Zimniok (ID).   – Frau Präsidentin! Der ausgelaufene Getreidedeal zeigt beispielhaft die mannigfaltigen Probleme auf, die sich die Europäische Union durch die kompromisslose Unterstützung der Ukraine ins eigene Boot geholt hat.
Der Antrag der fünf Mitgliedstaaten, das Einfuhrverbot für Getreide aus der Ukraine zu verlängern, ist angesichts des immensen Preisdrucks natürlich nachvollziehbar. Das Problem deutet schon an, wie dramatisch sich eine Aufnahme der Ukraine in die Europäische Union auf unsere Landwirte auswirken würde. Ein weiterer Grund, den Aufnahmeprozess umgehend zu beenden.
Den ausgelaufenen Getreidedeal könnte die Europäische Union auch als Anlass nehmen, längst überfällige Verhandlungen zwischen beiden Kriegsparteien zu forcieren, damit dieser grausame Krieg endlich ein Ende findet.
Die sogenannte Sommeroffensive ist ein absolutes Desaster. Mutmaßlich werden wieder zehntausende Ukrainer sinnlos in den Tod geschickt, und das für den Preis von wenigen Quadratkilometern Landgewinn.
Also: Einfuhrverbot verlängern und die Verhandlungen forcieren, um dieses sinnlose Sterben endlich zu beenden.
"
