MP,Date,Language,Title,Url,Content
Carlo FIDANZA,2023-11-21,IT,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-304-0000_IT.html,"  Carlo Fidanza (ECR).   – Signor Presidente, signora Commissaria, onorevoli colleghi, pare che in quest'Aula siamo tutti concordi nel volere un'Unione europea più efficace nel rispondere alle tante sfide che abbiamo di fronte. Ma, come spesso accade qui, dietro motivazioni condivisibili, si nasconde il solito vecchio progetto federalista: spogliare gli Stati membri della loro sovranità, accentrare sempre più poteri a Bruxelles, fare della Commissione e della Corte di giustizia le avanguardie di un'agenda progressista da imporre a governi ribelli a colpi di norme e sentenze. 
Un disegno che vuole rendere l'UE meno democratica e più centralista. Un superstato nel quale pochi grandi Paesi deciderebbero per tutti gli altri, nel quale la Commissione verrebbe nominata su base politica, impedendo ai Paesi più piccoli o a quelli non allineati politicamente di essere rappresentati. Un superstato con decine di nuove competenze per poter imporre da Bruxelles norme che nei singoli Paesi non hanno la forza di approvare. 
Di fronte a questo disegno voglio fare un appello agli amici del PPE: non fatevi ingannare! Nessuno di questi apprendisti stregoni vuole un'Europa più forte. Vogliono solo Stati nazionali più deboli e governi di centro-destra con le mani legate. Non era questo il grande sogno dei padri fondatori, quelli del motto ""uniti nella diversità"", quelli che hanno scolpito nei trattati il principio di sussidiarietà. 
Ripartiamo da quei valori e da quel progetto e mettiamo da parte una volta per tutte le utopie antinazionali, e quindi antieuropee, della sinistra.
"
Carlo FIDANZA,2023-10-04,IT,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-098-0000_IT.html,"  Carlo Fidanza (ECR).   – Signor Presidente, onorevoli colleghi, se l'Europa finora ha fallito sulle politiche migratorie, è proprio per responsabilità di coloro che, anche oggi, si sono scagliati contro le presunte politiche securitarie, autoritarie e inumane della destra. Ipocriti, ipocriti perché abbiamo visto governi di sinistra o liberali in Europa sparare sui migranti, respingere donne incinte e bambini, proporre di schedare i migranti in Ruanda e ripristinare controlli alle frontiere interne mentre finanziano le ONG che trasportano clandestini verso le nostre coste. I cittadini europei sono stufi di questa falsa morale.
Abbiamo pochi strumenti, utilizziamoli. Abbiamo un accordo con la Tunisia per fermare questi traffici e lo state boicottando. Abbiamo un piano di azione in dieci punti e fate finta che non esista. Insistete con le fallimentari politiche di ridistribuzione e con l'idea assurda di una Mare Nostrum europea. E invece, l'unico modo per stroncare questo business disumano e garantire un'immigrazione regolata e compatibile è fermare le partenze.
"
Carlo FIDANZA,2023-10-04,IT,"Human rights situation in Afghanistan, in particular the persecution of former government officials",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-446-0000_IT.html,"  Carlo Fidanza,  autore. – Signor Presidente, onorevoli colleghi, signor Commissario, è stato un onore accogliere oggi al Parlamento europeo Ahmad Massoud, leader del Fronte di resistenza nazionale dell'Afghanistan e figlio del leggendario comandante Ahmad Shah Massoud, il ""Leone del Panjshir"", che guidò la lotta del popolo afghano contro l'invasore sovietico e poi contro il fondamentalismo islamico, trovando la morte per mano di Al Qaeda proprio due giorni prima dell'11 settembre del 2001.
I talebani, dopo il ritiro occidentale e il ritorno al potere, non sono cambiati. Un regime totalitario che ha annullato i diritti umani, i diritti delle donne e quelli delle minoranze religiose, ora perseguita gli ex ufficiali dei precedenti governi e governa con il terrore della legge islamica.
In più di vent'anni l'Occidente, l'Europa e l'Italia hanno pagato un tributo di sangue altissimo per debellare i santuari del terrorismo internazionale e restituire una speranza di libertà al popolo afghano. Quel tributo va onorato oggi, sostenendo con più forza la resistenza anti talebana per contribuire alla costruzione di un Afghanistan finalmente decentralizzato e democratico.
"
Carlo FIDANZA,2023-10-02,IT,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-047-0000_IT.html,"  Carlo Fidanza (ECR).   – Signora Presidente, onorevoli colleghi, io francamente rimango basito dalle argomentazioni che ho ascoltato dal collega, che mi fanno pensare che il dibattito che si vuole organizzare in quest'Aula sia del tutto strumentale. Ho sentito parlare di cose che in Italia non esistono, di cui nessun italiano ha consapevolezza.
Non c'è stato un solo atto, dall'inizio del governo guidato da Giorgia Meloni, che abbia in qualche modo peggiorato la situazione degli omosessuali in Italia. Non c'è stata una sola normativa varata dal governo di centrodestra in Italia che possa avere in qualche modo colpito gli omosessuali. Questa che voi state raccontando è una falsa propaganda e, se pensate di fare un dibattito sulla base di falsità e menzogne come questa, ve lo voterete da soli, perché noi non siamo d'accordo.
"
Carlo FIDANZA,2023-09-13,IT,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-029-0000_IT.html,"  Carlo Fidanza (ECR).   – Signora Presidente, onorevoli colleghi, Presidente von der Leyen, abbiamo ascoltato una sorta di manifesto elettorale, in parte condivisibile, in parte no, in parte in estremo ritardo. 
Ecco le nostre priorità per i prossimi mesi: occorre riformare la governance economica mettendo al centro crescita e investimenti, interrompendo i continui insensati rialzi dei tassi da parte della BCE, che non abbattono l'inflazione ma causano recessione.
Occorre una transizione ecologica fondata sul realismo e non su obiettivi ideologici che uccidono manifattura e agricoltura, consegnandoci mani e piedi alla Cina. Occorre ridurre la proliferazione normativa che uccide le nostre imprese con vincoli e burocrazia e riportare in Europa le produzioni strategiche.
Infine, le decisioni assunte ieri dai governi francese e tedesco – a proposito, la sinistra delle porte aperte su questo non ha avuto nulla da dire – rendono ancora più urgente una soluzione concreta contro il traffico di esseri umani e contro l'immigrazione illegale che rende insicure le nostre città. Dalle parole ai fatti.
"
Carlo FIDANZA,2023-07-10,IT,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-057-0000_IT.html,"  Carlo Fidanza,  a nome del gruppo ECR. – Signora Presidente, signora Vicepresidente, onorevoli colleghi, green, sostenibilità, decarbonizzazione sono il mantra che ha portato alla presentazione del pacchetto Fit for 55.
Anche in questa sessione voteremo una serie di provvedimenti che ne fanno parte e che risentono tutti dello stesso vizio di origine: ci stanno chiedendo di fare una costosissima rivoluzione industriale verde per contribuire di uno ""zero virgola"" alla riduzione delle emissioni globali, mentre i paesi più inquinanti si arricchiranno, vendendoci quello che serve alla nostra transizione, realizzato grazie a nuove centrali a carbone e magari grazie al lavoro minorile.
Le transizioni, la storia ce lo insegna, offrono opportunità ma presentano il conto: intere filiere industriali che rischiano di saltare, lavoratori disoccupati, famiglie in difficoltà. E chi paga questo conto? Le imprese, i cittadini o, nelle migliori delle ipotesi, gli Stati membri, che poi siamo sempre noi, ai quali non viene nemmeno concesso di scorporare quegli investimenti obbligatori dai parametri del debito.
Un'impostazione centralista, a tratti totalitaria, fondata su analisi di impatto discutibili, sulla costante violazione del principio di neutralità tecnologica, sulla mancata fiducia nelle imprese – da sempre il miglior volano all'innovazione – sulla corsa sfrenata all'elettrico tutto e subito, che ci consegnerà alla dipendenza dalla Cina proprio mentre ci liberiamo faticosamente da quella della Russia.
Non paghi di voler mettere in ginocchio l'automotive, i trasporti, la meccanica, la chimica, la farmaceutica e molti altri settori manifatturieri, il commissario Timmermans e il suo collettivo ultra-ambientalista, spalleggiati dalle sinistre verdi e rosse, provano a dare il colpo di grazia anche al settore agroalimentare. Lo fanno già da tempo, a dire il vero.
Oggi rilanciano con la legge sul ripristino della natura e provano il colpo di grazia con la direttiva sulle emissioni industriali, che vorrebbe di fatto equiparare gli allevamenti bovini alle fabbriche inquinanti, con esiti disastrosi per il settore, per la nostra stessa sicurezza alimentare e, in fondo, anche per l'ambiente perché saremmo costretti a maggiori importazioni da paesi terzi molto meno sostenibili di noi.
Ma ormai il re è nudo e non vi basterà la giovane Greta, qui tra qualche ora; tra un anno saranno i cittadini europei a presentarvi il conto.
"
Carlo FIDANZA,2023-06-13,IT,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-168-0000_IT.html,"  Carlo Fidanza (ECR).   – Signora Presidente, onorevoli colleghi, signora Commissaria, qualcuno dice che forse l'Unione europea si è spinta troppo in là e troppo presto rispetto all'evoluzione dell'intelligenza artificiale che ancora conosceremo nei prossimi mesi e anni. Forse sì, ma oggi, oltre a discutere il dettaglio normativo, è importante affermare un principio: qualsiasi evoluzione tecnologica, tanto più questa che può anche avere impatti disumanizzanti, deve essere messa al servizio dell'uomo. 
Ecco perché è importante dotarci di uno strumento normativo che definisca che non tutte le infrastrutture hanno la stessa pericolosità e che diritti fondamentali, quali la proprietà intellettuale, la privacy e la tutela dei consumatori, o valori come la democrazia, la libertà di espressione, la dignità umana e la sicurezza non possono essere minati.
È fondamentale anche contemperare le esigenze dell'innovazione e della competitività del nostro sistema produttivo con l'occupazione e la tenuta sociale. Ma è anche fondamentale tenere aperta la finestra per governare i futuri avanzamenti ed evitare di trovarci, a breve, nella condizione paradossale di dover inseguire gli altri giganti globali che nel frattempo saranno andati avanti più in fretta di noi. 
"
Carlo FIDANZA,2023-06-13,IT,Situation in Nicaragua (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-325-0000_IT.html,"  Carlo Fidanza (ECR).   – Signor Presidente, onorevoli colleghi, signor Alto rappresentante, da tempo denunciamo il deterioramento dei diritti umani e la sempre più pesante repressione di ogni voce libera da parte del regime comunista Ortega-Murillo. 
L'ultima notizia è di qualche giorno fa. Il regime, nella sua criminale crociata contro la Chiesa cattolica, ha bloccato i conti bancari delle diocesi. Pochi giorni prima erano state espulse delle suore che lavoravano in una casa di cura per anziani e arrestati altri tre sacerdoti. Sono vietate le processioni, vengono chiuse le scuole, le università e le radio di ispirazione cattolica. 
La Chiesa in Nicaragua è per milioni di cittadini l'unica speranza di libertà in un paese dilaniato dalla povertà e dalla dittatura. L'Europa deve farsi sentire con maggiore forza. Chiediamo che vengano inasprite le sanzioni contro il regime di Ortega e che venga chiesto conto a Cuba del costante sostegno del regime castrista a Ortega e a molti altri dittatori dell'America Latina e di tutto il mondo. 
"
Carlo FIDANZA,2023-04-18,IT,The need for a coherent strategy for EU-China Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-042-0000_IT.html,"  Carlo Fidanza (ECR).   – Signor Presidente, signor Alto rappresentante, signor Vicepresidente, c'è la fila a Pechino per incontrare il Presidente Xi Jinping. 
Dopo il cancelliere Scholz, il premier Sánchez, i nostri Presidenti Michel e von der Leyen, dopo i ministri sauditi, iraniani, persino talebani, negli ultimi giorni è toccato a due idoli della sinistra europea: quello della sinistra radicale, il Presidente brasiliano Lula, che ha ben chiarito da quale parte sta in questo nuovo bipolarismo tra democrazie occidentali e autocrazie, e quello della sinistra liberale ed europeista, il Presidente Macron.
Quest'ultimo, per recuperare un po' di consenso in patria recitando la parte del nuovo De Gaulle, ha pensato bene di dividere l'Occidente, dividere l'Europa che oggi ha il suo fianco est così esposto all'espansionismo russo, abbandonare Taiwan proprio mentre la Cina si fa più aggressiva e infine predicare l'autonomia strategica, dimenticando che sono proprio le folli politiche ultra ambientaliste dell'UE che Macron sostiene con entusiasmo a condannarci a una sempre maggiore dipendenza dalla Cina comunista. E questa non è certamente una strategia coerente.
"
Carlo FIDANZA,2023-04-18,IT,"The need for European solidarity in saving lives in the Mediterranean, in particular in Italy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-365-0000_IT.html,"  Carlo Fidanza,  a nome del gruppo ECR. – Signor Presidente, signora Ministra, signor Commissario, ringrazio il presidente Weber per aver voluto promuovere un dibattito sulla situazione di emergenza in Italia, che poi la sinistra ha voluto diluire nel titolo aggiungendo anche un forte richiamo ai salvataggi di vite umane, con particolare riguardo all'Italia. Un riferimento che, permettetemelo, ho trovato peloso.
E voglio partire da qui, ringraziando lo straordinario lavoro della Guardia costiera italiana, ingiustamente infangata soltanto qualche settimana fa, dopo il naufragio al largo delle coste della Calabria. Quella Guardia costiera che ogni giorno mette in salvo centinaia di vite umane, che ci consente di dire che l'Italia non accetta lezioni di umanità da nessuno.
Da mesi il governo Meloni chiede soluzioni europee al fenomeno migratorio, una maggiore attenzione alla protezione delle frontiere esterne, una politica comune per i rimpatri degli irregolari, percorsi sicuri per gli aventi diritto all'asilo e regolamentazione dell'attività delle ONG, e chiede di intensificare l'azione esterna verso i paesi di origine e di transito dei migranti per ridurre le partenze, unico vero antidoto alle morti in mare.
Questo, per quanto riguarda il Mediterraneo centrale, chiama in causa da un lato la Tunisia con la sua crisi economica e la sua instabilità politica, sulle quali la comunità internazionale deve intervenire presto con strumenti finanziari adeguati, e dall'altro chiama in causa la Libia, che nella sua parte orientale viene sempre più utilizzata come una piattaforma di nuovi flussi, usati come arma di destabilizzazione geopolitica, come già è avvenuto nei mesi scorsi, ad esempio ad opera della Bielorussia contro la Polonia.
Si stanno facendo alcuni passi nella giusta direzione, lo voglio riconoscere alla Commissione, ma non è abbastanza e soprattutto non si sta procedendo abbastanza in fretta. Sbagliano quanti pensano che oggi la soluzione sia in una missione europea di salvataggio in mare, questa finirebbe per trasformarsi in un nuovo pull factor, come già fu nel caso della missione Mare Nostrum varata alcuni anni fa dall'Italia.
Una maggiore presenza in mare dell'Unione è certamente auspicabile, ma deve essere indirizzata a proteggere le frontiere esterne e a contrastare i trafficanti, non certo a incentivare i loro traffici.
E sbaglia anche chi pensa di continuare a riproporre la falsa contrapposizione tra movimenti primari e movimenti secondari, oppure riproporre quei meccanismi di redistribuzione più o meno obbligatori che finora non hanno mai funzionato perché nessuno, non solo i paesi di Visegrád, ama accogliere in casa propria migranti illegali. 
Nessun meccanismo potrà mai risultare efficace se non diminuiremo i numeri in partenza e se non separeremo la migrazione legale da quella illegale, i percorsi protetti per chi ha diritto all'asilo da quelli di chi parte con l'auspicio legittimo, ma purtroppo non sempre e non per tutti realizzabile, di poter trovare fortuna in Europa.
È questa la linea di realismo e di solidarietà che chiediamo all'Europa. Il tempo ormai è ampiamente scaduto.
"
