MP,Date,Language,Title,Url,Content
Caroline ROOSE,2023-12-12,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-032-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Monsieur le Président, la transition écologique va nécessiter de grandes quantités de matières premières critiques. Il est nécessaire que l’Union européenne puisse s’approvisionner sur son sol et dépende moins des pays tiers au vu des impacts sociaux, environnementaux et humains.
Mais il faut aussi que cette stratégie d’approvisionnement se fasse dans le respect des limites planétaires. La législation sur les matières critiques propose des éléments intéressants sur l’atténuation de la demande, le recyclage, la circularité, mais sans vraiment proposer de nouveaux modèles plus sobres et sans questionner le tout-numérique. Surtout, l’Union européenne ne doit pas répéter les erreurs du passé en soutenant une logique purement extractiviste, sur son territoire comme à l’international. 
Les droits des peuples autochtones et des populations locales doivent être respectés, y compris le principe de consentement préalable, libre et éclairé. La course aux matières premières critiques ne doit pas être un prétexte pour mettre davantage en danger la nature. Malheureusement, dans ce compromis final, les États se réservent la possibilité de faire de l’extraction dans les aires protégées et d’accélérer de nouveaux projets miniers au nom de l’intérêt public supérieur. Nous serons donc particulièrement vigilants sur l’application de ce texte.
"
Caroline ROOSE,2023-10-19,FR,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-028-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Madame la Présidente, mes collègues l’ont dit: l’élevage d’animaux pour leur fourrure est une pratique injustifiable. Élever des animaux en cages, y compris des espèces sauvages, au mépris de leur comportement et de leurs besoins comportementaux, les tuer par gazage ou par électrocution pour en faire des vêtements de luxe, cela ne devrait plus exister.
Plusieurs États ont légiféré pour interdire cette pratique. Il est temps d’agir au niveau européen, d’interdire l’élevage d’animaux pour leur fourrure et d’interdire la vente de produits contenant de la fourrure. Mais c’est la quatrième fois depuis le début de la législature que nous nous retrouvons ici pour débattre d’une initiative citoyenne qui porte sur la protection des animaux. Je vous pose dès lors la question: que sont devenues les précédentes initiatives citoyennes européennes?Sur la fin des cages, la Commission s’était engagée à interdire l’élevage d’animaux en cage d’ici à 2027. La proposition de règlement était attendue avant la fin de l’été; elle semble avoir été tout bonnement abandonnée. Comment voulez-vous que les citoyennes et les citoyens européens fassent confiance à l’Union européenne si la Commission fait des promesses, mais que sa présidente décide de les abandonner, par calcul électoral, à quelques mois des élections?
"
Caroline ROOSE,2023-10-16,FR,Fisheries control (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-166-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Madame la Présidente, sans mesures de contrôle fortes, il n’y a pas de confiance, et sans confiance il n’y a plus de politique commune de la pêche. Sans mesures de contrôle efficaces, toutes les mesures que nous prenons pour améliorer la durabilité de la pêche ne seraient pas appliquées par tous. La réforme du contrôle des pêches était donc nécessaire et elle aura mis du temps à advenir – plus de cinq ans de travail titanesque!
Cette réforme permet de moderniser, harmoniser et renforcer les règles européennes sur le contrôle des pêches: harmonisation des sanctions, journaux de bord électroniques, géolocalisation «VMS» pour les navires de moins de douze mètres, mise en place d’un permis pour les pêcheurs de loisir, utilisation de caméras sur les plus grands navires pour s’assurer du respect de l’obligation de débarquement. Même si nous aurions aimé aller plus loin, les progrès sont substantiels et nous amènent à soutenir cette réforme.
Reste la question des marges de tolérance. Nous avons là évité le pire, compte tenu du mandat voté par le Parlement il y a trois ans. L’assouplissement des marges de tolérance aurait créé une véritable catastrophe écologique et économique. Mais la solution trouvée, à deux vitesses, pose question, et nous serons particulièrement vigilants quant à sa mise en œuvre.
"
Caroline ROOSE,2023-10-16,FR,Implications of Chinese fishing operations for EU fisheries and the way forward (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-189-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Madame la Présidente, saviez-vous qu’une partie du poisson issu du travail forcé des Ouïghours en Chine finit dans nos assiettes? C’est ce que suspecte la dernière enquête du projet Outlaw Ocean. Voilà des années que les autorités chinoises ont mis en place des transferts de main-d’œuvre d’Ouïghours vers les régions industrielles, où se trouvent des usines de transformation des produits de la mer. Ces produits se retrouvent, en bout de chaîne, dans les supermarchés d’Europe ou des États—Unis. 
Au moins dix grandes entreprises de produits de la mer en Chine ont utilisé plus de un millier de travailleurs ouïghours depuis 2018. Une main d’œuvre que la Chine opprime, exploite, interne, torture; les audits internationaux et autres certifications n’arrivent pas à détecter ce travail forcé, et certains poissons sont même estampillés «pêche durable». Or, ces produits de la mer alimentent des usines en Europe qui approvisionnent, à leur tour, de grandes marques et des supermarchés. Certains produits se retrouvent dans nos hôpitaux ou encore dans les cantines de la Commission. 
Je salue le fait que le rapport vise à accroître la traçabilité des produits importés. Les Verts ont également œuvré pour que la législation sur l’interdiction d’importation des produits issus du travail forcé mette fin à cette situation. 
"
Caroline ROOSE,2023-09-13,FR,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-084-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Madame la Présidente, Madame Von der Leyen, vous avez plusieurs fois aujourd’hui répété votre attachement au pacte vert, mais vous n’avez rien dit, pas une seule phrase, pas un seul mot sur le bien-être animal et la révision des règles européennes sur le bien-être animal. C’est pourtant l’un des pans du pacte vert les plus attendus par les citoyens européens.
Cette réforme est un engagement répété de la Commission européenne par rapport à la stratégie «de la ferme à la fourchette», suite à la commission d’enquête sur le transport des animaux – on a travaillé plus d’un an et demi dessus –, suite à l’initiative citoyenne «End the cage age». Abandonner cette réforme après s’y être engagé porterait un sérieux coup à la crédibilité de la Commission européenne. Abandonner cette réforme – il ne faut absolument pas vous cacher derrière de faux arguments comme celui de l’inflation. Si nous voulons vraiment nous attaquer à l’inflation, il existe d’autres solutions, comme s’attaquer aux marges des transformateurs et des distributeurs. Les animaux ne doivent pas faire les frais de calculs politiques à quelques mois des élections et nous comptons sur vous.
"
Caroline ROOSE,2023-09-13,FR,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-180-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Madame la Présidente, Madame la Commissaire, en parlant du loup comme d’un danger pour l’homme, Ursula von der Leyen a ravivé la peur culturelle du grand méchant loup. La consultation publique qui a été lancée en même temps est opaque et précipitée. Le but est de revenir sur le statut de protection des loups pour introduire plus de flexibilité et faciliter leur abattage. Ces déclarations font partie d’une stratégie politique bien ficelée qui vise à sacrifier le loup sur l’autel des élections.
Parler du loup comme d’un danger pour l’homme, c’est de la désinformation. Promettre aux agriculteurs que l’abattage est la solution, c’est un mensonge. C’est même contre-productif. La cohabitation est possible. Construisons les solutions avec les éleveurs au lieu de crier au loup, le PPE et Madame von der Leyen feraient mieux de s’intéresser aux alternatives comme une meilleure surveillance des troupeaux par des patous, le renforcement des clôtures, des compensations financières, etc.
Le nombre de loups augmente, c’est vrai, mais l’espèce reste menacée et doit rester protégée par la directive «Habitats». Alors après la restauration de la nature, on est sur le loup, et ensuite, quelle sera la prochaine cible? Ne laissons pas le cynisme de la droite l’emporter sur la nature et notre futur.
"
Caroline ROOSE,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-011-0000_FR.html,"  Caroline Roose,  rapporteure pour avis de la commission de la pêche. – Monsieur le Président, Monsieur le Commissaire, depuis des années, les scientifiques sonnent l’alerte sur l’effondrement de la nature qui a lieu à un rythme sans précédent et qui a déjà des conséquences graves sur l’humanité, à commencer par les pêcheurs. Nous avons de nombreux exemples de populations de poissons qui s’effondrent à cause de la dégradation des écosystèmes marins.
La loi sur la restauration de la nature permet une approche au plus près des territoires en prenant les mesures adaptées à chaque situation. Mais depuis des mois, le PPE a enchaîné les fausses informations sur ce texte. Vous nous avez d’abord expliqué que la loi sur la restauration de la nature allait apporter la famine en Europe. Les experts ont montré que c’était faux et que nous avions besoin d’abeilles pour avoir des fruits, que nous avions besoin d’écosystèmes marins en bon état pour qu’il y ait des poissons à pêcher, que sans nature, il n’y a pas de nourriture. Vous vous êtes alors mis à raconter sur les réseaux sociaux que la loi sur la restauration de la nature allait conduire à la destruction de villes entières et même de la maison du père Noël. Soyons sérieux, nos débats méritent mieux que ça.
Alors vraiment, j’espère que les députés du PPE et de Renew qui envisagent de s’opposer à la loi sur la restauration de la nature vont se ressaisir et ne pas prendre part à ce cirque qui ternit l’image du Parlement européen et qui met en péril la nature, les pêcheurs et les citoyens. 
"
Caroline ROOSE,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-095-0000_FR.html,"  Caroline Roose (Verts/ALE),  question «carton bleu». – Monsieur Herbst, vous avez souvent à cœur de défendre les pêcheurs et la pêche. Partout, les pêcheurs souffrent de la destruction des écosystèmes marins, notamment par la pollution de l’industrie, par la pollution de l’agriculture et des villes. Si je prends l’exemple du cabillaud en mer Baltique, la loi sur la restauration de la nature permet justement une solution par rapport au cabillaud. Vous êtes aussi président du Forum de la pêche récréative et les pêcheurs récréatifs sont pour cette voie de la restauration de la nature. Monsieur Herbst, qu’allez-vous répondre aux pêcheurs quand il n’y aura plus d’écosystèmes marins en bon état et que les pêcheurs devront mettre la clé sous la porte?
"
Caroline ROOSE,2023-07-10,FR,European Citizens’ Initiative ‘Save Cruelty Free Cosmetics – Commit to a Europe without animal testing’ (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-153-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Madame la Présidente, le règlement cosmétique de 2009 interdit des expérimentations animales sur les produits cosmétiques et sur leurs ingrédients. Il interdit aussi la mise sur le marché de produits qui avaient été testés ou dont les ingrédients avaient été testés sur des animaux. Pourtant, l’Agence européenne des produits chimiques continue d’exiger de certains fabricants qu’ils recourent à des tests sur les animaux. Rien aujourd’hui ne peut justifier que des tests sur les animaux soient pratiqués pour des cosmétiques.
Cela fait des années que les fabricants et les associations de protection des animaux alertent sur ce scandale. Aujourd’hui, grâce à la mobilisation des dizaines d’associations et plus d’un million de signatures de citoyennes et citoyens européens, nous en discutons enfin! Merci à eux.
L’initiative citoyenne européenne nous invite aussi à nous poser plus globalement la question des tests sur les animaux. Les alternatives existent. Elles sont même souvent plus fiables que les tests sur les animaux. Pourtant, les tests sur les animaux diminuent à peine. Nous avons besoin d’un plan d’action complet qui mêle formation des professionnels, financements publics et réglementation pour réduire significativement les tests sur les animaux.
"
Caroline ROOSE,2023-06-15,FR,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-031-0000_FR.html,"  Caroline Roose (Verts/ALE).   – Madame la Présidente, Madame la Commissaire, c’est un fait: le changement climatique augmente la fréquence des sécheresses et leur intensité. La crise de l’eau ne fait que commencer, et nous aurions tort de penser qu’elle est seulement liée au dérèglement climatique: elle est aussi le résultat de choix politiques, qui mettent en danger les ressources en eau. L’étalement urbain, l’artificialisation des terres ou encore la disparition des haies font que moins d’eau de pluie pénètre dans le sol pour recharger les nappes phréatiques. Le développement de cultures très gourmandes en eau, concentrées dans quelques régions, amène à ce que des quantités encore plus grandes soient pompées. Enfin, alors que l’on demande des efforts à chacun, on continue à autoriser l’arrosage des golfs ou l’utilisation de canons à neige, qui utilisent des quantités d’eau incroyables.
Face à cela, certains s’enferment dans un modèle dépassé: les bassines, qui permettent à une poignée de gros agriculteurs de s’accaparer deux milliers de mètres cubes d’eau aux dépens des autres. C’est une aberration. Revenons aux fondamentaux. L’eau est un droit humain, l’eau est un bien commun, il faut qu’elle soit gérée et protégée comme telle.
"
