MP,Date,Language,Title,Url,Content
Caterina CHINNICI,2023-11-23,IT,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-071-0000_IT.html,"  Caterina Chinnici (PPE).   – Signor Presidente, signora Commissaria, onorevoli colleghi, ""Giornata per l'eliminazione della violenza contro le donne"", contro le donne, perché le parole contano. Donne e ragazze subiscono violenza fisica, sessuale, psicologica, economica soltanto perché donne. La realtà dei numeri nel mondo e nell'Unione europea è drammatica. 
La vicenda di Giulia Cecchettin – e ringrazio la Presidente Metsola che ha voluto ricordarla in quest'Aula – ci ha colpito fortemente perché Giulia era semplicemente una ragazza: poteva essere nostra figlia, nostra sorella, una di noi. E il ragazzo che l'ha uccisa poteva essere nostro figlio, nostro fratello – e lo dico agli uomini – uno di voi. 
Bene allora la nuova direttiva, bene l'adesione dell'Unione alla Convenzione di Istanbul. Ma educazione, prevenzione, protezione e repressione da sole non bastano: occorre promuovere un cambiamento culturale profondo che coinvolga famiglie, scuole, università, istituzioni, social e media per superare la cultura del possesso e del controllo, che di questa intollerabile violenza contro le donne è causa. 
"
Caterina CHINNICI,2023-11-20,IT,"Children first - strengthening the Child Guarantee, two years on from its adoption - Reducing inequalities and promoting social inclusion in times of crisis for children and their families (joint debate – International Day of the Rights of the Child)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-072-0000_IT.html,"  Caterina Chinnici (PPE).   – Signora Presidente, signora Commissaria, onorevoli colleghi, secondo il rapporto pubblicato a settembre scorso da Eurostat, aumentano e sarebbero quasi 20 milioni nel 2022 i ragazzi di età inferiore ai 18 anni a rischio di povertà o di esclusione sociale. 
Come sempre, infatti, nelle situazioni di crisi, quali la pandemia di COVID-19 o le ripercussioni della guerra in Ucraina, il prezzo più alto lo pagano i bambini e fra questi i più colpiti, ancora una volta, sono i più fragili: bambini provenienti da contesti di immigrazione, rifugiati, minori non accompagnati ma anche bambini provenienti da famiglie monoparentali, bambini con disabilità e bambini appartenenti a minoranze etniche. 
La Garanzia europea per l'infanzia rappresenta uno strumento fondamentale per combattere l'inaccettabile povertà di milioni di bambini in Europa e va certamente rafforzata. 
Spetta ora agli Stati membri attuare piani di azione nazionali efficaci affinché ad ogni bambino in Europa possa essere garantito davvero uno sviluppo sano ed armonioso, come sancito nella Convenzione delle Nazioni Unite sui diritti del fanciullo.
"
Caterina CHINNICI,2023-10-18,IT,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-252-0000_IT.html,"  Caterina Chinnici (PPE).   – Signor Presidente, signor Commissario, onorevoli colleghi, ringrazio innanzitutto il Presidente Murphy per il lavoro svolto dalla Corte dei conti europea, da cui emerge la necessità di misure e interventi concreti e tempestivi. 
Il tasso di errore rilevante, e in aumento rispetto al 2021, richiama a incrementare gli sforzi per semplificare le procedure, ove possibile, alleggerendo gli oneri per imprese e beneficiari, senza però rinunciare a controlli e garanzie di regolarità. Occorre poi scongiurare il rischio di perdita dei finanziamenti a causa dell'attuazione contemporanea di più strumenti da parte degli Stati membri, così come vanno mitigati i rischi per il bilancio derivanti dall'aumentata esposizione e dall'alto tasso di inflazione. 
Un'attenzione particolare merita poi l'attuazione dell'RRF. Traguardi e obiettivi devono essere definiti con precisione e le valutazioni preliminari e i controlli ex post rafforzati, affinché le regole di ammissibilità siano rispettate e i risultati prefissati raggiunti, e gli Stati membri devono rafforzare i propri sistemi di rendicontazione e controllo.
Certo, il 2022 è stato un anno complesso, così come il precedente e purtroppo quello attuale, ma proprio per questo non possiamo che fare nostre le raccomandazioni della Corte: restare attenti e vigili, adottare controlli efficaci e cooperare a tutti i livelli perché i fondi europei siano spesi bene e in tempo, nell'interesse dei cittadini europei.
"
Caterina CHINNICI,2023-10-17,IT,Question Time with Commissioners - European measures to prevent and to fight the rise of organised crime,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-298-0000_IT.html,"  Caterina Chinnici (PPE).   – La criminalità organizzata in tutte le sue forme, lo abbiamo detto, così come il terrorismo, purtroppo lo abbiamo appena visto, minaccia la sicurezza, la libertà, i diritti dei cittadini, i valori dell'Unione, di tutta l'Unione, non di singoli Stati perché i gruppi criminali organizzati non conoscono confini. 
E allora serve una risposta che sia autenticamente comune e che, come nell'esperienza maturata nel mio paese, l'Italia, sia fondata su scambio di informazioni, cooperazione, coordinamento e contrasto patrimoniale, il ""Follow the money"" da Lei stesso citato. 
E allora bene la strategia del 2021, i provvedimenti sin qui adottati fino alle più recenti direttive su confisca e corruzione, ma non basta. Di tutti gli ""EU crimes"" la criminalità organizzata è forse l'unica ancora regolata da un atto pre-Lisbona. 
E allora io ho due domande per Lei: Le vorrei chiedere qual è l'esito dello studio avviato dalla Commissione per valutare se la decisione quadro 841 del 2008 sia ancora adeguata allo scopo o non sia piuttosto un'arma spuntata contro la criminalità organizzata, come molti sostengono. 
E poi, se intende la Commissione, finalmente direi, proporre una direttiva organica come è stato fatto per il terrorismo nella passata legislatura, che sia proprio indirizzata a contrastare le attuali organizzazioni criminali, vere e proprie imprese spesso a vocazione globale. 
"
Caterina CHINNICI,2023-10-05,IT,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-101-0000_IT.html,"  Caterina Chinnici (PPE).   – Signora Presidente, onorevoli colleghi, signora Commissaria, sfruttamento e abusi sessuali, violazione della privacy, violenza, ciberbullismo e profilazione a scopi commerciali sono solo alcuni dei rischi che, accanto alle tante opportunità, il mondo digitale crea per bambini e ragazzi.
Certo, Internet non è stato concepito pensando ai minori, ma questi sono oggi un terzo degli utenti europei. Occorrono allora regole precise e interventi puntuali di legislatori e provider per impedire che l'evoluzione digitale produca conseguenze, spesso gravi, sulla vita reale, la salute psicofisica e lo sviluppo dei più giovani.
La strategia BIK+ è importante per costruire un Internet più sicuro e a dimensione di bambino, ma ora va tradotta in azioni concrete per far partecipare attivamente i minori, educarli e renderli consapevoli dei rischi, e coinvolgere genitori, famiglie, scuole ed educatori e rafforzare prevenzione e protezione delle vittime. E le imprese, signora Commissaria, devono investire in strumenti di safety by design per garantire dall'inizio la sicurezza dei minori. Proteggere i più piccoli anche in rete è compito di tutti noi. Per loro e con loro dobbiamo lavorare a questo obiettivo.
"
Caterina CHINNICI,2023-06-12,IT,European Union Drugs Agency (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-182-5000_IT.html,"  Caterina Chinnici (PPE),  per iscritto. – Le droghe e le tossicodipendenze causano enormi danni alla salute delle persone, principalmente ai giovani, e alla società nel suo insieme. Il traffico di stupefacenti rappresenta, inoltre, una delle principali fonti di reddito della criminalità organizzata. 
L'Unione europea deve necessariamente dotarsi di strumenti più incisivi per combattere tale flagello, così da affrontare con più efficacia tale sfida a livello UE. Bene quindi l'accordo raggiunto a seguito dei negoziati interistituzionali che trasformerà l'attuale Osservatorio europeo delle droghe e delle tossicodipendenze di Lisbona in un'agenzia a pieno titolo. 
La raccolta e l'analisi dei dati continuerà ad essere il compito principale dell'Agenzia europea per la droga, che tuttavia, in base al nuovo regolamento, sarà in grado di rispondere più efficacemente alle gravi sfide per la salute e la sicurezza poste dal consumo di droghe.
Avrà, infatti, un ruolo rafforzato nel settore della cooperazione internazionale, in modo da interagire pienamente con i Paesi terzi; potrà approfondire le dinamiche del mercato della droga per meglio comprenderne l'impatto sulla salute pubblica, come il crescente consumo di poli-sostanze (sostanze lecite e droghe), purtroppo, sempre più comune fra i giovani, e lavorare per ridurre la disponibilità di droga nell'UE al fine, si spera, di frenarne la domanda.
"
Caterina CHINNICI,2023-03-15,IT,Combating organised crime in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-318-0000_IT.html,"  Caterina Chinnici (S&D).   – Signor Presidente, signora Ministro, signora Commissaria, onorevoli colleghi, 139: sono 139 i miliardi di euro che, secondo stime per difetto, le organizzazioni criminali accumulano ogni anno attraverso la loro attività illecita in Europa e che poi riciclano con mezzi sempre più sofisticati.
Questo riguarda tutta l'Unione e tutti i suoi Stati membri e pertanto accogliamo con favore l'inserimento della lotta alla criminalità organizzata tra le priorità della Presidenza del Consiglio. E le nuove proposte della Commissione su scambio di informazioni fra autorità di contrasto, antiriciclaggio e confisca sono senz'altro passi decisivi perché, come insegna l'esperienza italiana, cooperazione e contrasto patrimoniale sono essenziali. 
Ora però, come più volte richiesto, dobbiamo essere ancora più ambiziosi e superare la decisione quadro 2008/841, che rischia di essere già un'arma spuntata, in quanto non più adeguata alle caratteristiche delle moderne organizzazioni criminali che si manifestano ormai come veri e propri operatori economici globali con spiccata vocazione imprenditoriale. 
Lo dobbiamo a tutti i cittadini onesti e a quanti, nella lotta alla criminalità organizzata, hanno sacrificato la propria vita, come Rocco Chinnici, mio padre. 
"
Caterina CHINNICI,2023-03-15,IT,Cross-border adoptions from third countries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-416-0000_IT.html,"  Caterina Chinnici (S&D).   – Signora Presidente, signora Commissaria, onorevoli colleghi, in tutti i Paesi che versano in situazioni di crisi, siano esse causate da catastrofi naturali, come di recente il disastroso terremoto in Turchia e Siria, o da guerre, a pagare il prezzo più alto sono sempre i bambini, bambini spesso rimasti soli, che rischiano di finire nelle maglie di organizzazioni criminali senza scrupoli che approfittano di tali situazioni per alimentare il loro ignobile traffico e favorire le adozioni illegali.
In materia di adozioni transfrontalieri da Paesi terzi, l'Unione europea, nel quadro della sua azione esterna, deve pertanto farsi garante affinché ogni decisione che riguardi un minore sia sempre adottata nel rispetto del principio del suo superiore interesse e secondo i criteri stabiliti dalla Convenzione dell'Aja del 1993. 
È necessario quindi fornire mezzi per rafforzare i controlli, garantire il processo di identificazione dei minori separati dalle famiglie, facilitare il rintracciamento dei parenti più prossimi ed assicurare, sempre nelle adozioni transfrontaliere, che questi bambini particolarmente vulnerabili siano pienamente tutelati. 
"
Caterina CHINNICI,2023-02-13,IT,EU response to the humanitarian situation following the earthquake in Türkiye and Syria (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-13-INT-1-088-2500_IT.html,"  Caterina Chinnici (S&D),  per iscritto. – Ad oggi, sono oltre 36.000 le vittime del disastroso terremoto di magnitudo 7,8 che ha devastato la regione di Gaziantep, in Turchia, colpendo anche la vicina Siria, e tra queste, moltissimi sono bambini. Decine di migliaia gli edifici distrutti, così come centinaia di migliaia le persone senza una casa. La solidarietà internazionale che da subito si è attivata è lodevole, tuttavia la regione colpita è estesissima, serve tutto e come ha denunciato UNICEF, sono migliaia i bambini orfani. 
In qualità di copresidente per l'Intergruppo per i diritti dei minori ho, pertanto, inviato una lettera alla Presidente della Commissione europea per accogliere con favore l'iniziativa della Commissione di ospitare una conferenza dei donatori per mobilitare fondi della comunità internazionale ma, soprattutto, per sottolineare la prioritaria attenzione che deve essere riservata alle specifiche esigenze dei più piccoli nelle operazioni di soccorso accelerando, ad esempio, il processo di identificazione dei minori separati dalle famiglie, il controllo per contrastare il possibile traffico criminale o dando priorità al loro collocamento in famiglia o in comunità di tipo familiare. I bambini pagano sempre il prezzo più alto durante le crisi, l'UE deve alleviare in ogni modo le loro sofferenze: è un dovere morale oltre che politico.
"
Caterina CHINNICI,2023-01-18,IT,Protection of the EU’s financial interests - combating fraud - annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-207-0000_IT.html,"  Caterina Chinnici,  a nome del gruppo S&D. – Signora Presidente, signora Commissaria, onorevoli colleghi, il 2021 ha rappresentato un anno importante per la tutela degli interessi finanziari dell'Unione europea ed è stato segnato da significative innovazioni. 
Infatti, la Procura europea ha finalmente iniziato le sue attività di indagine, i cui primi significativi risultati già dimostrano quanto la sua piena operatività fosse ormai necessaria, ed è entrato in vigore il dispositivo per la ripresa e la resilienza, pilastro importante della risposta dell'Unione alla crisi pandemica, insieme al QFP 2021-2027, un ammontare di risorse senza precedenti, che esige un deciso rafforzamento delle attività di prevenzione e contrasto a irregolarità e frodi, anche e soprattutto contro il rischio di infiltrazioni della criminalità organizzata. 
Ed è questo un impegno che deve coinvolgere tutti, le autorità nazionali, perché adottino un approccio davvero proattivo nell'individuazione delle frodi ai danni del bilancio europeo, gli organi e le agenzie dell'Unione, e mi riferisco a EPPO, OLAF, Eurojust ed Europol, che già apportano un valore aggiunto fondamentale anche in questo settore, perché però rafforzino sempre più la loro collaborazione e la loro cooperazione. 
Le istituzioni dell'Unione tutte, incluso questo Parlamento, e tutti noi, chiamati tutti ad adottare un approccio uniforme e deciso a favore della trasparenza per il contrasto alla corruzione, alle attività illegali di lobbying, ai conflitti di interessi e per prevenire le situazioni delle cosiddette porte girevoli. 
L'architettura antifrode dell'Unione europea deve quindi essere ancora e sempre più rafforzata. Occorre favorire lo scambio di informazioni, superare la frammentarietà e la difformità dei meccanismi di monitoraggio e controllo, ed altresì occorre armonizzare e uniformare le legislazioni, inclusa la necessità di una nuova, più moderna definizione di criminalità organizzata, che sia davvero comune a livello europeo e che risulti effettivamente adeguata ad impedire ai gruppi criminali di approfittare delle differenze fra le legislazioni degli Stati membri per infiltrarsi nell'economia legale dei nostri paesi. 
Proteggere gli interessi finanziari dell'Unione e il bilancio dell'Unione europea significa tutelare i diritti e gli interessi dei cittadini europei, che affrontano oggi un momento di particolare difficoltà a causa della crisi economico-finanziaria determinata nei nostri paesi dalla pandemia e poi ulteriormente aggravata dalle conseguenze della guerra in Ucraina. 
Assicurare che i fondi dell'Unione siano spesi esclusivamente a loro vantaggio e nel pieno rispetto della legalità deve rappresentare la nostra priorità, anche al fine di preservare la fiducia dei cittadini nelle istituzioni europee. 
In conclusione, Presidente, voglio ringraziare la collega relatrice, l'onorevole Pignedoli, e gli altri colleghi relatori ombra per il lavoro svolto, in piena collaborazione con l'obiettivo comune, condiviso dalla Presidente e da tutti i componenti della commissione CONT, di rafforzare la tutela degli interessi finanziari dell'Unione. 
"
