MP,Date,Language,Title,Url,Content
Catherine GRISET,2023-11-20,FR,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-086-0000_FR.html,"  Catherine Griset,  au nom du groupe ID. – Madame la Présidente, pour un monde qui émet toujours plus de CO2, quel échec et quelle hypocrisie quand on demande toujours aux mêmes de faire des efforts, alors que la Chine et l’Inde représentent 70 % de la demande mondiale de charbon. Qu’en pense Monsieur Hoekstra, de retour de Chine? Et personne pour se demander si le choix de Dubaï, ville anti-écologique par excellence, était pertinent.
On ne cesse de parler de transition juste et équitable, mais la vérité, c’est que nos peuples n’en voient que l’aspect punitif pendant que leurs pays financent la transition écologique du monde entier. Cette COP sera un échec tant qu’elle refusera de s’attaquer au mondialisme marchand, de prôner le localisme et les technologies bas carbone. À la place, ce sera un énième numéro de communication. Un conseil pour avancer: il serait temps de raisonner en termes d’argent investi et de juger enfin aux résultats, mais ce serait forcément décevant.
"
Catherine GRISET,2023-11-20,FR,Union certification framework for carbon removals,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-201-0000_FR.html,"  Catherine Griset,  au nom du groupe ID. – Monsieur le Président, l’idée est séduisante: rémunérer les agriculteurs pour capter le carbone sur leurs terres par le biais d’un cadre volontaire, attrayant et crédible. Mais ce sera tout le contraire. Leur charge administrative sera très lourde. Ils seront responsables du contrôle et du maintien du carbone séquestré, sous peine d’amende. Et ce système deviendra à terme obligatoire avec beaucoup plus de contraintes.
Ce qu’on oublie de dire, c’est que ce cadre est nécessaire si on veut respecter le pacte vert: des centaines de millions de tonnes de CO2 qu’il faut absolument comptabiliser via ce cadre juridique et réduire en suivant la logique du marché. Car ce texte est la première étape vers l’intégration du monde agricole au marché du carbone européen, un des derniers secteurs à lui résister.
Enfin, ce texte ouvre la voie à l’escroquerie de la compensation carbone: l’achat de quotas par les multinationales pour faire du «greenwashing», voire commettre des fraudes. Nos agriculteurs sont là pour nous nourrir, pas pour nous servir de variable d’ajustement à la politique climatique européenne.
"
Catherine GRISET,2023-10-05,FR,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-079-0000_FR.html,"  Catherine Griset,  au nom du groupe ID. – Madame la Présidente, mes chers collègues, la question de la protection en ligne des mineurs, et en particulier des enfants, est un enjeu fondamental qui me tient bien évidemment à cœur.
Si l’entrée dans l’ère de l’Internet a de nombreux aspects positifs, elle a également mis la pornographie à portée de clic des enfants. Les chiffres attestent que ce phénomène est massif. Alors que leur cerveau est en plein développement, les enfants vont confondre la sexualité et les images pornographiques qu’ils visionnent. Les conséquences sont terribles: violences sexuelles, symptômes dépressifs, addictions, etc.
Pour réglementer et restreindre cet accès à la pornographie chez les plus jeunes, il existe plusieurs solutions, qui sont d’ailleurs déjà mises en place dans certains pays européens: l’apposition de messages d’avertissement et la vérification obligatoire de l’âge des utilisateurs; la création, sur le modèle français, d’organes nationaux chargés de la protection des mineurs; la répression de l’accessibilité des contenus pornographiques aux mineurs; l’activation par défaut de logiciels de contrôle parental; enfin, la sanctuarisation des établissements d’enseignement.
La stratégie européenne pour un Internet mieux adapté aux enfants doit prendre en compte dans ses priorités ce fléau. Et surtout, il faut prendre des mesures adaptées, car il y a beaucoup à faire. 
"
Catherine GRISET,2023-10-03,FR,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-076-0000_FR.html,"  Catherine Griset,  au nom du groupe ID. – Madame la Présidente, Madame la Commissaire, chers collègues, pour Edmund Burke, philosophe irlandais, les médias constituaient déjà au XVIIIᵉ siècle un quatrième pouvoir, et depuis, leur influence n'a eu de cesse de croître. Dans nos sociétés modernes et dans notre quotidien, les médias de masse sont devenus omniprésents. Si ce pouvoir d'information gigantesque est bien souvent convoité, la liberté de ces médias est l'un des fondements de la démocratie qui repose sur la liberté d'expression et d'opinion. Et il est de notre devoir de veiller à ce que cette liberté continue d'être protégée par des lois nationales. 
Il y a plusieurs raisons fondamentales pour lesquelles je m'oppose à ce règlement. D'abord, parce que la Commission prend appui sur l'argument faux qu'il existe un marché européen des médias. Ensuite, parce qu'il ment en affirmant qu'il a pour objectif de protéger la liberté des médias. Et enfin parce qu'il souhaite imposer à l'ensemble des États membres un ensemble de règles contraignantes, alors que seuls quelques États sont visés. Pour résumer cette proposition législative, la Commission cherche à s'accaparer une nouvelle prérogative nationale tout en s'assurant que les Européens s'informent comme elle le voudrait et qu'enfin ils votent en conséquence.
"
Catherine GRISET,2023-04-17,FR,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-131-0000_FR.html,"  Catherine Griset (ID).   – Monsieur le Président, chers collègues, reconnaissons-le à l’Union européenne: sa capacité à produire de la norme est sans égale, et cela même dans les pires moments. En pleine crise énergétique, vous voulez augmenter un prix du carbone déjà haut et plomber la facture des entreprises et des ménages européens. Car ce nouveau marché du carbone n’est rien d’autre qu’une énième taxe sur tous les combustibles fossiles utilisés pour le chauffage et le transport routier, qui va d’abord frapper les plus précaires. Peu importe pour l’Union européenne, qui veut nous imposer coûte que coûte son agenda pseudo-vert qu’aucune étude d’impact sérieuse ne vient justifier. 
Ce sont des pans entiers de l’industrie européenne qui sont menacés. Des centaines de milliers d’emplois dans l’automobile, l’aviation, le transport maritime, etc. Et tout cela pour rien puisque l’Union est déjà la bonne élève du monde. Nous avons réduit nos émissions d’un tiers en quinze ans, notamment grâce au nucléaire, et nous continuons à innover. Mais notre seul effort est vain si le reste du monde ne nous suit pas. 
Le mécanisme d’ajustement carbone aux frontières tel que proposé n’est en rien une mesure de protection et de souveraineté. C’est une nouvelle contrainte pour nos entreprises, qui se voient privées des quotas gratuits sans contrepartie à l’export. C’est un pétard mouillé. Pendant ce temps, nous importons du gaz de schiste américain et la Chine ouvre des dizaines de centrales à charbon. Continuez dans l’écologie punitive et vous aurez des gilets jaunes partout en Europe. 
"
Catherine GRISET,2023-03-13,FR,"Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation) - Land use, land use change and forestry (LULUCF) - Revision of the Market Stability Reserve for the EU Emissions Trading System (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-166-0000_FR.html,"  Catherine Griset (ID).   – Madame la Présidente, chers collègues, si, par ambition, l’Union européenne entend nous mener sur la voie du suicide économique, et cela en pure perte, alors nous n’avons pas la même définition de ce mot et c’est fondamental. Vous aurez beau revoir toujours plus à la hausse les objectifs climatiques de l’UE, nos efforts seront engloutis par la croissance du reste du monde. Vous voulez faire de l’UE un continent totalement décarboné? Vous en ferez un continent totalement déclassé.
L’ambition doit porter sur la relocalisation massive de nos industries, la promotion des dernières technologies nucléaires et du renouvelable sur notre sol et le contrôle de nos chaînes d’approvisionnement. C’est en baissant nos émissions importées que nous avancerons et c’est en protégeant notre modèle que nous montrerons l’exemple.
Dans un contexte de bouleversement géopolitique aux répercussions majeures sur nos économies, fixer des objectifs contraignants aux États sans tenir compte de leurs spécificités et selon des critères injustes est une fuite en avant. Tout cela pour satisfaire aux exigences d’un pacte vert irréaliste. 
"
Catherine GRISET,2022-10-04,FR,Key objectives for the CITES CoP19 meeting in Panama (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-04-INT-2-171-0000_FR.html,"  Catherine Griset,  au nom du groupe ID. – Madame la Présidente, le nombre d’espèces touchées ne cesse d’augmenter dans le monde. L’existence d’une telle convention est donc une bonne chose, et il faut évidemment la soutenir. Encore faut-il que ce soit l’affaire des États souverains, les mieux placés pour agir efficacement; ne nous trompons pas d’échelle! 
Même si certaines populations d’animaux se stabilisent – voire augmentent, en Afrique, grâce aux zones protégées et aux politiques de préservation mises en place par les États –, la plaie du commerce illégal menace ces efforts. 
Mais ce n’est pas là la seule menace: la pression démographique et l’expansion des villes et des villages réduisent toujours plus les zones d’habitat des animaux. De même, les troubles civils, les conflits participent aussi à ce déclin, surtout quand ils sont chroniques. N’oublions pas la sécheresse et les problématiques liées à la gestion de l’eau, qui entraînent la dégradation des écosystèmes. 
Enfin, il faut améliorer l’état des connaissances sur place, mieux évaluer les populations animales réelles et les enjeux liés aux communautés locales pour gagner en efficacité, et, bien sûr, intensifier la lutte contre le braconnage. 
"
Catherine GRISET,2022-07-05,FR,Objection pursuant to Rule 111(3): Amending the Taxonomy Climate Delegated Act and the Taxonomy Disclosures Delegated Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-05-INT-2-274-0000_FR.html,"  Catherine Griset (ID).   – Monsieur le Président, on pensait au début de l'année que la Commission avait réussi à trouver un compromis raisonnable entre États après le feu vert de son comité des experts. Mais manifestement, l'argument scientifique n'a pas suffi à convaincre les plus hostiles. Parmi eux, le Parlement tente de s'opposer à cette décision par tous les moyens. À l'obsession antinucléaire vient s'ajouter le prétexte bien trouvé de la guerre en Ukraine. Et pour quelle alternative crédible? Il s'agissait seulement d'accorder au gaz et au nucléaire un statut transitoire sous certaines conditions. 
On ne peut pas vouloir atteindre les objectifs du pacte vert et se passer d'une énergie pilotable, décarbonée et bon marché. Cette objection est une mauvaise nouvelle pour l'Europe et méconnaît les enjeux fondamentaux que sont la décarbonation, la souveraineté énergétique et la compétitivité. Et dans le contexte actuel de hausse des prix de l'énergie, un rejet de la proposition de la Commission serait inacceptable puisqu'il aggraverait la situation.
"
Catherine GRISET,2022-06-07,FR,Revision of the EU Emissions Trading System - Social Climate Fund - Carbon border adjustment mechanism - Revision of the EU Emissions Trading System for aviation - Notification under the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) (joint debate – Fit for 55 (part 1)),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-07-INT-2-089-0000_FR.html,"  Catherine Griset (ID).   – Madame la Présidente, ce paquet climat devrait s'appeler paquet de décroissance, mais cet objectif n'est pas assumé. Les ambitions climatiques de l'Union européenne vont s'appliquer sans distinction et quel qu'en soit le coût. Pour l'heure, aucune étude d'impact n'a encore pu démontrer les effets réels d'une telle réglementation, mais on peut imaginer qu'ils seront très durs. 
Pourtant, vous savez le caractère particulièrement sensible de la transition écologique sur le quotidien des Européens. La Commission a le sens du timing. Au moment où l'Ukraine devient l'épicentre d'une guerre de l'énergie et où l'on craint de graves crises alimentaires dans le monde, vous voulez non pas, dans ce contexte, freiner un tant soit peu le rythme des réformes, mais au contraire l'accélérer. 
Ce sont des pans entiers de l'industrie européenne qui sont menacés, des centaines de milliers d'emplois dans l'automobile, l'aviation, le transport maritime, etc. Et dans le même temps, le débat sur la taxonomie penche pour l'exclusion du nucléaire des financements européens. 
Il est urgent d'alléger le fardeau des réglementations environnementales et d'amortir l'envolée des coûts de l'énergie, pas d'y participer. L'Union européenne a déjà réduit ses émissions de 34 % en quinze ans, alors qu'elle ne génère que 8 % des émissions mondiales. Son seul effort ne suffira pas. Si les autres pays ne nous suivent pas, malgré les prétentions du mécanisme d'ajustement carbone aux frontières, leurs émissions compenseront nos réductions et nous nous serons sacrifiés pour rien. 
"
Catherine GRISET,2022-05-19,FR,"Establishing the European Education Area by 2025 – micro credentials, individual learning accounts and learning for a sustainable environment (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-19-INT-2-023-0000_FR.html,"  Catherine Griset (ID).   – Monsieur le Président, si l’éducation pour les personnes handicapées ou dans des zones éloignées est un but noble, il est dommage de constater qu’une fois de plus le Parlement européen s’entête à mettre de l’idéologie là où le bon sens aurait pu suffire. Ce projet de normes européennes autour des microcertifications ou des reconnaissances automatiques des diplômes a un but avoué. L’objectif poursuivi ici est encore une atteinte à la souveraineté des États membres. Il tente de créer un sentiment aigu de la citoyenneté européenne et de s’immiscer dans ce qui est encore une compétence nationale.
Française, je ne peux qu’être méfiante vis-à-vis de ce texte. En effet, par son excellence académique, la France s’est toujours illustrée à travers le monde grâce à sa culture et ses traditions d’enseignement. Évidemment, il n’est pas question d’établir des hiérarchies dans la qualité de l’enseignement. Mais l’Union européenne n’a pas à brader les fleurons nationaux pour satisfaire une volonté fédéraliste. Protégeons nos spécialités nationales, protégeons l’enseignement. 
"
