MP,Date,Language,Title,Url,Content
Chiara GEMMA,2023-10-05,IT,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-093-0000_IT.html,"  Chiara Gemma (ECR).   – Signora Presidente, onorevoli colleghi, signora Commissaria, l'esposizione a contenuti inappropriati, il ciberbullismo e i pericoli della connessione alla violazione della privacy, alla disinformazione e alla manipolazione delle coscienze ormai non rappresentano più delle eventuali possibilità, ma, come è stato già richiamato, costituiscono dei rischi concreti a cui quotidianamente i nostri bambini sono esposti.
La nuova strategia europea per Internet, con i suoi tre pilastri intesi a garantire maggiore sicurezza nelle esperienze digitali, un più elevato senso di responsabilità collettiva e una partecipazione attiva dei minori nell'attuazione e nel monitoraggio delle soluzioni adottate, sicuramente va nella direzione giusta.
Tuttavia, se per un verso bisogna insistere, come indica la strategia, nel supportare le scuole, i genitori e i bambini nell'acquisizione di consapevolezza dei rischi e nella capacità di utilizzo degli strumenti per evitarli, per l'altro verso occorre incrementare le azioni di contrasto nei confronti di chi gestisce i contenuti immessi nel web e le modalità di accesso a essi.
Non è coerente auspicare un sano e responsabile uso di Internet da parte dei bambini senza pretenderlo innanzitutto da noi adulti. Proviamo allora a essere noi adulti, prima di tutto, di esempio.
"
Chiara GEMMA,2023-09-13,IT,The future of the European book sector (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-447-0000_IT.html,"  Chiara Gemma (ECR).   – Signor Presidente, onorevoli colleghi, Commissaria, lo sviluppo dell'editoria digitale e degli e-book costituiscono importanti fattori di ulteriore democratizzazione nel settore del libro europeo, soprattutto se pensiamo alla maggiore accessibilità consentita ai lettori con disabilità.
È doveroso allora supportare in tal senso gli editori nella sperimentazione di nuove modalità di accesso e di fruizione del libro. Non dimentichiamo, però, che in questa fase occorre monitorare scientificamente i reali effetti di apprendimento con il libro digitale per capire quali sono gli effetti che sortisce, specialmente nei giovani, e continuare, nello stesso tempo, a garantire gli adeguati spazi al tradizionale libro cartaceo quale strumento formativo e di apprendimento dagli effetti sperimentati e consolidati.
Infine, un ultimo rilievo merita il fenomeno dell'autopubblicazione, anch'esso sempre più in crescita. Il rischio rispetto a tale tendenza è che esso, scavalcando la consolidata mediazione editoriale, così come il valore storico di professionalità e di rispetto per il libro, possa indebolire il tradizionale modo di proporre e tramandare il sapere che contraddistingue da sempre il settore del libro europeo.
"
Chiara GEMMA,2023-04-18,IT,Question Time (Commission) - Legacy of the European Year of Youth,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-230-0000_IT.html,"  Chiara Gemma (ECR).   – Signora Presidente, signora Commissaria, l'Anno europeo dei giovani ci ha permesso finalmente di dare voce e attenzione alle aspettative e ai bisogni delle nuove generazioni ed è stato sicuramente il momento perfetto per avanzare con fiducia e speranza in una prospettiva post pandemica.
Oggi però vorrei un attimo soffermarmi sulla condizione dei NEET, di quei ragazzi che non hanno più speranza e non riescono a venire intercettati dal mondo della formazione prima e del lavoro poi, ma che hanno proprio smesso di cercare nuove opportunità.
Secondo i più recenti dati Eurostat, le regioni europee più colpite da questo fenomeno sono, purtroppo, in Italia e in particolare nel Mezzogiorno, da cui io provengo e che oggi ho l'onore di rappresentare. Le statistiche parlano chiaro: se non interveniamo sin da subito sulle nuove generazioni, rischiamo seriamente di lasciare definitivamente indietro tanti ragazzi.
Le chiedo: quali politiche, azioni concrete e specifiche nei confronti dei NEET intendete promuovere per ricollocare e coinvolgere tutti i nostri giovani?
Non neghiamo a questi ragazzi il loro futuro e soprattutto non consentiamo ai nostri figli di dirci: ""Abbiamo paura del nostro futuro"".
"
Chiara GEMMA,2023-03-30,IT,Strengthening the application of the principle of equal pay for equal work or work of equal value between men and women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-30-INT-2-035-0000_IT.html,"  Chiara Gemma (ECR).   – Signor Presidente, onorevoli colleghi, signora Commissaria, ancora una volta ci troviamo in quest'Aula a discutere di una delle più sgradevoli discriminazioni esistenti: il divario salariale tra uomini e donne per uno stesso lavoro e per uno di pari valore.
È necessario insistere per rafforzare l'applicazione del principio della equa distribuzione, attraverso la trasparenza dei salari e i relativi meccanismi esecutivi. Ma è altresì importante sottolineare come, se le aziende europee con oltre 100 dipendenti saranno tenute a divulgare informazioni sui salari per esporre i divari retributivi di genere esistenti, questo non avverrà per quelle fino a 100 lavoratori, che non avranno alcun obbligo e quindi nessun onere amministrativo o economico aggiuntivo.
Le realtà delle piccole e medie imprese italiane, tessuto fondamentale della nostra economia, non devono essere penalizzate in alcun modo. Questo è il cammino da intraprendere per eradicare una volta per tutte un cancro che da troppo, da tanto tempo avvelena il mondo del lavoro.
"
Chiara GEMMA,2022-12-13,IT,Implementation of the New European Agenda for Culture and the EU Strategy for International Cultural Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-154-0000_IT.html,"  Chiara Gemma (NI).   – Signor Presidente, signora Commissaria, onorevoli colleghi, promuovere la dimensione interna ed esterna delle politiche culturali non è solo uno dei caposaldi per la creazione di uno spazio europeo dell'istruzione, così come rafforzare l'identità europea e fornire ai cittadini, in particolare ai giovani, i mezzi per agire nella società in autonomia e responsabilità non è sufficiente, se non riusciremo a trasmettere una reale dimensione sociale inclusiva.
Occorre allora realizzare politiche coerenti, globali e inclusive, che coinvolgano profondamente i lavoratori del settore, ancora alle prese con le conseguenze della pandemia e per i quali è necessaria una strategia mirata per la loro ripresa.
Credo, allora, che promuovendo la partecipazione attiva e passiva delle persone e delle attività culturali e artistiche riusciremo a innescare un volano positivo, utile ad individuare e rimuovere alla radice gli ostacoli per i gruppi di emarginati, svantaggiati e vulnerabili.
Le politiche a favore dell'istruzione, della cultura e dei giovani hanno un ruolo centrale nella costruzione di un'Europa resiliente, competitiva e solidale per il futuro. Con forza e convinzione, spetta a noi portarle avanti.
"
Chiara GEMMA,2022-11-24,IT,The European Year of Youth 2022 Legacy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-24-INT-4-058-0000_IT.html,"  Chiara Gemma (NI).   – Signora Presidente, signor Commissario, onorevoli colleghi, qualche rapida considerazione a conclusione di questo Anno europeo dei giovani. 
Ho girato tante scuole, ho aperto le officine europee, luoghi di incontro e confronto dove costruire una partecipazione attiva e responsabile, ho ascoltato tanti giovani e ho avvertito in loro il bisogno sempre più forte di conoscenza del proprio sé emozionale.
Se la politica vuole davvero incidere sulla crescita dei nostri giovani, occorre promuovere una scuola che sappia adottare una valutazione formativa attenta ai volti e alle emozioni più che ai prodotti e ai processi cognitivi.
Occorre ristabilire un dialogo autentico con i giovani e per farlo bisogna sedersi in mezzo a loro, perché sono stanchi di sentirsi dire ""devi essere più competente, devi essere responsabile, devi essere capace di progettarti, devi essere resiliente"". Io ho provato a sedermi in mezzo a loro e a confrontarmi con loro, ho compreso tante cose, ma una fra tutte: sono giovani a cui piacerebbe una scuola basata su emozioni profonde e relazioni autentiche e non solo sulla mera conoscenza o su sterili voti, che poco hanno a che fare con il proprio sé emozionale. 
Ho promesso loro che questa scuola è possibile, con pazienza e con coraggio continueremo a costruirla insieme.
"
Chiara GEMMA,2022-06-08,IT,"The Commission's proposal for ""Attracting skills and talent to the EU"", particularly the Talent Partnerships with North African countries (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-08-INT-3-129-0000_IT.html,"  Chiara Gemma (NI).   – Signor Presidente, onorevoli colleghi, signor Commissario, i morti nel Mar Mediterraneo, i muri al confine ungherese e il trattamento disumano dei rifugiati al confine fra Bielorussia e Polonia sono pagine nere della storia europea che hanno lanciato un messaggio sbagliato al mondo intero. L'Europa non è quella che volta le spalle al prossimo. L'Europa è quella che accoglie quasi 24 milioni di cittadini nati nei paesi terzi e dà loro la speranza di un futuro migliore.
Adesso però noi dobbiamo affrontare l'agguerrita concorrenza di Gran Bretagna, Stati Uniti, Australia, ma anche di altri paesi emergenti che stanno portando molti giovani talenti via dall'Europa. Questo va combattuto perché toglie ossigeno alla nostra capacità di crescita in settori fondamentali per il nostro futuro. Solo per citarne alcuni: informatica, scienze, salute e turismo.
Allora, se vogliamo essere davvero competitivi e attrattivi, dobbiamo riformare la direttiva sul permesso unico, così da accogliere i giovani meritevoli senza vincoli. Meno burocrazia, meno barriere, più lavoro, più diritti. Solo così la nostra Europa diventerà un hub delle opportunità. Siamo ambiziosi? Sì, vogliamo esserlo, possiamo esserlo.
"
Chiara GEMMA,2022-05-19,IT,"Establishing the European Education Area by 2025 – micro credentials, individual learning accounts and learning for a sustainable environment (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-19-INT-2-020-0000_IT.html,"  Chiara Gemma (NI).   – Signor Presidente, signor Commissario, onorevoli colleghi, la pandemia e le trasformazioni del mondo del lavoro impongono all'Unione europea di rafforzare gli strumenti di riqualificazione professionale per riuscire a cogliere le migliori opportunità offerte dalla transizione ecologica e digitale.
Le microcredenziali possono sicuramente contribuire al processo di up-skilling e re-skilling del personale in ottica di competenze digitali e verdi, così come possono contribuire alla riqualificazione dei lavoratori, purché ci sia una definizione chiara che ne garantisca la qualità, la portabilità e la trasparenza.
Va tuttavia sottolineato che le microcredenziali dovrebbero essere solo uno strumento complementare e che non possono sostituire i percorsi tradizionali di istruzione e formazione professionale. L'istruzione formale deve rimanere un bene pubblico.
Sosteniamo allora un approccio olistico all'istruzione per consentire agli studenti di acquisire competenze sociali e civili e non soltanto conoscenze rilevanti per le esigenze a breve termine del mercato del lavoro.
"
Chiara GEMMA,2022-04-07,IT,Increased pre-financing from REACT-EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-04-07-INT-4-015-0000_IT.html,"  Chiara Gemma (NI).   – Signor Presidente, signora Commissaria, onorevoli colleghi, a due settimane di distanza siamo stati nuovamente chiamati ad accordare modifiche per introdurre più flessibilità nell'uso dei fondi europei per l'emergenza che gli Stati membri stanno vivendo a causa del conflitto. Chiaramente sosterrò questa richiesta ma vorrei che ci interrogassimo sull'adeguatezza del bilancio europeo e delle sue regole per far fronte a tali emergenze.
Ci troviamo chiaramente di fronte a un conflitto che non eravamo preparati ad affrontare. Allora è auspicabile che l'Unione europea si doti di un sistema rapido ed efficiente di reazione, anche per le emergenze future. Dobbiamo poter creare un sistema obbligatorio e automatico di ricollocamento per i rifugiati, ispirato ai principi di solidarietà ed equa ripartizione delle responsabilità, e in grado di venire in aiuto ai Paesi in prima linea.
Dobbiamo prevedere subito misure di integrazione dei rifugiati nei sistemi scolastici e sanitari degli Stati membri ma, contemporaneamente, dobbiamo poter affrontare in modo efficace le ripercussioni economiche ed energetiche sui cittadini europei. Per questo motivo non possiamo perdere tempo, ci aspetta un duro lavoro per non farci trovare nuovamente impreparati ad affrontare l'evoluzione di altri conflitti.
"
Chiara GEMMA,2022-04-05,IT,Implementation of citizenship education actions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-04-05-INT-2-433-0000_IT.html,"  Chiara Gemma (NI).   – Signor Presidente, signora Commissaria, relatore, onorevoli colleghi, la domanda chiave di questo dibattito è: che cosa significa essere oggi cittadini attivi? Significa forse voltare le spalle ai bambini, alle donne e agli anziani che fuggono dalla guerra in Ucraina? No. Significa sprecare le risorse del nostro pianeta? No. Significa promuovere referendum contro le minoranze, come la comunità LGBT, o non tutelare i soggetti più deboli della nostra società, come i disabili? Assolutamente no.
Presidente, da quando il Movimento Cinque Stelle è nato nel 2009, ha sempre puntato a una politica del sì. Siamo una comunità di cittadini che nasce dalla garanzia di valori quali quelli della cittadinanza attiva, che sono quelli della partecipazione, della democrazia diretta, della pace e della difesa dei diritti umani. Noi non tradiremo mai questi valori e ci piacerebbe che neanche l'Unione europea lo facesse, investendo di più nelle prime agenzie educative: famiglia e scuola.
Oggi più che mai è importante rafforzare nella nostra società il rispetto della dignità umana, della giustizia sociale e della diversità culturale. Facciamolo per i nostri figli. Facciamolo adesso.
"
