MP,Date,Language,Title,Url,Content
Christian DOLESCHAL,2023-10-05,DE,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-036-0000_DE.html,"  Christian Doleschal (PPE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wenn wir über die Abwasserbehandlung in unseren Städten und Gemeinden reden, dann betrifft das jeden einzelnen Bürger von uns. Ein guter Gewässerzustand ist nicht nur für den Umweltschutz, sondern auch für die Gesundheit unserer Bürgerinnen und Bürger von zentraler Bedeutung. Deshalb ist es richtig, dass wir diese Richtlinie nach 30 Jahren noch einmal aktualisieren und den gegenwärtigen Herausforderungen anpassen.
Bei der Überarbeitung der Kommunalabwasserrichtlinie ist mir aber vor allem eins wichtig: eine ausgewogene Balance zwischen Umweltzielen, Bezahlbarkeit und praktischer Machbarkeit auf kommunaler Ebene.
Was wir nicht brauchen, ist eine unverhältnismäßige Informationspflicht für die Öffentlichkeit ohne großen Mehrwert oder eine Beweislastumkehr, die bei Behörden zu einer Flut von Sammelklagen führt. Stattdessen sollten wir uns auf das fokussieren, wofür die Kommunalabwasserrichtlinie in erster Linie da ist: die Reinigung unserer Abwässer.
Meine Damen und Herren, durch strengere Standards wollen wir unsere Wasser noch gründlicher vor Mikroschadstoffen schützen; das ist richtig. Die damit verbundene Aufrüstung bedeutet aber auch größeren Energiebedarf. Eine pauschale Verpflichtung zur Energieneutralität für alle Anlagen ab 10 000 Einwohnern halte ich daher für falsch. Alleine der Bedarf für die vierte Reinigungsstufe erhöht den Energiebedarf um 30 %. 
Deshalb wollen wir, dass auch für Anlagen über 10 000 Einwohner der Strom aus externen erneuerbaren Energiequellen möglich ist. Ich bitte Sie, das in meinem Änderungsantrag heute zu unterstützen.
"
Christian DOLESCHAL,2023-07-11,DE,New Regulation on Construction Products (A9-0207/2023 - Christian Doleschal)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-156-0000_DE.html,"  Christian Doleschal,  Berichterstatter. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Die europäische Baubranche steht derzeit stark unter Druck: Steigende Zinsen, Rohstoffmangel, Lieferengpässe, Fachkräftemangel – all das belastet das europäische Baugewerbe. Um unsere ambitionierten Klimaziele auch im Bausektor zu erreichen, müssen wir uns auf das Wesentliche konzentrieren. Jetzt ist nicht der Zeitpunkt für zusätzliche Bürokratie, sondern die Zeit, dass die vielen neuen Innovationen den Weg ins europäische Amtsblatt und vor allem die neuen klimafreundlichen Produkte den Weg auf die Baustellen schaffen.
Auch die Digitalisierung bietet große Chancen, beispielsweise der Bauproduktepass, der klare Vorgaben gibt, wie Bauprodukte ihren Beitrag zur Nachhaltigkeit leisten können.
Liebe Kolleginnen und Kollegen! Ich bitte Sie um Unterstützung für diese wichtige Verordnung, damit wir schon kommende Woche schnellstmöglich die Verhandlungen mit dem Rat und der Kommission starten können. Gleichzeitig darf ich den Kolleginnen und Kollegen Schattenberichterstattern für die sehr angenehme und zielführende Zusammenarbeit herzlich danken.
"
Christian DOLESCHAL,2023-07-11,EN,New Regulation on Construction Products (A9-0207/2023 - Christian Doleschal)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-158-0000_EN.html,"  Christian Doleschal (PPE),  rapporteur. – Dear colleagues, thank you very much. I will not do a long speech now. I will just ask, pursuant to Rule 59(4), for the immediate referral back to committee so that we can start interinstitutional negotiations.
"
Christian DOLESCHAL,2023-04-20,DE,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-082-0000_DE.html,"  Christian Doleschal (PPE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Wie viel darf der Staat, wie viel dürfen unsere Kommunen vor Ort finanziell unterstützen? Das ist die Kernfrage dieser Debatte. Die Europäische Union hat sich in den Bereichen Digitalisierung, Soziales, Umwelt und Klimawandel viel vorgenommen. Wir alle wissen, dass gerade unsere Kommunen mit wichtigen Investitionen vor Ort unverzichtbar sind, wenn wir diese ehrgeizigen Ziele erreichen wollen. Doch es sind auch unsere Kommunen, die mit einer Vielzahl von Herausforderungen konfrontiert sind: Inflation, Nachwirkungen der Corona-Pandemie, steigende Bau- und Energiekosten, Fachkräftemangel und die aktuellen Flüchtlingsbewegungen. Die Liste ist lang, und unsere Kommunen haben es nicht leicht. Lassen Sie mich das deshalb direkt sagen: Wir stehen an der Seite unserer Kommunen.
Die Europäische Union strebt das Ziel an, gleichwertige Lebensverhältnisse zu schaffen. Das bedeutet für uns: Keine Region darf zurückgelassen werden. Und das bedeutet für mich: Der ländliche Raum, auch in stärkeren Räumen, muss Zukunftsraum werden. Beihilfen und De-minimis-Regeln spielen da eine wichtige Rolle. Wie viel darf der Staat, wie viel dürfen unsere Kommunen vor Ort finanziell unterstützen – sei es für ein lokales Freibad oder für die Zukunftsfähigkeit regionaler Unternehmen? Es ist daher längst überfällig, das Beihilferecht anzupassen und Erleichterungen für unsere Kommunen auf den Weg zu bringen.
Unser Einsatz zeigt Wirkung. Die De-minimis-Beihilfen sollen von 200 000 auf 275 000 Euro steigen. Ein wichtiger erster Schritt, wenn alles teurer wird und vor Ort unterstützt werden soll. Aber das reicht bei Weitem nicht aus. Seit 2005 sind die Sätze nicht mehr angepasst worden, deshalb fordern wir, dass der Satz noch etwas höher steigen soll und vielleicht auch mit einem Inflationsausgleich versehen werden soll. Die Rückmeldungen der Kommunen aus den Anhörungen zeigen: Wir brauchen höhere Schwellenwerte und vor allem weniger Bürokratie.
"
Christian DOLESCHAL,2022-09-14,DE,"Economic, social and territorial cohesion in the EU: the 8th Cohesion Report - EU border regions: living labs of European integration (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-398-0000_DE.html,"  Christian Doleschal (PPE).   – Frau Präsidentin, sehr geehrte Kommissarin, liebe Kolleginnen und Kollegen! Kohäsions- und Fördermittel sind wichtig für den Zusammenhalt und die Entwicklung unserer Regionen. 
Als regionalpolitischer Sprecher der CDU/CSU-Gruppe setze ich mich tagtäglich in der Fachpolitik für unsere Regionalpolitik ein. Auf unsere gemeinsame Arbeit am Bericht mit dem Titel „Grenzregionen in der EU: Reallabors der europäischen Integration“ können wir – denke ich – gemeinsam stolz sein. Wir wollen, dass keine Region zurückbleibt, keine Region strukturell benachteiligt wird. 
Ich selbst bin aufgewachsen an der deutsch-tschechischen Grenze und kenne die bürokratischen Hürden und Alltagssorgen sehr gut. Die Corona-Pandemie war wie ein Brennglas dafür, und die zeitweisen Grenzschließungen haben große Schäden angerichtet – für die Wirtschaft, aber auch für das Vertrauen der Menschen in das Nachbarland, für das Vertrauen der Menschen in die Europäische Union.
Wir haben an den Grenzregionen aber auch ganz konkrete Herausforderungen: Sprachbarrieren, unterschiedliche Verwaltungssysteme, unterschiedliche Strukturen, konkrete Unterschiede. Deshalb freut es mich ganz besonders, dass der Bericht nun zur Einführung einer Grenzlandmilliarde auffordert. Sie wird eine besondere budgetäre und auch strukturelle Unterstützung zu Beginn des nächsten Finanzrahmens sein, die wir dringend benötigen. Denn ich bin davon überzeugt, dass Europa gerade in den Grenzregionen zusammenwächst.
"
Christian DOLESCHAL,2022-06-07,DE,"Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation) - Land use, land use change and forestry (LULUCF) - CO2 emission standards for cars and vans (joint debate – Fit for 55 (part 2))",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-07-INT-2-243-0000_DE.html,"  Christian Doleschal (PPE).   – Sehr geehrter Herr Präsident, lieber Vizepräsident der Europäischen Kommission, liebe Kolleginnen und Kollegen! Wir stehen vor einer einmaligen Chance: Europa kann als erster Kontinent klimaneutral werden. Als Vorreiter in grünen Technologien können wir Arbeitsplätze in Europa schaffen. Wir können Lebensqualität und Umwelt für nachfolgende Generationen bewahren.
Aber, und das wird leider zu oft nicht mitgedacht, das alles geht nicht ohne eine starke und wettbewerbsfähige Industrie. Ordnungsrecht kann nicht zum Ziel führen. Wir brauchen ein Anreizsystem, mit dem wir es schaffen können. Durch den Handel mit Emissionszertifikaten anstelle von Verboten setzen wir die richtigen Anreize und belohnen diejenigen, die die CO2-Emissionen reduzieren.
Egal, wo ich in meiner Heimat unterwegs bin bei den Unternehmern, stelle ich fest, dass sich alle auf den Weg gemacht haben. Aber wir brauchen ein Stück weit Zeit, um die neuen Ziele vorzubereiten und die Herstellungsprozesse verändern zu können. Ansonsten wandert die Industrie ab ins Ausland und produziert dort zu schlechteren Bedingungen.
In diesem Sinne plädiere ich für einen Green Deal der Technologieoffenheit, einen Green Deal, der Standards setzt in der ganzen Welt.
"
Christian DOLESCHAL,2021-10-19,DE,"Climate, Energy and Environmental State aid guidelines (“CEEAG”) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-19-INT-2-313-0000_DE.html,"  Christian Doleschal (PPE).   – Herr Präsident, sehr geehrte Frau Vizepräsidentin, sehr geehrter Herr Logar, liebe Kollegen! Die heutige Diskussion kommt gerade rechtzeitig. Erst vor zwei Wochen haben wir in diesem Haus über steigende Energiepreise diskutiert. Es ist zwar richtig, dass die Kommission dem Ruf aus den Mitgliedstaaten nach Marktinterventionen widersteht. Die weiterhin steigenden Preise machen deutlich: Die langfristige Weichenstellung muss stimmen. Nicht nachvollziehbar ist es für mich, dass die Kommission nun mit ihrem Leitlinienentwurf drei Viertel der beihilfefähigen Sektoren von der Beihilfeliste streichen will.
Was heißt das für die Praxis? Ein Beispiel aus meinem Wahlkreis: ein mittelständisches Unternehmen, das sich auf die Herstellung von nachhaltigen Brennstoffen wie Holzpellets spezialisiert hat. Holzpellets werden gerade bei der Umsetzung des Grünen Deals eine wichtige Rolle spielen. Doch der Produktionsprozess ist sehr energieintensiv. Ohne Inanspruchnahme der bisher geltenden Ausgleichsregelungen lägen die Herstellungskosten von Holzpellets um 75 Prozent höher. Deshalb brauchen wir die dringend notwendigen Beihilfen, damit die grüne Transformation gelingen kann.
"
Christian DOLESCHAL,2021-10-05,DE,First voting session,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-05-INT-2-142-0000_DE.html,"  Christian Doleschal,  Berichterstatter. – Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! Heute ist es so weit: Wir stimmen endgültig über die Überarbeitung der Århus-Verordnung ab. Dies ist ein wichtiger Tag für die Öffentlichkeitsbeteiligung in Europa, für Transparenz und auch für die wirtschaftliche Erholung in Europa. Denn bei allem Eifer, die Anfechtung von Rechtsakten aufgrund von scheinbaren Bedrohungen für die Umwelt auszudehnen, sollten wir eines nicht vergessen: Ein Mehr an Klagebefugnissen für den Einzelnen bedeutet auch immer ein Mehr an Bürokratie. Und das bedeutet lange Genehmigungsprozesse und verzögerte Bauvorhaben. Darum bin ich stolz, dass wir uns für eine Lösung entschieden haben, die eine Balance darstellt – eine Balance zwischen Bürgerbeteiligung und wirtschaftlicher Tragbarkeit.
Unser Kompromiss ist eine klare Absage an Anfechtbarkeit um jeden Preis. Nur Unionsbürger, die nachweisen können, dass sie unmittelbar durch die Umweltbelastung betroffen sind, können klagen. Wenn wir wollen, dass sich die Wirtschaft erholt, dürfen wir staatlichen Beihilfen keine Steine in den Weg legen. Staatliche Beihilfen sind – besonders in einer Pandemie – ein Rettungsanker für bedrohte Regionen. Darum haben wir staatliche Beihilfen von der Århus-Überprüfung ausgenommen. Unser Kompromiss ist gerade deshalb so gelungen, weil er nicht blind irgendeiner Ideologie folgt. Stattdessen zieht er in Betracht, wie sich der Gesetzestext in der Praxis auf Gemeinden, die staatliche Beihilfen brauchen, auf kleine Unternehmen, deren Projekte in Gefahr sind, auswirkt.
Kurzum, dieser Kompromiss berücksichtigt die Interessen der Menschen. Bei allem Idealismus ist das etwas, das in der Politik leider oft vergessen wird.
"
Christian DOLESCHAL,2021-07-08,DE,Sustained price increase of raw and construction materials in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-07-08-INT-4-058-0000_DE.html,"  Christian Doleschal (PPE).   – Frau Präsidentin, sehr geehrte Frau Kommissarin, liebe Kolleginnen und Kollegen! 83,3 % gestiegene Preise für Vollholz, 44,3 % gestiegene Preise für Betonstahl und knapp 40 % mehr für Bauholz, um nur einige Beispiele zu nennen. Die Dynamik ist rasant. Wer jetzt baut, muss mit hohen Preisen und geringem Materialangebot rechnen. Viele Handwerksbetriebe können trotz guter Auftragslage ihre Aufträge nicht erfüllen. Bauprojekte verzögern sich, Betriebe müssen Kurzarbeit anmelden. Wir müssen jetzt handeln. Und ich möchte an dieser Stelle auch noch einmal Herrn Kommissar Breton für seine ausführliche Antwort auf unseren Brief vor einigen Wochen danken.
Erst vor ein paar Tagen habe ich gelesen, dass Silizium Mangelware ist. Silizium ist wichtiger Bestandteil zur Herstellung von Solarzellen und dazu, dass wir den Green Deal am Ende gemeinsam erreichen können. Rohstoffknappheit und hohe Preise sind nicht nur ein deutsches, sondern ein europäisches, ja gar ein globales Problem. Eine Reihe von Rohstoffen sind für uns in Europa unerlässlich. Unerlässlich, um den Grünen Deal und den digitalen Wandel anzuführen, die Ziele der EU-Renovierungswelle zu erfüllen. Unerlässlich, um weltweit führender Industriekontinent zu bleiben. Wir können es uns nicht leisten, bei vielen Rohstoffen vollständig von Drittländern oder auch nur einem Land abhängig zu sein.
Meine Frage an die Kommission ist daher: Wie werden Sie das Risiko von Ungleichgewichten zwischen Angebot und Nachfrage, wie wir es aktuell bei vielen Rohstoffen und Baumaterialien erleben, in den anstehenden Initiativpaketen der EU-Industriestrategie adressieren? Wie können wir unseren Handwerkern und Bauherren auch künftig Planungssicherheit und Preisstabilität garantieren?
"
Christian DOLESCHAL,2021-05-20,EN,Announcement of voting results,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-05-20-INT-4-133-0000_EN.html,"  Christian Doleschal,  rapporteur. – Madam President, following the vote that has taken place on the Aarhus Regulation here today, I would like to request that the matter be referred back to the committee responsible for institutional negotiations pursuant to Rule 59. 
"
