MP,Date,Language,Title,Url,Content
Christian EHLER,2023-11-21,EN,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (A9-0343/2023 - Christian Ehler)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-134-0000_EN.html,"  Christian Ehler,  rapporteur. – Mr President, ladies and gentlemen, I think that’s good news for the climate; it’s good news for the European economy; and it’s a clear answer to the Americans, to the Inflation Reduction Act. So, I thank for the constructive majority in the Parliament, and let’s now dance with the Council.
So, in line with Rule 59 of the Rules of Procedure, I would like to ask for the matter to be referred back to the committee for interinstitutional negotiations, according to the Rules 60 and 74 of the Rules of Procedure.
"
Christian EHLER,2023-11-20,DE,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-119-0000_DE.html,"  Christian Ehler,  Berichterstatter. – Sehr geehrte Frau Präsidentin, Herr Kommissar! Wir haben uns gerade über das, was wir wollen, unterhalten. Beim jetzigen Tagesordnungspunkt unterhalten wir uns darüber, wie wir das eigentlich machen.
Die Kommission hat zu Beginn der Legislaturperiode den Grünen Deal vorgelegt – eine Kombination aus einer großen klimapolitischen Ambition, die wir, glaube ich, weitgehend teilen, aber auch der Frage, wie die europäische Wirtschaft und die damit verbundenen Arbeitsplätze, aber auch die damit verbundene gesellschaftliche Akzeptanz zu verbinden sind. Und der Grüne Deal sollte ein Konzept sein, dies auch mit einer Wirtschaftlichkeit, der Zukunftsfähigkeit der europäischen Wirtschaft zu verbinden.
Und es ist nicht eine Abwägung zwischen Wirtschaftlichkeit und Ökologie, sondern es wird uns die Industrie, die Technologie, die Innovation eigentlich erst die Mittel an die Hand geben, um unsere Ambitionen umzusetzen. Die Netto-Null-Industrie-Verordnung ist eine erste Antwort der Kommission zu diesem Thema nach drei Jahren. Sie ist eine Antwort auf eine Herausforderung, die wir aus den Vereinigten Staaten bekommen. Eigentlich eine gute Nachricht: Die Amerikaner gehen mit uns den Weg zum Klimaschutz. Aber sie gehen ihn mit einer wirtschaftlichen Strategie, die einfach ist, die robust ist, die Zielkonflikte in Kauf nimmt und die natürlich das Wirtschaftsmodell in Europa herausfordert.
Was wir jetzt als Parlament vorlegen, haben wir über Monate gemeinsam erstritten, und es geht weit über die Ambitionen der Kommission hinaus: Wir betrachten die gesamte Wertschöpfungskette. Wir betrachten die ganze Lieferkette. Wir glauben daran, dass wir für Europa ein Modell finden werden, mit dem die grüne Transformation Europa auch wirtschaftlich in die Zukunft führen kann. Aber das bedeutet, dass wir radikal handeln müssen.
Wir müssen deregulieren. Das ist kein Konflikt gegenüber sozialen Verpflichtungen oder ökologischen Verpflichtungen. Aber wir müssen auch Zielkonflikte in Kauf nehmen und auch lösen. Wir müssen schneller genehmigen. Wir müssen den Netto-Null-Technologien die Möglichkeit geben, in Europa ein attraktives Umfeld zu finden. Wir müssen auch nicht allgemein appellative Dinge tun, sondern wir – dieses Parlament – schlagen ganz praktisch vor, Net-Zero Industry Valleys in Europa zu schaffen, schneller zu genehmigen, finanzielle Rahmenbedingungen zu setzen, Innovation zu ermutigen, zu deregulieren, Hindernisse aus dem Weg zu räumen – damit wir der Kontinent sind, der am wirtschaftlichsten, am innovativsten mit der Herausforderung des Klimawandels umgeht, der aber auch Europas Wirtschaft, die Arbeitsplätze, aber auch unsere Gesellschaften in die Zukunft führt.
Ich glaube, der Entwurf des Parlaments ist mutig. Es bedurfte langer Diskussionen, aber er zeigt im Grunde genommen den Weg der nächsten Legislaturperiode. Es geht um Implementierung, es geht nicht mehr um das Ob, sondern es geht um das Wie. Es geht darum, dass wir Innovation ermutigen, dass wir unseren eigenen Fähigkeiten trauen, dass wir nicht einfach bremsen wollen, sondern dass wir ermutigen wollen.
Insofern bin ich sehr optimistisch, dass wir mit dem Vorschlag, den wir morgen hier zur Abstimmung bringen, jetzt in schnelle Verhandlungen mit dem Rat gehen. Ich glaube, es ist der Blick in die Zukunft, es ist Europas Antwort nicht nur auf den Inflation Reduction Act, sondern es ist Europas Antwort darauf, dass wir Vertrauen in unsere eigenen Fähigkeiten haben, in unsere Wirtschaft haben, dass wir die Zukunft unserer Wirtschaft mit den Netto-Null-Technologien verbinden.
Und ich glaube, es ist ein mutiger Schritt. Es ist ein ambitionierter Schritt, den wir aber auch schnell gemeinsam gehen können, sonst wird die Dekarbonisierung der europäischen Wirtschaft nur der Deindustrialisierung anheimfallen. Wir wollen die Dekarbonisierung der europäischen Wirtschaft mit Innovation, mit der Wirtschaft, mit den Menschen, mit Arbeitsplätzen und mit Zukunft verbinden.
"
Christian EHLER,2023-11-20,DE,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-157-0000_DE.html,"  Christian Ehler,  Berichterstatter. – Frau Präsidentin! Ein deutscher Soziologe hat mal Politik beschrieben als die Inseln des Eigensinns. Und was wir heute gehört haben, war in Teilen ermutigend, aber in Teilen auch relativ fragwürdig. Herr Carême hat alles getan, um das vielleicht falsche Vorurteil, dass Grüne einfach überhaupt nichts von Wirtschaft und Wertschöpfungsketten verstehen, zu vertiefen. Herr Botenga, den ich intellektuell eigentlich schätze, bekämpft den Kapitalismus. Unsere Kollegen sagen sozusagen das Erwartbare, wobei es eine vollkommene Lüge ist, dass wir in Natura-2000-Gebieten Industrie ansiedeln wollen – das möchte ich hier noch einmal deutlich sagen. Herr Buchheit von der AfD schürt weiter Ängste, ist im Grunde genommen gegen alles und möchte nach Großbritannien auswandern. Also es war wirklich alles geboten heute. 
Worum geht es eigentlich? Erstens: Ich glaube, dass die Mehrheit dieses Parlaments morgen ein optimistisches Signal setzen will, dass wir an die Wettbewerbsfähigkeit einer dekarbonisierten europäischen Industrie glauben. Zweitens: Wir glauben an Innovation. Wir glauben an die Menschen in Europa. Wir glauben an Arbeitnehmer, an Ingenieure, an Unternehmer, die in diese Richtung gehen. Drittens: Wir müssen diesen Transformationsprozess unserer Wirtschaft einfach entschlossener unterstützen.
Ich glaube, das, was wir auf den Weg bringen, sind erste Schritte. Natürlich können wir mit einer Netto-Null-Industrie-Verordnung nicht alles lösen. Es finden parallel dazu, von der Kommission begonnen, Sektorengespräche mit der Industrie statt, es gibt die transition pathways. Wir haben jetzt in den Haushaltsverhandlungen als Parlament die Mittel für Forschung und Innovation erhöht, obwohl der Rat vielleicht vorhat, sie wieder zu kürzen.
Ich glaube, wir sollten doch einfach einmal am Vorabend einer solchen Entscheidung, die wir morgen treffen, ein optimistisches Signal setzen, dass wir daran glauben, dass wir das schaffen, dass wir uns nicht vor Amerikanern, Chinesen und dem Rest der Welt fürchten müssen, dass wir uns nicht in Dystopien ergehen, sondern dass wir an unsere eigene Leistungsfähigkeit, an Innovation, an die Innovation unserer Unternehmer glauben und dass wir auch nicht immer Gegensatzpaare ideologischer Art zwischen Industrie und Dekarbonisierung bauen.
Sondern: Es ist ein erster, wichtiger Schritt für die Wettbewerbsfähigkeit der europäischen Industrie, für die Innovation, die wir brauchen, um die Dekarbonisierung und unsere Ziele zu schaffen, und eine Adressierung auch der nächsten Generation, dass wir jetzt die nötigen, auch praktischen Schritte in die Wege leiten, um nicht nur Ziele zu formulieren, sondern Ziele auch zu erreichen.
"
Christian EHLER,2023-10-18,EN,New European innovation agenda (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-445-0000_EN.html,"  Christian Ehler,  author. – Mr President, dear Commissioner Ivanova, welcome to the plenary: it is your debut, but it is a highly and hotly debated topic we talk about today.
Yesterday we had a debate on the 2024 budget, where the Council shamelessly cuts innovation. It is almost an annual ritual. I pointed it out there, and many other colleagues, and I will repeat it now: without innovation, we fail on our climate, on our digital objective, but also on the general objective of changing our societies using technologies, using innovation as a comparative advantage for the European economy. Without innovation, we cannot build a modern society. That is why it was so essential that with this new European innovation agenda we are getting back to taking innovation policy really seriously. 
I have to admit that this is late in the term, and we had been slightly confused that DG RTD rightly have been presenting an innovation agenda, but it seems to have become a little bit fashionable. I mean, we have a slightly bewildered DG BUDG, who never was suspected to have any idea about innovation, who brought forward an innovation platform, a financial instrument using headlines actually not existing for innovation before. Deep digital was not just a flaw, but it illustrated that it seems to be now a little bit fashionable to work on that. Commissioner Breton had been bringing forward 10 new innovative strategies. We have a lot of programmes, we have a lot of ambitions, but you also called for – and we did call for – an innovation agenda. I think it had been high time that DG RDT had brought forward a straight, understandable agenda: what we should do together with the Member States to bring innovation at the forefront. 
We need to foster the development of new knowledge and technology. We need to foster the development of new ideas for products and services. We need to foster our ability to turn technologies and ideas into market-ready products and services. We need to make it easier for our industry and start-ups to scale up innovations once they are brought to the market. To achieve all this, we need the Member States to buy in. The new European innovation agenda with its flagships is doing exactly that. Just like we have been doing for the European Research Area, we now have a policy agenda for innovation in Europe we can discuss.
But also we embrace the idea that this is not an isolated ambition of the Commission and the Parliament: it is a European agenda we have to develop and we have to align behind. So now it is about deliveries. That is why I deeply believe that this specific policy agenda needs to be combined with a more general approach to making the internal market more friendly towards innovation. This means lowering the regulatory burden and more rigidly implementing the innovation principle. This means further rolling out regulatory sandboxes, this means developing a substantial policy agenda on technology infrastructures. However, most of this means investing in science, research and innovation, and we are still not investing the 3 % of GDP which had been announced almost 20 years ago by the Council. In 2021, we got stuck with 2.27 %, while the US stands at 3.46 %, and South Korea even at almost 5 %.
We are also not investing enough in the European framework programmes: just for the first two years, Horizon would have needed an additional EUR 34 billion to fund all excellent proposals. This is only for the calls that are actually put out, because we also know that we are currently not investing enough in early research. If we want to fund enough early research, applied research and innovation to ensure long-term ability to innovate, we would need at least EUR 200 billion for the next framework programme. That needs to be part of our long-term European innovation agenda.
"
Christian EHLER,2023-10-17,EN,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-140-0000_EN.html,"  Christian Ehler,  rapporteur for the opinion of the Committee on Industry, Research and Energy. – Mr President, ladies and gentlemen, on March 23, the European Council adopted the following text: ‘The European Union is building a robust, future-proof economy that secures long-term prosperity. This requires an integrated approach across all policy areas to increase productivity and growth throughout the whole economic base of our continent.’
And ladies and gentlemen, that is all based on competitiveness, productivity, growth and innovation. And we are going to ruin our future. I mean these lofty words from the Council, this is unbelievable. The cuts are either ritual – then it’s shameful – or they are meant. And then the Council lost their mind. The Council cut EUR 20 million from the European Research Council that is producing the Nobel Prize winners you show yourself in public. You cut EUR 35 million from the health crisis, after the COVID crisis, which brought our collective public life to a collapse. You cut EUR 10 million from security research after the disturbing events yesterday evening in Brussels. I mean, this is mad, nothing else!
And you have to restore a solid budget for innovation. Otherwise we are going to fail. We are going to fail on climate. We are going to fail on digital. You are going to fail on modern societies. Not just to restore that. Get to terms, we want our budget back.
"
Christian EHLER,2023-10-16,DE,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-103-0000_DE.html,"  Christian Ehler,  Berichterstatter. – Herr Präsident, Herr Kommissar! Mit STEP wagt sich die Kommission an die Quadratur des Kreises. Richtigerweise zielt der Vorschlag darauf ab, die Herstellung von strategischen Technologien und deren Lieferketten in Europa zu fördern. Damit sollen aber gleichzeitig drei verschiedene und konkurrierende Ziele erfüllt werden: erstens die Herstellung der notwendigen Technologien zur Erreichung der Klimaschutzziele 2030 und 2050 – richtig –, zweitens die Vergrößerung der Souveränität Europas gegenüber dem Rest der Welt – sicherlich wichtig –, aber drittens auch die Stärkung der Kohäsion zwischen den Mitgliedstaaten der EU.
Aus diesem Dreiklang heraus ist leider inhaltlich ein nicht ganz unproblematischer Vorschlag entstanden. So sehr ich Innovationspolitik begrüße, bleibt doch der Eindruck, dass der Vorschlag mit der heißen Nadel gestrickt wurde. Wir müssen endlich die vielen unterschiedlichen innovations- und industriepolitischen Anstrengungen in irgendeiner Weise harmonisieren. Wir haben deshalb zusammen mit den Kollegen aus dem Haushaltsausschuss – und ich bedanke mich ausdrücklich für die Zusammenarbeit auch innerhalb des Parlaments und mit dem Ko-Berichterstatter – diesen Vorschlag nicht nur einfach verbessert – das ist ja zunächst mal eine Behauptung, die Parlamente gerne anführen –, sondern wir haben zum ersten Mal sozusagen diese Verordnung mit den anderen industriepolitischen Initiativen wie zum Beispiel dem Net-Zero Industry Act und dem Critical Raw Materials Act so weit kongruent gemacht, dass sie sich gegenseitig finanzieren und ergänzen können.
Durch diesen Bericht entsteht nun freiwillig oder unfreiwillig zum ersten Mal ein industriepolitisches und innovationspolitisches Paket aus Regulierung und zugehöriger Finanzierung, um europäischen Unternehmen eine strukturierte Antwort auf die Herausforderungen unserer Zeit wie den Inflation Reduction Act, die Coronakrise oder die durch Russland ausgelöste Energiekrise zu geben. Insofern sind die Diskussion und der Einstieg in Richtung eines Souveränitätsfonds richtig. Die Frage ist nur: In welche Richtung gehen wir? 
Besonders hervorheben möchte ich als Berichterstatter für Horizon Europe auch noch unsere wichtigen Änderungsanträge zum EIC, mit denen wir eine bessere Funktionsweise und einfachere Verfahren für Unternehmen im Förderprozess sicherstellen.
Verehrte Kollegen! Weiterhin problematisch ist aber das Thema Kohäsion in dieser Regulierung: Neue Mittel für den Innovationsfonds mit den Nettozahlern als Beitragszahlern, aber der Nutzung ausschließlich durch die Mitgliedstaaten mit einem Pro-Kopf-BIP unter dem EU-Durchschnitt, also zum Beispiel die Tatsache, dass der Vorschlag vorsieht – und auch eine Mehrheit des Parlaments dafür ist –, den Einsatz dieser Mittel, und zwar gerade den Einsatz von Kohäsionsmitteln, die Mitgliedstaaten ohnehin schon haben, bei den Mitgliedstaaten mit einem Pro-Kopf-BIP über dem EU-Durchschnitt für die Industrie zu untersagen, ist geradezu unsinnig. Wie wenn die Kommission noch nie etwas von horizontalen Wertschöpfungsketten gehört hätte. Wir haben sehr viele Technologien, die ihren Ausgangspunkt industriell in den Mitgliedstaaten mit einem Pro-Kopf-BIP über dem EU-Durchschnitt haben und bei denen die nachgeordneten Zulieferer und die Wertschöpfungskette dann in den Mitgliedstaaten mit einem Pro-Kopf-BIP unter dem EU-Durchschnitt sind. Insofern bieten wir mit dieser Diskussion eine sinnlose Diskussion hier im Parlament um Verteilung, wo es einfach nur darum geht, den einen das zu verwehren, was die anderen in der Wertschöpfungskette aber als Anstoß brauchen.
Das ist auch insofern eine gefährliche Diskussion, weil wir dem Rat damit sozusagen die Begründung geben, warum er den Souveränitätsfonds und STEP schlicht und einfach ablehnen kann. Deutschland und Frankreich haben sich dahingehend schon erklärt, und ich sage aber auch deutlich in Richtung Rat: So billig kann man sich nicht davonstehlen. Denn wir müssen uns jetzt überlegen, wie wir die 2030-Ziele implementieren wollen und ob wir sinnvolle Investitionsinstrumente haben.
Also insofern zusammengefasst: Ich glaube, der Bericht ist wesentlich besser. Ich glaube, jetzt hat die Kommission, hat Europa – oder hätte – ein Paket aus mehreren industrie- und innovationspolitischen Ansätzen, wo wir einen ersten Schritt in die Richtung machen, in Richtung Implementierung, in Richtung einer Antwort auf den IRA und in Richtung eines Signals an die Märkte.
Ich bitte noch einmal ganz ausdrücklich, den Bericht zu unterstützen, sich auch nicht auseinanderdividieren zu lassen vor dem Hintergrund der Kohäsionsfrage, die – glaube ich – unglücklich in diesem Falle ist, und gemeinsam dafür zu streiten, dass für die Implementierung wichtiger Politiken die entsprechenden Mittel zur Verfügung gestellt werden.
"
Christian EHLER,2023-10-16,DE,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-148-0000_DE.html,"  Christian Ehler,  Berichterstatter. – Frau Präsidentin! Ich glaube, die beruhigende Nachricht für die europäischen Bürger ist, dass der Vorschlag des Parlaments wesentlich besser ist als die heutige Diskussion. Ein Soziologe hat mal politische Diskussionen als das Beharren auf den Inseln des Eigensinns beschrieben. Ich glaube, wir sollten einfach noch mal zusammenfassen, was die gemeinsame Position der Mehrheit dieses Hauses ist. Und ich glaube, das teilen wir auch mit der Kommission.
Wir reden über strategische Technologien – sie werden der Schlüssel dafür sein, ob die disruptive Transformation, die im Moment in Europa, in unserer Wirtschaft, in unseren Gesellschaften im Gange ist, gelingen wird. Und wir müssen das finanzieren. Im Grunde genommen ist STEP ein Beitrag – und ich glaube, wir haben ihn besser gemacht –, der sich einfügt in eine ganze Reihe von Maßnahmen: den Net-Zero Industry Act, die Digital Decade, den Critical Raw Materials Act, wo wir eben diese Themen einzeln adressieren – Souveränitätsfragen, Technologieinvestitionen, Deregulierung, das Vereinfachen von Investitionen.
Und keineswegs ist dieser Vorschlag sozusagen ein Geschenk an die Industrie, sondern er ist im Grunde genommen realistischerweise das: Er ist eine Plattform mit einem beschränkten finanziellen Budget, aber greift eben zu auf den Strukturfonds, um strategische Innovationen zu fördern. Da müssen wir es tun – mit den Mitgliedstaaten, mit den Ländern, mit den Kommunen, der öffentlichen Hand. Er greift auf ein Forschungsprogramm zu – wir brauchen Investitionen in der Forschung, sei es in der Industrie, sei es im öffentlichen Sektor. Er beschäftigt sich aber – das haben wir möglich gemacht – auch mit strategischen Fragen wie beispielsweise dem Critical Raw Materials Act und Investitionen in die strategische Souveränität Europas.
Insofern ist die STEP eben ein erster Schritt, und wir sollten sie nicht kleinreden, sondern sie ist im Grunde genommen im Kleinen das, was wir im Großen brauchen. Wir müssen priorisieren – wir werden nicht alles durch neues Geld finanzieren müssen, aber wir müssen mehr investieren. Und wir müssen die bestehenden Mittel priorisieren, weil sie realistischerweise zur Verfügung stehen und weil wir eben Prioritäten haben. Und eine dieser großen Prioritäten, um die Transformation möglich zu machen, um unsere Gesellschaften zu verändern, um wirtschaftlich erfolgreich zu sein, sind strategische Technologien. Das eint uns, diese Erkenntnis, und insofern sollten wir jetzt die Diskussion mit dem Rat beginnen – er wird sich nicht herausstehlen können, indem er Partikularinteressen in den Vordergrund stellt. Entweder wir machen das gemeinsam, oder wir scheitern gemeinsam als Europäer.
"
Christian EHLER,2023-07-11,DE,COVID-19 pandemic: lessons learned and recommendations for the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-225-0000_DE.html,"  Christian Ehler (PPE).   – Herr Präsident, Frau Kollegin Limmer! Ich würde gerne mal wissen, wer Sie zum Schweigen gebracht hat? Sie sprechen hier vor dem Plenum. Sie verseuchen die Social-Media-Kanäle. Sie sind überall publik. Wer um Gottes willen hat Sie zum Schweigen gebracht? Vielleicht liegt es einfach daran, dass die Unerträglichkeit von Mehrheitsentscheidungen in der Demokratie für Sie eine Zumutung sind. Zum Schweigen hat Sie hier niemand gebracht. 
Diese Diskussion, die auf der Linken geführt wird, IP rights zu schleifen, und auf der Rechten geführt wird auf der Ebene sozusagen, die Erde sei eine Scheibe. Wir sind ja vor Galileo, wir erkennen nicht an, dass Vakzine im 20. Jahrhundert und im 21. Jahrhundert Millionen von Menschen gerettet haben. Wo sind wir eigentlich hingekommen?
Aber ich möchte doch sagen: Ohne Rechte des geistigen Eigentums hätten wir kein mRNA gehabt, wir hätten keinen Wirkstoff gehabt. Wir hätten das nicht teilen können mit anderen Produktionsstätten. Wir hätten nicht innerhalb von einem Jahr 750 % Kapazitätsaufbau in diesen Bereichen gehabt. mRNA hat Jahre gebraucht, um entwickelt zu werden. 
Insofern erfüllt es mich mit tiefem Misstrauen in diesem Plenum, dass es Änderungsanträge zu dem Bericht gibt, der schon relativ weit geht, der weit darüber hinausschießt. Wenn wir Rechte des geistigen Eigentums nicht verteidigen, dann werden wir Wissenschaftler entmutigen. Wir tun hier so, als wenn das eine Kapitalismusdebatte wäre. Wissenschaft, die Freiheit an geistigem Eigentum, Innovation werden ruiniert dadurch, dass wir jetzt versuchen, sozusagen im Grunde genommen die Pharmaindustrie zu sozialisieren. Und das ist unerträglich.
"
Christian EHLER,2023-07-10,DE,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-075-0000_DE.html,"  Christian Ehler (PPE).   – Frau Präsidentin, meine Damen und Herren! Die Industrieemissionsrichtlinie, wie sie vor der Revision bestand, trug erfolgreich zur Reduzierung von Emissionen in Europa bei. Im Grunde genommen ist sie auch ein modernes Instrument, denn sie hat einen Mechanismus, wo Industrie, NGOs, die öffentliche Hand über Jahre diskutieren, wie man technologischen Fortschritt erreichen kann.
Aber wir sind in diesem Fall vollkommen über den Rahmen hinausgeschossen. Das wird ein Beitrag zur Deindustrialisierung Europas sein. Es ist superbürokratisch, es sind riesige Auflagen für die Industrie, es wird kein Gramm Schadstoff reduziert werden. Es ist ein riesiges Beauflagungs—, Kontroll— und Dokumentationssystem für eine Industrie, die wir ohnehin mit Dokumentationspflichten, mit bürokratischem Aufwand schwer belastet haben. 
Insofern müssen wir uns ganz genau überlegen, was wir wollen. Es gibt im Deutschen ein Sprichwort, das heißt: Viele Hunde sind des Hasen Tod. Ich glaube, es geht nicht darum, die Frage zu stellen, Emissionen in der Industrie zu reduzieren, sondern es geht um die Art und Weise. Es ist überbordend, es ist überbürokratisch, es geht hauptsächlich um Dokumentationen, und das wird der Industrie in Europa wie auch dem Klima nicht helfen. 
"
Christian EHLER,2023-05-09,EN,Establishing the Act in Support of Ammunition Production (C9-0161/2023) (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-109-0000_EN.html,"  Christian Ehler,  on behalf of the PPE Group. – Madam President, dear colleagues, every day, every week counts for Ukraine, desperately fighting against the Russian invasion. Supplying ammunition to Ukraine is urgent. We should therefore also deal with the proposal to ramp up industrial production of ammunition urgently. Therefore, the EPP Group requests and supports an urgent procedure along Rule 163 here in Parliament.
ASAP – the name of the Act brought forward by the Commission, the Act in Support of Ammunition Production – is a well-chosen acronym. I think we have to ramp up European production of the ammunition that is urgently needed in support of Ukraine in the war launched by Russia, but also for Europe itself. In that sense, the suggested EUR 500 million support for short-term ammunition production via ASAP is welcome in the EPP. We strongly support this effort.
The EU Member States and NATO partners have shown a great willingness to stand by Ukraine in the war, and have – individually and together – donated and financed an impressive amount of defence equipment. But we need more cooperation in Europe. We all understand that supporting Ukraine right now is also ensuring our own security in the long term. ASAP is timely, it is needed and it should be pointing to the future common EU defence efforts. Not all elements are to our unconditional liking, but let us begin to work. Ukraine needs it. We need it for our future.
"
