MP,Date,Language,Title,Url,Content
Christine ANDERSON,2023-11-23,DE,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-081-5000_DE.html,"  Christine Anderson (ID),  schriftlich. – Heute gedenken wir des Internationalen Tages zur Beseitigung der Gewalt gegen Frauen. Erinnern wir uns an die tragische Geschichte aus meiner früheren Heimatstadt Limburg, wo 2019 eine Frau von ihrem Ehemann mit einem Auto überfahren und dann auf offener Straße mit einer Axt angegriffen wurde. Obwohl ich damals gerne persönlich am Trauermarsch zu ihren Ehren teilgenommen hätte, sandte ich aus dem EU-Parlament meine tiefste Anteilnahme nach Limburg und möchte an dieser Stelle heute an sie erinnern.
In ganz Europa verbreitet sich eine Kultur der Frauenverachtung. Einige Männer und Männergruppen messen ihre Männlichkeit an der Grausamkeit, mit der sie sich Respekt verschaffen und ihre sogenannte Ehre wiederherstellen. Schluss mit symbolischen, heuchlerischen Betroffenheitsbekundungen: Einer frauenverachtenden Kultur mit Toleranz zu begegnen, beseitigt nicht Gewalt gegen Frauen – sondern hofiert sie! Diese Kultur der Frauenverachtung hat in Europa nichts verloren. Deswegen gilt damals wie heute: Der Islam gehört nicht zu Europa!
"
Christine ANDERSON,2023-10-17,DE,"Situation of Ukrainian women refugees, including access to SRHR support (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-411-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Herr Präsident! Inmitten der Debatte über die Versorgung von Flüchtlingen und deren grundlegende Bedürfnisse identifiziert dieses Haus nicht etwa Nahrung, Kleidung und Unterbringung, sondern Abtreibung als eines der elementarsten Bedürfnisse überhaupt. Geht es Ihnen eigentlich noch ganz gut?
Es sei denn, Sie nehmen hier endlich mal einen Punkt in den Blick, den dieses Haus bisher geflissentlich ignoriert hat: Vor dem Ausbruch des Konflikts in der Ukraine war die Ukraine das Paradies des illegalen Kinderhandels. Paare aus der ganzen Welt, insbesondere der westlichen Demokratien, konnten Kinder über ukrainische Leihmütter bestellen, und zwar wesentlich günstiger als in ihren jeweiligen Heimatländern. Nach ukrainischem Recht hatte die Leihmutter keinerlei Rechte an dem von ihr ausgetragenen leiblichen Kind. Die Geburtsurkunde wies ausschließlich die zahlenden Besteller als Eltern aus. Juristische Auseinandersetzungen für den Fall, dass das bestellte Kind nicht den Vorstellungen entsprach, waren vorprogrammiert.
Sind das die europäischen Werte, von denen Sie hier unentwegt sprechen und zu deren Verteidigung Sie die europäischen Völker auf deren Kosten verpflichten? Aber was heißt das für die biologischen Mütter? Ganz einfach: Unter Applaus der EU werden diese Frauen Opfer Ihrer menschenverachtenden Abtreibungskampagne, unter welcher Sie die Frauen unter Ausnutzung ihrer finanziellen Not zu Gebärmaschinen degradieren und ausbeuten. Dieses Haus unterstützt damit systematischen Kinderhandel unter Missachtung der Würde dieser Kinder und der Würde und der Rechte ihrer Mütter. Ja, wenn die Linken „Slawa Ukrajini“ rufen, dann bedeutet das eben auch die Ausbeutung und Rechtlosstellung dieser ukrainischen Frauen. Dagegen müssten Sie vorgehen, aber das tun Sie nicht.
"
Christine ANDERSON,2023-07-10,DE,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-031-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Frau Präsidentin! In Deutschland sieht eine weisungsgebundene Behörde, der sogenannte Verfassungsschutz, seine Aufgabe darin, die Opposition zu behindern und zu verhindern. Präsident Haldenwang sagte kürzlich, es sei nicht allein seine Aufgabe, die Umfragewerte der AfD zu senken. Nein, es ist gar nicht seine Aufgabe, dies zu tun.
Dies ist eine ganz klare Kompetenzüberschreitung und außerdem eine eklatante Verletzung des Neutralitätsgebots. Zu diesem Ergebnis kommen zumindest mehrere renommierte Staats- und Verfassungsrechtler. Eine der Regierung unterstellte Behörde, die die Opposition verunglimpft und sie systematisch behindert, schützt nicht die Verfassung, sondern schützt die Regierung und stellt somit einen klaren, verfassungswidrigen Tatbestand dar.
Derart eklatante und offensichtliche Verstöße gegen Prinzipien von Demokratie und Rechtsstaatlichkeit kann und darf dieses Haus nicht unkommentiert und auch nicht unwidersprochen stehen lassen. Ich beantrage daher im Namen der ID-Fraktion hierzu eine entsprechende Erweiterung der Tagesordnung für eine Aussprache und eine Stellungnahme der Kommission hierzu für Dienstagnachmittag mit entsprechender Verlängerung der Sitzung am Dienstag.
"
Christine ANDERSON,2023-06-14,DE,Investigation of the use of Pegasus and equivalent surveillance spyware - Investigation of the use of Pegasus and equivalent surveillance spyware (draft recommendation) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-214-0000_DE.html,"  Christine Anderson (ID),  schriftlich. – Der Abschlussbericht enthält Vorwürfe, wonach es „präventives Abhören“ von Anführern und Organisatoren von Straßenprotesten gab. Man ist davon überzeugt, dass Rechtsstaatlichkeit und demokratische Grundstandards ernsthaft verletzt wurden. Leider stellt er dies nur für Mitgliedstaaten wie Polen und Ungarn fest. Deutschland kommt mit gerade mal 8 von 531 Absätzen kaum im Bericht vor. Dabei hat es ein Vertreter der Bundesregierung nicht für nötig gehalten, trotz mehrfacher Einladung, im Ausschuss zu erscheinen. Der Ausschussvorsitzende selbst erklärte, dass er sich nicht sicher sei, ob ein Vertreter der Bundesregierung keine Zeit habe oder ob es ihm nicht von der Bundesinnenministerin verboten wurde, vor dem Ausschuss auszusagen. So konnte ich im Ausschuss keine Frage an einen Vertreter Deutschlands stellen. Niemand konnte mir die Frage beantworten, wieso eine Partei wie die Alternative für Deutschland vom Inlandsgeheimdienst, der sich zwar Verfassungsschutz nennt, aber hier Regierungsschutz betreibt, mit geheimdienstlichen Mitteln überwacht werden muss. Das bedeutet, der Einsatz solcher Software wie Pegasus und der Umgang mit ihren Mitgliedern auf dem Niveau von Schwerverbrechern und Terroristen. Da der Bericht die Situation im Umgang mit der Opposition in Deutschland komplett ausblendet und ich als deutsche Abgeordnete in erster Linie meinem Heimatland verpflichtet bin, kann ich einem solchen Bericht unmöglich zustimmen.
"
Christine ANDERSON,2023-05-31,DE,Sexual harassment in the EU and MeToo evaluation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-257-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Herr Präsident! Frauen vor sexueller Belästigung zu schützen – absolute Zustimmung. Dazu wird diese Initiative Plus keinen Beitrag leisten. Ganz im Sinne des fortgesetzten Massenimports einer bunten, toleranten, vielfältigen, vor allem aber frauenfeindlichen Multikulti-Kultur wird der Arbeitsplatz als Ort des Schreckens für Frauen ins Visier genommen.
Weit gefehlt! In den Freibädern, auf öffentlichen Straßen, Plätzen, in Bus und Bahn werden Frauen aufs Übelste sexuell belästigt, begrapscht, vergewaltigt und geschändet. Kein Wunder, denn das sind die Orte, an denen sich die schutzsuchenden Goldstücke den lieben langen Tag tummeln, um ihrem frauenverachtenden Tagesgeschäft nachzugehen.
Sie wollen Frauen schützen? Dann schließen Sie endlich die Grenzen, unterbinden Sie den Massenimport dieser brutalen und rohen sexuellen Gewalt an Frauen. Wenn das getan ist, dann können wir uns gerne mal darüber unterhalten, ob die Einladung zu einem Kaffee am Arbeitsplatz tatsächlich sexuelle Belästigung ist oder nicht einfach nur Höflichkeit unter Kollegen.
"
Christine ANDERSON,2023-05-09,DE,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-236-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Frau Präsidentin! Ja, die Istanbul-Konvention – mal wieder. Ein Instrument, das eigentlich bereitstehen sollte, um Gewalt gegen Frauen zu bekämpfen. Das, was als politisch richtiges und wichtiges Signal gegen häusliche Gewalt oder Gewalt gegen Frauen gedacht war, entpuppt sich einmal mehr als bloßer Aufhänger für einen weiteren fantastischen Werbespot für ein ganzes Potpourri an ideologischem Blödsinn aus dem Hause dieser Scheindemokratie. Dass die EU nicht einmal davor zurückschreckt, den angeblichen Kampf gegen Gewalt gegen Frauen zu instrumentalisieren, um die staatliche Souveränität der Mitgliedstaaten zu beschneiden, ist ja kaum noch der Aufregung wert. Früh übt sich eben, was ein diktatorischer EU-Superstaat werden will. Aber Gewalt gegen Frauen zu instrumentalisieren, um ideologische Absurditäten zu implementieren, können eben jene Opfer häuslicher Gewalt nur als genau den Schlag ins Gesicht verstehen, von dem dieses Haus vorgibt, ihn bekämpfen zu wollen.
Die Täter – in aller Regel importierte Möchtegernmachos – lassen bedauerlicherweise ihre frauenfeindlichen Ansichten leider nicht so einfach an den Grenzen zurück wie ihren Pass. Dabei könnte diese wohl wirklich grausame Gewalt gegen Frauen in Europa so einfach verhindert werden. Ein wesentlicher Beitrag wäre schon erbracht, wenn man nur den illegalen Grenzübertritt von Millionen junger, aufgrund eines archaischen Frauenbildes gewaltaffiner Männer unterbände. Die Sicherung des eigenen Staatsgebiets war bis vor Kurzem noch das selbstverständliche Recht eines jeden souveränen Staates. Aber auf eine solche Idee kommt dieses Haus natürlich nicht. Nein, der denkbar wirksamste Schutz von Frauen vor Gewalt muss leider hinter der Toleranz-Besoffenheit der hier versammelten Weltverbesserer zurückstehen. Aber, liebe Frauen, auch im nächsten Jahr wird dieses EU-Parlament wieder in zelebrierten Betroffenheitsreden Ihnen darlegen, wie es Sie nicht zu schützen gedenkt.
"
Christine ANDERSON,2023-04-19,DE,EU Global Health Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-294-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Frau Präsidentin! Die EU-Strategie für globale Gesundheit ist in wenigen Sätzen zusammengefasst: Schmeiße Big Pharma Milliarden von Steuergeldern an Gewinnen in den Rachen für ein nutzloses, schädliches, gar tödliches Produkt. Wälze die Kosten der durch die Todesspritzen verursachten Schäden auf den Steuerzahler ab. Ermächtige die Kommissionspräsidentin, ihren eigenen Ehemann im Rahmen ihrer Amtsausübung persönlich zu bereichern. Übertrage die Regierungsgewalt auf die WHO und entmündige damit die für Demokratien konstitutiven Völker. Verkaufe all dies als dem Wohl des Volkes zuträglich, stigmatisiere, beschimpfe, verhöhne und ächte all jene, die das anders sehen.
Hier geht es nicht um Gesundheit, meine Damen und Herren, sondern darum, den souveränen Völkern Europas die Volksherrschaft zu entreißen. Die letzten drei Jahre haben gezeigt: Das Interesse der EU, der WHO und Big Pharma an öffentlicher Gesundheit ist genauso groß wie das Interesse der Waffenindustrie am Weltfrieden, nämlich überhaupt nicht.
"
Christine ANDERSON,2023-03-30,DE,Strengthening the application of the principle of equal pay for equal work or work of equal value between men and women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-30-INT-2-017-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Herr Präsident! Das EU-Parlament hetzt mal wieder alles und jeden gegeneinander auf, ganz im Sinne von „Teile und herrsche“. Um ein geschlechtergerechtes Gehalt fordern zu können, soll nun ein jeder wissen, was die Kollegen verdienen. Damit werden Überheblichkeit und Arroganz einerseits, Neid, Missgunst und Zwietracht andererseits das Betriebsklima zukünftig bestimmen.
Gibt es keine männlichen Kollegen, an deren Gehalt man Anpassung fordern könnte, dann fabriziert man imaginäre männliche Kollegen und fordert Gehaltsanpassung an deren imaginäres Gehalt. Findet sich trotz intensiver Suche keine tatsächliche Gehaltsdiskriminierung, dann reicht das bloße Bestehen einer theoretischen Möglichkeit der Gehaltsdiskriminierung aus, um Gleichstellungsansprüche geltend machen zu können.
Ihre Gleichstellungsbesoffenheit nimmt hier derart wahnhafte Züge an, dass ich mich inzwischen wirklich ernsthaft fragen muss: Wer bindet Ihnen eigentlich jeden Morgen die Schuhe zu?
"
Christine ANDERSON,2023-03-15,DE,Women activism – human rights defenders related to sexual and reproductive health and rights (SRHR) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-346-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Frau Präsidentin! Diese Aktivistinnen – ich würde sie als Fanatiker bezeichnen – verteidigen weder Opfer von Menschenhandel, Frauen, die von Genitalverstümmelung bedroht werden, Vergewaltigungsopfer, Opfer häuslicher Gewalt noch Kinder, die missbraucht werden. Ganz im Gegenteil: Als Lobbyisten der Abtreibungsindustrie verweigern sie Millionen von Ungeborenen das allumfassendste Menschenrecht überhaupt: das Recht auf Leben.
Und noch etwas: Wer Abtreibung zu einem gesellschaftlich akzeptierten Verhütungsmittel nach dem Akt erhebt, spricht Frauen ab, grundsätzlich verantwortungsbewusste Entscheidungsträger zu sein. Das, meine Damen und Herren, ist Frauenfeindlichkeit par excellence. Sie sollten sich etwas schämen.
Und ich spreche im Übrigen vor exakt 19 Abgeordneten von 705. Auch dafür sollten wir uns schämen.
"
Christine ANDERSON,2023-03-15,DE,Cross-border adoptions from third countries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-413-0000_DE.html,"  Christine Anderson,  im Namen der ID-Fraktion. – Frau Präsidentin! Kriminelle nutzen die Armut in Entwicklungsländern aus, um Kinder als menschliche Handelsware in die EU zu bringen, nicht selten zum Zweck der sexuellen Ausbeutung oder des Organhandels. 
Adoptionsverordnungen müssen zum Ziel haben, tatsächlich fürsorgliche Adoptiveltern für diese Kinder zu finden, rechtliche Schlupflöcher zu schließen, um das Verschwinden tausender Kinder in der EU zu unterbinden. 
Kinder vor Pädophilen und sexueller Ausbeutung zu schützen – das und nur das kann und muss ihr Ziel sein. Sollte es jedoch der Versuch sein, der Regenbogenmafia den Kindernachschub zu sichern, dann wäre der letzte Beweis für die abgrundtiefe Bösartigkeit dieses Hauses erbracht.
"
