MP,Date,Language,Title,Url,Content
Christine SCHNEIDER,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-078-0000_DE.html,"  Christine Schneider (PPE),  schriftlich. – Der Vorschlag der Europäischen Kommission schießt weit über das Ziel hinaus und die Berichterstatterin Sarah Wiener sattelt in ihrem Berichtsentwurf noch einmal oben drauf. Die pauschalen und undifferenzierten Reduktionsverpflichtungen bis hin zu Komplettverboten in ökologischen und empfindlichen Gebieten sorgen bei Landwirten und Winzern für Existenzangst. Es besteht die Gefahr, dass Landwirtschaft und Weinbau in Schutzgebieten nicht mehr oder nur extrem eingeschränkt möglich sind. Damit wird bestehenden Wirtschaftszweigen die Betriebsgrundlage entzogen und wir machen uns abhängig von Importen aus Drittländern mit geringeren Umwelt- und Sozialstandards.
Ich setze mich natürlich, wie auch der Großteil des Berufsstandes, für eine nachhaltige Reduktion von Pflanzenschutzmitteln ein. Allerdings muss es funktionierende Alternativen geben, wie soll man sonst noch Krankheiten und Schädlinge bekämpfen? Eine Pflanzenschutzmittelreduktion unter Berücksichtigung der Ernährungssicherheit ist richtig, aber Pauschalverbote sind der falsche Weg. Für mich ist ein Miteinander von Naturschutz und Landbewirtschaftung der richtige Weg – das eine schließt das andere nicht aus, und es sollten auch die einzelnen Schutzgebietstypen nicht gegeneinander ausgespielt werden.
Erreichbar wären die Reduktionsziele, wenn wir neue Züchtungstechnologien zulassen und Digital Farming vorantreiben, damit nur dort behandelt wird, wo es tatsächlich Krankheit oder Schädlingsbefall gibt. Außerdem benötigen wir schnellere und einfachere Zulassungsverfahren für neue und weniger schädliche Pflanzenschutzmittel.
"
Christine SCHNEIDER,2023-10-18,DE,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-085-7500_DE.html,"  Christine Schneider (PPE),  schriftlich. – Die furchtbaren Terrorangriffe auf Israel durch die Hamas haben mich zutiefst schockiert. Mein Mitgefühl gilt unseren israelischen Freunden. Deshalb ist es auch wichtig und richtig, dass das Europäische Parlament eine Aussprache abgehalten hat und seine Solidarität mit Israel bekundet.
Die Europäische Union muss fest an der Seite Israels stehen. Die Existenz und die Sicherheit Israels sind nicht verhandelbar. Es gibt keine Rechtfertigung für Terror. Deshalb muss Israel auch dabei unterstützt werden, die Terrororganisation Hamas zu besiegen. Die Versorgung des Gazastreifens mit Nahrungsmitteln, Wasser und Medikamenten muss im Einklang mit dem humanitären Völkerrecht gewährleistet sein. 
Die CDU/CSU-Gruppe im Europäischen Parlament ist für einen Stopp aller direkt und indirekt an staatliche oder nichtstaatliche palästinische Organisationen fließenden EU-Mittel, mit Ausnahme der international abgestimmten humanitären Hilfen. Wir fordern das Grundprinzip „Kein Cent für Terror“. Wer das Existenzrecht Israels infrage stellt, darf kein Geld erhalten. Leider lässt die Rückverfolgbarkeit der Mittelverwendung bei internationalen Organisationen immer wieder zu wünschen übrig. Wir brauchen hier unbedingt mehr Transparenz. Die Hamas darf aus Europa keinen einzigen Cent erhalten.
"
Christine SCHNEIDER,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-271-0000_DE.html,"  Christine Schneider (PPE).   – Herr Präsident, Frau Kommissarin! Die Diskussion heute um Glyphosat ist für mich ein perfektes Beispiel für das, was bei uns zum Teil in der Gesellschaft, aber auch hier im politischen Haus falsch läuft. Fast jede Diskussion, wenn es um Pflanzenschutzmittel geht, wird emotional geführt. Fakten spielen immer weniger eine Rolle, stattdessen verbreiteten hier einige wieder Weltuntergangszenarien, sollte die Zulassung von Glyphosat verlängert werden.
Deshalb möchte ich noch einmal kurz einordnen, um was es geht. Glyphosat ist ein Pflanzenschutzmittel, das es unseren Landwirten ermöglicht, die Ernährungssicherheit zu gewährleisten. Der Einsatz von Glyphosat unterliegt heute bereits strengen Vorschriften. In Schutzgebieten darf Glyphosat überhaupt nicht ausgebracht werden. Wir hatten noch nie eine bessere Datenlage als aktuell. Und unsere unabhängigen Wissenschaftler von der EFSA empfehlen sogar eine verlängerte Zulassung. Ohne den Einsatz von Glyphosat drohen drastische Verluste bei den Ernten, und das gerade jetzt, wo die Bezahlbarkeit von Lebensmitteln für viele Menschen ein immer größeres Problem wird.
Deshalb bitte ich alle Beteiligten: Hören Sie auf mit dieser Angstmacherei, und lassen Sie uns zu einer faktenbasierten Diskussion zurückkehren. Wir müssen natürlich an funktionierenden Alternativen arbeiten. Aber erst dann, wenn diese vorliegen, können wir über weitere Schritte diskutieren. Deshalb sollten wir uns für eine verlängerte eingeschränkte Zulassung von Glyphosat einsetzen.
"
Christine SCHNEIDER,2023-09-13,DE,Regulation of prostitution in the EU: its cross-border implications and impact on gender equality and women’s rights (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-405-0000_DE.html,"  Christine Schneider,  im Namen der PPE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Prostitution ist kein Beruf wie jeder andere – Ausstieg ist das Ziel. Dieses Zitat unserer Kommissionspräsidentin kann ich nur unterschreiben.
Wir dürfen als politisch Verantwortliche, aber auch als gesamte Gesellschaft nicht die Augen vor dem Leid verschließen, das Menschen durch Prostitution erleben. Deshalb müssen wir allen Betroffenen, das sind insbesondere Mädchen und Frauen, eine Stimme geben. Sie brauchen unseren Schutz.
Und darum unterstütze ich auch das nordische Modell. Denn es entkriminalisiert die Prostituierten und zieht diejenigen zur Rechenschaft, die durch ihr Handeln Prostitution erst ermöglichen und damit aktiv die sexuelle Ausbeutung, den Menschenhandel und die organisierte Kriminalität unterstützen.
Mein Ziel als Schattenberichterstatterin in der EVP-Fraktion ist es, dass wir alles unternehmen, um die Nachfrage zu senken und wirklich reale Ausstiegshilfen und konkrete Alternativen für die Prostituierten bieten.
Ich wünsche mir, dass die Mitgliedstaaten alles unternehmen, um die Prostituierten aus ihrer menschenunwürdigen Situation herauszuziehen. Wir dürfen die Frauen, die resigniert haben, und die vielen Kinder, die zur Prostitution gezwungen werden, nicht im Stich lassen. Wir haben viele Berichte von Überlebenden gehört, und sie müssen uns eine Mahnung sein, dass wir bei diesem Thema nicht lockerlassen dürfen.
Ich möchte mich ganz herzlich bedanken bei unserer Berichterstatterin Maria Noichl. Sie hatte nicht einfache Verhandlungen zu führen in einem Thema, das uns alle sehr betroffen macht. Vielen herzlichen Dank für die Arbeit und das kollegiale Miteinander.
"
Christine SCHNEIDER,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-013-0000_DE.html,"  Christine Schneider,  im Namen der PPE-Fraktion. – (Beginn des Redebeitrags bei ausgeschaltetem Mikro) … falsch behauptet wird, möchte ich es hier noch einmal klarstellen: Wir als EVP stehen zu den Zielen des Grünen Deals, und ja, wir möchten, dass das Montreal-Abkommen weltweit umgesetzt wird.
Über das Ziel sind wir uns einig, jedoch nicht über den Weg. Da gibt es gänzlich unterschiedliche Vorstellungen, und der Vorschlag der Kommission führt genau in die falsche Richtung. Der Schutz der Biodiversität kann nur Hand in Hand mit der Bevölkerung funktionieren, nicht indem man einseitig die Landwirte, die Förster, die Fischer für den Artenschwund verantwortlich macht, nicht indem man immer mehr Flächen aus der Produktion nimmt und so die Ernährungssicherheit und Bezahlbarkeit gefährdet, nicht indem man Naturschutz und nachhaltige Bewirtschaftung gegeneinander ausspielt.
Bis heute hat die Kommission keine belastbaren, nachhaltigen, vollständigen Daten vorgelegt, obwohl wir es seit einem Jahr versprochen bekommen. Auch die Finanzierung der Maßnahmen und die Auswirkungen auf die Mitgliedstaaten sind ungeklärt, und es ist vollkommen unklar, wie die Verordnung über die Wiederherstellung der Natur mit den bereits bestehenden 23 EU-Verordnungen abgestimmt werden soll, die jetzt schon unsere Natur schützen.
Man könnte den Eindruck gewinnen, die Kommission hat sich auf dem Weg verirrt. Durch das störrische Festhalten an einem schlecht gemachten Vorschlag hat die Kommission unnötig wertvolle Zeit verspielt, und Unterstützung gewinnt man nicht, indem man Druck auf einzelne Abgeordnete ausübt. Durch dieses Verhalten hat Vizepräsident Timmermans das Parlament gespalten. Drei Ausschüsse haben den Kommissionsentwurf bereits abgelehnt, und morgen wird es trotzdem zu einer Kampfabstimmung hier im Parlament kommen.
Lassen Sie mich deshalb zum Schluss noch einmal betonen: Wir als EVP-Fraktion stehen zu dem Grünen Deal. Aber das Gesetz ist schlecht gemacht, und es ist unsere Aufgabe als Abgeordnete, das auch zu benennen. Das bedeutet am Ende auch, dagegen zu stimmen. Unsere Forderung ist unverändert: Legen Sie einen neuen, besseren Vorschlag vor. Schlagen Sie wieder einen solchen Weg ein, dass es hier eine breite Mehrheit gibt.
"
Christine SCHNEIDER,2023-06-13,DE,Humanitarian and environmental consequences of the destruction of the Nova Kakhovka dam - Sustainable reconstruction and integration of Ukraine into the Euro-Atlantic community (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-061-7500_DE.html,"  Christine Schneider (PPE),  schriftlich. – Die Sprengung des Kachowka-Staudamms ist ein Kriegsverbrechen und es hat die größte menschengemachte Umweltkatastrophe in Europa seit Jahrzehnten ausgelöst. Neben dem unfassbaren Leid, das die ukrainischen Bürgerinnen und Bürger tagtäglich erleiden müssen, steht das gebeutelte Land jetzt auch noch vor dreckigem, ölverschmutztem Wasser, das Ortschaften, Felder und Wälder überflutet. Ich unterstütze die Forderung, dass der russische Diktator Wladimir Putin zur Verantwortung gezogen werden muss und begrüße, dass der Internationale Strafgerichtshof in Den Haag einen Haftbefehl gegen den russischen Präsidenten erlassen hat.
"
Christine SCHNEIDER,2023-05-10,DE,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-103-0000_DE.html,"  Christine Schneider (PPE).   – Herr Präsident, Frau Kommissarin! Wir sind uns in dem Ziel einig: Wir wollen eine starke Land- und Forstwirtschaft, ja, und wir wollen eine widerstandsfähige Landwirtschaft. Wir wollen eine langfristige, aber ja, wir wollen auch eine kurzfristige Ernährungssicherheit, denn wenn wir uns nur auf die langfristige Ernährungssicherheit konzentrieren, werden unsere Betriebe nicht mehr hier sein. Und die, die nicht mehr hier sind, können nicht für die Ernährungssicherheit der Zukunft sorgen. Das ist die erste Differenz.
Wir wollen die Ziele des Grünen Deals erfüllen. Die Landwirtschaft will 50 % der Pflanzenschutzmittel reduzieren, und ja, wir wollen die Biodiversität erhalten. Über das Ziel sind wir uns einig, aber nicht über den Weg.
Die Landwirtschaft – sie ist Teil der Lösung. Ich sage es sehr deutlich, Frau Kommissarin McGuinness: Wenn Sie die Vorschläge geschrieben hätten, hätten wir, glaube ich, eine gute Gesprächsgrundlage. Aber die Vorschläge der Kommission zum Naturschutz-Paket dividieren hier dieses Parlament, weil sie keine Antworten auf unsere Fragen geben, wie es weitergeht mit dem Ausbau der regenerativen Energien. Das ist das Problem. Das Problem ist im Vorschlag der Kommission.
"
Christine SCHNEIDER,2023-04-17,DE,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-039-0000_DE.html,"  Christine Schneider,  im Namen der PPE-Fraktion. – Frau Präsidentin! Im Namen der EVP-Fraktion möchte ich den vorgeschlagenen Titel der ECR für die Debatte ändern. Als EVP-Fraktion beantragen wir folgenden Titel: Commission Statement on the unjustified interference by the Commission in the chosen nature policy in Member States and the impact of the proposed Nature Restoration Law on food and energy security.
Wir als EVP-Fraktion unterstützen keine Einzelaktionen gegen bestimmte Mitgliedstaaten. Ein einseitiges Fokussieren auf einen bestimmten Mitgliedstaat wie in dem Fall die Niederlande ist unverhältnismäßig und wenig zielführend. Die Naturschutzpolitik muss in allen Mitgliedstaaten dafür sorgen, dass Lebensmittelsicherheit und der Ausbau erneuerbarer Energien und die Energiesicherheit gewährleistet bleiben. Und genau dies gefährdet die Kommission aktuell durch ihre Vorschläge im EU-Naturschutzpaket mit dem Gesetz zur Wiederherstellung der Natur und der Verordnung zur nachhaltigen Anwendung von Pflanzenschutzmitteln. Wir beantragen, dass die Abstimmung namentlich stattfindet.
"
Christine SCHNEIDER,2022-10-18,DE,Commission Work Programme 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-230-5000_DE.html,"  Christine Schneider (PPE),  schriftlich. – Ich begrüße, dass die Kommission komplexe und belastende Gesetzesvorhaben wie z. B. die Chemiekalienregulierung REACH verschieben wird. Auch die Ankündigung einer Prüfung der Gesetzgebung im Hinblick auf die europäische Wettbewerbsfähigkeit ist ein positives Signal. Ich bedaure aber, dass die Kommission nach wie vor an dem umstrittenen Naturschutzpaket festhält, ohne auf die europäische Landwirtschaft zuzugehen. Wir brauchen weniger Belastung und Bürokratie und mehr Planungssicherheit für unsere Betriebe. Ansonsten riskiert Europa die Schwächung der eigenen Wettbewerbsfähigkeit.
"
Christine SCHNEIDER,2022-07-05,DE,"This is Europe - Debate with the Prime Minister of Greece, Kyriakos Mitsotakis (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-05-INT-2-075-2500_DE.html,"  Christine Schneider (PPE),  schriftlich. – Der regelmäßige Austausch mit den Regierungschefs der Mitgliedstaaten ist wichtig, um die Zusammenarbeit zwischen dem Europäischen Parlament und der nationalen Ebene zu verbessern. Während der Finanzkrise und lange Zeit danach noch galt Griechenland als Sorgenkind der EU. In der Hinsicht konnte Griechenland stark aufholen und gilt mittlerweile als eine der am stärksten wachsenden Wirtschaften in Europa. Zentrale Themen waren vor allem, inwieweit man die europäische Integration in Bereichen der Energieversorgung und Sicherheit weiter verbessern kann. Griechenland ist ein strategisch wichtiges Land und schützt europäische Außengrenzen. Dafür braucht es Unterstützung durch die EU. Mitsotakis betonte bezüglich des russischen Angriffskrieges auf die Ukraine, dass es bei diesem Krieg nur eine Seite gibt, an der man stehen kann – an der Seite der Ukraine, die für ihre Freiheit und Demokratie kämpft.
"
