MP,Date,Language,Title,Url,Content
Christophe GRUDLER,2023-11-21,FR,Strategic Compass and EU space-based defence capabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-478-0000_FR.html,"  Christophe Grudler,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Commissaire, quelques centaines de kilomètres au-dessus de nous gravitent nos satellites européens, des satellites indispensables à nos agriculteurs, à nos pompiers ou pour chacun d’entre nous, afin de pouvoir se repérer avec notre smartphone. Or, jusqu’à présent, l’Europe était trop naïve et ne considérait pas tous les risques, notamment les risques de puissances hostiles. Avec cette résolution, nous demandons de prendre plus au sérieux la défense de nos intérêts dans l’espace. Si je devais choisir trois messages clés de notre résolution, ils seraient les suivants.
Premièrement, il est indispensable de mieux savoir ce qui se passe au-dessus de nos têtes, en produisant davantage de données européennes de surveillance et de tracking, avec un financement européen dédié. 
Deuxièmement, l’absence d’accès autonome à l’espace est un problème majeur. Il est temps que la Commission propose une véritable stratégie européenne pour les lanceurs, avec des financements de l’Union pour les ports spatiaux européens. 
Et troisièmement, il faut que l’Europe adopte rapidement une loi spatiale européenne qui puisse servir d’exemple pour la gestion du trafic spatial.
Maintenant, pour mettre en œuvre toutes ces priorités, le problème est le budget européen. Je compte sur les États pour mettre des moyens dans le prochain cadre financier européen et pour que ce vœu d’une Europe moins naïve dans l’espace ne reste pas un vœu pieux.
"
Christophe GRUDLER,2023-11-20,FR,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-130-0000_FR.html,"  Christophe Grudler,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Commissaire, chaque jour, des ouvriers installent des panneaux solaires, des éoliennes ou des batteries sur notre continent européen. Malheureusement, l’essentiel de ces technologies n’est pas produit en Europe. Il faut en finir avec cette dépendance, il faut en finir avec cette anomalie. Avec ce nouveau texte européen, nous allons accélérer la production de technologies vertes en simplifiant l’installation d’usines et donc la réindustrialisation, en faisant preuve de moins de naïveté aussi dans nos marchés publics. 
Car produire en Europe des panneaux solaires, c’est bien, mais si nos collectivités publiques n’achètent pas ces panneaux, alors là c’est un problème. Nous devons donc changer cela avec un premier pas vers une préférence européenne pour nos marchés publics. 
Le Parlement européen envoie ici un message fort. Produisons davantage en Europe les technologies dont nous avons besoin pour lutter contre le réchauffement climatique. 
"
Christophe GRUDLER,2023-11-08,FR,State of the Energy Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-190-0000_FR.html,"  Christophe Grudler (Renew).   – Monsieur le Président, Madame la Commissaire, les conclusions du rapport sur l’état de l’Union de l’énergie en 2023 étaient attendues. Elles montrent que nous avons su réagir face à la crise énergétique provoquée par la guerre en Ukraine en amortissant les prix, et demain en les faisant baisser, grâce à notre marché européen de l’électricité, qui est le seul rempart utile pour lutter contre la hausse des prix. En moins de deux ans, nous avons adapté REPowerEU et la directive sur les énergies renouvelables permettant à l’éolien et au solaire de dépasser la production d’électricité d’origine fossile pour la première fois.
Vous l’avez dit, c’est une dynamique très positive, mais il faut poursuivre les efforts. Nous importons encore 15 % de gaz russe, les amis de M. Bardella. C’est inacceptable. Soutenons le déploiement de toutes les énergies décarbonées en incluant le nucléaire. Je salue à cet égard l’annonce que vous avez faite, Madame la Commissaire, à Bratislava hier, en annonçant la volonté de lancer une alliance européenne des petits réacteurs nucléaires modulaires avec le commissaire Thierry Breton. Nous en avons besoin, notre filière européenne en dépend. Toutes les énergies contribuant à nos objectifs climatiques et à notre autonomie stratégique sont bonnes à prendre.
"
Christophe GRUDLER,2023-10-03,FR,EU-Switzerland relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-474-0000_FR.html,"  Christophe Grudler,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, chers collègues, la Suisse est au cœur de l’Europe et il est grand temps que nos relations le reflètent pleinement. Nos concitoyens de Bourgogne-Franche-Comté, du Bade-Wurtemberg, du Sud-Tyrol, du Milanais, tous méritent une meilleure coopération transfrontalière, moins d’obstacles et plus d’opportunités.
Alors oui, la Suisse ne fait pas partie de l’Union européenne. Je le regrette car cela permettrait de faciliter plus encore la vie de tous les citoyens. Mais cela ne semble pas être la volonté du peuple suisse pour le moment et je le respecte parfaitement. Mais cela ne doit pas nous empêcher de collaborer plus étroitement. Imaginons davantage de synergies en matière d’énergie, d’électricité, de stockage, en matière de santé, où la Suisse excelle, et en tant d’autres domaines encore. Tout cela, nous l’appelons de nos vœux. Mais pour y parvenir, nous avons besoin de règles communes qui respectent l’intégrité du marché unique que nous partageons. Un respect, y compris par la Suisse, évidemment.
Chers collègues, chers amis suisses, nous avons une opportunité à saisir entre les élections fédérales suisses et les élections européennes. Passons à l’action. Il est grand temps de lancer des négociations rapides pour un nouveau pacte de coopération entre l’Union européenne et la Suisse. Nos concitoyens nous remercieront pour cela. Ils n’attendent que cela. 
"
Christophe GRUDLER,2023-09-11,FR,Renewable Energy Directive (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-131-0000_FR.html,"  Christophe Grudler,  au nom du groupe Renew. – Monsieur le Président, chers collègues, Madame la Commissaire, nous venons de vivre l’été le plus chaud jamais enregistré. C’est un signal qui nous pousse à agir. C’est pourquoi je suis heureux que nous adoptions de façon consensuelle cette loi européenne sur les énergies renouvelables qui amplifie nos ambitions et signale au monde que l’Europe est sérieuse dans sa lutte contre le réchauffement climatique.
J’aurais néanmoins un commentaire. Tout d’abord, vis-à-vis de l’extrême droite, qui n’aime pas les renouvelables et qui ne veut que du nucléaire. Et de l’autre côté, à ceux qui disent «non» au nucléaire et qui ne veulent que des renouvelables. Je leur dis vous faites erreur, car nous avons besoin des deux: des énergies renouvelables et de l’énergie nucléaire. Opposer les deux, ou omettre l’un des deux, c’est ne pas être sérieux dans la lutte contre le réchauffement climatique. 
L’Europe doit miser sur toutes les formes d’énergies propres, et avec mon groupe Renew Europe, nous y veillerons.
"
Christophe GRUDLER,2023-06-13,FR,Situation in Lebanon (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-286-0000_FR.html,"  Christophe Grudler,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, chers collègues, j’aurais aimé que les mots «lutte contre la corruption» figurent dans le titre de ce débat. La corruption est en effet un fléau au Liban, au détriment de tout le peuple libanais. Trois ans après l’explosion du port de Beyrouth, les Libanais veulent vivre dans une société où la justice peut faire son travail, où l’État joue la transparence et leur garantit un niveau de vie décent et un fonctionnement de la vie démocratique.
À Beyrouth, le mois dernier, j’ai une nouvelle fois constaté la résilience des Libanais, leur optimisme, leur capacité à se reconstruire. Mais j’ai aussi vu un système à bout de souffle, au bord de l’agonie, où seuls les plus riches sont capables de tenir. Chers collègues, qu’attendons-nous pour réagir fermement face à la corruption qui gangrène ce magnifique pays? Une guerre? Un soulèvement? Une autre explosion encore plus dramatique? Nous devons aider le Liban à sortir de ce système corrompu et débloquer des aides pour son peuple. Les Libanais ont besoin de nous, dès maintenant et sans perdre de temps. 
"
Christophe GRUDLER,2023-06-13,FR,Batteries and waste batteries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-387-0000_FR.html,"  Christophe Grudler (Renew).   – Madame la Présidente, chers collègues, des batteries produites en Europe, réutilisées et recyclées en Europe: voilà notre objectif. Je salue l’adoption de ce règlement européen sur les batteries, qui établit des normes claires pour l’écoconception, la performance environnementale, le recyclage et la réutilisation des batteries. Avec cette loi européenne, l’Europe démontre son engagement à construire une industrie des batteries forte et écologique.
Nous faisons également un pas en avant vers notre objectif d’autonomie stratégique. En effet, en favorisant le recyclage et la réutilisation des matériaux critiques, nous réduisons notre dépendance aux importations de ces matières premières. Cela mène non seulement à une utilisation plus efficace de nos ressources, mais contribue également à la création d’emplois et renforce la compétitivité de l’industrie européenne.
Maintenant, il est temps de mettre en œuvre ces nouvelles règles et de favoriser l’implantation d’usines de fabrication et de recyclage de batteries partout en Europe. Nous avons déjà commencé, comme en France, dans les Hauts-de-France, avec une véritable vallée européenne de la batterie. Faisons en sorte que cela s’accélère encore.
"
Christophe GRUDLER,2023-04-18,FR,Energy storage (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-137-0000_FR.html,"  Christophe Grudler (Renew).   – Monsieur le Président, Madame la Commissaire, chers collègues, l’Europe se dotera de 42,5 % d’énergies renouvelables d’ici 2030. C’est un objectif quasi acté dans la directive sur les énergies renouvelables et bientôt dans cette assemblée, et que nous devons respecter si nous voulons atteindre la neutralité climatique d’ici 2050. 
Le stockage est indispensable pour pouvoir utiliser nos énergies renouvelables dans leur entièreté énergétique – j’allais dire sans perdre un seul électron, sans perdre une seule molécule, ce qui est difficile, on le sait, pour le stockage de l’électricité. 
«La meilleure énergie est celle que nous ne consommons pas», dit-on. Non. Pour moi, la meilleure énergie, c’est celle que nous ne gaspillons pas, car nous avons toujours besoin d’énergie pour faire tourner notre économie. L’Europe doit renforcer son système énergétique pour une meilleure intégration des sources d’énergie locales, renouvelables et non fossiles. 
J’appelle aujourd’hui à renforcer notre politique sur le stockage avec un objectif chiffré clair, accompagné de mesures concrètes, pour soutenir les Européens et renforcer notre autonomie stratégique. Ces mesures devront aussi favoriser la flexibilité du système électrique au niveau de la demande. Optimisons l’utilisation de notre électricité avec des outils intelligents et innovants. 
Décarbonation, intégration, stockage et flexibilité: voici, à mon sens, les maîtres mots de l’avenir énergétique de l’Europe. 
"
Christophe GRUDLER,2023-03-14,FR,Data Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-031-0000_FR.html,"  Christophe Grudler (Renew).   – Madame la Présidente, Monsieur le Commissaire, chers rapporteurs fictifs, chers collègues, en parallèle du travail de réindustrialisation que nous menons en Europe, nous devons également mener un travail sur la numérisation de nos industries, en particulier par une meilleure exploitation de nos données industrielles.
Aujourd’hui, de plus en plus d’objets et de produits sont connectés, évidemment, y compris des produits industriels lourds, comme une locomotive de train. Tout cela produit des données qui ne sont pas toujours exploitées à leur maximum. Ce texte que nous votons aujourd’hui permettra de faciliter ce partage des données. Une compagnie ferroviaire, pour reprendre l’exemple du train, pourra par exemple accéder plus facilement aux données des trains qu’elle achète et ainsi réduire le nombre des pannes grâce aux informations récoltées. Et moins de pannes, cela veut dire aussi moins de retards pour les voyageurs. Voilà un exemple, j’allais dire, parmi des milliers d’autres.
Accéder plus facilement aux données, cela veut aussi dire un meilleur accès pour les consommateurs. Quand un produit est connecté, il est important que le consommateur puisse utiliser librement ses propres données.
Enfin, le Data Act permettra de lever les barrières pour le passage d’un service informatique en nuage à un autre – les fameux clouds. Il n’est pas acceptable qu’un client de cloud soit bloqué chez un prestataire à cause de frais de transfert excessivement élevés. Ce sont des pratiques anticoncurrentielles et il faut pouvoir y mettre fin. Il faut supprimer ces frais et cela, quelle que soit la situation.
Chers collègues, nos données, notamment industrielles, ont de la valeur, il faut le rappeler. Il est donc aussi important que les données produites en Europe soient également traitées plus facilement en Europe. Le Data Act va dans ce sens et je m’en réjouis. 
"
Christophe GRUDLER,2023-03-13,FR,Energy performance of buildings (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-067-0000_FR.html,"  Christophe Grudler (Renew).   – Madame la Présidente, chers collègues, parlons chiffres. Au travers de sa loi pour le climat, l’Europe s’est fixé un objectif de réduction des émissions de gaz à effet de serre d’au moins 55 % pour 2030. En 2020, l’Europe a déjà réussi à faire baisser ses émissions de 31 % par rapport à 1990. Maintenant, il nous faut encore 24 % en moins de sept ans.
Le parc immobilier actuel de l’Union européenne, c’est 36 % des émissions de gaz à effet de serre: plus d’un tiers. En connaissant ces chiffres, mes chers collègues, avons-nous vraiment le choix? Clairement, non. Il nous faut urgemment réduire les émissions de CO2 de nos bâtiments – évidemment, en tenant compte de la réalité de chaque pays. Et c’est ce que propose ce texte.
Il est donc temps d’être sérieux sur cette rénovation énergétique des bâtiments. Je vous appelle à soutenir très largement ce texte qui est essentiel pour réduire nos émissions de CO2. 
"
