MP,Date,Language,Title,Url,Content
Cindy FRANSSEN,2023-10-04,NL,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-152-0000_NL.html,"  Cindy Franssen,  namens de PPE-Fractie. – Voorzitter, commissaris, vertegenwoordigers van de Raad, collega’s, degelijke huisvesting voor iedereen, het lijkt vanzelfsprekend, maar de realiteit toont helaas iets anders. 15 miljoen gezinnen in de EU besteden meer dan 40 % van hun inkomen aan huisvesting. 34 miljoen gezinnen leven in moeilijke omstandigheden en voor 8 miljoen gezinnen dreigt er woningnood. Het meest recente verslag van Feantsa en de Fondation Abbé Pierre schat het aantal daklozen op bijna 900 000 personen. Dit is een verdubbeling ten opzichte van tien jaar geleden.
In 2021 zijn we het engagement aangegaan om een einde te maken aan dakloosheid tegen 2030. De tijd tikt. Het Europees platform voor de bestrijding van dakloosheid werd hiertoe opgericht en werpt zijn eerste vruchten af. Acht lidstaten hebben een nationaal actieplan opgesteld en in vijftien andere lidstaten zijn deze in volle voorbereiding. Met de verklaring van Avilés in september hebben de lidstaten de rol van het Europees platform als belangrijke katalysator herbevestigd. We moeten er dan ook voor zorgen dat de toekomstige werking van het platform gegarandeerd wordt over het huidige werkprogramma heen.
Concrete projecten als Housing First bieden unieke kansen om dakloze mensen, vaak met zeer complexe behoeften, een dak boven het hoofd te bieden. Maar ook een sterk sociaal woonbeleid in de lidstaten, met voldoende investeringen in sociale woningen, kan echt het verschil maken richting een stabiele huisvesting voor elk Europees gezin. Want de toegang tot degelijke huisvesting is niet alleen een van de basisprincipes van onze Europese sociale pijler, maar is ook een essentiële pijler van de Europese kindergarantie. Laten we hier dan ook samen werk van maken, de Unie samen met de lidstaten.
"
Cindy FRANSSEN,2023-10-02,NL,Rising precariousness in Europe including the need for aid to the most deprived (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-059-0000_NL.html,"  Cindy Franssen,  namens de PPE-Fractie. – Voorzitter, commissaris, collega’s, armoede en sociale uitsluiting treffen vandaag nog steeds 95 miljoen Europeanen, waaronder bijna 20 miljoen kinderen. De kosten voor levensonderhoud rijzen de pan uit. Energiekosten blijven hoog. Een woning huren of zelfs gewoon boodschappen doen is voor vele gezinnen zo goed als onbetaalbaar geworden.
Steeds meer mensen kunnen nog moeilijk de eindjes aan elkaar knopen. Steeds meer mensen kloppen aan bij de voedselbanken. Dit zorgt voor een exponentiële toename van de vraag, terwijl het aanbod kleiner wordt. Bovendien zijn de prijzen met ongeveer 30 % gestegen. De financiële steun voor het FEAD uit het ESF+ en de extra middelen van het React-EU-programma zijn broodnodig om de voedselhulp min of meer op peil te houden. Maar alle knipperlichten staan op rood, donkerrood.
Een volgehouden engagement voor de meest kwetsbaren is onze morele plicht, zowel vanuit de Europese Unie als vanuit de lidstaten. Er is dus meer nodig.
Wie de ambitie heeft om tegen 2030 15 miljoen mensen uit de armoede te halen, zal meer moeten doen dan enkel directe crisishulp bieden. Structurele maatregelen dringen zich verder op. De volgende legislatuur moeten we de sociale pijler bijstellen en aanscherpen. We kunnen op het vlak van de strijd tegen armoede niet langer ter plaatse trappelen. Lidstaten die de subsidiariteit hoog in het vaandel dragen, mogen wat mij betreft op sociaal vlak dan ook wel wat meer beleidstestosteron hebben.
"
Cindy FRANSSEN,2023-10-02,NL,Protection of workers from asbestos (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-102-0000_NL.html,"  Cindy Franssen,  namens de PPE-Fractie. – Voorzitter, commissaris, collega’s, drie jaar nadat het Europees Parlement zelf het initiatief nam, zijn ook de Europese Commissie en de Europese Raad overtuigd van een strengere asbestwetgeving. Want jaarlijks sterven nog steeds 88 000 Europeanen aan de gevolgen van asbest.
In het kader van de Green Deal staan we voor immense renovatiegolven en hierbij zullen grote hoeveelheden asbest vrijkomen. Indien deze onzichtbare killer niet veilig wordt verwijderd, zal het aantal asbestgerelateerde ziektes en sterfgevallen opnieuw ontzettend toenemen.
Het akkoord dat we hebben bereikt is een immense stap vooruit voor de gezondheid van onze werknemers. Uiterlijk binnen zes jaar zal de blootstellingswaarde van asbest vijftig keer lager liggen dan de huidige limiet. We voorzien in extra beschermende maatregelen, zoals contaminatieprocedures om secundaire blootstelling te vermijden, we voorzien in extra opleiding en sensibilisering en er wordt Europees geld vrijgemaakt voor de lidstaten om een succesvolle transitie mogelijk te maken. In het belang van de veiligheid van de brandweer en de hulpdiensten moet bovendien alle informatie met betrekking tot de aanwezigheid van asbest in gebouwen consulteerbaar zijn.
Het is een sterk akkoord dankzij een bijzonder goede samenwerking binnen het Parlement – u heeft er al naar verwezen, commissaris – tussen de rapporteur en de schaduwrapporteurs. Eendrachtig staan we sterker. Helaas zijn we niet voltallig aan de eindstreep geraakt en hebben we afscheid moeten nemen van onze zeer gewaardeerde Renew-collega Véronique Trillet-Lenoir. Dit was haar verslag, haar dossier. Véronique, je was een topcollega.
Collega’s, ik rond af. Laten we voor eens en altijd komaf maken met de duistere erfenis van asbest en morgen dit akkoord Kamerbreed steunen, als eerbetoon voor Véronique.
"
Cindy FRANSSEN,2023-09-14,NL,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-097-0000_NL.html,"  Cindy Franssen (PPE).   – Voorzitter, commissaris, collega’s, het is hoog tijd dat we onze brandweer de best mogelijke bescherming bieden, voor, tijdens en na de interventies. 52 % van de jaarlijkse werkgerelateerde overlijdens wordt momenteel toegeschreven aan werkgerelateerde kanker. Uit onderzoek blijkt dat brandweerlieden inderdaad tot 300 % meer kans op kanker hebben dan gewone werknemers. 
We hebben al heel wat belangrijke stappen gezet. Ik denk aan ons kankerverslag, asbestverslag en de opeenvolgende herzieningen van de Richtlijn blootstelling aan carcinogene stoffen. We hebben hierbij steeds ingezet op extra beschermende maatregelen voor de brandweer, want het beroep wordt steeds complexer. Ze komen in contact met steeds meer chemische stoffen waarvan we de schadelijkheid zelfs nog niet eens kennen. Het werk is dus niet af. 
En daarom moeten de brandweer en hulpdiensten toegang krijgen tot een register van aanwezige gevaarlijke materialen in gebouwen. Bij grote rampen in grensgebieden moet er een goede coördinatie komen voor de traceerbaarheid van chemische stoffen tussen de lidstaten, en er moet via sensibilisering en opleiding ingezet worden op betere hygiënemaatregelen en decontaminatie na een interventie om secundaire blootstelling te vermijden. 
De brandweer zorgt voor onze veiligheid. Het is onze plicht om voor hun veiligheid te zorgen.
"
Cindy FRANSSEN,2023-05-10,NL,Roadmap on a Social Europe: two years after Porto (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-355-0000_NL.html,"  Cindy Franssen (PPE).   – Voorzitter, commissaris, minister, collega’s, exact twee jaar geleden werd het actieplan voor de uitrol van de sociale pijler voorgesteld. Tijd dus om een balans op te maken en te zien waar we staan met onze dure beloftes.
We hebben reeds heel wat stappen gezet: de richtlijn voor adequate minimumlonen, de richtlijn voor loontransparantie – die ervoor moeten zorgen dat werken loont en de loonkloof wordt aangepakt –, een betere bescherming tegen gevaarlijke stoffen op de werkvloer, de kindergarantie, het Sociaal Klimaatfonds, het Europees platform voor de bestrijding van dakloosheid en het nog lopende dossier van de platformwerknemers.
Maar door de energiecrisis en de hoge inflatie rijzen de kosten voor levensonderhoud ondertussen de pan uit. Mensen kunnen nauwelijks overleven. Meer en meer gezinnen raken in moeilijkheden. Aan het huidige tempo zullen we de doelstelling om tegen 2030 het aantal mensen in armoede met 15 miljoen te verlagen, niet halen.
Crisissen zijn er niet om de klok een aantal decennia terug te draaien. Wel integendeel. Aan de vooravond van Rerum Novarum is het hoog tijd om alle zeilen bij te zetten en om er in lijn met de beginselen van het Europees Sociaal Handvest en de sociale pijler voor te zorgen dat iedereen meekan, ook de meest kwetsbaren. Europa zal sociaal zijn of zal niet zijn.
"
Cindy FRANSSEN,2023-04-19,NL,"Keeping people healthy, water drinkable and soil liveable: getting rid of forever pollutants and strengthening EU chemical legislation now (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-133-0000_NL.html,"  Cindy Franssen,  namens de PPE-Fractie. – Voorzitter, geachte commissaris, collega’s, als voormalig coördinator voor de EVP in de commissie BECA staat volksgezondheid voor mij altijd centraal. Zorgen voor een gezond leefmilieu, gevrijwaard van blootstelling aan schadelijke chemische stoffen, is daarbij essentieel. Op dat vlak schieten we duidelijk tekort. Veel van deze schadelijke stoffen krijgen we ondertussen niet meer uit onze omgeving, en zelfs niet meer uit het menselijk lichaam. De wetenschap is kristalhelder: blootstelling aan schadelijke chemische stoffen ligt aan de oorsprong van bepaalde kankers, vruchtbaarheidsproblemen, een verlaagd IQ en een verhoogde cholesterol.
Iedereen kent natuurlijk PFAS, maar het gaat uiteraard over veel meer dan alleen maar deze groep stoffen. Van het overgrote deel weten we nog niet eens hoe schadelijk ze voor de volksgezondheid zijn, laat staan dat we de cumulatieve werking op langere termijn en de cocktaileffecten kennen. Dit kan niet langer.
Laten we eerst kijken naar de stoffen die reeds op de markt zijn. Met een familieaanpak op basis van wetenschappelijke evidentie en snellere processen moet het mogelijk zijn vroeger in te grijpen wanneer blijkt dat de volksgezondheid in het gedrang komt. Niet—essentieel gebruik moet onmiddellijk op de schop.
Maar de beste manier om blootstelling aan schadelijke en kankerverwekkende niet-afbreekbare chemische stoffen te voorkomen, is ervoor te zorgen dat ze simpelweg niet op de markt kunnen komen, met een omgekeerde bewijslast. Stoffen zouden alleen maar op de markt mogen komen wanneer vaststaat dat ze de volksgezondheid niet bedreigen. Daarom is het noodzakelijk dat we de volksgezondheid resoluut centraal stellen. De pandemie van de silent killers moeten we nu aanpakken.
"
Cindy FRANSSEN,2023-03-14,NL,Adequate minimum income ensuring active inclusion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-184-5625_NL.html,"  Cindy Franssen (PPE),  schriftelijk. – Tijdens de afgelopen plenaire zitting hebben we over een resolutie gestemd waarin wordt opgeroepen tot een Europees adequaat minimuminkomen. In 2021 liepen 95 miljoen Europeanen een armoederisico, waarvan 18 miljoen kinderen. De Europese Commissie heeft de ambitie om in samenwerking met de lidstaten tegen 2030 het aantal mensen in armoede met minstens 15 miljoen te verlagen. Daarvoor hebben we de voorbije jaren al heel wat initiatieven genomen, zoals de loontransparantie, de adequate minimumlonen, de kindergarantie, het sociaal klimaatfonds, het Europees Platform voor de bestrijding van dakloosheid en het lopende dossier voor een betere sociale bescherming van platformwerkers.
Door de energiecrisis en hoge inflatie rijzen de kosten voor levensonderhoud inzake energie, huisvesting, voeding... de pan uit. Mensen kunnen nauwelijks overleven. Steeds meer gezinnen geraken in moeilijkheden. Daarom is het tijd om alle zeilen bij te zetten en te voorzien in een minimuminkomen voor de meest kwetsbaren. Dat is uiteraard geen universeel Europees minimuminkomen. Daarvoor zijn de verschillen tussen de lidstaten te groot. Alle Europese landen hebben al een soort van minimuminkomen, maar het is te laag om effectief te zijn. We moeten het optrekken richting de Europese armoederisicogrens. Armoede mag in onze samenleving geen plaats hebben. Europa zal sociaal zijn, of zal niet zijn.
"
Cindy FRANSSEN,2022-12-13,NL,A need for a dedicated budget to turn the Child Guarantee into reality - an urgency in times of energy and food crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-188-0000_NL.html,"  Cindy Franssen (PPE).   – Voorzitter, geachte commissaris, minister, collega’s, armoede en sociale uitsluiting treffen nog steeds 91 miljoen Europeanen, waaronder 18 miljoen kinderen. De coronacrisis en de oorlog in Oekraïne hebben de omstandigheden alleen maar verergerd. Door de stijgende prijzen kunnen mensen in armoede nauwelijks nog overleven. 
Met de Europese kindergarantie moet elk kind toegang krijgen tot essentiële basisdiensten: opvang, onderwijs, huisvesting, gezondheidszorg en gezonde voeding. Enkel op deze manier kunnen we de cirkel van generatiearmoede doorbreken. Er zijn echter nog steeds lidstaten die geen nationaal actieplan hebben ingediend, en dit is onbegrijpelijk. ESF+ voorziet nochtans in financiële middelen om die acties te ondersteunen. 
En ja, het is belangrijk om de implementatie hiervan goed op te volgen om zo een duidelijk zicht te hebben op het gebruik van de middelen. Maar uitzonderlijke omstandigheden vragen om uitzonderlijke maatregelen en indien bijkomende financiële middelen nodig zijn, mijnheer de commissaris, dan moeten we die voorzien. Want wie niet inzet op kinderen in armoede verliest een ganse generatie. We hebben onszelf tegen 2030 doelen opgelegd om 5 miljoen kinderen uit de armoede te halen. We moeten dit dan ook waarmaken.
"
Cindy FRANSSEN,2022-11-22,NL,Gender balance among non-executive directors of companies listed on stock exchanges (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-091-0000_NL.html,"  Cindy Franssen (PPE).   – Voorzitter, commissaris, collega’s. Bijna tien jaar werd het voorstel voor een richtlijn van de Europese Commissie geblokkeerd door de lidstaten. In die tien jaar van onderhandelen hebben we in Europa jammer genoeg weinig vooruitgang gezien in de aanwezigheid van vrouwen in raden van bestuur. Juist daarom is deze richtlijn zo belangrijk. Vanaf 1 juli 2026 zullen de raden van bestuur evenwichtiger moeten worden samengesteld. Ja, in een ideale wereld zijn quota misschien overbodig, maar we zien dat ze nodig zijn en we zien dat ze werken. Zo is er in België sinds de invoering van de federale quotawet van 2012 een duidelijke verbetering. In 2020 was voor het eerst meer dan een derde van het totaal aantal leden van de raad van bestuur vrouw. Tien jaar geleden was dat minder dan 10 %. 
In 2022 zouden raden van bestuur niet meer synoniem mogen zijn voor gesloten mannenclubs. We hebben vrouwen nodig aan elke tafel waar belangrijke beslissingen worden genomen. Enkel zo zullen we evolueren naar een meer evenwichtige unie, naar een meer evenwichtige samenleving. 
"
Cindy FRANSSEN,2022-10-18,NL,Mental health (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-096-0000_NL.html,"  Cindy Franssen (PPE).   – Voorzitter, geachte commissaris, beste collega’s, 10 oktober was de dag van de mentale gezondheid en deze problematiek kan niet genoeg onder de aandacht gebracht worden. De kosten van geestelijke gezondheidsproblemen in alle EU—lidstaten bedragen naar schatting meer dan 4 % van het bbp. De kosten van werkgerelateerde depressies worden geraamd op 620 miljard euro per jaar. Ander onderzoek heeft aangetoond dat het aantal kinderen en jongeren met mentale problemen is verdubbeld sinds de pandemie. Daarom moeten we af van het taboe dat nog steeds rust op mentale gezondheid. 
Ik ben dan ook tevreden dat Commissievoorzitter Von der Leyen in haar State of the Union een initiatief rond geestelijke gezondheidszorg aankondigde voor 2023. Na de aanpak van de economische gevolgen van de pandemie, met onder andere het SURE—mechanisme voor tijdelijke werkloosheid en de succesvolle uitrol van de vaccinatiecampagne voor de fysieke bescherming van de gezondheid van onze burgers, is het nu de hoogste tijd om ook de gevolgen van onder meer de pandemie op het vlak van mentale gezondheid met dezelfde gedrevenheid aan te pakken.
"
