MP,Date,Language,Title,Url,Content
Claude GRUFFAT,2023-12-11,FR,Role of tax policy in times of crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-109-0000_FR.html,"  Claude Gruffat (Verts/ALE).   – Madame la Présidente, Madame la Commissaire, chers collègues, au Parlement européen il y a ceux qui, à nos côtés, appellent à taxer ceux qui sont le moins soumis à l’impôt – les ultra-riches, leur patrimoine, leurs modes de transport élitistes et polluants, les multinationales et leurs superprofits, et aussi les entreprises les plus carbonées, les plus polluantes –, et puis il y a la droite, le PPE et ses alliés, qui se font les défenseurs des ultra-riches et des multinationales en avançant leurs arguments de croissance économique et de compétitivité. 
Mais nous ne sommes pas dupes. Nos concitoyens ne veulent pas de ce monde de la droite, qui défend le fait qu’une infirmière ait un taux d’imposition supérieur à celui d’un actionnaire, ce même monde où les PME paient bien plus d’impôts que les multinationales, avec leurs superprofits – un concept qui n’existerait pas sans intervention de la gauche.
Il est temps que ce monde change en faveur du niveau de vie des plus précaires et des classes moyennes, mais également pour financer les indispensables transitions énergétique et écologique. Comment s’attendre à ce que les citoyens de l’Union européenne acceptent de faire des efforts quand les plus riches contribuent le moins à l’impôt et que leurs jets privés ne sont pas taxés alors même qu’ils sont ceux qui polluent le plus?
Avec le groupe des Verts, nous avons montré qu’un impôt progressif et mesuré sur le patrimoine net des 0,5 % de citoyens les plus riches de l’Union européenne nous rapporterait 213 milliards d’euros. Il s’agit là d’une manne financière inestimable et qui est complètement inexploitée, alors qu’elle rétablirait la confiance des citoyens dans le système fiscal et qu’elle nous permettrait d’investir massivement dans la transition écologique et sociale.
Alors qu’attendons-nous? Taxons les multinationales les plus polluantes, taxons les jets privés, taxons les riches et les ultra—riches!
"
Claude GRUFFAT,2023-11-21,FR,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-027-0000_FR.html,"  Claude Gruffat (Verts/ALE).   – Madame la Présidente, Madame la Commissaire, chers collègues, demain, lorsque vous voterez le très mal nommé rapport sur l’usage durable des pesticides, je vous invite à le voter en conscience. Songez aux 1,1 million de nos concitoyens et concitoyennes qui se sont mobilisés avec l’initiative citoyenne européenne «Sauvez les abeilles et les agriculteurs» et qui nous enjoignent à sortir des pesticides.
Si ce cri d’alerte ne vous suffit pas, réfléchissez rapidement aux coûts environnementaux des pesticides, et ils sont la première cause du déclin de notre biodiversité, la première cause de la pollution des eaux et la première cause de la baisse de la fertilité de nos sols.
Si cet inventaire n’achève pas de vous convaincre, je vous invite à penser à nos agriculteurs et agricultrices qui sont les premières victimes de ces produits chimiques, contre lesquels aucun équipement de protection individuelle ne les protège: maladie de Parkinson, cancer de la prostate, cancer du système lymphatique, leucémie. C’est un véritable problème de santé publique sur lequel nous avons les moyens d’agir.
Non, le profit de la chimie ne peut enlever des vies et détruire des familles impunément. Demain, cette impunité peut cesser. Les victimes, les aidants, les malades, toute l’Union européenne vous regarde. Ce rapport, porté par ma collègue Sarah Wiener, que je remercie pour son travail, ouvre cette voie.
"
Claude GRUFFAT,2023-10-05,FR,Financial services contracts concluded at a distance (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-012-0000_FR.html,"  Claude Gruffat,  au nom du groupe Verts/ALE. – Monsieur le Président, Madame la Commissaire, chers collègues, imaginez votre «streameuse» favorite qui vous fait la publicité de produits ou de services financiers douteux. Imaginez votre chanteur de pop préféré qui vous incite à acheter le tout nouveau NFT tout en vous promettant que ça vous rapportera beaucoup d’argent en très peu de temps. C’est ce qui s’est passé à maintes reprises en France et en Europe, et c’est au détriment des consommateurs et des consommatrices qui ont perdu des milliers d’euros. À l’échelon européen, ça fait des dizaines de millions d’euros.
Alors aujourd’hui, nous allons voter un texte censé protéger les consommateurs et les consommatrices de l’Union européenne. J’ai bien dit «censé», car malgré plusieurs dispositions très positives, la publicité en ligne faite par les influenceurs reste mal encadrée.
Parmi les points positifs, nous retrouvons le fait que tout consommateur pourra désormais se rétracter de tout contrat financier conclu à distance d’un simple clic. C’est une grosse avancée. Nous devons nous en féliciter, d’autant plus que nous avons obtenu cette disposition qui s’applique à tous les contrats conclus à distance, pas seulement aux services financiers. Ce rapport fait donc un sérieux pas dans la direction de la protection des consommateurs.
Mais là où la déception est réelle, c’est que ce texte, qui était aussi l’occasion d’encadrer la promotion de produits financiers par les influenceurs, ne le fait pas tout à fait. Il y a tant de scandales et d’arnaques dans lesquels certains d’entre eux cherchent à refourguer des produits financiers à leur audience sans avoir aucune compétence dans ce domaine. Je le répète ici, les influenceurs ne devraient pas être en mesure de faire de la publicité en ligne pour les produits financiers ou les crypto-actifs, à moins qu’une autorité compétente puisse leur délivrer une autorisation.
Au lieu de cela, on va se contenter d’imposer un libellé qui indique que tel ou tel influenceur n’a pas de connaissances requises pour pouvoir faire la promotion des produits financiers. Autrement dit, on ne protège pas réellement les consommateurs, surtout quand on sait à quel point l’influence peut être forte sur les réseaux sociaux.
Parmi les créateurs de contenus, pour la plupart honnêtes, nous continuerons donc à voir des influenceurs rapaces, avides d’argent, qui manipulent leur public avec de fausses promesses afin de vendre des produits financiers douteux, sans même le savoir d’ailleurs, pour la plupart d’entre eux qui se livrent à ce type de pratiques. La promotion de produits financiers exige des compétences et elle doit être mieux encadrée. 
"
Claude GRUFFAT,2023-09-13,FR,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-315-0000_FR.html,"  Claude Gruffat,  au nom du groupe Verts/ALE. – Monsieur le Président, Madame la Commissaire, les PME représentent 99 % des entreprises européennes. Nous devons les aider, les protéger, faciliter leur développement et diversifier leur financement. Mais attention, la protection des PME doit être accompagnée d’une plus grande fermeté envers les multinationales, car laisser les multinationales échapper à l’impôt nuit directement à la compétitivité des PME que la Commission prétend favoriser.
Le paquet que nous discutons aujourd’hui est assez satisfaisant. Mais comment expliquer que, le même jour, la Commission renonce à ses ambitions concernant les multinationales? Avec BEFIT, vous avez fait une croix sur la répartition équitable des bénéfices des multinationales dans l’Union européenne, et ce au profit de quelques paradis fiscaux européens.
Alors on en revient toujours au même point. Tant qu’il existera un droit de veto en matière de fiscalité, ce sont les intérêts voraces des grandes entreprises et la complaisance envers les paradis fiscaux européens qui dicteront nos politiques fiscales. Face aux inégalités croissantes et aux moyens financiers requis pour la transition juste, nous n’avons pas le luxe d’attendre et de nous asseoir sur la justice fiscale que les Européens demandent depuis si longtemps.
"
Claude GRUFFAT,2023-07-12,FR,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-201-0000_FR.html,"  Claude Gruffat (Verts/ALE).   – Madame la Présidente, Monsieur le Commissaire, Monsieur Navarro Ríos, chers collègues, je ne sais pas vous, mais j’ai l’impression de me répéter. Ce débat, on l’a eu des milliers de fois et à chaque fois on appelle à taxer les riches et ces appels restent sans réponse.
Les 75 foyers les plus riches paient moins d’impôts que le reste de la société. Il y a un mois, des chercheurs français ont montré que le taux d’imposition était régressif au sein du club très fermé des grandes fortunes. Ce taux passe de 46 % pour les 0,1 % les plus riches, à 26 % pour les 75 foyers les plus riches. Les riches ne paient pas leur juste part.
Pourquoi? Parce que leur fortune, c’est des dividendes, c’est du patrimoine, c’est du capital très peu taxé, voire pas taxé. Pourtant, il ne semble pas que les infirmiers, les caissières, les ouvrières apportent moins à la société que les ultrariches. Entendez-vous la demande de justice qui gronde? Vous ne pouvez pas vous émouvoir du sentiment d’injustice qui émane des banlieues tout en protégeant l’ultrarichesse. Face à la violence du mutisme de l’exécutif, comment être entendu?
On nous parle de ruissellement, de diminution des impôts pour les grandes entreprises, pour les premiers de cordée. Mais soyons sérieux. La seule solution est une vraie taxation de la richesse. C’est une question de justice sociale et vous ne pourrez pas dire que vous ne saviez pas.
"
Claude GRUFFAT,2023-07-12,FR,Need to adopt the “Unshell” Directive on rules to prevent the misuse of shell entities for tax purposes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-313-0000_FR.html,"  Claude Gruffat,  au nom du groupe Verts/ALE. – Monsieur le Président, Monsieur le commissaire, les sociétés-écrans sont le principal instrument d’évasion fiscale utilisé par les multinationales et les très riches pour échapper à l’impôt. Chaque nouveau scandale nous le rappelle régulièrement avec ce goût amer, celui de la soustraction à un devoir élémentaire: contribuer équitablement à la société civile. Et ce, alors que chaque citoyen et citoyenne paie sa juste part, même dans des moments économiques difficiles, même en temps de crise, même en temps d’inflation.
Les riches particuliers et les grandes entreprises continuent d’utiliser des sociétés-écrans pour échapper à leurs devoirs. La directive contre les entités-écrans a été proposée en décembre 2021. Nous sommes maintenant deux ans et demi plus tard et aucun accord n’a encore été trouvé au Conseil. Même une version très édulcorée du texte ne parvient pas à atteindre l’unanimité. Et nous, au Parlement, avons adopté la directive à une majorité de 99,7 %, ce qui est inédit dans le domaine, souvent controversé, de la législation fiscale.
L’absence de réglementation des sociétés-écrans coûte chaque année 60 milliards d’euros aux contribuables européens. Nous demandons à la présidence espagnole du Conseil de faire de la directive contre les entités-écrans une priorité et de la mettre à l’ordre du jour des prochaines réunions des ministres des finances.
Il est temps de procéder à un échange de vues politiques publiques et les pays qui s’y opposent doivent être démasqués et évidemment en rendre compte. Les citoyens européens ont le droit d’entendre les explications de leurs gouvernements un par un, sur les raisons pour lesquelles ils bloquent cette directive et refusent ce combat contre l’évasion fiscale.
Trop, c’est trop. L’évasion fiscale persiste depuis bien trop longtemps. Le Parlement européen veut y mettre fin. Les citoyens veulent y mettre fin. Il ne manque plus que vous pour le faire. 
"
Claude GRUFFAT,2023-06-14,FR,Lessons learnt from the Pandora Papers and other revelations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-292-0000_FR.html,"  Claude Gruffat (Verts/ALE).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, les Pandora Papers ont confirmé une fois de plus – une fois de trop – que les 1 % de personnes les plus riches se considèrent au-dessus des règles et que leur cupidité passe avant la vie des 99 % qui restent. Ce rapport que nous allons voter ouvre la voie à une société plus juste, qui respecte les citoyennes et les citoyens. Une fois de plus, nous demandons à la Commission et aux États membres – ils ne sont même pas là, ce soir! – de mesurer la richesse créée par la plus-value et d’imposer cette dernière.
Nous sommes en pleine crise économique, et il semble que nous n’ayons rien appris des erreurs du passé, comme en 2008. Face aux faillites bancaires, à la volatilité des marchés financiers, à l’inflation et à l’augmentation des marges des multinationales, des familles peinent à joindre les deux bouts. Pourtant, certains continuent de profiter d’un système qui leur est avantageux et dans lequel ils peuvent s’enrichir à bas coût, au mépris d’une société plus juste et plus équitable.
Aujourd’hui, je vous en conjure, prenez la mesure de la crise que nous traversons. Prenez la mesure de la volonté de justice que nos citoyens revendiquent et celle du vent de colère qui nous reviendra en pleine figure si nous ne sommes pas capables d’imposer aux 1 % ce que font déjà les 99 %.
"
Claude GRUFFAT,2023-06-13,FR,Ensuring food security and the long-term resilience of EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-452-0000_FR.html,"  Claude Gruffat (Verts/ALE).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, ce rapport sur la sécurité alimentaire et la résilience à long terme de l’agriculture de l’Union européenne, qui est un rapport important, est une fois de plus une attaque en règle contre le pacte vert européen et un copier-coller des idées véhiculées par la COPA-Cogeca – pas une grande surprise, venant du PPE.
Dans ce rapport, vous ignorez les sirènes des scientifiques, vous balayez d’un revers de la main les menaces principales qui pèsent sur notre sécurité alimentaire, à savoir la chute de la biodiversité. Ce sont ainsi 75 % des cultures vivrières de notre planète qui dépendent des pollinisateurs, et, dans le même temps, nous faisons face à la sixième extinction de masse, mais aucune dissonance, selon vous. Il y a également la faiblesse abyssale, dans votre rapport, sur la spéculation sur les matières premières, autre menace centrale pour notre sécurité alimentaire.
Aujourd’hui, Foodwatch et CCFD-Terre solidaire sortent une étude qui met en avant que 70 % des achats effectués sur le marché du blé sont le fait d’acteurs financiers et que 80 % sont des achats purement spéculatifs. Seule une réglementation du marché, une sortie des pesticides et une refonte profonde de notre agriculture respectant les principes de l’agroécologie nous permettront de garantir notre sécurité alimentaire. Cela ne vous surprendra pas: notre groupe ne votera pas ce rapport.
"
Claude GRUFFAT,2023-06-12,FR,Competition policy - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-125-0000_FR.html,"  Claude Gruffat,  au nom du groupe Verts/ALE. – Monsieur le Président, Madame la Commissaire, Monsieur le rapporteur, chers collègues, dans cette période de crise et d’inflation que nous traversons, nous demandons une fois de plus que les entreprises qui se livrent à l’évasion fiscale en se tournant vers des paradis fiscaux dans les pays tiers soient exclues des procédures de passation des marchés publics et ne puissent plus bénéficier d’aides d’État. Les caisses sont vides. Nous ne pouvons pas laisser certaines entreprises s’asseoir sur la redistribution, qui est nécessaire au bon fonctionnement de notre société.
Cette discussion, nous l’avons déjà eue lors de la pandémie, alors que les aides d’État pleuvaient. Nous l’avons aujourd’hui à nouveau, alors que nous avons besoin plus que jamais de redistribution pour faire face à la hausse des prix, alors que la question est de savoir qui va payer la facture de l’inflation: l’État à coups de chèques, les entreprises en participant de manière plus juste à notre société ou les consommateurs? L’histoire nous a montré que les consommateurs ont souvent payé le prix des comportements des acteurs financiers, comme durant la crise des subprimes. Les conséquences sociales perdurent sur un long terme et on ne peut plus se permettre de tels drames.
"
Claude GRUFFAT,2023-05-31,FR,"Geographical Indications for wine, spirit drinks and agricultural products (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-226-0000_FR.html,"  Claude Gruffat,  au nom du groupe Verts/ALE. – Madame la Présidente, Monsieur le Commissaire, chers collègues, moi aussi, je vais commencer par remercier le rapporteur Paolo. Quel succès ce soir! Et si tous les rapporteurs avaient un tel succès dans leurs dossiers pour tout le travail fait et toute la collaboration avec les rapporteurs fictifs autour du dossier, ce fut vraiment un plaisir de travailler sur ce dossier.
Les indications géographiques font partie de notre patrimoine commun européen et ce rapport vise à le protéger au maximum. Plusieurs points que je vais évoquer ici vont dans ce sens. Tout d’abord, la DG AGRI de la Commission préserve son rôle dans l’approbation ou l’opposition de l’octroi d’une IG. Nous avons en effet, et en bloc, refusé que l’EUIPO obtienne cette prérogative. Il était important que l’Europe reste maître du jeu sur la gestion d’un patrimoine aussi précieux que celui des IG. 
Nous avons permis à des groupes de producteurs reconnus d’avoir un pouvoir de décision dans leur cahier des charges. Et cela nous paraissait aussi quelque chose d’important pour le vin. Par souci de cohérence, les IG du vin resteront dans l’OCM, on était assez d’accord là-dessus.
Et enfin, dernier point qui me tenait particulièrement à cœur, sur lequel nous n’avons malheureusement pas été assez loin: ce sont les engagements de durabilité qui se font sur la base du volontariat. Ce n’est pas une mauvaise chose, mais on n’est pas allés assez loin sur les sujets qui peuvent être objets de cette durabilité, climat, biodiversité, etc. Mais je fais confiance aux acteurs de la qualité pour faire entrer ces préoccupations rapidement dans leurs préoccupations. Et j’invite aussi à voter ce texte. 
"
