MP,Date,Language,Title,Url,Content
Cornelia ERNST,2023-12-13,DE,"Frontex, building on the fact-finding investigation of the LIBE Working Group for Frontex Scrutiny (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-465-0000_DE.html,"  Cornelia Ernst,  im Namen der Fraktion The Left. – Herr Präsident! Alles schön und gut, liebe Kolleginnen und Kollegen, aber genug ist genug. Der neueste Frontex-Skandal, und zwar aus diesen Tagen: Eine neue Lighthouse-Recherche belegt, wie die Agentur und maltesische Behörden gemeinsame Sache machen mit der von der Wagner-Gruppe unterstützten Kriegsverbrechermiliz des Warlords Chalifa Haftar, die im Mittelmeer Flüchtlinge abfängt. Diese Flüchtlinge landen postwendend in libyschen Gefängnissen, die schon der Papst als Hölle auf Erden bezeichnet hat.
Die Frontex-Agentur ist damit Komplizin einer brutalen Menschenhändlergruppe geworden, deren tägliches Geschäft Vergewaltigungen, Versklavung und Folter in Libyen sind. Und um es noch klarer zu sagen: Frontex ist es völlig egal, was wir heute bereden und was wir festgestellt haben und welche Entschließung wir auch immer beschließen. Es ist wirklich, wirklich alles gesagt. Die Agentur hatte ihre Chance. Schluss also! Abolish Frontex!
"
Cornelia ERNST,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-019-0000_DE.html,"  Cornelia Ernst,  im Namen der Fraktion The Left. – Herr Präsident! Als der Kommissionsvorschlag auf dem Tisch lag, hatten nicht nur ich, sondern auch weite Teile der Zivilgesellschaft wirklich große Sorge, dass dieses Gesetz vor allem ein Geschenk an die Industrie wird. Für unsere Fraktion wie auch andere war klar: Es braucht soziale, ökologische Leitplanken und schärfere Anforderungen an die Projektentwickler, hohe Umweltstandards, gute Arbeit, Achtung der Menschenrechte. Umso erfreulicher waren dann die Verhandlungen im Europäischen Parlament und der Standpunkt des Europäischen Parlaments. Ein großer Dank gilt wirklich der Berichterstatterin.
Dazu gehört – was uns neben den sozialen und ökologischen Leitplanken besonders wichtig war – das Prinzip der freien, vorherigen und informierten Zustimmung für Indigene, aber auch die klare Absage an den Tiefseebergbau und die verschärften Anforderungen an Projekte, wenn diese den Status als strategisch erhalten wollen.
So, der Trilog hat wie immer dann die Dinge relativiert, wie wir wissen. Es ist schwierig genug, aber ich glaube schon, dass man an bestimmten Punkten doch noch mal nachdenken muss, zum Beispiel, wenn es um die freiwillige und in Kenntnis der Sachlage erteilte vorherige Zustimmung geht. Dort haben wir gemischte Gefühle. Ja, es ist gut, dass die Projektentwickler nun Pläne für die Konsultation indigener Gemeinschaften vorlegen müssen, basierende Schäden minimieren, Entschädigungen durchführen müssen. Aber das klare Konsensprinzip, das wäre uns wichtiger gewesen, dass wir es noch einmal formulieren. Denn über 50 Prozent der Vorkommen strategischer Rohstoffe sind auf und in der Nähe indigener Territorien.
Rohstoffpolitik muss bedarfsgerecht, sozial und umweltgerecht sein – das ist außerordentlich wichtig. Ich glaube, hier ist viel geleistet worden, und ich hoffe, dass die Umsetzung auch dafür spricht.
"
Cornelia ERNST,2023-11-22,DE,"Latest attacks against women and women's rights defenders in Iran, and Iran's arbitrary detention of EU nationals",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-399-0000_DE.html,"  Cornelia Ernst,  Verfasserin. – Frau Präsidentin! Ich traf Nasrin Sotoudeh 2013 in Teheran. Eine warmherzige, entschlossene Frau, Anwältin, Menschenrechtsaktivistin. Schaut man in ihre Vita, kann man es eigentlich nicht fassen: Nach dem Jurastudium 1995 verwehrte man ihr acht Jahre lang die Zulassung. Als sie sie hatte, verteidigte sie Frauen, die gegen das Kopftuch protestierten, Oppositionelle, Dissidenten, Journalisten, religiöse Minderheiten. 2010 wurde sie verhaftet, 2013 unter dem internationalen Druck wieder entlassen; fünf Jahre später wieder verhaftet, 2019 verurteilt – in Abwesenheit, ohne ihr Wissen – zu 33 Jahren und 148 Peitschenhieben.
Gefängnis, Hungerstreik, Krankheit, Hafturlaub, Gefängnis. Ihr Leben symbolisiert die schweren Kämpfe für Freiheit, Demokratie und Selbstbestimmung im Iran und gibt Kraft all denen, die jetzt in den Gefängnissen sind – viele, viele Doppelstaatler im Übrigen, wie Jamshid, Sharmahd und viele, viele, deren Namen wir gar nicht kennen.
An all diese Menschen richten wir unsere Botschaft: Wir hören euch, wir stehen an eurer Seite, wir werden niemals aufhören, euer Leben und eure Kämpfe zu verteidigen, und auch noch so viele Sittenwächter vermögen es nicht, diesen euren Widerstand zu ersticken. Denn die Uhren ticken längst anders. Irans Zukunft sind die Frauen. Women, Life, Freedom.
"
Cornelia ERNST,2023-11-20,DE,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-140-0000_DE.html,"  Cornelia Ernst (The Left).   – Frau Präsidentin! Also das Beste an der Netto-Null-Industrie-Verordnung ist wirklich ihr Name. Denn die private Wirtschaft sitzt auch weiterhin am Steuer der Transformation und eben nicht die öffentliche Hand. Anstatt massive staatliche europäische Investitionen in strategische Technologien zu ermöglichen, setzt man wie immer auf die Anreize für private Investitionen – Invest-EU statt EU-Invest. Es ist immer das Gleiche.
Zweitens sind dort, wo die öffentlichen Mittel zum Einsatz kommen, die sozialen und ökologischen Kriterien viel zu lasch. Wir müssen doch über klare Konditionen reden – gute Arbeit, Löhne, Standortgarantien, höchste Umweltstandards – ja, und bitteschön auch über öffentliche Kontrolle. Und es muss auch klar sein, dass Unternehmen, die von öffentlichen Investitionen profitieren, keine Dividenden an ihre Aktionäre ausschütten.
So, und das Dritte ist die Liste der strategischen Netto-Null-Technologien. Inzwischen sind sie ein Gemischtwarenladen mit eFuels, Nukleartechnologie – das sind schädliche Technologien, die man jetzt als strategisch benennt. Insofern ist das Ganze – das sei mir gestattet zu sagen – eine Mogelpackung mit einem wirklich schönen Namen.
"
Cornelia ERNST,2023-10-17,DE,"Urgent need for a coordinated European response and legislative framework on intrusive spyware, based on the PEGA inquiry committee recommendations (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-370-0000_DE.html,"  Cornelia Ernst,  im Namen der Fraktion The Left. – Herr Präsident! Wieder einmal mussten uns erst Journalistinnen und Journalisten das Problem auf den Tisch legen. Wieder einmal zeigt sich, wie in der EU ansässige Unternehmen ungehindert Diktatoren und Despoten mit ihrer Spyware beliefern, die nicht nur zur Unterdrückung im Inland benutzt wird – nein, auch außerhalb des Landes. Und zu den Angriffszielen gehören diesmal nicht nur EU-Abgeordnete, die Kommission, Journalistinnen und Journalisten, Forscherinnen und Forscher, nein, sogar unsere Parlamentspräsidentin.
Und Fakt ist, EU und Mitgliedstaaten haben auf ganzer Linie bei der Regulierung von Spyware-Technologie versagt. Und mehr noch: Sie sind gar nicht gewillt, wirkliche Lösungen zu finden. Sie sind deshalb mitverantwortlich für Menschenrechtsverletzungen in der ganzen Welt aufgrund dieser Sache.
Ich frage Sie: Wozu haben wir vor vier Monaten als PEGA-Ausschuss klare Handlungsempfehlungen an Kommission und Mitgliedstaaten vorgelegt? Der Sumpf der Spionagesoftwareindustrie muss endlich trockengelegt werden. Denn sonst können Überwachungsfirmen wie Intellexa und Cytrox weiter Millionenprofite auf Kosten der Menschenrechte einfahren – mit der Duldung der EU. Damit muss endlich Schluss sein!
"
Cornelia ERNST,2023-10-16,DE,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-123-0000_DE.html,"  Cornelia Ernst (The Left).   – Frau Präsidentin! Ja, einen finanzstarken, gezielten, nachhaltigen Souveränitätsfonds brauchen wir. Nein, STEP ist das wirklich nicht. Erstens, weil durch die Verknüpfung mit der Netto-Null-Industrie-Verordnung die Gefahr besteht, dass auch CCS, Atomkraft, sogenannte alternative Kraftstoffe von öffentlicher Förderung profitieren könnten. Das wäre doch eine klare Fehlleitung von Fördermitteln. Und zweitens: Starke Konditionen für die Vergabe der Souveränitätssiegels, die fehlen einfach, wie Dekarbonisierungspläne für Unternehmen, für gute Arbeit, für Umweltstandards – wirkliche Verbindlichkeiten sehen wir hier nicht.
Das Dritte: Aus dem ohnehin so knapp bemessenen Kohäsionsfonds sollen nun auch noch Mittel für STEP geklaut und Unternehmen zugeschanzt werden – zulasten anderer Investitionen und der Forschung. Ganz ehrlich, wie oft haben wir denn schon das Budget ausgegeben? Immer wieder und wieder und wieder. Und schließlich – weil sich nicht nur Washington und Peking über den äußerst geringen Umfang zusätzlicher Mittel von 13 Milliarden Euro regelrecht schlapp lachen – nur zum Vergleich: Die deutsche Regierung hat kürzlich fast 10 Milliarden Euro für die Förderung nur eines einzigen Halbleiterstandorts veranschlagt. Kurz zusammengefasst: Selbst aus dem schönsten Schaf kann man keinen Tiger machen.
"
Cornelia ERNST,2023-10-03,DE,The 10-year commemoration since the tragedy in Lampedusa(statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-143-0000_DE.html,"  Cornelia Ernst,  im Namen der Fraktion The Left. – Frau Präsidentin! Zehn Jahre nach dem furchtbaren Unglück von Lampedusa hat sich nichts geändert. Bis heute sind weitere 28 500 Menschen im Mittelmeer gestorben − gestorben an Achtlosigkeit, Rassismus, gestorben in den Fluten, an Dehydrierung, brutalen Pushbacks, ausgeführt von Mitgliedstaaten und geduldet von der Kommission.
Rat und Kommission haben in den letzten zehn Jahren wirklich alles getan, um Asyl und Migration zu kriminalisieren, und wollen jetzt per Gesetz gewissermaßen das individuelle Recht auf Asyl zum Teufel jagen. Damit liefern sie Geflüchtete an Faschisten und Rechtspopulisten aus und werden zu Helfershelfern bei der Zerstörung der Demokratie − hier mitten in Europa!
Wir als Linke werden niemals aufhören, gegen eine solche Politik anzukämpfen, und uns mit allen verbünden, die die Menschenrechte verteidigen. Wir müssen unser Europa vor der Rückkehr zu Menschenverachtung und blindem Nationalismus retten, um unserer selbst willen.
"
Cornelia ERNST,2023-09-13,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-230-0000_DE.html,"  Cornelia Ernst,  im Namen der Fraktion The Left. – Herr Präsident! Ja, dieses Gesetz ist das erste seiner Art in der EU: eine gemeinsame Rohstoffstrategie mit verbindlichen Zielmarken. Und uns als Links-Fraktion geht es vor allem um eine neue Art zu produzieren und zu wirtschaften.
Stichwort: Kreislaufwirtschaft. Wir brauchen längere Lebensspannen von Produkten. Wir brauchen Wiederverwendung, Recycling, wenn wir auch über Rohstoffe sprechen. Und wir müssen auch über Reduzierung von Verbräuchen sprechen. Zugleich kommen wir natürlich, wenn wir über die Transformation hin zu den Erneuerbaren und auch zur Digitalisierung sprechen, ohne seltene Erden und Metalle nicht aus.
Wir brauchen daher faire Regeln für strategische Partnerschaften und, ja, auch heimischen Bergbau – zum Schutz von Umwelt und zum Schutz von Mensch. Das Parlament hat dafür eine ganze Menge getan und soziale und ökologische Kriterien geschärft.
Und doch gibt es Änderungsbedarf, wenn wir genau hinschauen: Wie ist es möglich, dass dieses Haus gestern beispielsweise im Rahmen der Erneuerbare-Energien-Richtlinie Natura-2000-Gebiete ausdrücklich davon ausgenommen hat, Beschleunigungsgebiete für Erneuerbare zu sein, wir aber beim Critical Raw Materials Act genau das drin haben und praktisch das Gegenteil machen. Wie kann es sein, dass wir einerseits sagen, wir wollen strategische Partnerschaften mit Drittstaaten auf Augenhöhe, und dann die freie vorherige Zustimmung nach Inkenntnissetzung für indigene Gemeinschaften eben nicht im Text verankert ist?
Ich denke, das muss noch geändert werden. Das können Sie gerne tun, wenn Sie unseren Änderungsanträgen zustimmen.
"
Cornelia ERNST,2023-09-12,DE,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-077-0000_DE.html,"  Cornelia Ernst,  im Namen der Fraktion The Left. – Herr Präsident! Ja, meine Damen und Herren, in welcher Autokratie leben wir eigentlich? Wenn die Kommissionspräsidentin, ein zurückgetretener Ministerpräsident und eine faschistische Ministerpräsidentin mal so eben nach Tunesien fahren und dort einen Deal aushandeln, den wir nur noch absegnen und natürlich auch bezahlen sollen. Das ist weder demokratisch noch legal, und menschenrechtlich ist das überhaupt nicht vertretbar. Mehr als 300 Millionen, davon 105 Millionen Euro allein, um sogenannte illegale Migration zu verhindern.
Tunesien soll nun die Jagd auf Migrantinnen und Migranten von der EU bezahlt bekommen dafür, dass sie Menschen foltern, verhaften, nachweislich in die libysche Wüste vertreiben, wo Hunderte den Tod gefunden haben und täglich Menschen sterben.
Kein einziger Geflüchteter hat auch nur die geringste Chance, Asyl zu beantragen. Wo denn auch? In welches Jahrhundert, das frage ich Sie, wollen Sie uns zurückführen? Und in was für ein Europa?
Machen Sie den Deal schnell rückgängig!
"
Cornelia ERNST,2023-07-13,DE,Public access to documents – annual report for the years 2019-2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-018-0000_DE.html,"  Cornelia Ernst,  im Namen der Fraktion The Left. – Herr Präsident! Ich schließe mich begeistert den Ausführungen von Sophia in 't Veld an und wiederhole noch einmal: Demokratie braucht Transparenz, und ohne Transparenz gibt es keine Demokratie.
Was meine ich damit? Nehmen wir die Grenzschutzagentur Frontex. Frontex hat ja nicht nur ein Menschenrechtsproblem, Frontex hat auch ein Transparenzproblem. Frontex agiert dadurch im Dunkeln, entzieht sich systematisch parlamentarischer und öffentlicher Kontrolle. Zwar gibt es nach jahrelanger Kritik, nach Hin und Her jetzt ein Dokumentenregister. Schaut man da aber hinein, dann findet man nur einen winzigen Bruchteil von Dokumenten. Im Jahre 2020 haben weniger als 5 % der Antragstellerinnen und Antragsteller zu Dokumenten von Frontex uneingeschränkten Zugang bekommen.
Auch mit Blick auf das Transparenzregister hat Frontex gelogen. Sie haben nämlich verschwiegen, mit wem sie sich zwischen 2017 und 2019 alles so an Lobbyorganisationen getroffen haben. Investigative Journalistinnen und Journalisten haben das herausgefunden.
Das gleiche auch beim OLAF-Bericht, den praktisch niemand in der Öffentlichkeit hätte lesen sollen. Ohne investigativen Journalismus wäre er nicht öffentlich geworden.
Frontex muss die Praxis ändern, mit der Zivilgesellschaft kommunizieren, die Zugang zu Dokumenten beantragt, muss per E-Mail kommunizieren, wie sich das gehört, so, wie es auch die Bürgerbeauftragte in ihrer Entscheidung vom 15. Dezember letzten Jahres empfohlen hat. Noch einmal: Ohne Transparenz gibt es wirklich keine Demokratie.
"
