MP,Date,Language,Title,Url,Content
Damian BOESELAGER,2023-12-13,EN,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-043-0000_EN.html,"  Damian Boeselager (Verts/ALE),  blue-card question. – Madam President, dear Mr Glucksmann, thanks a lot for this strong intervention in favour of support for Ukraine. I just wanted to ask, what would you do if you were Commission President now and you had the choice to act and rein Orban in? What would you do? 
"
Damian BOESELAGER,2023-12-13,EN,Review of the Spanish Presidency of the Council (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-100-0000_EN.html,"  Damian Boeselager (Verts/ALE).   – Madam President, Prime Minister, this has been quite a national debate, so I want to bring it back to the European level. We have the EUCO coming, and I do want to ask you the question that we asked the President of the Commission this morning, what are you going to do to make sure that Orbán is reined in, that we don’t give in to his blackmailing when it comes to our support for Ukraine, for the formal accession talks? Are you going to take away the Council Presidency? Are you going to push forward the Article 7 procedures? Please let us know your plan about that. 
"
Damian BOESELAGER,2023-12-13,EN,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-233-0000_EN.html,"  Damian Boeselager (Verts/ALE).   – Mr President, Commissioner, Council, it has been a year since QatarGate and it was quite a shock, to be honest, also for me personally, that colleagues in our House would actually be that corrupt. And since then we have tried a lot to improve our rules, and I think that was very necessary to win at least some of the trust back that we lost because of QatarGate. But I’m not sure it’s going to be enough. And I also want to bring us to the title of today’s debate, which is about EU institutions. It’s not only about Parliament, and I think an equally big scandal, if not even bigger, is that tomorrow and the day after, we will have a foreign agent sitting in a very opaque body, the 27 heads of state and government actually representing Russia’s interests when we decide about Ukraine’s future. For me, it’s really crucial that we understand that we have a new gate happening, RussiaGate, if you want, when roubles from Russia roll into Budapest for blocking our support for Ukraine. This can’t continue and we have to work on it. So let’s win back trust by reforming all bodies of the European Union. 
"
Damian BOESELAGER,2023-11-21,EN,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-301-0000_EN.html,"  Damian Boeselager (Verts/ALE).   – Mr President, this is not a regular debate. This is not a regular proposal that we are making. This is a very foundational proposal that is happening. And I am very proud and happy that I can actually live in this moment where we, as the European Parliament, trying to change the European Union. And we really have to fix the European Union because it is under attack. 
We might not see the cracks in the wall, but I can definitely hear the hammering and the banging of the far right, really trying to undermine this Union as we speak. And if we look beyond this place where we already hear this and we look outside and we see, for example, in foreign policy, Viktor Orbán shaking hands with Putin, while Putin is at the same time attacking Ukraine and killing Ukrainian citizens, it is becoming very obvious. 
When we look west and we see the US again in the grip of the far-right populists, we know that we have to really do something. So I appeal to you, colleagues, to live up to this responsibility, to understand the history, the historic moment that we currently live in and vote in favour of changing the European Union, of fixing the European Union so that it is able to act and live for the next 50, 100, 200 years.
(The speaker agreed to take a blue-card question)
"
Damian BOESELAGER,2023-11-21,EN,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-303-0000_EN.html,"  Damian Boeselager (Verts/ALE),  blue-card answer. – I’m very happy that maybe soon the blaming of Poland can end. I think that’s a very positive development. From my perspective, the question is really of how we can ensure that we are able to act on a European Union level. There might be examples when other Member States have also been blocking and vetoing things that are in the common interest of the European Union.
But I think what’s core is that we have to make sure that we are able to act on the European Union level. This is not about disempowering national parliaments; it’s making sure that the things we decide on the European level are decided by a European government that is backed by a European Parliament, and this is where we have to go.
"
Damian BOESELAGER,2023-11-21,EN,"Continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-458-0000_EN.html,"  Damian Boeselager (Verts/ALE).   – Madam President, dear colleagues, the rule of law is non-negotiable. Our laws and values are not worth the paper they are written on if they are systematically broken. And I want to be very clear with our colleagues from the far right: this is not about political differences. It is not about having different opinions on certain issues. It is about undermining the exact stage where democracy is happening. And this is not sacred. This is dirty. It is dirty to steal public money and to give it to your friends. It is dirty if you shake the hands of a dictator that is currently bombing in Ukraine. It is dirty if you have unfair elections where you manipulate your citizens to vote for you. This is dirty and this is not politics, this is not democracy – it is the undermining of democracy.
And therefore, I want to thank the Commissioners for being quite strong and upholding the rule of law by cutting the funds and making sure that this also stays the same until Orbán decides to actually be positive for his own people, for the Hungarian people, who are not the same and unlock these funds by following simply our rule of law. It is not so complicated.
And I would also ask our dear countries to review their bilateral relationships also economically, also in Germany, to see whether we have to be even stricter with the Hungarian Government now.
"
Damian BOESELAGER,2023-10-18,EN,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-259-0000_EN.html,"  Damian Boeselager (Verts/ALE).   – Mr President, wasted government spending has a similar effect as tax avoidance or tax evasion. It reduces the positive impact of the EU budget and it erodes the trust that we as a European Union are a guarantor for transparency. So, the work of the Court of Auditors is really very recommendable and important to keep this trust, and it should be the pro-Europeans of this House who point out the issues with the budget. 
Now to the COVID-19 recovery fund. One thing has to be clear. The fund has already been a huge success because it created stability in a financial market situation which was complex, and we have been basically saying that no country will be left alone facing the COVID-19 crisis. So, that doesn’t mean that there are also some issues. When we look, for example, at the repayment, it’s absolutely clear that we need European own resources, a plastic tax, a minimum corporate tax to be able to finance the debts that we had to incur at this crucial time of our European history. 
I also want to make it very clear, Commissioner, that it would be very important that you look at your processes to see where there are issues that the Court found, so that when we set up the next permanent fiscal capacity, we do it with these learnings in mind. 
"
Damian BOESELAGER,2023-10-18,DE,New European innovation agenda (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-450-0000_DE.html,"  Damian Boeselager,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Viele hier scheinen im Hinblick auf den US Inflation Reduction Act die jahrzehntealten ordnungspolitischen Maßnahmen über Bord werfen zu wollen. Innovation und Wettbewerb werden in der EU immer öfter aus den Ministerbüros gedacht, und es wird die Vorstellung verbreitet, dass der Staat tatsächlich in der Lage ist, neue Märkte und Produkte zu gestalten.
Die Kommission hilft hier fleißig mit. Von den 60 gestellten Staatsbeihilfeanträgen wurden 58 genehmigt. Aber das kann nicht unser Ansatz für eine gelungene Industriepolitik in Europa sein. Denn erstens ist es ganz oft eben ein nationaler Ansatz. Wenn wir uns das anschauen, die Chipfabrik in Deutschland mit fast 10 Milliarden Euro, das kann sich einfach ein kleineres EU-Land nicht leisten. Da müssen wir vorsichtig sein. Der Binnenmarkt muss zusammenhalten.
Das Zweite ist, dass ich Ihnen als Gründer eines innovationstreibenden Start-ups in der Politik sagen kann, dass es sehr schwierig ist, aus Ministerbüros heraus tatsächlich vorauszusehen, wie die Zukunft aussehen wird. Und es ist auch so, dass wir einfach wieder mehr darauf vertrauen müssen, dass unsere Unternehmerinnen und Unternehmer funktionieren können, dass unser Binnenmarkt funktionieren kann, wenn wir in Forschung und Entwicklung investieren, wenn wir darin investieren, die Kapitalmärkte in Europa tatsächlich zusammenzuführen und zu harmonisieren, und wenn wir das Wettbewerbsrecht auch wieder richtig durchsetzen. Lassen Sie uns also nicht einfach nur in die Investitionspolitik reindenken aus Ministerbürosicht, sondern tatsächlich eben auch wieder ordnungspolitisch denken.
"
Damian BOESELAGER,2023-10-17,EN,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-168-0000_EN.html,"  Damian Boeselager (Verts/ALE).   – Mr President, I am sometimes thankful for the speeches from the far right, because then when I think of the exact opposite, I know what I have to say. This is true for the budget as it is for everything else.
A colleague from the far right in this debate said that we should cut funds because we give too much money to Ukraine. The opposite is obviously true, and it makes me absolutely sick to see a Prime Minister of an EU country currently shaking hands with Putin, who is at the same time attacking and killing Ukrainians.
Another one said that we need to cut funds because the corona recovery money is flowing at the same time. That reminds me of the beautiful fact that we had Polish elections, and hopefully soon the justice system will be reinstated in Poland, and then EUR 35 billion can actually flow to the Polish citizens in the dual transition – the green and digital transition.
Another one said that we should increase cohesion funds. We should not fall into this trap. We need common investment in Europe for the big strategic priorities of the European Union. For that, I will support the rapporteur in his negotiations with the Council so that we get a strong Europe, a strong budget to fight for our future.
"
Damian BOESELAGER,2023-10-16,EN,Establishing the Ukraine Facility (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-076-0000_EN.html,"  Damian Boeselager (Verts/ALE).   – Mr President, Commissioner, colleagues, the Ukraine facility is a sign of historic support for Ukraine and I’m proud to be part of the negotiation team.
It’s historic because we sent two strong messages. The first one is that our commitment to Ukraine is long and long term. The Ukraine facility is an institutional design for a long-term tool, that is why it’s so important not only how much we spend, but also how we spend the money. And I’m happy that some of our ideas were taken up here, especially when it comes to defining a minimum share for SMEs, because we do need Ukraine to build new businesses, introduce innovations and push forward the green transition instead of just putting helicopter money on state-owned enterprises.
And the second important message – and I think that’s also key to underline – is that good institutions matter. We’ve learned from the Marshall Fund that good governance, checks and balances and transparency matter, especially in a country that hopefully sooner rather than later will join the EU. We have therefore strengthened institutions such as the Rada Verkhovna, where we have involved local actors, civil society, and we asked for a list of final beneficiaries to be able to follow the money.
Colleagues, I also want to say that reconstruction will need many additional funds. Let’s face it, 50 billion over four years will not be sufficient to support Ukraine until the end of the war and for the reconstruction. But we started by setting this programme up long term, and I am happy that we do that, because in the end – I mean, some colleagues and I, we went to Ukraine recently – what Ukrainians are enduring for democracy is really hard and I think giving some support here is the least we can do.
"
