MP,Date,Language,Title,Url,Content
Damien CARÊME,2023-11-20,FR,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-131-0000_FR.html,"  Damien Carême,  au nom du groupe Verts/ALE. – Madame la Présidente, Monsieur le Commissaire, une occasion manquée. Voilà l’avenir bien sombre que nous impose le dogmatisme des conservateurs, des libéraux et des sociaux-démocrates, couplés aux puissantes voix de l’industrie pétrolière et gazière qui, via de fausses ONG et un vrai lobbying, comptent bien se tailler la part du lion et engranger de nouveaux profits dans le nouveau marché de la capture et du stockage du carbone. 
On allait rivaliser avec les ambitions et les milliards de la loi américaine sur la réduction de l’inflation et sur la lutte contre le changement climatique. On finit sans priorités, sans vision et sans un euro. 
En nous concentrant sur les technologies propres et sûres existantes et en élaborant un acte législatif favorisant l’achat de produits européens (buy european act), nous pouvions pourtant élaborer une stratégie industrielle européenne ambitieuse axée sur la transition vers une économie zéro net pour, à la fois, sauver le climat, garantir notre autonomie industrielle et créer des emplois verts de qualité. 
En lieu et place de ces orientations, ce sont le business as usual et le technosolutionnisme qui ont été privilégiés. Nous avons choisi de soutenir l’industrie sans contrepartie de décarbonation, relancer les énergies du passé tout en pariant sur des technologies immatures et peu fiables, comme la capture et le stockage du CO2, et en parallèle s’asseoir sur les zones Natura 2000, les directives Oiseaux et habitats, le principe de précaution et celui de ne pas nuire. 
Bref, on ne change rien, on émet toujours plus de CO2, on détruit un peu plus le climat et on croise bien fort les doigts pour que dans 20 ou 30 ans, on puisse durablement stocker le CO2. On perd 30 ans et nos chances de rester en dessous des 1,5 degrés de réchauffement alors que la température ressentie à Rio aujourd’hui est de 50,6 degrés. 
Voilà l’avenir bien sombre qui se dessine à travers ce texte, chers collègues, alors que les solutions existent et nous le savons tous.
"
Damien CARÊME,2023-10-04,FR,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-055-0000_FR.html,"  Damien Carême (Verts/ALE).   – Monsieur le Président, hier, nous célébrions ici même un triste anniversaire, celui du naufrage de Lampedusa. Le 3 octobre 2013, la mort tragique de près de 400 exilés au large de cette petite île italienne avait entraîné un sursaut bienvenu de solidarité européenne et la mise en place de l’opération Mare Nostrum.
C’était il y a dix ans. Qu’avons-nous fait depuis? Mare Nostrum n’est plus. Frontex se charge de la sécurité des frontières extérieures et, à l’occasion, participe à des refoulements illégaux. Pire, Monsieur le Commissaire, alors que vous affirmiez tout à l’heure que l’Europe est la championne des droits de l’homme, l’ONU concluait il y a peu que cette même Europe, avec son accord avec la Libye, était complice d’un crime contre l’humanité.
Les actions de sauvetage en mer reposent désormais en grande partie sur les marins et les ONG qui sont de plus en plus criminalisées. Dix ans de politique migratoire meurtrière et plus de 28 000 morts brisant plus de 28 000 vies rien qu’en mer Méditerranée. Dix ans de démantèlement de nos systèmes d’accueil et de protection des exilés, de déni d’accueil et de solidarité, de piétinement du droit, de privation de liberté sur fond de reprise de la rhétorique nauséabonde de l’extrême droite.
Le besoin de réformer n’a jamais été aussi urgent, tout comme il est urgent de rappeler au Conseil, à la Commission et à ce Parlement, leurs responsabilités. Cessez de brandir l’adoption rapide du pacte sur l’asile et la migration comme la solution miracle à ces dix ans de honte, quand cette réforme précipitée basée sur aucune recherche pourrait se faire au détriment du respect du droit et au prix du reniement de nos valeurs. Revenons à nos fondamentaux et soyons à la hauteur des enjeux de nos responsabilités. Nous devons continuer. Le Parlement continuera à négocier avec le Conseil, mais il défendra sans relâche le respect inconditionnel du droit et des valeurs européennes. 
"
Damien CARÊME,2023-07-12,FR,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-091-0000_FR.html,"  Damien Carême (Verts/ALE).   – Madame la Présidente, à chaque drame, un débat et toujours plus de honte. L’Union européenne est cernée aujourd’hui par des cimetières marins où les secours sont entravés. Son budget finance les mafias libyennes, accusées de crimes contre l’humanité par l’ONU.
L’année 2023 illustre de façon glaçante les conséquences de vos politiques meurtrières. 2 janvier: décret italien, action humanitaire en mer entravée. 26 février: 86 morts au large de la Calabre. 25 mars: des garde-côtes libyens ouvrent le feu sur l’Ocean Viking. 27 avril: Madame la Commissaire Johansson, vous demandez à la Tunisie de garder nos frontières contre 105 millions d’euros. 25 mai: 500 personnes en détresse dans les eaux maltaises refoulées vers la Libye. 2 juin: deux navires humanitaires immobilisés en Italie pour avoir sauvé des vies, en stricte application du droit. 8 juin: en pleine réforme de nos politiques d’asile, les États membres suppriment le mécanisme de solidarité en matière de secours en mer. 14 juin: plus de 600 personnes périssent au large de la Grèce. 21 et 22 juin, 1er juillet: au moins quatre naufrages au large de l’Italie, de l’Espagne et de la Tunisie. 7 juillet: nouveaux tirs libyens sur l’Ocean Viking. 10 juillet: trois bateaux disparus entre le Sénégal et l’Espagne, des centaines de morts.
12 juillet, à Strasbourg: aux côtés de milliers de solidaires, nous vous demandons d’arrêter de tuer. Nous n’abandonnerons jamais. Adoptons au moins cette résolution.
"
Damien CARÊME,2023-06-14,FR,Lessons learnt from the Pandora Papers and other revelations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-278-0000_FR.html,"  Damien Carême,  rapporteur pour avis de la commission des libertés civiles, de la justice et des affaires intérieures. – Madame la Présidente, Monsieur le Commissaire, 11 300 milliards de dollars, ce serait la somme astronomique dissimulée dans des paradis fiscaux, selon les révélations du Consortium international des journalistes d’investigation. Ces 11 300 milliards d’évasion fiscale et de blanchiment sont à mettre en parallèle avec les 17 000 milliards de PIB de l’Union européenne en 2021. Les chiffres donnent le vertige.
La liste des bénéficiaires de ces montages financiers génère un profond sentiment de malaise. Des dirigeants européens anciens comme actuels, d’autres en poste au moment des Pandora Papers, et donc en mesure d’empêcher toute avancée fiscale pour leur seul intérêt personnel. Pourtant, aucun nom dans cette résolution, pas de naming and shaming: c’est la règle dans certains groupes politiques, ici, au Parlement. Pourquoi donc mentionner Wopke Hoekstra, actuel ministre néerlandais, Andrej Babiš, alors Premier ministre tchèque, ou John Dalli, ancien ministre maltais et ancien commissaire européen?
Récemment, PwC a fait fuiter des documents confidentiels sur les projets de lutte contre l’évasion fiscale des multinationales du gouvernement australien. Un scandale fiscal de plus pour PwC, déjà au cœur des LuxLeaks, en 2014, et, jamais très loin, ses acolytes du Big Four, ces quatre grands cabinets qui se partagent 87 % du marché mondial du conseil fiscal. Les Pandora Papers l’ont confirmé: c’est grâce à ce type d’intermédiaires que les 0,01 % les plus riches échappent à environ 25 % de leurs obligations fiscales. Pourtant, que de négociations pour citer PwC, Ernst & Young, Deloitte et KPMG dans cette résolution! Pas de naming and shaming, vous vous souvenez?
Des États membres proposent des taxations avantageuses pour attirer les nomades numériques, au risque d’aggraver les inégalités sociales et économiques. Mais, là encore, pas de naming and shaming. Pourquoi rappeler que Chypre, la Croatie, l’Espagne, la Grèce, l’Italie et le Portugal offrent des régimes possiblement nocifs pour le marché unique et les recettes fiscales? Pourquoi? Parce que «mal nommer les choses, c’est ajouter au malheur de ce monde». À cette citation d’Albert Camus j’ajouterai que ne pas les nommer du tout, c’est refuser de mettre fin au malheur du monde.
Tirons les leçons des Pandora Papers: nommons, blâmons, soyons ambitieux. En s’exprimant pour la première fois sur une meilleure taxation du capital des personnes fortunées et des plus-values sur les nomades numériques et la financiarisation du logement, notre Parlement ouvre la voie à des systèmes fiscaux plus justes.
Chers collègues, adoptons ce texte, renforçons-le grâce aux amendements du rapporteur, dont certains suggérés par mon groupe des Verts/ALE, et rejetons toute tentative, lamentable, de l’affaiblir.
"
Damien CARÊME,2023-05-10,FR,Externalising asylum applications and making funding to third countries conditional on the implementation of return agreements (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-217-0000_FR.html,"  Damien Carême (Verts/ALE).   – Madame la Présidente, l’extrême droite nous impose sans honte ce débat et ses propos nauséabonds, alors que nous célébrions hier les valeurs de l’Europe, et commémorons lundi le lourd héritage sur lequel notre Union s’est bâtie. Jusqu’où repousserons-nous les limites de l’indécence? Plutôt que de l’ignorer, mesurons la gravité du moment. Partout en Europe, la rhétorique dangereuse de l’extrême droite imprègne les discours et politiques. Quand allez-vous mettre un terme à cette fuite en avant, Monsieur le Commissaire? Sûrement pas en cautionnant cette obsession pathologique des retours, et en se rendant en Tunisie et ailleurs pour participer à des marchandages dangereux avec des pays tiers, comme l’a fait récemment la commissaire Johansson.
Que reste-t-il de nos valeurs quand le PPE appelle la Commission à financer des murs, quand ils s’érigent déjà sur plus de 2 000 kilomètres en Europe? Que reste-t-il de notre humanité quand une barge est installée dans un port pour enfermer durant des mois des demandeurs d’asile lorsqu’on ne peut pas directement les renvoyer au Rwanda?
Pour parfaire notre forteresse Europe, nous violons le droit, dépensons des milliards pour nous calfeutrer, mais surtout nous brisons des milliers de vies. Les appels à s’affranchir de nos obligations internationales se multiplient partout, sans conséquences. Il est temps pour nous, Parlement, Commission et Conseil, d’agir et de rappeler que nous ne transigerons jamais sur nos valeurs, en matière migratoire comme ailleurs, ou alors l’Europe aura échoué.
"
Damien CARÊME,2023-04-17,FR,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-105-0000_FR.html,"  Damien Carême,  rapporteur pour avis de la commission des affaires économiques et monétaires. – Monsieur le Président, Monsieur le Commissaire, en 2021, le rapport du GIEC était un code rouge pour l’humanité, selon le secrétaire général des Nations unies. Deux ans de négociations du «Fit for 55» plus tard, la synthèse du GIEC a cette fois des allures de guide de survie pour l’humanité. Il y a donc urgence à agir.
Pourtant, ici même, certains feignent d’ignorer la catastrophe qui s’annonce. Sans doute se pensent-ils à l’abri de ses conséquences. Ils pinaillent sur les dates, s’accrochent aux quotas gratuits, etc. Ces grands défenseurs des entreprises européennes sont plus pressés d’appliquer un prix carbone aux combustibles utilisés dans le transport routier ou le chauffage des bâtiments – en gros, quand il s’agit de faire payer aux citoyens les efforts que les plus gros pollueurs n’ont pas faits.
Oui, nous devons réduire puis stopper les émissions de CO2. L’ajustement carbone aux frontières y contribuera et je m’en réjouis. Non, cela ne doit pas se faire sur le dos des plus vulnérables. Nous, les Verts, nous le disons haut et fort: la transition écologique, ce n’est pas simplement verdir le capitalisme en l’accompagnant de mesures sociales dérisoires. Ces rustines ne servent qu’à préserver le modèle économique et énergétique qui nous a menés à la catastrophe climatique.
La transition écologique est nécessaire parce que sur une planète morte, il n’y a plus ni compétitivité, ni emplois. À nous de la rendre souhaitable en accompagnant les entreprises vers la décarbonation, oui, mais surtout en donnant à chacun les moyens de réduire sa dépendance aux énergies fossiles sans perdre de son pouvoir de vivre. 
"
Damien CARÊME,2023-02-01,FR,Need for urgent update of the EU list of high-risk third countries for anti-money laundering and terrorist financing purposes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-01-INT-1-145-0000_FR.html,"  Damien Carême (Verts/ALE).   – Madame la Présidente, Madame la Commissaire, Madame la Ministre, les criminels jouent avec les règles du jeu pour financer des attaques terroristes ici ou blanchir de l’argent là-bas. Sans scrupules, ils exploitent nos failles. La Commission et le Conseil ne peuvent rester sans réaction quand un pays tiers présente une menace spécifique et grave pour le système financier de l’Union européenne.
Dernier exemple en date: les Émirats arabes unis. Nous savons que ce pays sert de refuge aux oligarques et aux criminels souhaitant échapper à nos règles du jeu et aux sanctions. Le Groupe d’action financière, le GAFI, référence internationale en la matière, a identifié ce pays comme une menace grave pour le système financier dès mars 2022 – cela a été dit à plusieurs reprises. Pourtant, il a fallu attendre neuf mois pour que la Commission mette à jour notre liste noire. Neuf mois auxquels le Conseil a ajouté un délai supplémentaire, nous rendant davantage vulnérables aux menaces et pressions extérieures. 
Notre liste européenne devrait s’aligner dans les plus brefs délais sur celle du GAFI. La révision de notre liste noire est trop politisée, opaque et lente. Corapporteur avec Eero sur le règlement antiblanchiment, je prône une réforme en profondeur de cette procédure. La future autorité européenne doit également avoir un rôle clé. Il nous faut aller plus vite. Il nous faut frapper plus fort. Chaque semaine d’inertie du Conseil expose nos systèmes financiers et nos sociétés aux attaques des pires criminels.
"
Damien CARÊME,2023-01-18,FR,"Criminalisation of humanitarian assistance, including search and rescue (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-376-0000_FR.html,"  Damien Carême (Verts/ALE).   – Monsieur le Président, Madame la Commissaire, chers collègues, plus jamais nous ne devions accepter que des atrocités soient commises en Europe. Plus jamais. Ce plus jamais s’est incarné dans la construction européenne où nous avons hissé au plus haut les valeurs de dignité humaine, de liberté, d’égalité, de fraternité, de solidarité.
Quelle honte de constater combien toutes ces valeurs fondatrices et le droit européen sont bafoués aujourd’hui. Des femmes, des enfants, des hommes meurent à nos frontières chaque jour, sans sembler émouvoir le moins du monde des dirigeants européens. Personne ne peut dire qu’il ne sait pas. Comme dans les périodes les plus funestes de notre histoire, on cherche à intimider et à harceler des citoyens altruistes et courageux. Pourtant, les humanitaires ne font que combler l’inaction des États membres. Ce sont des justes, des passeurs d’humanité, certainement pas des criminels. Au lieu d’honorer ces humanitaires qui défendent nos valeurs, on les criminalise.
Madame la Commissaire, il est temps de combattre ce climat d’impunité ainsi que la rhétorique nauséabonde et les fantasmes de l’extrême droite. Il est temps de ne plus nous laisser dicter nos politiques et nos valeurs par des racistes et des xénophobes. Allons-nous enfin agir concrètement au lieu de discourir pour éviter que ces drames ne se perpétuent? Il nous faut d’urgence un sursaut humanitaire, un sursaut politique. 
"
Damien CARÊME,2022-11-23,FR,The need for a European solution on asylum and migration including search and rescue (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-038-0000_FR.html,"  Damien Carême (Verts/ALE).   – Monsieur le Président, Monsieur le Commissaire, Monsieur le représentant du Conseil, hier, nous avons célébré ici même en grande pompe les 70 ans de ce Parlement européen. Il a été largement rappelé que ce qui a fondé notre communauté, ce sont des valeurs européennes, mais en réalité, en Méditerranée, dans la Manche, à toutes nos frontières, ces valeurs sont piétinées.
Face à la détresse de 234 exilés, la France et l’Italie ont fait honte à ces valeurs. Les vies humaines valent pourtant beaucoup mieux que ces postures politiciennes. Les gouvernements dits républicains en Europe ne doivent pas emboîter le pas de l’extrême droite, mais bien au contraire, ils doivent s’unir, forts et sûrs de nos valeurs, pour combattre ses idées, ses procédés ignobles et certainement pas en utilisant sa rhétorique, Monsieur Weber.
Je vous rappelle les chiffres de l’Office international des migrations: 87 % des migrations dans le monde se font dans le pays voisin de celui qui est fui. Nous ne devons accueillir collectivement qu’une infime partie de ces personnes. Or, depuis des années, l’Union européenne a traité les questions migratoires principalement par une surenchère sécuritaire. Et c’est une défaite totale. Pire, une défaite morale.
Et, sommet de l’indignation: certains irresponsables politiques accusent aujourd’hui les ONG qui effectuent le sauvetage en mer, parce que nous ne sommes pas capables de l’organiser, de complicité avec les passeurs. Cessons de criminaliser l’action des ONG, des bénévoles. Il est vraiment temps de se ressaisir et de proposer des solutions, un pacte à la hauteur de l’exigence humanitaire. 
"
Damien CARÊME,2022-10-18,FR,Impact of Russian invasion of Ukraine on migration flows to the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-414-0000_FR.html,"  Damien Carême (Verts/ALE).   – Monsieur le Président, Madame la Commissaire, l’Union européenne et les États membres ont fait preuve d’une exceptionnelle solidarité depuis le début de l’invasion russe de l’Ukraine en accueillant plus de 7 millions de réfugiés. Cet accueil, on le doit surtout aux citoyens européens, vous l’avez souligné. Cet été, 49 % des personnes ayant fui l’Ukraine ont trouvé refuge chez leur famille ou des bénévoles. Mais alors que la guerre s’installe dans la durée, il faut offrir des solutions pérennes.
Alors que les États membres accueillent certains réfugiés fuyant l’Ukraine, ils en discriminent d’autres sur des bases ethniques; ils en refoulent d’autres encore, avec le soutien de Frontex. Alors que la guerre se prolonge, que la déstabilisation des marchés fait craindre le retour des émeutes de la faim, certains collègues dans cet hémicycle s’inquiètent plus des flux migratoires ‒ quelle horrible expression ‒ qui pourraient submerger l’Europe que du sort des pays les plus durement touchés.
Alors que plus que jamais, la situation exigerait une solidarité intra et extra-européenne, ces mêmes groupes politiques qui refusent d’agir sur ces causes bien identifiées voudraient que l’Union européenne réagisse préventivement et violemment sur leurs conséquences pour ne pas avoir à repenser un modèle mortifère et à bout de souffle.
Madame la Commissaire, nous sommes là bien au-delà d’un révoltant deux poids, deux mesures. Il nous faut proposer un modèle de société désirable, écologiquement et socialement juste. 
"
