MP,Date,Language,Title,Url,Content
Daniel CASPARY,2023-11-21,DE,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-164-0000_DE.html,"  Daniel Caspary,  Berichterstatter. – Herr Präsident, geschätzte Kolleginnen und Kollegen! Endlich machen wir heute und morgen den Weg frei für ein neues Handelsabkommen – für unser Abkommen zwischen der Europäischen Union und Neuseeland. Was bedeutet dieses Handelsabkommen? Das Abkommen hilft uns, Bestehendes zu schützen: Wohlstand, gute und sichere Arbeitsplätze bei uns und unsere globale Wettbewerbsfähigkeit. Es bedeutet verbesserte und neue Exportmöglichkeiten für unsere europäischen Unternehmen, auch und gerade für kleine und mittlere Unternehmen. Das Abkommen intensiviert unseren wirtschaftlichen Austausch mit Neuseeland und baut ihn umfassend aus.
Warum brauchen wir dieses und andere Handelsabkommen? Wir Europäer sind heute noch eine weltweite Handelsmacht. Aber wir stehen im ständigen Wettbewerb mit anderen Staaten und Regionen auf der Welt. Nicht alle davon sind demokratisch und arbeiten nach den gleichen Regeln wie wir – man denke z. B. an China. Bisher ist es uns gemeinsam mit unseren Partnern oft gelungen, dem weltweiten Handel durch die Welthandelsorganisation und durch unsere Handelsabkommen Regeln zu geben und den globalen Handel so zu gestalten. Das neue Handelsabkommen ist genau das: ein Werkzeug, um die wirtschaftliche Globalisierung mit Gleichgesinnten, mit vertrauten Partnern in geregelte Bahnen zu lenken, zum Wohle von Bürgerinnen und Bürgern und unseren Unternehmen.
Das Handelsabkommen mit Neuseeland ist das modernste Abkommen, das wir als Europäische Union je abgeschlossen haben. Ein paar Beispiele: Für kleine und mittlere Unternehmen wird eine eigenständige Anlaufstelle geschaffen. Den rasant wachsenden digitalen Handel stellen wir sowohl für Unternehmen als auch für Verbraucher auf bessere, rechtssichere Füße. Nachhaltigkeitsanforderungen und der Klimaschutz werden in Übereinstimmung mit dem Pariser Klimaschutzübereinkommen festgeschrieben, und in Neuseeland wird die indigene Bevölkerung umfassend geschützt. Kurzum: Das Neuseeland-Handelsabkommen ist ein gutes Beispiel für umsichtige, zukunftsorientierte und alle Interessen sinnvoll austarierende Handelspolitik.
Für die Zahlenliebhaber: Für europäische Unternehmen fallen beim Export nach Neuseeland Zollgebühren in Höhe von rund 140 Millionen Euro jährlich weg. Unsere europäischen Unternehmen profitieren davon enorm. Ein paar konkrete Beispiele: Zölle auf Autos von 10 % entfallen – das bedeutet, dass unsere Autos in Neuseeland günstiger und wettbewerbsfähiger werden. Oder auch bei pharmazeutischen Produkten oder Süßwaren sinken sie auf 0 %. Wir können unser Handelsvolumen um bis zu 30 % steigern, und der Umfang von Investitionen in Neuseeland kann sich um bis zu 80 % für unsere Unternehmen steigern, und damit erschließen wir neue Wachstumschancen.
Neue Abkommen rufen immer auch Kritik hervor. Das tut auch uns gut, weil wir entsprechend kritisch draufgeschaut haben. Entscheidend ist jedoch, bei der Kritik hinzuschauen und genau abzuwägen, welche Kritik berechtigt ist und welche nicht. Und deswegen: Ein paar Schlagzeilen und Likes nützen manchen, aber sie haben mit der Realität nicht viel zu tun. Beispiel Klimaschutz: Die Einhaltung des Pariser Klimaschutzübereinkommens ist fest geregelt. Eine Missachtung und Nichteinhaltung dieser Regeln kann folgerichtig zu Sanktionen führen. Auch wird der Ausverkauf unseres hohen europäischen Schutzniveaus, z. B. für Lebensmittelstandards, oder Höchstgrenzen für Pestizidrückstände und anderes kritisiert. Aber auch hier gilt: In keinem der Bereiche weicht das Abkommen auch nur einen Millimeter von unseren Regeln ab, die bei uns schon lange gelten.
Wie geht es also weiter? Wir haben heute die Debatte und morgen die Abstimmung. Ich wünsche mir, dass wir uns mit breiter Mehrheit hinter dieses – aus meiner Sicht – einmalig gute Abkommen stellen. Danach liegt der Ball bei den Mitgliedstaaten, und mit etwas Glück könnte der Rat bereits bei der kommenden Sitzung des zuständigen Rates für Auswärtige Angelegenheiten am kommenden Montag zustimmen.
In dem Sinne vielen herzlichen Dank an alle, die sich in den vergangenen Jahren konstruktiv beteiligt haben. Ich freue mich auf die heutige Debatte und den Austausch. Vielen herzlichen Dank für das Interesse an diesem Thema.
"
Daniel CASPARY,2023-11-21,DE,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-181-0000_DE.html,"  Daniel Caspary (PPE),  Frage nach dem Verfahren der „blauen Karte“. – Sehr geehrte Kollegin Vedrenne! Stimmen Sie mir zu, dass die europäischen Landwirtschaftsexporte bei Weitem über die europäischen Landwirtschaftsimporte hinausgehen – also dass unter dem Strich die europäische Landwirtschaft von diesem Handelsabkommen profitiert?
Und stimmen Sie mir zum Zweiten zu, dass es immer irgendeinen Grund geben wird, warum die französischen Linken gegen jedes Handelsabkommen stimmen werden?
"
Daniel CASPARY,2023-11-21,DE,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-205-0000_DE.html,"  Daniel Caspary,  Berichterstatter. – Frau Präsidentin, geschätzte Kolleginnen und Kollegen! Ich denke, die heutige Debatte hat deutlich gemacht: Es gibt eine parteiübergreifende und sehr breite Unterstützung für unser Handelsabkommen zwischen der Europäischen Union und Neuseeland. In der Debatte wurde deutlich: Das Abkommen wird uns helfen, das, was uns wichtig ist, zu schützen – nämlich unseren Wohlstand, unsere guten und sicheren Arbeitsplätze und unsere globale Wettbewerbsfähigkeit.
Wir Europäer sind heute eine wichtige Handelsmacht, aber wir stehen im ständigen Wettbewerb mit anderen Staaten, und auch das wurde heute deutlich. Dieses Handelsabkommen ist genau ein gutes Werkzeug, um die wirtschaftliche Globalisierung mit gleichgesinnten und vertrauten Partnern in geregelte Bahnen zu lenken. Denn es muss künftig auch im internationalen Handel weiterhin die Macht des Rechts gelten und nicht die Macht des Stärkeren.
Deswegen wurde auch heute deutlich: Das Handelsabkommen mit Neuseeland ist das modernste Abkommen, das wir als Europäische Union je abgeschlossen haben. Es wurden viele gute Beispiele für neue Chancen, neue Perspektiven für unsere Unternehmen und damit auch für unsere Arbeitnehmer gezeigt. Das Abkommen ist ein gutes Beispiel für eine umsichtige, zukunftsorientierte und wirklich gute, alle Interessen austarierende Handelspolitik.
Morgen gilt es. Ich wünsche mir, dass wir uns mit breiter Mehrheit für dieses Abkommen aussprechen. Bitte lassen Sie uns gemeinsam unseren Arbeitgebern und unseren Arbeitnehmern neue Chancen und Möglichkeiten erschließen! Und bitte, sehr geehrter Herr Kommissar, helfen Sie mit, sicherzustellen, dass nach dieser langen Phase auch im Rat die entsprechenden Entscheidungen schnell getroffen werden können, damit das Abkommen schnell in Kraft treten kann! Von Herzen vielen Dank Ihnen und Ihrem Team für die gute Vorarbeit und für den guten Text und herzlichen Dank allen Kolleginnen und Kollegen für die heutige Debatte.
"
Daniel CASPARY,2023-11-08,DE,Urgent need for immediate measures against the rise of antisemitism (statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-061-0000_DE.html,"  Daniel Caspary,  im Namen der PPE-Fraktion. – Frau Präsidentin! Jüdische Schüler, die Angst haben, sich in ihrer Heimatstadt frei zu bewegen. Eltern, die Angst haben, ihre Kinder mit dem öffentlichen Nahverkehr fahren zu lassen. Pöbelnde Demonstranten, die Gäste einer Kaffeehauskette bespucken, weil der langjährige CEO dieser Kette gläubiger Jude ist. Propalästinensische Demonstrationen, bei denen Plakate mit der Relativierung des Holocaust gezeigt werden. Sprechchöre, die die Vernichtung Israels fordern. Seit dem 7. Oktober in Frankreich rund 600 antisemitische Taten und mehr als 300 Festnahmen, in Deutschland über 200 antisemitische Vorfälle. Antisemitismus nimmt massiv zu – in Europa und weltweit.
Der fortdauernde menschenverachtende Terrorangriff der Hamas gegen die Menschen in Israel ist durch nichts zu rechtfertigen. Die mehr als 200 Geiseln sind sofort freizulassen. Der Raketenbeschuss von unschuldigen Zivilisten muss aufhören. Krankenhäuser und Schulen dürfen nicht als Raketenabschussrampen oder Kommandozentralen verwendet werden. Israel hat das Recht, sich zu verteidigen und seine Bevölkerung zu schützen. Und Israel weiß, dass es dabei internationales Recht einhalten muss. Aber wissen das auch die Hamas und andere Akteure in der Region?
Was gilt für uns Christdemokraten? Wir verlieren nicht das Ziel einer Zweistaatenlösung und einer funktionierenden Nachbarschaft der arabischen Welt mit Israel aus den Augen. Wir wollen sicherstellen, dass nicht mit europäischem Geld Terrororganisationen gefördert werden. Wir wollen, dass die europäische Strategie zur Bekämpfung von Antisemitismus und zur Förderung jüdischen Lebens in allen Mitgliedstaaten konsequent umgesetzt wird. Wir wollen einen Dialog mit den Islamverbänden über die Gefahren des muslimischen Antisemitismus führen, und wir verlangen, dass deren finanzielle Förderung an ein Bekenntnis zum Existenzrecht Israels gebunden wird. Wir verlangen von den Mitgliedstaaten, dass vorhandene Strafbarkeitslücken bei antisemitischen Hassdemonstrationen endlich geschlossen werden. Wir erwarten, dass Antisemitismus im Internet konsequent bekämpft wird.
Das sind nur ein paar Beispiele für unsere ganz konkreten Forderungen. Klar ist: Die Menschenwürde und Religions- und Glaubensfreiheit sind unverhandelbar. Sie gelten für alle. Sie zu achten und zu schützen ist Aufgabe aller staatlichen Gewalt. Sie zu achten und zu schützen ist vor allem aber Aufgabe von uns allen.
"
Daniel CASPARY,2023-10-18,DE,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-047-0000_DE.html,"  Daniel Caspary (PPE).   – Herr Präsident! Der menschenverachtende Terrorangriff der Hamas gegen die Menschen in Israel ist durch nichts zu rechtfertigen. Israel hat das Recht, sich zu verteidigen und seine Bevölkerung zu schützen. Ich habe daher kein Verständnis dafür, wie hier einige Redner heute Israel kritisieren. Israel versucht doch redlich, sogar unter Inkaufnahme von Nachteilen, die Zivilbevölkerung zu schützen. Wer Israel so kritisiert, der muss doch wenigstens gleichzeitig die Hamas-Terroristen auffordern, die Geiseln sofort freizulassen, nicht Kommandozentralen und Raketenabschussrampen in zivilen Gebäuden zu verstecken und ihre tausendfachen Raketenangriffe auf die Zivilbevölkerung in Israel endlich einzustellen.
Was ich in Europa sehr gut fand: Bei uns war sehr gut die Reise unserer Kommissionspräsidentin und unserer Parlamentspräsidentin nach Israel. Es war ein starkes Signal, entschlossen, schnell und symbolträchtig. Was mich aber in Europa enttäuscht hat: Ich fand es befremdlich, dass Sie, Herr Außenbeauftragter, die Kommissionspräsidentin dann öffentlich für die Reise kritisieren. Ich wünsche mir, dass wir gerade in diesen schwierigen Zeiten geeint auftreten und mögliche Kritik an unseren Repräsentanten intern formulieren. Lassen Sie uns nach außen gemeinsam auftreten, die Terrorangriffe verurteilen, Israel und alle friedliebenden Menschen in der Region unterstützen und unseren Beitrag dafür leisten, dass es endlich zu Frieden in der gesamten Region kommt.
"
Daniel CASPARY,2023-10-03,DE,Question Time with Commissioners – EU-China trade relations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-311-0000_DE.html,"  Daniel Caspary (PPE).   – Herr Präsident! Wenn wir heute über die Handelsbeziehungen zwischen der Europäischen Union und China sprechen, dann sollte es darum gehen, wie wir diese Beziehungen angesichts der politischen Lage in China im Interesse der europäischen Bürgerinnen und Bürger neu gestalten können. Aber offenbar vertreten nicht alle Mitglieder dieses Hauses auch die Interessen der Europäer. Wie dieser Tage in deutschen Medien zu lesen war, etablierte der Spitzenkandidat der AfD, Herr Maximilian Krah, hier ein chinesisches Lobbynetzwerk. Nach den Medienrecherchen sollen finanzielle Zuwendungen aus Peking an Herrn Krah und an sein Umfeld geflossen sein. Dass Herr Krah beispielsweise gegen die China-Entschließung stimmte und „die angebliche Ausbeutung und Internierung von Uiguren“ in China anzweifelte, erscheint vor diesem Hintergrund in neuem Licht.
Offenbar fungiert der Kollege als Außenstelle der kommunistischen Führung Chinas hier im Europäischen Parlament. Während sich die AfD in Deutschland also nationalpatriotisch zeigt, verkauft sich ihr Abgeordneter hier für kleines Geld an China. Meine Frage an die Kommission ist: Sind Ihnen diese Berichte bekannt? Sehen Sie die Einflussnahme Chinas auch hier im Europäischen Parlament? Und wie stehen Sie zu diesen Vorwürfen?
"
Daniel CASPARY,2023-09-13,DE,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-056-0000_DE.html,"  Daniel Caspary (PPE).   – Frau Präsidentin! In den vergangenen vier schwierigen Jahren haben wir gemeinsam viel erreicht.
Wir sind so gut wie keine andere Region durch die Corona-Pandemie gekommen. Wir haben es geschafft, beim Krieg Russlands gegen die Ukraine in der Frage von Krieg und Frieden zusammenzuhalten. Wir haben es geschafft, den European Green Deal auf den Weg zu bringen und damit unseren Beitrag gegen den menschlichen Anteil am Klimawandel zu leisten.
Vielen herzlichen Dank, Frau Präsidentin, für Ihren unermüdlichen Einsatz in dieser schwierigen Zeit.
Doch bei allem Erfolg – Sie haben es deutlich angesprochen: In manchen Bereichen müssen wir besser werden oder auch einen Neustart hinlegen. Wir müssen jetzt wirklich beweisen, dass Klimaschutz und wirtschaftliche Wettbewerbsfähigkeit Hand in Hand gehen. Wir müssen jetzt wirklich beweisen, dass wir Unternehmertum in Europa wieder mehr Spielraum und Perspektive geben. Wir müssen jetzt wirklich beweisen, dass es mit der Landwirtschaft und den ländlichen Räumen mehr Dialog und weniger Polarisierung gibt. Wir müssen jetzt wirklich beweisen, dass wir politisch die Weichen stellen, dass die Inflation sinkt und die soziale Frage nicht neu aufbricht. Wir müssen wirklich beweisen, dass wir in Fragen der Gemeinsamen Außen-, Sicherheits- und Verteidigungspolitik besser werden und Europa besser nach außen schützen können.
Sie haben heute alle diese Themen angesprochen. Lassen Sie uns Europa gemeinsam zu den nächsten Erfolgen führen.
"
Daniel CASPARY,2023-05-09,DE,"This is Europe - Debate with the Chancellor of Germany, Olaf Scholz (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-080-0000_DE.html,"  Daniel Caspary (PPE).   – Frau Präsidentin! Ich staune und bin schockiert, Herr Bundeskanzler, wie führende Vertreter der Regierungsparteien über Sie sprechen. Jüngstes Highlight ist die Rede von Frau Reintke heute oder auch ihr Namensbeitrag in der gestrigen WELT. Ich zitiere: „Die Enttäuschung bei unseren Nachbarn ist groß. Die Europapolitik des Bundeskanzlers wirft Fragen auf.“ Ich frage Sie, Frau Reintke, welche Europapolitik?
Im letzten Jahr noch blockieren Sie, Herr Bundeskanzler, die Lieferung von Kampfpanzern an die Ukraine, und in ihrer Verzweiflung bringen die deutschen Grünen hier einen Antrag ein, in dem Sie aufgefordert werden, endlich zu liefern. Oder Sie sagen in Ihrer Regierungserklärung vom Februar, dass es eine wirksame Kontrolle der europäischen Außengrenzen braucht, und fast alle Abgeordneten der Ampelparteien stimmen hier im April dagegen. Oder im März stimmen hier die Abgeordneten von SPD und Grünen für die Zwangssanierung von Gebäuden, und wenige Tage danach spricht sich Ihre Bundesbauministerin dagegen aus.
Es ist leider für alle in Europa offensichtlich und auch heute wieder hier: In Ihrer Bundesregierung, in den Ampelparteien und auch bei Ihnen selbst herrschen Selbstbeschäftigung und Chaos statt Ambition und Interesse für Europa, das Europa so dringend bräuchte.
Deshalb sagen in Europa heute auch viele, bei Bundeskanzlerin Merkel hat Europa in Deutschland nicht immer geliefert, aber mit Bundeskanzler Scholz liefert Deutschland in Europa fast immer nicht. Herr Bundeskanzler, es ist Zeit für eine europäische Antwort, aber Ihre Rede heute war das leider nicht.
"
Daniel CASPARY,2022-12-14,DE,Preparation of the European Council meeting of 15 December 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-042-0000_DE.html,"  Daniel Caspary (PPE).   – Herr Präsident, sehr geehrte Kolleginnen und Kollegen! Wir haben in den letzten Tagen erlebt, was es bedeutet, wenn sich die Europäische Union für Rechtsstaatlichkeit einsetzt. Wir haben erlebt, dass der Rat, die Kommission, das Parlament gemeinsam standen, und deshalb haben wir hinbekommen, dass Gelder nach Ungarn nicht ausgezahlt werden.
Sehr geehrter Herr Kollege Vilimsky, das ist auch genau der Unterschied zu dem, was Sie gesagt haben: Bei uns im Europäischen Parlament arbeiten wir nämlich solche Vorwürfe auf. Wenn jemand etwas macht, dann ermittelt die Staatsanwaltschaft, dann ermitteln im Zweifel Polizisten, und das geht dann vor Gericht. Das ist auch der Unterschied zu Ungarn, wo eben Korruption stattfindet und diejenigen nicht angeklagt werden, nicht vor Gericht gehen und wir die Sorge haben müssen, dass dieser Missbrauch nicht geahndet wird. Genau deshalb ist es richtig, dass wir beides machen, nämlich hier im Haus die Vorwürfe aufgreifen und aufarbeiten, aber auf der anderen Seite auch sicherstellen, dass Länder, wo die Regierungen fragwürdig unterwegs sind – wie in Polen oder Ungarn –, die Gelder nicht bekommen. Nehmen Sie das doch bitte endlich mal zur Kenntnis.
Deswegen für das Wochenende: Ich wünsche mir, dass die Staats- und Regierungschefs bei diesem Weg weitergehen, dass die Vorschläge, die die Kommissionspräsidentin heute hier gemacht hat, bei den Staats- und Regierungschefs auch eine Mehrheit finden. Ich denke, wir sind damit auf einem guten Weg, unseren Kontinent in bessere Tage zu führen.
"
Daniel CASPARY,2022-12-13,DE,ASEAN relations ahead of the EU-ASEAN summit in December 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-503-0000_DE.html,"  Daniel Caspary,  im Namen der PPE-Fraktion. – Sehr geehrte Frau Präsidentin, geschätzte Kolleginnen und Kollegen! Wir blicken aus meiner Sicht auf ein erfolgreiches Jahr für die Beziehungen zwischen der Europäischen Union und den ASEAN-Staaten zurück. Gemeinsam haben wir in diesem Jahr das weltweit erste Luftverkehrsabkommen zwischen zwei großen Staatenblöcken, nämlich der ASEAN-Region und der Europäischen Union, unterzeichnet, das den Menschen aus beiden Regionen eine bessere Anbindung ermöglichen wird.
Der neue EU-ASEAN-Energiedialog und die Bemühung der Europäischen Union, den Übergang der ASEAN-Staaten zu sauberer Energie zu unterstützen, sind weitere positive Signale aus diesem Jahr. Gleichzeitig halten wir an dem gemeinsamen Ziel fest, unsere parlamentarischen Beziehungen konsequent weiter auszubauen. Mit Nachdruck müssen wir uns auch weiterhin für die Einrichtung einer gemeinsamen Parlamentarischen Versammlung zwischen der Europäischen Union und den Parlamenten der ASEAN-Staaten einsetzen.
Geschätzte Kolleginnen und Kollegen! Mehr als 60 % der Weltbevölkerung nennen die ASEAN-Staaten ihr Zuhause. Gleichzeitig werden 40 % des Außenhandels der Europäischen Union über die Seewege dieser zehn Staaten abgewickelt. Damit sind Frieden, Sicherheit und Stabilität in Südostasien und der gesamten Region für unsere Partner in den ASEAN-Ländern elementar – aber genauso auch für uns.
Konkret bedeutet das: Unser Ziel, von einer strategischen Abhängigkeit von China wegzukommen, erreichen wir nicht nur durch mögliches Einbremsen von Wirtschaftsbeziehungen zwischen der Europäischen Union und China – das sollten wir nämlich nicht tun –, sondern wir sollten die Abhängigkeit vor allem relativ dadurch senken, dass wir wirtschaftliche Beziehungen mit anderen Staaten intensivieren. Und da bieten sich die wirtschaftlichen Potenziale in den südasiatischen und südostasiatischen Staaten wirklich an.
Seit mittlerweile zehn Jahren versuchen wir als Europäische Union, Handelsabkommen mit verschiedenen ASEAN-Partnern abzuschließen, manchmal mit Erfolg – wie mit Singapur und Vietnam –, manchmal treten wir aber auch auf der Stelle – wie bei Indonesien, Thailand, Malaysia und den Philippinen, um einige Beispiele zu nennen –, und dies bei Staaten, die, wie im Fall Indonesiens mit 270 Millionen Einwohnern, gewaltige Chancen für uns bieten.
Jenseits von Abkommen mit einzelnen Staaten müssen wir auch die Verhandlungen für ein Block-zu-Block-Handelsabkommen zwischen der Europäischen Union und dem ASEAN vorantreiben. Das neue Partnerschaftsabkommen zwischen Australien, Neuseeland und dem ASEAN zeigt eindrucksvoll, was möglich ist, wenn der politische Wille vorhanden ist. Viel zu lange waren wir hier zu träge.
Die Kommission ist nun aufgefordert, zügig Fortschritte zu erzielen – in allen Bereichen, bei Handel, aber auch bei Klima, Sicherheit, Energie und auch den Menschenrechtsfragen. Das Potenzial ist da. Nun gilt es, dieses auch gemeinsam zu heben.
"
