MP,Date,Language,Title,Url,Content
Daniel FREUND,2023-12-13,DE,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-244-0000_DE.html,"  Daniel Freund (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Das Parlament war wahrscheinlich wie selten im Spotlight in den Tagen, nachdem Eva Kaili und andere verhaftet wurden. Jeder in Europa hat die Taschen voller Bargeld gesehen. In den Tagen danach haben wir hier im Parlament eine starke Entschließung verabschiedet – mit einem langen Katalog von Vorschlägen, wie wir in Zukunft verhindern können, dass sich das wiederholt.
Jetzt, ein Jahr später, sehen wir, dass relativ wenig von dem, was wir alle fast einstimmig im letzten Dezember gefordert haben, wirklich umgesetzt ist. Ja, wir müssen jetzt alle unsere Lobbytreffen offenlegen. Ja, wir haben den Hinweisgeberschutz ein bisschen verbessert und ja, wir haben Vermögenserklärungen eingeführt, auch wenn das so richtig erst mit der nächsten Wahlperiode losgeht. Aber wir haben zum Beispiel nicht verboten, dass man sich hunderttausende Euro von Katar oder anderen Staaten bezahlen lässt. Man sagt dann nicht, es ist Korruption, sondern man nennt es einen Beratervertrag – dann ist alles wunderbar in Ordnung.
Aber noch wichtiger ist natürlich, dass die besten Regeln am Ende nicht helfen, wenn sie nicht durchgesetzt werden. Ich muss gestehen, die Verhandlungen, Frau Jourová, sind etwas schleppend. Ich hoffe, wir bekommen ein Gremium, das sich auch mit Einzelfällen auseinandersetzen kann, sonst befürchte ich, das reine Setzen von Regelstandards bringt uns nicht so weiter, wie wir das brauchen.
"
Daniel FREUND,2023-12-13,DE,Planned dissolution of key anti-corruption structures in Slovakia and its implications on the Rule of Law (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-333-0000_DE.html,"  Daniel Freund,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Ich habe ein bisschen ein Déjà-vu. Populist und Putin-Freund kommt an die Macht, und als Erstes zerlegt er die unabhängige Justiz und beseitigt die Korruptionsbekämpfung. Und nein, wir reden ja hier nicht über Viktor Orbán, sondern über seinen Nachbarn Robert Fico. Aber der benutzt das playbook, um jetzt genau nach derselben Manier wie Viktor Orbán eben in der Slowakei den Rechtsstaat zu zerlegen – und danach folgt wahrscheinlich Korruption mit EU-Geldern.
Wir könnten jetzt genauso reagieren, wie wir das bei Ungarn zehn Jahre lang im Grunde nicht gemacht haben: besorgte Reden der Kommission, dann werden Briefe geschrieben, dann beobachtet man sehr aufmerksam die Situation vor Ort. Ob es hilft? Ich wage es zu bezweifeln. Und man muss natürlich sagen, dass, wenn Sie sich von Viktor Orbán so erpressen lassen und jetzt ohne irgendeine Not 10 Milliarden Euro, also im Grunde das größte Bestechungsgeld, was je mit EU-Geldern gezahlt wurde, im Grunde Minuten vor dem EU-Gipfel an Viktor Orbán auszahlen, dann mache ich mir schon erhebliche Sorgen, was das für ein Signal auch an jemanden wie Robert Fico sendet. Der kann doch daraus jetzt nur die Nachricht ziehen: volle Kanne weiter, ohne auch nur einen Moment innezuhalten.
Es ist eine Katastrophe für den Rechtsstaat in der Europäischen Union. Es ist ein Desaster für die Slowakei, für Ungarn, für uns alle hier, wenn wir so mit dem Rechtsstaat in der Europäischen Union umgehen.
"
Daniel FREUND,2023-12-11,DE,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-063-0000_DE.html,"  Daniel Freund,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! In ein paar Monaten gehen wir alle in den Wahlkampf, werden viel Zeit auf Podien, an Wahlkampfständen und im Gespräch mit den Bürgerinnen und Bürgern verbringen. Ich kann Ihnen sagen, eine Frage werden wir wahrscheinlich sehr oft hören – besonders die Kolleginnen und Kollegen von den Konservativen: Warum eigentlich steht der Name von Ursula von der Leyen, der Frau, die sich auf das mächtigste Amt in der Europäischen Union bewirbt, nicht auf dem Wahlzettel? Und ich und viele von Ihnen müssen wahrscheinlich sagen: So richtig wissen wir es nicht, es ist ein bisschen unfassbar.
Also vor vier Jahren – der Kollege hat schon darauf hingewiesen – ist Frau von der Leyen von den Regierungschefs aus dem Hut gezaubert worden und wurde dann nur sehr knapp mit den Stimmen von PiS und von Fidesz gewählt. Da kann man ja noch mal ein Auge zudrücken. Wahrscheinlich wusste Frau von der Leyen vor der Wahl selber nicht, dass sie mal Kommissionspräsidentin werden soll, weil Frans Timmermans und Manfred Weber zu hart mit Viktor Orbán ins Gericht gegangen sind.
Aber dieses Mal wäre es ja eine bewusste Entscheidung gegen die Demokratie – und das eben in einer Partei, wo alle gewählten Bundeskanzler und Bundeskanzlerinnen von der CDU immer angetreten sind. Auch der Vater von Ursula von der Leyen hat natürlich immer seinen Wahlkreis gewonnen – 1978, 1982, 1986 –, dreimal jeweils, bevor er Ministerpräsident in Niedersachsen wurde.
Liebe Kolleginnen und Kollegen, im nächsten Wahlkampf werden wir es oft hören, besonders von den Schreihälsen von rechts: Die Europäische Union sei undemokratisch, Brüssel sei weit weg, niemand von uns sei gewählt. Und genau diesen Populisten würde Ursula von der Leyen natürlich Wasser auf die Mühlen geben, wenn sie nirgendwo auf dem Wahlzettel steht. Die Mitgliedstaaten verhindern europäische Listen, aber natürlich kann von der Leyen in Niedersachsen antreten – alle Spitzenkandidaten sollten antreten. Natürlich gehört es zum Grundprinzip der Demokratie, dass sich Kandidatinnen und Kandidaten vorstellen, dass sie ihr Wahlprogramm erklären und dass wir danach natürlich in Koalitionsverhandlungen darüber gehen, wer die Kommission anführt. Das wäre ein starkes Zeichen für die Demokratie, wenn man sich wirklich zur Wahl stellt.
"
Daniel FREUND,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-269-0000_DE.html,"  Daniel Freund,  Berichterstatter. – Herr Präsident! Die Einführung der globalen Mindeststeuer – Viktor Orbán legt sein Veto ein. EU-Sanktionen gegen Russland – Viktor Orbán legt sein Veto ein. EU-Hilfen für die Ukraine – Viktor Orbán legt sein Veto ein. Veto, Veto, Veto. Liebe Kolleginnen und Kollegen, wir alle hier kennen das Spiel. 
Mittlerweile ist es ja so weit, dass jedes Mal, wenn eine einstimmige Entscheidung ansteht, sofort ein Veto von Viktor Orbán kommt, entweder um EU-Gelder freizupressen oder um ganz im Sinne von Wladimir Putin die EU lahmzulegen. Ein Prinzip, das einmal in die EU-Verträge geschrieben wurde, um einzelne, gerade die kleinen Mitgliedstaaten zu schützen – es wird in sein Gegenteil verkehrt. Es reicht eben, dass ein Staats- oder Regierungschef erpresst wird, bestochen wird, gedrängt wird, und schon ist Europa blockiert. Dieses Veto ist nicht nur undemokratisch, es ist ein Sicherheitsrisiko für die Europäerinnen und Europäer, und deshalb müssen wir es abschaffen.
Das Europäische Parlament geht jetzt einen historischen Schritt. Wir bringen das erste Mal Vertragsänderungen auf den Weg und damit, was Europa wirklich braucht, was die Bürgerinnen und Bürger von uns erwarten: mehr Demokratie, eine starke Demokratie, eine wehrhafte Demokratie. Wir schlagen die Fesseln ab, die Europa zurückhalten. Was wir hier beschließen, hat das Potenzial, Europa wirklich fit zu machen für eine Welt, in der ein wildgewordener Diktator im Kreml wahllos Staaten überfällt und in der wir alle vier Jahre bangen müssen, ob Amerika als Bündnispartner steht. In einer Welt von Trump und Putin kann sich Europa das nicht länger leisten, sich immer nur auf den kleinsten gemeinsamen Nenner zu einigen.
Und ja, ich weiß, gerade rechts außen hier im Europäischen Parlament, da schäumen sie, PiS und Fidesz, Seite an Seite. Wir würden die Nationen abschaffen, wir würden das Sowjetdiktat installieren. Was für ein rechtspopulistischer Unsinn!
Es ist doch kein Zufall, dass jetzt ausgerechnet die auf die Barrikaden gehen, die zu Hause die Demokratie mit dem Vorschlaghammer zerlegt haben, wenn wir hier in Europa die Demokratie ausbauen und stärker machen; dass die, bei denen es bei Europa immer nur ums Geld geht, aber nie um die Europäerinnen und Europäer, jetzt die große Gefahr für unsere Existenz sehen: ein demokratisches Europa, das vorangeht und das seine Werte verteidigt.
Ich weiß, wenn es um Vertragsänderungen geht, dann sagen auch hier im Haus viele: Das ist unmöglich, es ist schwierig, das am Ende durchzukriegen; da gehen die Mitgliedstaaten am Ende eventuell nicht mit. Aber das habe ich seit Beginn der Zukunftskonferenz immer wieder gehört. Und morgen bringen wir jetzt mit einer großen Mehrheit hier in diesem Europäischen Parlament diesen Bericht auf den Weg: Einstimmigkeit abschaffen, dieses Parlament stärken, die Kommission verkleinern, endlich dafür sorgen, dass wir Europas Werte wirklich verteidigen können. 140 Seiten und fast jeder einzelne Vorschlag ist eine kleine Revolution. Ja, wir brauchen für den nächsten Schritt auch die Mitgliedstaaten. Und ja, der Rat hat bisher viel zu wenig getan, um diesen Reformprozess ernst zu nehmen.
Aber denken Sie daran das nächste Mal, wenn Sie frustriert mit den Vertretern der Orbán-Regierung da sitzen, die Ihnen Pamphlete vortragen über die globalistische Weltverschwörung, die die EU regiert. Hiermit, mit dem, was wir vorlegen, gibt es einen Fahrplan für echte EU-Reformen, einen Fahrplan, der die europäische Demokratie stärkt, einen Plan, der Vetos abschafft und Europa in der Welt mit einer Stimme sprechen lässt. Und diesen Plan, den Bericht für eine neue Europäische Union, den legen jetzt wir hier vor aus dem Europäischen Parlament, aus dem Haus der europäischen Demokratie. Ich glaube, es war ein großer Tag – nicht nur für dieses Parlament, sondern ein großer Tag für die Europäische Union.
"
Daniel FREUND,2023-11-21,EN,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-352-0000_EN.html,"  Daniel Freund,  rapporteur. – Mr President, those colleagues that in this debate have spoken the most about sovereignty seem to have the least understood what sovereignty actually is.
We had colleagues here, one of the friends of you, Nigel Farage, who said he is going to bring all that sovereignty back to the United Kingdom. It seems that the kind of sovereignty that he brought back to the UK is more the kind of sovereignty that a country like North Korea really has a lot of: nothing in the supermarkets; no gas at the gas station; no workers to keep the health sector going; the worst economic performance of any developed economy that we have seen since the moment that they left the Union.
So, all of you on the right have abandoned that same dream that, when Nigel left, you were still saying, ‘well, my country is going to be the next that leaves.’ Now you’re not saying that anymore.
Sovereignty on things like climate change, sovereignty on things like taxing large corporations, sovereignty to defend yourself against Russia. None of that sovereignty lies in any of our small Member States. None of us can do that alone. But there is a chance for sovereignty at EU level. If we work together, then we can act on these issues.
So, the question whether abolishing the veto takes away sovereignty from small Member States, it’s the question of: do you want to have a veto in a system that looks like North Korea or do you want to have your democratic say, your votes, in a European democracy that can actually deliver? That’s the question. And I don’t want to go into a North Korea-style system that you guys keep dreaming about.
"
Daniel FREUND,2023-11-21,DE,"Continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-435-0000_DE.html,"  Daniel Freund (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! In Budapest werden wieder Plakate aufgehängt, mit der Kommissionspräsidentin Ursula von der Leyen in der Nähe einer vermeintlich globalistischen Weltverschwörung – also stumpfe Lügen mit einer ordentlichen Portion Antisemitismus, bezahlt mit Steuergeldern. Allerdings muss man sagen, dass Orbán wohl die Ideen ausgehen, denn diese Plakate hatten wir doch alle schon einmal vor fünf Jahren – damals mit Jean-Claude Juncker und mit dem älteren Soros. Also anstatt endlich den Rechtsstaat zu reformieren und damit die 28 Milliarden Euro freizueisen, die die Bürgerinnen und Bürger in Ungarn so dringend brauchen, machen sie Lügenplakate im ganzen Land.
Ich glaube, diese Regierung meint es immer noch nicht ernst mit den Reformen. Ich halte Orbán nicht für einen verlässlichen Verhandlungspartner. Fortlaufend Vetos, Erpressungsversuche – und so richtig verstehe ich nicht, warum sich die Kommission davon auf der Nase herumtanzen lässt. Warum suspendieren Sie nicht die Vorbereitungsgespräche für die Ratspräsidentschaft? Warum wird das Geld, das immer noch fließt, nicht eingefroren – allein dieses Jahr schon 3 Milliarden Euro EU-Gelder, die nach Ungarn gegangen sind?
Und jetzt wird darüber geredet, ob die Vorfinanzierung für REPowerEU nicht doch gezahlt werden soll. Ich halte das für wirklich keine gute Idee. Klären Sie uns bitte auf, dass das nicht passieren wird.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Daniel FREUND,2023-11-21,DE,"Continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-438-0000_DE.html,"  Daniel Freund (Verts/ALE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Ich weiß nicht, ob Sie wissen, wo wir hier sind. Wir sind hier im Europäischen Parlament. Wir machen hier Politik für ganz Europa. Wenn ich mich mit der deutschen Bundesregierung auseinandersetzen wollen würde, dann hätte ich für den Deutschen Bundestag kandidiert – das habe ich nicht. Ich bin hier im Europäischen Parlament, und deshalb beschäftige ich mich damit, was wir in der Europäischen Union tun.
Ansonsten kann ich nur sagen: Sie finden meinen Lebenslauf online. Ich habe noch nie für die Soros-Stiftung gearbeitet. Ich bin sehr stolz, dass ich fünf Jahre bei Transparency International gearbeitet habe – das ist eine andere Organisation, aber das scheint für Sie irgendwie alles eins zu sein. Können Sie aber im Internet nachlesen.
"
Daniel FREUND,2023-10-18,DE,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-255-0000_DE.html,"  Daniel Freund (Verts/ALE).   – Herr Präsident! Dear Tony Murphy, thanks for the good report. Herr Kommissar, jetzt hat Ihnen der Rechnungshof das schlechteste Zeugnis ausgestellt seit vielen, vielen Jahren. Die Fehlerquote geht deutlich nach oben – besonders bei den Kohäsions- und Strukturfonds. Ich habe Ihre Antwort jetzt ein bisschen so verstanden, dass das Zeugnis, das Sie sich selbst ausstellen, deutlich besser ist. Aber ich lese dann noch nicht so richtig heraus, dass Sie die aufgelisteten Probleme jetzt auch wirklich entschieden angehen.
Das, was mir wirklich Sorgen macht, ist: Gerade bei den Kohäsions- und Strukturfonds, da haben wir ja jetzt zum ersten Mal die Situation, dass diese in den zwei Mitgliedstaaten, wo es die größten Rechtsstaatsprobleme und auch Korruptionsprobleme gibt, aktuell auf Eis liegen. Man hört allerdings, dass in Ungarn ein erheblicher Teil der Kohäsionsfonds jetzt freigegeben werden soll, dass man sagt, die Bedingungen wären irgendwie erfüllt. Man hört allerdings auch, dass das passieren soll, weil ja Viktor Orbán an anderer Stelle mit dem Veto blockiert.
Es wäre wirklich gut, wenn Sie da noch mal klarstellen könnten: Wer trifft am Ende genau die Entscheidung, und können Sie uns heute hier versichern, dass diese Entscheidung in der Kommission nicht fällt, bevor wir darüber ausführlich diskutiert haben und unterrichtet wurden in den zuständigen Ausschüssen?
"
Daniel FREUND,2023-10-18,EN,Rule of Law in Malta: 6 years after the assassination of Daphne Caruana Galizia and the need to protect journalists (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-317-0000_EN.html,"  Daniel Freund (Verts/ALE),  blue-card question. – Thank you, Paulo. That was a strong speech in defence of journalistic freedom. I wanted to ask you: often the attacks on journalists don’t start with bombs or murder, but the first step is often that journalists are spied on. A number of governments that have used Pegasus, for example, against journalists – particularly those critical – many of them are EPP-led governments. Do you condemn that with the same verve that you have just used to criticise the Maltese Government? We’d like to hear from you on that.
"
Daniel FREUND,2023-10-18,DE,Rule of Law in Malta: 6 years after the assassination of Daphne Caruana Galizia and the need to protect journalists (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-325-0000_DE.html,"  Daniel Freund (Verts/ALE).   – Frau Präsidentin! Danke, dass Sie eben die Debatte hier erlaubt haben. Ich war in der letzten Woche im polnischen Wahlkampf unterwegs und habe mit mehreren Journalisten von Fernsehsendern und Zeitungen gesprochen in Polen, die ganz erhebliche Sorgen hatten, ob ihr Job noch existiert nach dieser Wahl, ob ihr Medium noch eine Lizenz hat oder ob sie aus dem Markt gedrängt werden.
Ich glaube, das zeigt, liebe Kolleginnen und Kollegen, dass wir auch sechs Jahre nach der Ermordung von Daphne Caruana Galizia immer noch nicht genug tun in Europa, um die Arbeit von Journalistinnen und Journalisten wirklich zu schützen. Oft sind eben Journalisten, die gegen Korruption ermitteln – gerade, wenn es um die politisch Mächtigen geht – die einzigen, die da Sachen an die Öffentlichkeit bringen können. Wenn Journalisten dafür sterben müssen, dann läuft wirklich was schief.
Wir haben mit dem europäischen Medienfreiheitsgesetz jetzt eine erste Reaktion auf den Weg gebracht, und trotzdem macht mir das Sorgen, wenn eine Reihe Mitgliedstaaten sagen, wir machen eine allgemeine Ausnahme für nationale Sicherheit rein, sodass zum Beispiel die Abhörung von Journalisten ohne Kontrolle weitergehen kann. Ich glaube, wir müssen da endlich Ernst machen beim Schutz von Journalistinnen und Journalisten, sonst kommen wir beim Kampf gegen Korruption in Europa nicht voran.
"
