MP,Date,Language,Title,Url,Content
Danilo Oscar LANCINI,2023-11-21,IT,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-187-0000_IT.html,"  Danilo Oscar Lancini (ID).   – Signora Presidente, onorevoli colleghi, domani voteremo l'accordo commerciale UE-Nuova Zelanda, accordo dal valore geopolitico rilevante vista la collocazione nell'indo-pacifico della Nuova Zelanda, che è un Paese distante geograficamente ma vicino all'Unione quanto a valori, interessi, standard e qualità. 
Questo accordo offrirà nuove opportunità per le imprese europee, soprattutto per quanto riguarda le esportazioni di prodotti manufatti, ma anche di quelli agroalimentari, che potranno beneficiare di dazi zero in Nuova Zelanda fin dal primo giorno. 
Inoltre, apprezzo la lista di indicazioni geografiche protette dall'accordo e sono molto fiero del fatto che più di un quarto di queste denominazioni sono prodotti di eccellenza italiani apprezzati in tutto il mondo. Sarà quindi fondamentale garantire un'efficace protezione anche di quelle denominazioni più a rischio del fenomeno dell'Italian sounding.
Voterò a favore dell'accordo ma continuo a sperare che la Commissione consideri, durante i suoi futuri negoziati, l'impatto cumulativo dei diversi accordi commerciali e anche l'introduzione delle cosiddette clausole a specchio. 
Infine, concludo sperando che a breve si trovi una soluzione duratura alla cosiddetta questione dei kiwi, che è particolarmente rilevante per il mio Paese. È importante garantire condizioni di reciprocità per le imprese europee che vogliono investire nella produzione dei kiwi in Nuova Zelanda, evitando però che siano costretti a divulgare informazioni commerciali sensibili per poter poi esportare i propri prodotti.
"
Danilo Oscar LANCINI,2023-10-19,IT,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-071-0000_IT.html,"  Danilo Oscar Lancini (ID).   – Signor Presidente, onorevoli colleghi, carne sintetica e farina di grillo? No, grazie. 
Il cibo è cultura, non una somma algebrica di proteine, grassi e carboidrati. Ecco l'ennesima scelta ideologica di un Parlamento che tutela gli interessi di grandi multinazionali, più che i suoi cittadini, artigiani e contadini.
L'Italia, pioniera di questa grande cultura e tradizione, ha smascherato le vostre bugie. La carne in provetta è un surrogato della carne a base di proteine estratte dai vegetali oppure prodotta artificialmente tramite modifica genetica. Sono alimenti ultratrasformati e non certo a favore dell'ambiente.
Il 95 % degli italiani dichiara che non mangerebbe mai carne sintetica, se arrivasse sul mercato. Io nemmeno. E come darci torto?
Valorizziamo piuttosto un'eccellenza europea, ossia la dieta mediterranea: un'educazione alimentare, nonché un patrimonio da tramandare ai più giovani, che non danneggia, ma anzi valorizza l'ambiente. Con la carne coltivata perderemmo definitivamente il legame tra il cibo e la terra in cui viene prodotto, le conoscenze e le culture locali, il sapere e le tecniche di lavorazione. Non sarà mica questo il vostro obiettivo, vero?
"
Danilo Oscar LANCINI,2023-10-05,IT,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-032-0000_IT.html,"  Danilo Oscar Lancini,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, la rifusione di questa direttiva, il cui impianto iniziale risale al 1991, era un'opportunità per affermare il tema delle acque reflue urbane alla luce dell'evoluzione della ricerca, ma purtroppo, qui, la scienza lascia il passo all'ideologia.
Nonostante il testo che votiamo oggi rappresenti un passo avanti rispetto alla proposta della Commissione, ritengo inaccettabile istituire un sistema di responsabilità estesa del produttore, che non è conforme e soprattutto non è proporzionale al principio ""chi inquina paga"".
Stiamo sottovalutando i costi eccessivi del trattamento quaternario obbligatorio che i produttori dovranno affrontare, costi che poi graveranno sugli utilizzatori finali. Non stiamo tenendo conto delle caratteristiche dei sistemi di raccolta nei vari Stati membri. In Italia, ad esempio, esistono depuratori consortili che raggruppano più comuni. Questo renderebbe il trattamento quaternario obbligatorio a tutti. Inoltre, infine, non giustificano i costi, sebbene sarebbe stato più idoneo prevedere un trattamento quaternario nei soli casi in cui il trattamento terziario non sia sufficiente a eliminare le sostanze microinquinanti. 
Chiudo: per questi motivi voteremo ""meno"" alla relazione in votazione.
"
Danilo Oscar LANCINI,2023-10-03,IT,"Classification, labelling and packaging of substances and mixtures (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-508-0000_IT.html,"  Danilo Oscar Lancini,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, riconosciamo l'importanza della revisione del regolamento CLP, ma riteniamo alcune disposizioni del testo molto problematiche per le nostre industrie. Per questo motivo, con i colleghi parlamentari dei partiti che costituiscono il governo italiano, abbiamo presentato emendamenti che correggono le parti più critiche.
Al contempo, non posso tacere davanti ai comportamenti di associazioni che dovrebbero rappresentare gli interessi del settore produttivo e invece fanno politica. Invero, CEFIC ha fatto retromarcia sulle priorità proposte per il voto in plenaria a causa del supporto del gruppo ID a tali istanze. Comportamenti simili sono stati attuati anche da AISE, che improvvisamente ha deciso di abbandonarne alcune.
È questo che le imprese si meritano da voi? Lasciate la politica a chi è democraticamente eletto. Questo atteggiamento tradisce il mandato conferitovi dal mondo produttivo, composto anche dalle piccole e medie imprese, a cui nulla importa che parte di questi parlamentari italiani siano anche del gruppo ID. Sono questi comportamenti che tutelano imprese e lavoratori? Ribadisco: noi siamo aperti al dialogo e lo riteniamo uno dei punti fondamentali del nostro lavoro.
"
Danilo Oscar LANCINI,2023-07-10,IT,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-073-0000_IT.html,"  Danilo Oscar Lancini (ID).   – Signora Presidente, onorevoli colleghi, non è facile comprendere come parte di questo Parlamento sostenga che le emissioni degli allevamenti possano essere assimilate alle emissioni industriali.
Colleghi di diversi gruppi parlamentari e la stessa commissione AGRI hanno ripetutamente chiesto di trattare industria e agricoltura in modo diverso; non è una questione politica, ma di realtà.
Non possiamo lasciare che sia l'ideologia a imporre ai nostri contadini ed allevatori scelte che li penalizzano, invece di sostenerli come abbiamo sempre fatto. Credete veramente che includere il bestiame nelle emissioni industriali aiuti gli allevatori, la nostra agricoltura? E infine, che porti benefici alle nostre filiere produttive?
Per la Lega non è così, noi giochiamo a carte scoperte e con il voto di domani vedremo chi bara. Vedremo chi vuole veramente sostenere l'agricoltura europea e chi invece, per ideologia o chissà cos'altro, la sta colpendo in modo inaccettabile.
Concludo dicendo che votare a favore dell'agricoltura non è un voto contro l'ambiente, anzi valorizza generazioni di identità e culture tramandate di padre in figlio in molte regioni europee.
Io non credo che si possa pensare di dare ai nostri figli domani, dopo aver sacrificato il mondo dell'allevamento, la farina di grillo o le cavallette.
"
Danilo Oscar LANCINI,2023-05-31,IT,"Geographical Indications for wine, spirit drinks and agricultural products (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-222-0000_IT.html,"  Danilo Oscar Lancini,  relatore per parere della commissione per il commercio internazionale. – Signora Presidente, onorevoli colleghi, finalmente una notizia positiva per l'agricoltura, dopo che l'avete massacrata con norme assurde, come la revisione della direttiva emissioni industriali o la folle etichettatura del vino come nocivo, per non parlare dei tagli della PAC. 
Con le regole IG diamo più tutela alle eccellenze dei territori, li mettiamo al riparo dalle ingiuste incursioni di operatori senza scrupolo e dalle contraffazioni. Le indicazioni geografiche in Europa sono sinonimo di qualità. Territori, piccole imprese, filiere che da decenni dedicano attenzione alla sostenibilità e nel contempo alla produzione di eccellenza. 
Per questo il sistema IG deve essere adottato nel suo complesso all'interno degli accordi commerciali con i paesi extra-UE. È bene che, grazie ai nostri emendamenti, sia stato disciplinato il ruolo di EUIPO. Se alla Commissione rimangono in capo le competenze amministrative, EUIPO entra in gioco quando si tratta di assistere facoltativamente i produttori negli accordi di libero scambio. 
Questo suggerimento, partito da INTA, è stato recepito in AGRI ed oggi contribuirà ad aumentare gli strumenti a disposizione delle nostre filiere produttive. 
"
Danilo Oscar LANCINI,2023-04-17,IT,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-121-0000_IT.html,"  Danilo Oscar Lancini,  a nome del gruppo ID. – Signor Presidente, si vota ETS dopo l'accordo di fine 2022; ancora una volta, un accordo che ci spacciate essere in nome dell'ambiente, che rischia di avere un impatto devastante su cittadini e imprese, portando costi aggiuntivi in uno scenario economico dove l'inflazione ha già livelli preoccupanti.
Vorrei ricordare, cari colleghi, che in un sistema di mercato il prezzo è determinato dalla domanda e dall'offerta, non dalle favole.
Nel 2027 rischiamo che i prezzi del carbonio arrivino ad essere ben al di sopra del limite dei 45 euro sperato dalle istituzioni europee, causando un diretto rincaro per i combustibili fossili come gas, benzina e gasolio.
A denunciarlo non è più solo la Lega, ma anche esperti del settore e autorevoli testate giornalistiche. Cosa voteranno i gruppi di maggioranza, sapendo che il prezzo massimo di 45 euro non è affatto garantito?
Anche l'eliminazione graduale delle quote gratuite alle imprese è troppo rapida. Gli imprenditori già fronteggiano rincari dell'energia e delle materie prime e vivono incertezze nella ripresa, mentre i mercati extra UE sono sempre più competitivi.
La riforma dell'ETS, fatta in questi termini, aiuterà le imprese? Diminuirà i costi per i nostri cittadini? Ci aiuterà a essere più competitivi in un mercato globale o agevolerà i competitor? E se le imprese delocalizzano, salviamo l'ambiente?
Non creiamo false aspettative. Non confondiamo l'ambizione con la follia.
Come gruppo ID richiediamo il rigetto dell'accordo. Serve una nuova proposta della Commissione, che punti sugli obiettivi climatici, ma che supporti le imprese scandendo meglio i tempi e accompagnandola in questa transizione.
"
Danilo Oscar LANCINI,2023-03-29,IT,Fluorinated Gases Regulation - Ozone-depleting substances (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-134-0000_IT.html,"  Danilo Oscar Lancini,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, la revisione del regolamento F-Gas tocca molti settori e avrà un'importanza cruciale per l'industria europea e italiana.
Ancora una volta il Parlamento ha prodotto una relazione che, se adottata, porterà ad un'importante contrazione del fatturato di imprese italiane leader, compromettendo posti di lavoro in Europa e spostando gli investimenti fuori dall'UE.
Questo testo è negativo per l'ambiente, danneggia gli obiettivi di REPowerEU e rallenta la decarbonizzazione e l'indipendenza da combustibili fossili. In alcuni settori, vietare le apparecchiature che contengono F-Gas a effetto serra, anche se a basso potenziale di riscaldamento globale, non è oggi realizzabile rapidamente. Poche apparecchiature che utilizzano F-Gas possono usare fonti alternative, o per mancanza di innovazione tecnologica o perché potenzialmente pericolosi o peggiori da un punto di vista ambientale.
Bisogna riconsiderare la parola ""transizione ecologica"". Dobbiamo tener conto dei tempi, scandirli meglio e condividerli con le industrie. Dobbiamo consentire alle industrie di salvaguardare l'ambiente, i lavoratori, le famiglie e tutto l'indotto colpito da questa revisione. Proseguire in questa impostazione ideologica utilizzata fino ad ora, non aiuta l'economia europea, ma va a danno delle imprese, dei nostri territori e fornisce l'ennesimo assist ai competitor esteri. Questa è una direzione sbagliata, se vogliamo sostenere l'ambiente e la nostra industria.
Noi sosterremo gli emendamenti che presenterà il PPE, perché l'impostazione ambientale è corretta e la condividiamo, siamo tutti a favore dell'ambiente, ma dobbiamo farlo rispettando dei tempi che ci consentono oggi, attraverso le nostre industrie, di poter mantenere il benessere che abbiamo raggiunto.
"
Danilo Oscar LANCINI,2023-02-14,IT,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-045-0000_IT.html,"  Danilo Oscar Lancini (ID).   – Signora Presidente, onorevoli colleghi, signor Commissario, è assolutamente condivisibile puntare a una riduzione delle emissioni di CO2 nel settore dei trasporti, ma tale piano deve avere obiettivi realistici e non produrre aggravi di costi per cittadini e imprese.
L'attuale soluzione in votazione è una sostanziale forzatura verso la sola opzione elettrica, non una scelta del mercato, bensì una imposizione del legislatore e una violazione del principio di neutralità tecnologica. Imposizione che mette sostanzialmente la parola fine a uno dei settori europei di eccellenza a livello mondiale, senza contare l'importanza di tutta la filiera ad esso collegata, dalla componentistica alla manutenzione, e del grande numero di lavoratrici e lavoratori europei impiegati nel settore automotive.
Non ci sono ancora né le infrastrutture né le tecnologie per arrivare ad avviare una simile rivoluzione nel settore dei trasporti. Rischiamo solo di avvantaggiare ulteriormente i nostri competitor internazionali che detengono materie prime e brevetti. Vanno inoltre soppesati i costi ambientali a cui andremo incontro, dall'estrazione delle materie prime allo smaltimento delle batterie a fine vita.
Stiamo passando dalla dipendenza russa con il gas metano a quella dalla Cina con le terre rare e come sempre, purtroppo, saranno le classi meno abbienti e più deboli a pagare il vero prezzo di questa scelta con veicoli sempre più costosi.
"
Danilo Oscar LANCINI,2023-01-16,IT,Shipments of waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-16-INT-1-145-0000_IT.html,"  Danilo Oscar Lancini (ID).   – Signor Presidente, onorevoli colleghi, nel 2020 le esportazioni di rifiuti dell'Unione europea verso i paesi terzi hanno raggiunto i 32,7 milioni di tonnellate, ovvero il 16 % del commercio mondiale di rifiuti. 
La Turchia è di gran lunga la principale destinazione delle esportazioni di rifiuti dell'UE, ricevendo circa 13,7 milioni di tonnellate nel 2020. La maggior parte dei rifiuti esportati al di fuori dell'UE è costituita da rottami metallici ferrosi e non ferrosi, nonché da rifiuti di carta, plastica, tessili e vetro.
Il rottame ferroso è però una materia preziosa ed essenziale per la decarbonizzazione dell'industria siderurgica, ha poco senso esportare rifiuti all'estero quando abbiamo la possibilità di alimentare un ciclo virtuoso di un settore strategico come quello siderurgico. 
Le misure di decarbonizzazione e risparmio energetico, che già interessano tale settore, comporteranno tra l'altro un importante aumento del fabbisogno di rottame nei prossimi anni: per ogni tonnellata di rottame di acciaio riciclato si ottiene un risparmio di 1,5 tonnellate di CO2 e, nel caso di rottame di acciaio inossidabile, questo risparmio è ancora maggiore, arrivando a circa 5 tonnellate di CO2.
Mi chiedo se sia ancora il caso di chiamare e catalogare rifiuti questi materiali divenuti tanto preziosi e strategici per alimentare un ciclo virtuoso nel settore siderurgico. 
Concludendo, è quindi assolutamente condivisibile adottare norme più severe sulle spedizioni di rifiuti, senza dimenticare l'importanza del monitoraggio e di misure antielusione, al fine di non indebolire tali norme, ed è proprio questo il senso degli emendamenti proposti.
"
