MP,Date,Language,Title,Url,Content
David McALLISTER,2023-12-12,EN,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-497-0000_EN.html,"  David McAllister (PPE).   – Mr President, dear colleagues, transatlantic cooperation has been tried and tested over time, but our bond has proven itself time and again, most recently in the response to the Russian war of aggression against Ukraine. Here we have shown remarkable unity, not least by coordinating our military support within the Ukraine Defence Contact Group.
The United States of America is and will be our most important partner and ally as the European Union. People are at the bedrock of this relationship. Bilateral trade and investment supports millions of jobs in Europe and the United States, respectively, and we are each other’s strongest geo-economic base. But indeed, we need to and can do more in order to maximise the added value of transatlantic relations by exploiting the opportunities for cooperation presented by the EU-US security and defence dialogue.
I am convinced that on both sides of the Atlantic there is genuine interest to cement the foundations of a relationship so that we can meet the challenges of the years and decades to come. Let me thank the rapporteur and the shadows for presenting this very good report.
"
David McALLISTER,2023-11-21,EN,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-175-0000_EN.html,"  David McAllister (PPE).   – Madam President, ladies and gentlemen, dear colleagues, this free trade agreement negotiated over the course of four years and signed on 9 July indeed marks a significant milestone in our bilateral relations. It reinforces New Zealand Aotearoa as a valued trade and investment partner and it strengthens the European Union’s presence in the Indo-Pacific.
All in all, as many colleagues have mentioned, this agreement removes trade barriers for companies on both sides, particularly when it comes to tariffs, public procurement and the protection of intellectual property. This promises legal certainty and, hence, ultimately incentives, investment and trade.
Yet this agreement is not merely a trade and investment deal. It is a testament to shared values and mutual trust between two like-minded partners. Just like us, New Zealand adheres to the Paris Climate Agreement, New Zealand is committed to sustainable development and New Zealand is dedicated to core labour standards. In a world facing increasing protectionism, New Zealand and the European Union have together set a positive example and laid an important foundation for fair, rules-based and sustainable trade.
I am glad that all our Member States have understood just how important New Zealand Aotearoa is in this process, and I trust that we will pave the way for the agreement to come into force in the first half of next year.
"
David McALLISTER,2023-11-08,DE,Strengthening the right to participate: legitimacy and resilience of electoral processes in illiberal political systems and authoritarian regimes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-260-5000_DE.html,"  David McAllister (PPE),  schriftlich. – Geopolitical turmoil, chief amongst it the Russian war of aggression against Ukraine and its global repercussions, is both the cause and the consequences of an environment in which democracies are openly challenged. Only 6.1 per cent of the world's population lives in a functioning democracy according to the most recent Global Democracy Index. More than a third of the global population lives under authoritarian rule. Precisely because democracy is the beating heart and core of the European Union’s identity, we need to reinforce the right to participate in the world. Autocracies employ increasingly versatile tools to legitimise elections that are neither fair nor free - be it through fake observers or the abuses of information and communication technology. The European Union needs to strengthen the link between election observation work and our wider support for human rights and democracy. Parliament’s Democracy Support and Election Coordination Group is a dedicated structure that coordinates our work in this area. Over the last year and especially since 2014, our democracy support activities have been ramped up. We have developed expertise and capacity to provide comprehensive assistance to non-EU parliaments through a number of activities undertaken ahead of, during and after elections.
"
David McALLISTER,2023-10-03,EN,Taking stock of Moldova's path to the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-412-0000_EN.html,"  David McAllister (PPE).   – Mr President, as we have heard tonight, President Maia Sandu and her pro-European government are operating in constant crisis mode. And yet, they have succeeded in introducing key legislative initiatives tailored to the nine conditions set by the European Commission. These are tremendous efforts. Soon, the Commission’s upcoming enlargement package will testify to these reforms. It is now up to us in the European Union to live up to our own commitments at a political level. We need to introduce further permanent means of diplomatic engagement, sectoral cooperation and financial assistance. And we need to strengthen the new European Union partnership mission in Moldova. Moldova’s entry into the European Single Market would boost exports, attract investments and foster integration with the European Union. And colleagues, both parties would benefit from starting EU accession negotiations. The citizens of Moldova deserve the perspective of joining our European Union. Mulţumesc.
"
David McALLISTER,2023-09-12,EN,Relations with Belarus (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-518-0000_EN.html,"  David McAllister (PPE),  in writing. – Last week, Mr Lukashenko declared that passports will be issued and renewed in Belarus only. This will effectively leave all those in exile stranded abroad without valid identification. This is another act of subjugation. This is another piece of evidence that the dictator in Minsk is ready to betray his population to secure his own power. Tougher sanctions need to be the consequence – against Lukashenko and all his henchmen that are responsible for violence, for repression and for the complicity in the atrocities committed in Ukraine. While Lukashenko is pushing Belarus ever deeper into the Russian orbit, Sviatlana Tsikhanouskaya, who we will welcome tomorrow noon in this hemicycle, presents a diametrically different vision. Let us elevate our relations with the Belarusian democratic forces to a more formal level. The new Consultative Group is a first step in the right direction. It is our duty – it is our self-interest even – to continue providing the opposition with the resources required to keep the Belarusian democratic dream alive.
"
David McALLISTER,2023-09-11,EN,European Defence Industry Reinforcement through common Procurement Act (EDIRPA) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-051-0000_EN.html,"  David McAllister,  on behalf of the PPE Group. – Madam President, Commissioner, ladies and gentlemen, dear colleagues, as we have stated so often in this plenary, to this day, 80 % of defence equipment is procured at purely national level. 
Not only do we need to invest more in defence but we definitely need to invest better, and better means, of course, more European. Together we get better prices, profit from faster delivery times and avoid a regrettable lack of interoperability in our national capabilities. 
EDIPRA, as previous speakers have pointed out, serves precisely this purpose. This instrument will pool the demand of Member States and incentivise joint procurement by covering the administrative costs related to such cross-border cooperation. 
Small- and medium-sized enterprises are key enablers of such collaborative efforts. I am glad to see their contribution recognised in this instrument. 
But with a budget of EUR 300 million till December 2024, the envisaged financial volume, indeed, falls short of the actual needs that should not be dismissed. 
Yet the political will for the instrument itself is a historic step towards a European Defence Union, because for the first time the collaborative procurement of defence equipment is supported directly from the budget of the European Union. Well done, I say, to the rapporteurs. 
"
David McALLISTER,2023-06-13,EN,Situation in Lebanon (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-283-0000_EN.html,"  David McAllister,  on behalf of the PPE Group. – Mr President, Commissioner, ladies and gentlemen, dear colleagues, for months now, the current situation in Lebanon is extremely alarming. Lebanon has the largest per capita number of refugees in the world. The state is nearly collapsing due to the political, economic, social, financial and health crisis and in the end, a state of institutional breakdown. Since the last general elections in May 2022, which I was able to observe on the ground, a fully-fledged government has still not been formed. Lebanon needs to swiftly elect a president and break the institutional gridlock. Operational and functioning public institutions are urgently required to start pursuing long overdue reforms without any further delay, to strengthen accountability, to increase transparency, and to tackle corruption. 
Colleagues, it is regrettable that the municipal elections have been postponed again. Proper democratic and free local elections must be held without any delay. The European Union should provide technical and financial assistance to enable these elections to be held in the best possible conditions. 
And finally, almost three years have passed since the Beirut port explosion. A transparent, independent, neutral and effective investigation into this explosion must be a priority. Commissioner Lenarčič, given the dire situation in Lebanon, the EU must now engage to prevent the state collapse and to help alleviate the suffering of the Lebanese people with a strong, critical and demanding focus on delivering reforms. 
"
David McALLISTER,2023-06-13,EN,Situation in Nicaragua (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-322-0000_EN.html,"  David McAllister (PPE).   – Mr President, dear High Representative / Vice-President, ladies and gentlemen, look, we have all heard very good arguments from previous speakers. Most of us, apart from a few exceptions, will agree that the authoritarian regime of Mr Ortega and Ms Murillo has systematically undermined Nicaragua’s democratic structures, including the separation of powers, the electoral system and the respect for human rights.
The European Parliament has, rightly so, strongly condemned the repression in Nicaragua, and repeatedly called for the liberation of all political prisoners, for the return to the rule of law and for a dialogue between the regime and the opposition. 
Indeed, the dictatorship of Mr Ortega and Ms Murillo maintained strong ties to the other authoritarian regimes such as Iran, Venezuela and Cuba. It has also been consistently outspoken in its support for the Kremlin, in particular in its voting record at the United Nations. 
High Representative, one point I would like to finally make. We need to make sure that our financial assistance supports the people in need and the country does not end up in the hands of the regime and its associates. European taxpayers hard-earned money must not be misused to legitimise the undemocratic and autocratic regime in Managua. 
"
David McALLISTER,2023-04-18,EN,Situation in Peru (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-289-0000_EN.html,"  David McAllister (PPE).   – Mr President, Peru, as we have heard from so many speakers tonight, is a key partner for the European Union, and we want to deepen and strengthen our close and long-standing relations with this country on the basis of the memorandum of understanding that was signed in October last year.
All of us are very concerned by the social unrest and the political instability that Peru has been going through since December. I deplore at least 67 killed people and more than 1 300 injured in clashes with law enforcement forces since the beginning of the protests. It is essential to end the violence and to investigate any possible violations of human rights. In this highly polarised and unstable context, only a constructive dialogue between the government and all political actors, including the participation of civil society and affected communities, can, in the end, pave the way to a swift political solution that preserves the constitutional order, the rule of law and human rights.
Regaining trust in the democratic institutions is important to ease the current tensions. Therefore, I ask you, dear High Representative, to continue the EU’s full, committed support to the Peruvian efforts in this regard. As part of the EU election observation mission to Peru in 2020, I observed first-hand the electoral system, which has delivered free and fair elections for over 20 years. We as the European Union stand ready to support the democratic system also in the future.
"
David McALLISTER,2023-04-18,DE,"EU Rapid Deployment Capacity, EU Battlegroups and Article 44 TEU: the way forward (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-443-0000_DE.html,"  David McAllister,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar, sehr verehrte Damen, sehr geehrte Herren! Vor drei Wochen hat der Auswärtige Ausschuss über die Lehren aus 20 Jahren Einsatz in Afghanistan beraten. Und eines war, glaube ich, fraktionsübergreifend klar: Die Europäische Union muss künftig in der Lage sein, eine Evakuierungsoperation wie die in Kabul im Jahr 2021 selbst durchzuführen. 
Genau solch einem Zweck dient diese schnelle Eingreiftruppe der Europäischen Union. Mit bis zu 5000 Soldaten, die je nach Bedarf zu Bodentruppen, Luft- oder Seestreitkräften gehören, wird die Eingreiftruppe auf den jeweiligen Krisenkontext zugeschnitten. So unterscheidet sie sich qualitativ und quantitativ von den EU Battlegroups, die zwar seit 2007 einsatzbereit waren und sind, aber aufgrund von mangelndem politischen Willen und fehlender finanzieller Solidarität leider nie entsandt wurden.
Damit die schnelle Eingreiftruppe nicht das gleiche Schicksal erfährt wie ihr Vorgängermodell, bleiben noch manche Fragen zu klären. Das betrifft besonders die Kostenteilung, die Anforderung zur Einsatzbereitschaft parallel zur NATO Response Force und die Befehlsstruktur. Die Mitgliedstaaten müssen die genauen Modalitäten jetzt zügig festlegen, idealerweise noch vor der ersten Übung in diesem Jahr. 
Am Ende, liebe Kolleginnen und Kollegen, steht und fällt das Konzept mit dem echten politischen Willen der Mitgliedstaaten. Gemessen an den Hürden, die die europäische sicherheits- und verteidigungspolitische Zusammenarbeit bisher nehmen musste, ist die schnelle Eingreiftruppe ein Meilenstein. Darauf kann und sollte aufgebaut werden.
"
