MP,Date,Language,Title,Url,Content
Delara BURKHARDT,2023-11-22,DE,"Latest attacks against women and women's rights defenders in Iran, and Iran's arbitrary detention of EU nationals",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-405-0000_DE.html,"  Delara Burkhardt (S&D).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Der monatelang inhaftierte Rapper Toomadsch Salehi ist auf Kaution frei. Die Nachricht, die uns dieses Wochenende erreicht hat, zeigt: Öffentlicher Druck wirkt. Laut sein macht einen Unterschied.
Hinter den oft anonymen Zahlen und Berichten über inhaftierte politische Gefangene stehen Menschen. Menschen und ihre Geschichten über Mut und Widerstand. Mut und Widerstand, den das iranische Regime brechen will. In Isolationshaft mit Folter. Der inhaftierte Rapper Saman Yasin schreibt in Briefen sogar von Scheinhinrichtungen.
Die psychische und physische Gewalt dieses Regimes ist grauenhaft. Es sind Methoden eines Regimes, das nichts mehr hat als diese Gewalt. Es bricht mir das Herz, zu sehen, wie währenddessen in der Diaspora die Fronten sich verhärten, man immer mehr das Trennende sucht, anstatt es gerade jetzt auf die Solidarität, auf den Zusammenhalt ankommen zu lassen – für Saman, für Jamshid, für Arash, für Nahid, für alle politischen Geiseln, für einen freien Iran. Für Frauen, Leben, Freiheit.
"
Delara BURKHARDT,2023-11-21,DE,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-217-0000_DE.html,"  Delara Burkhardt,  im Namen der S&D-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich habe letzte Woche Post bekommen bzw. ein Gespräch gehabt mit den 12-jährigen Schülerinnen Anna und Sabine aus Düsseldorf. Sie haben sich darüber geärgert, dass allein in der Obst- und Gemüseabteilung des Supermarkts so viel Verpackungsmüll anfällt, und mich als Politikerin gefragt, was wir eigentlich dagegen tun. Realität ist, dass Sabine und Anna recht haben. Wir verbrauchen viel zu viel Verpackungsmüll, ob einzeln verpackte Gurken, To-go-Kaffeepappbecher oder die übergroßen Pakete von Onlinehändlern.
Seit 2010 ist unser Konsum von Verpackungsmüll in der EU um 20 % gewachsen. Allein jede und jeder Deutsche sammelt jedes Jahr 225 Kilogramm Verpackungsabfälle an, das ist ungefähr so viel, wie drei Waschmaschinen wiegen – das muss man sich mal vorstellen. Wie Sabine und Anna ärgern sich viele Menschen in Europa darüber.
Eine überwältigende Mehrheit der Bevölkerung verlangt von uns, die Verpackungsberge zu reduzieren. Ich würde mir wünschen, dass die Stimmen von Verbraucherinnen und Verbrauchern hier in diesem Haus genauso viel Gehör finden würden wie einige Fast-Food-Ketten. Noch nie wurde ich von so vielen Lobbyanfragen überschüttet; manche haben dabei die Grenzen des Legitimen überschritten.
Mit pseudoseriösen, unwissenschaftlichen Fake-Studien säen sie Zweifel an der Verordnung, und sie dürfen morgen keinen Erfolg haben. Wir können morgen die Abfallhierarchie scharf stellen, unseren Materialverbrauch in erster Linie reduzieren, denn wir können uns aus unseren Müllbergen nicht rausrecyceln. Dafür brauchen wir mehr Mehrweg, Verbote von wirklich unnötigen Verpackungen und Regeln gegen übergroße Verpackungen.
Wir können Verpackungen, die sich nicht vermeiden lassen, nachhaltiger machen – übrigens auch ein Konjunkturprogramm für die Recyclingbranche, weil nämlich alle Verpackungen ab 2030 recyclingfähig sein müssen und mehr recyceltes Material in Plastiktüten, Flaschen und Boxen vorkommen muss. Wir können Verbraucherinnen und Verbraucher schützen, indem wir gesundheitsschädliche Ewigkeitschemikalien und Bisphenol aus Verpackungen verbannen, die mit unseren Lebensmitteln in Kontakt kommen.
Sabine und Anna haben mir ihre Hoffnung mitgegeben, nämlich dass mehrere Abgeordneten ihre Stimmen ernst nehmen. Und morgen entscheidet sich, wer für wen in diesem Haus abstimmt.
"
Delara BURKHARDT,2023-11-20,DE,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-102-0000_DE.html,"  Delara Burkhardt (S&D).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Luxusvillen, Megajachten, Privatjets – das reichste Prozent der Weltbevölkerung verursacht laut Oxfam so viele klimaschädliche Treibhausgase wie die fünf Milliarden Menschen, die die ärmeren zwei Drittel ausmachen.
Ein Ort, an dem sich die Superreichen tummeln, ist Dubai – eine Stadt, die auf dem Fundament des Ölreichtums und der ständigen Ausbeutung von Ressourcen errichtet wurde. Es fühlt sich ein bisschen bizarr an, dass die diesjährige Weltklimakonferenz gerade dort stattfindet, ausgetragen von den Vereinigten Arabischen Emiraten, die bereits im Vorfeld versuchen, ihre Agenda zur Verlängerung des Zeitalters von Öl und Gas massiv voranzutreiben – und hier müssen wir gegenhalten.
Wir müssen nicht nur über globale Klimapolitik sprechen, sondern über die Gerechtigkeitsfrage dahinter: Was braucht die große Mehrheit der Menschen, die sich nicht aus der Krise herauskaufen können, die schon heute die Auswirkungen des Klimawandels spüren, wegen Erdbeben, Fluten und Stürmen ihre Lebensgrundlage verlieren? Für diese 99 % müssen wir auf der COP kämpfen – für ein Ende der fossilen Subventionen, für eine solidarische Finanzierung der Klimaschäden.
"
Delara BURKHARDT,2023-09-12,DE,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-317-0000_DE.html,"  Delara Burkhardt (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wer als Frau in der Islamischen Republik Iran geboren wird, wird niemals frei sein.
Für meine Familie war es der Grund, das Land nach der Ermordung meines Großvaters zu verlassen. Viele sind geblieben. Und den Widerstand gegen das Regime, den gibt es seit der ersten Stunde. Mutige Menschen wie Narges Mohammadi, die ihr Leben riskieren für einen freien Iran. Der Mord an Dschina Mahsa Amini hat den jahrzehntelangen Widerstand revolutioniert.
Aus einzelnen Bewegungen wurde eine große Bewegung. Ihre Stimme wurde auf der ganzen Welt nicht nur gehört, sondern auch verstärkt – auch hier im Europäischen Parlament. Ein Jahr später ist das Regime blind vor Angst. Ihm bleibt nichts als seine Gewalt. Die Zahl der Opfer, Gefolterten und Inhaftierten steigt täglich. „Im toten Winkel sind all diese Verbrechen“, sagt der Rapper Tomaz Salehi. Wenn wir das als EU mit den Menschenrechten ernst meinen, dann darf es nie wieder tote Winkel für dieses Regime geben.
Trotz aller Gefahr werden in den nächsten Tagen wieder tausende Menschen im Iran auf der Straße sein. Sie riskieren alles. Für Frauen, Leben, Freiheit. Was riskieren Sie, Herr Borrell?
"
Delara BURKHARDT,2023-07-12,DE,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-356-0000_DE.html,"  Delara Burkhardt (S&D).   – Frau Präsidentin! Es ist schon ein starkes Stück, gerade als EVP zu sagen, dass unsere Klimapolitik den rechten Rand stärkt, wenn es die Stimme der AfD war, die dafür gesorgt hat, dass im Umweltausschuss das Gesetz blockiert werden konnte. Das ist zum Glück nicht eingetreten.
Als in Montreal das globale Abkommen zum Artenschutz verabschiedet wurde, wurde das auch von vielen Mitgliedern in diesem Parlament als historisch bezeichnet. Und mit Recht. Was einigen dabei anscheinend nicht bewusst war: Global bedeutet, dass ein Abkommen auch für uns in der EU gilt. Denn auch in der EU geht es der Natur schlecht, und das ist das, was unsere Ernährungssicherheit und unsere zukunftsfähige Landwirtschaft gefährdet.
Ich habe jetzt die Pressemitteilung der EVP heute gelesen, und ja, man möchte, dass das Montreal-Abkommen weltweit umgesetzt wird, aber wenn es dann konkret wird, wird blockiert – mit Scheinaussagen, die sogar Frans Timmermans persönlich vorgeworfen haben, dass er den Weihnachtsmann aus dem finnischen Wald verbannen will. So weit ging es dann in diesem Punkt, und wir müssen uns jetzt fragen: Gibt es Naturzerstörung oder den Weihnachtsmann? Es gibt Naturzerstörung. Dafür müssen wir unsere Hausaufgaben machen. Und das gehen wir jetzt an!
"
Delara BURKHARDT,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-069-0000_DE.html,"  Delara Burkhardt (S&D).   – Frau Präsidentin! Ich glaube, viele von uns hätten gern über die Sorgen und über das Naturwiederherstellungsgesetz gesprochen. Aber statt dem „Wie“ müssen wir hier heute über das „Ob“ sprechen: ob das Europäische Parlament als einzige europäische Institution das Gesetz blockiert. Arbeitsverweigerung statt Lösung.
Es wäre eine große Abstimmung, wenn es nur um die Naturwiederherstellung ginge. Es geht aber auch um die Frage danach, ob eine Mehrheit dieses Hauses hinter dem Rechtskurs von Manfred Weber steht. Für Ihren Machterhalt sind Sie bereit, den demokratischen Verhandlungstisch im Parlament zu verlassen und in einer Fake-News-Kampagne, die Trump neidisch machen würde, zur Blockade politischen Handelns aufzurufen.
Das ist eine Strategie, die wir bereits in Italien, in Schweden und Spanien beobachten können. Sie bilden Allianzen mit Rechts, nicht um Probleme zu lösen, sondern für Posten und Macht. Wir haben hier gehört, dass auch Kolleginnen und Kollegen in der EVP das kritisch sehen. Kommen Sie zurück an den Verhandlungstisch und lassen Sie uns dieses Gesetz Realität werden lassen.
"
Delara BURKHARDT,2023-07-10,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-226-0000_DE.html,"  Delara Burkhardt (S&D).   – Frau Präsidentin! Zweieinhalb Meter lang und anderthalb Meter breit – das ist die Größe einer Isolationszelle im iranischen Evin-Gefängnis. Diskriminierung, Isolation und Folter gehören zum Alltag der Inhaftierten und auch die Ungewissheit, ob und wann man jemals wieder frei ist. Besonders in inoffiziellen Hafteinrichtung der Revolutionsgarden, die euphemistisch „sichere Häuser“ genannt werden, ist Isolation häufig, und für die Angehörigen der Inhaftierten ist dann nicht mal klar, wo sie eigentlich sind.
Seit dem Mord an Jina Mahsa Amini wurden über 20 000 Menschen inhaftiert. Aber auch schon vorher galt: Wen das Regime mundtot machen will, den lassen sie hinter dicken Mauern verschwinden. So auch den Rapper Tumadsch Salehi, der nach 252 Tagen Isolationshaft nun unschuldig zu sechs Jahren und drei Monaten verurteilt wurde. Auch wenn die Aufmerksamkeit schwindet, dürfen wir in diesem Haus nicht aufhören, Menschenrechtsverletzungen des iranischen Regimes zu benennen.
"
Delara BURKHARDT,2023-05-10,DE,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-084-0000_DE.html,"  Delara Burkhardt (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! Diese konservative Erzählung, dass es die Landwirtschaft und den Green Deal auf unterschiedlichen Seiten gibt, finde ich vor allen Dingen eines – pseudosolidarisch. Schon jetzt bedrohen Dürre und Wassermangel nicht nur die Lebensgrundlage unserer Landwirte, sondern auch die Versorgung mit nachhaltigen Lebensmitteln. Die politische Antwort darauf darf aber nicht sein: Alles bleibt so, wie es war, wir bevorteilen Agrarindustrie und lassen kleine und mittlere Höfe sterben. 
Echte Solidarität zeigen wir, indem wir unsere heimische Landwirtschaft mit dem immer krasseren Druck auf dem Weltmarkt nicht alleine lassen. Echte Solidarität in unserer Landwirtschaft zeigen wir, indem wir die Rahmenbedingungen dafür schaffen, damit die gerechte Transformation hin zu einer nachhaltigen und resilienten Landwirtschaft gerade auch für kleine Betriebe gelingt.
Wenn es also der EVP wirklich um die Landwirte ginge und nicht nur darum, deren legitime Zukunftsängste für ihren eigenen Feldzug gegen den Green Deal zu missbrauchen, dann würde ich Ihnen raten, mal ein Drittel des EU-Haushaltes in den Blick zu nehmen – die gemeinsame Agrarpolitik. Hier werden Großgrundbesitzer mit Milliarden gepampert, während diese für die Investition in eine zukunftsfähige Landwirtschaft fehlen.
"
Delara BURKHARDT,2023-04-20,DE,IPCC report on Climate Change: a call for urgent additional action (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-054-0000_DE.html,"  Delara Burkhardt (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! Der UN-Generalsekretär António Guterres hat den IPCC-Bericht eine Überlebensanleitung genannt. Ich habe mir die ganze Debatte jetzt angehört und ich glaube, einige Kolleginnen und Kollegen können wirklich eine Anleitung brauchen, und wir müssen auch entsprechend handeln. Denn die erste Erkenntnis des Berichts, die darf niemals zur Routine werden, nämlich, dass unsere aktuellen Klimamaßnahmen nicht ausreichen und die Klimaschäden schon jetzt spürbar sind.
Aber der IPCC-Bericht gibt uns ja auch eine Anleitung zum Überleben, weil er klar darin ist, dass wir bereits jetzt die nötigen Technologien und das Wissen haben: Solar- und Windenergie, Energieeffizienz, ein anderes Lebensmittelsystem – all das kann große Beiträge mit geringen Kosten liefern. Das ist auch eine Botschaft an all diejenigen, die in dieser Debatte gerade lieber Nebelkerzen zünden – von E-Fuels, die nicht verfügbar sind, oder Atom-Revivals, die viel zu teuer sind –, anstatt im Hier und Jetzt daran zu arbeiten, dass wir mit verfügbaren Innovationen auch die Klimakrise abwenden können.
Apropos Atomenergie: Die wird im IPCC-Bericht gar nicht als Lösung erwähnt. Im Gegenteil, der IPCC-Bericht unterstreicht die hohen Kosten der Atomenergie und ihren geringen Beitrag zur Bekämpfung der Klimakrise.
"
Delara BURKHARDT,2023-04-19,DE,"Keeping people healthy, water drinkable and soil liveable: getting rid of forever pollutants and strengthening EU chemical legislation now (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-157-0000_DE.html,"  Delara Burkhardt (S&D).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Gehört meine Regenjacke jetzt eigentlich in den Sondermüll? Und ist das Backpapier krebserregend? Das sind legitime Fragen, die man Stand heute nicht klar beantworten kann und die spätestens seit dieser Nachricht viele beschäftigen. An 1500 Orten in Deutschland konnten PFAS, sogenannte ewige Chemikalien, nachgewiesen werden. Wasser-, schmutz- und fettabweisend – diese Eigenschaften sorgen dafür, dass wir sie überall finden: Kleidung, Einwegverpackungen, selbst im Blut von Kleinkindern und in der Muttermilch.
Forever chemicals klingt eigentlich auch nach einem schönen Namen für eine Band. Es handelt sich aber um eine Stoffgruppe, die im Verdacht steht, Leber- und Schilddrüsenfunktion einzuschränken und Krebs auszulösen. Ebenso namensgebend wie problematisch: Sie können nicht natürlich abgebaut werden. Das Vorsorgeprinzip sollte unsere Chemikalienpolitik leiten. Gibt es Bedenken, dass eine Substanz die Gesundheit gefährdet, kann das Problem nicht ausgesessen werden – erst recht nicht, wenn weder Menschen noch Umwelt diese Stoffe abbauen können. Das Problem wird durch das Aussitzen eigentlich nur verschärft. Die Europäische Chemikalienagentur muss hier schnell Klarheit schaffen. Wir brauchen klare Ansagen von der Kommission.
"
