MP,Date,Language,Title,Url,Content
Denis NESCI,2023-11-20,IT,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-146-0000_IT.html,"  Denis Nesci (ECR).   – Signora Presidente, onorevoli colleghi, mi rivolgo a quest'Aula nella consapevolezza che le posizioni sulle politiche ambientali adottate dall'Europa sono motivo di divergenza ma l'obiettivo al quale dobbiamo puntare attraverso la nostra azione politica è quella di restituire un pianeta più sostenibile alle nuove generazioni. Ed è proprio per questo che l'uomo deve essere al centro di una strategia economica che non sacrifichi quella visione di sviluppo che serve agli Stati membri per affrontare le grandi sfide che questo contesto storico complesso pone davanti. 
Una legge europea per l'industria a zero emissioni potrà essere condivisa nella misura in cui non costituisca perimetri stringenti perché, se è vero che siamo favorevoli a percorsi di decarbonizzazione, è altrettanto vero che non accettiamo, sulla spinta di un furore ideologico, scelte azzardate che possono compromettere il tessuto sociale nella nostra comunità. 
La direttiva ETS potrebbe insegnare qualcosa ma penso anche che l'iniziativa ""industrie a zero emissioni nette"" potrebbe rappresentare una risposta concreta per bloccare il rischio di una forte delocalizzazione industriale oltreoceano, dovuta alla parallela legge americana IRA che prevede un doping di finanziamenti di Stato per le aziende che si occupano di energia green. 
Ribadisco pertanto che non possiamo più rimandare la possibilità di un Fondo europeo per la sovranità adatto ad evitare la frammentazione del mercato unico ma soprattutto indispensabile per evitare i rischi di indebolimento della coesione europea. 
"
Denis NESCI,2023-10-16,IT,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-129-0000_IT.html,"  Denis Nesci (ECR).   – Signora Presidente, signor Commissario, onorevoli colleghi, STEP guarda al futuro perché consentirà all'Europa di indirizzare i finanziamenti verso settori tecnologici che sono cruciali per la sua leadership e per il rafforzamento del mercato unico.
È una piattaforma che sosterrà lo sviluppo e la produzione di plusvalore nell'Unione dal punto di vista delle tecnologie innovative digitali e delle biotecnologie, riducendo e prevenendo le dipendenze strategiche dagli altri Stati extra-UE. Nell'attuale contesto geopolitico infatti gli investimenti previsti potranno aiutare l'Europa a sviluppare un approccio globale per identificare, valutare e gestire comunemente i rischi per la sicurezza energetica, la catena di distribuzione e di approvvigionamento e la cybersecurity, e per la sicurezza fisica delle infrastrutture critiche.
Per noi la piattaforma va nella direzione giusta, ossia quella di rendere il tessuto economico europeo più competitivo nei confronti degli Stati competitor internazionali, anche mediante la necessaria flessibilità prevista nell'uso delle risorse della coesione, che consentirebbero alle regioni in transizione e nella trappola dello sviluppo di poter risollevare la propria economia e incrementare il livello occupazionale.
Il nostro auspicio è che STEP possa essere solo il primo passo verso l'istituzione di un fondo sovrano europeo, così come preannunciato dalla Presidente von der Leyen, perché solo attraverso questo strumento potremmo intercettare le risorse adeguate e affrontare le sfide della transizione green e digitale, senza aumentare le disparità e favorendo alcuni paesi a discapito di altri. 
"
Denis NESCI,2023-10-03,IT,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-035-0000_IT.html,"  Denis Nesci (ECR).   – Signora Presidente, onorevoli colleghi, revisionare il QFP vuol dire dare una nuova visione agli obiettivi politici che l'Europa si pone nei prossimi anni. Alla luce del nuovo contesto, fortemente stressato dal rialzo continuo dei tassi e dal conflitto in Ucraina, alla Commissione chiediamo di osare di più su tre punti cruciali del quadro, per i quali occorrono coraggio e la consapevolezza che si tratta di passaggi decisivi per la tenuta economica e sociale dell'Europa.
Non c'è alcun dubbio che la guerra in Ucraina ha avuto pesanti ripercussioni su paesi che versano in condizioni di maggiore povertà, come l'Africa. Chiediamo pertanto di indirizzare più risorse alle politiche per l'immigrazione, sia per rispondere alle forti spinte di stabilità sociale e geopolitica dei paesi del Nord Africa, sia per mitigare e governare i flussi che rischiano di incidere pesantemente su territori di frontiera, come l'Italia.
Pretendiamo, inoltre, che la revisione preveda più risorse sul meccanismo di flessibilità, attraverso cui sarebbe più facile mobilitare i fondi di coesione, per esempio, e garantire più competitività per l'economia e i mercati degli Stati membri.
Infine, accogliamo con favore l'attenzione posta sulla capacità di investimenti per la nuova piattaforma STEP, perché senza questo approccio è difficile proiettarsi nelle sfide alle quali l'Europa è chiamata.
"
Denis NESCI,2023-06-12,IT,Competition policy - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-136-0000_IT.html,"  Denis Nesci (ECR).   – Signor Presidente, onorevoli colleghi, permettetemi innanzitutto di rivolgere, in questa importante Aula, un pensiero commosso per la scomparsa di Silvio Berlusconi, Presidente e fondatore di Forza Italia. 
La sua personalità ha segnato la storia del nostro paese. Un visionario che ha saputo interpretare i valori della libertà come pietra angolare del suo impegno professionale e politico. Il centrodestra italiano ed europeo gli devono molto. La mia sincera vicinanza alla sua famiglia, ai colleghi di Forza Italia e ai colleghi del PPE. 
Signora Commissaria, per quanto riguarda la politica di concorrenza, questa deve essere in grado di salvaguardare la competitività globale delle nostre aziende europee e, al tempo stesso, contribuire fortemente a difendere e tutelare il benessere dei consumatori, della comunità e delle persone più vulnerabili. Per conseguire questi obiettivi è evidente che le norme europee debbono essere concrete e realistiche, ponendo al centro sempre la difesa del consumatore. 
Inoltre, è indispensabile che le normative europee garantiscano agli Stati membri la giusta flessibilità per incentivare la crescita ed evitare invece di adottare provvedimenti che violano il mercato interno. Pertanto, dobbiamo lavorare alla costruzione di un'Europa del consumatore sempre più vigorosa, più prossimale e soprattutto in grado di essere all'altezza del loro aspettative e delle loro esigenze. 
"
Denis NESCI,2023-05-09,IT,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-053-0000_IT.html,"  Denis Nesci (ECR).   – Signor Presidente, onorevoli colleghi, pur riconoscendo lo sforzo del tentativo di superare la rigidità delle attuali norme finanziarie europee, dobbiamo sottolineare che le scelte della Commissione non tengono in considerazione l'alterazione di uno scenario fortemente condizionato da guerra, inflazione e crisi energetica, con gli effetti collaterali in termini economici che ne sono scaturiti.
Puntare su transizione verde, digitale e difesa, ignorando queste priorità nel calcolo del rapporto deficit/PIL e dunque nelle nuove regole della governance europea, sarebbe un errore di valutazione politica.
Per rilanciare la nostra competitività abbiamo bisogno di una politica economica adeguata e solida, accompagnata da regole che dovrebbero essere predisposte per andare incontro alle esigenze degli Stati membri. Pertanto l'esclusione delle spese di investimento dal calcolo delle spese-obiettivo su cui si misura il rispetto dei parametri, inclusi quelli del PNRR sul digitale e transazione verde, sarebbe stata la strada da percorrere, per limitare i vincoli che impediscono il pieno sviluppo degli asset economici del nostro Paese.
L'auspicio è che, durante le negoziazioni, il testo finale venga migliorato per raggiungere un maggiore equilibrio tra i due fattori, stabilità e crescita, entrambi necessari.
"
Denis NESCI,2023-04-20,IT,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-080-0000_IT.html,"  Denis Nesci,  a nome del gruppo ECR. – Signora Presidente, signor Commissario, colleghe e colleghi, rispetto al quadro di crisi temporaneo adottato dalla Commissione europea il 23 marzo dello scorso anno e il 9 marzo del 2023 per consentire agli Stati membri di sostenere l'economia in un contesto di crescente inflazione, il mio auspicio è che l'alleggerimento degli aiuti di Stato non favorisca solo alcuni Stati membri, ma garantisca un processo di coesione e di convergenza che corregga gli squilibri regionali e al contempo eviti di ampliare i divari territoriali e le distorsioni del mercato unico.
Come ho più volte ribadito, penso che sia indispensabile lavorare a una modifica del regolamento de minimis per dare più certezza ad alcune misure strutturali già autorizzate sotto il regime degli aiuti di Stato e finanziate dalla politica di coesione, perché i territori che soffrono di svantaggi gravi e soprattutto che devono ridurre un gap economico rispetto ad altre realtà nazionali hanno costi aggiuntivi che si traducono in deficit di competitività per le imprese e di attrattività per la nascita o l'insediamento di nuove imprese di grandi e medie dimensioni.
Le crisi economiche, Covid, energetiche, inflazionistiche e climatiche infatti hanno dilatato il ritardo delle regioni meno sviluppate e in una fase di cosiddetta transizione, per non parlare dei territori montani, insulari, scarsamente popolati e quelli rurali. Molte regioni dell'Unione europea sono anche a rischio di trappola dello sviluppo.
Penso pertanto che sia necessario prevedere di scomputare dal calcolo del deficit le quote di risorse nazionali destinate agli interventi della coesione, al fine di garantire una vera addizionalità delle risorse. Perché il tema degli aiuti di Stato, anche alla luce delle azioni intraprese da Stati competitor internazionali, come gli Stati Uniti, con l'attuazione dell'IRA, richiede una risposta tempestiva e condivisa dell'Europa, tenendo conto anche della distribuzione ampiamente disuguale delle sovvenzioni statali all'interno dell'Unione, e soprattutto della disparità riguardo allo spazio di manovra fiscale.
Questo approccio sarà fondamentale non solo per la tutela dell'integrità del mercato interno, ma anche per rafforzare la competitività del nostro sistema industriale e produttivo.
"
Denis NESCI,2023-04-19,IT,Digital euro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-236-0000_IT.html,"  Denis Nesci (ECR).   – Signor Presidente, signora Commissaria, colleghi, il progetto dell'euro digitale potrà rappresentare un nuovo fondamento dell'economia digitale europea che, come indicato anche dalla BCE, ha intenzioni assolutamente condivisibili, quali il rafforzamento del ruolo dell'euro e il sostegno alla digitalizzazione. Inoltre consentirebbe ai consumatori una rapida modalità per i pagamenti.
Tuttavia, vorrei porre delle questioni che riguardano innanzitutto la diffusione, l'accessibilità e la possibilità di eseguire pagamenti offline in qualsiasi condizione. Potrebbero poi emergere dei rischi per la stabilità finanziaria, cioè occorre capire se il servizio sarà a pagamento o meno. 
Per il primo caso, la moneta digitale potrebbe diventare un perfetto sostituto dei depositi bancari, limitando il ruolo delle banche e, aggiungo, in questo caso occorre fare un'ulteriore riflessione anche sul regolamento sui pagamenti istantanei, che proprio in questi mesi negozieremo, per evitare quindi di creare duplicati o sovrapposizioni non necessarie. Nel caso venisse concesso in maniera totalmente gratuita, il rischio potrebbe verificarsi in fasi di elevata instabilità finanziaria, dove ci troveremmo di fronte a una corsa all'euro digitale dei depositi bancari.
Quindi, sono d'accordo a portare avanti il progetto sull'euro digitale purché sia chiaro, facile da utilizzare e sicuro e permetta di effettuare pagamenti online anche a chi oggi è escluso dal sistema finanziario, e quindi risulti un valore aggiunto per i consumatori.
"
Denis NESCI,2023-03-14,IT,European Semester for economic policy coordination 2023 - European Semester for economic policy coordination: Employment and social priorities for 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-142-0000_IT.html,"  Denis Nesci (ECR).   – Signora Presidente, Commissario, onorevoli colleghi, le scelte economiche e politiche che faremo nei prossimi mesi saranno decisive per le generazioni future. Per il rilancio della competitività europea, la strada da seguire non è quella del rialzo dei tassi di interesse, che già ha avuto un impatto negativo su consumatori, famiglie e imprese, ma occorre mettere in campo una solida politica industriale e commerciale. 
L'istituzione di un fondo sovrano europeo dovrà appunto essere il perno su cui la nuova programmazione dovrà svilupparsi. Ma prima di tutto è perentorio rivedere le regole delle politiche di bilancio degli Stati membri, che evidentemente non sono più adatte all'attuale contesto socioeconomico. 
La comunicazione della Commissione, benché costituisca un primo passo nella giusta direzione, è ancora lontana dalle esigenze degli Stati e, soprattutto, presenta diversi nodi da sciogliere. Mi riferisco in particolare all'ambito di applicazione, al potere della Commissione e all'imposizione di un tetto pluriennale della spesa pubblica. 
Infatti, d'accordo con il premier Giorgia Meloni, penso che il futuro Patto di stabilità e crescita debba tenere maggiormente in considerazione il tema dell'equilibrio tra questi due valori: stabilità e crescita, entrambi necessari. 
Pertanto, auspichiamo che la proposta della Commissione valuti di non calcolare nel deficit gli investimenti pubblici a favore di innovazione, ricerca e infrastrutture. 
"
Denis NESCI,2023-02-15,IT,European Central Bank - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-280-0000_IT.html,"  Denis Nesci (ECR).   – Signora Presidente, onorevoli colleghi, signora Commissaria, signora Presidente Lagarde, come dice lei, la fiducia è un elemento trainante dell'economia, ma il trend di rialzo dei tassi rischia di interrompere la fiducia, che è il motore stesso dell'economia.
Il rialzo dei tassi di interesse della BCE, attuato nel mese di marzo, e quello da lei preannunciato per il mese di marzo generano preoccupazione. La lieve ripresa economica europea, nell'incerto scenario economico che stiamo attraversando, rischia di essere arrestata dalle soluzioni che la BCE sta attuando. Pertanto, questa strada potrebbe frenare l'economia e ridurre la liquidità sui mercati e sugli investimenti per la crescita. 
I dati delle maggiori associazioni di riferimento evidenziano che i tassi di interesse dei prestiti e dei mutui hanno sfondato la soglia del 3 %. Il contesto socioeconomico, già fortemente stressato dalla guerra e dal caro energia, deve essere considerato alla luce del nuovo aumento dei tassi di interesse che la BCE ha inteso attuare per marzo. Dunque, la strategia messa in campo dalla BCE potrebbe condizionare negativamente le prospettive economiche per i prossimi mesi per consumatori, famiglie e imprese e potrebbe penalizzare l'intero sistema economico europeo.
"
Denis NESCI,2023-01-17,IT,Consumer protection in online video games: a European Single Market approach (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-129-0000_IT.html,"  Denis Nesci (ECR).   – Signor Presidente, signor Commissario, onorevoli colleghi, per il settore dei videogiochi online, è indubbio che occorra un approccio a livello di mercato unico europeo, perché nella grande platea dei consumatori un ampio spazio è ricoperto dai minori. Pertanto, una risoluzione che vada nella direzione dell'irrobustimento della protezione degli utenti è un passo importante per la costruzione di un ambiente online sicuro per tutti i fruitori. 
In questo senso, il sistema di etichettatura PEGI, attuato solo in alcuni paesi membri, risulta essere uno strumento efficace nel fornire informazioni sull'età minima raccomandata e nel proteggere i minori da contenuti inappropriati nei giochi e nell'intercettare gli elementi d'azzardo come scrigni con vincite aleatorie e scatole misteriose a pagamento, i cosiddetti loot box. 
Ma questo rischia di non bastare se l'Europa non riuscirà a garantire un'ulteriore protezione dei consumatori attraverso un'attuazione capillare del sistema PEGI nei diversi tipi di giochi disponibili sul mercato e soprattutto in Europa. Non è da sottovalutare il fatto che il volume dei giochi online stia assumendo dimensioni sempre maggiori. 
L'Unione dunque dovrà adottare misure in grado di governare il fenomeno a tutela dei consumatori e soprattutto delle giovanissime generazioni. Il rischio è quello di esporli a un percorso diseducativo e fuorviante rispetto ai valori di svago e di intrattenimento ai quali i videogiochi online dovrebbero riferirsi, perché sono convinto che i giochi digitali possano avere un ruolo decisivo per lo sviluppo dei minori e dei ragazzi in età adolescenziale solo se in grado di favorire processi di approfondimento e di acquisizione di nuove competenze e soprattutto in grado di stimolare la loro creatività. 
"
