MP,Date,Language,Title,Url,Content
Dennis RADTKE,2023-11-08,DE,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-231-0000_DE.html,"  Dennis Radtke (PPE).   – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Für uns als EVP-Fraktion ist klar: Wir müssen den Beweis antreten, dass „Löhne und Wachstum rauf“ und „Emissionen und Umweltbelastung runter“ zusammen geht. Sonst wird uns bei unseren ambitionierten Zielen international niemand folgen. Und für mich ist auch klar: Umweltschutz, Klimaschutz werden wir nur erreichen mit der Industrie als Partner und nicht mit der Industrie als Gegner.
Ich meine, nach vier Jahren sozialdemokratischer Industriepolitik hier in diesem Haus verwundert einen ja gar nichts mehr. Aber es ist schon erstaunlich, wenn vor drei Wochen der SPD-Vorsitzende in Deutschland erklärt, die SPD stehe ohne Wenn und Aber zum Industriestandort Deutschland. Da habe ich ihm klipp und klar gesagt: Es wäre toll, wenn Sie es nicht nur sagen, sondern wenn Ihre Genossinnen und Genossen in den Parlamenten das bei ihren Entscheidungen auch beherzigen würden.
Die SPD, die Sozialdemokratie in diesem Hause, steht eben nicht für den Erhalt von hochwertigen Industriearbeitsplätzen, sondern sie steht an der Spitze der Gegenbewegung! Das ist die traurige Realität. Das wurde hier und heute auch angekündigt. Die EVP steht für einen anderen Kurs: Industrie als Partner für Klimaschutz und Umweltschutz. Und darum geht es morgen. Und dafür werbe ich.
"
Dennis RADTKE,2023-10-17,DE,International Day for the Eradication of Poverty (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-077-0000_DE.html,"  Dennis Radtke,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Eigentlich ist es traurig, dass es für einige notwendig ist, dass wir internationale Tage für dies, das und jenes brauchen, um die Sinne für das zu schärfen, was sich direkt vor unseren Augen abspielt. Wenn wir das Beispiel Obdachlosigkeit nehmen, dafür brauchen wir eigentlich keinen Internationalen Tag zur Armutsbekämpfung, sondern Obdachlosigkeit, da stolpern wir fast drüber, wenn wir in Brüssel aus dem Europäischen Parlament gehen, weil die Obdachlosen rund um das Parlament ihr karges Dasein fristen. Wenn wir Kinder in Armut sehen wollen, Kinder, die keinen Zugang zu sauberem Trinkwasser, zu guter Bildung und zu vernünftigen Lebensmitteln haben, da brauchen wir nicht in südamerikanische Slums zu fahren oder nach Afrika, dann reicht ein Besuch in einer Roma-Community in Rumänien, Bulgarien oder in der Slowakei. All das findet vor unserer Haustür statt.
Deswegen ist es gut und richtig, dass sich die Europäische Union engagierte Ziele gesetzt hat bei der Reduktion von Armut. Der Kommissar hat gerade noch einmal auf die Zahlen hingewiesen: Mindestens 15 Millionen Menschen sollen aus Armut bzw. Armutsgefährdung herausgeführt werden. Diese Ziele sind sehr ambitioniert, weil natürlich Armutsgefährdung durch die Inflationskrise, durch den Druck, durch die Entwicklung bei allgemeinen Lebenshaltungskosten noch einmal zunimmt. Aber es ist wichtig, dass wir uns diese Ziele gesetzt haben. Ich finde, bei allen Debatten über Subsidiarität und bei der Frage, wer für was zuständig ist: Natürlich ist die Europäische Union an vielen Stellen nicht originär für diese Themen zuständig. Aber wir sind der Motor in einer Entwicklung, und wir müssen auch dafür Sorge tragen und die Mitgliedstaaten antreiben, dass die Ziele, die wir uns gemeinsam gesetzt haben, zu denen sich alle Staats- und Regierungschefs bekannt haben in der Europäischen Union, dass diese Ziele auch Stück für Stück umgesetzt werden.
"
Dennis RADTKE,2023-10-03,DE,"Classification, labelling and packaging of substances and mixtures (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-503-0000_DE.html,"  Dennis Radtke,  im Namen der PPE-Fraktion. – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Ich möchte zunächst einmal der Kollegin Maria Spyraki ganz herzlich zu ihrer herausragenden Arbeit gratulieren und mich dafür auch bedanken. Gerade bei diesem technischen Dossier, die unterschiedlichen Enden zusammenzubinden, um einen realistischen Entwurf hinzubekommen, ist eine schwierige Aufgabe.
Die EVP-Änderungsanträge 101, 102, 103 bieten, glaube ich, die Chance, die guten erreichten Kompromisse noch ein Stück weit besser zu machen. Mir ist auch wichtig, noch mal darauf hinzuweisen, dass die Frage der Schriftgröße und auch die Frage der Umsetzungsfristen für die Unternehmen − das wird ja morgen noch einmal ein Thema sein, hoffentlich auch in den Trilogverhandlungen noch einmal ein Thema sein.
Denn insgesamt dürfen wir eins nicht vergessen: Ja, Chemie muss sicher sein. Deswegen haben wir auch weltweit das schärfste Chemikalienrecht. Deswegen ist unser Chemikalienrecht international der Goldstandard. Aber wir müssen auch dafür Sorge tragen, gerade in der jetzigen Situation, in der jetzigen Krise, dass es für die chemische Industrie am Ende auch leistbar bleibt.
Ich habe ein Leben vor der Politik. Ich habe in Deutschland bei der Chemiegewerkschaft gearbeitet, und deswegen weiß ich aus eigener Erfahrung: Chemie steht für hohe Löhne, für hohe Tarifbindung, für mitbestimmte Arbeitsplätze, für hochinnovative Arbeitsplätze. Und ich erwarte auch von der EU-Kommission − Kommissar Schinas hat darauf hingewiesen: Chemiestrategie −, dass wir auch alles dafür tun, dass diese Industrie als wichtiges Rückgrat für wirtschaftliches Wachstum in Europa auch weiterhin ein Zuhause hat und eine gute Zukunft hat.
"
Dennis RADTKE,2023-09-14,DE,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-090-0000_DE.html,"  Dennis Radtke,  im Namen der PPE-Fraktion. – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen und Kollegen! Ich finde, die Debatte könnte eigentlich kaum zu einem besseren Zeitpunkt stattfinden.
Ich möchte aber an der Stelle ergänzen: Die Debatte hätte auf jeden Fall deutlich mehr Aufmerksamkeit verdient. Weil, wenn wir über die Männer und Frauen reden, die sowohl bei den verheerenden Bränden, die wir diesen Sommer gesehen haben, als auch bei den nicht minder verheerenden Fluten – wir reden über die Männer und Frauen, die dort in der ersten Reihe gegen Feuer und die Fluten ankämpfen –, wenn wir über sie und ihre Arbeitsbedingungen sprechen, dann ist es eigentlich schon traurig, dass wir auf der Besuchertribüne mehr Zuhörer haben als hier im Plenarsaal.
Aber trotz alledem, für uns als EVP-Fraktion: Wir legen seit langem den Finger in die Wunde und wir werden auch heute nicht aufhören, sowohl die Kommission als auch die Mitgliedstaaten aufzufordern, in die Feuerwehren zu investieren, weil die Wichtigkeit der Aufgabe, die dort von den Männern und Frauen geleistet wird, steht an vielen Stellen leider in keinem Verhältnis zu der Ausrüstung und zu den Arbeitsbedingungen, unter denen und mit denen diese Arbeit geleistet werden muss. Und hier muss dringend etwas passieren.
Wenn wir uns den Arbeitsschutz ansehen: Arbeitsschutz ist so organisiert, dass er sich im Grunde für eine Gruppe von Arbeitnehmern oder die Masse der Arbeitnehmer an Belastungen orientiert, die im Durchschnitt erfolgen, also Substanzen, denen man im Durchschnitt einen bestimmten Zeitraum ausgesetzt ist. Bei Feuerwehrleuten funktioniert es aber ganz anders, weil sie für kürzere Zeiträume viel höheren Konzentrationen ausgesetzt sind.
Dragoş hat darauf hingewiesen: Das Risiko der Krebserkrankung ist 300 % höher als bei anderen Arbeitnehmern. Darauf müssen wir als Politik eine Antwort geben und den Arbeitsschutz anpassen.
Und eine letzte Bemerkung: Die Besonderheit, die Trennung zwischen Berufsfeuerwehr und Freiwilliger Feuerwehr: Da ist es dringend notwendig, dass die Kommission hier endlich für Rechtssicherheit bei der Arbeitszeitrichtlinie sorgt, um die Struktur der Freiwilligen Feuerwehren nicht zu gefährden.
"
Dennis RADTKE,2023-06-13,DE,Quality traineeships in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-494-0000_DE.html,"  Dennis Radtke (PPE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Ich darf wirklich sagen an der Stelle, dass ich sehr froh bin über das Ergebnis, das hier durch die Schattenberichterstatter vorgelegt worden ist.
Ich will an der Stelle mal daran erinnern: Als wir darüber gesprochen haben, wie wir mit der Jugendgarantie weitermachen wollen, da habe ich immer darauf hingewiesen, dass für mich erst einmal viel wichtiger ist als die Debatte, wie viel Geld wir weiter in die Jugendgarantie der EU stecken wollen, dass wir eine Debatte über Qualität von Praktika führen, weil es wenig Sinn macht, Milliardenbeträge in Bereiche umzuleiten, wo am Ende nicht einmal die geringsten Qualitätsstandards von Praktika erfüllt werden. Und diese Diskussion haben wir jetzt.
Einen zweiten Teil führen wir fort, mit dem wir in der Mindestlohnrichtlinie begonnen haben, nämlich über die Frage: Wie sollen eigentlich Praktika fair und angemessen vergütet werden? Für mich ist auch klar, es muss Unterschiede geben: Ein einwöchiges Schulpraktikum ist etwas anderes als ein dreimonatiges, fünfmonatiges, siebenmonatiges Praktikum, aber das, was hier vorliegt, bietet den richtigen Rahmen dafür. Dazu herzlichen Glückwunsch. Ich bitte um Zustimmung.
"
Dennis RADTKE,2023-06-12,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-210-0000_DE.html,"  Dennis Radtke (PPE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich beteilige mich gerne an der Verabredung zwischen einigen Kollegen hier, das Thema Elternzeit für Abgeordnete endlich hier ins Rollen zu bringen. Ich bin selber Vater von zwei Kindern, und ich habe wie alle anderen, die hier während der Parlamentswahl Vater geworden sind, keine Gelegenheit gehabt, Elternzeit zu nutzen. Ich habe, um bei der Geburt meiner Kinder dabei sein zu können, blaumachen müssen und meine Pflichten als Abgeordneter hier schwänzen müssen, weil es mir natürlich auch einfach wichtig war, bei der Geburt meiner Kinder dabei zu sein.
Und die COVID-Zeit, finde ich, hat uns gezeigt, was über das Online-Tool möglich ist. Und ich finde, es ist jetzt höchste Zeit, dass wir darüber reden, wie wir die Möglichkeiten, die wir in der COVID-Pandemie erfolgreich erprobt haben, jetzt auch so zum Einsatz bringen können, dass Elternsein und Abgeordnetersein kein Widerspruch ist, sondern dass Männer und Frauen hier im Parlament auch die Chance haben, ihrer Verantwortung als Elternteil über Elternzeit nachzukommen.
"
Dennis RADTKE,2023-05-31,DE,Strengthening social dialogue (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-275-0000_DE.html,"  Dennis Radtke,  im Namen der PPE-Fraktion. – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Ich kann Dragoș Pîslaru nur recht geben: Es ist schade, dass eine Debatte, die so wichtig ist für die Frage „Wie geht es weiter voran mit dem sozialen Europa?“ zu einer solchen Randzeit stattfindet. Aber das Wichtigste für mich ist erst einmal, dass diese Debatte stattfindet.
Der Kommissar hat gerade darauf hingewiesen: Wir als Parlament versuchen wirklich alles, um den sozialen Dialog auf der europäischen Ebene wieder in Gang zu setzen, weil die Entscheidung, wie wir beispielsweise mit der Frage „right to disconnect“ umgehen, die lag hier auf dem Tisch. Und ich weiß, dass es nicht wenige gab, auch bei den Sozialpartnern, die gesagt haben, am besten wäre es, Kommission und Parlament bringen da selber etwas auf den Weg.
Aber ich war immer einer derjenigen, die gesagt haben: Gerade bei einer solchen Frage müssen doch diejenigen, die näher dran sind an dem, was in den Betrieben stattfindet, die müssen doch die Lösung bringen. Und deswegen bin ich nach wie vor davon überzeugt, dass das richtig war. Und mittlerweile sehen das ja auch beide Sozialpartner so, aber diesen Prozess müssen wir fortsetzen.
Deswegen will ich ganz offen und ehrlich sagen, dass ich mich über manches ärgere, was jetzt in der Entschließung gelandet ist. Wir bringen mit Debatten über Telework beispielsweise, mit unserer Richtlinie zum europäischen Mindestlohn – das sind aktive Beiträge zur Stärkung von Sozialpartnerschaft, das ist das, was wir brauchen. Und dass wir dann in der Debatte jetzt eine Diskussion führen über das Verhältnis von Vorstandsgehältern zu Mitarbeitergehältern: Leute, das hat doch mit Sozialpartnerschaft nichts zu tun.
Lasst uns für mehr Tarifbindung, für mehr Sozialpartnerschaft kämpfen, dafür, dass die Leute eine anständige Vergütung haben. Dann sollen die Vorstände verdienen, was sie wollen, das sind Nebenkriegsschauplätze. Lasst uns uns bitte in Zukunft weiter auf das Wichtige fokussieren.
"
Dennis RADTKE,2023-05-10,DE,Roadmap on a Social Europe: two years after Porto (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-347-0000_DE.html,"  Dennis Radtke,  im Namen der PPE-Fraktion. – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Das Sozialforum in Porto ist aus meiner Sicht eine wichtige Standortbestimmung auf dem Weg zu einem sozialeren Europa. Ich hoffe sehr, dass es uns gelingen wird, diese Institution eines Sozialforums zu verstetigen, damit wir auch dafür Sorge tragen, dass das Thema „Soziales Europa“ ganz oben auf der Agenda auch der politischen Top-Entscheider in der Europäischen Union bleibt.
Aber machen wir uns nichts vor. Gefühlt ist es manchmal so, dass dieser Weg zu einem sozialeren Europa beim Gehen immer länger wird. Wir hatten die Pandemie, wir haben Krieg, Inflation, Energiekrise, und das trifft vor allen Dingen diejenigen, die eh schon hart getroffen sind in unserer Gesellschaft, aber mittlerweile sind auch diejenigen in der Mitte unserer Gesellschaft betroffen von all dem.
Die Krise ist in der Mitte angekommen, und deswegen ist es richtig, dass wir darauf auch in unserer Entschließung, die wir morgen verabschieden, klar Bezug nehmen. Es ist auch richtig, dass wir dazu aufrufen, dass wir endlich eine voll integrierte Strategie zur Bekämpfung von Armut bekommen, und zwar eine, die Armut in ihrer Mehrdimensionalität auch begreift. Damit meine ich nicht als Zielsetzung, möglichst viele neue Richtlinien auf den Weg zu bringen; das alleine macht es nicht. Aber mir geht es darum, dass wir endlich zu ganzheitlichen Ansätzen bei der Armutsbekämpfung kommen, liebe Freundinnen und Freunde.
Es ist in dieser Periode schon viel erreicht worden fürs soziale Europa – ob Mindestlohn, ob Kindergarantie, ob Regulierung von Plattformarbeit, wo wir sehr, sehr weit gekommen sind, aber es ist noch viel zu tun, und ich freue mich auf das gemeinsame Streiten mit Euch für die gemeinsame gute Sache.
"
Dennis RADTKE,2023-04-18,DE,Safeguarding labour mobility and social rights of striking lorry drivers from third countries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-175-0000_DE.html,"  Dennis Radtke,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Ich kann mich sehr gut erinnern an die heftigen Debatten, an die heftigen Auseinandersetzungen, die wir hier geführt haben, als es um die Einführung des Mobilitätspakets ging. Wir dürfen nicht vergessen: Dieses Paket ist hier in diesem Plenum sogar bei der ersten Abstimmung durchgefallen. Es gab dafür keine Mehrheit. Es war wirklich ein Kampf auf Messers Schneide, den wir geführt haben. Warum haben wir den geführt? Warum war ich auch seinerzeit ein leidenschaftlicher Befürworter dieses Mobilitätspakets? Weil ich immer der Meinung gewesen bin, dieser ruinöse Preiswettbewerb nach unten, der einzig und allein auf dem Rücken der Fahrerinnen und Fahrer ausgetragen wird, der muss gestoppt werden.
Ich bin nach wie vor fest davon überzeugt, dass das, was wir hier auf den Weg gebracht haben, dazu auch das richtige Mittel ist. Die unerträglichen Bilder, die wir jetzt allerdings aus Gräfenhausen sehen, machen eines ganz deutlich: Wir haben kein Regelungsdefizit mehr auf europäischer Ebene, sondern wir haben ganz offensichtlich ein Vollzugsdefizit. Da erwarte ich auch, dass die EU-Kommission in Dialog tritt mit der deutschen Bundesregierung und an der Stelle auch deutlich die Frage stellt: Wo sind die deutschen Behörden, wenn wir solche Fälle haben wie hier in Gräfenhausen?
Das ist rechtlich sehr komplex. Wir reden hier vermutlich nicht nur über Beschäftigte aus Drittstaaten, sondern wahrscheinlich sogar noch teilweise über Scheinselbständige aus Drittstaaten. Es ist rechtlich hochkomplex, aber die Komplexität darf keine Entschuldigung dafür sein, dass deutsche Behörden da an diesen Stellen einfach wegschauen.
Für mich geht es jetzt um zwei Dinge. Das eine ist die Ebene: Wie können wir den mutigen Männern in Gräfenhausen jetzt weiterhelfen? Nicolas Schmit hat darauf hingewiesen. Es ist großartig, was es an Solidarität gibt, was die Kollegen von Faire Mobilität auf den Weg bringen, was Kirchen auf den Weg bringen, was die Bevölkerung auf den Weg bringt. Das ist großartig.
Jetzt müssen wir schauen: Was ist notwendig, um diese mutigen Männer weiter zu unterstützen und zu helfen, dass sie ihre Interessen durchsetzen? Das halte ich für elementar. Man muss auch mal die Frage stellen: Wie kann dieser polnische Unternehmer im Besitz einer EU-Gemeinschaftslizenz sein, obwohl es ganz offenkundig ist, dass er die persönlichen Voraussetzungen dafür überhaupt gar nicht erfüllt, da die persönliche Integrität und scheinbar auch die Eignung nicht gegeben ist? Das Zweite ist – da müssen wir uns auch darüber unterhalten: Wie können wir in Zukunft Kontrollen engmaschiger gestalten? Wie können wir das Ehler-Mandat in Zukunft neu ausgestalten, damit eben das, wo ich sage, das ist an vielen Stellen nur die Spitze des Eisberges, wirklich ein für allemal der Vergangenheit angehört?
"
Dennis RADTKE,2023-03-15,DE,"More Europe, more jobs: we are building the competitive economy of tomorrow for the benefit of all (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-133-0000_DE.html,"  Dennis Radtke (PPE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Mehr Europa, mehr Jobs. Das ist eine Überschrift, die ich durchaus ansprechend finde. Aber offen gestanden finde ich es noch ansprechender, wenn wir die Politik, die wir auch hier in diesem Hause machen, viel, viel stärker auch an dieser Zielsetzung orientieren würden. 
Gerade mit Blick auf die industrielle Wertschöpfung muss man leider feststellen: Wir fallen mehr und mehr zurück. Das, was wir gerade in den USA erleben, das ist ja regelrecht ein Staubsauger für industrielle Investitionen: heraus aus Europa, herein in die USA. Da geht es nicht nur um die 1 300 Milliarden, die Herr Biden mobilisiert hat, sondern da geht es vor allen Dingen auch um die Frage von Genehmigungsverfahren, von Planungssicherheit.
Die EU-Kommission hat in ihrer Industriestrategie ja selbst erkannt, dass wir da schneller werden müssen. Aber das Problem ist: In der konkreten Umsetzung tut die Europäische Kommission genau das Gegenteil. Wir haben eine Industrieemissionsrichtlinie auf dem Tisch liegen, die Planungsverfahren verkomplizieren und verlängern wird – mit Umweltmanagementsystem für jede einzelne Anlage, mit der Verhinderung weiterer Nutzung von Altanlagen. Das wird Industrie weiter aus Europa vertreiben.
Was mich wirklich umtreibt ist: Wir haben hier vor vier Wochen die Debatte über das Verbrennerverbot gehabt, und da saß an dieser Stelle Herr Timmermans, und er hat nur darüber gelacht, als ich über die gut bezahlten Arbeitsplätze gesprochen habe, die wir in der Automobilindustrie und der Zulieferindustrie verlieren. Er hat gelacht über die Frage von Bezahlbarkeit, von individueller Mobilität. Mein Punkt ist: Wenn wir damit ernst machen wollen, dann müssen wir diese Punkte in der Debatte auch ernst nehmen und nicht über solche Argumente lachen. Denn ansonsten werden wir unser europäisches Projekt den Populisten von ganz rechts und von ganz links zum Fraß vorwerfen. Das kann niemand wollen.
"
