MP,Date,Language,Title,Url,Content
Dietmar KÖSTER,2023-10-17,DE,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-057-0000_DE.html,"  Dietmar Köster (S&D).   – Frau Präsidentin! Die Sanktionen haben Russlands Wirtschaft vielleicht geschwächt, aber sie haben ihre grundlegenden Ziele, etwa dass Putin endlich seinen Krieg beendet, verfehlt. So bleiben wirtschaftliche und politische Stabilität in Russland weitgehend erhalten. Nach den Exportverboten westlicher Länder gingen die russischen Importe tatsächlich zunächst um 40 Prozent zurück. Sie erholten sich aber schnell und lagen bereits im November 2022 wieder auf Vorkriegsniveau.
Russland hat zahlreiche Wege gefunden, Sanktionen zu umgehen. Über eine lange Kette von Unternehmen landen beispielsweise sanktionierte Waren wie Mikrochips oder Drohnen auf den Schlachtfeldern. Zwei Drittel der Komponenten in russischen Waffen an der Front enthalten Chips und Mikroprozessoren aus US-amerikanischer Produktion. Das Geld von russischen Oligarchen in Höhe von 100 Milliarden Euro liegt in der Schweiz auf Konten, die nicht beschlagnahmt wurden.
Hier besteht erheblicher Nachholbedarf, um die Sanktionen effektiver zu machen. Sanktionen können darüber hinaus einen wichtigen Zweck erfüllen: Sie sollten im Rahmen von Verhandlungen über einen Waffenstillstand und Frieden als Verhandlungsmasse benutzt werden.
"
Dietmar KÖSTER,2023-10-04,DE,"Human rights situation in Afghanistan, in particular the persecution of former government officials",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-449-0000_DE.html,"  Dietmar Köster,  im Namen der S&D-Fraktion. – Herr Präsident! Die Menschenrechte in Afghanistan werden auf das Schwerste verletzt. Die Taliban haben 50 % der Bevölkerung − also Frauen − aus dem öffentlichen Leben verbannt. Für Frauen ist Afghanistan zum Gefängnis geworden. Im Januar 2023 hat die europäische Asylbehörde festgestellt, dass afghanische Frauen und Mädchen generell einen Flüchtlingsstatus verdient hätten. Mindestens 800 Fälle von außergerichtlicher Tötung, willkürlicher Inhaftierung, Folter und Misshandlung sind bekannt. Zahlreiche Ortskräfte sind Opfer der Taliban geworden und müssen befürchten, dass an ihnen und ihren Familien Rache geübt wird. Menschen, die mit der ehemaligen Regierung in Verbindung standen, sind verschwunden.
Wo sind die humanitären Visa und wo die Evakuierungsprogramme? Wo sind die Neuansiedlungsprogramme, und wieso wird der Familiennachzug nicht endlich beschleunigt? Die EU-Mitgliedstaaten und die Kommission tun nicht genug. Menschenrechte dürfen nicht zu hohlen Phrasen verkommen, die EU darf sich nicht weiter abschotten.
"
Dietmar KÖSTER,2023-09-12,DE,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-324-0000_DE.html,"  Dietmar Köster (S&D).   – Herr Präsident! Fast ein Jahr ist seit dem gewaltsamen Tod von Dschina Mahsa Amini vergangen. 361 Tage, in denen Menschen, die gegen das Mullah-Regime protestiert haben, verschleppt, gefoltert und hingerichtet wurden.
Was das Regime allerdings nicht geschafft hat, ist, die feministische Revolution zu ersticken. Aber was hat die Europäische Union bislang getan, um die Menschen im Iran in ihrem Kampf zu unterstützen? Wo ist das Bemühen darum, die Revolutionsgarden auf die EU-Terrorliste zu setzen, was wir im Parlament im Januar beschlossen haben? Wo bleiben gezielte und durchgreifende Sanktionen gegen die Verantwortlichen? Wo bleibt die diplomatische Isolation des Iran? Wo bleibt das stete Einwirken auf ein Ende der schrecklichen Exekutionen? Und endlich: Wo bleiben Initiativen zur Abschaffung der Todesstrafe? Und wo bleibt eine Initiative, schnellere Visa- und Asylverfahren für Iranerinnen zu schaffen?
Am 16. September werden weltweit Menschen auf die Straßen gehen. Sie solidarisieren sich mit den mutigen, protestierenden Iranerinnen und den Getöteten. Sie werden ihre Namen rufen. Laut und deutlich: Say their names!
"
Dietmar KÖSTER,2023-09-12,DE,Combating the normalisation of far-right and far-left discourses including antisemitism (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-547-0000_DE.html,"  Dietmar Köster,  im Namen der S&D-Fraktion. – Frau Präsidentin! Die Menschenfeindlichkeit von Nazis ist einfach zu belegen. Das Alarmierende allerdings ist, dass die Normalisierung ihrer menschenverachtenden Ideologie sich schon längst in der gesellschaftlichen Mitte wiederfindet.
Denn zur Mitte zählt sich mittlerweile, wer eine verachtende Haltung gegenüber Flüchtlingen gutheißt, wer hinnimmt, dass täglich Frauen Opfer von Sexismus und Misogynie werden, wer Hasstiraden gegen den Staat Israel toleriert. Die Übernahme rechter Rhetorik führt dazu, dass sie normalisiert wird. Und solange immer noch links und rechts einfach gleichgesetzt wird, gewinnt die extreme Rechte immer größeren Einfluss.
Wir müssen deren Menschenfeindlichkeit und deren Antisemitismus entschieden und überall – ob hier im Haus oder im Alltagsleben – entgegentreten. Und wir müssen dafür sorgen, dass durch eine Politik zum Ausbau des Sozialstaates, zum Ausbau der Demokratie, die normalen Menschen die Kontrolle über ihre Lebensbedingungen zurückgewinnen. Denn Kontrollverlust ist einer der wesentlichen Gründe für das Aus, für die Entwicklung von Rechtsextremismus und Antisemitismus. Durch den Ausbau von politischer Bildung kann Verschwörungsmythen entgegengewirkt werden und kann auch den Verlockungen entgegengewirkt werden, die Rechtsextreme zum Teil verbreiten.
Das ist ein wichtiger Beitrag, um den Antisemitismus in der Gesellschaft zu bekämpfen. Das sollte unser aller Aufgabe sein.
"
Dietmar KÖSTER,2023-07-11,EN,Commemorating the 28th anniversary of Srebrenica (statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-141-0000_EN.html,"  Dietmar Köster,  on behalf of the S&D Group. – Madam President, dear colleagues, the biggest war crime in Europe after the Second World War took place in July 1995. The world simply watched – a disgrace for Europe and the United Nations.
The genocide perpetrated by Serbian soldiers is regarded as the country’s deepest wound. This shows how important the legal investigation is. More than 20 people have been charged until today and also convicted of genocide. The relatives of the victims have a right to know what had happened to their loved ones. Still not all bodies have been found and recovered.
It is intolerable that nationalist agitation, especially by the Serbian and Croatian politicians and individuals, is deliberately being plunged into renewed ethnic conflict and suffering. ‘Never again’ should really mean ‘never again’. Every individual who can, and we at the EU certainly can, should do whatever is needed so that Srebrenica does not happen again.
"
Dietmar KÖSTER,2023-07-11,EN,2022 Report on Bosnia and Herzegovina (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-401-0000_EN.html,"  Dietmar Köster,  on behalf of the S&D Group. – Madam President, the annual report underscores BiH’s momentum on its path to the European Union now that it has been granted candidate status. But there is still much to be done. The biggest obstacle for BiH to become an EU Member State today are the inflammatory rhetoric and sensationalist and anti-democratic laws and policies by the leadership of the Republika Srpska. It’s simply a shame.
I would again call for targeted sanctions against destabilising political actors, notably Milorad Dodik as well as other high-ranking Republika Srpska officials. We must overcome the ethnic divisions, the hate speech against Muslim people and several minorities, and the concept of constituent peoples, which is discrimination against other groups.
I would like to underline that the country urgently needs measures against poverty, inequality and corruption. The European Union must strengthen the civil society because it builds the fundament to overcome ethnocracy in favour of democracy.
"
Dietmar KÖSTER,2023-04-19,EN,"The crackdown on the right to education and education rights activists in Afghanistan, including the case of Matiullah Wesa",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-375-0000_EN.html,"  Dietmar Köster,  on behalf of the S&D Group. – Mr President, it is 576 days since the Taliban banned teenage girls from education. Half of Afghanistan’s population is denied the right to education and work. Last month’s arbitrary arrest of Matiullah Wesa is a severe blow to the already dire situation, yet girls’ education is a central key to a country’s sustainable social, democratic and economic development.
In 2001, almost zero girls attended secondary education in Afghanistan, compared with 1.1 million in 2021. And what is happening now? Zero girls again. Given the current situation under the Taliban, this can only mean one thing: Afghan women must be recognised as refugees under the Geneva Refugee Convention, as the European Union Agency for Asylum has advised.
"
Dietmar KÖSTER,2023-04-18,EN,"The need for European solidarity in saving lives in the Mediterranean, in particular in Italy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-403-0000_EN.html,"  Dietmar Köster (S&D).   – Mr President, ‘the current situation in the Mediterranean is not a natural disaster, but the result of Italian and European migration policies’. That’s what the private search and rescue NGO Sea-Watch said a few days ago, and I could not agree more.
The situation in the Mediterranean is currently more dramatic than ever before. The Italian Coast Guard is completely overwhelmed. The state of emergency, which the far right Italian government has now declared, only worsens the rights of people fleeing.
More than ever, action must be taken now. We finally need a European non-military search and rescue programme that is financed by the money which is currently given to the so-called Libyan Coast Guard. The more the EU is refraining from humane acting, the more the EU is betraying its own values. Flight is not a crime.
"
Dietmar KÖSTER,2023-02-01,DE,Situation in Afghanistan (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-01-INT-1-166-0000_DE.html,"  Dietmar Köster (S&D).   – Frau Präsidentin! Die Taliban haben 35 Verordnungen gegen Mädchen und Frauen erlassen. Sie treiben den Prozess ihrer Unsichtbarmachung immer weiter voran. Nun dürfen afghanische Frauen nicht länger für internationale Organisationen und NGOs arbeiten. Tausende Frauen können ihre Familien nicht mehr ernähren. Die Gesundheitsfürsorge droht zusammenzubrechen. Frauen und Mädchen werden von der Gesundheitsversorgung ausgeschlossen. Menschenleben stehen auf dem Spiel.
Die Asylagentur der EU kam letzte Woche zu dem Schluss, dass afghanische Frauen und Mädchen generell von Verfolgung bedroht sind und daher Anspruch auf den Flüchtlingsstatus in der EU haben. Dem folgend hat der dänische Beschwerdeausschuss für Flüchtlinge jetzt beschlossen, einem bereits bestehenden Ansatz Schwedens und der Asylagentur zu folgen, Frauen und Mädchen aus Afghanistan als eine Gruppe von Konventionsflüchtlingen zu betrachten. Dem müssen alle EU-Mitgliedstaaten folgen.
Die Kommission muss endlich ein EU-Aufnahmeprogramm für afghanische Flüchtlinge auf den Weg bringen. Das sind wir den Frauen und Mädchen und den Menschen in Afghanistan schuldig.
"
Dietmar KÖSTER,2023-01-17,DE,EU response to the protests and executions in Iran (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-484-0000_DE.html,"  Dietmar Köster (S&D).   – Frau Präsidentin! Seit vier Monaten setzen die Menschen im Iran ihr Leben im Kampf für ihre Rechte aufs Spiel. Es ist unsere Aufgabe, die Revolution mit allen verfügbaren Mitteln zu unterstützen.
Stabilität und Frieden im Nahen und Mittleren Osten wird es nur geben, wenn das Mullah-Regime endlich gestürzt ist. Sicherheit für Israel wird es nur geben, wenn das antisemitische Regime durch eine Demokratie ersetzt wird. Die Terrorisierung von Protestierenden muss endlich ein Ende haben. Sämtliche Exekutionen müssen sofort gestoppt werden. Die Revolutionsgarde muss auf die Terrorliste gesetzt werden, und das JCPOA-Abkommen hat keine Zukunft. Für Yina, für Nika, für Fardin, für Amrin, für Majidreza und Mohsen, für alle, die gefoltert, getötet, exekutiert werden: 
Stop killing your people. Women, Life, Freedom. 
"
