MP,Date,Language,Title,Url,Content
Dino GIARRUSSO,2023-11-22,IT,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-042-0000_IT.html,"  Dino Giarrusso (NI).   – Signor Presidente, onorevoli colleghi, bambini morti per attacchi scriteriati; donne e uomini civili uccisi senza pietà solo perché palestinesi; persino neonati che muoiono nelle incubatrici perché è stata sottratta la corrente elettrica persino agli ospedali: questo succede in Palestina; queste sono le gravi responsabilità di Netanyahu. 
Un mese fa, in quest'Aula ho chiesto all'Europa di condannare questo orrore, queste violazioni del diritto internazionale e non è successo nulla. Abbiamo condannato giustamente l'azione terroristica di Hamas, abbiamo condannato giustamente l'atto di guerra della Russia di Putin. Ma cosa aspettiamo a condannare la politica criminale di Netanyahu? 
È una vergogna accusare di antisemitismo chi critica questo governo di Israele: migliaia di ebrei stanno protestando in tutto il mondo contro i crimini di Netanyahu. Che fa l'Europa? Non vi fanno orrore quei bambini disperati, quei corpi in terra senza più calore? Esistono morti di serie A e di serie B? Esistono crimini e violazioni del diritto che l'Europa tollera? 
No. Dunque, per rispetto a quei bambini palestinesi innocenti uccisi dalle scelte di Netanyahu, l'Europa deve prendere posizione e condannare subito o non sarà più Unione europea ma sarà squallida ipocrisia.
"
Dino GIARRUSSO,2023-10-19,IT,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-091-0000_IT.html,"  Dino Giarrusso (NI).   – Signor Presidente, onorevoli colleghi, molte bellissime località rurali in Europa – ce ne sono tante in Sicilia e in Sardegna – oggi si spopolano, vengono abbandonate dai giovani, dalle nuove generazioni, con un triplo risultato negativo: intere zone delle nostre regioni che rischiano di diventare città fantasma, l'avanzare pericolosissimo della desertificazione e la dipendenza sempre maggiore dalle importazioni, con un minore controllo sul prodotto e sulla filiera e con la perdita di enormi opportunità lavorative ed economiche per le nostre comunità.
L'agricoltura in Italia e in Europa è una potenziale miniera d'oro infinita, ma serve cura nel sostenerla, serve un ricambio generazionale e serve aiutare i giovani a scoprire le opportunità enormi che oggi l'agricoltura può offrire. Quindi, impegniamoci nel prevedere fondi ad hoc per aiutare i giovani imprenditori agricoli, oltre alle misure già previste nella PAC, e troviamo misure per accompagnare gradualmente gli imprenditori agricoli che si avvicinano alla pensione verso un autentico e fruttuoso ricambio generazionale.
Non uccidiamo le nostre comunità rurali, aiutiamo i giovani a rimanere e a crescere.
"
Dino GIARRUSSO,2023-10-18,IT,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-037-0000_IT.html,"  Dino Giarrusso (NI).   – Signor Presidente, onorevoli colleghi, la violenza terrorista di Hamas, la strage di civili, il rapimento e l'uccisione di ragazzi e bambini senza colpa sono un orrore atroce. Giustissimo dunque ribadire il diritto di Israele a difendersi e vivere in pace e giustissimo condannare il terrore, ma non basta.
Se siamo onesti, non possiamo tacere che la risposta alle atrocità di Hamas, cioè tagliare acqua e luce al popolo palestinese e costringerlo a un nuovo esodo, è indegna, perché nega il diritto a esistere e vivere dignitosamente a bambini, donne e famiglie che non sono terroristi, non sono colpevoli di strage, ma sono soltanto esseri umani palestinesi che hanno e devono avere sempre il diritto di vivere e vivere in pace, esattamente come lo hanno gli israeliani.
La gente di Gaza deve essere tutelata dalle Istituzioni europee, esattamente come Israele. Riprendiamo il lavoro di Yitzhak Rabin, lottiamo per due popoli in due Stati, ma non chiudiamo gli occhi ipocritamente sulle violenze che sta subendo l'incolpevole popolo palestinese.
Gridiamolo a gran voce: ""Israele, libero! Palestina libera!"". Sarebbe fatale vedere solo una parte dei crimini e delle violazioni del diritto internazionale, sarebbe una vergogna per l'Europa e io non voglio vergognarmi di essere europeo!
"
Dino GIARRUSSO,2023-10-05,IT,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-081-0000_IT.html,"  Dino Giarrusso (NI).   – Signora Presidente, onorevoli colleghi, è inutile prenderci in giro, è inutile girarci attorno. Oggi i minori, i bambini, fin dalla più tenera età, utilizzano le nuove tecnologie, utilizzano i telefonini, utilizzano i device, l'iPad e il digitale. Tecnologie che non sono cattive o buone in sé. Peraltro, anche quei bambini che non le hanno utilizzano, quelle degli amici, dei compagnetti ecc. Il problema sono i contenuti che vengono veicolati grazie alle nuove tecnologie e l'educazione all'utilizzo delle nuove tecnologie. Naturalmente c'è preoccupazione per la diffusione della pornografia tra piccolissimi, tra minori, ma c'è anche il bullismo online, che è un problema enorme che non dobbiamo dimenticare.
Io credo che l'unica strada possibile per evitare danni e per evitare di crescere generazioni abituate alla violenza online senza controllo sia quella di un'educazione fin dalla più tenera età all'utilizzo delle nuove tecnologie. Quindi auspico un regolamento, che possa essere adottato da tutti gli Stati membri, per l'educazione, fin dalla scuola primaria, alle nuove tecnologie.
"
Dino GIARRUSSO,2023-10-03,IT,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-078-0000_IT.html,"  Dino Giarrusso (NI).   – Signora Presidente, onorevoli colleghi, oggi è indispensabile parlare di Julian Assange, perché ogniqualvolta discutiamo di libertà di stampa, di regole riguardo alla stampa, noi abbiamo il dovere di fare opera di memoria rispetto alla storia di Julian Assange.
Julian vive di fatto recluso da anni senza alcuna colpa, anzi, per aver fatto esclusivamente il proprio dovere di giornalista: informare i cittadini, rendendoli così maggiormente consapevoli di ciò che accade nel mondo. 
Io vengo dalla Sicilia, terra dove purtroppo la mafia ha ucciso giornalisti come Pippo Fava, Mario Francese, Mauro De Mauro, Peppino Impastato, Beppe Alfano e altri. La camorra ha ucciso Giancarlo Siani. Tutti loro non avevano colpe, se non quella di raccontare la verità. Anche in memoria dei giornalisti vittime di mafia, come quelli che ho citato e la maltese Daphne Caruana, noi dobbiamo impedire che Julian Assange viva una morte anticipata, una morte in terra, recluso come un pericoloso criminale, quando invece è solo un giornalista. 
Presidente, colleghi, oggi tutti noi dovremmo gridare a gran voce, senza esitazioni: ""Liberate Julian Assange! Free Assange now!"".
"
Dino GIARRUSSO,2023-09-14,IT,Violence and discrimination in the world of sports after the FIFA Women’s World Cup (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-061-0000_IT.html,"  Dino Giarrusso (NI).   – Signora Presidente, onorevoli colleghi, immaginate se alla fine dei mondiali in Qatar, un dirigente argentino fosse andato a baciare in bocca Leo Messi: cosa sarebbe successo? E perché invece un dirigente spagnolo lo ha fatto con una donna?
Il problema delle molestie e poi degli stupri è un problema innanzitutto culturale e va combattuto educando i bambini e i ragazzi al rispetto reciproco e a una consapevolezza completa della sessualità propria e altrui.
Ma va combattuto anche a livello legislativo: in Italia oggi una donna ha solo un anno di tempo per denunciare una molestia o uno stupro; fino a poco tempo fa solo sei mesi. I grandi scandali degli ultimi anni non avrebbero avuto alcuna conseguenza penale in Italia, poiché nascevano da denunce arrivate dopo diversi anni da donne coraggiose che avevano superato il trauma.
Propongo dunque che l'Europa stabilisca l'obbligo per tutti gli Stati membri di provvedere all'educazione sessuale dei propri giovani cittadini e di prevedere un limite di almeno cinque anni per una donna che vuole denunciare una molestia o uno stupro subiti. Senza nuove regole, temo, parleremo ancora per decenni di cultura dello stupro e di molestie rimaste impunite.
"
Dino GIARRUSSO,2023-09-12,IT,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-095-0000_IT.html,"  Dino Giarrusso (NI).   – Signor Presidente, onorevoli colleghi, in questo momento, mentre noi parliamo, la costa sud dell'isola di Lampedusa è letteralmente invasa da barchini che i criminali responsabili del traffico di esseri umani continuano a usare, mettendo a rischio migliaia di vite, arricchendosi ed esasperando la realtà quotidiana di una piccola isola che porta sulle sue spalle, sulle sue esili spalle, un peso che dovrebbe essere condiviso da tutta l'Europa. 
Quest'estate sono andato personalmente a Porto Empedocle, dove la situazione era insostenibile. Dunque, piuttosto che glorificare un accordo al ribasso con la Tunisia che non risolve nulla, l'Europa si prenda la responsabilità di togliere al paese di primo approdo ciò che un solo paese non può reggere. 
Gli abitanti di Lampedusa sono eroi e sto candidando quel popolo di eroi al Premio Sacharov e invito tutti i colleghi e i gruppi a farsi un esame di coscienza e firmare la candidatura: oggi una piccola isola sta facendo il lavoro che dovrebbero fare 27 Stati membri, mentre madri e figli, come è stato giustamente ricordato, muoiono nel deserto senza avere alcuna colpa. 
L'Europa si vergogni di questa tragedia e si assuma le sue – perché sono sue – responsabilità ora.
"
Dino GIARRUSSO,2023-07-12,IT,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-085-0000_IT.html,"  Dino Giarrusso (NI).   – Signora Presidente, onorevoli colleghi, cittadini europei tutti, diciamoci la verità, l'accordo di Dublino rappresenta un fallimento completo. Imporre ai paesi di primo ingresso di affrontare in solitudine un fenomeno epocale che riguarda tutta l'Europa è una vergogna.
In Italia e in Grecia arrivano migliaia di migranti ogni giorno e per l'aiuto e il soccorso in mare servono mezzi, uomini e soldi di tutti i paesi europei, poiché donne, bambini e uomini su quelle navi vengono in Europa, non in Italia.
La destra italiana ha tentato un accordo al ribasso, che non tocca l'assurda regola del paese di primo ingresso, e proprio gli alleati europei della destra italiana hanno rifiutato persino quell'accordo al ribasso.
E così assistiamo a tragedie immani come quella di Cutro, quella di Pylos: migliaia di bambini, donne e uomini morti in mare, nell'indifferenza di tanti che a questo orrore sembrano incredibilmente assuefatti.
Cancelliamo Dublino, come aveva promesso von der Leyen all'insediamento, e condividiamo la responsabilità di aiuto e soccorso in mare, così cancelleremo per sempre la vergogna di un Mediterraneo trasformato in un enorme cimitero marino di esseri umani senza alcuna colpa.
"
Dino GIARRUSSO,2023-06-13,IT,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-173-0000_IT.html,"  Dino Giarrusso (NI).   – Signora Presidente, onorevoli colleghi, l'intelligenza artificiale è un'opportunità, l'ennesima che ci viene donata dal progresso tecnologico, ma al tempo stesso può diventare un rischio per le nostre comunità. Per questo l'intelligenza artificiale sviluppata e utilizzata in Europa deve essere antropocentrica e rispettare i diritti fondamentali e i valori dell'Unione sanciti dai trattati. 
Noi dobbiamo lavorare per sostenere l'innovazione e le imprese, aumentando la certezza del diritto in tutti gli Stati membri, rendendo chiara la regolamentazione del settore e facile per i privati e per le autorità pubbliche il rispetto dei nuovi obblighi. Dobbiamo indirizzare l'innovazione verso un miglioramento delle nostre vite, nel rispetto dei diritti, e per questo vedo con preoccupazione il diffondersi del riconoscimento facciale e di ogni altro strumento che possa essere usato a fini discriminatori. 
Ringrazio il relatore per il lavoro svolto in questa direzione e auspico che non si ceda alle sirene di chi vorrebbe una deregulation pericolosa, ma al contrario si crei insieme un mercato unico digitale integrato e un contesto legislativo che premi l'imprenditorialità e l'innovazione, tutelando la sicurezza e i diritti, nostri e delle prossime generazioni.
"
Dino GIARRUSSO,2023-06-13,IT,Ensuring food security and the long-term resilience of EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-440-0000_IT.html,"  Dino Giarrusso (NI).   – Signor Presidente, onorevoli colleghi, la disponibilità di cibo e di cibo salutare per tutti è un diritto inalienabile. Oggi anche in Europa rischiamo di intraprendere una strada che in pochi anni potrebbe rendere insufficiente la disponibilità di cibo, come del resto già oggi è inadeguata l'accessibilità di cibo sano per milioni di cittadini europei. 
Siamo ad un bivio e dobbiamo intraprendere la strada giusta: non l'intensificazione brutale della produzione che consuma il suolo e inquina, ma la sostenibilità di un'ampia produzione, che oggi, grazie alle innovazioni tecnologiche, può essere compatibile con la tutela dell'ambiente, con la qualità dei prodotti e l'accessibilità del cibo, anche per chi ha redditi medio-bassi. 
Lo studio della Commissione ci mostra che l'UE deve rafforzare sostenibilità e resilienza dell'intero sistema alimentare, e questo passa da una legge quadro, che indichi anche la promozione di diete sane e compatibili con la tutela ambientale, oltre che l'incentivazione di quelle buone pratiche di produzione, distribuzione e consumo che potranno continuare a rendere l'Italia e l'Europa, anche in futuro, la culla di una alimentazione sana e sostenibile per tutti. 
"
