MP,Date,Language,Title,Url,Content
Elena LIZZI,2023-11-20,IT,"Children first - strengthening the Child Guarantee, two years on from its adoption - Reducing inequalities and promoting social inclusion in times of crisis for children and their families (joint debate – International Day of the Rights of the Child)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-057-0000_IT.html,"  Elena Lizzi (ID).   – Signora Presidente, signori Commissari, onorevoli colleghi, a due anni di distanza dall'istituzione della Garanzia per l'infanzia, questa risoluzione della commissione per l'occupazione e gli affari sociali stila un primo bilancio di questo programma, suggerendo già modifiche e correttivi. 
In particolare, si sottolinea l'importanza di avere procedure snelle, maggiore controllo e trasparenza nell'utilizzo dei fondi. Ma se questo può essere comprensibile in fase di avvio, ci sono degli aspetti che ci convincono un po' meno come gruppo. Per prima cosa, la richiesta di aumentare urgentemente i finanziamenti per la Garanzia europea per l'infanzia, con un bilancio dedicato di 20 miliardi di euro per il periodo '21-27. Prima di parlare di questo aumento, la Lega propone di avere una valutazione di impatto, di capire bene dove e come funziona e quanti sono gli Stati dove invece si verificano irregolarità e quali. 
Vi è poi la proposta di istituire un'Autorità europea del bambino che monitori la Garanzia e che favorisca la cooperazione fra la Commissione e gli Stati membri. Sulla richiesta di un'altra autorità europea non possiamo che esprimere la nostra contrarietà: piuttosto che creare l'ennesima sovrastruttura comunitaria, cerchiamo e dedichiamo queste risorse direttamente ai bambini e alla Garanzia per l'infanzia. Facciamo predisporre piuttosto la gestione e il controllo all'interno delle strutture esistenti. 
Un'ultima considerazione: la Garanzia per l'infanzia è ormai una realtà in quasi tutti gli Stati membri dell'Unione europea, poiché, e lasciatemi dire finalmente, sono stati approvati i piani nazionali che devono però ora trovare concretezza.
"
Elena LIZZI,2023-10-19,IT,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-053-0000_IT.html,"  Elena Lizzi,  a nome del gruppo ID. – Signora Presidente, signor Commissario, onorevoli colleghi, come Lega-Salvini Premier da anni diciamo che l'Europa deve aumentare la propria sovranità alimentare, incrementare la produzione interna e ridurre la dipendenza dai fornitori di paesi terzi.
Però, come Lega, diciamo anche no alla carne coltivata in laboratorio e finanziata con i fondi REACT-EU da parte della Commissione. Dobbiamo agevolare il lavoro dei nostri allevatori, invece di vessarli con politiche estreme che ne ostacolano il lavoro e la produzione.
E diciamo anche no all'inserimento degli insetti come modello nutritivo. Dobbiamo valorizzare la nostra dieta mediterranea, invidiata da tutto il mondo. È necessario un approccio complementare completamente diverso rispetto a quelle politiche ideologiche verdi sostenute e votate dalla sinistra in questo mandato.
L'Europa deve decidere da che parte stare: allevatori e agricoltori o laboratori e insetti?
"
Elena LIZZI,2023-10-02,IT,Protection of workers from asbestos (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-107-0000_IT.html,"  Elena Lizzi,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, signor Commissario, 88 000 morti l'anno in Europa a causa dell'amianto e l'ondata di rinnovamento potrebbe peggiorare la situazione. Per questo siamo convinti che si debbano proteggere ancora di più i lavoratori e abbiamo contribuito in modo fattivo alla redazione di un testo condiviso. Vorrei anch'io qui ricordare con voi la relatrice Véronique Trillet-Lenoir, che ci ha lasciato prematuramente ad agosto, e dedicare questo lavoro, oltre che a lei, a tutte le vittime dell'esposizione all'amianto.
La regione da cui provengo, il Friuli Venezia Giulia, registra, purtroppo, un lungo elenco di persone strappate alle famiglie. La proposta di revisione di questa direttiva è un traguardo importante per il miglioramento delle condizioni dei lavoratori e nella battaglia ai tumori professionali, che sono nell'Unione europea la prima causa dei decessi legati al lavoro e che sono causati principalmente dall'esposizione a sostanze cancerogene come l'amianto, l'hanno detto anche i colleghi, naturalmente.
Da relatrice ombra voglio puntualizzare che anche al nostro contributo politico si è trovata una sostanziale convergenza. In particolare, voglio citare alcuni principi. Chiaramente la protezione dei lavoratori dall'esposizione all'amianto è la priorità, sia per il Parlamento europeo sia per la Lega per Salvini Premier e il gruppo Identità e Democrazia. Tutti vogliamo fortemente che il tasso di malattia e il numero delle vittime di tumori professionali calino.
Seconda cosa: obiettivi coraggiosi, sì, con transizione e sostegno, questa volta sostenibili. Si prevede un primo abbassamento del limite di esposizione professionale senza periodo di transizione e successivamente il cambio volontario di metodologia, in modo da arrivare, dopo un periodo di transizione di sei anni, a grandi risultati.
Ma quello che più ci importa è il sostegno alla trasmissione di informazioni sugli specifici fondi dell'Unione europea destinati alle piccole e medie imprese... (il Presidente toglie la parola all'oratrice)
"
Elena LIZZI,2023-09-14,IT,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-107-0000_IT.html,"  Elena Lizzi (ID).   – Signora Presidente, signora Commissaria, voglio ricordare, come ha fatto la collega Zambelli, che la discussione sul miglioramento delle condizioni di lavoro dei vigili del fuoco è un'iniziativa conseguente anche alla nostra proposta di risoluzione depositata lo scorso 22 marzo, dopo l'audizione. Questo è per noi motivo di grande soddisfazione.
Tutti condividiamo il fatto che la professione dei vigili del fuoco è ad alto rischio di malattie a causa dell'esposizione a sostanze nocive. Studi americani rilevano che i vigili del fuoco avrebbero il 300% di probabilità in più di ammalarsi di cancro. Però qui ancora non è stato detto che hanno un'aspettativa di vita media di vent'anni più bassa e noi in Europa non abbiamo studi che possano smentire o certificare questa situazione.
Recentemente Eurostat ha certificato che nel 2022 i vigili del fuoco professionisti nell'Unione erano quasi 360 000 ma ha anche rilevato che all'interno degli Stati membri esistono diversi gradi di affidabilità dei dati forniti e questo è un chiaro segnale che è necessario intervenire. Sempre Eurostat analizza l'età media di questi lavoratori: è prevista una continua riduzione delle unità operative, con il concreto rischio di non poter garantire in futuro interventi per loro sicuri ed efficaci sul territorio. Accanto ai 360 000 professionisti, operano anche 3 200 000 volontari. La responsabilità di agire a tutela dei vigili del fuoco è quindi maggiore.
Al momento, signora Commissaria, la sua risposta per me è deludente. Io vorrei un maggiore impegno e, come ha sentito, anche i colleghi; le domande contenute nell'interrogazione orale mirano a ottenere dalla Commissione europea un impegno per i futuri interventi per la salute di 3 500 000 vigili del fuoco e delle loro famiglie, anche perché tutti loro saranno ancora più esposti in ragione delle misure imposte anche dal Green Deal. 
"
Elena LIZZI,2023-09-13,IT,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-182-0000_IT.html,"  Elena Lizzi (ID).   – Signor Presidente, signora Commissaria, onorevoli colleghi, ho sentito che lei ha ricordato la quantificazione del ristoro dei danni provocati dai grandi carnivori e lo apprezzo. Ma come possiamo quantificare il valore della vita di un ragazzo morto aggredito da un orso in Italia? O i 25 di cui abbiamo sentito poco fa testimoniare dalla Romania? Come possiamo lenire il dolore di queste famiglie che devono affrontare un lutto così assurdo? 
La presenza di lupi e di grandi carnivori in Italia continua a crescere, generando continui attacchi agli animali d'allevamento e a volte, purtroppo, anche all'uomo. Ormai in alcune aree, soprattutto nel nord Italia, tra cui il Friuli Venezia Giulia, il Trentino-Alto Adige, il Veneto e l'Emilia Romagna, registrano il sovrappopolamento di queste specie. 
Il gruppo Identità e Democrazia ha depositato una risoluzione con due richieste: l'attenuazione dello stato di protezione del lupo, con il declassamento da specie di fauna rigorosamente protetta a specie protetta poiché, grazie alle politiche di ripopolamento, il lupo non è più una specie in via di estinzione. Seconda cosa: un coinvolgimento più attivo degli attori regionali, dato che le nostre regioni, soprattutto quelle gestite dalla Lega Salvini premier, hanno dimostrato grande capacità di amministrazione del problema tramite le politiche svolte alla salvaguardia degli allevatori. Lasciamoli intervenire.
Qui chiediamo anche che si attuino a livello europeo politiche di contenimento dei grandi carnivori, prevedendo anche maggiori spostamenti nelle aree senza la presenza dell'uomo. Cerchiamo di essere concreti, diamo risposte: ci sono lutti, oltre che danni, di cui dobbiamo rispondere e che dobbiamo affrontare. 
"
Elena LIZZI,2023-05-31,IT,"Geographical Indications for wine, spirit drinks and agricultural products (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-228-0000_IT.html,"  Elena Lizzi,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, saluto il relatore ombra De Castro, il Commissario e i colleghi di questo dossier. 
Da relatrice ombra e per conto della Lega-Salvini Premier, sottolineo che votiamo a favore, come del resto abbiamo già fatto in commissione, di questa proposta di revisione perché è fondamentale per il comparto, fondamentale per l'Italia, che detiene anche il maggior numero di prodotti agroalimentari riconosciuti dall'Unione. 
I casi Prosecco e aceto balsamico non dovranno più ripetersi. Signor Commissario, io non voglio più sentire da alcune persone che lavorano nella DG AGRI che non si possono confondere questi vini perché uno si beve con gli alimenti e l'altro si beve con il dolce. Per questo motivo abbiamo inserito due emendamenti per difendere le nostre indicazioni geografiche. Come Lega lotteremo su tutti i tavoli europei. 
Visto che poi Lei ha citato il ruolo dell'EUIPO, deve ricordare che il voto è stato unanime, che è un chiaro messaggio anche a Lei e alla Commissione in generale. Il nostro gruppo manterrà una posizione ferma riguardo al ruolo dell'EUIPO, volendo limitare il trasferimento di deleghe dalla DG AGRI. Non vogliamo che venga trasformata, diciamo, la competenza ed essendo politicamente sensibili sull'argomento, continueremo a lottare affinché le disposizioni del settore del vino più importanti restino all'interno della PAC per consentire revisioni più snelle e avere più protezione. 
"
Elena LIZZI,2023-05-10,IT,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-031-0000_IT.html,"  Elena Lizzi (ID).   – Signor Presidente, signor Commissario, onorevoli colleghi, prima di tutto volevo dire che, ascoltando gli interventi di oggi, mi pare che la maggioranza scricchioli, non sono tutti più così convinti di questo Green Deal.
Partendo dall'Italia, voglio ricordare che il mio paese ha già implementato molte delle politiche richieste dal Green Deal e con la più ampia superficie destinata all'agricoltura biologica, il 17 %.
Recentemente l'aumento dei prezzi e le interruzioni della catena di approvvigionamento hanno però messo in difficoltà il settore agricolo in generale, che però ha dimostrato grande tempra e ancora resiste. D'altronde, si chiama settore primario, io lo dico sempre, perché ci fa vivere e sopravvivere a tutto.
Vi siete mai messi nei panni di un agricoltore? Avete mai dialogato con chi ogni giorno dedica la vita al lavoro nei campi? Io sì, questa è stata anche la storia della mia famiglia, e questo è quello che vi direbbe, se ascoltato: non voglio un'Europa che mi imponga una transizione verde così veloce. La terra è la mia casa e io faccio già di tutto per salvaguardarla, ci vivo. Io, agricoltore, devo avere il tempo di recepire le vostre politiche per adattarle ai miei terreni e alla mia vita. Io, agricoltore, sono stanco di essere vessato da richieste incoerenti e arbitrarie che ostacolano il mio lavoro, invece di agevolarlo. Io, agricoltore, tramando il sapere dei miei nonni alle nuove generazioni e alla tecnologia, mentre voi a Bruxelles producete ogni giorno regole e imposizioni che vanno contro la mia sopravvivenza. Io, agricoltore, sono allibito nel vedere politiche europee che minacciano le mie specialità e promuovono carne sintetica, grilli e cavallette, che poco hanno a che vedere con la transizione verde, con la mia esperienza e soprattutto con la vostra lunga vita.
Cari colleghi, così ci vedono i nostri agricoltori, anzi vi vedono. Gli obiettivi legati alla transizione verde devono essere conciliati con le possibilità dei nostri agricoltori. Le attuali politiche favoriranno le importazioni dai paesi terzi, dove non è prevista reciprocità e i controlli sui prodotti sono meno rigorosi di quelle imposte ai nostri agricoltori.
"
Elena LIZZI,2023-02-16,IT,Availability of fertilisers in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-16-INT-4-060-0000_IT.html,"  Elena Lizzi (ID).   – Signor Presidente, onorevoli colleghi, signor Commissario, accogliamo con favore questa interrogazione orale perché pone importanti questioni che noi, come Lega-Salvini Premier del gruppo ID, stiamo cercando di portare alla luce da mesi.
La guerra tra Russia e Ucraina ha esacerbato il problema della dipendenza europea di fertilizzanti da un numero ristretto di fornitori. La Russia, prima della guerra, rappresentava il 16 % delle esportazioni mondiali di fertilizzanti e oggi, secondo noi, le azioni da attuare sono molteplici. A breve termine è fondamentale attuare politiche di sostegno ai produttori europei di concimi, anche attraverso aiuti di Stato e strumenti di finanziamento previsti nei piani strategici della PAC e addirittura, come da noi richiesto, l'utilizzo del fondo di riserva di crisi agricola, spesso destinato a fini non propriamente agricoli, come è successo nel 2020 signor Commissario.
Nel lungo periodo bisogna adottare una visione strategica implementando misure di accompagnamento, quali il supporto al riciclo dei nutrienti provenienti da flussi di rifiuti e incremento di produzione di ammoniaca verde. Se vogliamo aiutare il comparto, dobbiamo anche snellire le pratiche burocratiche volte a ottenere gli aiuti che creano tanti ritardi e tante perdite economiche e ambientali. Non c'è più tempo per i ritardi. Gli agricoltori e i consumatori si meritano risposte e azioni mirate e repentine per affrontare questa crisi ricaduta involontariamente sul loro lavoro e sulla nostra sicurezza alimentare.
Ci aspettiamo che la Commissione si occupi dei problemi reali dell'agricoltura. D'altro canto, si tratta e si chiama settore primario.
"
Elena LIZZI,2023-01-19,IT,Revision of the European Works Councils Directive (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-19-INT-4-023-0000_IT.html,"  Elena Lizzi (ID).   – Signor Presidente, signor Commissario, onorevoli colleghi, vorrei ringraziare innanzitutto il collega Radtke per il lavoro svolto finora sulla relazione, si parla di raccomandazioni alla Commissione concernenti la revisione della direttiva sui comitati aziendali europei. 
Sono passati diversi anni dalla pubblicazione della direttiva e abbiamo avuto così modo di testare e verificare che la costituzione dei comitati aziendali europei ha faticato a raggiungere il suo scopo principale, ovvero la creazione di un sistema di relazioni industriali transnazionale, che possa fungere da contraltare ai diffusi processi di globalizzazione. Si voleva incentivare il dialogo sociale e l'anticipazione dei mutamenti delle società internazionali.
Così come avvenne nel 2009, il quadro giuridico per l'istituzione dei comitati aziendali europei necessita di un adeguamento all'evoluzione del contesto legislativo, economico e sociale. Un aggiornamento della direttiva ci sembra pertanto anche giusto e sensato, perché i comitati aziendali europei possono e soprattutto devono rappresentare uno strumento utile, soprattutto nei casi di delocalizzazione o ristrutturazione che impattano migliaia di lavoratori e, in alcuni casi, lo stesso tessuto economico e produttivo locale. 
Tuttavia, come abbiamo sempre evidenziato durante questi mesi di lavoro parlamentare, sono rimaste nel testo alcune parti controverse dal punto di vista giuridico. Infatti, come spesso accade in questo Parlamento, alcune proposte vanno ben oltre le competenze dell'Unione in materia di lavoro e diritti sociali. 
Entrando nel particolare su due punti, vorremmo qualche chiarimento, se possibile anche dal Commissario. Sono previste una richiesta di ingiunzione preliminare dinanzi ai tribunali nazionali per sospendere la decisione del management e poi la previsione di entrare nel dettaglio sull'importo delle sanzioni da comminare in caso di mancata consultazione dei comitati aziendali europei. Questi sono due chiari esempi di sconfinamento delle competenze nazionali. Qual è quindi il punto di caduta secondo la Commissione? 
Al di là di questi aspetti poco convincenti, le attuali problematiche dei comitati aziendali europei sono destinate a crescere nei prossimi anni e per questo dovremmo cercare di intervenire. Noi saremo sempre impegnati con l'intento di dare maggiore stimolo e ci piacerebbe anche poter votare a favore della relazione, se solo venissero risolti i passaggi critici che abbiamo evidenziato. 
"
Elena LIZZI,2022-12-12,IT,A long-term vision for the EU's rural areas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-135-0000_IT.html,"  Elena Lizzi,  a nome del gruppo ID. –Signora Presidente, signora Commissaria, onorevoli colleghi, ringrazio la relatrice Carvalhais e tutti i colleghi per i compromessi raggiunti, nonostante le nostre proposte non siano state incluse.
Le aree rurali rappresentano sicuramente una grande opportunità, sia per i nostri giovani, che vogliono riscoprire il valore della terra, sia per coloro che devono inventarsi o reinventarsi, giocoforza, una nuova vita, e di conseguenza un nuovo lavoro, a causa degli eventi che in questi ultimi anni ci hanno investito.
La ricerca di lavoro e l'opportunità di creare un substrato economico nelle aree limitrofe dei nostri paesi devono essere ai primi posti degli obiettivi politici. Le zone rurali nell'Unione europea ospitano circa il 30 % della popolazione, eppure coprono circa l'80 % della superficie complessiva dell'Unione europea.
Data la grandezza in termini di superficie, esse devono essere valorizzate e si devono implementare politiche che attraggano le persone, garantendo ad esse gli stessi servizi e le stesse occasioni delle aree urbane che sono al momento, dal punto di vista professionale, più attrattive.
Per questo bisogna puntare anche su innovazione e ricerca per rendere queste aree più accoglienti, anche con l'aiuto prezioso delle università e degli enti locali che più di tutti hanno il polso della vita reale in queste zone.
Come Lega e come gruppo ID sosteniamo tutti gli sforzi messi in atto per difendere le regioni rurali italiane ed europee, ma dobbiamo garantire che queste popolazioni, e soprattutto i nostri agricoltori, siano protetti anche dalle nuove insidie, come i grandi carnivori ad esempio.
Chi vuole creare un'impresa deve aver garantito il diritto di salvaguardarla. Per questo motivo riteniamo che ci voglia una maggiore presa di posizione, poiché i grandi carnivori hanno un impatto sulla redditività dell'agricoltura, in particolare in terreni agricoli a gestione estensiva, e crediamo che sia necessario garantire una coesistenza equilibrata tra gli esseri umani e questi predatori delle zone rurali.
Nel complesso riteniamo che il testo sia abbastanza equilibrato, ma avremmo voluto ottenere di più, non ci avete ascoltato. Avete sbagliato e non solo in questa occasione.
"
