MP,Date,Language,Title,Url,Content
Elisabetta GUALMINI,2023-11-08,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-036-0000_EN.html,"  Elisabetta Gualmini,  on behalf of the S&D Group. – Madam President, dear colleagues, the various proposals that have been made by the different political groups mirror the gravity of the situation in the Middle East and this Parliament’s strong engagement to contribute to putting an end to violence and to the suffering of innocent civilians in the region.
And in light of our responsibility as the European Union’s Parliament, it is of crucial importance that our House stands united in this commitment. So, in this spirit, I move a joint proposal on behalf of the EPP, S&D and Renew Groups to add a debate under the title ‘The humanitarian crisis in Gaza and the need for a humanitarian pause’ on the plenary agenda, which could take place this afternoon jointly with our debate on the outcome of the European Council meeting without a resolution. So I hope that a large majority of this Parliament of this House will support this compromise.
"
Elisabetta GUALMINI,2023-11-08,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-057-0000_EN.html,"  Elisabetta Gualmini (S&D). – Madam President, dear colleagues, given the statements made yesterday by Commissioner Hahn in the BUDG and CONT committees, on behalf of the S&D Group I would like to withdraw our request for a debate on ‘the continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary’, but, however, given the recent media reports, we would like to stress the need to remain vigilant and keep up the pressure on the European Commission not to release any funds for Hungary, and we will therefore ask for this debate again for the November II plenary session.
"
Elisabetta GUALMINI,2023-10-04,IT,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-153-0000_IT.html,"  Elisabetta Gualmini,  a nome del gruppo S&D. – Signora Presidente, onorevoli colleghi, la casa è un diritto fondamentale, un diritto di cittadinanza, non è una concessione. Se hai un tetto sopra la testa, puoi vivere in sicurezza, puoi pensare a progetti per il futuro, crearti una famiglia, realizzare i tuoi desideri. Se invece sei strozzato da un mutuo che hai l'angoscia di non poter pagare, vivi in una condizione di insicurezza. Se sei costretto a dormire in tenda, non solo per protestare contro gli affitti ma perché non trovi uno straccio di stanza a prezzi sostenibili per poter studiare, vuol dire che il modello sociale europeo non tiene più, che il welfare non tiene più.
Ci sono poi le speculazioni finanziarie, per cui la casa diventa un oggetto da scambiarsi sul mercato con rialzi che vengono scaricati sulla pelle dei cittadini. In Italia poi siamo meravigliosi: siamo riusciti a cancellare le uniche cose che funzionavano. Il governo Meloni ha raso al suolo il fondo morosità e il fondo per gli affitti. Ecco, trentatré città chiedono un piano ""Next Housing EU"". 
Dobbiamo lavorare sugli investimenti e sugli impegni seri. Basta con una Banca centrale che alza i tassi e strozza milioni di famiglie, basta prendersela con i più poveri.
"
Elisabetta GUALMINI,2023-10-02,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-041-0000_EN.html,"  Elisabetta Gualmini,  on behalf of the S&D Group. – Madam President, we absolutely believe that water management is a crucial topic, but we really would like to address this subject also with a debate with a larger, all-encompassing title, including on the impact on agriculture and nature. And so we would propose a broader title: the Council and Commission statements on responsible water management, nature restoration and agriculture.
However, we know that there are some other political groups that would like to have more time to discuss and to have a debate. And so in the spirit of compromise, we suggest that the debate be moved to the October II plenary session.
"
Elisabetta GUALMINI,2023-09-13,IT,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-026-0000_IT.html,"  Elisabetta Gualmini (S&D).   – Signora Presidente, onorevoli colleghi, Commissaria, in Europa sono cambiate tante cose in questo mandato. Siamo contenti che anche punti della nostra agenda come Socialisti e Democratici siano diventati i punti della sua agenda, specialmente dopo la pandemia.
Abbiamo sostenuto la svolta sociale dell'Unione, al posto dell'austerità la solidarietà; l'Europa ha trovato per un attimo la sua anima, ci siamo scordati del mercato. Ma ci sono cose che non tornano. Il suo partito, il Partito Popolare, sta bloccando oggettivamente provvedimenti più importanti del Green Deal: è la verità. Lei ci ha rassicurato alla fine del suo discorso, e le vogliamo credere: we want to believe you, but we are a little bit sceptical about that.
Per non parlare dei migranti: lei è andata a braccetto mano nella mano in Tunisia con Giorgia Meloni, la leader di un partito euroscettico e sovranista, sperando di pagare un leader autocratico perché si tenga tutti i migranti in Tunisia. Non penso che questa sia una buona strategia: a braccetto con una leader che diceva che bisogna uscire dall'euro, che l'Europa è l'Europa degli usurai, che la Commissione europea è come l'Unione Sovietica e che vuole un'Europa minima al servizio degli Stati nazionali.
Allora, non ci si inventa europeisti dalla sera alla mattina. Serve un'Europa forte sui migranti, con competenze robuste e solidarietà obbligatoria e lei ci deve dire veramente da che parte sta: se dalla parte dell'Europa come libertà, come democrazia, come pluralismo, come accoglienza responsabile, o dell'Europa dei muri, del nativismo; dell'Europa dell'estrema destra, dei nazionalismi; dell'Europa che chiude le porte. Perché o si sta da una parte o si sta dall'altra. 
E noi vogliamo essere europeisti veri, non europeisti riluttanti. Vogliamo l'Europa come progetto di liberazione dell'uomo, quella che voleva David Sassoli, con quell'ansia di giustizia e di libertà a cui tutti aspirano: l'Europa delle donne, dei diritti, l'Europa della crescita e dello sviluppo, l'Europa della fraternità e della speranza. Ci dica davvero da che parte sta.
"
Elisabetta GUALMINI,2023-09-12,IT,"Towards a more disaster-resilient EU - protecting people from extreme heatwaves, floods and forest fires (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-033-0000_IT.html,"  Elisabetta Gualmini (S&D).   – Signor Presidente, onorevoli colleghi, la transizione ecologica è una polizza salvavita per l'umanità. Qui a Bruxelles e a Strasburgo ci dicono che la destra e la sinistra governano insieme su tante materie: ma sul cambiamento climatico non è proprio così. Bisogna che lo diciamo forte e chiaro: c'è una destra e c'è una sinistra. I voti sono diversi, i comportamenti sono diversi, le strategie sono diverse. 
La destra sovranista ha fatto dell'ecoscetticismo la sua bandiera. Le forze progressiste invece hanno scelto il Green Deal, la necessità di lottare contro un cambiamento climatico devastante. Noi siamo quelli della mitigazione e dell'adattamento; voi quelli del ""Ma ha sempre fatto caldo, è sempre stato così"". Noi quelli della protezione della natura; voi quelli del negazionismo e della rimozione. Noi quelli delle fonti rinnovabili; voi quelli innamorati del fossile. Noi quelli della salvaguardia del futuro; voi quelli della salvaguardia del passato. Lo abbiamo visto in Emilia Romagna: un governo di destra che fa una battaglia politica disgustosa sulla pelle degli alluvionati e che non manda i risarcimenti. 
Chiediamo alla Commissione, alla sua Presidente, se vogliamo andare avanti con il Green Deal, perché la sua stessa forza politica ci sembra andare in direzione opposta. Diteci la verità: si va avanti oppure no? 
"
Elisabetta GUALMINI,2023-07-10,IT,Protection of workers from extreme heat and other extreme weather phenomena resulting from the climate crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-178-0000_IT.html,"  Elisabetta Gualmini,  a nome del gruppo S&D. – Signora Presidente, signor Commissario, onorevoli colleghi, le inondazioni torrenziali in Emilia Romagna del maggio scorso sono un caso esemplare dell'impatto della crisi climatica su imprese e lavoratori. Abbiamo avuto oltre 12 000 aziende agricole devastate, 14 000 altre imprese distrutte, 15 morti, tra cui lavoratori.
Noi ci crediamo veramente alla lotta al cambiamento climatico, certo con buonsenso, con ragionevolezza, accompagnando la transizione ecologica con compensazioni per famiglie e imprese, quindi senza fissazioni e ideologie.
Invece la destra in Europa al cambiamento climatico non ci crede. Non ci crede la destra al governo in Italia, perché ha cincischiato per un mese e mezzo prima di nominare un commissario alla ricostruzione, mettendo veti sull'unica persona che poteva farlo, cioè il presidente della Regione. Non ci crede la destra di Meloni che è affetta da schizofrenia per cui, da un lato, dice che per ricostruire servono nove-dieci anni e poi nomina il commissario per un anno, guarda caso proprio in concomitanza con le elezioni regionali. E non ci crede la destra di Meloni perché ancora non ha fatto richiesta del Fondo di solidarietà europeo, che la Commissione ha pure aumentato, la cui scadenza è il 25 luglio e si rischia di perdere centinaia di milioni sulla pelle dei lavoratori.
Perché tra destra e progressisti c'è una bella differenza sulle crisi climatiche e l'impatto sui lavoratori e l'ambiente: la destra è innamorata del fossile, la destra nega che il surriscaldamento sia tale.
Invece noi pensiamo che occorra prevenire, mitigare, aiutare tutti i lavoratori in un ambiente di lavoro migliore e ripristinare un po' di sana natura. Per fortuna destra e sinistra sono così lontane, e io dico, ben venga!
"
Elisabetta GUALMINI,2023-06-14,EN,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-023-0000_EN.html,"  Elisabetta Gualmini (S&D).   – Mr President, dear Minister, dear Commissioner, let us give the state. What is the state? So having unblocked the Migration Pact is a positive fact. But we are only at the beginning and we really hope to improve the text. 
First, the obsession with repatriations everywhere. It seems that the most important thing is to send the migrants back, to push them back as if they were parcel post packages, even in countries of transit, when we know very well that it is not easy at all to make reliable deals with those states. So this risks to be a bluff. 
Second, the idea of outsourcing, again by giving money migration policies to external states. Tunisia, this time, an authoritarian state with an autocratic president who arrests a journalists, who represses the opposition, who carries out violent persecutions of black Africans. This is simply nonsense. 
It is clear that we cannot welcome everyone and for this reason we need the mandatory solidarity among Member States, not voluntary relocation or EUR 20 000 for migrants, which is pretty disgusting. Luckily, the money will go to an outside fund. So let us start the negotiations with responsibility and pragmatism. Let us hope to improve the text. 
"
Elisabetta GUALMINI,2023-06-12,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-040-0000_EN.html,"  Elisabetta Gualmini,  on behalf of the S&D Group. – Madam President, actually, we are in favour of the compromise suggested by the EPP because the title is sufficiently broad, and also because we think that we have to defend the role of the European Parliament in the negotiations that will start soon. So we think that there is a broad title, and this allows us to begin the negotiations and to try to find a good compromise also on our part.
"
Elisabetta GUALMINI,2023-05-31,IT,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-042-0000_IT.html,"  Elisabetta Gualmini,  a nome del gruppo S&D. – Signora Presidente, intanto Le esprimo la mia gratitudine per le Sue parole. Come Lei ha detto, siamo di fronte a una terra ferita, quella dell'Emilia-Romagna, delle Marche e, in parte, della Toscana. Abbiamo visto un ciclone con la forza di un uragano, colline che si abbassano e fiumi che si alzano, un fiume di 50 centimetri è diventato alto 12 metri.
E di fronte a questa catastrofe naturale davvero io penso che sia importante avere il supporto e il sostegno di tutte le forze politiche, in modo che il Parlamento esprima non solo la solidarietà, ma anche la richiesta alla Commissione europea perché siano stanziati i fondi e gli aiuti necessari.
Propongo dunque un titolo di compromesso tra la proposta dei Verdi, che ringrazio, e di Renew; il titolo sarebbe ""Commission statement on the social and economic costs of climate change in light of the floods in Emilia-Romagna, Marche and Toscana and the urgent need for European solidarity"".
"
