MP,Date,Language,Title,Url,Content
Emmanuel MAUREL,2023-12-12,FR,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-495-0000_FR.html,"  Emmanuel Maurel,  au nom du groupe The Left. – Monsieur le Président, s’il y a bien un domaine dans lequel l’autonomie stratégique de l’Union européenne reste à démontrer, c’est celui de la relation transatlantique, car les Européens et les Américains sont loin d’avoir toujours les mêmes intérêts, et la chute de Trump n’a réglé aucune de nos divergences.
Prenons la loi américaine sur la réduction de l’inflation ou le règlement sur les semi-conducteurs: vous avez des Américains qui donnent des centaines de milliards aux entreprises pour quitter l’Europe et déménager sur leur territoire. Ils poursuivent toujours leurs sanctions extraterritoriales. Et nous, que faisons nous? Eh bien rien. En tout cas pas grand chose. Parfois même, on en redemande. Oui, on en redemande, parce que je trouve incroyable que nous allions négocier en coulisses, et d’ailleurs peut être en violation des traités, un accord commercial dont nous savons déjà qu’à la fin il sera inégal.
Je veux parler du Conseil du commerce et des technologies UE - États-Unis, voulu par Mme von der Leyen et par Mme Vestager, et qui prévoit en réalité de donner nos données et nos entreprises numériques aux États-Unis. Et je pourrais parler des normes, aussi, en citant l’Institut européen de standardisation, qui est dirigé par un employé d’Intel au moment où on discute de choses cruciales.
Il faut alors regarder la réalité en face et surtout anticiper. Anticiper, éventuellement, un retour de Trump. Qu’allons-nous faire? Je vous pose la question. 
"
Emmanuel MAUREL,2023-11-22,FR,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-317-0000_FR.html,"  Emmanuel Maurel (The Left).   – Monsieur le Président, je comprends les peuples qui veulent rejoindre l’Union européenne, à commencer par le peuple ukrainien qui est agressé et de qui nous sommes solidaires. Je comprends les collègues, sincères, dans cet hémicycle, qui considèrent que c’est notre devoir moral de les accueillir et que c’est aussi nécessaire d’un point de vue géopolitique. Mais à l’encontre des évidences, je pose la question: sommes-nous prêts à absorber un tel choc? Les conditions économiques et politiques sont-elles réunies? Je crois que non. Les conditions politiques, vous en avez parlé: les pays dont on parle ne respectent évidemment pas les critères de Copenhague.
Mais il y a aussi notre propre situation: la crise économique que nous rencontrons, la crise sociale, l’explosion des inégalités. Et je ne suis pas sûr que les salariés européens soient prêts à payer pour un nouvel élargissement, à la fois en raison des transferts budgétaires mais aussi du dumping social. Je vous dis de penser à cela: l’Europe est une construction très fragile et je ne suis pas sûr que nous soyons prêts aujourd’hui à absorber 50 millions d’habitants supplémentaires dans l’Union européenne.
"
Emmanuel MAUREL,2023-11-22,FR,"Latest attacks against women and women's rights defenders in Iran, and Iran's arbitrary detention of EU nationals",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-402-0000_FR.html,"  Emmanuel Maurel,  au nom du groupe The Left. – Madame la Présidente, répétons inlassablement leur nom: Mahsa Amini, 22 ans, et Armita Geravand, seize ans. La police des mœurs du gouvernement iranien les a tuées parce qu’elles ne voulaient plus porter le voile. Quant à Narges Mohammadi, lauréate du prix Nobel de la Paix, et Nasrin Sotoudeh, lauréate du prix Sakharov, elle croupissent toujours en prison dans des conditions de vie indignes. 
Après l’échec de l’accord de Vienne sur le nucléaire iranien qui avait été provoqué notamment par Trump, les mollahs et les sinistres gardiens de la révolution ont déchaîné une répression aveugle contre leur propre peuple, tuant plus de 500 manifestants et en exécutant des dizaines d’autres. 
Aujourd’hui, pourtant, les femmes osent sortir sans voile. Elles ne flanchent pas. Elles submergent la police des mœurs par leur détermination et par leur nombre. Et l’Europe doit dire qu’elle est à leurs côtés. Elle doit soutenir les sanctions contre les dirigeants iraniens. Elle doit évidemment demander l’arrêt immédiat des exécutions. Elle doit aussi, et nous le ferons le mois prochain, soutenir les femmes iraniennes en leur décernant le prix Sakharov, qui sera un des meilleurs symboles de cette fin d’année.
"
Emmanuel MAUREL,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-195-0000_FR.html,"  Emmanuel Maurel (The Left).   – Madame la Présidente, cet accord de libre-échange avec la Nouvelle-Zélande, c’est un peu la quintessence de l’hypocrisie et du double langage européen. C’est-à-dire que cela fait des années que sur tous les bancs, on parle du Pacte vert, on veut absolument concilier le climat et le développement économique, et de l’autre, on se gargarise d’avoir enfin signé un accord avec un pays à près de 20 000 kilomètres d’ici. Donc intensifier les échanges commerciaux à force de gros bateaux et de cargos polluants, pour importer quoi, du lait, des ovins, des pommes? C’est-à-dire des choses que nous sommes totalement capables de produire en Europe.
Alors là, je ne comprends pas l’argument consistant à dire que c’est un accord progressiste. Qu’est-ce qui est progressiste? Oui, le texte va respecter les normes internationales du travail. Encore heureux! Qu’est-ce qui est progressiste? Ah oui, mais attention, il y a des sanctions prévues en dernier recours si on ne respecte pas l’accord de Paris. Mais on sait très bien ce que ça veut dire, «en dernier recours»: il n’y en aura pas.
Et puis il y a un dernier argument, et là je suis en désaccord total avec le collègue Caspary, je dis qu’il faut arrêter de sacrifier les agriculteurs européens, et dans cet accord ils sont une fois de plus sacrifiés. L’agriculture devient de plus en plus la variable d’ajustement à chaque fois qu’on fait du commerce. Eh bien ça ne peut pas durer, et c’est la raison pour laquelle je pense qu’il faut rejeter cet accord.
(L’orateur accepte de répondre à une question «carton bleu»)
"
Emmanuel MAUREL,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-197-0000_FR.html,"  Emmanuel Maurel (The Left),  réponse «carton bleu». – Mais, madame Melchior, vous savez que pendant très longtemps, l’Europe avait une agriculture ovine, c’est-à-dire des agneaux de très grande qualité. Mais justement, à force de concurrence déloyale, on a aujourd’hui un secteur entier de l’agriculture européenne qui ne va pas bien. Mais quand même, renseignez-vous sur la façon dont la viande ovine est amenée de Nouvelle-Zélande jusqu’en Europe pour être vendue de façon totalement hypocrite comme viande fraîche dans les supermarchés européens alors qu’elle a passé plusieurs jours, voire plusieurs semaines, sur des cargos dans un emballage plastique qui, franchement, pose un certain nombre de questions. Donc moi, je suis en désaccord total avec vous. Et si on est capables, comme on l’a été pendant des années, de produire de la viande ovine ou caprine en Europe, alors on peut continuer de le faire.
"
Emmanuel MAUREL,2023-10-18,FR,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-177-0000_FR.html,"  Emmanuel Maurel,  au nom du groupe The Left. – Madame la Présidente, l’Europe géopolitique, ça commence par la cohérence du message et par la cohésion des dirigeants. Excusez-moi de vous le dire, mais c’est la pagaille! Vous avez d’un côté un commissaire qui annonce unilatéralement qu’il suspend l’aide aux Palestiniens, de l’autre une commissaire qui le dément dans la journée, et on attend deux jours pour avoir la position de la Commission qui, finalement, triple l’aide.
Mme von der Leyen se rend en Israël et tient un message totalement déséquilibré, et il faut que le président du Conseil, M. Michel, convoque une réunion aujourd’hui pour la rappeler à l’ordre. Je m’excuse, mais cela ne donne pas une impression de sérieux.
C’est pareil pour la cohérence du message et le double langage. D’un côté, on dit: dès qu’il y a un pays qui en agresse un autre, on arrête les relations diplomatiques et on fait des sanctions économiques, et Mme von der Leyen va en grande pompe en Azerbaïdjan pour célébrer un accord gazier, alors que le nettoyage ethnique a déjà commencé au Haut—Karabagh. Avec ce double langage, je m’excuse, mais l’Europe géopolitique, ça ne fait pas sérieux non plus.
La troisième chose, à mon avis la plus importante, c’est quand même notre indépendance. Or, très clairement, dans la Commission européenne, et singulièrement avec la Présidente de la Commission européenne, il y a un problème d’alignement systématique sur la position des Américains.
On peut donc dire tout ce qu’on veut sur l’Europe géopolitique, souveraine, indépendante, mais pour l’instant ce sont des mots qui ne sont pas suivis des actes.
"
Emmanuel MAUREL,2023-10-04,FR,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-355-0000_FR.html,"  Emmanuel Maurel (The Left).   – Madame la Présidente, autant le dire tout de suite, je ne partage pas l'enthousiasme débridé de la majorité des collègues ici pour le commerce mondialisé. Et je pense qu'il n'y a rien de durable à vouloir multiplier les accords de libre-échange, pas plus qu'il n'est dans l'intérêt de notre supposée autonomie stratégique d'ouvrir l'Europe aux marchandises du monde entier, souvent fabriquées dans des conditions déplorables. 
Je rappelle ici que les émissions de gaz à effet de serre liées aux échanges commerciaux représentent un quart des émissions totales mondiales. La vérité, c'est que le libre-échange généralisé est incompatible avec la lutte contre le changement climatique. Le débat sur le projet d'accord Mercosur l'illustre parfaitement. Si nous disons oui à cet accord, alors nous dirons oui à la déforestation, oui à l'agrobusiness, à la prédation des terres et à la destruction de la biodiversité. 
Au-delà de ce cas spécifique, on ne peut pas parler à la fois de Green New Deal à longueur de séance et continuer comme si de rien n'était à importer depuis des pays qui continuent de construire des centrales électriques au charbon comme la Chine, l'Inde ou l'Indonésie. Et pour moi, il faut refonder complètement notre système économique et commercial en privilégiant la relocalisation des activités et les entreprises et les emplois en Europe. 
C'est sur ces bases-là qu'on pourra continuer à avoir des relations durables avec les autres puissances économiques, et certainement pas en perpétuant une mondialisation où ce sont les pauvres des pays riches qui financent les riches des pays pauvres.
"
Emmanuel MAUREL,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-360-0000_FR.html,"  Emmanuel Maurel (The Left).   – Madame la Présidente, depuis un an et demi, nous soutenons sans relâche et sans ambiguïté le peuple ukrainien agressé par le régime de M. Poutine. Nous ne laissons pas tomber les Ukrainiens. 
Alors, je m'adresse à la Commission, pourquoi laissez-vous tomber le peuple arménien? La vérité, c'est que vous faites pire que les laisser tomber puisque vous avez signé en juillet 2022 un accord gazier avec l'Azerbaïdjan en vous félicitant en grande pompe, je cite Mme von der Leyen, de ce partenariat fiable, alors même que les nettoyages ethniques avaient déjà commencé au Haut-Karabakh. 
Et aujourd'hui, la situation est catastrophique. On l'a dit, plus de 100 000 réfugiés, sur une population totale de 120 000, qui ont été jetés sur les routes de l'exode par M. Aliyev. Et on ne peut pas se contenter simplement de promesses d'aide humanitaire. C'est d'ailleurs ne pas connaître la situation puisque aujourd'hui, il y a un blocus qui fait qu'aujourd'hui la nourriture et les médicaments ne peuvent pas passer. 
Il faut aller évidemment plus loin, et entendez, Madame la Commissaire, entendez les parlementaires européens qui vous disent non seulement d'arrêter cet accord gazier, mais de prendre des sanctions envers un régime qui aujourd'hui ne respecte aucun principe et que nous devons condamner sans aucune ambiguïté.
"
Emmanuel MAUREL,2023-10-03,FR,Taking stock of Moldova's path to the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-405-0000_FR.html,"  Emmanuel Maurel,  au nom du groupe The Left. – Monsieur le Président, la situation de la Moldavie, qui est quand même le pays le plus pauvre d'Europe, voisin de l'Ukraine, reste extrêmement précaire. Elle n'est pas encore parvenue à surmonter la crise qui l'a frappée en 2020 et qui, évidemment, a redoublé d'intensité à cause de la guerre de Vladimir Poutine. On a un taux d'inflation qui est très préoccupant, mais c'est le cas aussi de la dette publique, du déficit public, qui ne sont pas soutenables à long terme. 
Et cela n'a pas empêché la Moldavie pour autant, d'autres collègues l'ont dit, de prendre plus que sa part dans l'accueil des réfugiés ukrainiens, 100 000 au premier semestre. Et c'est donc un pays courageux qui mérite qu'on l'aide. Et c'est ce que nous faisons en mobilisant un certain nombre de dispositifs comme l'assistance macrofinancière ou le mécanisme de protection civile à hauteur de plus de 1 milliard d'euros depuis deux ans. 
Après, il y a la question de l'adhésion et, je vous le dis, je reste très prudent, parce que je ne suis pas sûr que la Moldavie soit prête aujourd'hui à démarrer des négociations d'adhésion. Je pense d'ailleurs que toute décision dans ce sens serait précipitée, voire même contreproductive, tant les structures politiques, administratives et judiciaires de la Moldavie, où sévit d'ailleurs une corruption endémique, ne peuvent pas s'adapter aussi vite que nous le souhaitons. 
Ce dont les Moldaves ont avant tout besoin, c'est de l'aide. Et ça, je pense qu'on peut le comprendre et le faire ensemble, notamment dans le domaine de l'énergie. Mais pour le reste, sur la question de l'élargissement, je vous en conjure, chers collègues, il ne faut pas qu'on donne l'impression d'une fuite en avant. On a l'impression que l'Europe, ne sachant pas où elle va, a pour principe de s'élargir toujours plus, sans que jamais nous posions la question principielle de la raison de cet élargissement. J'ajoute qu'il y a beaucoup de concurrence intraeuropéenne, beaucoup de dumping social, et il ne faudrait pas que la conséquence de tout ça, ce soit le rejet de l'Europe par les peuples.
"
Emmanuel MAUREL,2023-07-13,FR,Global Convergence on Generative AI (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-049-0000_FR.html,"  Emmanuel Maurel,  au nom du groupe The Left. – Monsieur le Président, quand on est confronté à une technologie aussi révolutionnaire que l’intelligence artificielle générative, il y a deux écueils à éviter. D’abord, le catastrophisme inspiré par des films de science-fiction, disons anxiogènes, mais aussi la naïveté technophile qui consiste à adorer par principe tout ce qui est nouveau.
Nous essayons ici, dans ce Parlement, d’avoir une position plutôt moyenne, une position rationnelle qui consiste à dire que l’intelligence artificielle générative peut nous apporter des progrès, à condition d’être utilisée à bon escient. Notamment de pouvoir être débranchée mécaniquement, ce qui n’a pas été dit depuis le début, mais je le dis, s’il lui venait l’idée un jour de prendre le contrôle. Autrement dit, il faut réglementer l’IA avant que ce soit elle qui nous réglemente.
Alors notre ambition, c’est évidemment une intelligence artificielle «made in Europe». Et pour cela, nous avons de nombreux atouts. Avec la régulation et le soutien de la puissance publique, nos chercheurs, développeurs, entrepreneurs sont parfaitement capables d’édifier un modèle d’IA générative centré sur l’humain. Mais quand je dis «made in Europe», je pense que nous devons nous distinguer du modèle chinois, évidemment, mais aussi américain, parce que nos conceptions sont différentes, notamment sur la protection des données, la transparence et le droit d’auteur.
Et je vous le dis, l’ersatz de bouclier de protection des données entre les États-Unis et l’Europe, qui a été négocié par Mme von der Leyen, me semble largement insatisfaisant. Il y a encore des choses à faire pour parer aux risques relatifs à l’exploration des données et au pillage des données, pour protéger nos créateurs et pour mieux informer le public qui aujourd’hui doit pouvoir distinguer les fausses images des vraies.
J’espère de tout cœur que le Conseil, qui n’est pas là, prendra en compte les aspirations des parlementaires pour arriver à une sorte d’IA européenne ouverte qui soit ambitieuse et digne de notre continent. 
"
