MP,Date,Language,Title,Url,Content
Engin EROGLU,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-039-0000_DE.html,"  Engin Eroglu (Renew).   – Herr Präsident, sehr geehrter Herr Kommissar! Wir beschließen heute ein Gesetz, was wirklich gut ist für die Europäische Union, denn wir machen uns unabhängig – oder unabhängiger – von den Importen von kritischen Rohstoffen. Ich bin der festen Überzeugung, dass dieses Gesetz auf dem richtigen Weg ist, und ich möchte allen Berichterstattern, vor allem Nicola Beer, für diese hervorragende Arbeit danken, denn wir haben hier in kürzester Zeit bewiesen, dass Politik und vor allem das Europäische Parlament handlungsfähig ist.
Wir werden als Europäische Union immer abhängig sein von den Importen von kritischen Rohstoffen. Deswegen finde ich es auch gut, dass hier nicht nur Bürokratieabbau stattfindet, nicht nur auch die Förderung von Rohstoffen in der Europäischen Union möglicher gemacht wird, sondern dass hier auch ganz klar das Zeichen für Recycling gesetzt wird und auch besser mit den Wertstoffketten umgegangen wird. Denn wir müssen souveräner werden, wir müssen gegenüber Drittstaaten selbstständiger werden, und das bedeutet auch, dass wir die Rohstoffe brauchen für unsere Industrie. Denn wir wollen Industriekontinent bleiben und nicht auf irgendwelchen Kuckucksheimen wohnen. Das ist die feste Überzeugung unserer politischen Familie. Deswegen ist dieses Gesetz richtig.
"
Engin EROGLU,2023-12-11,DE,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-083-0000_DE.html,"  Engin Eroglu (Renew).   – Frau Präsidentin, sehr geehrter Herr Kommissar! Bei der vergangenen Europawahl 2019 hat die Europäische Union erheblich an Vertrauen verloren. Und der Grund, warum wir an Vertrauen verloren haben, ist Herr Weber. Herr Weber ist Adressat dafür, denn die Fraktionen von CDU und CSU und ihre politische Familie haben den Menschen in Europa ein Spitzenkandidatensystem versprochen, was sie dann nicht eingehalten haben.
Es gibt viele Gründe, warum man sich jetzt da rausreden möchte. Am Ende des Tages hat man in Deutschland gesagt – und da ist der Schaden am höchsten –: Wählt die Union und ihr bekommt Herrn Weber. Dieses Versprechen wurde gebrochen. In Hinterzimmern kam dann Frau von der Leyen aufs Tableau, die man in Deutschland nicht mehr haben wollte und deswegen nach Brüssel geschickt hat. Ein unglaublicher Vorfall, ein unglaublicher Vertrauensverlust, der in die Europäische Union eingebracht worden ist.
Deswegen sage ich: Was wir brauchen, ist keine Diskussion über transnationale Listen, die sich die Union hier wünscht, sondern was wir hier brauchen, ist tatsächlich das Vertrauen zurück und eine Verkleinerung der Kommission, und aber auch – und da bin ich der festen Überzeugung – die Wahrheit und Klarheit in der Wahl. Und das hat uns die Union bei der letzten Europawahl genommen.
"
Engin EROGLU,2023-11-22,DE,Destruction of judicial independence and the persecution of democrats in Hong Kong (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-260-0000_DE.html,"  Engin Eroglu (Renew).   – Herr Präsident, sehr geehrte Damen und Herren Kollegen! Über was reden wir heute hier? 7,5 Millionen Menschen, die in Hongkong in den letzten drei Jahren alles verloren haben, was man verlieren konnte, wenn man an westliche oder globale Werte denkt – nicht nur Freiheit, sondern auch die Würde wurde verloren. Es ist unbestreitbar, dass die Kommunistische Partei innerhalb von drei, dreieinhalb Jahren hier 7,5 Millionen Menschen, die in einer Amtssprache Englisch in Freiheit geboren sind, aber heute in einer kommunistischen Diktatur leben, aufwachsen müssen oder sozialisiert werden – und China hört nicht damit auf; es geht weiter.
Wenn wir uns anschauen, dass über 60 % der Schulen christliche Träger in China sind, wird hier nicht einmal haltgemacht vor der Religionsfreiheit. Wir müssen – und das ist meine feste Überzeugung – den Scheinwerfer der Diskussion auch auf die Kommunistische Partei in China legen, denn ich bin der festen Überzeugung, dass das, was dort in Hongkong passiert, nicht zum Lehrstuhl von anderen Autokraten weltweit werden darf. Und das heißt für uns, dass wir jetzt bei dem Gipfel Europa-China darüber reden müssen und die Welt klar darüber aufklären müssen, was in Hongkong innerhalb von drei Jahren passiert ist.
"
Engin EROGLU,2023-10-18,DE,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-228-0000_DE.html,"  Engin Eroglu (Renew).   – Frau Präsidentin, sehr geehrter Herr Kommissar, sehr geehrter Herr Staatssekretär! „Es wird Zeit für ein wirklich geopolitisches Europa“ – die Überschrift entlarvt das Versagen von Frau von der Leyen, und, sehr geehrter Herr Borrell, es tut mir leid, dass Sie sich meinen Frust heute anhören müssen, denn Sie sind nicht alleiniger Verursacher dieses Versagens. Ja, wenn man nach außen außenpolitisch sein möchte, Herr Borrell, dann muss man ja nach innen funktionieren. Wenn man nach innen funktionieren will, dann muss man sich anschauen, was in der Europäischen Union los ist.
Liebe Kolleginnen und Kollegen, wir müssen doch schauen, dass wir in der Europäischen Union unsere Probleme lösen. Es kann doch nicht sein, dass wir den Landwirten in Europa das Leben schwermachen, dass wir weniger Lebensmittel produzieren. Es kann doch nicht sein, dass wir in einer Europäischen Union leben, in der Mitgliedstaaten über weit eine Dekade eine Jugendarbeitslosigkeit weit über 10 Prozent haben. Es kann doch nicht sein, dass wir in einer Europäischen Union leben, in der wir abhängig sind von medizinischen Importen, wenn es zu großen Krankheitsfällen oder Pandemien kommt. All das sind doch unsere Kernprobleme.
Herr Borrell, wenn Sie Ihren Nachfolgern irgendetwas Gutes tun möchten, sorgen Sie dafür, dass wir nach innen handlungsfähig werden. Erst dann werden wir von Drittstaaten ernst genommen. Deswegen ist es mir klar, dass Sie nach China reisen und darum bitten, ernst genommen zu werden. Wenn wir ernst genommen werden wollen, Herr Borrell, dann müssen wir erst einmal die Probleme der Europäischen Union lösen. Und das heißt auch, dass wir in der Kommission aufräumen müssen. Es kann doch nicht sein, dass jeder Mitgliedstaat einen Kommissar schickt. Eine Parlamentsmehrheit muss sich auch in der Kommission wiederfinden.
"
Engin EROGLU,2023-10-04,DE,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-190-0000_DE.html,"  Engin Eroglu (Renew).   – Frau Präsidentin, sehr geehrter Herr Kommissar, sehr geehrte Ratsvertretung! Wir reden heute über das tatsächlich wichtige Problem des Wohnraums in der Europäischen Union. Es ist ein wirkliches Problem der Menschen in der Europäischen Union, und wir müssen es lösen.
Die Diskussion ist tatsächlich auf dem Holzweg. Ich bin der festen Überzeugung: Wir diskutieren in die falsche Richtung. Mehr Subventionen im Wohnen bedeutet, dass wir den Menschen wieder an der einen Stelle Geld wegnehmen müssen, um es in die Subventionen hineinzuschieben.
Wir müssen – und das ist tatsächlich der Ansatz – das Bauen attraktiv machen. Wenn man Bauen attraktiv machen möchte, dann braucht es vielleicht mal einen Ausschuss zum Abbau der Bürokratie in der Europäischen Union. Die Europäische Union muss aber auch aufhören, den Banken das Leben schwer zu machen. Banken müssen in die Lage versetzt werden, Kredite zu verteilen.
Wenn man den Kipppunkt im Bauen erreichen möchte, dann muss man dafür sorgen, dass einfache Menschen − nicht Konzerne, die Subventionen abgreifen –, dass einfache Menschen wie Sie und ich wieder anfangen, ihr Geld ins Wohnen zu investieren. Das heißt: Lieschen Müller muss am Stammtisch beim Kaffeetrinken sagen: „Du, ich habe eine Eigentumswohnung gekauft, und das hat sich für mich gerechnet. Ich verdiene damit Geld, ich baue meine Altersvorsorge darauf auf.“ Und erst wenn der einfache Europäer, die einfache Europäerin an dem Punkt ist, zu sagen, es macht Sinn, Wohnraum zu schaffen, es macht Sinn zu vermieten, dann wird das Problem gelöst, nicht durch politisch falsche Ausrichtung.
"
Engin EROGLU,2023-09-14,DE,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-099-0000_DE.html,"  Engin Eroglu (Renew).   – Sehr geehrte Frau Vizepräsidentin Barley, sehr geehrte Frau Kommissarin, sehr geehrte Kolleginnen und Kollegen! Wir reden heute über die wichtige Arbeit der Feuerwehrleute in der Europäischen Union, und ich möchte gerne das Augenmerk auf die mehr als 3,2 Millionen ehrenamtlichen Feuerwehrfrauen und -männer in der Europäischen Union legen.
Ich bin der festen Überzeugung, dass gerade die Ehrenamtlichen und vor allem auch die im ländlichen Raum, wo die Gelder ja in ganz Europa wirklich knapp sind, die beste Ausrüstung verdienen.
Denn eins gilt immer, seitdem es Menschen gibt, die einem anderen Menschen helfen wollen, und gerade bei den Feuerwehren: Die Feuerwehren sind immer da, wenn man sie braucht. Egal wann, zu welcher Zeit, egal wie schlimm und lebensbedrohlich das Umfeld ist, Feuerwehrfrauen und -männer sind immer da, wenn man sie braucht.
Und wenn es Menschen gibt, die immer da sind, die man braucht, dann gehört es sich auch, dass wir als Politik gerade auch den Ehrenamtlichen im ländlichen Raum die bestmögliche Ausrüstung zur Verfügung stellen.
Und es geht nicht nur um das Menschenleben, sondern auch um Katastrophenschutz. Wenn Umweltgifte im Spiel sind, wenn Feuerwehrleute durch Umweltgifte bedroht sind, brauchen sie eine gute Ausrüstung.
Ich freue mich, dass die Kommission den Weg mitgeht, vielen Dank dafür!
"
Engin EROGLU,2023-09-13,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-240-0000_DE.html,"  Engin Eroglu (Renew).   – Sehr geehrter Herr Präsident, sehr geehrter Herr Kommissar, sehr geehrte Damen und Kollegen! Kritische Rohstoffe sind in aller Munde. Und warum ist das so? Sie werden als strategische Waffe eingesetzt. Das erleben wir jetzt in den letzten 24 Monaten sehr intensiv. Umso dankbarer bin ich, und es ist ein Meilenstein für das Europäische Parlament, dass wir in so kurzer Zeit hier dank der Schattenberichterstatter und der Berichterstatterin Frau Nicola Beer – herzlichen Dank für die gute Zusammenarbeit – hier hoffentlich morgen mit großer Mehrheit einen hervorragenden Bericht gemeinsam abstimmen werden.
Wichtig dabei: Wir sehen, dass die stetige Weltbevölkerungssteigerung, wir sind inzwischen bei 8 Milliarden Menschen, auch hier in dem Bericht sich wiederfindet. Denn die Kreislaufwirtschaft, das Recyceln der Rohstoffe, ist ein elementarer Punkt dieses Berichts, und ich glaube, dass ist sehr wichtig und in die Zukunft gedacht. Und der andere sehr wichtige Punkt: Wir beachten auch, was ist in Europa leistbar, was kann man in Europa an Wertstoffen abbauen, an kritischen Rohstoffen? Und wir schaffen ein politisches Klima der privaten Investoren. Endlich wieder ein Schritt weg von der Planwirtschaft hin zur Marktwirtschaft. Liebe Nicola Beer, ich glaube, dass ist vor allem Deine Handschrift. Dafür noch einmal herzlichen Dank! So macht man vernünftige Wirtschaftspolitik.
"
Engin EROGLU,2023-06-14,DE,"Deterioration of fundamental freedoms in Hong Kong, notably the case of Jimmy Lai",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-424-0000_DE.html,"  Engin Eroglu (Renew).   – Herr Präsident, sehr geehrte Frau Kommissarin. Jimmy Lai steht hier stellvertretend nicht nur für eine zwei- oder dreistellige Anzahl von Menschen, die in China wahrscheinlich lebenslang inhaftiert bleiben werden, weil sie für Grundrechte, für die Grundrechte von Freiheit, gekämpft haben. Wir sehen, dass in Hongkong innerhalb von wenigen Jahren eine komplette Vernichtung von jeglicher Art von Grundrechten vollzogen worden ist. Menschen, die in Freiheit mit westlichen Werten aufgewachsen sind, sind über Nacht aufgestanden und sind in wenigen Jahren jeglicher Freiheit beraubt.
Ich warne uns alle davor − und das ist die große Gefahr −, dass China zum Lehrstuhl gegen unser Wertesystem wird. Ich fordere auch die Kommission auf, alles zu tun, dass das keine Mode macht und dass das nicht exportiert wird, denn da sehe ich die große Gefahr.
Apple Daily war eine ganz normale Zeitung, und für das Herausbringen einer ganz normalen Zeitung wird man inhaftiert, lebenslänglich. Das können wir als Europäische Union, das kann aber auch die Europäische Kommission und das können auch die Mitgliedstaaten nicht einfach nur hinnehmen. Es reicht nicht, nur nach China zu reisen und das immer zu predigen. Ich bin der festen Überzeugung, dass wir dieses menschenverachtende System endlich in seine Schranken verweisen müssen und den Chinesen zeigen müssen, dass das System, das sie aufgebaut haben, nicht in die westliche Welt exportierfähig ist. Ich glaube, das geht nur mit viel Leidenschaft und nicht nur mit Sonntagsreden, denn es gefährdet unser aller Freiheit.
"
Engin EROGLU,2023-05-08,DE,"Impact on the 2024 EU budget of increasing European Union Recovery Instrument borrowing costs - Own resources: a new start for EU finances, a new start for Europe (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-115-0000_DE.html,"  Engin Eroglu (Renew).   – Herr Präsident, sehr geehrter Herr Kommissar, sehr geehrte Kolleginnen und Kollegen! Erst mal vorab herzlichen Dank an die Berichterstatter für diesen Bericht. Ich weiß als Finanz- und Haushaltspolitiker durchaus, dass es sicherlich nicht einfach war, den Haushalt der Europäischen Union aufzustellen, und dass es vor dem Hintergrund der Corona-Pandemie und auch letztendlich dieses verheerenden Angriffskriegs auf die Ukraine eine große Herausforderung auch an die Kommission ist. Trotz allem braucht es eine mahnende Stimme in dieser ganzen Runde. Ich bleibe dabei, in Artikel 310 ist es klar verankert: Die Europäische Union darf keine Schulden machen, und es wurden mit dem Aufbaufonds Schulden gemacht.
Nun ist man überrascht, dass letztendlich Zinsen zurückzuzahlen sind, und man ist überrascht, dass die Zinsen auch noch steigen mögen. Für mich als Finanz- und Haushaltspolitiker ist dies keine große Überraschung. Aber ja, ich kann damit durchaus leben, dass wir eigene Ressourcen einführen; die Finanztransaktionssteuer ist sicherlich ein erster Ansatz dafür. Aber ich bin der festen Überzeugung – das fehlt mir hier auch, die Handschrift fehlt mir hier: Der Sparwille ist für mich nicht zu erkennen. 
Ich bin der festen Überzeugung, wir hätten das Programm SURE streichen müssen, und ich bin auch der festen Überzeugung, auch wenn es nicht die Welt bedeutet: Ein Zeichen zu setzen, nur noch ein Sitz des Parlaments, um die Gelder und die CO2-Emissionen zu sparen, wäre auch nicht verkehrt gewesen.
"
Engin EROGLU,2023-04-19,DE,Digital euro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-235-0000_DE.html,"  Engin Eroglu (Renew).   – Herr Präsident, Frau Ministerin, Frau Kommissarin! Unsere Währungen sind im internationalen Wettbewerb, und deswegen ist es wichtig, dass sie leistungsorientiert und politisch unbeeinflusst agieren können. Weil wir im Wettbewerb um unsere Währung sind, müssen wir mit Innovationen gehen. Der Innovationsschritt der digitalen Währung kommt, und wir dürfen uns als Europäische Währungsunion dort nicht verschließen. Das heißt, wir müssen diesen Mut haben, den digitalen Euro, diesen Weg gemeinsam zu gehen, Frau Kommissarin.
Ich habe aber auch sehr gut Ihrer Rede zugehört. Sie haben fünf-, sechsmal in Ihrer Rede gesagt, Frau Kommissarin, Bargeld wollen wir nicht verbieten. Wichtig ist, dass Politiker das machen, was sie sagen. Und ich verstehe nicht – und es steht halt einfach nicht im Kontext –, wenn man dann auf anderer Seite eine Bargeldobergrenze von zwei- bis dreitausend Euro diskutiert. Dann passiert nämlich genau das, was die Menschen da draußen befürchten, nämlich, dass das Bargeldverbot kommt. Es bringt nichts, immer wieder hier zu betonen, dass wir das Bargeld erhalten wollen, weil es eine politische Mehrheit dafür gibt, sondern wir müssen aufhören, auf der anderen Stelle dann sozusagen das Bargeld einschränken zu wollen. Denn was sind denn heute zwei-, dreitausend Euro Bargeldobergrenze bei den vielen Fehlern, die Frau Lagarde gemacht hat in der Inflation? Was kann man heute für 2000 Euro kaufen und was kann man vielleicht in zehn Jahren noch für 2000 Euro kaufen, wenn diese Fehler nicht endlich behoben werden? Und deswegen: aufhören mit der Bargeldobergrenze!
"
