MP,Date,Language,Title,Url,Content
Erik MARQUARDT,2023-12-13,DE,"Frontex, building on the fact-finding investigation of the LIBE Working Group for Frontex Scrutiny (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-464-0000_DE.html,"  Erik Marquardt,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Ich möchte erst mal positiv anfangen: Ich glaube, dass es wichtig war, dass wir hier im Europäischen Parlament die Frontex Scrutiny Working Group eingerichtet haben, dass wir daran gearbeitet haben, auch konkrete Empfehlungen auszusprechen. Ich glaube, es ist auch gut, dass Frontex eine Reihe dieser Empfehlungen bereits angefangen hat umzusetzen. Natürlich fordern wir, dass die anderen Empfehlungen auch umgesetzt werden. Es ist auch so, dass ich glaube, dass mit dem neuen Exekutivdirektor sich einige Dinge in die richtige Richtung bewegen bei Frontex. Reicht das? Nein!
Ich glaube, wenn wir uns verschiedene wichtige Fragen in diesem Kontext einmal anschauen, also zum Beispiel den – glaube ich – großen Kardinalfehler, den die Europäische Union in den letzten Jahren gemacht hat, dann müssen wir einfach feststellen: Viele Europäerinnen und Europäer wissen nicht, was an den Außengrenzen passiert. Es wird auch von Mitgliedstaaten, von Regierungen der Eindruck erweckt, eigentlich sei Frontex ja dazu da, Asylanträge zu verhindern. Frontex darf aber gar keine Asylanträge verhindern.
Also rennen wir weiter einer Illusion hinterher, glauben, mehr Frontex an den Außengrenzen, mehr Grenzschutz würde dazu führen, dass am Ende weniger Asylanträge gestellt werden. Weil es eine Illusion ist, nutzen wir dann nicht unsere Grenzbeamten, um das Recht durchzusetzen an den Außengrenzen, sondern brechen das Recht, machen Pushbacks. Ich glaube, besonders in dieser Woche – und das ist ein bisschen bezeichnend – ist noch einmal klargeworden, dass auch Frontex da eine Reihe von Aufgaben noch vor sich hat und sehr viele Fehler macht. Denn es ist ja vom Spiegel und anderen aufgedeckt worden, dass Frontex offenbar mit einer Miliz in Libyen zusammenarbeitet, die der Wagner-Gruppe nahesteht!
Dann kann man viel darüber reden, dass man die Menschenrechte achtet. Man kann viel darüber reden, dass wir europäische Werte haben. Aber wenn wir so weit gehen, dann, glaube ich, entwürdigen wir an den Außengrenzen ja nicht nur Geflüchtete, sondern eigentlich auch die europäische Idee.
"
Erik MARQUARDT,2023-10-17,DE,Schengen area: digitalisation of the visa procedure - Schengen area: amending the Visa Sticker Regulation (Joint debate – Schengen area),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-197-0000_DE.html,"  Erik Marquardt,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Herr Kommissar! In letzter Zeit wird ja immer wieder das Ende von Schengen an die Wand gemalt. Die Leute reden quasi herbei, dass Schengen eigentlich gar keine Zukunft hat. Aber wenn wir uns die Realität anschauen, dann sehen wir doch eigentlich, dass wir mit der Reform des Schengener Grenzkodex jetzt Schengen fit für die Zukunft machen, dass wir mit der Einführung des Einreise-/Ausreisesystems eine bessere Übersicht haben, wer eigentlich mit Schengen-Visa nach Europa kommt, wer gerade in Europa ist. Und man würde sich, glaube ich, wünschen, dass sich die Mitgliedstaaten, die teilweise auch sehr leichtfertig in letzter Zeit Binnengrenzkontrollen einführen, dieses Privileg, Teil der Schengen-Familie zu sein, mehr bewusst machen.
Ich hoffe auch, dass sich die Mitgliedstaaten, die da noch zögerlich sind, darauf besinnen, dass Bulgarien und Rumänien schon längst Teil der Schengen-Familie sind. Und besonders, wenn man einen besseren rechtsstaatlichen Schutz der Außengrenzen will, dann ist es doch völlig absurd, dass Bulgarien und Rumänien noch Grenzbeamte brauchen, die die Binnengrenzen kontrollieren, anstatt dass sie da rechtsstaatlich und menschenrechtskonform an den Außengrenzen aktiv werden können.
Ich glaube, die Visa-Digitalisierung, über die wir heute reden, ist ein riesiger Schritt. Sie spart den Menschen aus 104 Ländern – und das muss man sich bewusst machen: 104 Länder haben nicht das Privileg, das wir haben, einfach visumfrei durch den Schengen-Raum zu reisen – Zeit und Geld, sie entlastet die Auslandsvertretungen und sorgt dafür, dass Engpässe bei den Auslandsvertretungen dann eben nicht mehr auftreten. Ich glaube, das ist ein sehr, sehr wichtiger Schritt. Wir sollten diesen Erfolg wirklich gemeinsam feiern, dass wir den Schengen-Raum so fit für die Zukunft machen.
Auf der anderen Seite glaube ich auch, dass es wichtig ist, die Mitgliedstaaten daran zu erinnern – und das war bei den Verhandlungen wieder sichtbar –, dass sie nicht immer versprechen dürfen, legale Fluchtwege zu schaffen. Mit der Einführung eines humanitären Visums hätten sie die Möglichkeit, besonders Gefährdete legal und sicher nach Europa zu bringen. Leider haben sie sich dem verweigert. Und ich hoffe, dass wir in der Zukunft bei der Schaffung legaler Migrationswege erfolgreicher sind, die dann auch irreguläre Migration beseitigen können. Ich danke noch mal den Schattenberichterstattern und auch dem Berichterstatter für die gute Zusammenarbeit und freue mich, dass wir das so gut hinbekommen haben.
"
Erik MARQUARDT,2023-10-04,DE,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-043-0000_DE.html,"  Erik Marquardt (Verts/ALE).   – Herr Präsident! Was mir Sorgen macht, ist, dass ich den Eindruck gewinne, dass in der Debatte um den Pakt viele Mitgliedstaaten glauben, man müsse Geflüchtete einfach noch ein bisschen schlechter behandeln als heute, immer jeden Tag noch ein bisschen schlechter behandeln als gestern, und dann würden sie schon irgendwann aufhören zu kommen.
Es ist ja inzwischen so zynisch, dass wir schon darüber diskutieren, ob wir Menschen aus Seenot noch retten sollen. Ich meine, die Diskussion, die dahintersteckt, ist ja nicht, ob die Menschen in Seenot sind – alle sind sich einig –, sondern ob man Menschen in Seenot noch retten will oder ob sie lieber ertrinken sollen, um dann vielleicht später andere abzuschrecken, damit sie nicht mehr kommen.
Wenn wir so anfangen und nicht merken, dass diese Abschreckungspolitik ja nicht nur zu Chaos und Leid führt, sondern auch seit Jahren nicht funktioniert – wir führen die Debatten doch seit Jahren, schrecken ab, und trotzdem kommen immer mehr Menschen –, dann glaube ich, dass wir vergessen, dass Humanität und Rechtsstaatlichkeit eben nicht nur Beiwerk unserer Demokratien sind, sondern dass Humanität und Rechtsstaatlichkeit die Grundlage dessen sind, was uns ausmacht, die Grundlage der europäischen Ordnung sind.
Ich glaube, wenn die Mitgliedstaaten erfolgreich sein wollen, dann wäre es wichtig, dass sie Vertrauen aufbauen, auch bei der Bevölkerung, und vieles, was im Pakt vielleicht angelegt ist, worüber man redet, jetzt schon machen: faire Verfahren, bessere Arbeitsmarktintegration, faire Verteilung, Menschenrechtsbeobachtung. Man könnte jetzt auch Abkommen machen, die die Lage vor Ort verbessern und legale statt irregulärer Migration fördern.
Dass all das nicht passiert, das liegt nicht daran, dass wir noch keinen Pakt haben, sondern dass es am politischen Willen fehlt. Ich würde mir wünschen, dass wir jetzt damit beginnen und dann weiterverhandeln.
"
Erik MARQUARDT,2023-10-03,DE,The 10-year commemoration since the tragedy in Lampedusa(statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-140-0000_DE.html,"  Erik Marquardt,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Das Unglück von Lampedusa jährt sich zum zehnten Mal. Binnen weniger Tage sind damals 600 Menschen ums Leben gekommen − Männer, Frauen und Kinder, bei denen dann später herauskam, dass sie zu großen Teilen in Libyen gefoltert und vergewaltigt wurden.
Die Frage ist, wo stehen wir jetzt, zehn Jahre nach diesem schrecklichen Unglück? Inzwischen sind seitdem 28 000 Menschen ertrunken, und statt der Seenotrettung im Mittelmeer finanzieren wir Milizen in Libyen, die selbst in Schlepperei verwickelt sind. Wir finanzieren, dass möglichst viele derjenigen, die jetzt gefoltert, vergewaltigt und teilweise versklavt werden, nicht mehr aus diesen Situationen fliehen können. Und diejenigen, die dann angesichts dieses tausendfachen Todes helfen wollen, werden kriminalisiert und diffamiert. Dabei zeigen viele Studien, dass nicht sie der Grund dafür sind, dass Menschen sich auf den Weg machen, sondern sie sind der Grund dafür, dass weniger Menschen ertrinken.
Frau Präsidentin, als wir 2012 den Friedensnobelpreis erhielten, da hat das Nobelpreiskomitee gesagt: „Die Europäische Union hat aus einem Kontinent des Krieges einen Kontinent des Friedens gemacht.“ Ich glaube, wir müssen nun aufpassen, dass wir aus diesem Kontinent nicht einen Kontinent machen, der einen Krieg gegen Schutzsuchende führt. Ich glaube, im Umgang mit den Schwächsten zeigt sich, wie stark Europa wirklich ist.
"
Erik MARQUARDT,2023-10-03,DE,Corrupt large-scale sale of Schengen visas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-180-0000_DE.html,"  Erik Marquardt,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Herr Kommissar Schinas! Sie haben es gesagt, das Schengen-System ist nicht nur eine der größten Errungenschaften, die wir uns als Europäische Union, als Europa geschaffen haben, sondern es ist eben auch etwas sehr Fragiles, wenn das Vertrauen in dieses Schengen-System erschüttert wird.
Was ich schon wichtig festzuhalten finde, ist, dass die polnische Regierung gerade nicht daran arbeitet, bei diesen Vorwürfen das Vertrauen zurückzugewinnen. Ich glaube, wir werden vor den polnischen Wahlen nichts darüber erfahren, wie es um diesen Skandal steht. Wir werden nur erleben, dass die polnische Regierung diesen Skandal kleinredet, weil ihr der eigene Vorteil wichtiger ist als das Schengen-System in Europa. Ich finde, das kann man auch einmal festhalten.
Ich glaube auch, dass wir einfach sehen, dass man, wenn man Rechtsstaatlichkeit in einem Land abbaut, dann weniger Rechtsstaatlichkeit hat. Die Regierungen wie die polnische mögen dann behaupten, sie würden das aus irgendwelchen hehren Zielen gegen irgendwelche bösen Mächte machen. Aber eigentlich – und das muss man, glaube ich, auch der polnischen Bevölkerung sagen – macht diese Regierung das zum eigenen Vorteil. Und so sieht es ja auch in diesem Skandal aus.
Es sieht so aus, als würde Rechtsstaatlichkeit abgebaut werden, damit Korruption leichter wird. Wir sehen das nicht nur im Visasystem, wir sehen ja auch − und das muss ich auch aus deutscher Perspektive einmal sagen −, dass das Vertrauen in das Schengen-System von der polnischen Regierung erschüttert wird − wenn man den Eindruck hat, Polen tut so, als würde es gerne die Außengrenzen schützen, als würde es Zäune bauen, aber was dann am Ende passiert, ist, dass sie auf der einen Seite Menschen nicht, wie es im EU-Recht vorgesehen ist, an den Außengrenzen registrieren, sondern sie verprügeln, sie immer wieder über die Grenze schicken und irgendwann dann einmal Menschen an der deutschen Grenze stehen, die nicht nur geschädigt sind von den Erfahrungen mit der polnischen Grenzpolizei, sondern die eben auch unregistriert sind.
Ich finde, so kann man nicht mit dem Schengen-System umgehen. So kann man mit den Errungenschaften Europas, so, wie die polnische Regierung es gerade tut, kann man mit Europa nicht umgehen. Und wenn man dann immer das eine verspricht und das andere tut, dann, finde ich, kann man auch mit der Demokratie in der Politik so nicht umgehen, wie es die polnische Regierung gerade tut.
"
Erik MARQUARDT,2023-09-12,DE,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-108-0000_DE.html,"  Erik Marquardt (Verts/ALE).   – Herr Präsident! In der öffentlichen Diskussion ist es ja immer so schwarz-weiß, also ist man für oder gegen Abkommen mit Drittstaaten. Aber ich glaube, die Debatte heute zeigt auch, dass es eben darauf ankommt, wie solche Abkommen gestaltet sind. 
Ich glaube, dass Abkommen gut sein können, wenn sie bestimmte Ziele erreichen wollen, nämlich die humanitäre Situation vor Ort zu verbessern, nämlich Migration besser zu organisieren, dass das Sterben vermieden wird, und wenn solche Abkommen eben dann auch am Ende Menschenrechte und Demokratie fördern.
Dass all das bei diesem Tunesien-Deal am Ende herauskommt, glaube ich aber nicht.
Wie unwichtig uns Demokratie zu sein scheint, sieht man ja schon wieder daran, wie das Abkommen eigentlich zustande kommt. Wir haben ja nicht einmal den Text demokratisch in der EU diskutieren können. Das Parlament war ja überhaupt nicht eingebunden. Und dass die Kommission immer wieder gegen die gleiche Wand rennt beim Scheitern in der Türkei, beim Scheitern in Libyen, das ist schon ein bisschen verwunderlich. Und es ist auch verwunderlich, dass besonders diejenigen auf der rechten Seite des Parlaments, die am stärksten gegen Schlepper kämpfen wollen, dann dastehen und solche Abkommen loben.
Denn, wer schickt denn die Menschen dort in die Wüste und wer wird dann in die Wüste geschickt? Das sind doch die Menschen, die nicht bezahlen können. Und wer entscheidet denn, welche Boote ablegen? Das ist doch das Regime. Es ist doch unvorstellbar, dass Saied nicht selbst persönlich davon profitiert, dass diese Menschen ablegen. Es sind doch die Schlepper, mit denen wir Abkommen machen, statt sie zu bekämpfen.
"
Erik MARQUARDT,2023-09-11,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-203-0000_DE.html,"  Erik Marquardt (Verts/ALE).   – Herr Präsident! Ich wollte heute Abend das Wort ergreifen, um auf die Situation in Afghanistan aufmerksam zu machen, wo vor zwei Jahren die Taliban die Macht übernommen haben, und den Menschen dort sagen, dass sie nicht vergessen sind – auch von uns hier nicht.
Ich erinnere mich noch, wie vor zwei Jahren die ganze Welt nach Afghanistan geschaut hat. Und inzwischen hat man leider das Gefühl, dass die ganze Welt die Situation in Afghanistan vergessen hat. Letzte Woche erst hat das Welternährungsprogramm verkündet, dass wegen mangelndem Geld aus der internationalen Gemeinschaft 10 Millionen Menschen in Afghanistan nicht mehr mit Essen versorgt werden können. Immer mehr Menschen hungern dort, immer mehr Menschen fliehen in die angrenzenden Regionen. Und auch in den angrenzenden Regionen tun wir nicht genug, um zum Beispiel Mädchen aus Afghanistan dort – beispielsweise in Pakistan – mit einem Stipendium zu helfen, eine Ausbildung zu machen, die in Afghanistan verwehrt ist.
Ich finde, wenn wir uns die Situation genau anschauen, dann müssen wir uns eigentlich nicht wundern, wenn viele Menschen aus Afghanistan versuchen, nach Europa zu fliehen. Und dass wir ihnen nicht mit einem rechtsstaatlichen Verfahren begegnen, sondern sie vielfach entrechten, das, liebe Kolleginnen und Kollegen, ist eigentlich nicht mal mehr Doppelmoral, das ist das Ende von Moral, und es ist etwas, was uns beschämen sollte.
"
Erik MARQUARDT,2023-07-12,DE,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-070-0000_DE.html,"  Erik Marquardt,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Ich weiß nicht, wie es den anderen geht, aber mir persönlich fällt es eigentlich schwer, immer wieder diese Debatten zu haben. Dann schreibt man Reden auf und merkt eigentlich: Wahrscheinlich treffen wir uns bald wieder und haben nur noch Schlimmeres, über das wir reden, und die Lage verbessert sich nicht. Ich finde es schwierig, wenn wir dann immer wieder sagen: Ja klar, also Menschen in Seenot müssen gerettet werden, NGOs dürfen nicht kriminalisiert werden, Unglücke müssen aufgeklärt werden. Und dann stehen wir hier, nach dem Schiffsunglück von Pylos und nachdem es dann keine gemeinsame Kraftanstrengung gab, diese Menschen überhaupt zu retten. Es gab nicht einmal eine gemeinsame Kraftanstrengung, um überhaupt die Leichen zu bergen, die im Mittelmeer noch herumliegen, weil über 500 Menschen mit dem Schiff in die Tiefe gezogen wurden.
Aber was ist da eigentlich passiert? Das Boot ist abgelegt, völlig überfüllt, eine viel zu gefährliche Aktion. Das Boot war schon ab dem ersten Moment in Seenot. Es fährt tagelang überfüllt im Mittelmeer, wird dann von Frontex gefunden. Frontex meldet Griechenland das Boot, aber Griechenland rettet nicht. Es gibt keine Rettungsaktion. Griechenland schickt auch keine anderen Boote. Ja, Griechenland bittet Frontex nicht einmal, das Boot weiter zu beobachten, weil man eben gar nicht will, dass es beobachtet wird.
Und warum will man das nicht? Das kommt dann am Abend heraus, nachdem das Boot 13 Stunden schon fast auf der Stelle steht: Man schickt maskierte Spezialeinheiten, die das Boot ins Schlepptau nehmen und Richtung Italien ziehen wollen, und als man es zieht, geht das Boot unter. Als es untergeht, fängt man nicht sofort mit der Rettung an, sondern 80 Menschen sind schon gestorben, als man dann anfängt, die 104 Überlebenden aufzusammeln. Diese Überlebenden werden in ein geschlossenes Lager gebracht, ihnen wird der Kontakt zu Journalisten nicht erlaubt, und ihnen werden die Handys abgenommen, damit es keine Beweise für all das gibt, was ich gerade erzähle.
Das, liebe Kolleginnen und Kollegen, ist ehrlicherweise kein Unglück. Das ist ein Verbrechen. Ich glaube, wir sollten alles tun, damit dieses Verbrechen aufgeklärt wird. Denn am Ende können wir uns immer wieder beteuern, dass die Würde jedes einzelnen Menschen unantastbar sein sollte. Aber wenn wir uns diese Frage wirklich stellen und sie mit Ja beantworten, dann sollten alle, die diese Frage mit Ja beantworten, jetzt eben nicht nur darüber reden, dass gehandelt werden muss, sondern zeigen, dass die Würde jedes einzelnen Menschen in Europa noch unantastbar ist. Man sollte zeigen, dass man handeln kann. Zum Beispiel könnte die EU-Kommission auch dazu beitragen, Seenotrettungsorganisationen zu unterstützen, wenn die Seenotrettung denn so wichtig ist, wie jetzt immer wieder betont wird.
"
Erik MARQUARDT,2023-04-18,DE,"The need for European solidarity in saving lives in the Mediterranean, in particular in Italy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-373-0000_DE.html,"  Erik Marquardt (Verts/ALE).   – Herr Präsident! Also ohne Zweifel wäre es ja gut, wenn wir die Gesetze verbessern, die wir haben, aber kein Gesetz der Welt wird uns davon befreien, dass wir am Ende Solidarität zwischen den Mitgliedstaaten, Solidarität mit Geflüchteten ja nicht nur beschließen, sondern dass wir sie einfach leben müssen. Wir brauchen momentan auch eigentlich keine neuen Gesetze, um etwas besser zu machen. Im Jahr 2014 gab es 315 Kilometer Zäune an den Außengrenzen. Jetzt, also im Jahr 2023, sind es 2048 Kilometer, mehr als sechsmal so viele Kilometer Zäune an den Außengrenzen. Und trotzdem steigen die Geflüchtetenzahlen wieder, trotzdem haben wir in diesem Jahr schon wieder 604 Tote im Mittelmeer. Das sind ungefähr so viele freie Plätze, wie wir hier gerade haben. 
Ich glaube, dass wir uns klarmachen müssen, dass mit den Mauern an den Außengrenzen auch eine Mauer aus Lügen gebaut wird, eine Mauer aus Lügen, die so tut, als sei Abschottung eine Lösung. Aber Abschottung ist eben keine Lösung, weil kein Zaun der Welt dafür sorgt, dass es am Ende weniger Geflüchtete gibt.
Die Wahrheit, die wir erleben, ist doch, dass die EU-Asylpolitik davon geprägt ist, dass eigentlich alles dem Ziel untergeordnet wird, dass am Ende weniger Geflüchtete ankommen. Die Menschenrechte werden diesem Ziel untergeordnet, die Menschenwürde wird diesem Ziel untergeordnet, die Rechtsstaatlichkeit und ja, auch die Ehrlichkeit darüber, dass das alles so stattfindet, werden diesem Ziel untergeordnet. Zum Beispiel: Weniger als 10 Prozent der Menschen werden von Seenotrettungsorganisationen momentan gerettet, und trotzdem gibt es einige, die hier so tun, als sei die Seenotrettung daran schuld, dass Menschen im Mittelmeer sterben. 
Das Gegenteil ist der Fall. Wir brauchen Seenotrettung und wenn man ehrlich ist, Herr Hahn, dann ist es doch so, dass es nicht sein kann, dass 2012 der Europäische Gerichtshof für Menschenrechte uns dazu verurteilt, keine Menschen nach Libyen mehr zurückzubringen und wir dann ganz schlau denken: Ja, dann machen wir das eben nicht mehr selber, sondern geben ganz viel Geld an die Libyer, tun so, als sei das Seenotrettung und geben aber 0 Euro für zivile Seenotrettung im Mittelmeer aus. Wenn auf der einen Seite 0 Euro für echte Seenotrettung stehen und auf der anderen Seite Geld für Menschen steht, die selbst in Schlepperaktivitäten verstrickt sind, die also eigentlich vor Gerichten stehen müssen, aber trotzdem noch unser Steuergeld bekommen, dann läuft etwas gewaltig falsch. 
Ich bin sehr dafür, dass wir Gesetze neu verhandeln, aber eigentlich sollten wir erst einmal unser Verhältnis zum Rechtsstaat klären. Das können wir ändern, ohne neue Regeln zu haben.
"
Erik MARQUARDT,2023-03-15,DE,Deaths at sea: a common EU response to save lives and action to ensure safe and legal pathways (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-230-0000_DE.html,"  Erik Marquardt (Verts/ALE).   – Herr Präsident! Ich glaube ja, dass einige recht haben, ich sehe das auch so. Die Schmuggler, das sind böse Menschen, die aus falschen Beweggründen mit krimineller Energie Menschen auf einen gefährlichen Weg schicken, und in der Folge sterben Menschen. Aber der Grund, warum wir uns hier heute treffen, ist ja nicht, dass die Schmuggler die Menschen losschicken – das passiert seit Jahrzehnten –, sondern der Grund ist, dass Seenotrettungsfälle nicht mehr gerettet werden, obwohl wir sie hätten retten können.
So geschehen am Samstag, z. B. morgens um zwei Uhr, halb drei rufen Menschen schreiend an, weil sie untergehen, rufen Menschen schreiend an und finden niemanden, der ihnen Hilfe schickt. Über 30 Stunden wird in internationalen Gewässern keine Hilfe geschickt. Die IRINI-Mission hätte da sein können, die NGO-Boote hätten da sein können, wenn sie nicht in Italien blockiert wären. Die Frachtschifffahrt hätte da sein können und Menschen retten können, aber niemand hat ihnen den Auftrag gegeben, sie zu retten.
Ich glaube, wenn wir ernst nehmen, was die europäischen Werte eigentlich sein sollen, wenn wir ernst nehmen, dass die Würde des Menschen auch auf dem Mittelmeer unantastbar sein sollte, dann können wir doch nicht länger einfach immer nur mit dem Finger auf die Schmuggler zeigen, nach jedem Unglück, noch bevor die Leichen geborgen sind, so tun, als seien immer die anderen schuld, sondern dann müssen wir endlich anfangen, auch den Kern der Debatte so ernst zu nehmen, dass wir sagen: Wenn jemand in Seenot ist, dann schicken wir Rettungsboote und retten diese Menschen, ganz egal, woher sie kommen und aus welchem Grund sie in Seenot sind.
Dass das nicht passiert, liebe Kolleginnen und Kollegen, ist eine europäische Schande, eine Schande, für die wir uns schämen sollten. Ich hoffe, dass wir nicht bei schönen Worten bleiben, sondern dass wir endlich anfangen zu handeln. Ansonsten müssen wir einfach davon ausgehen, dass uns die folgenden Generationen für das, was wir hier tun, für wirklich abgrundtief böse halten.
"
