MP,Date,Language,Title,Url,Content
Fabienne KELLER,2023-12-12,FR,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-180-0000_FR.html,"  Fabienne Keller (Renew).   – Madame la Présidente, Madame la Commissaire – chère Stella Kyriakides –, chers collègues, ce mandat l’a bien démontré: l’Union fait la force, tout particulièrement dans le domaine de la santé. Cette proposition pour un espace européen des données de santé est un réel pas en avant pour une Europe de la santé, comme l’a dit ma collègue Catherine Amalric.
Les objectifs clés sont notamment de garantir l’accès des citoyens européens à leurs données de santé et de faire en sorte qu’ils en aient le contrôle, et puis d’assurer, dans toute l’Europe, cette libre circulation des citoyens à laquelle nous sommes très attachés, en veillant à ce que leurs données de santé puissent les suivre. C’est là une priorité européenne que ma délégation, mon groupe, Renew Europe, n’a eu de cesse de mettre en avant depuis la pandémie de COVID-19. Les frontières, chers collègues, nous le savons désormais vraiment, n’arrêtent pas les maladies. C’est ensemble que nous pouvons trouver des solutions.
Nous avons été forts en luttant ensemble, Madame la Commissaire, contre la COVID-19, en achetant ensemble les vaccins, en construisant ensemble le passe COVID. Pour toutes ces raisons, et en mémoire, si vous me le permettez, de ma collègue Véronique Trillet—Lenoir, je vous propose de poursuivre ensemble notre engagement au service de la santé des citoyens européens.
"
Fabienne KELLER,2023-11-23,FR,Digitalisation of cross-border judicial cooperation - Digitalisation of cross-border judicial cooperation (amendment of certain directives and framework decisions) (joint debate – Judicial cooperation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-088-0000_FR.html,"  Fabienne Keller,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire Dubravka Šuica, chers collègues, je nous félicite de l’accord sur les deux textes qui permettent la création de canaux de communication numériques sûrs et fiables entre les autorités judiciaires dans le cadre des affaires transfrontalières. Je voudrais dire le plaisir qui a été le mien de travailler avec Marina Kaljurand et le fait que nous ayons pu aboutir de manière très constructive. Merci à toi, Marina.
La numérisation de la coopération judiciaire et de l’accès à la justice permettra aux autorités des différents États membres de travailler de manière sécurisée, rapide et efficace. Une coopération judiciaire plus étroite pour une meilleure lutte contre la criminalité. Je me félicite également que ces textes comprennent une partie importante sur la formation, d’une part des autorités judiciaires, et d’autre part des citoyens européens pour qu’ils utilisent facilement ces outils numériques.
La numérisation de la justice doit en effet aller de pair avec la formation aux nouvelles technologies pour ne pas aggraver la fracture numérique. Aucun citoyen ne doit être lésé par les évolutions technologiques, tout particulièrement quand il s’agit de protéger ses droits fondamentaux. Ces technologies doivent être au service de l’intérêt général. Pour une Europe au service des citoyens! Pour une Europe plus transparente! Pour une Europe qui protège nos concitoyens!
"
Fabienne KELLER,2023-10-17,FR,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-149-0000_FR.html,"  Fabienne Keller,  au nom du groupe Renew. –Monsieur le Président, Monsieur le Commissaire Johannes Hahn, Madame la Ministre Esperanza Samblás, chers collègues, le budget annuel pour l’année 2024 est le budget avec les marges les plus faibles depuis le début de ce cadre financier pluriannuel.
Nous n’imaginions pas, au début de cette mandature, que nous devrions – chers collègues – faire face à une pandémie, une crise économique, une guerre et toutes les conséquences qui découlent de ces événements.
Et pourtant, l’Union européenne a fait face, en redoublant d’ingéniosité et de réactivité. Tout cela n’aurait pas été possible sans le budget européen – et le plan de relance, bien sûr.
Ce budget 2024, en dépit de ses faibles marges, doit être flexible et réactif pour pouvoir faire face aux crises et aux imprévus. Cela est crucial, et je voudrais remercier Siegfried Mureșan ainsi que Nils Ušakovs pour leur travail.
Nous l’avons constaté, la capacité d’action et de réaction de l’Union européenne est nécessaire pour répondre à des événements ponctuels comme les catastrophes naturelles, ou à des crises comme la guerre en Ukraine.
Dans la position du Parlement, nous augmentons aussi le budget des agences, dont le mandat a été élargi, pour la sécurité – cruellement d’actualité – ainsi que les programmes phares: Erasmus+, LIFE, le Fonds européen de la défense, l’aide humanitaire, le mécanisme européen de protection civile et encore d’autres lignes essentielles.
Ce budget vise à être aux côtés des citoyens, sans oublier les grands défis, pour lesquels il nous faut investir dans la durée: la transition climatique, les programmes pour la jeunesse, le soutien à travers les crises.
Nous avons besoin d’une révision du CFP ambitieuse. Madame la Ministre, le Conseil doit suivre le Parlement et être volontariste dans ce domaine de manière à permettre une révision très proche du budget 2024, de manière à ce qu’il soit plus réaliste et plus adapté aux défis face auxquels nous nous trouvons . Mesdames et Messieurs, donnons-nous les moyens de nos ambitions!
"
Fabienne KELLER,2023-10-17,FR,Schengen area: digitalisation of the visa procedure - Schengen area: amending the Visa Sticker Regulation (Joint debate – Schengen area),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-203-0000_FR.html,"  Fabienne Keller (Renew).   – Monsieur le Président, Monsieur le Commissaire – cher Margarítis Schinás, l’espace Schengen est un bien précieux de la construction européenne. Il représente ce que l’Europe peut faire de meilleur: le développement d’une société prospère dans un espace de libre circulation des personnes, des biens et des services. Aujourd’hui, nous voulons consolider cet acquis – chers collègues – pour l’adapter à la révolution numérique et l’ancrer dans l’avenir. 
Cet accord sur la numérisation des visas constitue une avancée importante vers une gestion plus sécurisée de nos frontières extérieures communes et vers une Europe plus attrayante, aussi, pour les ressortissants étrangers. L’accès à une demande en ligne d’un visa Schengen facilitera le travail des autorités pour les opérations de contrôle et permettra une meilleure identification de tout document falsifié ou frauduleux. C’est un atout indéniable pour la sécurité interne de l’espace Schengen. Cela permettra aussi de réduire la charge administrative pour les ressortissants des pays tiers et pour les États membres. 
Avec mon groupe, Renew Europe, nous soutenons pleinement la modernisation des visas Schengen. 
"
Fabienne KELLER,2023-10-04,FR,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-031-0000_FR.html,"  Fabienne Keller (Renew).   – Monsieur le Vice-président, cher Margaritis Schinas, Monsieur le Président, cher Othmar, monsieur le Ministre, cher Pascual Navarro Ríos, si nous voulons le pacte européen sur l'asile et la migration avant les élections européennes, les décisions difficiles, chers collègues, se prennent maintenant. 
C'est un moment de vérité pour les États membres. D'abord, nous attendons la position du Conseil, vous l'avez rappelé, Monsieur le commissaire, sur le règlement relatif aux crises migratoires. Ce texte est bien sûr l'une des pierres angulaires du pacte. Peut-on imaginer une réforme crédible sans un mécanisme de gestion de crise? Que dirions-nous aux habitants de Lampedusa et des territoires de première entrée? 
C'est un moment de vérité au Parlement européen aussi, entre ceux qui souhaitent bâtir une vraie réponse européenne aux défis de la migration en responsabilité, avec courage, et ceux qui font tout, ou plutôt rien, pour faire échouer ces négociations. Je suis choquée de l'attitude de l'extrême droite qui se rue devant les caméras à chaque actualité pour proférer des horreurs et prétendre à une reprise en main. En réalité, l'extrême droite n'est pas au travail. Les collègues de M. Bardella et de M. Zemmour sont absents – d'ailleurs, ils ne sont plus là – des débats parlementaires, absents des négociations où se prennent des décisions capitales. 
Avec mon groupe Renew Europe, nous sommes déterminés à faire aboutir cette réforme capitale. Nous sommes prêts à prendre nos responsabilités.
"
Fabienne KELLER,2023-10-02,FR,Rising precariousness in Europe including the need for aid to the most deprived (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-069-0000_FR.html,"  Fabienne Keller (Renew).   – Monsieur le Président, cher Othmar Karas, Monsieur le Commissaire, cher Nicolas Schmit, chers collègues, vous l'avez dit, les uns et les autres, partout en Europe, nos concitoyens les plus fragiles sont en difficulté. Les associations d'aide aux plus démunis – je pense en France aux banques alimentaires, aux restaurants du cœur – ne cessent d'alerter sur le nombre croissant de leurs bénéficiaires. 
Ils partagent aussi leurs difficultés à maintenir leur service compte tenu de l'augmentation des prix, de l'inflation. C'est vrai pour l'alimentaire comme pour l'énergie dans les locaux où ils accueillent les personnes les plus fragiles. Ils nous alertent aussi sur les conséquences du COVID. 
Le budget, vous l'avez rappelé, Monsieur le Commissaire, a pour objectif commun de consacrer 4 % des ressources du Fonds social européen à l'aide alimentaire à l'assistance matérielle de base pour les plus démunis. Est-ce qu'une mise à jour de cet objectif commun pourrait être prévue pour être plus encore aux côtés des plus fragiles? Comment comptez-vous inciter les États membres à être plus ambitieux? Vous l'avez évoqué vous-même, en particulier plus utiliser le Fonds d'aide aux plus démunis, le FEAD. 
J'ai bien conscience, en tant que rapporteure pour le budget, que les marges sont très étroites. Mais, Monsieur le Commissaire, la solidarité, ce doit être une priorité pour nous tous.
"
Fabienne KELLER,2023-09-12,FR,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-094-0000_FR.html,"  Fabienne Keller (Renew).   – Monsieur le Président, chers collègues, renforcer la coopération entre l’Union européenne et les pays tiers dans le domaine migratoire, oui! Annoncer de tels accords avec, au centre, Madame Meloni, non! Monsieur le Commissaire, cher Olivér Várhelyi, Monsieur le Ministre, cher Pascual Navarro Ríos, la dimension extérieure du pacte européen sur l’asile et la migration est un pilier beaucoup trop important pour le laisser aux mains de l’extrême droite.
Avec mon groupe Renew, nous soutenons le développement de partenariats globaux mutuellement bénéfiques entre l’Union et les pays tiers clés dans notre voisinage. Il s’agit de bâtir une relation nouvelle avec ces pays, créer les conditions de leur développement, les aider à mieux gérer les flux migratoires croissants. La présidence française du Conseil a donné une impulsion forte en faveur d’une politique migratoire extérieure au niveau européen. Nous la soutenons résolument. Cette politique, Monsieur le Commissaire, Monsieur le Ministre, est à construire avec les forces centristes pro-européennes, avec le Parlement européen, et avec comme principe cardinal le respect des droits humains.
"
Fabienne KELLER,2023-07-12,FR,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-069-0000_FR.html,"  Fabienne Keller,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, chère Ylva Johansson, Monsieur le Ministre aux affaires européennes, cher Pascual Navarro Rios, le sauvetage en mer est avant tout un devoir humanitaire. Ce n’est pas une variable d’ajustement pour plus ou moins d’immigration. Non, collègues de l’extrême droite, on ne décide pas du sort de femmes, d’hommes et d’enfants à coups de slogans nauséeux. Non, les murs en mer ne sont pas une solution à la gestion migratoire.
Face à une situation de détresse en mer, nos valeurs communes, notre histoire européenne appellent une ligne de conduite unique. Vous l’avez rappelé, Madame la Commissaire: sauver les vies humaines. Il ne devrait y avoir aucun débat à ce sujet. Pourtant, 25 000 personnes sont mortes ou disparues en Méditerranée depuis 2014. Le naufrage tragique d’un bateau de migrants, vous l’avez rappelé, transportant 750 migrants au large des côtes grecques, mi-juin, nous a tous choqués, atterrés.
Avec mon groupe Renew Europe, avec tous mes collègues, j’appelle, moi aussi, à la création d’une mission européenne de recherche et de sauvetage avec les États membres et avec Frontex, en coopération avec tous les acteurs concernés. Cette mission doit s’accompagner, vous l’avez dit là aussi, Madame la Commissaire, d’une lutte résolue contre les passeurs et trafiquants d’êtres humains qui exploitent la misère. Stoppons cet ignoble trafic à la source, y compris dans les pays tiers, et prenons des mesures énergiques pour démanteler ces réseaux criminels. Chers collègues, il y a urgence à agir.
"
Fabienne KELLER,2023-06-14,FR,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-040-0000_FR.html,"  Fabienne Keller (Renew).   – Monsieur le Président, Monsieur le Commissaire, cher Maroš Šefčovič, Madame la Ministre, chère Jessica Roswall, la semaine dernière, les États ont fait preuve d’une unité forte en adoptant leur position sur les textes phares du pacte européen sur la migration et l’asile. C’est une étape décisive, qui n’aurait pu voir le jour sans la détermination des présidences française, tchèque et suédoise. Merci à eux.
Ainsi, nous défendons une Europe qui maîtrise ses frontières extérieures, avec notamment Frontex; une Europe solidaire vis-à-vis des pays sous pression migratoire; une Europe efficace, qui assure un traitement rapide des demandes d’asile; et une Europe des valeurs, qui respecte pleinement les personnes et le droit à la protection internationale.
Nos citoyens attendent que l’Union européenne et les États répondent aux défis migratoires collectifs en Européens. Mesdames et Messieurs les Chefs d’État, au Parlement européen, nous sommes déterminés à faire aboutir le Pacte européen sur la migration et l’asile début 2024, avant les élections européennes. Nous comptons sur vous pour faire de même, ensemble.
"
Fabienne KELLER,2023-05-10,FR,Externalising asylum applications and making funding to third countries conditional on the implementation of return agreements (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-206-0000_FR.html,"  Fabienne Keller,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Commissaire, Madame la Ministre Jessika Roswall, les propositions de l’extrême droite face au défi migratoire se résument dans le titre de ce débat, voulu par le groupe de Monsieur Bardella. Il faudrait renvoyer les demandeurs d’asile loin de chez nous et faire du bâton notre seul outil de politique étrangère. Avec vous, on fermerait la porte aux familles ukrainiennes, aux femmes et aux filles afghanes, qui fuient la guerre et les traitements les plus horribles. De toute évidence, nous ne partageons pas les mêmes valeurs. Et quand bien même la morale humaine n’est pas dans votre radar, vos propositions sont un énième mirage.
Les tentatives d’externalisation des demandeurs d’asile par le Royaume-Uni, comme par le Danemark, sont un échec: pas un demandeur d’asile n’a été renvoyé au Rwanda. Avec mon groupe Renew Europe, avec d’autres groupes autour du centre de ce Parlement, nous considérons, au contraire, que la dimension extérieure de la migration est un pilier central, comme vous l’avez dit Monsieur le Commissaire, du Pacte européen sur l’asile et la migration. Ce pacte, Mesdames et Messieurs, que vous avez rejeté lors du vote en avril dernier. Nous plaidons pour bâtir au niveau européen des partenariats globaux mutuellement bénéfiques avec les principaux pays tiers d’origine et de transit des migrations. Ce travail est déjà à l’œuvre, Madame la Ministre, Monsieur le Commissaire, vous l’avez rappelé.
Nous défendons l’établissement d’un dialogue continu avec nos partenaires extérieurs et d’une aide opérationnelle résolue de l’Union européenne pour combattre les réseaux de passeurs. Bien sûr, ça vous gêne qu’il y ait de vraies réponses qui sont une solution à une perspective européenne. Nous proposons d’intensifier les retours volontaires beaucoup plus efficaces. J’en suis convaincue avec mon groupe, c’est en européens, Mesdames et Messieurs, que nous agirons efficacement face au défi migratoire.
"
