MP,Date,Language,Title,Url,Content
Fabio Massimo CASTALDO,2023-11-23,IT,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-078-0000_IT.html,"  Fabio Massimo Castaldo (NI).   – Signor Presidente, signora Commissaria, onorevoli colleghi, Giulia si sarebbe dovuta laureare in ingegneria il 16 novembre. Ma quel giorno a ricevere quel riconoscimento per cui tanto aveva studiato e tanto si era impegnata, non si è potuta presentare, vittima incolpevole di una violenza cieca, insensata, che l'ha brutalmente picchiata nel fisico e annientata nell'anima, fino a portarle via la vita.
Secondo i dati del 2023 di UN Women, circa 736 milioni di donne come Giulia sono state sottoposte a violenza fisica e sessuale, o a entrambe, almeno una volta nella propria vita. Dati esorbitanti a cui si aggiungono anche quelli relativi alla comunità LGBTI+. Neanche sei mesi fa l'Unione europea ha aderito alla Convenzione di Istanbul, nonostante numerosi Stati, tra cui l'Ungheria, non ne facciano ancora parte. 
Il 25 novembre celebreremo questa Giornata internazionale per l'eliminazione della violenza di genere: ma qualsiasi celebrazione sarà inutile e vuota fino a quando non andremo uniti nella stessa direzione. Il tentativo del Consiglio di annacquare la direttiva sulla lotta alla violenza contro le donne e la violenza domestica, ora in trilogo, è, senza giri di parole, inaccettabile e vergognoso. 
Occorre mettere in piedi legislazioni chiare e stringenti, sia a livello europeo che a livello nazionale, basate sulla prevenzione, sull'istruzione e sul sostegno alle strutture che operano per tutelare le vittime di violenza. Ma soprattutto occorre sconfiggere questa vergognosa cultura del possesso – e lo dico da uomo, lo dico da uomo in quest'Aula! 
Ciao Giulia, riposa in pace e scusaci ancora per non aver fatto abbastanza. 
"
Fabio Massimo CASTALDO,2023-11-22,IT,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-064-0000_IT.html,"  Fabio Massimo Castaldo (NI),  per iscritto. – Sarò forte e crudo, così come forti e crude sono le immagini che ci arrivano quotidianamente dalla striscia di Gaza e quelle relative all'attacco di Hamas del 7 ottobre scorso. Tutti noi dovremmo imprimerne queste immagini nei nostri occhi e nei nostri cuori. Tutti noi dovremmo fermarci un momento, guardare queste immagini, immedesimarci nelle sofferenze dell'una e dell'altra parte, e dire basta, una volta per tutte. Quello che sta accadendo rappresenta una macchia nella storia dell'umanità. Questa macchia appartiene a tutti noi e diventerà un peso nella coscienza di tutti i nostri popoli. 
Pertanto, è necessaria una risposta globale. È improcrastinabile che la comunità internazionale, senza fazioni ed eccezioni, si impegni per pervenire a un cessate il fuoco immediato. Allo stesso tempo, è essenziale sgombrare il campo dalle ambiguità: facciamo appello a tutti quegli Stati, arabi e non, che non hanno ancora preso le distanze da Hamas affinché taglino i ponti con quest'organizzazione terroristica e barbara. Solo così potremo veramente sostenere la ricerca di una soluzione definitiva a questa ferita che rimane aperta da tanti, troppi anni. 
Cari colleghi, la storia ci giudicherà sulla base delle nostre azioni. Adoperiamoci affinché si ponga fine a questo conflitto una volta per tutte.
"
Fabio Massimo CASTALDO,2023-11-22,IT,Destruction of judicial independence and the persecution of democrats in Hong Kong (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-256-0000_IT.html,"  Fabio Massimo Castaldo (NI).   – Signor Presidente, signora Commissaria, onorevoli colleghi, negli ultimi mesi la drammatica situazione in cui versa Hong Kong è finita troppo lontana dai riflettori, scavalcata dalle altrettanto, e forse anche più, drammatiche notizie che ci arrivano da altre parti del mondo, penso all'Ucraina, penso alla Palestina. Eppure abbiamo il dovere morale di tenere alta l'attenzione su un Paese che ha visto l'arresto di oltre 200 attivisti filodemocratici, che ha visto il progressivo smantellamento delle istituzioni democratiche e dell'intero impianto di diritti civili che era un tempo il suo vanto. 
La popolazione di Hong Kong continua la sua battaglia e noi dobbiamo essere al loro fianco contro la brutalità repressiva del Partito comunista cinese. Dobbiamo sospendere tutti i trattati di estradizione che ancora alcuni Stati membri hanno verso la Cina. Dobbiamo sanzionare duramente questa politica annessionista che viola gli impegni internazionali di Pechino, che mostra sempre più i tratti di una dittatura incompatibile con i nostri principi e valori. 
Faccio un appello chiaro a tutti quei leader politici europei, e specialmente in Italia, che ancora oggi strizzano l'occhio a Pechino, che ancora oggi difendono spudoratamente memorandum fallimentari e ipocriti. Non barattiamo i nostri principi e valori sull'altare di un business as usual dal quale abbiamo solo molto da perdere e poco o niente da guadagnare. Altrimenti non rimarrà nulla del nostro essere europei, democratici e difensori delle libertà individuali. Il vostro silenzio è complice. Oggi noi siamo tutti cittadini di Hong Kong. 
"
Fabio Massimo CASTALDO,2023-11-22,EN,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-309-0000_EN.html,"  Fabio Massimo Castaldo (NI).   – Mr President, Commissioner, dear colleagues, 30 years have passed since we set out our criteria for accession. And after an initial impetus that brought us to the current 27 members, we started recording an enlargement fatigue that need to be left apart.
The Russian criminal war against Ukraine, as well the other war crimes committed in our neighbourhood, most notably by Azerbaijan in Nagorno-Karabakh, are making enlargement a first-class priority. But empty promises are no longer enough: we must push not only for Western Balkans, Moldova, Georgia and Ukraine, but also for a concrete action plan for the access of Armenia. And the first step will be to grant Yerevan the candidate status as soon as the official request is made.
National political leaders must leave apart the short-sighted will to maximise internal consensus by obstructing the enlargement process, they must embrace a truly strategic vision and move further in the accession process for our future members before they will lose hope, starting from the most aligned to our foreign policy.
Widening and deepening are two rails of the same track. Our European project will never be completed until all the European countries that share our democratic values are part of the family. Let us move towards this direction now.
"
Fabio Massimo CASTALDO,2023-11-22,IT,"Latest attacks against women and women's rights defenders in Iran, and Iran's arbitrary detention of EU nationals",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-403-0000_IT.html,"  Fabio Massimo Castaldo (NI).   – Signora Presidente, signora Commissaria, onorevoli colleghi, l'approvazione della legge sulla promozione della castità e dell'hijab rappresenta un altro tentativo del regime di smantellare completamente la libertà di scelta delle donne iraniane. È fondamentale che la nostra Unione si esprima pubblicamente, con fermezza, senza mezzi termini, contro una legge che non ha nulla a che vedere con le tradizioni e la cultura di un popolo ricchissimo di storia come quello iraniano. 
Tra meno di un mese consegneremo il premio Sacharov alla memoria di Mahsa Amini e al movimento ""Donna, vita, libertà"". È un gesto importante, un gesto che dimostra la nostra vicinanza alle donne iraniane nella loro battaglia quotidiana. Ma non basta perché non basta una semplice cerimonia di consegna se poi lasciamo sole le migliaia di attivisti e di attivisti che compongono questo movimento. Nasrin Sotoudeh ha già pagato sulla sua pelle il prezzo del suo coraggio. 
Occorre istituire immediatamente una task force europea che supporti le attività quotidiane delle migliaia di difensori dei diritti umani nel mondo ed è un dovere morale dare pieno appoggio, sostegno e protezione a coloro che si sono distinti per merito vedendosi attribuito il premio Sacharov. 
Servono sanzioni individuali verso i responsabili del regime. Servono ancora, ovviamente, misure di sostegno contro le persecuzioni che la diaspora iraniana subisce ogni giorno in Europa. O scegliamo di stare dalla loro parte, oppure anche questo premio verrà svilito fino a diventare una targa svuotata di ogni significato.
"
Fabio Massimo CASTALDO,2023-11-21,EN,Question Time with Commissioners - The state of implementation of the EU’s commitment to provide 1 million rounds of artillery ammunition to Ukraine until March 2024,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-414-0000_EN.html,"  Fabio Massimo Castaldo (NI).   – Madam President, Commissioner, thank you for being here today for discussing a very urgent matter, such as the capacity to provide Ukraine with the ammunition it needs to defend itself. I believe it is paramount that we keep up with our promises, also in light of the fact that other countries, such as North Korea, have already supported the replenishment of the Russian stockpiles consistently.
At the same time, the possibility to achieve our goal came under question, as we have only provided 30% of the pledges. While it is true that our production capacity has increased by around 30% in the latest month, there is still a gap to close. Some analysts pointed out that one of the main problems is linked to the difficulties encountered by defence industries in accessing credit from European banks, since their products have been declared unsustainable by the European taxonomy.
While, on the one hand, we are equipping ourselves with complementary funds for the scale-up of defence-related production, with EDIRPA and ASAP, on the other, we are somehow obstructing the production cycle of these products. How can we combine the need for more sustainable economic and production models with the one of reinforcing our defence capabilities?
"
Fabio Massimo CASTALDO,2023-11-20,IT,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-108-0000_IT.html,"  Fabio Massimo Castaldo (NI).   – Signora Presidente, signor Commissario, onorevoli colleghi, il cambiamento climatico è una sfida esistenziale che minaccia il nostro presente e il futuro delle generazioni a venire. 
Le recenti tragiche calamità che hanno colpito il mio Paese in Toscana, in Emilia Romagna e nelle Marche parlano chiarissimo: esse dimostrano che azioni tempestive contro il dissesto idrogeologico avrebbero potuto non solo evitare danni per miliardi di euro a famiglie e imprese, ma anche evitare quella tragica perdita di vite umane che è forse il fattore ancora più imperdonabile. 
Con questa COP 28 entriamo in una fase critica, visto che si avrà anche il tanto atteso primo esame sull'andamento dell'implementazione dell'accordo di Parigi del 2015. Noi, come Unione europea, ci stiamo muovendo: cerchiamo di dare l'esempio andando avanti, perseguendo questi obiettivi fissati nel Green Deal come dei veri pionieri. Tutti i nostri sforzi di riconversione industriale, pagati da imprese e cittadini – precisiamolo però – devono essere ricambiati da tutti gli altri grandi attori mondiali. 
In gioco c'è la credibilità nei confronti dei nostri cittadini. Se non costruiamo alleanze, saremo tutti sconfitti. Per questo mi auguro che i nostri governi facciano sentire la loro voce in modo forte e chiaro: il tempo è l'unico capitale che non possiamo più permetterci di perdere. Agiamo ora o sarà troppo tardi.
"
Fabio Massimo CASTALDO,2023-10-18,IT,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-018-0000_IT.html,"  Fabio Massimo Castaldo (NI).   – Signora Presidente, onorevoli colleghi, le immagini strazianti della barbarie terrorista e sanguinaria di Hamas su civili innocenti rimarranno impresse per sempre nei nostri occhi.
Israele ha il pieno, indiscutibile diritto di difendersi, ma Israele ha anche il dovere inderogabile, da Stato democratico, di rispettare altrettanto in pieno il diritto internazionale. Per sconfiggere i terroristi di Hamas non è necessario bombardare a tappeto la Striscia di Gaza. Per permettere l'evacuazione dei civili non è sufficiente inviare volantini alla popolazione. Per rispettare la legalità internazionale non è possibile punire indiscriminatamente l'intero popolo palestinese, che è vittima, ostaggio e, suo malgrado, scudo dei tagliagole di Hamas.
Chi paga il prezzo più alto di questa guerra? Come sempre gli innocenti. Oltre un terzo dei 3 000 morti di Gaza sono bambini, bambini incolpevoli, proprio come i bambini israeliani trucidati brutalmente da Hamas. Bambini, solo bambini, non quei jihadisti criminali che dovrebbero essere l'unico target di ogni operazione di risposta.
L'Europa non può restare a guardare mentre si preannuncia una catastrofe umanitaria con pochi precedenti nella storia. Adoperiamoci affinché sia riaperto il valico di Rafah. Impegniamoci affinché gli aiuti umanitari possano rientrare subito a Gaza. Prodighiamoci affinché si arrivi a un'evacuazione completa dei civili. Agiamo ora con tutta la nostra determinazione. Gaza non può diventare un inferno peggiore di quello che è stato fino ad oggi.
"
Fabio Massimo CASTALDO,2023-10-18,IT,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-195-0000_IT.html,"  Fabio Massimo Castaldo (NI).   – Signora Presidente, Alto rappresentante Borrell, onorevoli colleghi, per troppi anni abbiamo accettato passivamente quell'etichetta affibbiataci dall'ex Segretario di Stato americano Kissinger, ossia quella di un gigante economico, ma di un nano politico. 
Dai tempi di questa celebre citazione molto è migliorato, ma non abbastanza. Lo dimostra anche quello che è accaduto – la nostra irrilevanza – nella tragedia del Nagorno-Karabakh.
Il sempre più complesso e instabile scenario internazionale con il quale ci troviamo a fare i conti è stato il nostro risveglio geopolitico, ha ragione l'Alto rappresentante Borrell su questo. Abbiamo quindi bisogno di un'Europa forte e unita, capace di dare quelle risposte comuni che ci permettano di navigare in queste acque burrascose, non di un club di Stati vagamente coordinati in ordine sparso.
Per raggiungere questo obiettivo vanno superate definitivamente l'ipocrisia e l'opportunistica ricerca di consensi elettorali nell'immediato. Serve una visione strategica di lungo periodo e – lo dico con chiarezza – è improcrastinabile l'adozione del voto a maggioranza qualificata sui temi di politica estera, è imprescindibile un bilancio comune adeguato anche per gli investimenti di difesa e tecnologie critiche, ed è irrinunciabile mantenere un'agenda sui diritti umani. 
Intraprendere questi passi è un imperativo strategico, perché questa è la vera sfida della nostra generazione di europei.
"
Fabio Massimo CASTALDO,2023-10-18,IT,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-380-0000_IT.html,"  Fabio Massimo Castaldo (NI).   – Signor Presidente, signor Commissario, onorevoli colleghi, il leitmotiv delle massicce campagne di disinformazione ai nostri danni è sempre lo stesso e si basa sulla commistione di due elementi principali: il tentativo di presentare la nostra Unione come un partner disinteressato e inaffidabile agli occhi dei nostri interlocutori, e la glorificazione dell'operato degli attori terzi che stanno dietro le quinte delle campagne.
Vediamo quotidianamente queste azioni in svariate aree del mondo, dall'Africa al Medio Oriente, con il rischio che si amplifichino nettamente, alla luce dei drammatici eventi che stanno avvenendo in Palestina, incrementando quindi il rischio di attacchi terroristici sul suolo europeo. Questo trend va fermato e dobbiamo farlo ora. Dobbiamo dare piena attuazione agli Action plan del 2018 e del 2020. Dobbiamo rafforzare le nostre comunicazioni strategiche per dare al mondo e ai partner una visione reale del nostro impegno globale. 
La disinformazione non arriva solo dall'esterno, però. È aberrante che ci siano ancora oggi politici europei che continuano a mistificare la realtà, soprattutto in relazione alla criminale invasione russa dell'Ucraina. La politica dovrebbe assumere una funzione anche pedagogica nei confronti dell'opinione pubblica, non rincorrere effimeri tornaconti elettorali a scapito dell'integrità morale.
Sarà la Storia a giudicare e a differenziare chi è sempre stato dalla parte della legalità e della giustizia internazionale da chi si è mosso per tornaconto elettorale e personale.
"
