MP,Date,Language,Title,Url,Content
Filip DE MAN,2023-12-12,NL,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-269-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, collega’s, de Europese Commissie wil de democratie verdedigen door meer transparantie van het bestuur en een aantal regels uitvaardigen om ons te beschermen tegen corruptiepogingen van de Russen en de Chinezen.
Maar de Europese Commissie heeft zelf boter op het hoofd. Haar voorzitter, de christendemocrate Ursula von der Leyen, bestelde een miljard doses van het covidvaccin, wat de Europese belastingbetaler miljarden euro’s kostte. Gevraagd naar enige transparantie over die merkwaardige geheime bestelling, weigert de Commissievoorzitster haar communicatie daaromtrent vrij te geven. Nul transparantie dus.
Tweede voorbeeld: Qatargate. Hier in dit Parlement zetelt nog altijd iemand als lid van de socialistische fractie. Een fractie waarvan meerdere leden betrapt werden op zware corruptie waarbij miljoenen euro’s werden uitbetaald. Zoals mijn grootmoeder altijd zei, wist de Commissie: het is goed in eigen hart te kijken nog even voor het slapengaan.
"
Filip DE MAN,2023-11-21,NL,"Continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-439-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, nog maar eens twee maten en twee gewichten in dit Parlement. Er wordt voor meer dan 20 miljard aan Europese fondsen voor Hongarije bevroren, omdat daar onder meer het rechtssysteem niet partijdig zou zijn. Maar andere landen worden in dat verband ongemoeid gelaten.
In België bijvoorbeeld wordt het Grondwettelijk Hof bemand door politieke creaturen en daar piept niemand over. Een ander Belgisch voorbeeld: een rechtse cafébaas krijgt in Leuven een boete van 5 000 EUR en een gevangenisstraf van zes maanden voor de slogan “Liever een koe in de wei dan een asielzoeker erbij”. Maar aan de andere kant krijgt de voorzitter van de Socialistische Partij, een regeringspartij, geen boete, geen gevangenisstraf wanneer hij de politie aanmaant om — en ik citeer — “bruin gespuis” met de matrak te bewerken.
Duidelijk twee maten en twee gewichten en geen voorbeeld van onpartijdige rechtspraak, me dunkt. En dus nogmaals: twee maten, twee gewichten.
"
Filip DE MAN,2023-10-18,NL,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-051-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, beste collega’s, jullie zijn geschokt door de uitbarstingen van haat in Israël, in Frankrijk, in Brussel. Maar jullie subsidiëren die haat en jullie importeren die haat.
De subsidies: in 2021-2024 geven jullie via de EU 1,2 miljard EUR ontwikkelingshulp aan Palestina. Waarom? Kunnen de oliesjeiks dat niet betalen?
En dan de import van haat: in Europa laten jullie massaal Tsjetsjenen, Afghanen, Noord—Afrikanen, Irakezen, Palestijnen binnen. Nogmaals, waarom? Kunnen die niet terecht bij hun islamitische broeders in de steenrijke petroleumstaten? In België werden zelfs IS—terroristen vanuit het Midden-Oosten teruggehaald. Waarna ze terreur zaaiden op de luchthaven van Zaventem, met vele doden tot gevolg.
Hoeveel doden moeten er nog vallen vooraleer jullie de ogen openen?
"
Filip DE MAN,2023-10-03,NL,Corrupt large-scale sale of Schengen visas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-208-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, collega’s, de immigratiekanalen naar Europa zijn bekend: ten eerste, de gezinshereniging – het voornaamste – die blijkbaar altijd op Europese bodem moet plaatsvinden. Ook als het uitsluitend gaat om Marokkanen of Turken, dan moet dat toch altijd hier in Europa gebeuren.
Ten tweede, de asielprocedure. Die wordt, zoals bekend, massaal misbruikt. Honderdduizenden per jaar gebruiken dat asiel. 
En dan de inreisvisa. Niet zelden worden deze te snel toegekend of zelfs voor veel geld verkocht door bepaalde lidstaten van de Europese Unie. Dat er zeer laks wordt omgesprongen met deze visa bewees ook de Belgische regering deze zomer. Zij gaf visa aan Iraanse fundamentalisten, geleid door ene Alireza Zakani, indertijd verantwoordelijk voor het bloedig neerslaan van Iraanse dissidenten.
Binnen acht maanden zal de kiezer u de rekening presenteren voor die visaschandalen en voor de massale immigratie in het algemeen.
"
Filip DE MAN,2023-09-12,NL,2022 Report on Türkiye (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-477-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, collega’s, vandaag bespreken we het rapport over Turkije en ik wil twee casussen vergelijken.
Rusland bezet een vierde van Oekraïne. Oekraïne is geen lid van de Europese Unie. Rusland wordt zwaar gestraft, en wij schenken voor miljarden wapens aan Oekraïne.
Turkije bezet de helft van Cyprus. Dat land is wél lid van de EU. Turkije kreeg geen zware sancties. Integendeel, Erdoğan kreeg de voorbije jaren 20 miljard EUR van de Europese belastingbetaler. Sultan Erdoğan aarzelt bovendien niet om u te chanteren, en heeft in eigen land tienduizenden opposanten opgesloten. 
En toch beschouwen jullie Turkije, een land met 80 miljoen moslims, nog steeds als kandidaat-lid van de Europese Unie. Iedereen dwaalt al eens, collega’s, maar het is natuurlijk bijzonder dwaas om daarin te volharden. 
"
Filip DE MAN,2023-07-12,NL,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-195-0000_NL.html,"  Filip De Man,  namens de ID-Fractie. – Voorzitter, in dit debat eisen de linkse partijen meer belastingen onder het motto “Tax the rich”. Laat de rijken betalen, dan kunnen zij – de linksen –natuurlijk meer uitgeven. 
Maar dan wil ik toch opmerken dat vermogens en vermogenswinsten toch al zwaar belast worden. Ik geef het voorbeeld van België. Er is de vennootschapsbelasting, de roerende voorheffing, de onroerende voorheffing, belasting op huurgelden. Er zijn erfenisrechten, schenkingsrechten, registratierechten, hypotheekrechten. Er zijn heffingen op pensioenfondsen, beursverrichtingen en effectenrekeningen. Aan belastingen dus waarlijk geen gebrek. 
We zijn dus niet voor de afgunstmaatschappij van links. Wie hard werkt, wie innoveert, wie succes heeft, moet daarvan kunnen genieten, maar inderdaad ook zijn deel bijdragen, onder meer om mensen te helpen die getroffen worden door tegenslag. Maar steeds meer geld afromen ten bate van een almachtige staat, dat is een links recept dat wij niet lusten. 
Maar ik zal onze linkse collega’s toch één plezier doen. Het Vlaams Belang gaat akkoord dat alle multinationals hun deel moeten bijdragen. Vandaag betalen sommige van hen helemaal geen belasting, en daarom stellen wij een belasting voor van minstens 15 % – elk zijn deel, zoals mijn grootmoeder altijd zei.
"
Filip DE MAN,2023-05-09,NL,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-193-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, collega’s, ik wil het hebben over Frontex, onze Europese grenswacht. Het jaarlijks budget stijgt naar 1 miljard EUR. Het personeelsbestand klimt in de komende jaren van 2 000 naar 10 000. Die agenten beschikken over drones, over satellietbeelden, over terreinwagens en patrouillevliegtuigen. En men zou dus denken: “Oké, het gaat de goede richting uit.”
En toch werkt het niet. Er zitten in onze landen al zo’n 5 à 6 miljoen illegale vreemdelingen en jaarlijks komen er nog vele honderdduizenden mensen zonder papieren bij in de Europese Unie. En waarom? Frontex wordt op alle mogelijke manieren tegengewerkt door de linkse partijen in dit halfrond, die constant met mensenrechten zwaaien om het terugdrijven van illegalen te bemoeilijken, en door linkse, door u gesubsidieerde ngo’s, die proces na proces inspannen tegen Frontex.
Zo gaat het niet verder. Wij pleiten voor veralgemeende pushbacks en voor de opvang van vluchtelingen in hun eigen regio. Europa vangt nu al miljoenen Oekraïense vluchtelingen op. Wij kunnen niet ook nog eens alle gelukzoekers uit andere continenten hier onderhouden. Wij zijn niet het Openbaar centrum voor maatschappelijk welzijn van de hele wereld.
(De spreker stemt ermee in om te antwoorden op een “blauwe kaart”-vraag)
"
Filip DE MAN,2023-05-09,NL,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-195-0000_NL.html,"  Filip De Man (ID),  “blauwe kaart”-antwoord. – Collega Botenga, ten eerste, die regelingen zijn niet door het Vlaams Belang in het leven geroepen. Ten tweede, de wedde die u verdient is net zo groot als de mijne en ik denk ook niet dat u dat geld weigert. Dus uw opmerkingen slaan eigenlijk nergens op.
"
Filip DE MAN,2023-01-18,NL,Terrorist threats posed by far-right extremist networks defying the democratic constitutional order (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-270-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, het is toch straf! De socialisten agenderen hier een debat over rechts terrorisme, in een krampachtige poging om de aandacht af te leiden van Qatargate, waarbij een trits socialisten betrapt werd op corruptie en koffers vol dollars uit Qatar.
Ook de Belgische staatsveiligheid waarschuwt nu plots voor extreemrechts. En in Nederland stelt de liberale minister Kaag zopas dat “rechts-extremisten en complotpopulisten de democratie bedreigen”. Tussen haakjes: dezelfde dag bleek dat de veiligheidschef van Islamitische Staat, verdacht van oorlogsmisdaden in Syrië, doodleuk in Nederland rondliep. Tot zover het geklaag van Kaag.
Maar zeg eens, socialisten, hoeveel extreemrechtse aanslagen zijn er de laatste jaren gepleegd in België of in Nederland? Waar was dat? Hoeveel doden zijn daar gevallen? Ik zal het u zeggen. Niks, nul, nada. Er is nog geen vuurpijl afgeschoten door rechts. Dat is namelijk het voorrecht van jullie allochtone jongeren die telkens weer onze steden in brand steken na een voetbalmatch of tijdens oudejaarsnacht. Om natuurlijk nog niet te spreken over de honderden doden die de voorbije jaren zijn gevallen door islamitische aanslagen.
Het is doorzichtig: de mensen schrik aanjagen voor het rechtse gevaar en tegelijk de aandacht afwenden van uw eigen corruptie.
"
Filip DE MAN,2022-12-14,NL,"Tackle the cost of living crisis: increase pay, tax profits, stop speculation (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-164-0000_NL.html,"  Filip De Man (ID).   – Voorzitter, de oorzaak van inflatie en dalende koopkracht is de op hol geslagen energieprijs. Dat komt ervan als men bijvoorbeeld in Frankrijk desinvesteert in kerncentrales, terwijl dat land vroeger 75 % van zijn elektriciteit uit kernenergie haalde. Men waarschuwt nu in Frankrijk zelfs voor elektriciteitspannes, in het land dat dus vroeger driekwart betrok uit kernenergie. Of nog stupider, in België, waar de regeringen – ook met N-VA – de kernuitstap steevast bevestigden, zodat we nu duur gas moeten verbranden om de goedkope elektriciteit van onze kerncentrales te vervangen. Hoe gek kan je het bedenken. Nog sterker, daardoor hebben we straks te weinig gas om onze woningen en onze industrie te bevoorraden. 
Natuurlijk beweren de andere partijen hier dat de oorlog in Oekraïne de oorzaak is, maar bij mijn weten hebben de Russen niet de kernuitstap beslist. Dat hebben jullie gedaan. Het resultaat van dit alles is dat we nu om dure lpg moeten gaan bedelen in Qatar bij de vrienden van de socialisten. Bravo!
"
